pc_time_ms,datetime,rx_id,stage,subject_id,label,trial_id,raw_line
1781973218174,2026-06-21T01:33:38.174,rx1,stage1,mhw,empty,t002,"CSI_DATA,114472,1a:00:00:00:00:00,-45,11,-99,10,24,11,200934453,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-36,3,-36,10,-32,12,-35,9,-29,10,-26,6,-38,16,-32,3,-40,20,-40,24,-36,16,-41,12,-38,15,-36,15,-29,32,-40,26,-44,32,-10,35,-12,1,-32,35,-56,109,180,126,52,95,-1,80,-29,63,-41,47,-49,33,-49,24,-1,27,-7,7,-24,4,-20,24,-26,9,-13,10,-32,16,-21,7,-23,6,-18,7,-16,10,-16,12,-18,4,-23,4,-23,10,-24,6,-23,3,-15,-1,-26,1,-18,-3,-23,1,-24,3,-26,0,-26,-1,-23,1,-18,3,-20,-1,-23,-3,-18,0,0,0,0,0,0,-24,6,-18,3,-15,4,-12,10,-16,6,-16,4,-13,4,-12,6,-12,10,-9,12,-10,9,-6,10,-9,16,-6,10,-10,9,-9,12,-7,15,-7,15,-6,16,-3,13,-4,13,-3,16,1,15,0,16,1,15,4,20,1,18,-1,18,0,21,3,20,4,24,4,24,1,21,4,21,3,23,6,21,7,21,6,23,9,24,6,26,7,24,3,23,3,24,1,26,0,29,3,24,0,23,-3,27,0,24,-1,23,0,21,-1,26,-1,23,-4,24,-9,21,-9,23,-9,21,0,0,0,0,0,0,0,0,0,0]"""
1781973218199,2026-06-21T01:33:38.199,rx1,stage1,mhw,empty,t002,"CSI_DATA,114473,1a:00:00:00:00:00,-44,11,-99,22,22,11,200945453,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-27,17,-23,13,-34,12,-28,27,-35,17,-30,15,-24,16,-35,28,-31,19,-34,19,-26,20,-24,23,-23,31,-24,35,-26,13,-31,8,-20,32,-48,12,-48,39,-4,-2,-64,-61,-175,-41,-175,1,-148,23,-104,26,-60,21,-35,15,-17,15,-45,10,-38,15,-20,12,-20,-1,-26,8,-31,-1,-20,-1,-32,4,-23,2,-21,0,-24,-2,-27,-5,-24,-6,-20,-5,-17,-13,-21,-12,-13,-9,-20,-15,-13,-16,-17,-15,-13,-19,-15,-19,-10,-19,-9,-16,-9,-20,-12,-19,-9,-20,-4,-16,-6,0,0,0,0,0,0,1,17,-2,19,0,17,2,13,2,20,6,13,4,17,5,10,8,13,6,8,9,10,9,9,15,9,10,10,10,9,12,8,16,5,16,4,16,4,16,4,16,1,16,-2,12,-4,16,-5,15,-4,17,-9,19,-6,20,-6,20,-10,17,-10,21,-13,16,-13,19,-13,19,-15,19,-15,16,-13,16,-20,16,-17,16,-19,17,-19,17,-19,16,-13,17,-17,21,-19,19,-19,19,-20,16,-16,19,-20,13,-16,15,-17,17,-20,17,-17,15,-19,17,-19,19,-13,17,-13,16,-12,0,0,0,0,0,0,0,0,0,0]"""
1781973218226,2026-06-21T01:33:38.226,rx1,stage1,mhw,empty,t002,"CSI_DATA,114474,1a:00:00:00:00:00,-45,11,-99,17,24,11,200956480,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,26,-8,31,-8,31,-10,33,-15,31,-20,40,-18,31,-13,35,-25,27,-15,27,-18,31,-20,26,-26,26,-30,23,-36,30,-17,20,-23,18,-26,40,-21,44,-52,15,30,23,-161,159,-57,96,-22,59,-11,41,-8,25,-11,13,-16,12,-23,26,-16,27,-25,13,-28,22,-13,17,-17,26,-16,15,-11,21,-15,16,-15,23,-16,21,-11,23,-7,25,-10,16,-11,20,-2,20,-5,21,-7,23,-3,18,-2,22,-6,18,2,18,2,21,-1,16,0,20,5,21,3,21,5,16,1,21,0,0,0,0,0,0,13,-3,15,-7,17,-10,15,-7,12,-8,11,-8,12,-10,12,-13,8,-10,8,-10,8,-12,7,-12,6,-11,6,-15,6,-17,3,-16,2,-15,0,-13,0,-15,1,-16,0,-20,-1,-15,0,-17,-2,-20,-3,-18,-2,-15,-3,-17,-7,-18,-7,-20,-8,-18,-6,-17,-10,-20,-7,-21,-11,-22,-8,-20,-8,-28,-11,-23,-8,-23,-8,-23,-8,-23,-6,-23,-10,-27,-7,-26,-7,-23,-8,-23,-5,-23,-5,-26,-6,-22,-2,-26,-2,-26,-1,-26,-1,-22,2,-22,1,-21,1,-22,3,-20,5,-22,0,0,0,0,0,0,0,0,0,0]"""
1781973218247,2026-06-21T01:33:38.247,rx1,stage1,mhw,empty,t002,"CSI_DATA,114475,1a:00:00:00:00:00,-45,11,-99,10,24,11,200967453,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-26,6,-32,3,-32,7,-36,18,-35,20,-35,15,-27,18,-33,26,-33,16,-27,23,-21,26,-21,29,-18,38,-15,47,-20,13,-20,23,-12,46,-35,30,-33,49,-10,-60,-44,36,-103,186,20,-121,52,-38,-64,-40,10,-32,-30,20,1,44,-21,26,-23,32,9,38,-3,13,-6,33,-13,21,-1,24,-18,24,1,26,-3,27,-7,23,-10,24,-10,18,-4,24,-6,16,-7,16,-6,20,-10,16,-9,15,-13,21,-7,10,-9,12,-7,15,-7,18,-7,15,-10,13,-10,13,-12,18,-12,0,0,0,0,0,0,-9,-13,-12,-10,-12,-9,-10,-13,-9,-6,-7,-10,-13,-9,-15,-7,-10,-7,-12,-7,-12,-3,-13,-6,-13,-4,-13,-3,-13,-6,-15,-1,-13,-1,-13,-6,-13,-4,-15,-1,-18,1,-16,-4,-16,-3,-13,0,-20,0,-20,-1,-16,1,-18,1,-18,0,-18,-1,-20,-4,-23,-3,-21,1,-23,0,-26,-3,-27,-1,-21,-3,-26,0,-26,-3,-27,-4,-26,-6,-26,-6,-24,-6,-24,-7,-24,-10,-24,-9,-26,-12,-18,-13,-21,-16,-18,-12,-20,-15,-16,-15,-20,-16,-13,-16,-10,-20,-12,-20,-10,-20,0,0,0,0,0,0,0,0,0,0]"""
1781973218260,2026-06-21T01:33:38.260,rx1,stage1,mhw,empty,t002,"CSI_DATA,114476,1a:00:00:00:00:00,-45,11,-99,19,22,11,200978497,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,31,4,22,7,41,11,31,8,34,22,29,19,25,13,41,19,26,25,41,16,28,16,25,16,25,20,22,29,17,28,37,23,22,11,41,44,41,28,-8,34,59,-17,-4,190,73,119,59,47,49,28,41,13,31,10,20,4,29,35,28,22,13,19,8,19,26,8,22,23,19,8,26,14,17,14,16,14,17,14,23,13,22,8,19,7,16,8,25,0,14,0,25,2,17,1,22,-1,17,1,22,-4,17,-2,16,-4,13,-2,20,-4,17,-7,16,-5,16,-4,0,0,0,0,0,0,-10,-13,-8,-14,-8,-10,-8,-8,-16,-14,-10,-8,-11,-10,-10,-7,-14,-5,-11,-5,-13,-4,-13,-2,-14,-1,-17,-2,-13,-1,-13,-1,-17,1,-16,4,-11,4,-17,4,-13,2,-13,5,-10,4,-14,8,-16,7,-14,11,-19,11,-16,11,-17,13,-19,13,-17,16,-13,14,-23,14,-19,11,-16,17,-16,11,-17,22,-20,17,-16,19,-22,16,-20,16,-20,14,-22,14,-25,16,-20,13,-22,14,-20,8,-22,16,-14,11,-25,11,-20,7,-22,13,-22,5,-22,11,-19,7,-19,4,-17,4,0,0,0,0,0,0,0,0,0,0]"""
1781973218274,2026-06-21T01:33:38.274,rx1,stage1,mhw,empty,t002,"CSI_DATA,114477,1a:00:00:00:00:00,-45,11,-99,26,21,11,200989489,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-19,21,-26,23,-24,19,-34,24,-28,13,-42,16,-35,15,-39,13,-34,12,-32,9,-37,17,-31,15,-31,9,-30,4,-42,-4,-27,20,-31,21,-50,6,-65,15,-19,-24,-45,54,-146,-175,-109,-59,-75,4,-54,16,-42,20,-28,19,-27,12,-31,5,-39,13,-20,0,-31,2,-26,10,-28,4,-20,5,-26,10,-16,5,-20,8,-19,8,-20,10,-23,12,-8,10,-10,15,-13,17,-13,19,-15,12,-10,15,-15,15,-8,12,-8,19,-4,19,-2,17,-6,16,-5,16,-1,17,-2,21,-5,17,0,0,0,0,0,0,15,-1,13,-1,23,-2,12,-2,10,-4,13,-6,10,-5,15,-8,8,-8,13,-9,12,-12,9,-6,6,-12,12,-6,9,-15,8,-13,5,-15,4,-12,5,-17,2,-13,2,-19,1,-13,1,-20,2,-17,1,-15,-2,-17,1,-16,-4,-21,-1,-23,-4,-19,-1,-20,-4,-27,-5,-17,-10,-23,-5,-20,-8,-30,-2,-26,-2,-26,-2,-27,-4,-24,-4,-21,-6,-27,-5,-26,-4,-21,-2,-27,-8,-19,-6,-28,-2,-23,-1,-30,2,-23,1,-26,5,-23,2,-23,4,-19,1,-23,2,-20,6,-21,0,0,0,0,0,0,0,0,0,0]"""
1781973218287,2026-06-21T01:33:38.287,rx1,stage1,mhw,empty,t002,"CSI_DATA,114478,1a:00:00:00:00:00,-45,11,-99,21,21,11,201000477,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,31,-4,33,-4,34,-7,42,-17,31,-15,38,-9,33,-15,38,-14,38,-9,34,-14,34,-12,33,-14,28,-22,23,-31,26,-4,38,-6,33,-39,41,-33,57,-25,-6,15,76,-202,-44,-133,58,-55,61,-30,57,-12,47,-4,33,-9,28,-22,30,-19,36,-15,12,-19,20,-4,26,-15,25,-3,20,-9,31,-9,15,-7,19,-9,20,-7,20,-7,26,1,14,0,19,1,22,4,20,0,20,6,14,4,19,4,15,9,19,7,19,11,15,9,14,9,15,14,12,14,14,11,11,0,0,0,0,0,0,11,-12,11,-9,9,-12,4,-7,6,-14,3,-15,3,-11,3,-14,0,-11,0,-11,-1,-15,0,-12,-7,-12,-1,-14,-3,-14,-7,-14,-7,-12,-7,-11,-9,-14,-7,-11,-12,-12,-11,-11,-12,-11,-15,-9,-9,-11,-19,-7,-12,-9,-15,-11,-17,-14,-19,-7,-19,-9,-20,-12,-20,-6,-23,-7,-19,-7,-26,-9,-22,-7,-26,-6,-23,-7,-26,-7,-20,-7,-22,-9,-23,-9,-20,-11,-23,-12,-23,-7,-23,-9,-22,-14,-23,-11,-19,-12,-22,-12,-19,-12,-19,-12,-14,-14,-17,-12,-14,-14,-12,-14,0,0,0,0,0,0,0,0,0,0]"""
1781973218300,2026-06-21T01:33:38.300,rx1,stage1,mhw,empty,t002,"CSI_DATA,114479,1a:00:00:00:00:00,-45,11,-99,27,21,11,201011453,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,30,14,22,18,37,22,26,16,30,36,25,26,18,25,29,30,18,40,28,33,14,29,13,32,10,37,6,42,6,44,12,34,0,17,20,54,26,30,-30,49,46,22,168,-5,169,28,126,53,64,64,18,53,-9,37,-16,16,14,46,10,29,-10,32,-4,28,2,20,4,32,-4,22,8,25,-2,28,-1,26,4,29,6,29,6,21,0,25,1,18,5,18,4,10,8,21,2,18,10,16,4,20,10,17,6,14,5,16,4,13,10,14,9,10,10,9,8,16,0,0,0,0,0,0,9,-6,10,-13,5,-13,8,-9,8,-12,4,-6,5,-14,5,-12,6,-13,5,-9,0,-10,2,-13,1,-13,0,-16,2,-14,0,-13,-1,-13,-1,-14,-1,-10,-4,-18,-4,-13,-2,-20,-2,-14,-5,-13,-4,-20,-4,-17,-8,-18,-5,-17,-4,-20,-6,-18,-5,-21,-5,-17,-5,-26,-5,-18,-5,-24,-5,-20,-6,-21,-6,-24,-5,-25,-5,-24,-2,-28,-1,-24,-5,-28,1,-29,-2,-24,5,-28,6,-21,4,-26,2,-17,4,-24,8,-22,6,-21,9,-22,10,-22,13,-14,14,-17,13,-16,0,0,0,0,0,0,0,0,0,0]"""
1781973218311,2026-06-21T01:33:38.311,rx1,stage1,mhw,empty,t002,"CSI_DATA,114480,1a:00:00:00:00:00,-45,11,-99,15,24,11,201022476,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,28,-6,36,-8,29,-12,36,-9,37,-8,45,-6,40,-1,36,-10,41,4,32,-1,38,1,37,5,40,8,42,9,48,6,28,4,32,9,42,-13,42,-16,60,29,-10,-20,169,-33,102,-52,49,-28,29,-20,21,-8,17,2,21,4,36,-4,32,-8,32,5,40,2,21,-4,30,-9,21,0,21,-9,24,-1,26,-8,26,-8,21,-10,21,-14,18,-5,17,-10,12,-13,16,-12,17,-16,13,-10,8,-16,14,-10,6,-13,8,-14,9,-10,8,-12,5,-16,4,-16,2,-16,8,-16,0,0,0,0,0,0,-10,2,-13,0,-14,5,-13,2,-9,1,-9,5,-12,5,-13,6,-6,6,-10,6,-8,12,-10,9,-4,9,-6,12,-4,14,-4,13,-2,13,-4,13,0,13,-4,13,-4,17,0,14,-1,17,1,16,2,17,2,13,4,17,6,18,6,18,8,18,6,17,8,18,6,20,9,22,6,18,9,28,12,22,10,22,10,22,8,21,9,21,10,24,8,25,8,21,10,24,9,21,8,25,10,20,6,25,8,24,6,21,8,21,2,18,4,18,4,20,2,18,1,18,0,0,0,0,0,0,0,0,0,0]"""
1781973218317,2026-06-21T01:33:38.317,rx1,stage1,mhw,empty,t002,"CSI_DATA,114481,1a:00:00:00:00:00,-46,11,-99,22,24,11,201033487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-26,-18,-31,-25,-25,-14,-30,-22,-29,-21,-35,-26,-28,-31,-20,-23,-33,-32,-15,-27,-20,-33,-21,-37,-22,-37,-27,-38,-29,-44,-13,-20,-18,-34,-31,-20,-29,-16,-32,-62,16,3,-139,-65,-86,8,-43,-1,-20,-5,-11,-10,-4,-20,-8,-30,-28,-13,-27,-11,-18,-28,-30,-27,-10,-17,-27,-14,-14,-21,-21,-8,-19,-16,-25,-14,-25,-9,-21,-5,-22,-6,-19,-4,-23,-6,-16,-3,-18,-4,-20,-1,-18,-4,-18,1,-19,0,-13,4,-16,3,-14,0,-15,2,-13,5,-13,9,-13,6,-15,7,0,0,0,0,0,0,9,9,10,9,14,8,8,9,8,3,10,5,11,4,15,1,10,2,13,2,13,-3,11,3,9,-3,13,-3,13,-6,10,-7,8,-7,7,-6,10,-8,8,-10,10,-14,10,-10,11,-13,7,-14,10,-14,6,-8,8,-14,5,-16,6,-17,5,-17,7,-17,8,-19,2,-18,1,-23,7,-17,6,-28,7,-19,4,-21,8,-20,4,-23,6,-20,6,-25,5,-23,6,-23,9,-26,3,-19,6,-26,5,-20,8,-25,8,-19,9,-19,8,-17,9,-20,8,-15,8,-17,8,-15,13,-15,0,0,0,0,0,0,0,0,0,0]"""
