pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782027021917,2026-06-21T16:30:21.917,safe,absence,mhw,empty,t006,"CSI_DATA,88585,1a:00:00:00:00:00,-51,11,-99,21,34,11,403767411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,-20,0,-16,2,-21,2,-18,3,-20,3,-22,4,-19,2,-22,4,-19,1,-21,1,-23,1,-23,1,-21,4,-27,1,-21,0,-27,3,-23,2,-28,4,-26,4,-20,0,-24,2,-24,0,-26,0,-26,-1,-23,0,-22,0,-26,-2,-20,-5,-25,-2,-23,-6,-27,-4,-24,-5,-24,-6,-24,-9,-22,-10,-19,-13,-20,-12,-19,-14,-19,-13,-22,-16,-15,-19,-18,-18,-20,-22,-22,-16,-20,-21,-17,-19,-20,-19,-15,-24,-17,-27,-16,-25,-12,-29,-17,-28,-14,-29,-13,-29,-14,-29,-18,0,0,0,0,0,0,-16,32,-9,27,-13,33,-13,28,-7,24,-11,30,-7,26,-9,34,-8,28,-9,31,-9,30,-9,25,-3,27,-4,25,-2,30,0,29,0,28,0,26,-2,30,1,24,3,29,0,27,3,30,1,29,2,27,3,28,3,25,7,25,7,27,7,26,5,26,4,30,8,21,7,28,5,27,8,34,1,28,4,28,1,29,2,26,2,26,6,27,5,24,3,23,0,25,4,21,1,25,0,24,-1,28,-1,19,-1,20,-2,18,-2,17,-2,17,-4,19,-2,16,-5,15,0,0,0,0,0,0,0,0,0,0]"""
1782027021928,2026-06-21T16:30:21.928,safe,absence,mhw,empty,t006,"CSI_DATA,88586,1a:00:00:00:00:00,-51,11,-99,18,35,11,403778411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-18,2,-19,0,-17,2,-19,1,-19,0,-19,0,-17,0,-19,0,-23,1,-24,0,-21,0,-22,0,-21,0,-25,-1,-25,0,-24,0,-24,1,-23,-1,-22,0,-20,2,-21,0,-28,3,-25,0,-22,0,-26,0,-24,0,-24,1,-25,2,-22,5,-22,7,-24,4,-20,6,-20,9,-22,8,-22,10,-22,12,-21,10,-20,11,-21,12,-21,15,-20,13,-18,16,-18,18,-19,18,-16,17,-15,19,-16,19,-16,21,-16,23,-18,25,-16,22,-17,26,-18,27,-16,26,-17,25,-15,26,-13,28,0,0,0,0,0,0,30,17,28,14,26,12,27,13,29,12,25,15,28,10,29,10,26,11,25,9,26,6,24,10,30,5,28,7,23,7,26,5,28,4,29,3,29,4,27,0,26,0,29,2,24,0,24,0,26,0,29,-1,29,0,24,0,29,0,28,-1,28,0,29,0,28,-2,27,-2,27,0,27,0,27,-1,26,0,28,-1,28,0,25,1,25,1,26,2,26,2,26,5,24,0,23,4,22,4,20,5,17,4,19,5,18,5,18,6,18,7,15,8,14,9,12,9,0,0,0,0,0,0,0,0,0,0]"""
1782027021938,2026-06-21T16:30:21.938,safe,absence,mhw,empty,t006,"CSI_DATA,88587,1a:00:00:00:00:00,-51,11,-99,23,34,11,403789411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,7,17,8,13,7,18,10,15,8,18,11,20,11,15,11,20,8,17,10,22,11,23,8,21,6,22,5,22,8,19,6,25,4,22,5,27,6,24,8,22,9,23,2,22,4,25,0,25,0,22,0,22,0,25,0,20,-6,24,-9,22,-4,27,-9,22,-5,22,-10,20,-8,19,-11,19,-11,18,-18,17,-17,14,-16,17,-18,10,-20,12,-23,12,-23,14,-28,12,-22,11,-25,12,-23,8,-24,6,-27,0,-31,0,-27,4,-31,2,-28,-5,-30,0,-31,0,-32,0,0,0,0,0,0,-33,5,-26,5,-33,9,-29,8,-22,8,-29,11,-24,11,-30,15,-23,13,-29,14,-24,14,-23,10,-22,16,-20,13,-22,20,-20,21,-16,20,-15,19,-19,20,-10,20,-11,26,-13,22,-14,27,-13,23,-11,23,-11,24,-10,22,-4,25,-7,27,-6,24,-7,24,-9,28,-1,25,0,28,-3,27,-5,34,-7,24,-2,27,-7,26,-3,26,-3,25,0,28,0,25,0,22,-3,23,0,22,0,24,-1,21,-5,26,-5,17,-3,20,-6,18,-3,18,-5,17,-3,17,-4,15,-5,15,0,0,0,0,0,0,0,0,0,0]"""
1782027021946,2026-06-21T16:30:21.946,safe,absence,mhw,empty,t006,"CSI_DATA,88588,1a:00:00:00:00:00,-51,11,-99,19,35,11,403800411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,-17,6,-17,7,-17,8,-17,8,-17,6,-17,4,-19,5,-18,5,-22,5,-21,8,-20,7,-22,5,-22,6,-21,8,-22,5,-22,3,-24,6,-23,3,-21,1,-21,2,-20,-1,-24,0,-22,2,-22,0,-24,-1,-22,0,-24,-2,-24,-5,-22,-5,-22,-5,-21,-8,-19,-8,-19,-11,-18,-13,-19,-15,-19,-14,-16,-13,-18,-14,-17,-16,-17,-17,-16,-19,-13,-19,-15,-22,-13,-22,-11,-21,-10,-23,-6,-25,-5,-27,-5,-27,-7,-26,-6,-28,-6,-29,-4,-29,-3,-29,-3,-30,0,-30,0,0,0,0,0,0,0,6,31,5,33,5,27,5,29,6,29,4,29,7,28,8,28,8,24,11,25,12,22,12,23,18,24,15,22,11,22,16,22,17,21,16,21,17,22,20,18,19,15,20,19,20,14,21,12,22,13,25,11,23,13,22,13,24,11,24,10,23,12,27,12,25,10,25,8,25,11,27,9,26,7,26,6,28,7,27,9,24,7,23,9,23,7,23,9,22,11,22,6,21,9,20,9,21,8,18,7,19,7,18,8,18,8,14,9,14,10,14,9,13,9,0,0,0,0,0,0,0,0,0,0]"""
1782027021954,2026-06-21T16:30:21.954,safe,absence,mhw,empty,t006,"CSI_DATA,88589,1a:00:00:00:00:00,-52,11,-99,20,35,11,403811411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,16,-2,16,-2,18,-5,17,-4,18,-6,18,-7,18,-6,19,-6,16,-6,19,-7,20,-8,19,-8,20,-8,21,-8,18,-11,20,-8,21,-10,21,-10,22,-11,18,-10,20,-8,20,-10,21,-9,23,-9,21,-8,21,-10,22,-6,21,-10,20,-8,21,-5,20,-7,21,-5,22,-4,21,-5,23,-3,20,-3,22,0,24,-2,23,0,23,0,23,0,24,0,24,2,24,1,24,3,24,1,24,4,24,3,24,3,25,3,27,5,25,4,29,4,29,6,28,4,27,7,29,0,0,0,0,0,0,27,-5,29,-6,30,-6,27,-7,26,-6,27,-6,30,-7,28,-6,26,-7,27,-6,26,-7,25,-8,24,-7,25,-8,25,-8,24,-8,24,-9,24,-9,21,-9,26,-8,23,-9,23,-9,22,-10,24,-10,22,-11,22,-9,24,-12,24,-13,24,-10,25,-12,24,-11,22,-13,25,-10,24,-10,24,-9,26,-8,27,-10,26,-8,24,-8,25,-4,25,-5,26,-3,25,-3,24,-3,23,-2,23,0,21,0,22,0,21,2,21,1,21,3,17,2,17,5,16,5,16,6,14,8,15,7,0,0,0,0,0,0,0,0,0,0]"""
1782027021963,2026-06-21T16:30:21.963,safe,absence,mhw,empty,t006,"CSI_DATA,88590,1a:00:00:00:00:00,-52,11,-99,16,36,11,403822411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,-5,14,-5,16,-5,17,-4,17,-2,18,-3,17,-2,19,-2,19,-2,20,-3,19,-3,21,0,22,-2,20,0,18,0,24,0,21,0,23,0,20,0,23,0,24,-3,21,2,22,-1,22,0,22,0,21,0,20,0,19,0,23,0,20,-2,20,0,20,-2,23,-4,22,-4,20,-5,20,-3,20,-5,21,-4,20,-5,22,-8,21,-8,22,-7,23,-6,20,-10,19,-8,22,-11,22,-9,20,-14,22,-10,23,-12,23,-12,23,-10,24,-12,26,-13,24,-13,23,-13,24,-16,0,0,0,0,0,0,-14,-26,-15,-25,-13,-24,-13,-24,-15,-24,-14,-23,-14,-28,-13,-23,-12,-24,-12,-24,-12,-21,-15,-22,-11,-21,-16,-22,-12,-20,-15,-20,-17,-20,-14,-20,-14,-18,-14,-23,-14,-20,-16,-20,-15,-17,-14,-19,-16,-19,-14,-18,-16,-20,-16,-18,-15,-21,-16,-20,-15,-21,-15,-20,-14,-25,-12,-22,-14,-22,-11,-23,-14,-24,-10,-24,-12,-24,-9,-23,-9,-24,-6,-23,-5,-25,-6,-24,-6,-23,-3,-24,0,-21,-2,-22,0,-18,0,-21,1,-19,1,-18,3,-17,3,-17,5,-16,7,-15,7,-15,0,0,0,0,0,0,0,0,0,0]"""
1782027021973,2026-06-21T16:30:21.973,safe,absence,mhw,empty,t006,"CSI_DATA,88591,1a:00:00:00:00:00,-52,11,-99,17,36,11,403833411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-16,-6,-12,-6,-16,-8,-15,-8,-15,-10,-13,-11,-13,-9,-15,-12,-13,-12,-16,-12,-16,-12,-15,-11,-16,-11,-15,-13,-11,-12,-16,-18,-15,-12,-14,-18,-12,-13,-12,-13,-13,-18,-14,-14,-16,-17,-15,-14,-13,-15,-14,-16,-13,-15,-13,-13,-13,-18,-13,-13,-14,-14,-12,-12,-15,-13,-14,-14,-16,-11,-17,-13,-16,-14,-16,-12,-18,-12,-19,-11,-18,-8,-19,-13,-18,-12,-20,-9,-15,-8,-22,-10,-19,-10,-22,-7,-22,-11,-23,-9,-22,-12,-24,-11,-22,-10,-25,-13,-24,-12,-24,-11,-25,-9,0,0,0,0,0,0,-12,23,-14,27,-9,21,-12,25,-12,26,-12,20,-14,25,-11,23,-13,24,-12,21,-12,20,-11,24,-12,22,-9,25,-10,22,-9,22,-9,25,-11,23,-10,19,-11,25,-9,23,-10,24,-8,20,-9,20,-8,25,-9,22,-10,25,-9,24,-11,24,-9,24,-12,24,-9,22,-15,25,-12,21,-12,23,-13,19,-14,23,-14,20,-14,21,-17,19,-17,19,-19,16,-19,17,-19,17,-17,13,-20,12,-19,10,-18,12,-16,6,-18,8,-19,5,-18,8,-17,5,-19,6,-16,0,-16,0,-16,-2,0,0,0,0,0,0,0,0,0,0]"""
1782027021984,2026-06-21T16:30:21.984,safe,absence,mhw,empty,t006,"CSI_DATA,88592,1a:00:00:00:00:00,-52,11,-99,22,35,11,403844411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,13,10,15,10,12,10,11,12,12,10,13,14,14,14,11,13,14,13,11,13,15,14,14,15,14,15,14,12,15,15,13,11,17,14,15,12,16,16,15,15,12,13,15,13,13,14,19,12,17,11,18,11,15,10,16,10,15,8,19,8,18,9,22,9,19,7,19,5,20,7,19,4,19,3,21,1,20,3,20,0,21,0,20,-2,22,-4,21,-5,26,-4,23,-3,23,-5,24,-6,21,-5,23,-6,25,-10,21,-10,23,-10,26,-10,24,-15,24,-13,25,-13,0,0,0,0,0,0,-15,-23,-13,-21,-18,-27,-15,-23,-14,-19,-16,-22,-14,-18,-19,-21,-17,-17,-17,-24,-18,-21,-14,-19,-15,-18,-17,-18,-19,-17,-19,-16,-19,-16,-16,-14,-20,-16,-19,-12,-23,-11,-21,-11,-24,-15,-21,-13,-21,-10,-21,-12,-20,-11,-25,-9,-24,-11,-24,-10,-21,-9,-24,-10,-22,-8,-26,-7,-23,-9,-29,-13,-23,-13,-23,-11,-22,-14,-20,-10,-21,-11,-26,-10,-21,-12,-18,-10,-19,-13,-20,-9,-20,-11,-18,-12,-19,-17,-15,-13,-15,-12,-11,-14,-11,-12,-11,-14,-10,-14,-10,-11,-8,-13,0,0,0,0,0,0,0,0,0,0]"""
1782027021995,2026-06-21T16:30:21.995,safe,absence,mhw,empty,t006,"CSI_DATA,88593,1a:00:00:00:00:00,-52,11,-99,22,35,11,403855411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-16,4,-16,1,-15,5,-17,5,-16,5,-16,2,-15,2,-15,3,-20,3,-18,6,-17,4,-20,3,-17,4,-20,6,-20,2,-18,4,-20,5,-18,4,-20,3,-18,6,-16,3,-21,2,-20,3,-20,2,-20,0,-19,2,-20,2,-21,0,-20,0,-20,0,-18,0,-18,-3,-19,-5,-19,-5,-18,-6,-20,-5,-18,-7,-19,-6,-19,-8,-21,-9,-20,-10,-17,-11,-19,-10,-19,-13,-17,-13,-18,-15,-16,-15,-17,-16,-18,-17,-18,-16,-17,-18,-18,-20,-21,-18,-18,-20,-18,-21,-18,-20,-17,0,0,0,0,0,0,-19,22,-18,21,-15,24,-18,21,-15,22,-17,21,-15,21,-15,22,-15,21,-13,22,-11,22,-13,21,-11,24,-10,22,-11,21,-8,23,-8,24,-9,23,-10,26,-8,22,-5,24,-10,25,-6,22,-3,23,-5,24,-3,26,-4,25,-5,24,-5,26,-1,24,-5,25,-5,28,-3,25,-4,26,-5,25,-5,27,-4,26,-3,25,-5,26,-5,26,-5,25,-8,24,-7,26,-7,25,-9,23,-5,21,-10,20,-10,20,-8,19,-9,15,-10,17,-9,16,-10,15,-10,15,-11,13,-11,13,-13,12,0,0,0,0,0,0,0,0,0,0]"""
1782027022007,2026-06-21T16:30:22.007,safe,absence,mhw,empty,t006,"CSI_DATA,88594,1a:00:00:00:00:00,-52,11,-99,15,37,11,403866411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-16,-4,-13,-4,-17,-5,-15,-4,-15,-6,-12,-5,-13,-4,-16,-5,-17,-4,-17,-4,-14,-6,-15,-6,-17,-5,-17,-8,-16,-6,-19,-7,-16,-4,-19,-6,-14,-7,-15,-3,-17,-4,-21,-5,-19,-6,-16,-6,-17,-6,-17,-4,-19,-7,-19,-2,-20,-4,-17,-1,-18,-2,-15,-1,-18,0,-19,0,-18,2,-19,2,-22,1,-17,2,-18,2,-19,4,-18,4,-21,6,-18,6,-20,8,-16,6,-19,10,-21,8,-19,13,-20,12,-22,13,-19,8,-23,12,-22,13,-22,13,-23,13,-21,14,-21,16,0,0,0,0,0,0,17,20,17,24,14,16,17,21,18,24,14,20,17,22,15,18,17,22,13,16,15,16,17,17,18,17,19,19,15,17,16,16,17,16,18,17,16,13,22,16,19,13,22,15,17,12,18,12,21,13,21,13,23,15,21,13,20,15,22,13,21,14,21,11,23,16,20,13,21,13,18,13,22,13,20,13,21,13,22,15,20,17,15,16,17,18,17,17,16,15,15,18,11,16,15,17,8,12,12,14,9,14,9,15,8,16,8,17,4,15,4,16,2,16,0,0,0,0,0,0,0,0,0,0]"""
