pc_time_ms,datetime,rx_id,stage,subject_id,label,trial_id,raw_line
1782018959268,2026-06-21T14:15:59.268,rx1,stage1,mhw,walk,t001,"CSI_DATA,275855,1a:00:00:00:00:00,-45,11,-99,17,28,11,33048487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-2,5,-3,4,-3,7,-3,4,-2,8,-2,9,-2,8,-1,9,-2,9,0,12,-2,13,0,12,0,12,0,15,2,12,1,17,2,15,2,18,6,17,8,13,10,16,8,12,10,17,11,15,13,14,12,13,13,15,17,13,11,16,15,13,15,16,21,10,19,11,17,10,20,9,18,9,17,13,19,10,19,8,16,8,21,11,16,13,22,8,22,10,29,5,22,7,24,2,26,5,21,3,25,6,28,5,24,2,29,0,25,4,27,0,28,-1,26,0,0,0,0,0,0,27,5,20,5,28,8,24,8,18,6,24,8,17,5,23,10,16,6,21,11,18,10,15,10,16,9,13,10,17,10,15,8,14,8,13,7,14,9,12,5,15,7,13,6,15,8,13,8,11,8,12,7,10,6,13,6,12,6,12,5,10,6,15,8,11,4,15,5,13,6,17,9,13,10,13,8,13,10,11,9,10,10,14,10,13,11,10,8,11,13,11,9,13,13,10,13,10,18,6,13,5,14,3,15,2,13,1,14,2,15,0,14,-2,15,0,0,0,0,0,0,0,0,0,0]"""
1782018959286,2026-06-21T14:15:59.286,rx1,stage1,mhw,walk,t001,"CSI_DATA,275856,1a:00:00:00:00:00,-45,11,-99,17,28,11,33059487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,7,0,5,-2,8,-1,6,-2,8,-3,9,-4,8,-5,10,-5,10,-6,9,-8,10,-9,10,-8,8,-13,11,-10,8,-14,9,-11,6,-12,9,-16,8,-17,7,-20,6,-18,4,-19,4,-19,4,-21,2,-18,2,-24,0,-18,0,-22,0,-16,0,-21,2,-21,0,-21,0,-23,0,-24,-3,-21,-5,-22,-5,-24,-4,-21,-3,-26,-6,-20,-5,-24,-4,-17,-4,-24,-5,-22,-8,-25,-5,-24,-10,-26,-11,-21,-10,-23,-13,-22,-12,-24,-15,-24,-16,-18,-13,-23,-14,0,0,0,0,0,0,-18,17,-23,21,-14,13,-18,16,-22,18,-17,12,-21,15,-16,10,-21,12,-15,8,-15,10,-17,10,-16,10,-18,12,-16,8,-14,8,-15,8,-15,8,-13,6,-16,9,-11,8,-14,8,-9,6,-11,8,-13,8,-12,8,-14,10,-10,8,-12,7,-12,8,-13,8,-10,8,-15,9,-11,8,-13,9,-10,7,-12,10,-13,7,-13,10,-14,8,-16,8,-15,5,-16,5,-18,5,-13,5,-18,3,-15,1,-17,3,-13,1,-16,2,-15,0,-16,0,-15,-2,-16,-4,-13,-5,-13,-6,-11,-7,0,0,0,0,0,0,0,0,0,0]"""
1782018959304,2026-06-21T14:15:59.304,rx1,stage1,mhw,walk,t001,"CSI_DATA,275857,1a:00:00:00:00:00,-45,11,-99,17,28,11,33070487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,5,2,5,3,6,2,5,3,8,2,9,1,8,3,9,1,9,2,12,3,11,2,12,2,11,0,14,2,11,3,16,2,15,1,18,0,18,-2,18,0,18,-2,16,0,20,-1,19,-1,18,-2,17,-3,21,-2,16,-1,21,-2,18,-4,26,-5,21,-2,20,-5,21,-4,20,-2,18,0,24,-2,21,0,18,-4,22,2,21,0,25,-1,23,-2,32,-4,24,-2,24,-5,24,-1,21,-2,24,0,29,0,24,-2,28,-3,26,0,28,-2,29,-3,26,0,0,0,0,0,0,25,5,20,3,30,4,24,3,17,3,26,3,18,2,25,3,18,2,24,5,22,3,17,3,18,2,16,2,19,1,18,0,16,0,14,0,16,0,13,-1,16,-5,14,-2,17,-4,15,-2,13,-2,13,-3,11,-3,13,-8,13,-5,13,-6,11,-5,15,-5,10,-7,12,-9,12,-7,18,-11,15,-6,13,-8,15,-8,13,-7,12,-8,15,-11,13,-10,10,-8,13,-7,10,-8,16,-10,15,-7,20,-7,15,-5,16,-5,14,-2,13,-3,14,-2,16,-4,14,-2,15,0,0,0,0,0,0,0,0,0,0,0]"""
1782018959320,2026-06-21T14:15:59.320,rx1,stage1,mhw,walk,t001,"CSI_DATA,275858,1a:00:00:00:00:00,-45,11,-99,17,28,11,33081487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-2,5,-2,5,-2,7,-2,6,-3,6,-4,5,-4,6,-5,9,-5,7,-6,9,-7,9,-6,10,-7,10,-10,10,-8,10,-10,12,-11,10,-11,10,-13,13,-13,11,-13,13,-14,10,-14,10,-16,10,-14,11,-17,10,-18,12,-14,11,-15,13,-17,10,-18,13,-16,11,-16,13,-17,13,-16,14,-16,13,-18,13,-17,14,-17,13,-19,14,-15,16,-17,18,-19,14,-18,17,-16,14,-17,18,-17,16,-18,18,-18,17,-18,17,-18,18,-21,19,-18,16,-20,18,-21,18,-18,18,0,0,0,0,0,0,16,21,16,20,16,18,14,20,14,18,14,20,13,16,15,18,12,16,13,15,13,13,11,13,16,14,12,11,11,13,13,11,13,10,11,10,13,12,13,5,14,7,12,9,13,8,11,5,13,5,14,5,13,5,13,4,14,4,13,3,13,3,16,4,14,0,15,0,16,1,16,1,14,2,14,0,16,0,17,0,16,0,16,0,16,0,16,1,17,2,16,0,16,2,16,3,16,3,14,2,15,2,15,3,16,3,14,4,13,7,13,7,13,8,0,0,0,0,0,0,0,0,0,0]"""
1782018959336,2026-06-21T14:15:59.336,rx1,stage1,mhw,walk,t001,"CSI_DATA,275859,1a:00:00:00:00:00,-45,11,-99,14,29,11,33092487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,2,6,1,6,2,5,2,7,3,7,1,9,2,12,2,7,0,10,-1,10,-1,11,-1,14,-1,14,-3,12,-2,16,-7,16,-6,13,-6,16,-7,15,-7,18,-7,14,-10,14,-12,14,-11,14,-14,14,-15,15,-12,14,-13,15,-16,14,-14,14,-13,14,-13,15,-15,15,-16,16,-16,14,-16,13,-16,14,-17,14,-19,13,-17,16,-19,14,-19,13,-19,14,-17,12,-20,14,-19,14,-21,14,-21,13,-21,10,-24,12,-26,11,-24,9,-24,9,-26,10,-25,9,0,0,0,0,0,0,4,26,3,25,3,24,3,24,2,24,0,24,1,21,0,23,0,21,0,20,2,20,1,19,2,21,1,18,-1,16,0,18,0,16,0,16,0,17,1,15,2,15,0,15,1,13,2,13,1,14,3,15,2,14,2,14,2,15,4,14,2,15,3,16,3,14,4,14,2,14,4,15,3,14,4,14,4,15,4,16,2,15,1,16,2,16,0,17,0,17,0,16,0,17,-2,16,-2,16,-2,15,-3,15,-4,14,-4,15,-7,14,-7,12,-8,12,-10,11,0,0,0,0,0,0,0,0,0,0]"""
1782018959353,2026-06-21T14:15:59.353,rx1,stage1,mhw,walk,t001,"CSI_DATA,275860,1a:00:00:00:00:00,-45,11,-99,14,29,11,33103487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,3,-3,3,-4,4,-4,3,-5,4,-5,4,-5,4,-7,5,-8,4,-9,6,-10,4,-10,4,-11,4,-12,3,-12,3,-16,3,-14,3,-17,1,-13,0,-14,2,-17,1,-18,0,-20,-1,-17,-2,-19,-4,-19,-3,-20,-5,-17,-4,-22,-7,-18,-5,-19,-7,-14,-5,-19,-5,-19,-7,-20,-5,-21,-7,-20,-10,-19,-9,-20,-10,-21,-10,-19,-8,-23,-12,-17,-11,-22,-10,-14,-7,-22,-9,-19,-12,-23,-9,-22,-12,-22,-14,-18,-14,-20,-16,-19,-17,-22,-17,-20,-18,-18,-16,-21,-16,0,0,0,0,0,0,-19,16,-22,17,-14,12,-19,16,-23,16,-16,11,-21,14,-16,10,-20,12,-15,7,-14,10,-15,12,-16,10,-16,12,-15,7,-14,8,-14,9,-14,9,-11,7,-14,9,-11,9,-13,10,-8,7,-9,9,-11,10,-9,11,-11,12,-9,9,-10,9,-10,11,-11,12,-9,11,-12,12,-9,10,-9,12,-7,8,-8,13,-10,11,-9,12,-11,12,-12,12,-12,9,-13,10,-14,10,-12,9,-14,9,-12,6,-14,9,-10,6,-13,7,-14,6,-13,7,-15,4,-16,4,-13,1,-14,0,-14,0,0,0,0,0,0,0,0,0,0,0]"""
1782018959359,2026-06-21T14:15:59.359,rx1,stage1,mhw,walk,t001,"CSI_DATA,275861,1a:00:00:00:00:00,-45,11,-99,14,29,11,33114487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-1,4,0,4,-1,7,-2,7,-2,7,-4,7,-2,7,-2,7,-4,8,-2,11,-4,12,-6,11,-2,11,-5,12,-4,9,-5,15,-8,13,-8,16,-13,14,-11,12,-11,13,-9,12,-9,16,-9,16,-8,16,-11,14,-12,16,-9,14,-11,17,-10,14,-16,21,-14,16,-12,16,-14,16,-12,16,-9,15,-9,21,-9,18,-7,16,-11,19,-5,19,-8,22,-9,21,-12,27,-12,19,-9,22,-12,21,-9,19,-9,23,-7,27,-4,22,-9,25,-9,25,-4,26,-9,26,-9,26,0,0,0,0,0,0,24,9,21,7,29,7,22,9,17,4,24,7,17,4,24,5,18,3,24,7,21,6,16,4,18,4,16,2,19,0,17,0,16,0,14,0,16,0,12,-2,16,-4,14,-3,17,-4,16,-3,14,-3,13,-2,12,-4,12,-8,12,-7,10,-8,11,-7,14,-8,9,-8,11,-10,10,-10,14,-13,14,-9,11,-9,14,-9,11,-9,11,-10,11,-14,11,-12,8,-10,11,-12,9,-12,12,-13,11,-11,16,-12,12,-9,12,-9,13,-6,11,-8,12,-7,14,-9,12,-7,13,-6,0,0,0,0,0,0,0,0,0,0]"""
1782018959367,2026-06-21T14:15:59.367,rx1,stage1,mhw,walk,t001,"CSI_DATA,275862,1a:00:00:00:00:00,-45,11,-99,14,29,11,33125487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-2,-2,-3,-5,-3,-4,-4,-5,-4,-5,-4,-5,-5,-7,-4,-7,-7,-9,-5,-7,-6,-9,-7,-9,-6,-10,-4,-9,-7,-16,-6,-12,-6,-16,-4,-12,-6,-12,-7,-14,-6,-16,-8,-19,-7,-16,-7,-16,-7,-18,-6,-19,-7,-16,-6,-22,-5,-16,-7,-20,-5,-15,-9,-19,-7,-19,-11,-18,-9,-19,-11,-20,-9,-19,-10,-20,-12,-20,-11,-16,-12,-23,-9,-19,-14,-20,-10,-14,-16,-18,-12,-19,-16,-16,-15,-20,-16,-20,-14,-19,-16,-21,-14,-19,-17,-21,-16,-20,-15,-17,-19,-19,0,0,0,0,0,0,-19,15,-21,18,-14,13,-18,16,-19,19,-14,13,-19,17,-13,12,-16,16,-11,13,-11,14,-12,16,-11,14,-10,17,-9,14,-8,14,-7,16,-7,15,-4,13,-8,16,-4,13,-4,15,-2,10,-2,14,-2,14,-1,14,0,16,0,13,1,15,2,15,2,15,3,13,2,18,3,13,4,14,2,12,7,16,5,14,7,14,5,16,7,15,4,15,5,16,7,16,7,14,6,16,3,14,7,16,4,11,5,16,4,15,5,15,2,14,5,16,2,14,2,14,1,14,0,0,0,0,0,0,0,0,0,0]"""
1782018959372,2026-06-21T14:15:59.372,rx1,stage1,mhw,walk,t001,"CSI_DATA,275863,1a:00:00:00:00:00,-45,11,-99,15,29,11,33136487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-4,0,-6,0,-6,0,-6,0,-6,-1,-8,0,-8,0,-8,-2,-9,-1,-11,0,-11,-2,-12,-2,-11,-2,-13,-2,-13,-4,-14,-3,-15,-3,-16,-4,-15,-5,-16,-6,-14,-5,-16,-6,-19,-6,-18,-6,-17,-5,-17,-6,-18,-4,-17,-7,-19,-6,-19,-6,-20,-7,-21,-5,-19,-6,-20,-5,-19,-5,-19,-4,-22,-2,-21,-4,-20,-2,-20,-1,-23,-1,-22,-2,-23,0,-24,-1,-24,0,-24,0,-23,0,-22,0,-25,0,-26,1,-24,0,-26,1,-28,0,-26,2,-26,2,-27,3,0,0,0,0,0,0,3,25,3,23,4,25,4,24,4,21,4,22,4,22,4,22,6,18,3,21,4,19,6,17,4,15,6,15,8,17,7,15,8,15,8,12,8,11,8,13,10,11,9,11,11,11,11,11,11,8,10,8,12,8,13,6,13,6,13,4,13,5,13,4,14,4,14,3,14,2,15,4,16,2,15,2,16,2,14,2,15,2,17,2,16,3,15,2,16,0,17,2,16,2,16,1,17,3,16,2,16,3,15,3,14,4,15,5,15,4,12,4,13,6,0,0,0,0,0,0,0,0,0,0]"""
1782018959379,2026-06-21T14:15:59.379,rx1,stage1,mhw,walk,t001,"CSI_DATA,275864,1a:00:00:00:00:00,-45,11,-99,14,29,11,33147487,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,2,-4,1,-5,2,-4,2,-7,2,-5,1,-5,2,-8,2,-8,2,-10,4,-9,2,-11,2,-11,2,-12,2,-11,1,-16,0,-14,0,-16,-2,-12,-1,-14,-1,-16,-1,-16,-3,-19,-2,-16,-4,-17,-4,-18,-4,-18,-7,-16,-4,-21,-9,-16,-7,-19,-7,-14,-6,-19,-7,-19,-8,-20,-6,-20,-8,-20,-9,-19,-9,-19,-10,-22,-9,-19,-6,-22,-12,-17,-10,-22,-8,-15,-7,-24,-8,-20,-11,-22,-7,-21,-11,-23,-11,-19,-12,-22,-14,-20,-13,-24,-14,-21,-12,-19,-10,-23,-12,0,0,0,0,0,0,-15,19,-16,23,-10,16,-14,18,-16,21,-13,14,-15,18,-12,14,-16,17,-11,12,-12,14,-12,16,-10,14,-11,17,-10,14,-9,14,-7,14,-8,13,-7,12,-9,15,-6,12,-7,14,-4,9,-4,12,-4,13,-4,13,-4,16,-2,13,-3,14,-2,14,-2,14,-1,12,-4,16,-3,13,-2,16,-2,12,-1,16,-2,15,0,16,-2,16,-2,16,-3,14,-5,16,-4,17,-3,14,-5,18,-6,12,-4,16,-4,11,-6,15,-7,13,-5,14,-8,13,-9,14,-9,12,-9,9,-10,9,0,0,0,0,0,0,0,0,0,0]"""
