pc_time_ms,datetime,rx_id,stage,subject_id,label,trial_id,raw_line
1782018900764,2026-06-21T14:15:00.764,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270537,1a:00:00:00:00:00,-43,11,-99,19,27,11,98064799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-9,16,-7,19,-6,19,-3,20,0,20,0,20,0,22,2,25,1,24,6,20,11,23,10,24,12,23,18,23,23,23,20,20,23,18,27,16,23,16,24,16,31,19,29,15,29,10,32,9,36,9,32,6,34,5,37,6,34,6,33,0,33,3,32,3,32,5,34,5,36,3,38,1,34,-2,34,0,37,-1,38,-1,38,0,37,-2,37,-3,40,-3,36,1,37,0,38,1,40,0,40,-2,44,-9,40,-7,44,-9,44,-7,41,-11,42,-5,46,-6,42,0,0,0,0,0,0,41,16,42,18,38,14,40,18,40,19,34,23,36,19,36,18,34,19,31,18,33,14,31,14,38,12,34,14,28,19,32,15,33,12,33,15,32,18,31,14,31,12,31,18,27,10,29,9,32,10,34,9,32,11,29,12,33,12,32,11,32,15,33,15,33,12,33,14,31,15,33,14,32,14,33,12,36,14,33,18,31,18,27,22,31,20,28,24,27,25,25,22,22,23,22,25,19,23,19,23,19,22,18,22,18,27,12,25,7,27,7,25,3,25,0,0,0,0,0,0,0,0,0,0]"""
1782018900784,2026-06-21T14:15:00.784,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270538,1a:00:00:00:00:00,-43,11,-99,19,27,11,98075799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,12,7,16,5,14,5,20,3,19,1,22,-1,24,-6,22,-3,25,-9,19,-10,23,-12,24,-12,25,-15,24,-22,23,-14,23,-20,23,-23,22,-25,22,-29,19,-27,14,-29,18,-28,9,-32,12,-33,10,-31,9,-33,6,-38,5,-28,10,-33,10,-33,6,-41,7,-34,0,-34,3,-37,1,-33,1,-32,1,-34,5,-34,2,-29,2,-36,-3,-33,10,-38,7,-38,0,-45,-1,-33,-2,-41,1,-38,-6,-36,0,-42,-2,-44,1,-42,1,-45,-5,-42,-3,-44,1,-46,-3,-42,-6,0,0,0,0,0,0,-11,47,-11,40,-14,47,-14,40,-11,34,-16,41,-10,34,-12,42,-10,33,-11,38,-12,38,-15,29,-10,36,-14,31,-12,34,-7,34,-7,33,-10,32,-15,34,-3,28,-5,34,-9,31,-9,33,-9,32,-10,31,-6,34,-9,29,-5,33,-6,33,-5,32,-7,31,-10,36,-1,31,-3,34,-9,33,-9,42,-12,33,-10,33,-15,33,-12,32,-12,29,-11,33,-14,32,-12,29,-19,29,-11,29,-16,29,-19,27,-23,28,-20,20,-22,20,-23,18,-20,20,-22,15,-23,18,-23,14,-24,12,0,0,0,0,0,0,0,0,0,0]"""
1782018900805,2026-06-21T14:15:00.805,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270539,1a:00:00:00:00:00,-43,11,-99,15,28,11,98086937,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-14,-5,-18,-2,-16,-1,-20,1,-20,1,-22,2,-20,6,-20,6,-25,10,-22,14,-19,16,-23,15,-20,20,-22,25,-20,19,-19,24,-19,28,-15,28,-16,28,-12,29,-9,33,-18,31,-10,32,-6,34,-6,32,-7,33,-2,38,-2,32,-3,34,-3,33,0,36,-2,34,-2,34,-3,36,-2,36,-3,32,-1,36,2,36,0,37,1,37,2,34,-2,37,0,38,5,38,0,34,2,40,-1,38,0,41,-1,42,3,42,3,42,3,45,7,41,6,42,5,46,5,45,7,0,0,0,0,0,0,14,-45,15,-42,12,-42,14,-40,11,-36,16,-38,11,-34,15,-40,15,-34,12,-36,11,-34,14,-33,9,-38,12,-32,14,-31,10,-33,9,-33,11,-32,12,-33,5,-29,5,-33,10,-33,6,-31,7,-32,9,-31,3,-36,6,-31,7,-32,7,-34,3,-32,9,-33,7,-36,5,-32,3,-36,7,-33,6,-38,7,-33,6,-33,6,-34,9,-36,9,-32,12,-33,11,-34,14,-32,18,-31,11,-28,16,-29,19,-27,18,-28,16,-24,18,-25,19,-23,18,-23,22,-19,22,-14,22,-14,24,-12,0,0,0,0,0,0,0,0,0,0]"""
1782018900824,2026-06-21T14:15:00.824,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270540,1a:00:00:00:00:00,-43,11,-99,18,27,11,98098990,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,-16,-1,-18,-1,-14,1,-21,2,-21,8,-22,10,-21,10,-17,14,-22,16,-16,17,-20,18,-20,20,-18,21,-17,28,-14,18,-16,28,-17,26,-14,33,-13,33,-8,28,-2,33,-9,30,-1,36,-5,34,-4,33,-2,32,0,37,2,29,-4,34,-2,34,1,44,1,36,6,33,4,36,8,33,6,29,4,37,0,33,4,32,2,36,8,33,-4,41,0,38,5,46,8,36,9,41,5,37,14,36,5,41,8,44,4,40,2,44,9,44,10,46,5,46,9,41,10,0,0,0,0,0,0,13,-45,10,-36,13,-49,16,-40,12,-32,16,-42,9,-33,14,-41,10,-33,17,-40,16,-37,17,-28,12,-36,14,-30,12,-37,12,-34,9,-33,8,-32,14,-36,4,-28,4,-34,8,-32,8,-37,8,-33,8,-30,5,-34,8,-28,1,-34,4,-34,4,-32,4,-30,9,-37,-1,-28,0,-36,4,-36,8,-44,12,-34,8,-36,12,-36,10,-33,9,-30,8,-37,10,-34,9,-32,14,-33,6,-32,12,-34,17,-29,20,-33,17,-22,18,-24,21,-21,20,-21,20,-18,21,-18,20,-20,22,-14,0,0,0,0,0,0,0,0,0,0]"""
1782018900841,2026-06-21T14:15:00.841,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270541,1a:00:00:00:00:00,-43,11,-99,18,27,11,98108799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,-18,8,-14,12,-18,9,-13,14,-17,14,-12,16,-14,20,-13,22,-10,26,-13,25,-9,25,-6,28,-8,29,-5,26,-2,36,-1,29,-2,36,5,26,5,30,6,36,9,30,9,38,12,32,9,33,13,30,13,32,17,28,14,34,22,29,13,30,20,25,17,30,18,29,21,30,18,30,20,30,22,29,22,29,24,36,21,29,18,36,26,28,22,34,20,22,16,38,20,30,26,36,18,34,26,34,26,29,25,32,26,32,26,38,29,34,28,32,25,36,26,0,0,0,0,0,0,28,-30,33,-34,22,-29,29,-32,37,-36,25,-25,34,-32,25,-26,30,-30,25,-22,26,-25,28,-29,25,-26,25,-30,25,-25,21,-25,24,-26,22,-26,18,-22,25,-30,16,-25,22,-29,16,-22,16,-28,20,-29,17,-26,20,-33,16,-28,20,-30,17,-32,18,-34,13,-29,22,-33,17,-29,17,-32,17,-25,17,-34,20,-28,18,-32,22,-29,22,-28,22,-25,26,-28,26,-29,21,-24,28,-28,25,-18,24,-25,18,-14,25,-20,25,-17,24,-18,26,-16,28,-16,24,-9,25,-5,26,-5,0,0,0,0,0,0,0,0,0,0]"""
1782018900856,2026-06-21T14:15:00.856,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270542,1a:00:00:00:00:00,-43,11,-99,17,27,11,98119799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-6,17,-4,17,-2,20,-1,20,0,20,1,23,5,20,8,26,5,20,9,21,15,23,15,24,16,24,19,23,24,20,19,24,21,19,24,20,24,17,28,13,30,17,30,12,30,13,31,13,32,12,31,9,31,9,39,12,28,12,32,6,32,9,37,5,34,6,32,8,37,8,34,6,32,10,34,9,34,9,34,5,38,13,32,9,38,8,38,10,39,5,35,8,41,5,38,12,38,6,42,12,42,10,42,8,49,6,42,12,45,9,48,6,45,0,0,0,0,0,0,48,-2,43,-1,43,-4,42,-1,39,-4,43,-1,37,-5,43,-4,38,-1,41,0,37,-2,34,0,39,-6,34,-2,35,-4,35,-6,32,-8,34,-6,37,-4,30,-9,32,-12,32,-8,32,-10,32,-10,32,-6,34,-15,31,-8,31,-12,32,-13,31,-13,31,-10,35,-13,28,-15,32,-15,31,-13,37,-16,32,-9,34,-13,37,-9,32,-9,32,-9,34,-9,35,-10,32,-9,35,-5,31,-9,34,-6,34,-2,37,-1,28,1,32,0,27,2,31,1,27,5,28,4,27,6,24,9,0,0,0,0,0,0,0,0,0,0]"""
1782018900876,2026-06-21T14:15:00.876,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270543,1a:00:00:00:00:00,-43,11,-99,18,27,11,98130799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,16,-10,17,-8,14,-13,18,-13,14,-17,16,-21,12,-20,8,-24,13,-22,6,-24,6,-26,6,-26,5,-28,4,-34,0,-24,1,-33,2,-30,-1,-33,-4,-34,-5,-28,-8,-34,-8,-26,-13,-32,-12,-34,-14,-30,-13,-29,-14,-36,-20,-28,-9,-34,-13,-30,-14,-37,-18,-30,-18,-29,-17,-33,-20,-30,-18,-25,-16,-32,-14,-30,-16,-29,-13,-32,-21,-33,-8,-40,-13,-33,-18,-40,-21,-29,-18,-37,-18,-32,-24,-36,-17,-37,-21,-42,-18,-40,-18,-41,-22,-36,-21,-42,-16,-44,-22,-37,-20,0,0,0,0,0,0,-24,38,-22,34,-22,41,-24,34,-21,30,-26,37,-17,32,-22,40,-18,30,-24,34,-22,33,-21,25,-17,34,-17,26,-20,32,-16,32,-16,33,-14,29,-18,34,-6,28,-8,36,-10,30,-10,34,-10,30,-12,29,-9,34,-10,28,-4,33,-9,33,-6,32,-6,30,-13,37,-1,30,0,37,-6,36,-9,44,-10,33,-9,34,-14,36,-9,34,-9,30,-9,36,-9,36,-8,32,-16,33,-5,32,-10,36,-14,28,-20,34,-16,22,-18,26,-21,21,-17,24,-20,18,-17,21,-20,18,-21,16,0,0,0,0,0,0,0,0,0,0]"""
1782018900889,2026-06-21T14:15:00.889,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270544,1a:00:00:00:00:00,-43,11,-99,18,26,11,98141799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,20,29,-34,49,-46,-13,17,17,-26,-52,14,-2,-5,38,-2,-55,-53,-23,-23,-76,10,-40,-2,-13,-4,-17,-13,-43,8,-70,16,-38,1,-13,16,-56,7,-28,13,-11,25,-38,22,-40,22,-17,16,-20,25,-26,20,-28,26,-17,35,-20,23,-19,31,-23,29,-19,31,-23,34,-20,28,-19,34,-19,35,-19,28,-14,32,-17,29,-19,32,-14,41,-8,32,-20,34,-16,41,-8,44,-14,32,-10,40,-14,38,-7,38,-13,44,-8,47,-7,46,-7,49,-5,43,0,50,-1,50,-2,50,2,0,0,0,0,0,0,11,-50,10,-41,8,-50,13,-41,8,-38,17,-44,11,-37,16,-44,13,-35,16,-38,13,-38,16,-32,11,-41,16,-32,17,-32,14,-35,11,-35,13,-29,19,-34,10,-29,13,-35,17,-29,13,-32,13,-31,16,-29,14,-34,13,-28,14,-31,14,-34,13,-31,17,-29,23,-31,16,-29,17,-34,17,-26,22,-35,22,-28,20,-32,26,-29,23,-28,25,-23,28,-28,29,-25,28,-22,29,-22,22,-20,32,-19,29,-11,32,-11,28,-10,31,-10,28,-7,32,-7,25,-1,29,0,32,0,29,4,0,0,0,0,0,0,0,0,0,0]"""
1782018900896,2026-06-21T14:15:00.896,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270545,1a:00:00:00:00:00,-43,11,-99,22,26,11,98152799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,18,-2,18,-2,17,-4,24,-5,21,-8,20,-10,22,-13,18,-10,26,-16,20,-20,21,-22,20,-22,17,-24,20,-30,16,-25,18,-28,18,-30,13,-29,13,-30,16,-29,14,-37,16,-32,8,-33,8,-36,6,-37,6,-38,6,-40,4,-36,8,-34,4,-34,0,-37,8,-36,5,-36,5,-38,4,-40,8,-34,6,-36,5,-37,6,-40,6,-40,4,-36,10,-38,9,-45,5,-41,9,-36,8,-40,12,-41,6,-44,12,-45,9,-42,9,-42,10,-46,12,-44,10,-48,10,-49,10,-49,12,0,0,0,0,0,0,6,46,5,45,9,45,5,46,8,45,6,41,10,41,5,44,6,44,8,38,9,38,8,33,16,41,8,40,6,37,13,36,13,33,10,36,9,38,17,30,20,32,14,34,17,26,16,29,16,30,21,32,17,30,17,28,20,33,18,28,20,29,21,34,26,28,25,25,21,30,22,30,21,30,25,29,24,29,26,33,21,30,20,29,24,32,20,32,17,34,20,29,20,32,17,32,13,32,13,30,13,30,10,28,13,32,8,28,5,30,6,29,0,29,0,0,0,0,0,0,0,0,0,0]"""
1782018900905,2026-06-21T14:15:00.905,rx1,stage1,mhw,lying_still,t001,"CSI_DATA,270546,1a:00:00:00:00:00,-43,11,-99,17,27,11,98163799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,-8,-15,-12,-13,-13,-13,-15,-10,-19,-9,-16,-9,-17,-6,-23,-8,-26,-4,-24,2,-26,4,-27,2,-27,8,-28,10,-28,10,-30,12,-31,19,-28,15,-24,16,-26,23,-24,21,-28,27,-24,27,-19,30,-20,28,-19,31,-16,34,-16,32,-16,31,-17,32,-12,30,-13,31,-15,31,-13,32,-13,35,-15,34,-10,35,-8,35,-8,37,-8,38,-8,38,-9,37,-8,39,-6,34,-5,35,-6,41,-9,38,-9,42,-8,43,-4,41,0,45,0,46,1,45,1,45,4,45,1,46,0,0,0,0,0,0,0,10,-46,15,-46,9,-39,9,-42,13,-43,15,-37,16,-41,15,-39,16,-38,13,-35,10,-32,13,-34,10,-38,15,-37,17,-30,15,-32,13,-32,16,-32,15,-31,12,-34,10,-31,16,-32,10,-28,9,-28,10,-31,10,-35,12,-34,13,-28,15,-32,12,-30,16,-32,15,-34,17,-31,15,-31,16,-32,16,-30,15,-31,15,-32,17,-32,20,-34,21,-30,23,-24,24,-26,26,-24,27,-24,26,-24,26,-17,28,-19,26,-16,26,-15,26,-16,26,-15,28,-12,27,-9,27,-2,27,-2,28,1,0,0,0,0,0,0,0,0,0,0]"""
