pc_time_ms,datetime,rx_id,stage,subject_id,label,trial_id,raw_line
1781972991814,2026-06-21T01:29:51.814,rx1,stage1,mhw,empty,t001,"CSI_DATA,93892,1a:00:00:00:00:00,-43,11,-99,15,25,11,735634467,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,44,19,53,29,37,24,52,40,40,27,52,47,50,47,39,42,45,44,32,44,48,52,47,48,44,50,39,45,40,58,32,39,45,55,34,45,42,66,30,60,24,55,29,48,22,44,35,50,34,47,27,44,24,39,27,48,26,30,34,40,26,35,40,42,24,35,30,29,26,32,26,21,24,21,34,19,32,19,26,14,29,16,24,9,32,11,22,8,35,11,27,4,24,3,26,3,21,0,21,-1,27,-6,21,-6,22,-6,22,-9,19,-13,22,-13,19,-14,0,0,0,0,0,0,-19,-13,-17,-9,-30,-13,-24,-8,-17,-6,-26,-6,-19,-4,-34,-6,-24,-3,-35,-6,-29,-1,-29,-3,-26,1,-26,0,-32,6,-30,9,-29,8,-29,8,-34,8,-24,11,-34,19,-27,13,-39,16,-32,14,-30,13,-30,16,-27,16,-30,26,-30,22,-27,22,-26,19,-35,22,-22,22,-29,30,-27,22,-42,35,-35,21,-30,26,-37,24,-29,21,-29,22,-30,34,-29,27,-24,22,-32,22,-22,24,-30,29,-26,19,-37,26,-29,17,-30,19,-29,11,-24,13,-26,9,-27,14,-26,13,-27,11,0,0,0,0,0,0,0,0,0,0]"""
1781972991839,2026-06-21T01:29:51.839,rx1,stage1,mhw,empty,t001,"CSI_DATA,93893,1a:00:00:00:00:00,-43,11,-99,19,24,11,735645428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,50,14,53,22,48,22,53,27,48,32,50,32,50,32,47,37,58,40,42,42,34,50,42,53,40,52,34,61,34,65,32,53,34,60,24,60,24,55,29,60,24,57,26,60,17,53,8,53,16,58,13,52,8,53,8,55,9,47,11,48,4,45,14,44,11,39,17,39,14,37,16,39,11,32,9,34,14,34,13,30,9,34,14,24,14,26,14,24,14,26,14,22,19,22,16,17,21,17,17,17,16,17,17,14,22,14,21,9,21,11,24,9,17,11,0,0,0,0,0,0,8,-26,0,-26,0,-24,1,-24,-3,-27,1,-27,0,-22,-3,-32,-1,-27,-6,-29,-4,-24,-8,-24,-9,-27,-8,-29,-4,-29,-6,-29,-9,-30,-11,-29,-8,-35,-11,-29,-14,-30,-9,-32,-14,-30,-14,-27,-13,-30,-19,-34,-16,-32,-11,-30,-16,-37,-17,-32,-14,-37,-16,-39,-14,-34,-16,-37,-13,-39,-16,-37,-16,-34,-17,-35,-16,-37,-16,-40,-11,-39,-8,-37,-8,-39,-3,-40,0,-40,-4,-37,-1,-39,1,-37,1,-35,0,-32,0,-34,0,-30,1,-32,6,-30,9,-27,13,-27,14,-26,0,0,0,0,0,0,0,0,0,0]"""
1781972991866,2026-06-21T01:29:51.866,rx1,stage1,mhw,empty,t001,"CSI_DATA,93894,1a:00:00:00:00:00,-43,11,-99,19,24,11,735656428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-50,16,-48,13,-58,11,-58,9,-60,8,-60,4,-61,6,-66,9,-58,-3,-65,4,-66,1,-61,1,-65,-3,-63,-3,-60,-1,-70,-9,-66,-9,-66,-8,-63,-13,-58,-9,-58,-6,-53,-13,-61,-6,-58,-4,-57,-6,-57,-6,-52,-6,-47,3,-53,-6,-47,-3,-42,0,-44,1,-47,4,-42,4,-39,9,-37,8,-32,11,-34,11,-34,13,-30,13,-27,14,-29,13,-22,16,-21,19,-21,19,-19,24,-17,19,-14,22,-14,17,-9,22,-11,21,-8,21,-3,22,-4,24,-4,24,-1,24,4,21,0,0,0,0,0,0,21,-8,17,-13,19,-16,21,-16,17,-16,21,-19,21,-21,17,-21,17,-24,16,-22,16,-26,9,-24,11,-26,11,-29,8,-30,8,-27,8,-30,6,-32,3,-30,6,-34,3,-32,-1,-35,1,-34,-3,-39,-4,-37,-1,-37,-8,-37,-11,-37,-9,-39,-11,-39,-13,-37,-14,-35,-8,-42,-13,-39,-13,-35,-13,-39,-17,-40,-14,-40,-16,-39,-11,-37,-16,-37,-16,-39,-11,-37,-13,-37,-14,-34,-11,-39,-9,-35,-13,-34,-11,-32,-11,-37,-9,-34,-9,-30,-4,-27,-6,-30,-4,-34,-3,-29,-4,-29,0,0,0,0,0,0,0,0,0,0]"""
1781972991884,2026-06-21T01:29:51.884,rx1,stage1,mhw,empty,t001,"CSI_DATA,93895,1a:00:00:00:00:00,-43,11,-99,17,25,11,735667428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,47,7,58,16,46,15,60,24,47,23,56,29,53,30,44,35,58,32,43,36,44,46,44,47,47,46,41,50,46,61,40,40,43,53,33,50,35,55,35,55,29,53,36,53,23,46,20,50,23,52,21,47,16,47,21,53,23,38,21,41,15,40,24,43,18,35,23,35,20,35,23,32,20,27,20,29,21,29,20,24,20,29,21,16,26,23,20,23,23,21,20,15,26,15,20,13,23,10,23,13,23,10,23,9,23,7,21,1,23,6,26,0,24,3,0,0,0,0,0,0,-3,-26,-6,-23,-7,-24,-9,-24,-9,-23,-10,-26,-10,-21,-15,-27,-12,-23,-16,-24,-18,-23,-15,-21,-21,-21,-16,-21,-16,-24,-20,-21,-21,-23,-23,-21,-26,-30,-21,-13,-30,-21,-26,-23,-29,-23,-26,-21,-26,-23,-32,-21,-26,-20,-27,-21,-32,-23,-29,-20,-29,-21,-32,-27,-30,-18,-35,-21,-29,-23,-40,-26,-32,-24,-33,-23,-30,-29,-30,-26,-26,-23,-27,-27,-27,-27,-24,-30,-24,-33,-24,-20,-24,-30,-21,-30,-21,-33,-15,-26,-20,-29,-13,-29,-15,-30,-7,-26,-10,-30,-9,-30,-6,-29,0,0,0,0,0,0,0,0,0,0]"""
1781972991902,2026-06-21T01:29:51.902,rx1,stage1,mhw,empty,t001,"CSI_DATA,93896,1a:00:00:00:00:00,-43,11,-99,19,24,11,735678428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,47,-19,52,-24,45,-30,53,-21,50,-34,58,-35,53,-30,50,-32,50,-35,47,-37,58,-35,55,-37,57,-35,50,-40,50,-37,44,-42,53,-35,50,-47,57,-44,45,-39,44,-37,39,-35,44,-34,53,-29,48,-29,44,-27,39,-26,40,-22,37,-24,40,-19,39,-24,48,-21,42,-14,37,-13,39,-8,32,-8,35,-4,40,-3,34,1,29,1,32,3,27,8,34,4,27,8,34,8,27,13,27,13,21,13,21,13,22,19,21,16,16,19,14,21,14,19,11,17,11,24,3,0,0,0,0,0,0,-4,-19,-4,-24,-11,-30,-6,-21,-8,-21,-13,-24,-9,-22,-16,-27,-16,-19,-17,-26,-19,-24,-14,-19,-19,-19,-21,-19,-29,-19,-24,-14,-30,-16,-27,-9,-30,-13,-27,-11,-34,-9,-30,-8,-39,-9,-39,-6,-37,-4,-34,-6,-35,-1,-42,3,-37,1,-35,3,-34,3,-37,4,-35,1,-40,8,-39,8,-50,9,-42,4,-40,8,-44,4,-35,4,-39,8,-42,13,-42,9,-34,9,-37,8,-34,9,-39,9,-34,9,-42,4,-35,4,-32,4,-30,1,-29,1,-30,6,-32,1,-27,0,-29,1,0,0,0,0,0,0,0,0,0,0]"""
1781972991918,2026-06-21T01:29:51.918,rx1,stage1,mhw,empty,t001,"CSI_DATA,93897,1a:00:00:00:00:00,-43,11,-99,18,25,11,735689428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,22,-43,32,-47,26,-40,40,-43,40,-37,46,-40,47,-37,47,-26,58,-37,55,-20,59,-16,64,-17,62,-13,64,-7,76,-2,56,-7,67,-4,62,2,64,7,65,5,59,8,61,10,50,13,53,19,56,17,50,17,44,23,52,25,40,14,44,16,37,20,44,20,37,17,38,13,37,19,35,14,31,14,32,14,31,14,28,14,31,16,28,7,29,7,28,10,29,10,23,8,28,4,26,8,26,2,26,7,26,4,26,1,26,1,23,2,23,0,26,-1,23,0,0,0,0,0,0,0,-7,-26,-4,-23,-7,-28,-8,-25,-8,-20,-10,-25,-10,-22,-14,-28,-10,-22,-13,-25,-13,-23,-10,-22,-16,-28,-11,-25,-10,-25,-13,-29,-16,-26,-11,-29,-14,-31,-16,-22,-17,-28,-13,-26,-17,-32,-17,-29,-14,-29,-19,-32,-13,-31,-14,-31,-16,-34,-14,-31,-13,-34,-14,-43,-14,-32,-17,-37,-11,-35,-16,-43,-8,-35,-11,-40,-7,-40,-7,-40,-4,-35,-1,-40,-1,-40,2,-40,7,-41,-1,-35,4,-37,8,-35,10,-37,11,-31,10,-32,14,-29,14,-31,17,-25,16,-22,20,-22,22,-19,0,0,0,0,0,0,0,0,0,0]"""
1781972991932,2026-06-21T01:29:51.932,rx1,stage1,mhw,empty,t001,"CSI_DATA,93898,1a:00:00:00:00:00,-43,11,-99,18,25,11,735700428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-40,38,-35,28,-52,38,-41,26,-56,31,-44,20,-47,20,-61,23,-59,17,-67,26,-58,16,-58,16,-65,16,-65,11,-53,8,-77,8,-55,10,-73,5,-52,1,-55,10,-59,2,-61,1,-67,2,-56,-1,-55,-1,-53,1,-55,-1,-44,2,-61,-4,-43,0,-47,2,-34,2,-46,5,-43,0,-38,7,-40,5,-41,7,-34,7,-37,7,-35,13,-26,10,-34,14,-25,7,-28,17,-19,11,-22,17,-22,16,-20,19,-20,16,-25,17,-19,16,-17,17,-13,19,-17,20,-13,22,-8,20,-7,25,0,0,0,0,0,0,20,4,28,4,16,-1,23,-5,31,-2,22,-2,28,-7,23,-4,29,-10,23,-5,23,-10,25,-13,26,-13,28,-17,25,-11,23,-14,25,-19,25,-19,25,-16,26,-23,20,-19,26,-23,19,-17,23,-23,25,-25,23,-25,26,-32,22,-28,26,-29,22,-29,25,-31,16,-28,31,-34,25,-26,23,-34,17,-23,22,-35,25,-29,20,-32,26,-31,26,-34,25,-28,28,-28,31,-31,25,-25,29,-26,25,-16,26,-28,19,-17,28,-23,26,-19,23,-20,28,-14,31,-16,22,-11,25,-11,26,-8,0,0,0,0,0,0,0,0,0,0]"""
1781972991947,2026-06-21T01:29:51.947,rx1,stage1,mhw,empty,t001,"CSI_DATA,93899,1a:00:00:00:00:00,-43,11,-99,17,25,11,735711428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,13,55,6,47,3,63,-3,52,-9,63,-12,53,-10,55,-15,64,-23,53,-23,67,-26,58,-27,55,-29,58,-35,55,-33,44,-53,55,-41,49,-53,43,-46,36,-41,35,-50,40,-49,32,-52,36,-46,32,-47,30,-47,29,-47,27,-36,21,-55,21,-44,18,-43,16,-36,16,-38,23,-43,16,-38,21,-36,18,-36,15,-33,15,-35,18,-32,20,-26,18,-36,15,-29,13,-27,18,-20,12,-24,21,-23,13,-18,20,-24,18,-23,20,-18,16,-20,20,-18,20,-21,20,-15,20,-18,18,-13,24,0,0,0,0,0,0,23,10,24,10,21,6,26,7,27,10,24,4,30,6,24,6,29,7,24,7,24,4,30,3,27,6,33,-1,30,0,27,1,30,0,29,0,29,0,38,1,29,1,33,1,29,1,32,0,36,-1,33,1,38,-1,35,-1,36,3,35,0,38,0,32,-1,46,7,38,4,38,3,33,6,43,4,38,12,41,6,38,12,41,12,38,13,35,16,38,18,32,13,33,21,26,23,33,15,23,18,27,23,24,23,26,21,20,24,21,26,15,24,12,24,10,26,0,0,0,0,0,0,0,0,0,0]"""
1781972991965,2026-06-21T01:29:51.965,rx1,stage1,mhw,empty,t001,"CSI_DATA,93900,1a:00:00:00:00:00,-43,11,-99,18,24,11,735722428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,52,-1,60,3,53,3,58,11,55,13,55,20,57,18,53,21,65,25,52,31,47,41,53,45,53,41,48,47,50,57,41,45,47,52,36,52,35,52,41,52,35,48,38,58,23,53,18,53,23,58,21,53,16,53,20,53,18,45,21,47,13,45,18,45,13,40,18,40,18,41,21,40,13,36,15,33,16,35,16,35,15,36,20,28,18,28,16,28,16,26,16,23,18,25,20,25,20,23,20,23,16,21,20,20,21,21,23,18,21,18,26,15,21,13,0,0,0,0,0,0,15,-26,11,-23,11,-25,10,-26,8,-23,13,-25,6,-25,10,-30,8,-26,5,-26,6,-28,6,-26,3,-31,5,-31,5,-28,5,-31,5,-30,5,-30,6,-35,-1,-30,0,-33,3,-31,1,-33,-3,-33,0,-35,-3,-36,0,-35,0,-33,1,-38,-3,-35,3,-36,1,-40,0,-38,-1,-41,3,-36,3,-43,3,-38,1,-40,5,-38,6,-40,11,-38,13,-35,15,-38,16,-36,18,-38,8,-33,16,-33,18,-31,16,-31,13,-25,16,-28,20,-25,18,-25,23,-23,23,-18,26,-16,25,-13,0,0,0,0,0,0,0,0,0,0]"""
1781972991988,2026-06-21T01:29:51.988,rx1,stage1,mhw,empty,t001,"CSI_DATA,93901,1a:00:00:00:00:00,-43,11,-99,16,25,11,735733428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,47,14,52,19,49,22,55,30,50,28,55,41,52,44,45,41,44,42,42,44,45,55,42,53,39,55,31,53,31,58,23,57,25,66,28,60,22,72,17,71,15,66,11,57,9,57,17,66,12,60,9,57,6,50,7,50,1,50,6,53,6,49,6,60,6,52,6,47,6,45,4,39,6,38,11,44,7,42,7,36,11,34,9,34,9,38,14,34,11,38,11,36,14,31,11,28,14,28,14,31,17,30,14,25,15,28,15,28,19,26,17,26,19,26,0,0,0,0,0,0,26,-20,17,-19,20,-26,20,-25,14,-19,15,-25,12,-23,15,-25,12,-28,15,-28,12,-28,11,-26,11,-26,11,-26,12,-30,11,-30,7,-31,6,-30,7,-30,9,-28,6,-33,6,-31,9,-36,7,-38,4,-36,7,-33,4,-34,3,-38,3,-36,4,-36,6,-33,4,-36,7,-33,7,-38,7,-38,12,-45,12,-41,9,-41,14,-39,14,-34,11,-34,14,-38,15,-36,15,-34,17,-30,17,-28,19,-31,17,-30,23,-31,23,-26,23,-25,23,-22,23,-19,23,-17,26,-19,25,-15,22,-12,0,0,0,0,0,0,0,0,0,0]"""
