pc_time_ms,datetime,rx_id,stage,subject_id,label,trial_id,raw_line
1782018777234,2026-06-21T14:12:57.234,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259310,1a:00:00:00:00:00,-48,11,-99,19,33,11,42820913,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,3,0,2,0,4,-1,2,-1,3,-2,3,-2,3,-3,4,-4,4,-2,3,-4,4,-4,4,-5,4,-6,3,-6,1,-6,4,-6,2,-7,3,-7,4,-7,3,-7,2,-8,2,-7,3,-8,4,-8,2,-10,4,-9,2,-8,3,-10,2,-9,3,-8,3,-9,4,-9,3,-8,3,-10,3,-8,5,-10,5,-10,4,-12,5,-10,3,-11,5,-12,2,-10,4,-11,4,-12,6,-12,6,-12,4,-12,4,-12,6,-14,6,-13,4,0,0,0,0,0,0,3,14,3,12,4,15,3,14,2,10,4,14,4,10,4,14,3,11,4,12,4,12,2,11,4,11,3,10,4,12,5,11,5,10,5,9,4,12,6,7,8,9,5,9,7,10,7,9,6,9,7,9,6,8,9,9,8,10,9,8,8,9,9,12,9,8,12,10,9,11,12,13,8,12,10,11,8,14,9,12,8,12,10,13,9,14,8,13,7,16,9,12,8,16,5,15,5,18,2,14,2,16,0,14,1,15,0,13,0,14,0,14,-3,13,0,0,0,0,0,0,0,0,0,0]"""
1782018777243,2026-06-21T14:12:57.243,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259311,1a:00:00:00:00:00,-48,11,-99,20,33,11,42831913,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,2,1,1,2,1,1,2,1,3,1,3,0,3,1,3,1,3,0,5,0,5,0,6,0,5,0,6,0,5,0,5,0,6,0,7,0,8,-1,6,-2,7,-2,8,-3,8,-2,7,-2,9,-2,8,-2,8,-2,7,-2,8,-2,9,-1,9,-2,10,-3,10,-4,8,-3,10,-4,10,-2,9,-3,11,-3,9,-3,11,-1,8,-1,10,-2,10,0,11,-2,13,-2,13,-4,10,-3,13,-3,13,-4,13,-4,13,-3,12,-3,14,0,0,0,0,0,0,13,5,15,6,11,3,13,4,14,5,11,4,13,5,11,4,13,5,9,3,10,2,11,2,13,2,13,2,10,3,11,1,12,1,12,2,11,1,13,0,10,0,12,0,9,0,10,-1,12,-1,13,-2,13,-2,11,0,13,-1,12,-2,14,-1,13,-3,16,-2,13,-2,15,-2,12,-1,14,-3,14,-3,16,-4,16,-2,18,-1,15,1,17,0,17,1,16,1,18,2,15,3,17,3,12,3,14,2,14,4,14,4,14,5,14,7,10,7,10,9,9,9,0,0,0,0,0,0,0,0,0,0]"""
1782018777255,2026-06-21T14:12:57.255,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259312,1a:00:00:00:00:00,-48,11,-99,19,33,11,42843125,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-2,-1,-2,-1,-2,-1,-3,-1,-3,-1,-4,-1,-4,0,-4,0,-4,0,-4,0,-6,0,-5,0,-6,0,-7,0,-6,0,-7,0,-7,0,-7,0,-8,0,-8,1,-8,2,-8,1,-8,3,-8,1,-8,1,-8,2,-9,2,-10,2,-9,1,-9,2,-9,2,-8,3,-10,3,-10,1,-10,1,-10,2,-10,3,-10,1,-11,2,-10,1,-12,2,-12,1,-12,2,-11,1,-12,2,-14,2,-12,2,-13,4,-13,3,-14,2,-13,3,-14,0,0,0,0,0,0,-14,-4,-14,-3,-14,-2,-14,-2,-13,-3,-12,-3,-13,-3,-14,-3,-12,-3,-13,-4,-12,-2,-12,-1,-11,-1,-12,0,-13,-1,-11,0,-12,0,-11,0,-10,0,-12,0,-12,1,-11,1,-12,1,-12,1,-12,4,-11,2,-12,4,-12,4,-12,4,-12,4,-12,4,-12,5,-15,3,-14,4,-13,4,-15,4,-16,4,-15,4,-16,5,-15,2,-16,4,-17,3,-17,2,-16,2,-16,1,-17,0,-16,0,-16,0,-16,-1,-17,-2,-15,-3,-15,-2,-13,-4,-15,-5,-13,-6,-11,-5,-11,-7,0,0,0,0,0,0,0,0,0,0]"""
1782018777262,2026-06-21T14:12:57.262,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259313,1a:00:00:00:00:00,-48,11,-99,18,33,11,42853913,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,2,3,1,3,1,3,1,4,2,4,1,5,0,5,1,5,1,5,0,6,1,6,0,6,0,6,1,8,0,8,0,7,0,9,0,8,-1,8,-1,9,0,9,0,8,-1,8,0,10,0,9,0,9,0,9,0,10,0,9,-1,10,0,10,0,10,-1,11,0,11,0,11,0,12,0,11,0,11,0,12,0,12,0,13,0,13,0,12,0,14,0,14,0,14,0,14,0,15,1,16,0,0,0,0,0,0,16,1,15,1,14,0,13,0,13,1,13,1,13,0,13,0,13,0,12,0,12,-1,11,0,13,-2,12,-1,11,0,11,-1,11,-2,11,-1,12,-1,10,-3,11,-4,12,-2,10,-4,10,-4,11,-4,11,-6,12,-5,11,-5,12,-6,11,-7,12,-5,13,-5,12,-8,12,-7,13,-7,14,-7,12,-7,13,-9,14,-8,15,-8,15,-7,16,-5,16,-6,17,-5,17,-4,16,-5,16,-3,17,-2,16,-1,15,-1,15,-1,14,-1,16,0,14,0,13,3,13,3,12,5,0,0,0,0,0,0,0,0,0,0]"""
1782018777270,2026-06-21T14:12:57.270,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259314,1a:00:00:00:00:00,-48,11,-99,14,33,11,42864913,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-3,5,3,16,-15,-4,8,-19,-1,6,20,-17,8,5,17,-3,-12,-13,1,7,11,-2,-2,0,10,-2,5,-19,-3,0,5,-14,12,-4,3,-2,13,-5,3,0,3,-1,9,-4,6,-9,3,-10,5,-9,2,-8,3,-7,6,-6,4,-9,3,-6,5,-8,4,-9,6,-8,4,-9,4,-8,3,-7,2,-11,4,-10,2,-10,4,-10,0,-10,0,-10,0,-11,0,-14,2,-11,0,-12,2,-12,0,-10,-1,-12,-3,-15,-3,-11,-1,-13,-1,-14,-4,-14,-4,-15,-3,-14,0,0,0,0,0,0,-13,5,-11,4,-16,6,-13,5,-10,4,-13,6,-10,6,-13,7,-9,7,-13,7,-11,7,-10,6,-8,7,-8,6,-9,11,-7,10,-6,10,-5,9,-6,10,-4,9,-4,12,-3,10,-4,13,-3,12,-3,11,-2,11,-1,11,1,14,1,13,1,12,1,12,1,14,2,12,5,15,3,14,4,20,2,17,3,15,1,16,1,15,3,14,6,17,4,17,4,14,3,17,5,14,5,17,4,15,2,21,1,16,1,15,-1,14,0,13,0,14,1,16,0,13,-1,13,0,0,0,0,0,0,0,0,0,0]"""
1782018777289,2026-06-21T14:12:57.289,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259315,1a:00:00:00:00:00,-48,11,-99,18,33,11,42875913,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,-1,0,-2,1,-1,1,-2,1,-2,1,-3,0,-3,1,-4,1,-4,0,-4,1,-4,1,-5,0,-6,0,-5,0,-6,0,-6,0,-7,0,-8,0,-6,-1,-7,0,-7,0,-8,-1,-8,-1,-7,-2,-7,-1,-9,-2,-8,-2,-9,-2,-8,-2,-10,-1,-9,-2,-9,-1,-9,-2,-10,-1,-10,-1,-11,-2,-11,-1,-10,-1,-11,-3,-11,-2,-11,0,-10,-2,-12,-1,-12,-1,-11,0,-12,-2,-12,0,-13,-1,-12,-2,-13,-1,-15,-3,-14,-2,-13,-1,-14,-1,0,0,0,0,0,0,-2,14,-2,14,0,14,-1,14,-2,14,-1,13,-1,15,-1,13,-1,14,-1,13,-1,13,0,13,0,13,0,12,0,12,1,11,2,12,2,11,1,10,1,12,3,11,3,11,3,11,5,11,5,12,4,11,5,12,7,11,6,11,7,11,6,11,7,10,6,14,7,13,7,13,6,13,9,15,7,14,8,14,6,15,7,15,7,16,6,17,6,16,6,15,4,17,2,17,4,16,2,15,2,17,0,15,0,15,-1,15,0,16,-1,14,-3,12,-3,12,0,0,0,0,0,0,0,0,0,0]"""
1782018777310,2026-06-21T14:12:57.310,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259316,1a:00:00:00:00:00,-48,11,-99,18,33,11,42886913,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,2,0,3,0,2,0,4,-1,3,0,5,0,4,-1,5,-1,5,-1,6,0,5,0,6,-1,6,0,6,0,7,-1,6,-1,8,-1,7,0,7,0,8,-1,8,-1,8,-1,10,0,7,-2,9,-3,8,-1,10,-3,9,-2,8,-3,9,-3,9,-4,8,-3,9,-5,9,-5,8,-5,10,-5,7,-8,9,-8,9,-7,10,-9,8,-7,8,-10,9,-9,7,-9,7,-10,6,-11,6,-11,8,-12,6,-12,6,-12,7,-15,7,-12,0,0,0,0,0,0,-14,-6,-13,-4,-15,-5,-14,-5,-11,-3,-14,-4,-11,-2,-15,-2,-11,-2,-14,-1,-13,0,-11,0,-12,1,-11,0,-12,0,-11,2,-11,3,-11,4,-12,4,-9,5,-10,7,-11,5,-10,7,-9,7,-9,6,-8,9,-8,9,-7,10,-7,11,-6,11,-6,10,-9,13,-5,12,-5,14,-7,13,-7,17,-6,13,-5,15,-7,15,-5,16,-5,15,-5,16,-5,17,-5,16,-7,17,-4,15,-5,17,-7,14,-7,17,-7,13,-7,14,-7,12,-7,13,-8,11,-7,11,-7,11,-10,11,0,0,0,0,0,0,0,0,0,0]"""
1782018777323,2026-06-21T14:12:57.323,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259317,1a:00:00:00:00:00,-48,11,-99,18,33,11,42897913,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-2,1,-1,0,-2,0,-3,0,-3,1,-3,0,-3,0,-4,1,-4,1,-5,0,-5,0,-5,1,-5,0,-6,0,-6,0,-7,0,-6,0,-5,0,-6,-1,-6,-1,-8,0,-9,-1,-7,-1,-7,-2,-9,-1,-7,-2,-9,-2,-8,-1,-11,-3,-10,-2,-9,-2,-9,-2,-9,-1,-9,-1,-11,0,-10,-1,-10,-1,-11,-1,-11,-1,-12,0,-11,0,-13,0,-12,-1,-12,0,-11,0,-11,0,-12,0,-14,0,-13,0,-14,-1,-15,-1,-15,0,-15,0,-15,0,0,0,0,0,0,0,-1,15,0,13,0,16,0,14,0,12,0,15,0,12,0,15,0,12,0,14,0,13,1,12,0,11,1,11,3,13,3,12,3,12,3,10,3,11,3,11,5,11,5,10,5,12,5,11,6,11,5,11,6,10,8,11,9,11,9,10,8,10,9,11,8,10,10,11,10,10,11,14,10,13,10,12,10,14,8,13,9,12,11,14,9,15,8,13,9,15,7,14,7,17,7,14,5,17,4,15,4,16,3,15,2,14,2,14,1,16,0,14,0,13,0,0,0,0,0,0,0,0,0,0]"""
1782018777335,2026-06-21T14:12:57.335,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259318,1a:00:00:00:00:00,-48,11,-99,22,32,11,42909956,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,2,0,3,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,7,2,5,1,7,4,6,2,5,2,6,4,5,3,7,4,7,3,8,4,7,4,7,4,7,4,8,5,7,4,9,5,7,4,9,5,8,5,9,3,9,5,9,5,9,5,10,5,11,5,9,3,11,6,9,5,11,5,8,4,13,3,11,4,13,3,11,5,13,3,12,5,12,5,13,4,14,5,14,5,13,3,14,3,0,0,0,0,0,0,5,-12,5,-16,3,-11,4,-13,5,-17,4,-11,5,-15,3,-12,3,-15,3,-12,2,-12,2,-14,2,-12,1,-14,1,-11,0,-11,0,-13,0,-12,0,-10,-1,-13,0,-11,-1,-12,-1,-10,-2,-11,-3,-12,-3,-11,-5,-13,-5,-12,-4,-12,-6,-13,-6,-13,-6,-11,-5,-16,-5,-13,-7,-14,-5,-13,-8,-16,-5,-15,-8,-14,-5,-15,-7,-17,-5,-16,-4,-17,-4,-16,-5,-15,-3,-19,-2,-16,-5,-17,-1,-13,-2,-17,0,-16,-2,-15,0,-15,0,-17,1,-14,3,-12,3,-12,0,0,0,0,0,0,0,0,0,0]"""
1782018777346,2026-06-21T14:12:57.346,rx1,stage1,mhw,sitting_still,t001,"CSI_DATA,259319,1a:00:00:00:00:00,-48,11,-99,18,33,11,42919913,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-2,-1,-2,0,-3,0,-3,-1,-4,-1,-4,0,-4,0,-4,0,-4,0,-4,0,-6,0,-6,0,-6,1,-6,0,-6,0,-7,0,-8,0,-8,0,-8,1,-8,1,-8,1,-8,0,-8,3,-10,2,-8,1,-9,1,-8,1,-10,2,-9,1,-10,1,-9,0,-11,1,-11,1,-11,0,-11,0,-10,0,-11,0,-11,0,-12,0,-10,0,-13,0,-12,-1,-12,0,-14,0,-14,0,-13,0,-13,0,-13,0,-16,0,-14,0,-14,-2,-14,0,0,0,0,0,0,-15,1,-16,0,-13,1,-14,1,-16,2,-12,0,-14,1,-13,1,-14,2,-12,2,-12,2,-12,4,-11,3,-13,5,-11,4,-11,5,-11,5,-11,5,-9,5,-12,5,-10,6,-10,7,-9,6,-9,7,-10,9,-9,7,-10,9,-9,10,-9,10,-9,11,-9,11,-7,11,-11,11,-10,11,-9,11,-9,10,-10,14,-10,12,-9,14,-11,12,-11,12,-12,12,-13,12,-13,12,-11,11,-14,11,-13,8,-13,11,-11,7,-15,9,-13,7,-13,8,-14,5,-14,6,-14,4,-13,3,-13,2,0,0,0,0,0,0,0,0,0,0]"""
