pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782215054909,2026-06-23T20:44:14.909,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49843,1a:00:00:00:00:00,-41,11,-99,16,25,11,572189243,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,39,16,48,13,32,9,48,22,42,13,48,22,55,32,45,29,55,29,39,26,55,35,55,32,55,32,58,35,65,45,52,29,65,42,58,35,68,42,68,55,68,52,65,52,55,42,65,39,71,42,65,35,61,39,71,55,61,29,81,35,61,39,87,39,68,45,71,35,71,35,71,29,68,22,84,16,81,16,74,13,87,22,71,-3,94,3,87,13,113,6,84,13,97,-3,94,16,91,0,97,-9,110,-22,107,-29,110,-16,100,-6,110,-35,117,-19,113,-16,0,0,0,0,0,0,-16,-117,-19,-94,-32,-123,-9,-110,-26,-81,-26,-117,-29,-87,-39,-117,-32,-84,-32,-113,-29,-100,-19,-87,-42,-91,-26,-78,-48,-91,-48,-87,-55,-81,-48,-71,-48,-94,-48,-52,-68,-78,-52,-68,-68,-81,-58,-78,-58,-71,-61,-68,-48,-58,-74,-58,-71,-61,-68,-55,-65,-55,-71,-68,-65,-42,-81,-48,-65,-52,-94,-71,-61,-68,-68,-58,-65,-68,-58,-58,-58,-52,-78,-55,-71,-55,-55,-48,-55,-58,-61,-39,-65,-48,-48,-52,-55,-71,-35,-55,-42,-55,-29,-58,-35,-48,-32,-55,-35,-52,-29,-48,-26,-55,0,0,0,0,0,0,0,0,0,0]"""
1782215054918,2026-06-23T20:44:14.918,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49844,1a:00:00:00:00:00,-41,11,-99,13,26,11,572200243,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-37,-9,-47,-15,-34,-18,-44,-22,-41,-25,-50,-34,-41,-37,-37,-37,-47,-37,-31,-37,-41,-47,-41,-50,-37,-47,-41,-47,-41,-63,-37,-47,-44,-60,-37,-56,-44,-66,-25,-75,-15,-75,-31,-66,-15,-69,-31,-72,-31,-69,-28,-66,-18,-66,-22,-85,-28,-60,-34,-69,-25,-72,-34,-85,-18,-75,-25,-75,-22,-79,-28,-75,-25,-69,-41,-75,-31,-72,-34,-69,-28,-85,-50,-69,-53,-82,-34,-85,-44,-98,-25,-82,-37,-91,-18,-94,-41,-82,-41,-91,-56,-94,-56,-94,-44,-104,-41,-94,-53,-94,-47,-110,-44,-104,0,0,0,0,0,0,-120,34,-101,28,-120,41,-110,22,-91,22,-120,28,-85,28,-113,28,-88,25,-107,22,-110,18,-94,3,-101,25,-88,6,-98,18,-94,22,-91,28,-82,18,-98,15,-75,31,-91,37,-82,22,-94,25,-94,18,-82,12,-85,25,-85,15,-88,28,-91,25,-85,22,-85,22,-104,15,-75,28,-91,31,-85,15,-110,18,-91,0,-91,3,-88,-9,-91,0,-75,-3,-91,6,-85,-6,-75,-6,-82,-25,-72,-3,-79,-9,-69,-22,-79,-28,-56,-31,-63,-31,-47,-37,-53,-31,-50,-34,-47,-41,-47,-41,-37,-37,0,0,0,0,0,0,0,0,0,0]"""
1782215054926,2026-06-23T20:44:14.926,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49845,1a:00:00:00:00:00,-41,11,-99,18,25,11,572211243,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-27,-33,-27,-33,-33,-43,-27,-39,-27,-52,-21,-39,-24,-39,-24,-55,-27,-55,-27,-61,-12,-55,-12,-61,-12,-61,-3,-67,-9,-64,-9,-76,-9,-64,0,-76,0,-58,3,-67,3,-86,3,-73,0,-86,9,-70,12,-79,12,-73,12,-79,12,-73,12,-89,9,-76,12,-76,12,-61,-3,-76,9,-76,-3,-76,3,-86,9,-86,15,-73,15,-82,12,-95,6,-82,6,-95,6,-82,0,-95,6,-70,-6,-89,-3,-89,-9,-95,3,-110,3,-107,15,-89,12,-113,12,-110,12,-113,21,-113,3,-104,12,-107,0,0,0,0,0,0,-119,-18,-125,-27,-92,-15,-107,-21,-122,-27,-92,-27,-113,-27,-95,-18,-110,-36,-86,-21,-95,-21,-98,-21,-101,-18,-107,-21,-82,-30,-92,-27,-98,-21,-92,-30,-89,-21,-104,-21,-82,-15,-95,-24,-73,-15,-79,-12,-89,-15,-101,-12,-98,-12,-86,-18,-95,-27,-89,-21,-95,-30,-92,-21,-101,-30,-82,-24,-86,-24,-73,-24,-89,-21,-79,-30,-82,-24,-86,-36,-86,-43,-64,-49,-70,-46,-70,-55,-67,-46,-61,-55,-49,-55,-55,-49,-39,-39,-46,-46,-46,-49,-46,-46,-39,-55,-33,-52,-24,-52,-15,-58,-9,-55,0,0,0,0,0,0,0,0,0,0]"""
1782215054932,2026-06-23T20:44:14.932,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49846,1a:00:00:00:00:00,-41,11,-99,22,24,11,572222274,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,36,24,39,33,36,21,39,33,36,33,36,43,33,46,27,49,36,55,27,49,33,52,30,58,30,58,27,61,27,73,24,52,30,67,24,64,21,73,21,70,12,58,24,76,6,70,9,70,9,82,9,76,9,79,0,89,15,61,18,79,9,76,18,86,0,76,9,73,6,82,12,82,12,70,18,79,18,76,18,76,6,89,36,73,30,92,12,89,24,107,6,86,30,95,12,95,21,101,21,104,33,107,36,110,24,113,24,104,33,101,24,122,18,110,0,0,0,0,0,0,129,0,104,-9,122,-9,110,0,95,-6,125,0,92,-6,119,-6,98,-3,107,-6,107,6,95,9,107,-6,95,6,95,0,101,-3,95,-3,89,-6,104,9,79,-15,92,-12,95,-3,98,-9,89,0,86,6,98,-9,82,3,89,-9,95,-6,86,-9,82,3,104,3,79,-12,92,-6,92,6,107,3,89,18,92,12,92,21,89,21,79,18,82,18,92,12,73,18,79,36,70,9,76,27,64,36,76,46,55,43,55,39,43,46,46,39,43,46,39,49,36,39,30,46,0,0,0,0,0,0,0,0,0,0]"""
1782215054940,2026-06-23T20:44:14.940,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49847,1a:00:00:00:00:00,-41,11,-99,16,25,11,572233359,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,29,26,35,32,29,29,32,39,39,32,39,42,35,52,26,42,35,48,22,42,35,55,35,48,35,55,35,52,35,58,29,52,39,61,39,55,45,68,32,78,35,71,35,65,35,55,48,68,48,61,39,58,39,58,42,65,42,55,52,65,48,58,61,74,52,68,55,58,55,61,52,52,55,48,74,48,71,48,61,45,68,52,68,32,84,32,84,39,104,48,84,45,94,35,84,45,84,32,91,29,117,22,91,26,100,29,104,35,117,13,110,26,104,32,0,0,0,0,0,0,26,-110,16,-97,16,-136,22,-107,9,-87,13,-117,6,-100,9,-113,0,-94,13,-117,6,-107,6,-94,0,-91,-3,-87,-16,-107,-19,-91,-22,-94,-22,-84,-16,-91,-22,-71,-29,-87,-26,-84,-39,-100,-29,-91,-29,-81,-22,-84,-32,-78,-48,-81,-48,-78,-42,-78,-39,-78,-45,-84,-45,-68,-48,-71,-48,-74,-61,-97,-35,-87,-45,-81,-42,-87,-32,-65,-42,-71,-48,-78,-42,-71,-35,-65,-32,-68,-35,-58,-42,-68,-26,-65,-29,-84,-22,-65,-22,-65,-16,-61,-16,-55,-9,-58,-13,-61,-13,-55,-6,-55,0,0,0,0,0,0,0,0,0,0]"""
1782215054949,2026-06-23T20:44:14.949,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49848,1a:00:00:00:00:00,-41,11,-99,18,25,11,572244243,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-36,-15,-46,-30,-36,-18,-46,-27,-36,-24,-46,-39,-36,-49,-27,-39,-36,-46,-30,-43,-39,-46,-39,-49,-36,-52,-33,-55,-30,-70,-30,-46,-30,-64,-30,-64,-33,-76,-15,-73,-6,-73,-21,-73,-15,-70,-21,-73,-24,-70,-21,-70,-18,-76,-18,-89,-24,-61,-24,-76,-18,-73,-24,-89,-9,-79,-15,-76,-12,-79,-15,-76,-18,-76,-33,-76,-30,-73,-27,-67,-21,-86,-43,-70,-43,-82,-24,-89,-36,-107,-15,-79,-36,-92,-18,-95,-27,-86,-27,-89,-49,-98,-49,-95,-36,-107,-30,-95,-49,-98,-39,-110,-39,-104,0,0,0,0,0,0,-122,33,-95,21,-125,30,-113,21,-89,24,-119,18,-82,27,-116,21,-89,18,-116,18,-110,9,-92,-3,-101,18,-82,3,-98,15,-95,21,-95,21,-82,15,-101,12,-73,27,-95,24,-89,18,-101,21,-92,15,-86,9,-89,18,-82,6,-92,21,-92,18,-86,18,-82,15,-107,9,-70,24,-95,21,-86,12,-110,12,-89,-6,-89,3,-89,-9,-86,-12,-79,-3,-89,-3,-82,-3,-70,-9,-79,-18,-73,-6,-79,-15,-70,-24,-86,-36,-61,-33,-61,-30,-49,-43,-49,-36,-43,-33,-55,-36,-39,-33,-36,-39,0,0,0,0,0,0,0,0,0,0]"""
1782215054957,2026-06-23T20:44:14.957,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49849,1a:00:00:00:00:00,-41,11,-99,18,25,11,572255243,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-43,3,-46,-6,-46,-6,-49,-9,-46,-18,-49,-12,-49,-12,-49,-21,-61,-18,-52,-24,-46,-33,-55,-27,-52,-30,-55,-43,-52,-49,-52,-39,-55,-46,-46,-58,-58,-46,-43,-52,-46,-58,-61,-52,-55,-52,-49,-58,-52,-64,-49,-61,-46,-61,-49,-67,-46,-61,-52,-58,-39,-64,-49,-61,-46,-58,-55,-55,-55,-58,-61,-64,-52,-58,-49,-58,-55,-61,-58,-58,-55,-70,-58,-61,-58,-58,-64,-67,-61,-58,-58,-61,-64,-58,-73,-61,-79,-70,-76,-70,-70,-64,-79,-79,-82,-86,-61,-70,-76,-79,-89,-82,-73,-82,0,0,0,0,0,0,-101,76,-98,67,-89,64,-92,58,-82,64,-95,52,-86,58,-86,64,-92,46,-86,58,-76,58,-79,52,-79,70,-82,58,-82,43,-76,55,-76,55,-79,52,-86,52,-76,55,-67,61,-76,49,-67,52,-64,58,-64,52,-73,64,-67,55,-67,46,-73,58,-73,52,-76,52,-86,52,-76,52,-76,49,-79,43,-76,49,-70,39,-76,49,-79,49,-82,46,-79,36,-79,24,-79,30,-79,21,-86,18,-76,15,-73,12,-73,6,-67,9,-55,0,-70,3,-64,0,-67,-3,-61,-12,-55,-12,-55,-18,-55,-27,0,0,0,0,0,0,0,0,0,0]"""
1782215054965,2026-06-23T20:44:14.965,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49850,1a:00:00:00:00:00,-41,11,-99,18,25,11,572266243,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-24,33,-30,39,-27,33,-36,43,-27,33,-36,36,-43,36,-43,30,-43,43,-39,30,-49,36,-49,43,-46,43,-52,39,-64,46,-49,39,-58,49,-55,39,-58,36,-52,49,-49,36,-58,52,-58,36,-61,49,-61,49,-58,52,-58,46,-67,58,-49,52,-55,64,-55,55,-55,67,-58,55,-49,61,-52,64,-46,70,-39,61,-39,76,-39,70,-33,79,-49,82,-18,79,-30,89,-30,79,-33,101,-27,82,-21,98,-24,89,-15,95,-12,98,-9,107,-9,104,-18,119,-9,107,-3,113,-3,119,-12,110,0,0,0,0,0,0,116,15,107,9,125,0,113,6,98,3,116,3,92,-6,113,-3,98,-6,110,-9,104,-12,92,-9,101,-24,92,-12,98,-18,92,-27,89,-33,82,-27,95,-30,76,-43,86,-43,86,-33,86,-49,76,-46,76,-43,82,-58,73,-43,70,-52,70,-55,64,-58,73,-52,82,-58,58,-52,67,-61,73,-55,79,-70,67,-52,67,-61,73,-58,73,-55,64,-49,70,-61,64,-55,64,-49,73,-49,55,-49,67,-49,61,-36,73,-43,58,-30,61,-39,58,-24,61,-30,52,-21,55,-24,55,-24,58,-9,0,0,0,0,0,0,0,0,0,0]"""
1782215054972,2026-06-23T20:44:14.972,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49851,1a:00:00:00:00:00,-41,11,-99,17,25,11,572277243,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-34,25,-31,25,-44,25,-37,18,-47,22,-50,22,-47,22,-50,28,-50,18,-47,31,-60,28,-56,25,-60,18,-63,22,-56,22,-72,22,-66,28,-69,25,-72,22,-69,18,-72,22,-66,22,-72,28,-72,28,-69,28,-72,31,-69,28,-69,34,-82,25,-72,34,-66,37,-66,37,-72,47,-69,41,-60,50,-66,41,-66,50,-66,56,-66,60,-60,63,-56,66,-63,56,-60,63,-53,72,-53,63,-50,85,-53,72,-37,85,-53,79,-47,88,-53,85,-50,91,-50,91,-50,101,-53,101,-53,94,-44,104,0,0,0,0,0,0,113,41,107,34,101,31,107,25,110,31,104,28,113,31,104,28,107,22,98,25,98,18,104,12,98,15,101,0,98,3,91,3,101,-6,98,-3,91,-9,94,3,91,-9,88,-15,88,-18,91,-15,94,-28,79,-12,88,-31,85,-31,91,-28,85,-37,85,-34,75,-41,94,-25,88,-34,75,-34,82,-25,88,-44,85,-25,79,-44,82,-31,82,-31,82,-25,88,-22,82,-25,79,-28,75,-22,79,-15,69,-25,66,-12,72,-18,66,-12,66,-25,60,0,66,-12,60,0,53,0,53,6,0,0,0,0,0,0,0,0,0,0]"""
1782215054979,2026-06-23T20:44:14.979,danger,breathing,mhw,lying_apnea_like,t012,"CSI_DATA,49852,1a:00:00:00:00:00,-41,11,-99,22,24,11,572288243,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,18,43,15,33,15,49,15,39,18,52,12,46,9,43,18,55,15,58,18,61,9,58,15,61,15,64,9,67,12,58,12,82,12,70,9,79,6,61,18,64,24,76,6,79,21,82,15,67,15,73,18,76,15,82,21,67,15,89,15,73,21,79,24,67,33,73,27,76,39,70,36,76,43,86,43,73,46,76,55,70,49,58,52,79,46,70,64,64,49,52,76,61,70,70,86,58,82,70,82,64,76,64,79,73,86,67,98,73,86,67,86,61,98,55,0,0,0,0,0,0,55,-98,61,-107,46,-86,49,-98,61,-119,46,-86,58,-110,43,-89,46,-104,39,-86,33,-95,21,-101,33,-95,18,-104,27,-92,15,-95,9,-98,9,-95,6,-82,15,-107,3,-89,0,-98,0,-79,-6,-89,-6,-95,-9,-89,-12,-101,-12,-92,-15,-86,-18,-95,-18,-95,-27,-79,-12,-110,-18,-89,-27,-89,-12,-76,-30,-95,-18,-92,-30,-76,-18,-89,-18,-89,-12,-89,-12,-92,-15,-95,-15,-79,-6,-82,0,-70,-18,-76,-3,-55,-12,-73,-3,-64,-12,-61,3,-64,-3,-64,3,-58,12,-55,15,-49,0,0,0,0,0,0,0,0,0,0]"""
