pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782273880211,2026-06-24T13:04:40.211,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598415,1a:00:00:00:00:00,-57,11,-98,16,43,11,544991301,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-15,4,-13,4,-14,7,-13,8,-14,9,-14,9,-14,10,-13,10,-11,11,-10,14,-10,13,-11,13,-10,16,-9,15,-8,17,-8,19,-9,17,-7,19,-7,17,-5,21,-2,20,-5,22,-7,21,-2,20,-3,20,-3,21,-2,22,-1,22,-1,22,0,21,0,24,-1,23,-1,24,-1,24,-1,24,-3,26,-3,28,-2,28,-2,29,-4,29,-4,30,-4,32,-4,32,-7,33,-5,34,-7,35,-7,35,-9,39,-9,40,-9,39,-8,39,-9,41,-9,43,-9,46,-11,46,-13,47,-11,0,0,0,0,0,0,-9,-51,-11,-49,-11,-45,-11,-49,-14,-49,-14,-46,-11,-48,-14,-49,-15,-46,-15,-46,-16,-46,-17,-45,-20,-46,-19,-42,-21,-43,-22,-40,-26,-43,-23,-41,-24,-42,-26,-40,-28,-39,-28,-40,-28,-36,-28,-35,-29,-39,-30,-35,-33,-36,-36,-34,-36,-34,-38,-32,-36,-32,-36,-32,-38,-35,-38,-34,-35,-29,-35,-33,-38,-33,-35,-32,-38,-32,-35,-33,-35,-30,-35,-32,-34,-33,-33,-32,-32,-30,-33,-30,-29,-32,-30,-28,-26,-29,-24,-28,-24,-28,-24,-28,-21,-28,-23,-27,-17,-27,-16,-26,-13,-27,0,0,0,0,0,0,0,0,0,0]"""
1782273880218,2026-06-24T13:04:40.218,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598416,1a:00:00:00:00:00,-57,11,-98,18,43,11,545001175,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,-14,-6,-13,-5,-13,-5,-14,-3,-15,-1,-15,0,-15,0,-15,0,-15,1,-15,0,-17,2,-17,1,-16,3,-17,5,-17,5,-17,3,-17,5,-19,4,-19,11,-17,12,-17,7,-20,10,-19,11,-17,11,-20,10,-20,11,-19,13,-19,12,-19,10,-20,11,-20,13,-23,11,-20,13,-21,11,-23,11,-23,11,-22,10,-24,11,-26,8,-26,8,-29,6,-29,8,-31,6,-33,7,-33,7,-32,7,-37,5,-39,6,-37,5,-40,3,-42,4,-41,3,-43,4,-44,2,-46,-1,-48,0,-47,0,0,0,0,0,0,-50,0,-51,2,-50,3,-52,1,-49,6,-50,5,-48,7,-51,10,-48,10,-50,8,-48,11,-47,10,-47,15,-44,16,-44,17,-42,19,-41,23,-41,21,-42,22,-37,25,-37,30,-39,28,-33,30,-34,31,-35,33,-34,33,-32,34,-30,38,-31,40,-29,40,-29,38,-29,40,-24,42,-24,43,-24,41,-25,46,-24,42,-23,42,-23,44,-22,43,-22,40,-21,43,-19,42,-19,40,-20,41,-15,39,-19,38,-17,38,-20,37,-17,33,-19,31,-20,30,-16,32,-19,29,-16,28,-16,28,-17,26,0,0,0,0,0,0,0,0,0,0]"""
1782273880225,2026-06-24T13:04:40.225,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598417,1a:00:00:00:00:00,-57,11,-98,16,43,11,545011174,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1,15,-3,14,-4,15,-5,15,-7,14,-8,14,-9,14,-10,15,-10,14,-9,14,-11,14,-13,13,-11,11,-15,14,-15,11,-17,10,-16,10,-16,10,-16,5,-19,3,-19,9,-21,5,-21,10,-22,5,-20,7,-22,5,-23,4,-22,4,-17,5,-21,7,-21,5,-24,3,-23,2,-24,7,-27,4,-27,8,-27,8,-26,9,-29,9,-28,9,-29,9,-29,9,-32,10,-32,10,-33,11,-33,13,-33,15,-34,15,-36,16,-36,16,-39,14,-41,16,-40,19,-42,21,-46,22,-42,21,0,0,0,0,0,0,21,47,21,46,20,45,20,46,22,43,21,45,23,45,23,43,22,43,23,42,23,41,24,40,28,40,27,40,28,38,32,34,33,35,30,36,32,36,33,34,36,32,34,32,33,29,34,28,35,29,40,29,39,27,40,24,41,24,43,23,41,23,45,26,41,26,43,22,43,22,43,24,42,23,45,21,45,24,42,26,41,21,42,23,41,22,40,22,38,23,38,22,35,22,35,23,33,23,33,22,30,23,30,22,28,22,28,21,24,22,23,21,20,21,0,0,0,0,0,0,0,0,0,0]"""
1782273880231,2026-06-24T13:04:40.231,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598418,1a:00:00:00:00:00,-57,11,-98,16,43,11,545022864,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,-2,15,-1,15,0,16,2,15,2,15,3,14,5,14,7,15,7,14,7,14,10,14,10,14,11,11,13,11,14,9,16,11,15,11,15,9,16,8,19,10,20,8,19,4,21,5,22,4,21,3,20,2,21,0,26,3,19,2,23,1,24,1,24,-1,26,1,22,0,27,-1,27,1,27,1,27,0,28,2,27,2,30,1,30,2,33,3,34,2,35,1,35,0,36,1,36,3,38,2,40,2,43,2,43,0,45,-1,47,2,45,0,47,-1,48,0,0,0,0,0,0,51,4,51,4,52,2,49,7,52,4,51,5,49,3,52,4,48,4,48,5,51,4,47,3,48,4,48,2,48,2,47,0,49,-2,49,-1,46,0,48,-2,47,-7,46,-4,47,-5,47,-4,47,-4,48,-4,47,-7,47,-8,48,-8,47,-9,48,-7,48,-8,49,-8,49,-9,47,-7,53,-4,49,-5,49,-7,51,-5,48,-2,46,-4,47,-1,46,0,45,0,45,2,42,-1,43,1,42,2,40,5,38,5,38,7,34,8,35,9,33,10,32,11,29,11,28,14,0,0,0,0,0,0,0,0,0,0]"""
1782273880239,2026-06-24T13:04:40.239,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598419,1a:00:00:00:00:00,-57,11,-98,17,43,11,545033173,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,-3,-15,-3,-12,-5,-13,-6,-15,-9,-13,-10,-13,-9,-12,-8,-12,-10,-12,-12,-12,-12,-10,-12,-11,-15,-9,-16,-10,-15,-6,-18,-8,-17,-5,-17,-4,-16,-6,-19,-6,-21,-5,-19,-4,-20,-4,-19,-4,-19,-3,-19,-3,-21,-2,-21,-3,-23,-3,-21,-3,-20,-5,-21,-4,-24,-3,-24,-4,-26,-4,-25,-4,-26,-6,-26,-5,-27,-9,-28,-6,-27,-11,-28,-9,-27,-13,-31,-9,-31,-13,-31,-13,-32,-16,-33,-16,-35,-16,-36,-21,-34,-20,-38,-20,-38,-23,-40,-23,-41,-23,-40,-25,-42,0,0,0,0,0,0,-42,26,-43,26,-41,28,-40,26,-43,30,-40,30,-41,31,-39,30,-39,31,-38,28,-35,32,-35,33,-35,36,-34,34,-32,35,-30,35,-30,39,-30,39,-28,38,-25,41,-23,41,-24,42,-20,41,-20,42,-21,45,-17,45,-19,45,-13,45,-15,47,-10,48,-11,48,-11,48,-10,50,-10,48,-8,47,-9,49,-9,49,-9,48,-8,49,-9,47,-5,47,-6,47,-8,47,-6,46,-6,42,-6,41,-8,41,-6,41,-9,38,-8,36,-9,35,-8,36,-10,34,-11,34,-11,31,-11,30,-13,27,0,0,0,0,0,0,0,0,0,0]"""
1782273880247,2026-06-24T13:04:40.247,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598420,1a:00:00:00:00:00,-57,11,-98,16,43,11,545044173,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,13,7,14,7,14,5,15,4,16,2,15,2,16,2,15,1,17,0,16,0,17,-2,17,-1,17,-3,17,-4,20,-4,17,-5,20,-7,19,-7,19,-9,19,-10,17,-8,20,-9,19,-9,20,-10,21,-9,19,-13,17,-11,20,-13,19,-10,21,-11,20,-10,22,-13,21,-10,21,-9,23,-13,23,-10,24,-9,23,-9,26,-10,26,-10,29,-9,28,-9,33,-9,34,-8,33,-8,33,-9,36,-9,35,-7,36,-4,40,-4,41,-5,40,-5,43,-8,47,-2,45,-4,48,-3,49,0,0,0,0,0,0,52,4,49,2,52,-1,52,1,47,-3,51,-2,49,-1,51,-2,48,-4,51,-5,48,-5,48,-7,47,-9,46,-10,45,-11,43,-15,45,-17,43,-19,45,-19,41,-21,42,-26,41,-23,38,-24,39,-26,38,-28,39,-29,36,-28,34,-32,35,-34,32,-38,33,-35,34,-36,33,-36,30,-38,29,-39,34,-40,30,-38,28,-38,30,-38,32,-36,27,-36,28,-36,28,-39,28,-35,28,-35,24,-34,26,-34,26,-33,27,-32,23,-29,23,-28,22,-27,23,-27,22,-26,23,-22,23,-21,24,-20,0,0,0,0,0,0,0,0,0,0]"""
1782273880255,2026-06-24T13:04:40.255,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598421,1a:00:00:00:00:00,-57,11,-98,16,43,11,545055173,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-8,-11,-8,-11,-9,-10,-10,-9,-11,-8,-14,-8,-14,-4,-15,-5,-16,-4,-15,-4,-17,-2,-17,0,-16,0,-16,1,-19,3,-20,2,-19,7,-17,5,-17,7,-20,4,-19,11,-17,9,-19,10,-17,13,-16,11,-17,14,-17,14,-19,16,-16,16,-17,15,-17,16,-19,16,-17,15,-16,17,-19,17,-19,17,-19,20,-21,17,-19,19,-21,21,-20,20,-20,22,-23,23,-24,23,-22,21,-26,24,-27,23,-26,29,-27,28,-27,29,-27,29,-28,33,-28,34,-28,34,-30,33,-32,39,-30,0,0,0,0,0,0,-28,-40,-30,-42,-32,-39,-32,-40,-30,-40,-29,-40,-29,-40,-29,-42,-26,-39,-26,-41,-29,-39,-28,-38,-30,-39,-30,-38,-29,-38,-30,-35,-34,-35,-32,-34,-33,-33,-30,-34,-34,-33,-32,-34,-33,-33,-36,-33,-35,-33,-35,-33,-36,-32,-38,-29,-36,-32,-36,-29,-36,-33,-38,-32,-36,-33,-38,-32,-36,-32,-36,-35,-38,-33,-36,-34,-35,-35,-33,-34,-34,-34,-30,-35,-30,-34,-28,-34,-27,-34,-26,-35,-23,-34,-24,-33,-20,-30,-19,-33,-19,-33,-16,-33,-13,-32,-13,-30,-11,-30,-8,-32,-5,-28,0,0,0,0,0,0,0,0,0,0]"""
1782273880262,2026-06-24T13:04:40.262,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598422,1a:00:00:00:00:00,-57,11,-98,17,43,11,545068834,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,1,16,1,16,2,16,3,15,5,17,6,15,8,12,8,13,8,16,8,16,10,13,11,13,12,13,12,12,13,12,15,11,16,10,17,9,16,9,16,11,19,9,18,9,19,6,20,9,18,8,19,8,20,8,20,10,21,6,21,9,23,9,23,6,25,10,24,10,24,9,24,11,23,10,26,13,28,11,26,12,26,12,26,15,28,12,26,16,28,15,32,18,31,18,33,21,32,23,35,21,34,23,38,21,39,27,36,25,36,26,39,0,0,0,0,0,0,43,-25,43,-30,42,-26,41,-27,43,-28,40,-27,41,-31,40,-32,39,-28,38,-32,35,-31,35,-31,33,-34,33,-35,33,-33,31,-35,30,-39,28,-38,27,-36,25,-40,24,-39,24,-40,21,-40,24,-41,25,-42,23,-43,19,-43,16,-48,18,-43,16,-47,15,-48,15,-47,16,-48,15,-46,12,-46,15,-49,15,-48,15,-46,13,-47,13,-47,12,-45,15,-45,13,-46,13,-45,13,-43,12,-41,13,-39,12,-41,15,-33,16,-35,16,-33,15,-32,15,-32,16,-31,17,-30,16,-25,18,-24,0,0,0,0,0,0,0,0,0,0]"""
1782273880269,2026-06-24T13:04:40.269,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598423,1a:00:00:00:00:00,-57,11,-98,17,43,11,545077173,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,-10,-8,-10,-9,-12,-9,-13,-6,-13,-5,-16,-4,-13,-2,-15,-1,-15,0,-17,0,-18,1,-17,3,-17,4,-17,9,-18,10,-17,9,-18,10,-17,12,-12,16,-13,17,-15,18,-11,16,-12,15,-6,19,-8,21,-9,19,-6,20,-8,26,-3,24,-8,23,-5,26,-4,26,0,26,0,24,-1,27,0,27,-2,25,-2,27,3,28,-1,30,2,31,4,33,4,33,1,32,5,34,6,34,8,34,6,39,9,39,9,40,10,40,12,41,16,40,16,43,18,42,17,45,19,0,0,0,0,0,0,27,-42,30,-41,27,-41,31,-40,31,-41,31,-36,32,-39,35,-38,34,-35,36,-33,34,-35,35,-32,34,-33,34,-34,33,-33,32,-34,33,-33,33,-34,35,-31,36,-31,33,-32,34,-31,33,-33,36,-32,36,-30,38,-31,38,-32,38,-30,40,-30,38,-31,39,-27,39,-30,41,-26,41,-26,41,-25,43,-21,47,-23,43,-20,46,-20,46,-15,43,-18,47,-15,46,-11,43,-10,46,-8,42,-6,42,-3,41,-3,39,1,38,2,38,4,36,3,34,8,35,9,32,11,28,12,26,16,0,0,0,0,0,0,0,0,0,0]"""
1782273880277,2026-06-24T13:04:40.277,danger,breathing,lmh,post_fall_apnea_like,t015,"CSI_DATA,598424,1a:00:00:00:00:00,-57,11,-98,16,43,11,545088173,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,13,2,14,1,15,0,14,-2,15,-2,14,-3,15,-4,15,-8,15,-8,15,-9,14,-10,13,-14,14,-14,11,-14,11,-15,8,-16,8,-17,7,-19,8,-21,3,-21,3,-21,3,-21,1,-21,0,-20,-2,-22,-2,-21,-2,-22,-7,-24,-4,-23,-7,-22,-7,-22,-7,-22,-8,-22,-8,-22,-10,-24,-10,-22,-13,-22,-11,-24,-15,-26,-13,-26,-16,-24,-14,-24,-17,-29,-17,-27,-19,-28,-20,-27,-22,-29,-22,-30,-21,-30,-24,-30,-26,-29,-28,-30,-30,-27,-33,-32,-34,-28,-34,-30,-35,0,0,0,0,0,0,-45,27,-45,26,-43,27,-45,26,-43,23,-45,23,-43,21,-43,22,-42,17,-45,19,-45,19,-43,17,-43,19,-45,20,-45,16,-43,19,-45,17,-45,16,-46,16,-42,15,-45,19,-42,15,-43,16,-45,16,-46,15,-45,16,-43,15,-46,17,-47,14,-46,16,-47,13,-48,14,-47,13,-46,11,-47,11,-49,8,-51,9,-49,7,-48,7,-48,2,-46,1,-47,1,-46,-3,-46,-4,-46,-7,-41,-5,-42,-9,-41,-9,-38,-11,-35,-13,-35,-13,-33,-16,-30,-15,-28,-19,-26,-20,-23,-17,-22,-21,0,0,0,0,0,0,0,0,0,0]"""
