pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782184965108,2026-06-23T12:22:45.108,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190442,1a:00:00:00:00:00,-69,11,-99,16,53,11,1344458782,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,3,5,3,6,2,8,2,8,1,9,1,10,0,11,0,10,0,11,-2,12,-3,13,-4,14,-4,14,-7,13,-8,13,-9,13,-10,13,-12,13,-13,13,-14,13,-13,13,-13,13,-13,13,-15,13,-15,12,-16,12,-16,12,-17,12,-16,12,-17,12,-18,12,-19,11,-20,10,-20,11,-21,11,-22,10,-22,12,-22,10,-22,11,-22,9,-22,10,-22,10,-23,11,-25,10,-26,10,-26,8,-27,8,-28,7,-28,7,-28,6,-29,7,-29,7,-29,6,0,0,0,0,0,0,4,28,4,30,4,30,3,31,3,31,2,30,1,29,0,27,0,26,0,26,0,25,0,26,0,25,0,25,0,25,0,22,0,24,0,22,0,23,1,22,1,21,1,21,2,20,2,19,3,21,2,21,1,22,0,22,0,20,1,22,0,21,1,22,1,21,1,21,0,20,0,21,0,20,0,22,-1,22,-1,23,-4,22,-3,22,-4,22,-4,21,-4,21,-5,19,-4,19,-5,17,-6,17,-6,17,-7,17,-9,17,-10,17,-11,14,-12,13,-13,11,-12,10,0,0,0,0,0,0,0,0,0,0]"""
1782184965114,2026-06-23T12:22:45.114,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190443,1a:00:00:00:00:00,-69,11,-99,16,53,11,1344468868,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-4,0,-5,-1,-6,-3,-6,-4,-6,-4,-6,-5,-6,-6,-5,-7,-5,-8,-5,-8,-5,-10,-4,-11,-4,-13,-3,-12,-1,-13,0,-15,0,-15,0,-16,0,-16,2,-16,3,-16,4,-15,5,-16,7,-17,8,-16,8,-18,8,-16,8,-17,11,-17,12,-18,13,-17,14,-17,14,-15,14,-15,13,-13,13,-14,14,-14,13,-14,15,-16,14,-15,17,-16,19,-16,22,-17,23,-15,25,-14,23,-11,23,-13,21,-11,23,-13,23,-13,24,-14,26,-13,27,-13,27,-11,29,-10,29,-8,0,0,0,0,0,0,-3,-31,-2,-30,0,-30,0,-27,0,-27,0,-26,0,-25,0,-27,0,-29,1,-28,3,-27,4,-24,4,-24,4,-22,3,-22,3,-24,3,-22,3,-23,2,-20,3,-21,3,-22,4,-22,4,-22,4,-22,5,-20,4,-20,4,-18,3,-18,4,-21,4,-20,4,-21,4,-18,4,-20,5,-20,6,-22,8,-22,10,-22,10,-20,10,-19,10,-17,9,-17,10,-17,9,-17,11,-17,10,-16,12,-16,13,-15,15,-15,16,-13,18,-12,17,-8,17,-8,15,-6,16,-6,17,-5,17,-5,17,-4,0,0,0,0,0,0,0,0,0,0]"""
1782184965119,2026-06-23T12:22:45.119,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190444,1a:00:00:00:00:00,-68,11,-99,18,53,11,1344478682,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,-2,6,-1,6,0,7,0,9,0,9,0,10,0,10,0,10,1,10,3,10,4,10,4,10,6,10,5,13,6,13,7,13,7,14,8,14,9,14,8,14,9,14,10,14,12,13,14,13,13,14,13,13,13,15,13,15,13,15,13,14,13,15,13,15,13,16,13,16,13,18,14,17,15,18,14,20,13,19,13,20,13,20,12,21,11,21,12,23,12,23,11,25,12,24,13,26,14,23,13,24,14,25,14,24,14,24,13,26,13,27,14,28,14,0,0,0,0,0,0,11,-25,12,-27,11,-27,11,-27,11,-27,10,-27,10,-27,10,-26,9,-25,8,-25,6,-25,7,-25,7,-24,7,-24,8,-24,6,-22,6,-22,4,-21,3,-22,1,-21,0,-21,0,-21,0,-21,-2,-20,-2,-21,-2,-21,-2,-22,-2,-22,-3,-20,-4,-20,-4,-20,-6,-20,-6,-20,-6,-20,-6,-20,-6,-20,-7,-20,-7,-20,-7,-20,-7,-21,-5,-21,-5,-21,-5,-21,-4,-21,-6,-20,-6,-19,-6,-18,-6,-18,-6,-18,-5,-17,-5,-19,-3,-19,-3,-19,-1,-18,0,-18,0,-17,0,-16,0,0,0,0,0,0,0,0,0,0]"""
1782184965123,2026-06-23T12:22:45.123,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190445,1a:00:00:00:00:00,-68,11,-99,15,53,11,1344494461,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-5,2,-5,3,-5,4,-5,5,-6,5,-6,6,-6,6,-5,7,-5,8,-5,8,-5,10,-5,10,-5,12,-5,12,-4,13,-4,15,-3,16,-2,17,-1,18,0,17,0,17,0,16,0,16,0,18,0,19,0,20,0,18,1,20,1,21,2,21,2,21,3,23,5,21,5,21,4,20,3,20,1,21,2,21,1,22,1,21,1,23,1,25,1,27,1,28,2,30,4,26,5,27,4,25,2,28,1,28,1,28,0,31,0,31,0,31,2,31,3,31,4,0,0,0,0,0,0,5,-31,5,-28,5,-30,5,-27,5,-28,5,-26,5,-26,4,-26,5,-29,5,-27,5,-27,5,-25,5,-24,3,-22,1,-22,1,-24,0,-22,0,-24,0,-21,0,-21,0,-22,0,-23,0,-23,0,-23,0,-21,-1,-21,-3,-19,-4,-18,-5,-21,-4,-19,-4,-20,-4,-18,-5,-20,-5,-21,-5,-22,-5,-22,-5,-24,-2,-21,-3,-21,-3,-20,-5,-21,-5,-21,-5,-20,-5,-20,-4,-18,-2,-20,-1,-20,-1,-21,0,-21,1,-21,2,-18,2,-18,2,-16,2,-17,3,-17,3,-17,4,-17,0,0,0,0,0,0,0,0,0,0]"""
1782184965128,2026-06-23T12:22:45.128,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190446,1a:00:00:00:00:00,-68,11,-99,15,53,11,1344500681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-5,0,-5,0,-6,-1,-6,-1,-7,-1,-8,-1,-8,-2,-8,-3,-9,-4,-9,-5,-9,-8,-8,-10,-9,-10,-8,-11,-7,-12,-6,-12,-6,-13,-6,-13,-7,-15,-7,-15,-6,-15,-5,-16,-3,-17,-1,-18,0,-20,0,-20,0,-21,2,-21,4,-20,3,-20,2,-19,1,-20,0,-21,0,-21,0,-22,1,-22,4,-22,5,-23,5,-23,8,-23,8,-24,9,-23,8,-22,7,-23,6,-24,5,-26,5,-26,7,-26,10,-27,10,-27,13,-26,13,-26,15,-26,15,-26,16,-26,17,-26,0,0,0,0,0,0,-21,-23,-21,-21,-20,-21,-19,-21,-18,-22,-16,-23,-15,-23,-15,-22,-14,-21,-15,-19,-16,-18,-16,-19,-15,-19,-15,-20,-15,-19,-15,-20,-15,-20,-15,-20,-15,-20,-13,-20,-12,-19,-11,-17,-12,-16,-13,-15,-13,-15,-13,-15,-13,-15,-12,-16,-12,-16,-12,-17,-13,-18,-13,-18,-12,-19,-10,-19,-10,-18,-11,-17,-12,-17,-14,-17,-13,-18,-12,-18,-10,-19,-9,-20,-7,-21,-6,-21,-5,-21,-4,-21,-2,-20,-1,-20,-1,-18,-2,-18,-2,-18,-2,-18,0,-19,0,-18,3,-17,5,-16,5,-15,0,0,0,0,0,0,0,0,0,0]"""
1782184965131,2026-06-23T12:22:45.131,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190447,1a:00:00:00:00:00,-68,11,-99,15,53,11,1344514407,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-14,-1,-18,0,-13,1,-10,3,0,5,0,5,3,5,-4,5,-5,7,-8,8,-5,11,-3,13,0,15,-2,15,-3,15,-1,15,0,15,0,15,2,16,5,15,5,15,6,15,7,14,9,14,10,13,11,15,11,15,12,16,11,16,12,15,13,14,15,12,17,11,19,11,18,11,18,13,18,12,19,12,18,13,19,14,19,15,21,15,21,14,21,12,22,10,23,9,24,9,25,9,26,10,28,10,29,10,29,9,29,9,29,7,30,5,30,5,30,0,0,0,0,0,0,32,0,31,0,30,1,28,2,27,3,28,3,27,3,27,3,26,4,26,4,25,5,24,5,23,6,22,6,22,6,23,7,21,8,22,6,22,6,21,5,21,5,20,4,21,4,21,6,21,6,21,6,21,6,20,6,20,6,19,7,20,5,20,5,21,5,21,5,21,6,20,8,20,10,19,11,19,11,18,12,18,11,16,13,15,12,15,13,16,13,16,14,15,14,14,15,12,15,10,16,9,17,8,17,7,17,6,17,5,17,4,16,2,16,0,0,0,0,0,0,0,0,0,0]"""
1782184965135,2026-06-23T12:22:45.135,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190448,1a:00:00:00:00:00,-69,11,-99,18,53,11,1344522687,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,-6,-2,-6,-3,-6,-3,-5,-3,-5,-4,-5,-6,-5,-7,-4,-9,-3,-9,-3,-10,-1,-10,0,-11,0,-13,0,-14,1,-14,2,-14,2,-13,3,-14,3,-15,4,-16,6,-16,7,-16,10,-16,11,-15,13,-15,13,-15,14,-16,14,-15,14,-13,13,-13,13,-12,13,-12,16,-13,16,-13,19,-13,20,-13,21,-11,22,-10,22,-10,23,-10,23,-10,22,-10,20,-9,20,-9,20,-10,23,-11,23,-10,27,-10,27,-7,27,-7,27,-5,27,-4,28,-3,30,-3,30,-3,30,-3,0,0,0,0,0,0,1,-30,2,-30,3,-30,3,-30,4,-29,5,-28,6,-28,7,-25,7,-22,7,-23,7,-23,7,-23,7,-23,8,-23,10,-23,10,-20,11,-20,10,-20,10,-22,10,-21,8,-20,7,-19,6,-18,6,-18,6,-19,7,-19,8,-19,10,-19,10,-18,10,-19,10,-20,10,-21,10,-20,10,-18,10,-16,9,-15,9,-15,10,-17,11,-17,13,-18,15,-16,16,-15,17,-14,17,-13,18,-13,18,-13,16,-11,15,-10,15,-8,14,-7,16,-8,16,-6,18,-6,18,-3,18,-1,18,1,17,2,0,0,0,0,0,0,0,0,0,0]"""
1782184965138,2026-06-23T12:22:45.138,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190449,1a:00:00:00:00:00,-68,11,-99,16,53,11,1344534667,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-2,4,-3,5,-3,5,-3,7,-2,8,0,8,0,8,0,9,0,10,0,10,0,11,0,13,0,13,0,13,2,13,2,14,4,15,5,15,7,15,8,15,9,15,9,16,8,16,7,17,8,17,8,17,8,16,9,17,10,17,11,18,12,19,12,19,13,17,13,17,13,17,12,17,11,19,10,19,9,21,9,19,8,20,9,22,11,24,13,26,13,26,14,23,13,23,13,22,12,24,10,25,10,26,9,28,10,28,10,27,11,28,12,28,13,0,0,0,0,0,0,13,-27,13,-26,13,-26,13,-26,13,-26,11,-25,10,-25,11,-25,13,-26,13,-25,13,-24,11,-22,10,-22,8,-22,6,-22,5,-23,4,-22,4,-22,4,-19,4,-20,4,-21,4,-22,3,-22,3,-22,2,-20,1,-20,0,-19,-1,-20,-2,-21,-1,-20,-1,-20,0,-19,-1,-20,-1,-22,-2,-22,-2,-23,-2,-23,0,-22,0,-22,0,-21,-2,-21,-2,-21,-3,-21,-3,-21,-3,-19,-1,-19,0,-20,0,-21,1,-21,3,-20,3,-18,4,-18,3,-17,4,-17,4,-17,4,-17,4,-17,0,0,0,0,0,0,0,0,0,0]"""
1782184965140,2026-06-23T12:22:45.140,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190450,1a:00:00:00:00:00,-69,11,-99,16,53,11,1344545850,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,4,5,4,6,3,7,3,8,2,9,2,9,1,10,1,11,0,11,0,13,-1,13,-2,15,-4,14,-4,13,-4,13,-4,14,-4,16,-4,17,-4,18,-5,18,-5,17,-6,17,-8,17,-8,16,-10,17,-11,16,-10,16,-9,16,-8,17,-7,17,-6,19,-7,19,-8,21,-10,21,-10,21,-11,22,-12,22,-13,22,-12,22,-12,21,-11,20,-8,21,-6,22,-5,26,-5,26,-7,28,-9,26,-10,26,-13,26,-13,26,-13,26,-12,26,-11,26,-10,26,0,0,0,0,0,0,25,12,26,13,26,13,26,14,26,14,26,15,26,15,24,13,22,11,22,10,22,8,23,8,24,7,25,7,24,7,22,6,22,6,22,6,24,7,22,7,21,6,19,4,19,3,19,0,21,0,21,-1,22,0,22,0,22,-1,22,-1,22,0,23,0,22,0,21,0,19,0,19,-1,19,-3,21,-4,22,-4,22,-4,22,-2,22,-1,22,0,22,0,23,1,22,1,20,2,17,2,17,0,17,0,18,0,18,0,20,0,18,2,17,4,17,5,15,5,0,0,0,0,0,0,0,0,0,0]"""
1782184965144,2026-06-23T12:22:45.144,danger,breathing,yja,post_fall_apnea_like,t012,"CSI_DATA,190451,1a:00:00:00:00:00,-69,11,-99,15,53,11,1344564947,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,-4,0,-1,-2,0,-7,4,-10,4,-15,5,-14,0,-14,0,-13,-3,-15,0,-15,0,-14,1,-14,0,-14,0,-15,0,-15,-1,-16,-4,-16,-6,-16,-8,-16,-7,-17,-5,-16,-4,-17,-2,-16,-2,-17,-3,-17,-4,-16,-5,-19,-5,-20,-5,-21,-5,-21,-6,-21,-6,-20,-7,-20,-6,-20,-5,-21,-4,-22,-1,-22,0,-23,0,-22,0,-23,0,-25,0,-26,0,-28,1,-28,1,-27,0,-27,1,-26,3,-26,5,-27,5,-28,6,-28,8,-28,7,-29,7,-30,7,-30,6,0,0,0,0,0,0,10,29,9,29,10,29,10,28,10,28,11,26,12,26,14,26,14,26,13,24,12,23,11,22,12,20,13,18,15,16,16,15,17,14,17,14,16,13,17,13,17,13,19,14,19,14,20,13,20,12,20,10,20,7,20,5,21,4,21,3,21,2,20,3,21,2,21,2,22,2,23,2,22,2,21,3,21,2,21,1,21,0,21,0,21,-1,21,-1,20,-1,20,0,20,0,21,0,21,1,21,1,19,2,19,2,18,1,18,1,18,0,18,0,17,0,0,0,0,0,0,0,0,0,0,0]"""
