pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782211547554,2026-06-23T19:45:47.554,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701706,1a:00:00:00:00:00,-60,11,-96,18,40,11,71372795,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,27,15,29,13,33,11,35,7,38,4,38,4,40,1,40,1,44,-3,45,-7,46,-7,45,-9,49,-13,49,-20,46,-20,49,-19,50,-28,46,-27,41,-28,43,-30,40,-32,42,-34,40,-33,40,-39,39,-34,35,-39,32,-39,33,-39,32,-34,31,-38,29,-39,31,-37,29,-37,28,-38,29,-34,30,-33,27,-33,28,-35,28,-33,28,-32,29,-31,28,-33,28,-34,28,-31,25,-31,26,-32,26,-30,28,-32,28,-34,28,-33,27,-33,28,-39,26,-34,23,-34,27,-34,26,-37,23,0,0,0,0,0,0,21,38,19,38,19,29,18,31,19,33,16,32,17,29,16,29,15,28,14,27,16,25,14,23,17,26,14,26,15,23,16,21,15,23,16,22,14,21,16,19,17,19,16,21,14,19,16,20,15,20,16,19,16,19,16,18,14,20,18,17,16,20,15,20,14,21,14,18,14,19,13,22,11,21,10,21,10,21,7,22,8,22,6,22,4,22,5,20,2,21,3,20,1,19,-2,17,-2,17,-3,15,-2,17,-4,13,-6,11,-6,13,-7,10,-8,8,-8,7,0,0,0,0,0,0,0,0,0,0]"""
1782211547561,2026-06-23T19:45:47.561,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701707,1a:00:00:00:00:00,-60,11,-96,18,40,11,71383742,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-29,17,-26,20,-27,26,-28,27,-27,28,-22,31,-23,33,-20,38,-23,40,-21,41,-19,43,-17,46,-18,46,-15,51,-9,50,-9,51,-9,54,-6,51,-1,51,2,51,5,54,3,53,7,52,5,53,7,50,6,51,9,50,10,47,11,47,9,45,11,47,10,44,11,44,11,45,11,43,10,40,10,43,7,42,11,42,8,43,9,41,5,41,7,44,4,41,8,39,7,41,8,41,7,42,8,44,8,43,6,42,7,44,9,41,11,45,7,44,8,42,7,0,0,0,0,0,0,13,-40,11,-39,7,-35,13,-37,10,-33,9,-31,9,-32,8,-33,8,-30,9,-29,7,-29,8,-27,6,-28,6,-29,5,-27,4,-26,4,-28,2,-27,5,-26,2,-25,1,-26,3,-25,1,-23,3,-25,4,-25,3,-23,1,-25,-1,-25,3,-26,1,-23,1,-25,3,-26,3,-26,1,-25,2,-23,5,-26,6,-25,6,-25,8,-23,7,-22,7,-19,8,-21,9,-21,9,-20,10,-19,9,-16,13,-15,11,-15,13,-10,11,-11,13,-8,11,-7,14,-6,14,-4,10,-4,10,-4,10,0,0,0,0,0,0,0,0,0,0,0]"""
1782211547569,2026-06-23T19:45:47.569,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701708,1a:00:00:00:00:00,-60,11,-96,18,40,11,71394584,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,32,-10,30,-13,33,-18,31,-20,33,-22,28,-23,30,-29,30,-30,30,-33,31,-35,30,-35,28,-40,29,-42,28,-45,20,-47,22,-46,22,-51,18,-46,14,-49,13,-50,7,-51,10,-51,9,-50,7,-53,7,-49,8,-50,2,-49,3,-51,1,-47,4,-47,1,-46,2,-47,2,-46,0,-45,2,-45,2,-43,3,-44,5,-44,3,-44,5,-43,4,-43,6,-42,4,-43,6,-41,4,-42,6,-42,6,-40,7,-42,5,-46,5,-42,7,-42,8,-44,3,-43,3,-44,5,-43,5,-42,6,0,0,0,0,0,0,1,41,2,41,4,38,2,38,5,37,2,33,3,35,0,32,3,33,2,30,2,28,4,28,4,30,4,29,4,27,7,27,6,27,5,27,5,25,7,26,8,26,8,25,8,22,7,22,8,25,6,22,8,23,9,22,7,25,10,23,7,22,8,23,7,26,8,23,6,21,6,25,5,26,3,23,4,25,3,25,2,23,3,21,0,21,-2,21,-2,20,-2,19,-4,18,-5,19,-6,14,-6,14,-7,13,-6,13,-8,11,-10,10,-8,8,-8,7,-8,6,0,0,0,0,0,0,0,0,0,0]"""
1782211547577,2026-06-23T19:45:47.577,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701709,1a:00:00:00:00:00,-60,11,-96,18,40,11,71405584,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,31,-6,31,-7,33,-9,37,-11,37,-13,35,-14,37,-16,37,-16,42,-18,43,-19,42,-20,42,-20,44,-22,44,-27,43,-26,44,-25,45,-30,43,-27,42,-29,44,-30,43,-30,44,-29,43,-28,44,-29,44,-26,41,-29,41,-29,42,-28,43,-21,43,-25,40,-21,43,-19,42,-16,42,-15,44,-15,45,-13,41,-9,42,-9,41,-6,44,-7,42,-4,43,-4,42,1,45,-1,40,2,41,2,44,5,42,6,42,8,44,7,41,9,44,7,41,7,42,11,42,14,41,14,41,0,0,0,0,0,0,39,-17,38,-16,31,-17,34,-16,32,-16,31,-16,29,-18,28,-20,26,-19,25,-17,21,-19,21,-18,21,-21,19,-21,17,-21,16,-21,14,-23,11,-25,11,-22,10,-23,8,-23,8,-26,6,-22,5,-23,5,-25,4,-25,4,-26,1,-25,1,-26,0,-26,1,-25,1,-25,0,-25,-2,-25,0,-23,1,-26,-2,-26,-1,-23,-2,-26,0,-23,0,-22,1,-21,2,-22,1,-21,2,-21,2,-19,5,-17,2,-21,3,-16,4,-16,4,-17,4,-14,5,-11,4,-13,6,-11,7,-9,6,-8,0,0,0,0,0,0,0,0,0,0]"""
1782211547586,2026-06-23T19:45:47.586,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701710,1a:00:00:00:00:00,-60,11,-96,22,39,11,71416584,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-32,3,-33,3,-34,6,-37,7,-37,13,-38,13,-37,17,-35,17,-42,23,-39,26,-40,25,-41,29,-42,28,-40,34,-38,33,-38,33,-40,38,-38,39,-33,39,-33,40,-30,42,-35,43,-29,42,-31,44,-28,42,-29,44,-26,44,-26,41,-26,38,-28,40,-25,42,-27,39,-26,38,-26,39,-28,38,-28,35,-25,34,-29,34,-27,33,-30,32,-28,30,-30,31,-29,31,-31,30,-29,29,-29,29,-31,28,-31,29,-32,30,-33,28,-32,28,-34,30,-33,30,-30,29,-34,27,-33,27,-34,0,0,0,0,0,0,-30,-28,-29,-26,-30,-22,-29,-22,-30,-20,-27,-23,-28,-19,-29,-20,-25,-19,-25,-19,-25,-17,-22,-17,-28,-15,-25,-15,-25,-14,-23,-11,-25,-13,-23,-10,-23,-10,-25,-7,-26,-5,-25,-8,-23,-6,-25,-5,-23,-7,-25,-6,-25,-6,-25,-5,-26,-5,-25,-2,-25,-4,-26,-4,-23,-5,-23,-4,-26,-4,-25,-6,-25,-5,-21,-7,-23,-7,-23,-8,-20,-7,-21,-9,-20,-9,-18,-9,-18,-11,-17,-8,-18,-11,-16,-10,-15,-11,-11,-13,-11,-10,-8,-10,-8,-11,-7,-10,-6,-10,-4,-8,-2,-13,0,0,0,0,0,0,0,0,0,0]"""
1782211547594,2026-06-23T19:45:47.594,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701711,1a:00:00:00:00:00,-60,11,-96,18,40,11,71427584,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-31,1,-33,-2,-32,-3,-38,-7,-35,-8,-37,-10,-38,-11,-37,-16,-42,-16,-38,-18,-41,-21,-41,-22,-45,-23,-42,-25,-42,-34,-38,-30,-42,-30,-39,-34,-39,-34,-35,-38,-34,-39,-38,-38,-32,-37,-35,-38,-35,-40,-34,-34,-29,-39,-31,-40,-30,-37,-34,-37,-28,-34,-35,-37,-31,-34,-30,-34,-32,-33,-33,-31,-28,-29,-32,-27,-32,-28,-34,-26,-33,-29,-32,-21,-37,-25,-37,-22,-35,-23,-33,-22,-34,-23,-34,-19,-38,-19,-37,-20,-38,-19,-40,-17,-39,-25,-37,-19,-42,-19,-41,-16,-39,-17,0,0,0,0,0,0,-19,38,-17,35,-14,37,-16,33,-11,33,-14,32,-10,31,-11,34,-9,31,-9,30,-7,29,-7,28,-6,28,-5,28,-5,27,-1,26,-2,28,-1,27,-3,27,1,23,3,28,1,25,3,23,2,25,1,26,4,25,4,23,7,25,4,25,6,23,5,23,6,27,4,23,7,25,4,22,4,28,3,25,4,25,4,26,1,22,2,20,3,23,1,25,0,22,-3,21,-1,18,-3,18,-3,18,-3,17,-4,15,-3,16,-5,13,-7,14,-6,10,-6,11,-6,8,-8,7,0,0,0,0,0,0,0,0,0,0]"""
1782211547602,2026-06-23T19:45:47.602,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701712,1a:00:00:00:00:00,-60,11,-96,18,40,11,71441232,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-28,-14,-27,-18,-28,-19,-28,-22,-27,-25,-26,-28,-25,-30,-22,-33,-25,-37,-23,-37,-21,-43,-22,-41,-22,-43,-20,-45,-15,-49,-14,-49,-15,-50,-10,-51,-10,-49,-7,-52,-4,-53,-5,-52,-1,-54,-3,-53,-2,-54,-2,-49,2,-51,3,-51,1,-47,1,-50,3,-45,2,-49,2,-46,2,-45,-1,-47,0,-44,1,-42,-3,-44,-1,-44,-5,-44,-2,-42,-6,-41,-3,-43,-6,-43,-2,-42,-4,-42,-4,-41,-7,-40,-7,-40,-7,-42,-9,-42,-8,-40,-3,-45,-3,-43,-7,-43,-6,-43,-7,-41,0,0,0,0,0,0,-42,4,-39,4,-37,7,-37,5,-35,6,-34,5,-31,6,-34,7,-31,7,-31,4,-30,5,-27,5,-30,8,-26,7,-27,7,-26,9,-27,10,-26,11,-22,9,-23,10,-22,14,-22,9,-21,14,-20,10,-21,10,-21,11,-21,10,-20,14,-22,14,-19,15,-21,11,-21,13,-20,13,-20,14,-21,13,-22,13,-20,11,-21,9,-22,10,-21,8,-21,6,-21,6,-21,6,-21,5,-21,2,-18,2,-19,0,-18,2,-17,-2,-16,-2,-15,-2,-14,-4,-14,-5,-13,-4,-11,-4,-8,-7,-6,-9,0,0,0,0,0,0,0,0,0,0]"""
1782211547609,2026-06-23T19:45:47.609,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701713,1a:00:00:00:00:00,-60,11,-96,18,40,11,71449646,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,31,-7,32,-3,33,-3,38,0,37,1,38,3,39,2,40,4,44,5,44,7,47,10,44,8,47,10,49,13,49,17,49,17,51,14,49,21,46,19,46,19,46,20,50,20,47,21,46,21,47,22,46,19,44,22,45,20,44,22,45,18,41,18,46,17,44,15,43,14,45,13,45,9,41,9,42,8,43,8,43,4,42,5,42,1,43,4,43,0,41,0,41,-4,41,-3,41,-5,41,-5,44,-5,43,-6,42,-8,43,-5,41,-7,43,-9,42,-10,41,-11,0,0,0,0,0,0,-10,-39,-11,-38,-15,-34,-11,-34,-13,-31,-10,-32,-14,-31,-16,-30,-14,-27,-14,-27,-17,-26,-17,-23,-19,-22,-18,-22,-17,-21,-18,-17,-21,-19,-18,-17,-19,-18,-20,-16,-21,-13,-21,-15,-21,-9,-21,-13,-22,-9,-22,-10,-22,-8,-23,-8,-23,-9,-25,-6,-22,-7,-25,-7,-23,-8,-22,-5,-22,-5,-22,-8,-23,-6,-22,-8,-23,-7,-23,-7,-20,-7,-22,-8,-21,-8,-19,-9,-18,-8,-18,-8,-17,-9,-16,-10,-16,-9,-14,-7,-13,-8,-11,-7,-9,-9,-8,-10,-7,-11,-7,-9,-4,-9,0,0,0,0,0,0,0,0,0,0]"""
1782211547617,2026-06-23T19:45:47.617,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701714,1a:00:00:00:00:00,-60,11,-96,18,40,11,71460584,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-31,-7,-30,-9,-33,-11,-33,-17,-33,-18,-32,-22,-31,-23,-31,-26,-33,-29,-32,-31,-30,-33,-30,-34,-31,-38,-28,-40,-26,-44,-23,-45,-25,-47,-20,-50,-17,-45,-16,-49,-14,-50,-14,-51,-11,-51,-11,-51,-11,-52,-10,-46,-5,-49,-5,-50,-5,-47,-6,-47,-2,-45,-6,-49,-4,-47,-5,-46,-5,-45,-5,-43,-6,-42,-9,-43,-7,-43,-9,-41,-7,-43,-9,-41,-7,-42,-10,-43,-8,-42,-9,-40,-8,-42,-10,-40,-8,-41,-10,-43,-10,-41,-9,-42,-7,-44,-7,-42,-11,-42,-9,-40,-10,-41,0,0,0,0,0,0,-41,5,-38,6,-37,8,-35,4,-37,6,-34,6,-33,6,-34,5,-31,6,-30,5,-29,6,-27,6,-28,8,-28,7,-27,8,-26,9,-26,10,-23,9,-25,8,-25,9,-23,10,-23,10,-20,11,-21,10,-21,11,-22,11,-22,11,-20,14,-22,13,-20,14,-20,10,-23,10,-21,10,-21,13,-21,8,-22,10,-20,9,-21,9,-22,7,-22,5,-21,5,-23,3,-22,3,-20,3,-20,2,-19,2,-20,-1,-18,0,-15,-3,-16,-5,-15,-4,-14,-6,-13,-5,-10,-7,-11,-6,-9,-5,-8,-10,0,0,0,0,0,0,0,0,0,0]"""
1782211547625,2026-06-23T19:45:47.625,danger,fall,lmh,bed_lying_to_stand_fall,t019,"CSI_DATA,701715,1a:00:00:00:00:00,-60,11,-96,14,40,11,71471583,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,3,34,4,35,11,36,13,34,15,35,19,31,23,37,26,33,31,31,33,31,36,33,37,29,40,23,44,23,47,23,46,18,50,11,46,11,50,7,52,7,52,2,55,2,51,-1,53,0,50,-6,51,-8,50,-9,50,-6,48,-13,45,-11,48,-11,44,-13,46,-11,45,-9,46,-17,42,-19,47,-14,44,-12,45,-11,46,-17,40,-19,42,-7,28,-18,59,-19,25,-8,53,17,63,-28,34,-12,41,-62,-7,-25,30,-33,29,46,50,-26,41,-13,35,-78,53,0,0,0,0,0,0,12,-7,40,31,30,6,-20,-12,40,25,26,17,-35,14,20,35,18,19,-26,6,13,24,22,22,-2,39,13,36,17,29,18,22,24,23,19,19,15,22,17,30,20,23,14,19,12,19,14,19,13,24,14,19,15,23,17,18,14,22,15,20,12,19,11,22,12,25,11,24,8,23,7,25,6,19,4,24,3,24,4,23,1,25,1,23,-2,24,-3,22,-3,22,-6,20,-7,17,-9,17,-8,14,-7,13,-11,13,-9,11,-11,9,-12,6,-12,3,-11,2,-14,3,0,0,0,0,0,0,0,0,0,0]"""
