pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782128331985,2026-06-22T20:38:51.985,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174987,1a:00:00:00:00:00,-64,11,-99,1,48,11,-1837090541,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,-6,-8,-7,-10,-6,-11,-6,-11,-5,-13,-4,-14,-3,-13,-1,-13,-3,-13,-4,-15,-3,-15,-2,-15,-3,-16,0,-16,2,-17,1,-18,-1,-17,3,-20,3,-18,2,-16,4,-18,4,-18,1,-20,3,-18,2,-18,2,-17,2,-17,5,-18,4,-19,3,-17,5,-20,7,-19,3,-16,6,-18,8,-20,5,-15,0,-19,3,-25,0,-20,8,-21,1,-20,5,-21,4,-26,9,-27,9,-24,9,-16,7,-25,6,-27,8,-19,0,-25,-3,-26,2,-18,10,-27,10,-27,3,-26,5,-24,0,0,0,0,0,0,-27,-6,-25,-4,-27,-9,-25,-7,-20,-7,-24,-8,-23,-8,-25,-7,-23,-7,-24,-10,-23,-10,-21,-9,-19,-10,-20,-7,-24,-6,-21,-5,-22,-4,-20,-5,-21,-5,-19,-6,-20,-7,-19,-5,-24,-7,-20,-8,-21,-6,-20,-8,-19,-6,-22,-4,-21,-5,-20,-5,-20,-6,-20,-6,-19,-8,-20,-7,-19,-8,-22,-10,-21,-11,-18,-13,-17,-11,-15,-12,-14,-12,-18,-12,-15,-13,-14,-11,-13,-12,-11,-13,-11,-13,-11,-13,-9,-16,-8,-15,-5,-13,-4,-13,-3,-13,-4,-13,-4,-14,-1,-11,-1,-12,0,0,0,0,0,0,0,0,0,0]"""
1782128331987,2026-06-22T20:38:51.987,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174988,1a:00:00:00:00:00,-64,11,-99,20,47,11,-1837080067,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,5,-10,7,-8,4,-12,5,-10,5,-14,5,-14,4,-11,1,-12,3,-12,1,-16,3,-16,0,-16,0,-14,0,-18,1,-14,0,-18,0,-16,1,-21,-1,-19,-2,-14,-2,-18,-3,-16,-3,-20,-3,-18,-4,-17,-3,-18,-2,-20,-2,-15,-1,-20,-2,-17,-1,-24,-3,-19,-4,-18,-3,-18,-4,-16,-1,-18,0,-20,0,-18,-1,-17,-1,-19,-1,-18,2,-22,3,-22,1,-30,1,-21,0,-22,1,-23,0,-18,1,-23,0,-27,3,-22,3,-27,3,-25,2,-24,3,-27,2,-25,1,0,0,0,0,0,0,1,27,0,22,1,30,2,26,0,19,1,27,0,20,1,27,2,19,0,29,1,27,0,22,1,22,-1,20,2,24,1,22,0,22,1,20,2,22,3,16,7,23,5,19,3,25,3,24,2,20,2,19,2,17,5,22,2,21,2,20,3,18,3,22,3,18,5,21,3,18,1,27,0,22,0,21,-1,21,0,18,0,18,0,21,-3,19,-3,15,-3,18,-1,15,-3,18,-4,16,-8,20,-7,14,-8,14,-9,12,-7,9,-7,9,-9,11,-7,8,-8,7,0,0,0,0,0,0,0,0,0,0]"""
1782128332001,2026-06-22T20:38:52.001,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174989,1a:00:00:00:00:00,-64,11,-99,15,48,11,-1837068322,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,-6,-6,-6,-6,-11,-6,-10,-5,-11,-5,-11,-4,-12,-5,-12,-2,-12,-5,-14,-5,-14,-5,-12,-3,-16,-2,-16,0,-16,0,-18,2,-18,2,-17,3,-20,4,-17,4,-19,6,-16,2,-20,3,-20,2,-18,2,-18,4,-18,4,-16,10,-18,8,-17,6,-16,8,-18,8,-20,8,-18,5,-17,8,-16,6,-17,6,-19,7,-20,8,-20,6,-18,11,-18,10,-18,7,-19,8,-17,9,-22,9,-18,5,-20,12,-20,9,-20,10,-22,9,-20,10,-20,12,-21,12,-22,12,-22,15,-22,0,0,0,0,0,0,-18,-16,-21,-16,-22,-14,-17,-17,-19,-14,-17,-17,-18,-19,-18,-18,-18,-18,-16,-17,-15,-18,-18,-16,-13,-16,-18,-16,-17,-14,-15,-12,-17,-13,-15,-14,-14,-12,-13,-17,-13,-16,-14,-14,-14,-16,-14,-18,-16,-16,-10,-17,-14,-14,-15,-15,-14,-14,-14,-15,-12,-16,-12,-15,-10,-20,-11,-18,-10,-17,-8,-19,-9,-22,-8,-20,-8,-19,-4,-19,-5,-19,-5,-18,-4,-19,-2,-19,-2,-18,1,-18,3,-17,2,-16,3,-14,3,-16,6,-13,4,-12,8,-12,5,-12,8,-11,6,-9,8,-8,0,0,0,0,0,0,0,0,0,0]"""
1782128332020,2026-06-22T20:38:52.020,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174990,1a:00:00:00:00:00,-63,11,-99,17,47,11,-1837057667,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-14,-36,2,-52,7,-26,-7,38,-7,-52,10,0,44,-21,-2,4,6,4,28,-4,2,-10,-13,-7,2,2,9,-10,4,-21,7,-15,16,-14,14,-2,11,-14,7,-12,17,-11,15,-14,16,-12,15,-7,13,-9,14,-8,17,-7,16,-8,17,-10,15,-9,17,-8,13,-9,15,-9,14,-12,14,-12,14,-12,17,-10,16,-7,16,-10,18,-11,16,-10,18,-11,16,-9,18,-12,14,-10,14,-12,16,-13,16,-15,16,-16,19,-15,18,-12,20,-13,20,-12,21,-14,21,-11,19,-14,21,-14,0,0,0,0,0,0,-11,-23,-12,-26,-9,-20,-9,-21,-12,-25,-5,-20,-11,-25,-8,-19,-7,-25,-9,-19,-9,-19,-9,-21,-12,-20,-12,-22,-5,-19,-9,-20,-9,-19,-7,-21,-7,-19,-10,-20,-8,-17,-6,-20,-8,-14,-11,-16,-9,-18,-12,-18,-9,-19,-6,-19,-7,-21,-8,-19,-7,-20,-6,-20,-7,-22,-5,-18,-4,-21,-5,-17,-7,-19,-6,-20,-4,-21,-4,-21,-2,-21,2,-19,0,-20,2,-19,3,-17,3,-18,4,-15,5,-16,4,-12,4,-14,6,-13,4,-14,6,-14,7,-10,8,-8,9,-7,7,-5,0,0,0,0,0,0,0,0,0,0]"""
1782128332024,2026-06-22T20:38:52.024,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174991,1a:00:00:00:00:00,-63,11,-99,16,48,11,-1837047266,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,-8,5,-11,5,-7,7,-11,4,-10,6,-11,7,-12,9,-9,8,-13,8,-9,10,-11,11,-12,9,-11,10,-12,11,-15,8,-11,11,-14,9,-14,12,-14,11,-13,9,-10,10,-15,11,-10,10,-13,12,-14,11,-13,11,-13,12,-16,7,-14,8,-16,8,-15,9,-19,7,-16,5,-18,5,-17,6,-19,5,-17,4,-17,3,-18,3,-18,4,-22,0,-14,-2,-21,0,-24,1,-24,0,-19,-3,-21,-1,-21,-5,-20,-4,-22,-5,-24,-3,-24,-5,-25,-4,-22,-8,-24,-7,-25,-9,-25,0,0,0,0,0,0,-25,12,-21,9,-25,13,-23,11,-20,7,-23,12,-18,11,-22,14,-17,12,-22,11,-18,13,-16,11,-17,16,-16,12,-16,13,-16,14,-16,15,-14,13,-17,18,-10,14,-12,18,-12,17,-13,20,-10,19,-9,18,-9,20,-7,16,-8,19,-9,19,-8,16,-10,16,-10,21,-4,17,-5,22,-7,20,-7,25,-7,17,-5,20,-8,19,-7,19,-7,18,-9,19,-7,18,-7,16,-9,16,-6,14,-7,17,-9,14,-11,15,-7,12,-7,14,-9,10,-8,11,-8,9,-9,10,-9,7,-9,8,0,0,0,0,0,0,0,0,0,0]"""
1782128332029,2026-06-22T20:38:52.029,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174992,1a:00:00:00:00:00,-64,11,-99,22,47,11,-1837032681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-1,-12,-3,-7,-2,-13,-5,-9,-3,-15,-5,-14,-6,-11,-5,-12,-5,-9,-7,-14,-7,-14,-7,-15,-7,-12,-7,-15,-10,-11,-6,-17,-9,-11,-6,-19,-12,-15,-11,-10,-10,-15,-10,-11,-9,-15,-11,-17,-9,-14,-8,-14,-7,-17,-11,-11,-5,-19,-8,-14,-6,-23,-10,-17,-11,-17,-7,-15,-8,-15,-6,-14,-4,-19,-2,-18,-3,-16,-3,-20,-5,-14,1,-23,1,-17,-1,-29,-1,-21,0,-22,0,-22,-1,-19,0,-19,1,-26,5,-22,6,-26,6,-21,4,-23,7,-28,6,-24,3,0,0,0,0,0,0,6,25,5,19,7,32,6,23,6,15,9,26,6,17,10,28,7,16,11,29,8,25,7,20,8,18,5,17,13,19,12,19,11,19,10,17,13,22,11,11,17,18,12,12,17,22,15,19,12,15,12,15,11,11,17,15,15,14,15,12,14,14,17,17,12,9,20,14,14,11,23,20,13,17,15,15,13,17,11,14,11,13,15,14,14,14,11,12,11,15,11,10,14,14,7,12,11,20,5,14,6,15,3,13,4,11,1,11,4,13,4,11,2,12,0,0,0,0,0,0,0,0,0,0]"""
1782128332032,2026-06-22T20:38:52.032,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174993,1a:00:00:00:00:00,-63,11,-99,20,47,11,-1837025267,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,8,-5,9,-7,7,-7,9,-8,8,-11,10,-12,7,-11,7,-12,6,-11,6,-13,9,-13,7,-13,6,-13,5,-14,5,-16,3,-16,5,-16,4,-19,2,-18,1,-16,1,-16,0,-18,1,-19,1,-18,1,-18,2,-16,1,-17,1,-16,0,-18,0,-18,0,-21,0,-20,-3,-18,-1,-18,-1,-17,-1,-18,0,-20,3,-18,1,-16,0,-18,0,-19,0,-20,1,-22,1,-24,1,-22,0,-20,1,-23,0,-20,-1,-21,0,-25,2,-22,1,-24,0,-26,0,-24,1,-25,0,-25,-3,0,0,0,0,0,0,-3,25,-3,23,-3,27,-4,24,-5,22,-5,25,-5,22,-7,24,-3,22,-7,26,-7,25,-7,23,-7,19,-5,20,-3,24,-4,22,-4,22,-3,20,-5,19,-6,20,-5,22,-4,20,-7,23,-7,22,-5,20,-8,19,-6,18,-5,22,-6,19,-5,20,-5,19,-7,19,-8,18,-9,20,-7,20,-13,22,-14,19,-12,16,-14,16,-13,13,-11,14,-14,16,-14,14,-12,12,-14,11,-13,10,-16,9,-15,7,-18,7,-16,5,-14,3,-14,2,-12,0,-12,1,-12,1,-11,0,-11,-1,0,0,0,0,0,0,0,0,0,0]"""
1782128332035,2026-06-22T20:38:52.035,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174994,1a:00:00:00:00:00,-63,11,-99,15,48,11,-1837012868,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,12,4,9,2,12,0,10,3,14,2,12,0,12,2,15,0,12,-1,14,0,15,0,16,-1,17,-4,20,-1,13,-2,19,-4,14,-3,20,-4,18,-6,16,-1,20,-4,14,-6,18,-5,18,-6,16,-6,17,-9,20,-2,16,-4,18,-7,15,-4,22,-4,18,-2,19,-2,18,-2,19,-2,15,-4,18,0,18,-2,19,-4,22,1,16,-1,22,-3,20,-1,24,-2,19,1,22,-1,22,2,23,2,21,1,25,0,24,-1,29,1,20,1,25,2,29,0,26,0,0,0,0,0,0,28,2,22,2,28,2,26,4,22,1,28,5,20,0,28,2,20,2,27,0,22,1,21,3,24,-2,20,1,22,2,22,0,22,-1,21,0,26,2,17,-4,24,-2,19,2,24,-2,22,-2,20,-2,23,-5,18,-2,21,-1,22,-1,21,-2,21,0,26,0,18,-3,24,-1,20,2,26,0,20,1,22,-1,22,0,21,1,17,3,19,5,20,2,18,4,20,8,15,4,18,6,14,8,18,9,11,8,13,8,11,8,12,8,9,9,8,8,8,8,6,10,0,0,0,0,0,0,0,0,0,0]"""
1782128332038,2026-06-22T20:38:52.038,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174995,1a:00:00:00:00:00,-63,11,-99,20,47,11,-1837002452,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,11,1,11,1,12,0,11,0,11,-1,12,-3,11,-1,15,-3,12,-3,13,-3,14,-4,15,-5,15,-5,18,-3,15,-4,16,-5,16,-5,14,-7,18,-7,18,-5,18,-7,15,-6,16,-8,16,-8,15,-8,16,-8,16,-4,18,-5,18,-7,17,-5,17,-5,16,-5,17,-5,18,-5,18,-5,17,-3,17,-2,18,-2,19,-3,19,0,19,-1,20,-1,22,-1,20,-1,18,-1,22,-1,21,0,24,0,24,2,22,1,24,0,25,0,24,3,25,1,27,1,26,0,0,0,0,0,0,27,-1,27,0,25,-1,25,-1,27,-1,22,-1,24,-2,24,-3,24,-3,22,0,22,-1,23,0,25,-5,23,-1,21,-3,22,-1,22,-3,23,-3,22,-4,19,-6,20,-7,22,-5,19,-5,19,-5,20,-5,20,-7,21,-3,20,-7,22,-5,20,-5,20,-5,22,-5,21,-11,19,-9,20,-7,22,-6,20,-5,21,-6,21,-2,22,-3,20,-1,18,-2,20,-1,20,0,20,1,18,-1,18,0,18,1,15,1,14,3,15,3,13,5,13,3,13,4,12,5,11,7,9,6,0,0,0,0,0,0,0,0,0,0]"""
1782128332041,2026-06-22T20:38:52.041,danger,fall,yja,bed_lying_to_stand_fall,t003,"CSI_DATA,2174996,1a:00:00:00:00:00,-63,11,-99,17,48,11,-1836990520,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,-8,5,-7,8,-9,6,-6,11,-7,8,-6,9,-6,11,-8,11,-7,13,-10,11,-6,11,-6,13,-8,15,-6,13,-5,17,-4,14,-3,18,-1,14,-4,16,-4,20,-4,16,-3,20,-5,17,-2,17,-4,17,-4,18,-2,15,-1,21,0,15,-1,18,2,15,-1,13,-2,17,0,17,-5,18,0,18,3,18,2,20,-2,22,-11,19,-5,22,0,18,3,18,-3,13,-2,11,-3,17,-1,23,-9,15,-3,18,-7,18,-2,18,0,20,-10,26,-4,27,-3,26,0,24,-3,0,0,0,0,0,0,-1,-27,0,-27,0,-22,1,-25,1,-29,2,-22,2,-27,0,-22,4,-26,0,-18,1,-21,-1,-24,0,-23,-2,-25,1,-21,-1,-22,-1,-23,0,-24,0,-21,2,-24,1,-18,3,-23,0,-18,0,-20,-1,-23,0,-21,-1,-23,1,-19,-1,-21,-1,-21,1,-22,2,-18,5,-24,5,-18,6,-21,3,-16,3,-22,6,-21,2,-22,6,-22,6,-21,8,-15,7,-19,11,-20,10,-15,13,-13,12,-10,12,-13,8,-8,11,-11,11,-8,10,-10,11,-8,11,-8,11,-3,11,-3,11,-1,0,0,0,0,0,0,0,0,0,0]"""
