pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782210163670,2026-06-23T19:22:43.670,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575901,1a:00:00:00:00:00,-49,11,-94,19,31,11,194925696,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-21,9,-22,6,-26,8,-26,5,-30,6,-29,2,-32,0,-32,-2,-37,-2,-36,-4,-34,-5,-37,-9,-42,-9,-42,-13,-42,-20,-41,-21,-44,-20,-42,-26,-37,-24,-42,-32,-44,-32,-40,-38,-37,-37,-38,-37,-37,-44,-36,-41,-32,-45,-30,-46,-30,-48,-33,-45,-26,-48,-30,-49,-28,-49,-26,-49,-26,-49,-24,-53,-24,-49,-24,-50,-25,-53,-28,-54,-24,-53,-25,-53,-21,-53,-25,-57,-16,-52,-20,-54,-17,-58,-20,-56,-17,-60,-17,-64,-16,-61,-14,-60,-10,-68,-6,-64,-10,-65,-6,-64,-5,-66,0,0,0,0,0,0,-65,-6,-65,-6,-58,-1,-58,-10,-57,-9,-54,-10,-60,-10,-56,-14,-53,-14,-48,-14,-48,-13,-44,-13,-49,-13,-45,-14,-44,-14,-42,-10,-46,-12,-41,-13,-40,-14,-40,-13,-38,-13,-38,-14,-34,-12,-38,-12,-34,-17,-36,-16,-33,-16,-34,-13,-36,-16,-33,-13,-32,-16,-30,-16,-33,-17,-30,-16,-25,-14,-28,-18,-26,-20,-24,-18,-25,-20,-24,-22,-21,-18,-20,-20,-22,-21,-18,-20,-16,-22,-14,-18,-12,-21,-14,-21,-6,-20,-10,-20,-6,-17,-5,-17,-6,-20,-2,-20,-4,-16,0,-14,2,-17,0,0,0,0,0,0,0,0,0,0]"""
1782210163678,2026-06-23T19:22:43.678,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575902,1a:00:00:00:00:00,-49,11,-94,18,31,11,194936525,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-19,13,-21,15,-23,13,-27,13,-24,9,-30,9,-30,9,-31,8,-34,8,-35,9,-37,9,-39,8,-42,8,-43,4,-46,-1,-45,0,-49,1,-50,-5,-49,-6,-46,-6,-45,-10,-52,-6,-50,-12,-50,-13,-54,-15,-53,-15,-52,-17,-53,-19,-52,-19,-53,-17,-50,-20,-56,-17,-53,-20,-52,-19,-54,-17,-53,-19,-50,-20,-53,-17,-53,-19,-57,-16,-53,-20,-54,-16,-57,-16,-59,-17,-56,-19,-57,-19,-56,-19,-56,-20,-56,-19,-60,-21,-60,-20,-61,-19,-61,-27,-60,-26,-63,-24,-63,-27,-60,-24,0,0,0,0,0,0,-31,56,-31,52,-27,54,-30,53,-28,48,-34,46,-28,48,-30,49,-28,45,-28,45,-26,43,-27,38,-26,45,-26,39,-23,38,-20,39,-19,41,-21,38,-24,37,-16,37,-15,37,-16,37,-15,35,-16,35,-19,34,-19,34,-16,31,-13,34,-16,34,-12,31,-15,31,-16,32,-16,30,-13,32,-13,31,-16,31,-16,28,-17,27,-16,28,-16,24,-16,24,-17,26,-17,21,-17,23,-16,21,-15,19,-17,17,-16,17,-15,17,-16,15,-15,13,-15,10,-17,10,-13,8,-13,8,-13,8,-15,6,0,0,0,0,0,0,0,0,0,0]"""
1782210163687,2026-06-23T19:22:43.687,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575904,1a:00:00:00:00:00,-47,11,-94,14,30,11,194958525,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-19,-12,-19,-13,-20,-17,-19,-19,-22,-22,-19,-24,-20,-22,-20,-27,-22,-31,-15,-34,-15,-36,-15,-38,-17,-41,-15,-41,-6,-44,-6,-48,-12,-48,-3,-50,-1,-46,-1,-51,-1,-51,5,-53,6,-53,6,-53,12,-57,10,-51,15,-55,17,-53,19,-53,17,-53,20,-53,20,-51,20,-53,22,-50,20,-53,22,-55,22,-51,22,-50,24,-50,22,-55,27,-55,24,-55,29,-51,27,-57,27,-50,29,-53,32,-53,27,-53,34,-55,38,-57,32,-55,39,-55,46,-51,44,-50,46,-57,44,-51,43,-46,0,0,0,0,0,0,-41,-55,-39,-55,-39,-46,-34,-50,-36,-50,-29,-48,-31,-51,-29,-48,-24,-48,-22,-46,-24,-43,-20,-44,-25,-46,-22,-43,-19,-43,-20,-41,-22,-41,-20,-39,-17,-43,-17,-39,-20,-38,-17,-38,-17,-34,-17,-34,-13,-36,-13,-38,-15,-38,-19,-34,-13,-38,-15,-32,-10,-34,-12,-36,-12,-34,-13,-34,-6,-34,-5,-34,-6,-31,-6,-32,-5,-32,-3,-32,-1,-27,1,-31,1,-29,0,-29,0,-27,1,-25,5,-22,1,-25,8,-20,8,-17,8,-19,6,-20,8,-20,8,-19,10,-13,12,-12,12,-13,0,0,0,0,0,0,0,0,0,0]"""
1782210163694,2026-06-23T19:22:43.694,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575905,1a:00:00:00:00:00,-47,11,-94,14,30,11,194969525,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,15,-20,15,-20,15,-24,17,-24,15,-27,17,-27,15,-31,15,-32,15,-32,13,-34,12,-36,13,-39,13,-43,12,-43,8,-46,8,-48,12,-51,6,-48,6,-50,0,-55,-3,-55,0,-55,0,-55,1,-58,0,-53,0,-55,-3,-57,0,-58,-5,-58,-3,-53,-5,-57,-1,-58,-5,-57,-1,-58,-1,-60,-3,-55,-1,-60,0,-57,-1,-62,1,-60,0,-57,3,-58,0,-62,3,-58,0,-58,5,-62,-1,-62,5,-63,0,-69,3,-65,5,-65,5,-69,-1,-65,0,-69,1,-70,0,-69,-1,0,0,0,0,0,0,-6,67,-8,67,0,63,-6,62,-3,62,-8,58,-3,57,-5,58,-5,55,-5,53,-5,51,-6,50,0,51,-5,51,-1,46,-1,46,0,48,0,46,-1,43,1,43,3,41,3,43,3,39,0,39,1,43,3,39,5,39,6,38,3,38,8,36,3,38,6,36,6,36,5,36,5,34,3,34,1,32,3,32,1,32,1,32,1,31,1,31,-1,31,1,31,-1,29,0,25,-1,25,-1,24,-5,22,-3,24,-6,19,-5,22,-5,19,-5,20,-6,17,-6,17,-6,17,0,0,0,0,0,0,0,0,0,0]"""
1782210163702,2026-06-23T19:22:43.702,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575906,1a:00:00:00:00:00,-47,11,-94,14,30,11,194980524,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,22,-6,24,-1,27,-3,29,0,31,-1,31,3,32,3,32,5,34,5,36,8,39,8,38,10,43,10,41,13,41,19,41,19,44,20,44,24,41,29,44,25,46,27,46,36,41,32,41,34,39,39,41,36,38,38,39,43,38,43,41,41,39,44,39,46,39,44,38,41,39,44,39,41,36,41,39,38,44,43,44,39,39,39,43,39,41,43,46,44,39,43,44,41,41,44,43,43,43,46,48,50,44,50,46,50,41,55,39,55,46,55,44,51,41,55,0,0,0,0,0,0,60,-36,62,-36,55,-36,53,-31,55,-31,51,-27,51,-27,55,-27,51,-24,46,-24,46,-22,44,-24,46,-25,44,-25,44,-24,38,-24,41,-25,39,-24,39,-20,38,-22,34,-22,38,-20,36,-22,34,-20,34,-20,34,-20,32,-20,32,-22,32,-24,29,-22,32,-19,32,-19,34,-20,29,-19,29,-19,32,-19,32,-15,31,-13,32,-13,31,-12,25,-13,29,-12,29,-12,27,-10,27,-8,24,-8,24,-5,27,-6,25,-3,22,-1,22,-1,20,-1,19,1,20,0,19,1,17,3,15,3,0,0,0,0,0,0,0,0,0,0]"""
1782210163711,2026-06-23T19:22:43.711,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575907,1a:00:00:00:00:00,-47,11,-94,17,29,11,194991524,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-21,-8,-21,-12,-21,-12,-23,-16,-21,-19,-21,-21,-23,-24,-21,-24,-23,-28,-23,-28,-21,-32,-21,-35,-23,-37,-23,-37,-14,-40,-16,-40,-17,-46,-14,-46,-16,-48,-12,-51,-12,-55,-5,-49,-5,-56,-5,-53,-3,-56,-1,-56,3,-56,3,-56,3,-56,3,-58,8,-55,8,-58,5,-58,7,-56,7,-60,7,-56,8,-53,8,-56,10,-56,7,-58,10,-60,5,-58,10,-58,7,-64,14,-62,12,-58,10,-60,10,-58,12,-62,14,-67,14,-64,16,-62,23,-69,24,-64,19,-65,23,-64,24,-65,0,0,0,0,0,0,-64,-33,-56,-33,-58,-28,-58,-32,-53,-30,-49,-33,-51,-28,-49,-33,-44,-30,-42,-32,-42,-32,-39,-32,-46,-30,-40,-32,-39,-30,-37,-28,-39,-26,-35,-26,-35,-32,-35,-28,-37,-23,-35,-28,-33,-21,-33,-24,-32,-23,-33,-24,-30,-24,-33,-21,-32,-24,-32,-21,-26,-26,-28,-23,-26,-23,-30,-23,-26,-24,-26,-28,-24,-24,-26,-26,-24,-26,-21,-26,-19,-23,-16,-24,-19,-24,-14,-26,-16,-23,-14,-23,-12,-24,-10,-23,-7,-23,-7,-21,-5,-21,-1,-21,-1,-19,-1,-23,-1,-21,1,-17,3,-17,0,0,0,0,0,0,0,0,0,0]"""
1782210163719,2026-06-23T19:22:43.719,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575908,1a:00:00:00:00:00,-47,11,-94,17,29,11,195002524,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,21,10,24,7,28,3,28,1,30,3,33,0,33,-3,32,-3,39,-7,37,-8,37,-7,37,-10,42,-12,42,-19,40,-24,42,-23,42,-26,40,-28,40,-33,44,-35,46,-37,37,-37,40,-37,40,-44,40,-42,37,-44,33,-49,32,-49,32,-49,32,-44,30,-51,30,-53,30,-55,24,-53,26,-53,26,-51,26,-53,28,-55,24,-55,26,-53,24,-55,26,-56,21,-58,24,-55,19,-56,23,-60,17,-58,21,-62,16,-65,17,-64,17,-62,17,-69,10,-67,8,-69,12,-69,10,-69,7,0,0,0,0,0,0,-5,69,-5,67,-5,67,-7,65,-10,64,-10,58,-12,60,-12,60,-12,55,-12,55,-16,49,-14,48,-16,49,-16,46,-12,48,-10,46,-14,49,-12,48,-16,42,-14,42,-8,44,-19,44,-14,37,-16,37,-16,39,-21,37,-14,37,-12,39,-16,37,-10,37,-16,35,-16,37,-21,33,-17,32,-19,30,-17,35,-21,30,-23,26,-21,28,-23,26,-21,24,-23,23,-23,23,-23,23,-21,17,-23,17,-23,14,-21,14,-23,8,-23,10,-21,7,-17,8,-19,3,-17,7,-19,3,-14,1,-17,0,0,0,0,0,0,0,0,0,0,0]"""
1782210163726,2026-06-23T19:22:43.726,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575909,1a:00:00:00:00:00,-47,11,-94,16,29,11,195013524,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-20,9,-23,10,-25,12,-25,18,-29,18,-23,21,-21,25,-21,27,-23,29,-25,32,-23,34,-23,36,-25,42,-21,43,-18,47,-16,45,-18,51,-10,49,-10,53,-1,56,0,53,-1,56,0,56,0,60,1,53,3,56,10,56,12,56,16,58,12,54,18,58,18,56,21,53,21,54,23,54,23,51,21,53,23,53,27,56,25,53,27,51,25,53,31,58,32,49,32,51,34,51,38,54,34,51,40,54,42,51,42,53,42,49,49,43,49,49,51,47,54,42,56,0,0,0,0,0,0,64,-32,64,-27,58,-31,60,-23,62,-25,56,-18,56,-18,60,-16,56,-12,53,-10,49,-9,49,-9,51,-9,54,-9,51,-5,47,-9,49,-7,47,-5,45,-3,45,-3,43,-5,45,0,42,-3,43,-1,43,1,42,0,40,0,40,-1,42,1,40,0,34,1,38,7,40,9,36,5,36,7,36,10,36,12,32,12,31,12,29,14,29,16,29,14,29,16,25,18,23,20,21,16,20,18,20,18,14,16,14,20,12,20,10,20,7,18,9,21,3,20,7,18,1,18,0,0,0,0,0,0,0,0,0,0]"""
1782210163735,2026-06-23T19:22:43.735,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575910,1a:00:00:00:00:00,-47,11,-94,16,29,11,195024524,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,-21,16,-21,16,-20,18,-21,21,-21,21,-20,23,-21,27,-21,27,-27,29,-25,31,-23,31,-29,32,-31,34,-29,38,-25,36,-29,38,-31,42,-27,40,-27,47,-27,51,-31,47,-29,49,-29,47,-32,47,-31,43,-34,49,-27,49,-31,47,-31,47,-34,45,-32,49,-36,45,-34,43,-36,43,-38,43,-40,40,-36,42,-42,42,-42,34,-47,40,-45,36,-49,40,-49,36,-54,34,-51,34,-49,36,-51,32,-54,32,-56,31,-60,31,-60,32,-60,34,-58,36,-60,31,-67,31,-65,31,-62,0,0,0,0,0,0,-62,-34,-62,-27,-64,-23,-60,-29,-56,-23,-53,-25,-56,-21,-60,-20,-54,-18,-53,-20,-51,-21,-49,-18,-53,-12,-49,-9,-51,-10,-45,-7,-51,-3,-47,-1,-45,-5,-45,0,-45,5,-45,0,-42,3,-43,5,-40,3,-42,3,-40,5,-40,12,-40,9,-38,9,-38,9,-36,9,-36,12,-36,14,-32,9,-38,12,-36,10,-32,12,-34,10,-32,7,-29,10,-31,9,-31,10,-29,9,-29,7,-25,12,-25,5,-27,5,-23,5,-23,5,-25,3,-21,5,-20,5,-20,1,-20,3,-18,1,-18,-1,0,0,0,0,0,0,0,0,0,0]"""
1782210163743,2026-06-23T19:22:43.743,danger,fall,lmh,bed_sitting_to_stand_fall,t020,"CSI_DATA,575911,1a:00:00:00:00:00,-47,11,-94,15,29,11,195036121,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,24,-13,24,-15,22,-16,24,-16,24,-20,26,-20,24,-20,28,-22,30,-22,30,-26,32,-26,32,-26,35,-28,33,-35,32,-35,35,-33,37,-39,37,-39,33,-35,32,-37,28,-39,41,-41,33,-41,39,-41,39,-39,39,-47,41,-45,41,-41,41,-39,43,-39,39,-39,45,-39,45,-37,43,-37,48,-35,48,-32,45,-30,50,-32,50,-28,54,-30,56,-24,56,-26,56,-24,58,-26,56,-24,56,-22,58,-20,58,-20,65,-18,67,-16,65,-15,67,-20,71,-18,64,-13,69,-11,69,-15,75,0,0,0,0,0,0,69,13,69,11,65,7,65,9,65,5,60,9,64,3,62,3,56,3,56,3,54,1,52,0,52,-3,54,-1,48,-3,48,-7,50,-9,47,-11,47,-7,47,-13,41,-16,43,-13,39,-16,39,-16,41,-18,41,-18,37,-18,35,-24,39,-20,33,-20,33,-18,35,-22,33,-22,33,-24,28,-20,30,-24,28,-22,26,-24,30,-22,28,-20,26,-20,26,-18,24,-20,24,-20,26,-15,24,-20,22,-16,22,-16,20,-15,20,-13,20,-13,18,-11,20,-13,22,-11,16,-9,16,-9,18,-5,0,0,0,0,0,0,0,0,0,0]"""
