pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782197994252,2026-06-23T15:59:54.252,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239895,1a:00:00:00:00:00,-61,11,-99,20,32,11,350551786,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,-24,11,-26,12,-23,17,-26,15,-25,21,-28,23,-25,22,-22,22,-22,22,-21,26,-26,26,-25,27,-24,25,-22,30,-17,27,-17,34,-21,30,-18,37,-17,35,-17,30,-14,31,-12,31,-10,35,-17,32,-14,33,-14,32,-11,33,-11,30,-9,33,-12,30,-9,36,-12,35,-7,33,-8,31,-8,28,-8,26,-8,30,-13,29,-10,25,-12,27,-8,26,-9,28,-10,27,-10,32,-8,29,-7,27,-7,26,-5,24,-4,26,-8,27,-10,25,-7,28,-4,26,-4,24,-7,27,-4,22,-3,0,0,0,0,0,0,0,-22,0,-17,0,-21,3,-18,0,-15,0,-16,-1,-13,0,-13,1,-12,0,-13,0,-12,0,-8,0,-7,0,-6,-3,-5,-1,-6,0,-7,-2,-4,-1,-4,0,-4,-1,-4,-1,-4,-2,-4,-2,-3,-2,-3,-4,-3,-2,-2,-3,-1,-4,-2,-4,-2,-2,-2,-4,-3,-3,0,-4,0,-4,0,-2,-3,-4,-3,-2,-3,-3,-3,-2,-2,-2,-2,-3,-4,-3,-2,-1,-2,0,-2,0,-2,0,-3,0,-5,0,-3,0,-4,0,-2,0,-4,0,-2,0,-3,0,-2,2,-2,1,-2,0,0,0,0,0,0,0,0,0,0]"""
1782197994258,2026-06-23T15:59:54.258,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239899,1a:00:00:00:00:00,-61,11,-99,20,32,11,350595786,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,-25,-5,-29,-3,-24,0,-33,-2,-26,1,-35,1,-35,3,-30,3,-31,4,-29,2,-36,2,-35,0,-35,3,-33,6,-37,5,-31,5,-40,4,-34,8,-40,8,-40,3,-33,9,-34,7,-31,4,-36,3,-35,4,-34,5,-31,7,-36,2,-31,3,-36,3,-32,2,-40,4,-35,0,-32,1,-33,0,-29,0,-26,-5,-31,-5,-31,-4,-27,-3,-31,-5,-24,-7,-31,-4,-26,-6,-33,-4,-30,-7,-29,-6,-27,-5,-24,-8,-24,-11,-26,-9,-23,-8,-26,-7,-24,-10,-22,-9,-26,-6,-24,0,0,0,0,0,0,-19,4,-15,4,-17,8,-17,5,-11,6,-14,6,-10,7,-13,5,-10,6,-11,4,-8,4,-7,4,-7,3,-5,3,-4,5,-4,4,-4,4,-2,2,-2,4,-3,1,-3,4,-2,3,0,4,-1,4,0,4,0,4,0,4,0,4,1,2,1,4,1,3,1,3,2,4,1,4,0,4,3,4,0,5,2,2,1,4,0,3,1,1,3,4,1,4,1,2,0,4,0,3,0,3,0,4,0,4,0,4,0,4,-2,3,-2,2,0,2,-2,4,-1,3,-2,1,0,0,0,0,0,0,0,0,0,0]"""
1782197994267,2026-06-23T15:59:54.267,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239904,1a:00:00:00:00:00,-61,11,-99,20,32,11,350651127,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,24,-3,31,-4,28,-7,31,-9,28,-11,28,-13,33,-16,26,-16,32,-17,30,-19,26,-21,28,-24,26,-24,22,-33,23,-29,21,-34,21,-29,17,-33,14,-38,17,-32,9,-35,16,-35,13,-35,11,-35,11,-35,5,-31,5,-39,0,-31,0,-34,0,-31,0,-35,1,-34,-3,-31,0,-31,-2,-32,-3,-31,-1,-31,-4,-31,-4,-29,-2,-31,-9,-28,-8,-27,-6,-22,-7,-31,-8,-26,-10,-28,-7,-26,-12,-25,-13,-23,-14,-22,-13,-19,-14,-25,-18,-18,-15,-17,-14,-21,-13,0,0,0,0,0,0,-15,14,-17,11,-13,8,-17,8,-14,8,-14,4,-13,5,-11,4,-12,4,-10,4,-10,4,-9,3,-8,2,-7,4,-7,3,-5,2,-6,2,-4,2,-4,2,-6,1,-4,2,-4,2,-2,2,-2,3,-2,3,-3,3,-1,2,-1,4,-2,4,-1,4,-2,6,-3,3,-3,3,-1,4,-3,3,-2,3,-2,3,-4,3,0,3,-4,1,-4,0,-4,0,-3,0,-5,0,-4,0,-4,0,-3,-1,-3,0,-3,0,-2,-1,-2,-1,-3,-2,-2,-2,0,-1,-3,-2,0,-2,0,-3,0,0,0,0,0,0,0,0,0,0]"""
1782197994274,2026-06-23T15:59:54.274,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239905,1a:00:00:00:00:00,-61,11,-99,20,32,11,350661988,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-19,13,-24,15,-22,10,-30,12,-25,9,-32,6,-33,4,-31,4,-31,1,-31,0,-35,0,-36,-4,-35,-3,-33,-6,-35,-8,-32,-10,-37,-13,-34,-13,-37,-18,-34,-18,-27,-16,-30,-21,-27,-22,-32,-22,-29,-23,-26,-23,-24,-23,-26,-26,-23,-23,-25,-25,-21,-23,-25,-31,-19,-27,-17,-26,-18,-26,-16,-24,-14,-22,-20,-25,-14,-26,-16,-24,-14,-26,-15,-21,-14,-26,-15,-26,-13,-30,-9,-24,-9,-26,-8,-27,-5,-23,-6,-24,-8,-28,-6,-24,-6,-28,-4,-26,-5,-26,-2,-22,0,-23,0,0,0,0,0,0,-20,-4,-18,-4,-18,-1,-16,-4,-15,-4,-12,-2,-12,-5,-14,-4,-11,-4,-9,-5,-9,-3,-8,-3,-8,-4,-5,-3,-6,-1,-4,-1,-6,-1,-4,0,-4,-1,-4,0,-4,-1,-4,0,-2,0,-4,0,-4,1,-4,1,-3,0,-4,0,-3,0,-3,0,-3,0,-4,1,-4,2,-4,2,-3,0,-5,1,-4,0,-4,0,-4,0,-4,0,-3,-1,-4,-1,-4,0,-4,0,-3,0,-3,0,-3,-1,-2,-2,-4,-2,0,-2,0,-3,0,-3,0,-4,0,-4,0,-3,0,-3,2,-1,0,0,0,0,0,0,0,0,0,0]"""
1782197994281,2026-06-23T15:59:54.281,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239906,1a:00:00:00:00:00,-61,11,-99,19,32,11,350672786,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,-16,22,-10,29,-12,26,-10,31,-6,26,-4,27,-4,32,-3,32,-3,37,-1,35,2,35,5,35,5,37,7,33,10,40,13,34,10,36,16,27,14,31,10,33,15,32,19,34,19,30,20,28,23,29,22,28,25,26,20,29,28,25,21,24,24,19,21,25,21,23,24,24,23,24,24,20,26,18,22,20,25,23,25,20,22,21,28,15,23,20,23,14,18,20,21,16,24,17,21,15,26,13,25,10,23,7,26,10,26,10,26,8,21,5,20,6,23,0,0,0,0,0,0,15,-3,23,-2,15,-2,15,1,19,0,15,0,15,0,13,0,12,0,10,0,10,0,10,0,8,0,9,0,5,0,6,0,6,0,5,0,6,0,5,0,5,-1,5,0,5,0,3,-1,4,-1,2,0,2,-2,3,-1,2,-2,2,-2,3,-3,0,-3,3,-3,4,-2,3,-3,3,0,3,-2,4,0,3,0,3,-1,3,-1,3,0,3,0,3,0,3,0,4,0,3,0,5,1,3,0,3,1,4,0,1,2,2,1,2,3,2,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0]"""
1782197994287,2026-06-23T15:59:54.287,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239908,1a:00:00:00:00:00,-61,11,-99,20,32,11,350694786,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-21,17,-17,14,-26,19,-22,14,-29,14,-26,10,-27,13,-31,14,-30,8,-34,13,-32,8,-34,8,-35,8,-34,6,-32,3,-42,2,-34,2,-41,0,-32,0,-37,-3,-41,-3,-34,-4,-40,-2,-36,-2,-34,-5,-37,-4,-36,-7,-31,-4,-38,-8,-32,-8,-33,-8,-29,-8,-34,-6,-32,-8,-31,-4,-31,-7,-31,-8,-29,-8,-31,-8,-32,-6,-27,-4,-31,-8,-26,-8,-30,-7,-24,-7,-31,-4,-26,-7,-27,-4,-26,-8,-26,-8,-25,-10,-22,-9,-22,-9,-27,-11,-22,-10,-21,-10,-23,-9,0,0,0,0,0,0,-10,16,-10,17,-7,13,-11,14,-9,13,-8,11,-8,10,-8,10,-8,8,-5,7,-5,7,-6,8,-4,6,-4,7,-4,5,-3,4,-2,4,-1,5,-1,4,-3,4,0,3,0,4,-1,3,0,4,0,4,0,3,0,3,0,3,1,4,1,4,2,4,1,3,0,4,0,4,0,5,2,2,1,5,2,3,0,5,0,4,0,4,0,4,-1,4,0,4,0,2,-1,3,0,2,-1,3,-1,1,-4,1,-1,2,-3,1,-2,1,-3,2,-4,2,-4,0,-3,1,0,0,0,0,0,0,0,0,0,0]"""
1782197994295,2026-06-23T15:59:54.295,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239911,1a:00:00:00:00:00,-61,11,-99,20,32,11,350727786,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,-5,25,-1,29,-2,31,0,28,0,31,3,33,3,31,2,31,6,33,2,36,4,35,5,35,8,31,5,35,10,36,9,38,11,35,12,37,14,35,14,36,15,31,12,35,13,34,8,33,11,33,11,33,13,31,8,33,13,33,11,30,8,34,11,35,11,32,10,31,7,30,7,28,8,33,6,30,8,31,6,28,4,28,6,30,4,28,0,30,5,31,1,28,4,27,0,24,6,28,2,29,3,26,2,28,3,27,4,26,3,26,3,22,4,0,0,0,0,0,0,2,-18,0,-19,2,-22,1,-17,2,-14,3,-16,3,-12,0,-14,0,-11,0,-11,0,-11,1,-8,0,-8,1,-8,0,-7,-1,-7,0,-8,0,-4,-1,-3,-1,-5,-2,-4,-2,-4,-2,-4,-1,-3,-2,-2,-3,-2,-1,-2,-3,0,-4,0,-4,-2,-3,-1,-4,0,-4,-1,-4,0,-4,0,-3,-1,-4,-1,-3,-2,-2,0,-2,-1,-3,-1,-4,-2,-4,0,-3,-2,-3,0,-3,-1,-1,-2,0,-1,-1,-3,-1,-4,-1,-2,0,-2,-1,-3,0,0,0,-4,0,-2,0,-4,0,0,0,0,0,0,0,0,0,0]"""
1782197994303,2026-06-23T15:59:54.303,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239916,1a:00:00:00:00:00,-61,11,-99,20,32,11,350782959,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-18,-22,-13,-19,-17,-26,-13,-21,-13,-30,-10,-26,-12,-26,-9,-31,-8,-32,-8,-36,-4,-33,-1,-33,-3,-35,0,-35,0,-31,3,-42,1,-35,6,-39,6,-31,3,-34,6,-35,7,-36,12,-39,12,-35,13,-33,13,-35,15,-31,12,-30,17,-35,12,-27,14,-31,14,-26,12,-32,13,-29,13,-31,12,-28,15,-27,17,-25,18,-27,16,-29,13,-25,19,-28,15,-23,13,-27,13,-19,13,-26,14,-21,12,-26,13,-22,17,-25,17,-21,19,-19,17,-19,19,-22,19,-16,14,-17,16,-20,0,0,0,0,0,0,-8,-17,-11,-19,-11,-15,-9,-11,-10,-14,-6,-10,-7,-15,-4,-12,-7,-10,-4,-8,-5,-8,-3,-9,-4,-6,-4,-7,-4,-6,-4,-4,-3,-6,-4,-5,-2,-2,-4,-3,-3,-2,-4,-4,-4,-1,-4,-1,-3,-1,-3,-2,-4,-1,-3,-1,-4,-2,-4,-1,-3,0,-3,0,-4,0,-3,-1,-3,0,-4,-1,-4,0,-4,0,-3,-1,-4,0,-4,-1,-3,-3,-4,-3,-2,-3,-1,-1,-1,-3,-1,-3,-1,-3,0,-4,-2,-3,0,-4,0,-4,0,-3,0,-3,0,-2,0,-3,1,-4,0,0,0,0,0,0,0,0,0,0]"""
1782197994308,2026-06-23T15:59:54.308,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239919,1a:00:00:00:00:00,-61,11,-99,20,32,11,350815847,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,22,14,28,12,24,15,27,8,26,11,31,8,33,5,30,11,31,4,32,5,35,8,37,6,33,5,35,0,40,4,30,5,40,1,34,0,42,-5,40,-7,34,0,36,-4,32,0,36,0,39,0,33,-3,33,-5,36,0,31,0,35,-4,32,-1,40,-4,32,-3,32,-4,34,0,31,-2,28,2,31,0,31,1,27,-1,29,3,28,4,31,0,29,1,35,-2,28,3,30,-1,28,0,26,0,28,3,30,3,26,0,28,0,25,4,26,0,23,0,23,0,0,0,0,0,0,21,2,17,2,21,1,18,3,13,1,14,3,11,0,14,0,12,0,13,0,13,1,9,1,9,0,8,0,8,0,7,-1,6,-3,4,0,7,-1,3,-2,2,-2,3,-1,4,-4,1,-2,2,-2,0,-3,2,-2,1,-3,0,-4,2,-1,4,-3,3,-4,1,-2,1,-4,1,-4,2,-4,2,-4,2,-4,1,-4,0,-3,1,-2,1,-2,2,-3,2,-2,1,-1,1,-1,4,-1,4,-2,4,-1,3,0,2,0,2,0,3,-1,3,1,3,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0]"""
1782197994314,2026-06-23T15:59:54.314,danger,fall,mhw,bed_sitting_to_stand_fall,t023,"CSI_DATA,1239924,1a:00:00:00:00:00,-61,11,-99,19,32,11,350870786,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,1,28,5,25,5,31,10,27,8,31,15,30,18,22,21,28,20,22,21,27,22,26,25,25,26,22,26,21,31,20,24,23,31,21,29,21,36,12,38,10,36,12,34,8,33,14,36,10,35,9,32,6,33,6,37,8,28,9,33,5,31,6,39,0,34,1,33,0,33,1,30,0,27,5,31,0,30,3,26,0,27,6,27,5,31,0,31,-2,36,-3,26,-4,28,-7,28,-3,25,-4,28,-3,30,-1,26,-5,26,-7,24,-5,27,-8,26,-9,23,0,0,0,0,0,0,19,12,15,7,17,10,15,10,10,7,13,10,11,5,10,7,7,5,10,8,7,6,5,5,6,5,5,5,5,5,5,3,6,2,5,3,4,4,4,1,5,2,4,1,5,1,4,0,3,0,4,0,2,0,5,0,4,1,3,0,4,0,3,0,4,0,4,0,4,0,5,0,5,0,5,0,5,0,3,2,4,1,3,1,3,1,2,2,2,2,2,2,3,3,1,2,0,4,0,3,1,2,0,3,0,2,-1,4,0,3,-1,2,-2,1,0,0,0,0,0,0,0,0,0,0]"""
