pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782127799057,2026-06-22T20:29:59.058,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126353,1a:00:00:00:00:00,-63,11,-98,13,48,11,1922903857,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-9,3,-10,1,-9,3,-12,3,-11,4,-12,5,-13,5,-10,5,-15,7,-10,7,-11,9,-12,7,-12,9,-13,9,-14,5,-13,7,-14,9,-16,9,-16,11,-14,12,-12,9,-18,12,-14,11,-14,11,-15,12,-15,12,-16,13,-17,7,-16,7,-17,9,-17,9,-18,9,-16,7,-18,9,-17,7,-19,9,-18,7,-19,7,-19,7,-19,8,-21,0,-20,2,-22,5,-23,5,-25,5,-20,4,-25,6,-22,2,-26,4,-26,4,-27,2,-28,2,-27,3,-26,2,-30,4,-31,3,-29,0,0,0,0,0,0,-32,-2,-26,-3,-29,-4,-28,-2,-25,-4,-27,-5,-24,0,-29,-2,-25,-1,-26,-4,-27,-3,-24,-4,-27,-1,-23,-4,-23,-3,-24,-4,-21,-2,-21,0,-24,-1,-21,2,-21,2,-22,1,-24,2,-20,3,-20,0,-23,2,-21,0,-20,3,-21,0,-21,1,-21,0,-23,0,-19,4,-20,4,-23,2,-21,3,-19,0,-19,2,-20,-1,-19,0,-18,-2,-19,0,-18,-2,-15,-2,-16,-5,-15,0,-16,0,-15,-4,-15,-4,-12,-4,-14,-5,-10,-7,-11,-4,-9,-6,-8,-6,-9,-7,-8,-6,0,0,0,0,0,0,0,0,0,0]"""
1782127799063,2026-06-22T20:29:59.063,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126354,1a:00:00:00:00:00,-63,11,-98,14,48,11,1922916456,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,5,-10,4,-8,3,-11,4,-10,4,-13,4,-13,2,-11,1,-13,2,-13,2,-15,4,-14,4,-14,4,-15,4,-15,2,-16,2,-18,2,-16,2,-19,2,-18,2,-16,2,-17,0,-17,0,-19,4,-19,4,-18,3,-18,3,-18,2,-17,2,-19,3,-17,3,-23,4,-20,2,-19,3,-19,4,-18,3,-18,6,-22,9,-19,10,-17,8,-19,8,-19,8,-22,11,-19,10,-26,12,-23,8,-21,13,-22,11,-19,9,-19,14,-21,17,-19,15,-23,15,-25,14,-22,18,-23,17,-24,15,0,0,0,0,0,0,14,24,15,22,19,27,14,26,13,19,16,26,15,21,16,24,15,19,16,26,14,24,15,22,11,19,13,17,18,19,18,17,17,15,15,14,15,15,14,15,16,17,15,13,19,16,15,18,15,14,13,14,15,12,19,13,17,12,18,11,16,13,16,13,15,11,17,13,15,13,17,15,13,17,13,13,13,14,10,15,11,11,15,14,12,13,10,11,9,13,9,12,8,13,8,12,8,15,5,13,4,12,3,13,2,11,2,10,3,12,4,10,2,8,0,0,0,0,0,0,0,0,0,0]"""
1782127799068,2026-06-22T20:29:59.068,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126355,1a:00:00:00:00:00,-63,11,-98,14,48,11,1922925627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-8,1,-11,4,-8,3,-12,2,-8,6,-13,7,-13,5,-11,6,-10,6,-10,6,-14,8,-13,6,-13,5,-12,10,-15,10,-11,12,-13,8,-13,13,-15,15,-14,12,-15,14,-11,12,-12,13,-16,12,-15,12,-13,12,-13,15,-14,13,-11,14,-14,13,-13,16,-17,17,-13,13,-13,15,-13,14,-11,13,-13,13,-17,11,-15,10,-15,15,-16,12,-15,13,-19,11,-16,19,-22,18,-17,16,-19,18,-16,15,-15,14,-19,13,-25,12,-21,19,-21,17,-20,15,-22,19,-23,18,-22,0,0,0,0,0,0,-20,-21,-17,-16,-25,-22,-17,-22,-15,-17,-20,-22,-16,-17,-20,-23,-17,-15,-21,-24,-17,-22,-14,-17,-13,-19,-15,-17,-18,-18,-18,-15,-18,-15,-15,-15,-17,-17,-12,-14,-17,-17,-13,-13,-18,-18,-15,-18,-13,-17,-12,-15,-13,-15,-16,-14,-17,-13,-14,-13,-12,-13,-13,-17,-11,-14,-15,-16,-11,-15,-14,-20,-9,-19,-11,-16,-8,-18,-6,-16,-6,-15,-11,-17,-8,-15,-6,-13,-5,-15,-3,-12,-4,-17,-2,-13,0,-17,0,-13,0,-13,2,-11,2,-10,1,-9,1,-11,2,-8,3,-9,0,0,0,0,0,0,0,0,0,0]"""
1782127799072,2026-06-22T20:29:59.072,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126356,1a:00:00:00:00:00,-64,11,-98,14,48,11,1922935927,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,6,9,8,8,5,8,9,7,9,8,8,11,9,8,9,11,11,8,11,8,11,8,12,9,14,8,10,11,15,6,11,11,15,10,13,11,14,13,17,10,14,12,16,11,16,8,15,10,17,10,16,8,11,12,17,10,13,13,15,11,11,16,12,16,13,15,11,12,13,16,12,15,15,18,17,21,13,13,11,23,12,17,11,26,13,21,11,26,10,19,17,26,4,26,4,32,14,24,15,19,12,26,9,30,9,26,8,23,11,33,11,0,0,0,0,0,0,6,-26,10,-32,6,-20,7,-25,9,-30,8,-21,10,-33,4,-22,9,-29,6,-21,4,-24,3,-25,4,-22,2,-28,6,-23,4,-20,4,-22,4,-23,0,-17,1,-26,0,-17,0,-24,0,-19,0,-20,-2,-23,-1,-20,0,-23,0,-22,0,-20,0,-21,-1,-21,-3,-16,0,-25,0,-18,-1,-19,0,-17,-4,-22,-2,-21,-2,-19,0,-17,0,-19,2,-17,4,-18,2,-17,0,-15,3,-17,4,-11,2,-15,2,-8,1,-15,3,-12,2,-11,3,-10,3,-12,6,-10,5,-8,5,-7,0,0,0,0,0,0,0,0,0,0]"""
1782127799076,2026-06-22T20:29:59.076,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126357,1a:00:00:00:00:00,-64,11,-98,20,47,11,1922948372,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,10,-3,8,-3,12,-2,9,-5,11,-5,9,-4,10,-7,12,-5,12,-7,14,-8,11,-9,11,-8,14,-11,13,-9,13,-11,16,-8,13,-11,15,-8,11,-7,14,-8,16,-9,16,-11,18,-11,12,-13,13,-11,15,-12,16,-9,16,-11,18,-8,16,-9,18,-7,13,-5,16,-7,18,-5,19,-5,20,-7,20,-7,18,-8,20,-5,22,-3,19,-5,25,-3,20,-2,22,-1,18,0,23,-2,23,1,24,1,25,0,27,-2,22,-3,28,0,27,1,29,-1,27,0,25,2,27,0,0,0,0,0,0,27,-2,33,-1,22,-2,27,-3,33,-2,23,-1,30,-1,22,-3,27,-5,21,-2,22,-5,25,-4,24,-6,25,-6,22,-1,24,-1,22,-4,24,-5,18,-6,25,-7,18,-7,22,-9,15,-5,16,-9,21,-8,19,-11,22,-11,20,-5,19,-6,19,-9,21,-9,17,-10,22,-10,16,-9,19,-10,13,-5,16,-11,16,-9,16,-9,19,-9,20,-7,16,-5,18,-3,16,-4,15,-5,16,-4,13,-3,14,-5,11,-1,12,-4,12,-1,12,-3,12,-1,11,0,9,1,11,2,10,1,0,0,0,0,0,0,0,0,0,0]"""
1782127799080,2026-06-22T20:29:59.080,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126358,1a:00:00:00:00:00,-64,11,-98,19,47,11,1922957927,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,6,-3,10,-4,7,-6,10,-3,10,-7,11,-10,10,-10,8,-9,11,-10,8,-10,12,-10,12,-10,10,-9,8,-12,10,-10,10,-10,12,-11,14,-16,13,-16,10,-12,6,-14,11,-14,9,-15,13,-15,10,-14,12,-14,10,-17,12,-11,11,-15,11,-15,12,-18,14,-18,10,-16,12,-16,10,-15,12,-13,13,-12,17,-13,14,-11,12,-15,13,-8,16,-10,19,-15,18,-18,23,-16,16,-15,20,-19,17,-13,17,-16,20,-14,25,-11,22,-14,24,-17,22,-13,24,-16,24,-18,22,0,0,0,0,0,0,22,17,18,15,25,19,22,18,17,14,23,17,18,14,22,18,18,14,22,18,20,19,16,16,18,15,14,16,21,15,19,14,18,14,16,12,18,16,16,9,19,10,18,10,21,13,19,14,17,12,18,12,16,11,19,11,17,12,18,10,14,10,17,13,15,7,18,9,18,10,20,14,14,15,14,13,12,15,12,13,12,12,15,12,11,12,9,10,8,14,10,10,10,12,7,14,8,16,4,12,4,12,2,12,3,10,2,12,3,12,2,10,2,10,0,0,0,0,0,0,0,0,0,0]"""
1782127799083,2026-06-22T20:29:59.083,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126359,1a:00:00:00:00:00,-64,11,-98,10,47,11,1922968950,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,39,57,-23,51,-21,-12,-6,58,31,-22,0,26,-34,30,23,12,22,-9,35,24,0,30,-3,13,5,14,15,24,8,32,-5,20,2,10,0,22,8,11,11,13,2,15,9,15,10,18,6,19,9,18,10,17,10,19,9,14,8,21,7,15,6,16,7,9,14,14,12,14,16,11,13,15,15,13,11,14,16,12,17,15,15,12,18,14,13,12,20,12,14,5,20,9,20,8,24,6,24,7,25,6,22,7,25,7,23,8,27,7,26,9,25,3,25,5,0,0,0,0,0,0,5,-28,7,-32,3,-21,6,-25,5,-32,6,-20,6,-30,3,-22,6,-27,0,-20,0,-22,0,-25,-1,-24,-4,-26,0,-22,-4,-22,-6,-23,-4,-24,-5,-20,-4,-25,-4,-19,-4,-22,-6,-16,-8,-18,-9,-20,-9,-19,-12,-21,-6,-19,-12,-18,-12,-19,-9,-19,-10,-16,-10,-23,-8,-18,-6,-19,-7,-12,-12,-15,-10,-17,-13,-15,-11,-18,-8,-17,-6,-16,-8,-17,-8,-17,-5,-15,-4,-16,-1,-14,-6,-16,-4,-7,-4,-12,-3,-12,-6,-11,-2,-13,-6,-11,-1,-9,0,-9,0,-8,0,0,0,0,0,0,0,0,0,0]"""
1782127799086,2026-06-22T20:29:59.086,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126360,1a:00:00:00:00:00,-64,11,-98,15,48,11,1922981309,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,-8,4,-7,7,-10,6,-10,8,-10,8,-9,6,-8,8,-11,9,-8,8,-11,9,-11,10,-10,10,-10,10,-12,8,-11,11,-14,10,-12,10,-15,11,-12,11,-11,12,-14,11,-14,12,-16,10,-14,11,-14,13,-14,12,-16,7,-15,10,-16,8,-14,8,-18,8,-12,5,-20,6,-18,6,-18,6,-18,6,-20,7,-20,6,-19,3,-20,2,-18,4,-25,2,-22,-2,-21,0,-20,-2,-25,0,-22,-3,-24,-2,-25,-3,-24,0,-24,-1,-24,-4,-25,-4,-29,-4,-26,-6,-25,-8,-27,0,0,0,0,0,0,-26,7,-28,11,-22,9,-25,12,-28,10,-22,10,-26,11,-20,10,-25,12,-20,8,-20,12,-23,14,-22,11,-21,15,-20,13,-20,11,-18,13,-18,14,-12,15,-20,16,-15,15,-15,18,-13,13,-12,16,-12,17,-14,15,-15,19,-12,17,-13,16,-14,17,-11,18,-8,17,-14,19,-11,16,-10,19,-10,14,-8,19,-12,16,-10,18,-12,15,-12,14,-11,14,-12,13,-12,14,-9,13,-11,12,-10,10,-7,12,-8,10,-10,11,-10,8,-9,10,-10,8,-9,8,-8,6,-9,5,-6,4,0,0,0,0,0,0,0,0,0,0]"""
1782127799090,2026-06-22T20:29:59.090,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126361,1a:00:00:00:00:00,-63,11,-98,15,48,11,1922990926,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,-2,-10,-2,-12,-2,-11,0,-12,0,-11,-2,-10,-2,-12,-2,-13,-1,-15,2,-12,4,-13,2,-13,5,-15,5,-16,4,-16,5,-14,6,-16,5,-14,5,-15,7,-19,6,-20,7,-18,9,-12,10,-16,10,-15,12,-15,9,-17,12,-14,12,-14,11,-14,8,-14,8,-17,9,-17,11,-17,9,-20,10,-18,11,-10,12,-19,15,-18,12,-21,12,-17,14,-15,14,-17,8,-17,8,-18,8,-21,8,-22,13,-24,14,-24,16,-18,20,-20,17,-20,15,-19,23,-19,18,-22,20,-22,0,0,0,0,0,0,-21,-22,-19,-24,-14,-22,-18,-22,-17,-23,-11,-22,-14,-24,-12,-23,-12,-25,-12,-19,-14,-17,-14,-18,-17,-20,-14,-22,-6,-20,-10,-22,-10,-22,-8,-24,-10,-21,-9,-22,-9,-20,-6,-20,-6,-16,-10,-16,-10,-18,-12,-20,-9,-20,-5,-20,-6,-22,-6,-19,-4,-21,-6,-21,-4,-22,-4,-20,-3,-20,-2,-18,-6,-18,-4,-19,-4,-19,-2,-22,0,-18,5,-16,2,-19,6,-19,4,-18,7,-15,7,-13,7,-13,4,-9,4,-12,5,-11,4,-11,8,-12,8,-10,8,-4,10,-5,10,-5,0,0,0,0,0,0,0,0,0,0]"""
1782127799093,2026-06-22T20:29:59.093,danger,fall,yja,bed_sitting_to_stand_fall,t017,"CSI_DATA,2126362,1a:00:00:00:00:00,-63,11,-98,19,47,11,1923004330,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,-5,-7,-4,-9,-6,-8,-6,-8,-8,-7,-6,-6,-6,-10,-10,-8,-9,-12,-10,-9,-8,-9,-10,-9,-10,-10,-12,-9,-10,-12,-14,-10,-11,-12,-13,-9,-12,-10,-14,-13,-15,-10,-14,-14,-14,-12,-14,-11,-14,-12,-13,-13,-14,-14,-11,-14,-16,-12,-14,-15,-12,-12,-12,-16,-11,-14,-14,-17,-10,-17,-11,-18,-11,-16,-10,-18,-12,-20,-10,-18,-8,-20,-12,-18,-10,-22,-6,-16,-5,-26,-5,-20,-6,-24,-2,-26,-9,-24,-6,-23,-8,-27,-8,-23,-5,-29,-6,-27,-7,-24,-7,-26,-3,0,0,0,0,0,0,-4,27,-4,34,-3,24,-2,28,-4,32,-1,23,-6,32,-2,26,-2,29,0,22,0,24,2,26,0,26,1,28,0,22,0,22,2,24,2,24,4,20,2,25,2,20,5,23,4,18,4,20,6,23,6,22,6,22,6,20,6,20,8,20,7,20,8,17,6,25,5,20,6,20,3,16,8,20,4,19,7,18,5,20,4,20,2,17,2,19,3,20,4,17,1,18,0,14,2,15,0,10,1,14,-1,11,2,13,-2,12,0,12,-2,10,-3,10,-3,10,0,0,0,0,0,0,0,0,0,0]"""
