pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782199471454,2026-06-23T16:24:31.454,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374187,1a:00:00:00:00:00,-52,11,-99,17,32,11,400264033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,-14,-4,-12,-5,-16,-4,-15,-3,-17,-1,-17,-1,-16,-1,-19,0,-18,0,-22,1,-20,1,-20,1,-22,3,-22,4,-20,8,-25,5,-22,7,-23,8,-20,7,-21,7,-24,11,-20,12,-24,12,-22,13,-20,13,-21,14,-20,11,-21,18,-21,14,-19,14,-20,14,-18,13,-22,15,-20,14,-21,15,-20,16,-19,17,-18,18,-18,18,-21,16,-20,18,-18,18,-16,15,-22,15,-16,16,-22,18,-18,14,-22,19,-20,20,-20,20,-18,22,-16,21,-18,24,-19,23,-16,21,-16,22,-18,0,0,0,0,0,0,-12,-23,-12,-24,-9,-20,-10,-22,-9,-24,-8,-20,-7,-24,-6,-19,-6,-20,-3,-18,-3,-17,-6,-17,-5,-15,-6,-16,-3,-16,-3,-13,-5,-14,-2,-14,-3,-12,-3,-14,-3,-11,-3,-12,-3,-11,-3,-9,-5,-11,-2,-9,-3,-10,-3,-8,-3,-8,-3,-8,-3,-8,-2,-7,-1,-10,-2,-7,-2,-7,-1,-7,-3,-7,-1,-7,-3,-6,-1,-7,-1,-6,0,-5,0,-6,-1,-6,-1,-5,-1,-6,0,-5,-1,-5,-1,-3,-1,-4,0,-3,-1,-5,0,-5,-1,-3,0,-4,1,-4,0,-4,0,0,0,0,0,0,0,0,0,0]"""
1782199471466,2026-06-23T16:24:31.466,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374188,1a:00:00:00:00:00,-53,11,-99,17,32,11,400275033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-16,2,-13,0,-17,0,-16,-1,-17,-1,-15,-3,-16,-3,-18,-3,-18,-5,-20,-5,-18,-7,-19,-7,-19,-7,-20,-9,-18,-10,-22,-14,-18,-11,-20,-14,-16,-11,-19,-14,-24,-15,-17,-16,-20,-15,-18,-16,-17,-16,-18,-16,-18,-19,-17,-16,-18,-22,-16,-17,-16,-18,-14,-15,-18,-17,-16,-18,-19,-17,-17,-18,-17,-20,-16,-18,-18,-19,-19,-20,-19,-17,-18,-20,-16,-18,-20,-18,-14,-14,-20,-18,-16,-20,-21,-17,-18,-20,-18,-20,-14,-21,-16,-22,-16,-22,-17,-25,-17,-23,-16,-20,-16,-25,0,0,0,0,0,0,-22,12,-26,12,-20,10,-22,10,-24,11,-20,7,-22,7,-17,7,-21,6,-16,5,-16,7,-17,7,-16,5,-18,6,-14,4,-14,6,-14,5,-12,5,-12,4,-15,5,-10,4,-11,6,-10,3,-9,4,-9,3,-9,4,-10,5,-9,3,-9,3,-8,5,-8,4,-7,4,-9,3,-7,2,-6,3,-5,3,-7,3,-7,4,-5,4,-6,3,-5,2,-5,3,-5,3,-6,2,-5,1,-5,1,-3,1,-5,1,-3,2,-4,3,-4,2,-3,2,-4,1,-4,1,-3,1,-3,1,-4,1,0,0,0,0,0,0,0,0,0,0]"""
1782199471473,2026-06-23T16:24:31.473,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374190,1a:00:00:00:00:00,-52,11,-99,17,32,11,400297033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-12,-9,-12,-9,-11,-7,-14,-6,-14,-7,-16,-7,-16,-5,-18,-7,-19,-3,-18,-1,-20,-3,-22,-2,-22,0,-22,1,-25,0,-21,2,-24,5,-23,3,-22,4,-23,5,-20,7,-25,8,-24,9,-22,11,-24,9,-22,13,-22,14,-24,12,-22,12,-22,15,-19,12,-23,13,-20,12,-22,14,-22,14,-22,14,-20,14,-19,14,-20,16,-21,18,-20,13,-20,16,-20,18,-19,18,-20,18,-16,17,-21,16,-18,18,-20,19,-20,20,-18,20,-19,25,-18,22,-14,22,-16,24,-15,24,-14,0,0,0,0,0,0,-11,-27,-6,-25,-7,-24,-5,-24,-5,-22,-2,-24,-3,-20,-1,-22,0,-19,-1,-18,-1,-19,0,-18,-2,-19,0,-16,-1,-15,0,-15,-1,-14,0,-14,1,-14,0,-13,-1,-12,1,-12,0,-11,0,-10,1,-10,0,-11,0,-10,0,-9,0,-9,0,-9,0,-9,0,-9,0,-7,0,-7,0,-7,1,-9,0,-7,0,-8,0,-7,0,-7,1,-6,0,-5,0,-6,0,-6,1,-5,1,-5,0,-5,1,-5,0,-5,0,-5,1,-5,0,-4,1,-5,2,-3,1,-3,2,-3,1,-3,0,0,0,0,0,0,0,0,0,0]"""
1782199471480,2026-06-23T16:24:31.480,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374191,1a:00:00:00:00:00,-52,11,-99,17,32,11,400308033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-8,-12,-11,-9,-7,-11,-13,-10,-9,-12,-14,-12,-16,-9,-15,-12,-16,-9,-14,-12,-16,-12,-16,-12,-18,-11,-18,-11,-22,-10,-16,-12,-20,-11,-19,-13,-24,-9,-25,-7,-24,-10,-22,-8,-21,-12,-23,-12,-22,-12,-20,-10,-21,-11,-25,-10,-18,-13,-22,-10,-20,-16,-27,-11,-22,-12,-20,-12,-22,-11,-21,-12,-17,-16,-18,-16,-20,-16,-16,-15,-22,-16,-14,-20,-19,-17,-20,-22,-24,-15,-20,-18,-20,-17,-20,-17,-18,-18,-18,-23,-19,-20,-16,-21,-22,-18,-19,-22,-17,-22,-22,-19,-19,0,0,0,0,0,0,-19,19,-17,14,-20,20,-19,15,-14,13,-19,16,-12,14,-17,18,-12,12,-17,14,-14,12,-12,11,-11,12,-9,10,-11,12,-8,12,-9,13,-8,11,-9,12,-5,9,-5,11,-6,9,-6,13,-5,9,-5,9,-5,9,-3,7,-3,9,-2,9,-1,8,-3,7,-3,8,-1,7,-1,8,-1,7,-1,10,-2,7,0,6,-1,7,-1,6,0,6,0,6,1,6,0,6,0,5,0,5,0,6,0,3,0,5,0,5,0,5,0,3,0,5,0,3,-1,5,0,5,0,4,0,0,0,0,0,0,0,0,0,0]"""
1782199471486,2026-06-23T16:24:31.486,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374192,1a:00:00:00:00:00,-52,11,-99,17,32,11,400319033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,-3,14,-2,15,-1,16,0,16,0,17,3,17,3,16,7,20,6,17,9,18,10,18,12,18,12,16,14,17,16,18,14,17,16,16,18,14,18,12,21,10,23,14,22,8,24,9,23,8,24,6,24,4,25,3,27,6,25,6,24,3,25,1,26,0,25,0,24,-1,26,1,27,-1,24,0,25,-3,24,-1,24,-5,25,0,26,0,25,-5,28,-6,27,-6,24,-7,26,-11,24,-8,25,-11,25,-10,26,-13,27,-16,25,-14,24,-14,24,-18,22,-18,21,0,0,0,0,0,0,16,22,14,22,14,20,13,20,10,21,9,21,8,18,8,20,7,18,5,18,5,18,1,16,5,19,1,16,1,16,1,15,0,14,0,13,0,14,0,12,3,12,0,13,0,10,0,11,-1,9,0,10,-1,10,0,9,-1,9,0,9,-1,9,-1,9,0,7,0,7,-1,9,-1,7,-1,7,-1,7,-3,6,-1,7,-2,7,-2,6,-2,6,-2,5,-2,5,-1,5,-1,5,-2,3,-3,5,-3,5,-3,3,-4,2,-2,3,-1,3,-3,3,-3,2,-4,2,0,0,0,0,0,0,0,0,0,0]"""
1782199471493,2026-06-23T16:24:31.493,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374193,1a:00:00:00:00:00,-52,11,-99,16,32,11,400330033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,16,2,13,0,18,0,14,-2,18,-2,16,-1,16,-2,20,-2,19,-3,21,-6,19,-5,19,-7,20,-8,20,-7,18,-11,24,-8,20,-11,23,-10,18,-11,22,-12,26,-12,21,-14,24,-13,21,-14,21,-14,20,-16,20,-12,18,-18,21,-12,18,-15,20,-14,18,-12,22,-14,21,-12,22,-12,21,-15,22,-15,19,-15,21,-15,22,-12,21,-15,24,-13,20,-12,24,-12,18,-12,27,-14,22,-12,24,-14,24,-14,24,-16,24,-17,21,-16,22,-19,24,-18,22,-15,21,-16,24,0,0,0,0,0,0,19,16,20,20,17,14,18,18,18,19,14,14,16,18,14,14,15,16,11,14,12,12,12,15,12,13,12,13,10,12,9,11,10,10,9,11,8,8,11,10,8,8,9,9,6,6,8,7,10,7,8,6,9,8,8,6,8,6,7,5,6,5,7,4,8,6,8,4,7,4,6,5,8,2,7,4,7,2,6,4,5,4,4,3,6,4,5,4,4,3,5,2,4,2,5,2,4,3,4,2,4,2,4,2,3,2,4,2,3,2,3,2,4,4,0,0,0,0,0,0,0,0,0,0]"""
1782199471499,2026-06-23T16:24:31.499,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374194,1a:00:00:00:00:00,-53,11,-99,16,32,11,400341033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,6,12,6,15,8,12,7,15,9,13,9,14,10,16,11,14,12,17,13,14,15,15,15,15,15,14,16,12,15,16,21,14,16,15,21,13,18,13,21,15,22,13,19,16,23,14,21,13,21,14,21,12,22,12,18,14,25,11,19,12,22,12,19,16,21,15,21,16,18,16,20,16,22,13,20,15,21,17,21,16,18,17,23,14,19,19,19,14,17,21,20,16,21,21,17,17,21,19,21,18,20,17,20,16,20,20,25,17,23,16,20,18,22,0,0,0,0,0,0,21,-14,23,-14,18,-12,20,-14,22,-15,17,-10,22,-12,17,-10,18,-10,15,-10,16,-10,15,-10,14,-9,14,-10,13,-8,12,-8,12,-9,12,-9,9,-7,10,-9,8,-8,8,-8,8,-6,7,-7,8,-8,7,-8,7,-9,6,-6,6,-6,6,-8,5,-6,4,-6,6,-7,4,-6,4,-6,4,-6,3,-6,4,-5,2,-5,4,-5,4,-5,3,-5,3,-5,2,-5,2,-5,2,-4,3,-4,2,-4,2,-4,2,-4,2,-4,2,-5,2,-4,2,-3,2,-2,2,-4,2,-3,0,0,0,0,0,0,0,0,0,0]"""
1782199471506,2026-06-23T16:24:31.506,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374195,1a:00:00:00:00:00,-52,11,-99,17,32,11,400352033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,8,-14,9,-11,7,-16,7,-13,8,-19,6,-19,5,-17,3,-18,3,-18,2,-22,2,-22,3,-22,0,-21,0,-25,-2,-19,0,-25,-3,-22,-3,-27,-5,-26,-9,-24,-9,-22,-7,-21,-9,-24,-7,-25,-9,-22,-9,-20,-11,-23,-13,-18,-9,-24,-11,-21,-12,-29,-15,-22,-14,-22,-13,-20,-13,-20,-12,-18,-12,-23,-12,-22,-11,-20,-10,-19,-14,-20,-10,-24,-14,-20,-14,-27,-20,-20,-17,-21,-17,-18,-18,-19,-16,-18,-17,-24,-19,-20,-16,-20,-22,-16,-20,-21,-19,-21,-23,-16,-22,0,0,0,0,0,0,-24,12,-18,11,-25,16,-23,9,-16,8,-23,10,-17,8,-22,9,-16,7,-22,7,-19,5,-16,3,-15,4,-14,2,-16,5,-14,4,-14,5,-12,3,-14,2,-11,3,-13,4,-11,3,-12,4,-12,1,-10,3,-11,2,-8,2,-9,4,-9,2,-9,2,-7,2,-9,2,-5,2,-7,3,-6,1,-9,3,-7,0,-5,2,-7,1,-7,0,-5,0,-6,1,-5,2,-5,1,-5,1,-3,1,-6,0,-5,1,-5,0,-5,0,-5,0,-5,0,-3,0,-3,0,-5,0,-5,0,-3,0,0,0,0,0,0,0,0,0,0,0]"""
1782199471514,2026-06-23T16:24:31.514,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374196,1a:00:00:00:00:00,-53,11,-99,17,32,11,400363033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-10,-9,-10,-10,-12,-11,-12,-10,-13,-10,-14,-10,-15,-11,-16,-8,-16,-12,-16,-12,-16,-12,-16,-12,-17,-12,-18,-10,-19,-11,-22,-11,-20,-10,-22,-12,-22,-11,-21,-11,-22,-10,-20,-12,-22,-13,-22,-13,-22,-14,-22,-12,-22,-12,-21,-10,-24,-12,-22,-12,-21,-13,-22,-15,-22,-14,-20,-16,-19,-14,-20,-16,-18,-17,-19,-17,-18,-18,-17,-18,-16,-18,-20,-18,-19,-20,-17,-19,-17,-22,-17,-20,-17,-22,-14,-20,-17,-22,-16,-22,-16,-21,-15,-22,-17,-24,-18,-22,-17,-24,-14,-22,-16,0,0,0,0,0,0,-15,21,-15,21,-14,22,-14,20,-13,18,-11,19,-13,18,-12,17,-11,17,-11,16,-11,16,-8,16,-8,14,-7,14,-7,14,-3,13,-5,15,-5,12,-3,12,-5,12,-3,12,-2,12,-1,11,-2,11,-1,11,-2,10,-1,9,0,10,0,9,1,9,0,9,1,7,0,9,0,9,0,7,1,9,1,8,1,7,2,6,1,7,1,6,1,6,1,6,3,6,1,5,2,5,1,4,2,5,1,5,3,5,2,3,3,5,1,4,3,5,1,5,2,3,1,3,0,0,0,0,0,0,0,0,0,0]"""
1782199471522,2026-06-23T16:24:31.522,danger,fall,mhw,bed_stand_to_lie_fall,t007,"CSI_DATA,1374197,1a:00:00:00:00:00,-52,11,-99,17,32,11,400374033,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,1,14,1,16,3,17,1,16,5,17,6,16,7,19,6,16,9,17,9,18,11,19,10,18,11,20,14,18,9,20,13,19,14,19,15,17,18,16,18,20,16,16,18,18,17,19,20,16,16,14,18,17,20,17,16,20,17,16,18,18,20,15,18,16,18,16,18,17,18,15,18,18,18,18,18,16,17,16,18,20,14,20,16,20,18,20,22,16,17,19,19,17,20,19,19,19,21,20,20,19,20,18,22,18,21,20,20,17,22,18,22,0,0,0,0,0,0,24,-15,22,-13,22,-14,21,-12,20,-10,21,-10,18,-10,20,-10,17,-10,18,-7,16,-8,16,-5,16,-8,13,-5,15,-5,13,-6,12,-6,12,-5,12,-5,10,-7,9,-7,11,-7,9,-5,9,-7,9,-5,9,-7,8,-4,8,-5,9,-5,7,-5,8,-5,7,-5,5,-6,5,-5,5,-5,5,-5,5,-3,5,-5,7,-4,5,-4,6,-3,3,-4,5,-3,4,-3,3,-5,3,-3,3,-3,5,-3,4,-3,4,-3,3,-3,3,-2,3,-2,3,-2,5,-3,3,-2,4,-3,0,0,0,0,0,0,0,0,0,0]"""
