pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782132775268,2026-06-22T21:52:55.268,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578925,1a:00:00:00:00:00,-65,11,-97,22,47,11,-1688748947,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,2,12,3,17,4,14,4,17,9,14,6,17,4,18,7,17,7,21,10,15,14,17,14,19,12,15,17,15,15,19,20,13,15,12,23,14,15,14,16,14,17,17,19,16,20,9,21,11,20,11,22,11,23,10,20,11,23,8,18,7,23,9,14,12,18,12,17,14,15,14,19,12,19,7,19,12,17,12,21,11,17,12,20,10,18,12,19,11,14,14,17,15,17,16,17,18,17,16,15,11,16,17,20,13,19,17,16,11,20,12,14,16,16,0,0,0,0,0,0,18,-12,20,-17,12,-12,17,-14,19,-19,15,-10,17,-14,14,-10,19,-12,12,-13,11,-12,12,-17,12,-16,11,-17,12,-12,12,-15,11,-15,14,-13,10,-13,12,-15,8,-14,12,-15,7,-11,6,-15,7,-14,7,-16,9,-19,9,-15,8,-14,7,-15,9,-17,9,-14,10,-17,8,-12,9,-16,6,-14,7,-15,7,-13,7,-15,9,-17,11,-14,12,-9,9,-11,12,-11,9,-8,11,-11,10,-7,11,-7,8,-7,9,-8,9,-7,9,-7,9,-6,8,-6,9,-2,9,-4,9,-1,0,0,0,0,0,0,0,0,0,0]"""
1782132775273,2026-06-22T21:52:55.273,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578927,1a:00:00:00:00:00,-66,11,-97,20,47,11,-1688728688,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-16,1,-12,3,-18,3,-13,5,-18,5,-16,5,-16,6,-22,8,-15,11,-20,10,-18,11,-16,12,-17,14,-17,11,-13,19,-20,15,-15,20,-19,15,-14,16,-14,20,-17,18,-12,21,-18,20,-15,19,-12,20,-14,20,-13,13,-11,24,-12,18,-10,20,-12,15,-8,18,-13,18,-12,16,-15,16,-15,18,-12,18,-12,17,-13,18,-14,14,-12,20,-13,16,-11,16,-14,11,-11,15,-20,17,-13,14,-16,17,-14,16,-16,17,-12,15,-14,15,-14,18,-18,16,-14,15,-12,15,-16,0,0,0,0,0,0,-15,-14,-16,-17,-12,-11,-16,-12,-18,-17,-12,-12,-18,-16,-12,-12,-15,-14,-14,-9,-14,-11,-16,-11,-12,-11,-15,-11,-14,-8,-14,-8,-14,-11,-14,-9,-11,-7,-17,-9,-12,-5,-16,-8,-11,-5,-14,-6,-16,-8,-14,-7,-18,-5,-14,-8,-14,-7,-17,-6,-16,-6,-12,-3,-18,-9,-12,-7,-16,-5,-10,-7,-16,-6,-15,-9,-14,-6,-14,-5,-14,-8,-12,-8,-12,-9,-12,-10,-11,-7,-11,-10,-8,-8,-10,-8,-7,-7,-10,-9,-7,-9,-9,-7,-6,-8,-7,-9,-3,-7,-3,-7,-3,-7,0,0,0,0,0,0,0,0,0,0]"""
1782132775277,2026-06-22T21:52:55.277,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578928,1a:00:00:00:00:00,-66,11,-97,16,47,11,-1688717688,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-33,21,-16,26,5,25,12,33,24,36,18,42,20,35,19,26,8,22,8,26,5,21,-2,23,-3,23,-2,24,-8,20,-4,19,-5,19,-5,20,-10,21,-12,19,-13,19,-11,18,-11,16,-13,17,-14,18,-14,17,-15,18,-14,16,-13,17,-13,17,-13,18,-14,18,-16,17,-16,15,-15,15,-13,14,-13,14,-13,15,-12,14,-12,15,-11,14,-12,16,-13,17,-14,18,-15,18,-16,18,-15,16,-15,16,-13,14,-13,16,-13,16,-13,18,-14,18,-14,18,-14,17,-14,17,-14,16,0,0,0,0,0,0,16,13,15,13,15,13,14,13,14,13,14,12,14,11,15,12,15,13,14,13,13,13,12,13,12,12,12,10,12,10,13,10,13,10,14,10,13,9,13,9,13,8,14,9,13,9,13,10,12,9,12,9,12,8,13,8,13,8,13,9,13,9,13,8,13,9,14,9,14,10,13,11,13,12,10,11,10,11,10,10,10,10,10,11,9,10,8,11,8,11,7,11,7,11,5,13,4,13,3,13,2,11,2,11,2,10,2,10,1,9,1,9,0,9,0,0,0,0,0,0,0,0,0,0]"""
1782132775281,2026-06-22T21:52:55.281,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578929,1a:00:00:00:00:00,-66,11,-97,18,48,11,-1688694811,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,-4,16,-3,16,-4,16,-2,17,-1,17,0,18,0,18,4,20,0,19,5,19,4,20,7,20,7,22,9,22,8,22,7,21,7,21,11,18,11,18,12,17,15,22,12,19,15,17,14,17,16,17,14,18,16,17,15,19,12,18,12,19,14,15,13,14,12,16,13,16,15,19,12,17,13,17,11,16,11,17,12,16,12,20,9,19,7,19,11,19,10,16,10,19,10,19,11,19,9,19,11,19,8,20,8,21,8,20,9,20,7,19,9,19,8,0,0,0,0,0,0,9,-19,9,-20,7,-18,6,-19,7,-20,7,-17,5,-18,5,-17,5,-19,4,-16,4,-16,6,-15,2,-19,6,-15,1,-16,4,-15,3,-15,4,-16,3,-15,0,-16,-1,-16,0,-16,2,-15,-1,-14,1,-15,0,-15,1,-16,0,-15,1,-15,0,-15,0,-17,0,-17,-1,-17,-1,-15,-2,-16,0,-14,1,-14,1,-15,1,-15,0,-16,1,-17,2,-14,2,-14,2,-13,3,-14,0,-13,1,-12,2,-12,3,-11,4,-10,4,-10,5,-9,4,-11,6,-8,4,-8,4,-8,5,-6,0,0,0,0,0,0,0,0,0,0]"""
1782132775285,2026-06-22T21:52:55.285,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578930,1a:00:00:00:00:00,-66,11,-97,17,48,11,-1688694059,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,10,-11,11,-11,9,-15,10,-13,7,-19,8,-18,6,-18,5,-18,2,-18,1,-21,2,-21,0,-21,-2,-21,-3,-22,-3,-19,-4,-24,-5,-21,-4,-25,-11,-23,-11,-21,-11,-15,-13,-18,-11,-20,-13,-17,-14,-17,-15,-15,-13,-18,-14,-13,-13,-16,-16,-15,-13,-17,-19,-15,-18,-14,-17,-13,-16,-11,-15,-11,-15,-13,-17,-12,-17,-11,-15,-13,-16,-11,-14,-13,-16,-13,-15,-13,-20,-12,-18,-12,-17,-11,-18,-10,-17,-10,-17,-12,-20,-10,-16,-13,-18,-10,-20,-10,-20,-9,-22,-8,-18,0,0,0,0,0,0,-19,6,-16,6,-22,8,-17,8,-16,5,-18,7,-18,4,-20,6,-15,6,-20,5,-18,6,-16,5,-16,4,-15,3,-15,5,-16,5,-17,3,-15,4,-15,4,-13,3,-16,5,-13,5,-19,5,-17,3,-15,3,-16,2,-13,3,-17,4,-16,3,-15,3,-14,3,-16,3,-14,1,-17,2,-14,1,-20,0,-18,-1,-16,-1,-15,-1,-14,-1,-14,-2,-15,-1,-14,-5,-13,-5,-14,-4,-10,-4,-13,-5,-10,-5,-12,-8,-10,-7,-10,-8,-7,-6,-6,-7,-6,-8,-6,-7,-5,-6,-4,-8,0,0,0,0,0,0,0,0,0,0]"""
1782132775288,2026-06-22T21:52:55.288,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578931,1a:00:00:00:00:00,-66,11,-97,17,48,11,-1688684445,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-9,11,-10,13,-8,14,-10,13,-8,17,-9,17,-8,17,-11,16,-5,17,-9,19,-9,18,-7,20,-8,20,-6,21,-8,22,-5,25,-5,20,-5,26,-5,25,-5,24,-8,22,-2,21,-5,24,-5,22,-4,22,-5,21,-3,21,-4,22,-2,23,-3,19,-5,23,-3,22,-6,20,-5,20,-6,18,-5,18,-6,21,-7,20,-8,18,-7,19,-10,18,-7,20,-8,16,-10,18,-11,19,-13,18,-10,17,-13,17,-12,15,-11,20,-15,15,-11,16,-13,18,-14,16,-16,16,-15,14,-16,0,0,0,0,0,0,-16,-13,-16,-12,-18,-13,-13,-11,-13,-9,-17,-10,-16,-10,-18,-11,-16,-8,-17,-10,-17,-7,-16,-5,-13,-8,-15,-5,-16,-5,-15,-3,-17,-3,-14,-3,-15,-1,-13,-3,-17,-1,-13,0,-18,0,-16,0,-17,1,-14,0,-13,1,-17,3,-16,3,-15,2,-15,2,-13,4,-17,1,-17,1,-14,3,-17,1,-17,3,-16,3,-15,3,-14,2,-13,1,-14,3,-15,1,-15,2,-14,2,-11,0,-13,0,-11,1,-13,0,-12,0,-11,0,-11,0,-10,0,-11,0,-10,-1,-9,0,-8,-1,0,0,0,0,0,0,0,0,0,0]"""
1782132775291,2026-06-22T21:52:55.291,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578932,1a:00:00:00:00:00,-66,11,-97,22,47,11,-1688672113,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,6,-17,7,-11,6,-17,7,-14,5,-19,6,-18,6,-18,3,-21,5,-17,1,-22,1,-22,1,-21,1,-22,0,-26,0,-17,2,-26,0,-21,-3,-27,0,-23,-1,-20,-4,-25,0,-21,-3,-23,-4,-23,-3,-23,-3,-22,-4,-26,-6,-18,0,-23,-3,-20,-4,-25,-1,-21,-3,-20,0,-21,-1,-22,0,-19,0,-20,0,-20,3,-20,0,-22,-1,-17,3,-23,4,-19,0,-25,4,-20,3,-21,6,-22,4,-20,6,-19,4,-21,7,-19,7,-23,8,-18,7,-20,7,-23,10,-19,6,0,0,0,0,0,0,7,21,7,17,8,19,8,18,7,15,9,20,6,10,15,17,6,14,9,17,12,14,9,14,14,12,9,11,12,12,11,11,12,11,10,10,12,12,11,7,15,10,10,9,13,9,12,7,12,7,14,6,12,5,14,6,14,5,14,5,14,6,15,8,13,3,15,5,14,6,17,5,12,6,13,4,13,6,13,4,13,4,14,7,14,4,10,5,12,8,10,4,14,7,10,6,12,9,9,6,9,7,9,7,10,6,6,7,7,7,7,7,7,6,0,0,0,0,0,0,0,0,0,0]"""
1782132775294,2026-06-22T21:52:55.294,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578933,1a:00:00:00:00:00,-66,11,-97,17,48,11,-1688662688,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-15,-3,-16,-3,-14,-2,-15,-3,-15,-4,-16,-5,-17,-7,-15,-10,-20,-8,-16,-9,-18,-10,-17,-13,-18,-11,-18,-12,-20,-15,-19,-11,-22,-10,-20,-13,-18,-13,-18,-14,-16,-17,-22,-12,-18,-17,-17,-13,-17,-15,-17,-14,-17,-15,-18,-16,-19,-10,-20,-10,-18,-11,-18,-11,-16,-11,-18,-9,-18,-11,-21,-8,-18,-10,-19,-7,-18,-6,-19,-5,-20,-7,-20,-1,-21,-1,-21,-3,-22,-2,-20,-1,-20,0,-22,-3,-22,0,-22,-1,-19,1,-23,2,-23,2,-20,2,-20,5,-22,5,-20,3,0,0,0,0,0,0,5,20,4,18,8,18,7,19,6,18,6,18,9,15,10,15,8,15,8,15,9,13,8,15,11,14,8,13,10,11,10,12,10,10,10,10,11,11,12,6,14,6,13,7,12,6,12,6,11,8,15,5,12,5,12,3,13,5,15,3,15,3,15,5,14,1,15,0,17,1,15,1,13,2,14,1,14,4,15,2,15,3,15,1,13,2,14,3,13,2,14,0,13,0,13,2,12,3,10,3,11,2,10,4,11,2,10,4,10,4,9,3,8,5,0,0,0,0,0,0,0,0,0,0]"""
1782132775297,2026-06-22T21:52:55.297,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578934,1a:00:00:00:00:00,-66,11,-97,14,49,11,-1688648179,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,15,-4,14,-7,17,-6,15,-9,15,-10,12,-9,13,-13,15,-15,11,-15,16,-16,12,-17,9,-18,9,-20,8,-19,7,-26,5,-20,4,-23,3,-20,0,-22,4,-24,1,-23,0,-26,-2,-22,-3,-22,-4,-22,-6,-23,-6,-20,-5,-23,-10,-20,-9,-19,-5,-15,-8,-21,-7,-20,-12,-21,-7,-15,-8,-20,-9,-20,-11,-20,-15,-20,-8,-20,-11,-15,-11,-15,-12,-18,-6,-9,-4,-17,-9,-13,-9,-20,-13,-19,-16,-17,-17,-14,-14,-11,-13,-16,-14,-17,-15,-14,-12,-14,-11,-17,-15,0,0,0,0,0,0,-16,12,-16,13,-12,11,-17,12,-19,11,-14,8,-19,10,-14,9,-18,10,-14,6,-12,7,-14,8,-14,7,-15,10,-13,7,-13,5,-14,7,-14,7,-11,7,-16,6,-12,6,-14,8,-11,6,-12,6,-14,9,-11,6,-15,6,-15,7,-14,4,-15,4,-15,4,-11,5,-17,4,-14,3,-13,4,-12,1,-15,4,-15,1,-15,3,-14,0,-14,-1,-13,-1,-14,-2,-14,-1,-13,-1,-13,-5,-11,-4,-12,-4,-8,-3,-11,-4,-8,-5,-10,-6,-9,-7,-8,-7,-6,-6,-5,-7,-4,-7,0,0,0,0,0,0,0,0,0,0]"""
1782132775300,2026-06-22T21:52:55.300,danger,fall,yja,bed_stand_to_lie_fall,t018,"CSI_DATA,2578935,1a:00:00:00:00:00,-66,11,-97,21,47,11,-1688639460,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,13,2,17,0,13,-1,19,0,14,-5,22,-6,20,-6,16,-8,18,-9,14,-10,19,-13,17,-15,17,-13,15,-17,17,-12,13,-19,17,-14,14,-23,16,-24,13,-19,13,-20,8,-18,6,-22,8,-23,6,-22,6,-22,5,-23,6,-17,4,-22,6,-20,5,-28,5,-22,2,-20,3,-22,1,-20,1,-18,3,-22,3,-19,1,-17,1,-21,0,-17,5,-22,5,-19,1,-28,2,-21,1,-23,3,-22,-1,-20,0,-18,0,-23,2,-22,0,-21,1,-21,-1,-22,0,-25,-2,-20,-1,0,0,0,0,0,0,-2,20,-1,17,-2,25,-1,19,-3,15,-3,20,-2,15,0,16,-3,15,-4,20,-3,19,-3,16,-2,15,-4,14,-1,17,-3,15,-3,15,-2,13,-3,15,-1,13,-1,15,0,13,-3,18,-3,14,-1,13,-2,13,-2,13,-1,15,-2,14,-2,14,-2,13,-3,15,-1,12,-3,16,-2,13,-6,18,-5,14,-5,13,-7,11,-6,12,-5,11,-5,14,-7,11,-8,9,-7,10,-6,10,-8,11,-7,8,-11,11,-9,6,-8,6,-10,4,-8,5,-8,3,-9,4,-8,4,-9,1,0,0,0,0,0,0,0,0,0,0]"""
