pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782213655054,2026-06-23T20:20:55.054,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7043,1a:00:00:00:00:00,-60,11,-97,17,45,11,18238354,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-21,11,-21,14,-20,15,-20,18,-18,16,-19,16,-19,17,-17,20,-20,21,-17,21,-19,21,-18,22,-19,23,-18,25,-17,26,-17,25,-17,25,-16,24,-15,26,-15,26,-14,26,-13,26,-15,23,-14,26,-12,23,-13,22,-13,21,-12,24,-10,21,-10,20,-12,19,-10,20,-10,15,-10,15,-11,15,-11,14,-10,12,-12,13,-10,12,-10,12,-10,9,-10,9,-8,10,-9,7,-8,7,-8,6,-5,5,-5,5,-5,5,-5,3,-2,2,-2,3,-1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,7,3,9,3,9,3,11,5,10,3,11,5,15,4,14,5,17,6,16,5,16,5,19,5,19,7,21,6,21,5,21,5,24,5,25,5,25,5,26,4,26,4,29,4,27,1,31,2,30,3,33,2,33,0,34,0,35,0,35,-2,36,-2,37,-2,40,0,38,0,39,-4,38,-1,40,-2,41,0,42,-1,42,-1,42,-1,41,0,42,0,43,0,42,3,41,0,38,3,41,3,37,5,37,3,37,5,37,5,37,7,36,10,32,9,33,10,31,12,0,0,0,0,0,0,0,0,0,0]"""
1782213655062,2026-06-23T20:20:55.062,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7044,1a:00:00:00:00:00,-60,11,-97,16,45,11,18249307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,-12,-16,-13,-18,-17,-18,-16,-18,-17,-19,-17,-19,-18,-19,-19,-21,-19,-20,-19,-20,-18,-22,-18,-22,-19,-22,-20,-22,-20,-24,-19,-25,-17,-25,-18,-21,-18,-21,-20,-22,-20,-25,-17,-24,-16,-22,-15,-25,-14,-23,-12,-24,-12,-23,-11,-23,-11,-21,-9,-21,-6,-19,-6,-19,-6,-20,-6,-20,-4,-21,-1,-19,-1,-18,0,-17,0,-17,1,-15,0,-14,3,-12,2,-13,2,-12,2,-12,2,-10,2,-10,2,-8,1,-8,2,-7,0,-6,2,-6,0,-6,0,-5,0,-5,-2,-6,-1,0,0,0,0,0,0,-8,2,-9,3,-9,3,-12,2,-11,2,-12,2,-13,3,-15,5,-16,5,-14,4,-17,5,-18,6,-19,8,-19,8,-17,10,-19,12,-19,13,-19,14,-19,14,-16,16,-17,19,-19,20,-16,19,-18,23,-19,24,-16,25,-15,26,-12,28,-14,30,-11,32,-11,32,-8,34,-9,36,-9,34,-6,38,-8,38,-6,38,-5,38,-6,41,-5,39,-1,39,0,40,-2,40,0,39,0,39,1,38,2,39,3,39,2,37,2,35,2,35,2,35,2,36,2,35,0,32,0,33,0,33,0,0,0,0,0,0,0,0,0,0]"""
1782213655069,2026-06-23T20:20:55.069,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7045,1a:00:00:00:00:00,-60,11,-97,20,44,11,18260307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,1,21,2,24,3,23,3,25,5,25,5,25,6,26,6,25,6,26,6,27,6,28,6,28,7,28,11,27,9,27,9,26,8,26,10,28,9,26,10,25,10,26,8,25,10,26,7,24,6,25,7,23,6,22,6,23,5,19,6,23,6,20,4,20,5,19,2,18,2,19,0,17,1,17,1,18,1,14,2,14,1,13,0,13,0,14,1,12,1,10,0,11,1,9,1,10,2,10,3,8,5,6,2,8,3,6,5,7,6,6,8,0,0,0,0,0,0,12,-6,14,-3,13,0,14,0,15,-3,16,0,15,0,19,0,19,0,19,0,19,0,20,0,21,0,22,-1,22,0,25,-4,24,-3,25,-5,26,-5,26,-6,25,-7,26,-7,27,-8,29,-9,27,-9,28,-9,28,-12,30,-17,32,-15,29,-17,29,-18,32,-18,31,-19,32,-22,31,-20,32,-22,34,-23,33,-21,34,-23,32,-23,32,-22,34,-23,34,-25,32,-22,32,-23,30,-22,32,-21,32,-22,32,-21,31,-19,30,-20,32,-19,30,-15,31,-17,31,-16,28,-17,30,-12,0,0,0,0,0,0,0,0,0,0]"""
1782213655077,2026-06-23T20:20:55.077,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7047,1a:00:00:00:00:00,-59,11,-97,19,44,11,18282401,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-15,9,-16,9,-16,9,-17,10,-17,9,-20,8,-19,9,-19,8,-20,8,-23,10,-21,10,-22,10,-22,10,-23,12,-21,10,-23,11,-22,10,-23,10,-22,10,-22,10,-22,8,-20,12,-19,12,-21,12,-20,12,-17,13,-18,11,-16,12,-17,10,-16,11,-14,12,-13,12,-13,11,-13,11,-12,13,-10,12,-8,10,-11,10,-10,11,-8,11,-8,9,-8,9,-9,10,-7,8,-7,8,-8,8,-8,7,-8,6,-9,7,-9,6,-10,6,-11,3,-10,4,-9,4,-11,5,-12,2,-14,3,0,0,0,0,0,0,0,16,0,18,2,18,0,21,2,22,2,19,3,22,3,24,3,21,3,24,4,24,7,23,7,25,8,25,9,24,10,25,13,25,13,26,14,28,16,25,19,23,19,24,21,22,21,24,23,24,26,24,25,22,29,19,32,21,32,19,33,18,33,17,35,19,36,15,38,16,37,17,40,13,39,15,41,14,40,15,40,11,42,11,41,12,41,9,41,9,40,8,40,8,40,6,37,8,38,7,38,7,36,8,38,7,36,7,34,6,34,8,34,8,0,0,0,0,0,0,0,0,0,0]"""
1782213655085,2026-06-23T20:20:55.085,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7048,1a:00:00:00:00:00,-59,11,-97,14,45,11,18293307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,4,-16,0,-19,0,-21,0,-20,-5,-19,-4,-20,0,-21,-9,-22,-10,-22,-7,-19,-10,-22,-11,-17,-11,-21,-11,-20,-11,-21,-15,-18,-19,-16,-13,-15,-14,-17,-20,-12,-16,-14,-17,-13,-22,-13,-16,-11,-19,-10,-19,-9,-19,-9,-17,-7,-17,-8,-16,-6,-16,-6,-16,-6,-14,-6,-15,-4,-13,-3,-15,-4,-14,-2,-13,-1,-12,-1,-13,0,-12,0,-12,0,-11,0,-11,1,-11,2,-10,4,-10,5,-11,6,-10,6,-8,8,-8,9,-8,11,-8,10,-8,11,-7,14,-6,14,-7,0,0,0,0,0,0,0,-18,0,-20,0,-21,0,-22,0,-22,2,-22,2,-24,2,-23,3,-22,4,-25,3,-25,3,-25,5,-28,3,-27,5,-28,5,-27,4,-30,5,-30,6,-30,5,-33,4,-31,7,-33,4,-31,5,-32,6,-33,5,-35,6,-36,5,-36,7,-38,6,-38,8,-39,8,-40,10,-40,9,-39,11,-41,11,-41,12,-42,12,-41,12,-42,16,-41,16,-40,18,-40,20,-39,19,-40,21,-36,22,-37,24,-34,23,-34,23,-30,26,-29,27,-29,25,-28,26,-26,29,-24,27,-22,28,-19,32,-17,0,0,0,0,0,0,0,0,0,0]"""
1782213655092,2026-06-23T20:20:55.092,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7049,1a:00:00:00:00:00,-59,11,-97,20,44,11,18304307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,14,-11,13,-12,12,-13,14,-14,12,-16,12,-15,12,-16,12,-18,11,-17,11,-19,13,-19,12,-19,14,-18,12,-19,11,-19,11,-19,13,-20,10,-20,9,-19,10,-19,9,-19,11,-19,9,-19,10,-18,8,-19,10,-17,6,-17,8,-16,8,-16,7,-14,8,-14,7,-13,7,-14,5,-13,6,-14,7,-10,6,-11,6,-12,6,-12,6,-13,4,-10,5,-12,3,-11,2,-12,2,-12,3,-12,2,-12,2,-12,0,-14,0,-12,0,-14,-1,-14,-2,-17,-1,-19,-3,-19,-2,-18,-6,0,0,0,0,0,0,-6,19,-7,22,-6,22,-6,22,-7,22,-8,23,-7,23,-9,25,-5,25,-6,26,-6,27,-6,26,-4,28,-5,29,-4,28,-1,29,-3,32,0,32,0,33,0,33,4,32,2,33,4,32,5,34,4,36,6,35,8,34,12,36,9,37,14,35,12,38,15,38,15,39,17,38,19,38,17,40,20,40,20,40,20,39,19,39,19,37,19,38,19,39,21,38,20,38,22,36,19,38,21,36,19,37,19,36,18,34,17,36,17,35,15,35,14,34,12,32,10,33,0,0,0,0,0,0,0,0,0,0]"""
1782213655099,2026-06-23T20:20:55.099,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7050,1a:00:00:00:00:00,-58,11,-97,22,43,11,18315307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,2,15,4,17,3,17,5,18,5,18,5,17,5,18,8,19,8,20,9,20,8,20,8,19,9,20,9,18,10,18,10,18,8,20,10,19,7,16,10,15,12,19,11,19,11,16,10,15,9,14,9,14,11,13,7,14,10,14,10,12,10,13,7,11,8,13,7,12,7,11,6,14,8,12,6,11,9,11,7,11,7,12,7,11,8,11,8,10,7,11,9,12,9,11,11,11,11,11,11,11,11,12,13,13,13,12,13,14,17,14,18,17,18,0,0,0,0,0,0,21,-14,22,-15,21,-17,21,-15,22,-18,20,-19,21,-20,24,-19,21,-20,20,-21,21,-22,21,-22,21,-24,22,-25,21,-25,17,-28,17,-29,17,-29,16,-33,13,-33,10,-34,11,-34,9,-34,7,-34,11,-36,8,-40,6,-39,1,-39,3,-44,0,-40,0,-43,0,-44,-1,-45,-5,-44,-5,-44,-3,-44,-7,-45,-9,-46,-7,-46,-8,-45,-10,-45,-7,-44,-9,-44,-11,-45,-9,-43,-12,-42,-11,-42,-11,-42,-11,-39,-11,-40,-8,-39,-10,-39,-9,-36,-8,-37,-7,-35,-7,-37,-3,-35,0,0,0,0,0,0,0,0,0,0]"""
1782213655108,2026-06-23T20:20:55.108,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7051,1a:00:00:00:00:00,-57,11,-97,16,44,11,18326307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,-1,16,-2,16,-2,15,-5,15,-4,15,-8,15,-8,14,-8,14,-10,14,-11,13,-12,13,-12,15,-14,13,-16,11,-14,10,-14,9,-16,7,-16,7,-15,6,-17,4,-16,5,-15,3,-17,1,-16,1,-15,0,-15,1,-13,0,-15,0,-13,-2,-13,-1,-13,-3,-12,-4,-12,-4,-12,-4,-11,-5,-10,-5,-10,-7,-11,-8,-11,-8,-10,-8,-9,-10,-10,-12,-7,-11,-8,-13,-7,-12,-7,-15,-7,-15,-7,-16,-5,-20,-5,-19,-4,-23,-3,-23,-2,-24,-2,-24,-2,-28,0,0,0,0,0,0,-29,-4,-30,-3,-33,-3,-33,-7,-30,-5,-31,-8,-34,-7,-32,-11,-33,-9,-33,-10,-33,-9,-31,-10,-34,-10,-34,-10,-35,-12,-34,-9,-35,-10,-35,-12,-37,-13,-37,-11,-36,-9,-38,-14,-35,-12,-38,-14,-38,-13,-39,-13,-40,-13,-40,-15,-42,-16,-42,-13,-42,-17,-41,-17,-43,-18,-41,-18,-42,-19,-40,-21,-43,-22,-42,-22,-43,-24,-40,-27,-41,-24,-39,-28,-38,-29,-36,-28,-34,-31,-35,-31,-33,-32,-33,-33,-27,-32,-25,-34,-24,-34,-22,-34,-19,-35,-16,-36,-15,-35,-14,-33,-8,-36,0,0,0,0,0,0,0,0,0,0]"""
1782213655115,2026-06-23T20:20:55.115,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7052,1a:00:00:00:00:00,-57,11,-97,16,43,11,18337307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,-9,8,-9,11,-9,10,-8,11,-8,13,-9,14,-6,16,-4,14,-7,14,-5,16,-4,18,-3,14,-1,16,1,17,1,18,3,17,3,16,2,17,4,15,3,16,3,11,5,14,6,14,7,13,6,10,7,10,8,10,8,8,9,8,9,8,9,5,9,6,10,6,9,5,10,5,11,3,11,3,13,2,13,3,13,3,14,1,14,1,16,1,16,-2,14,-1,19,-3,16,-3,19,-5,19,-4,21,-6,20,-7,23,-11,22,-9,25,-11,27,-10,26,-13,28,0,0,0,0,0,0,29,18,31,19,29,17,28,20,31,22,27,21,30,23,30,25,30,26,29,23,30,21,30,23,32,22,34,25,31,23,32,25,34,23,33,25,32,25,35,25,35,23,35,26,34,22,35,25,38,25,39,25,39,22,39,23,39,27,41,23,40,27,42,25,43,30,40,27,42,27,41,30,43,30,42,29,43,30,41,32,40,32,37,35,37,37,35,37,33,35,32,35,28,38,32,38,26,37,27,35,25,34,25,35,22,37,19,38,15,38,13,37,9,38,0,0,0,0,0,0,0,0,0,0]"""
1782213655123,2026-06-23T20:20:55.123,danger,fall,lmh,chair_sitting_to_stand_fall,t002,"CSI_DATA,7053,1a:00:00:00:00:00,-54,11,-97,16,41,11,18348307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-12,0,-13,-2,-15,-5,-15,-6,-13,-5,-12,-4,-13,-2,-13,-8,-12,-8,-13,-6,-10,-9,-12,-9,-13,-9,-8,-9,-10,-10,-12,-12,-9,-9,-9,-9,-4,-13,-8,-15,-4,-10,-6,-12,-4,-12,-2,-9,-1,-9,0,-13,0,-10,1,-10,0,-10,2,-9,1,-9,2,-10,2,-9,5,-8,5,-8,5,-8,6,-10,6,-8,6,-10,9,-8,10,-9,10,-10,12,-9,13,-9,15,-9,16,-10,16,-9,16,-9,19,-10,20,-13,23,-13,24,-10,24,-9,27,-12,30,-13,30,-12,0,0,0,0,0,0,-10,-35,-10,-37,-13,-34,-12,-35,-12,-38,-10,-37,-13,-38,-13,-38,-12,-39,-10,-38,-12,-38,-15,-38,-15,-39,-16,-38,-13,-39,-17,-39,-20,-39,-17,-39,-17,-38,-21,-39,-23,-38,-21,-41,-23,-37,-24,-39,-24,-41,-26,-41,-26,-42,-28,-38,-27,-42,-28,-39,-28,-42,-31,-43,-32,-45,-31,-41,-32,-42,-30,-45,-32,-46,-30,-45,-31,-46,-30,-46,-28,-45,-28,-45,-28,-49,-26,-46,-23,-45,-24,-46,-20,-43,-23,-46,-17,-42,-17,-42,-15,-45,-13,-41,-10,-43,-10,-43,-6,-42,-6,-39,-2,-39,0,0,0,0,0,0,0,0,0,0]"""
