pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782202711557,2026-06-23T17:18:31.557,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668745,1a:00:00:00:00:00,-38,11,-99,30,19,11,-1353238961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,28,20,32,26,20,22,32,32,24,26,30,32,26,35,18,28,32,28,15,24,26,39,32,33,32,32,26,33,28,43,22,37,32,45,20,33,33,41,35,41,32,33,30,39,18,41,33,39,33,43,32,41,26,33,39,45,32,32,39,35,28,33,43,37,33,33,39,28,41,32,35,26,32,30,47,26,45,24,45,16,54,28,43,15,54,15,48,13,62,16,54,18,58,5,52,18,54,16,64,3,62,1,64,-3,62,5,56,-1,62,1,73,-3,67,11,0,0,0,0,0,0,1,-75,-1,-56,-13,-80,-9,-73,-3,-56,-7,-75,0,-50,-5,-73,-7,-58,-11,-69,-5,-65,-11,-60,-16,-64,-11,-54,-15,-62,-18,-62,-26,-54,-22,-58,-20,-58,-20,-45,-32,-50,-24,-48,-32,-54,-39,-52,-28,-47,-37,-48,-32,-41,-33,-45,-37,-43,-43,-43,-37,-41,-39,-52,-35,-35,-50,-41,-35,-43,-58,-50,-39,-47,-39,-41,-45,-50,-37,-39,-37,-39,-48,-41,-45,-39,-35,-33,-39,-47,-39,-37,-41,-41,-33,-41,-35,-48,-26,-39,-26,-39,-16,-39,-22,-39,-22,-37,-22,-47,-20,-39,-11,-39,0,0,0,0,0,0,0,0,0,0]"""
1782202711564,2026-06-23T17:18:31.564,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668746,1a:00:00:00:00:00,-37,11,-99,30,19,11,-1353227961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-32,5,-30,3,-43,5,-33,7,-41,7,-37,3,-35,7,-45,9,-41,5,-48,11,-45,13,-39,9,-45,9,-45,13,-41,18,-50,7,-45,11,-48,13,-35,3,-50,1,-50,18,-47,9,-54,5,-47,3,-47,5,-48,3,-50,0,-43,1,-58,1,-50,-3,-43,-1,-45,-9,-50,-3,-48,-15,-54,-9,-50,-15,-48,-18,-47,-15,-52,-28,-50,-20,-39,-24,-50,-30,-47,-33,-37,-22,-41,-39,-43,-37,-43,-43,-24,-52,-43,-43,-39,-47,-41,-45,-33,-48,-35,-52,-30,-56,-39,-52,-37,-75,-39,0,0,0,0,0,0,-20,65,-11,62,-26,58,-13,71,-22,69,-15,71,-26,67,-7,62,-13,75,-9,56,-9,60,1,65,-1,60,3,64,0,62,5,56,15,62,13,62,18,52,11,67,20,58,18,58,26,48,26,52,32,56,28,50,33,52,35,48,32,52,33,54,33,50,41,41,35,58,39,54,43,47,37,45,54,47,37,43,48,41,37,41,39,41,39,43,33,50,41,43,41,39,35,45,28,41,41,37,26,35,35,39,26,37,35,33,30,39,26,45,22,35,16,37,22,33,0,0,0,0,0,0,0,0,0,0]"""
1782202711574,2026-06-23T17:18:31.574,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668747,1a:00:00:00:00:00,-37,11,-99,28,19,11,-1353216961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,-31,19,-29,23,-23,25,-27,29,-27,25,-25,21,-31,27,-29,29,-35,23,-27,31,-25,37,-25,31,-25,37,-35,41,-27,39,-25,39,-27,43,-23,35,-17,29,-31,35,-29,41,-29,41,-27,39,-27,39,-33,39,-25,45,-23,47,-31,39,-31,33,-29,39,-33,29,-37,27,-33,31,-33,31,-37,31,-41,29,-41,25,-33,31,-43,29,-51,25,-41,29,-51,23,-49,23,-57,21,-41,11,-51,7,-51,11,-55,15,-63,15,-59,21,-59,13,-63,13,-69,23,-61,17,-65,13,-69,7,-67,0,0,0,0,0,0,-65,-1,-63,-13,-61,-7,-73,0,-75,-1,-59,-11,-67,-7,-67,-1,-63,-5,-59,-5,-61,1,-61,3,-67,3,-61,3,-61,-1,-63,7,-59,17,-61,1,-63,5,-55,11,-55,15,-59,9,-49,9,-51,21,-49,21,-57,29,-55,23,-55,17,-55,27,-57,25,-55,25,-59,29,-61,27,-53,29,-57,29,-53,29,-51,25,-49,25,-51,35,-53,29,-49,27,-55,19,-57,21,-55,21,-57,19,-49,19,-49,13,-57,15,-39,9,-43,13,-49,15,-41,13,-49,9,-43,0,-45,-1,-47,0,-45,-7,0,0,0,0,0,0,0,0,0,0]"""
1782202711581,2026-06-23T17:18:31.581,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668748,1a:00:00:00:00:00,-37,11,-99,28,19,11,-1353205864,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,-29,21,-29,15,-31,19,-31,19,-31,25,-29,23,-27,33,-23,33,-35,33,-31,33,-23,35,-29,39,-21,39,-19,43,-23,43,-27,41,-23,49,-25,37,-21,35,-23,37,-15,47,-25,51,-19,43,-17,47,-17,49,-15,43,-19,51,-23,47,-17,43,-25,49,-15,45,-19,47,-21,41,-23,41,-25,45,-27,45,-19,43,-21,47,-21,41,-31,45,-23,39,-39,39,-33,47,-31,35,-31,45,-29,41,-37,45,-37,41,-33,55,-41,49,-41,45,-49,49,-41,49,-47,53,-43,45,-47,63,-37,0,0,0,0,0,0,-53,-63,-45,-53,-43,-45,-39,-51,-37,-55,-39,-47,-39,-49,-43,-51,-43,-53,-39,-45,-41,-43,-33,-49,-43,-47,-37,-53,-35,-43,-39,-41,-33,-47,-33,-47,-35,-51,-45,-39,-43,-31,-43,-43,-43,-37,-45,-39,-41,-41,-49,-39,-45,-41,-47,-37,-45,-39,-47,-39,-39,-39,-43,-45,-43,-39,-45,-37,-49,-43,-41,-37,-41,-45,-39,-47,-43,-45,-39,-49,-37,-47,-33,-45,-31,-47,-35,-47,-25,-51,-31,-43,-25,-47,-25,-51,-19,-49,-15,-41,-13,-47,-3,-43,-9,-47,-3,-45,-5,-45,-3,-41,1,-39,0,0,0,0,0,0,0,0,0,0]"""
1782202711591,2026-06-23T17:18:31.591,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668749,1a:00:00:00:00:00,-38,11,-99,30,18,11,-1353194961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-84,61,-16,-21,-44,16,-29,46,8,31,-25,-16,-29,23,4,-10,-31,6,-59,6,-4,-19,-35,2,-35,-6,-67,6,-40,-21,-42,-4,-31,-19,-61,-16,-52,-6,-46,-21,-48,-6,-52,-8,-48,-12,-42,-14,-50,-14,-46,-16,-50,-16,-44,-4,-48,-14,-44,-8,-50,-4,-42,-4,-54,-2,-46,2,-52,8,-50,-4,-52,2,-48,6,-54,0,-52,6,-42,10,-57,4,-50,8,-50,10,-54,10,-52,25,-52,16,-52,21,-54,14,-65,19,-59,14,-54,10,-59,21,-65,25,-65,16,-73,27,-54,29,0,0,0,0,0,0,27,71,27,67,29,52,42,59,29,71,27,57,29,63,31,57,33,57,31,57,40,50,38,52,35,50,38,50,35,54,33,46,38,50,38,44,38,42,38,50,35,40,46,44,38,46,40,44,48,40,38,42,48,40,50,35,46,40,50,46,46,40,50,31,50,50,44,38,44,33,40,40,54,35,42,40,46,35,44,35,46,33,42,44,42,46,40,42,40,35,38,44,29,46,38,42,29,38,35,40,27,35,27,42,23,42,27,48,8,42,12,35,12,33,0,0,0,0,0,0,0,0,0,0]"""
1782202711601,2026-06-23T17:18:31.601,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668750,1a:00:00:00:00:00,-38,11,-99,28,19,11,-1353183961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-31,13,-33,13,-33,9,-43,3,-35,3,-43,7,-43,1,-39,-1,-43,-3,-35,-1,-47,-5,-49,-5,-43,-7,-45,-13,-51,-19,-43,-13,-47,-15,-45,-19,-43,-15,-53,-13,-41,-13,-51,-19,-41,-21,-39,-23,-45,-23,-43,-15,-43,-21,-45,-29,-43,-17,-43,-25,-43,-21,-49,-25,-41,-23,-43,-19,-43,-21,-51,-21,-41,-21,-45,-15,-49,-15,-47,-17,-43,-25,-45,-7,-53,-9,-45,-15,-49,-17,-47,-21,-57,-13,-51,-11,-55,-9,-59,-7,-55,-13,-65,-7,-67,-19,-51,-15,-67,-7,-69,-11,-69,-25,0,0,0,0,0,0,-23,73,-23,61,-23,67,-31,57,-17,55,-31,69,-23,55,-17,63,-19,57,-27,63,-27,65,-25,51,-15,61,-23,55,-25,55,-15,57,-15,61,-11,55,-23,57,-11,53,-15,57,-21,57,-19,59,-13,53,-23,53,-9,61,-17,51,-15,61,-15,57,-15,57,-19,53,-25,65,-9,57,-13,55,-23,61,-25,61,-25,47,-19,55,-25,55,-25,55,-25,47,-29,51,-27,53,-33,47,-35,47,-27,45,-35,41,-45,35,-41,35,-39,23,-47,29,-43,23,-35,29,-43,19,-39,19,-37,23,-43,7,0,0,0,0,0,0,0,0,0,0]"""
1782202711610,2026-06-23T17:18:31.610,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668751,1a:00:00:00:00:00,-38,11,-99,28,19,11,-1353172961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-29,17,-35,11,-27,21,-33,19,-27,29,-29,33,-35,31,-29,29,-37,29,-23,33,-27,35,-31,29,-33,35,-31,41,-27,31,-23,39,-35,37,-23,43,-29,39,-27,33,-13,43,-29,41,-17,43,-27,47,-23,39,-27,39,-29,43,-27,39,-33,41,-35,39,-27,39,-33,39,-29,39,-31,39,-33,37,-35,33,-25,35,-39,31,-31,29,-35,41,-37,21,-37,33,-47,29,-45,39,-51,31,-39,25,-43,35,-45,27,-43,33,-55,27,-57,21,-53,25,-53,29,-59,13,-55,23,-69,45,-69,0,0,0,0,0,0,-65,-41,-53,-27,-67,-31,-57,-35,-57,-23,-67,-29,-57,-21,-67,-29,-59,-29,-65,-29,-59,-31,-49,-25,-61,-15,-55,-29,-57,-25,-55,-17,-59,-17,-53,-17,-61,-23,-51,-9,-61,-13,-61,-19,-59,-11,-57,-15,-51,-11,-65,-9,-51,-15,-55,-7,-55,-5,-57,-7,-49,-11,-57,-13,-53,-1,-57,-13,-57,-9,-71,-11,-61,-15,-59,-13,-61,-19,-53,-11,-51,-13,-57,-9,-53,-13,-47,-15,-51,-21,-55,-11,-51,-17,-51,-21,-53,-27,-35,-23,-41,-29,-31,-27,-39,-23,-31,-31,-39,-23,-27,-29,-21,-37,0,0,0,0,0,0,0,0,0,0]"""
1782202711618,2026-06-23T17:18:31.618,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668752,1a:00:00:00:00:00,-37,11,-99,29,19,11,-1353161961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,31,5,36,9,31,9,38,15,32,11,38,19,38,21,31,23,38,29,32,23,32,29,32,32,31,34,31,36,34,44,27,31,31,36,32,38,34,38,29,54,29,44,25,40,17,38,17,38,21,46,17,42,17,46,19,48,21,34,25,44,21,48,29,46,15,42,23,46,19,48,27,50,19,42,21,46,23,48,27,44,19,46,29,32,29,48,29,52,32,54,23,42,36,44,25,48,29,50,29,50,36,52,38,52,32,52,29,56,40,58,34,63,34,54,0,0,0,0,0,0,75,-32,60,-19,63,-23,63,-27,60,-29,62,-23,54,-29,69,-31,58,-25,65,-19,56,-25,62,-11,62,-32,60,-17,54,-13,62,-21,54,-19,52,-19,63,-21,52,-21,56,-21,60,-15,58,-19,60,-25,52,-15,62,-23,52,-17,56,-21,60,-15,54,-21,52,-21,63,-13,52,-21,60,-25,58,-15,73,-13,54,-7,58,-17,63,-5,63,-5,60,-5,58,-3,62,1,60,1,56,3,50,-1,52,5,50,3,54,17,46,13,48,13,46,19,40,23,40,19,36,31,29,23,29,29,0,0,0,0,0,0,0,0,0,0]"""
1782202711628,2026-06-23T17:18:31.628,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668753,1a:00:00:00:00:00,-38,11,-99,28,19,11,-1353150961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,-31,-7,-27,-9,-37,-7,-33,-5,-39,0,-33,-3,-43,-3,-39,3,-35,-1,-45,1,-41,5,-45,3,-47,7,-43,1,-41,11,-51,7,-49,11,-51,11,-37,15,-45,13,-51,11,-41,9,-49,7,-45,19,-47,13,-47,17,-51,11,-45,13,-51,15,-45,17,-49,17,-41,7,-49,9,-51,13,-47,9,-51,11,-47,5,-47,7,-49,5,-55,1,-53,9,-59,7,-59,-5,-59,7,-47,-5,-57,3,-57,-5,-47,-1,-53,3,-61,1,-55,3,-65,0,-61,0,-63,-3,-69,0,-71,-11,-65,0,0,0,0,0,0,-61,-5,-71,-3,-63,0,-71,9,-73,5,-67,5,-71,-1,-63,5,-67,3,-65,3,-61,-1,-67,1,-61,3,-65,7,-51,1,-61,3,-59,9,-63,3,-51,13,-69,7,-55,15,-65,9,-51,11,-55,13,-59,15,-55,17,-61,15,-55,17,-61,9,-61,17,-59,13,-53,21,-65,11,-57,17,-57,17,-59,11,-59,13,-53,11,-57,13,-59,5,-61,1,-55,0,-59,-1,-61,-1,-55,-1,-61,-7,-49,-11,-55,0,-47,-7,-51,-7,-47,-11,-49,-9,-45,-17,-41,-11,-43,-25,-31,-21,-31,-23,0,0,0,0,0,0,0,0,0,0]"""
1782202711636,2026-06-23T17:18:31.636,danger,fall,mhw,chair_sitting_to_stand_fall,t023,"CSI_DATA,1668754,1a:00:00:00:00:00,-38,11,-99,30,19,11,-1353139961,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,20,30,11,22,16,41,13,33,18,39,15,35,13,37,13,41,13,41,22,43,11,41,11,43,9,45,7,45,7,43,0,52,7,48,3,50,3,45,7,47,15,52,5,48,9,58,5,41,7,48,9,47,1,52,7,41,3,58,11,47,7,47,9,47,26,41,18,39,22,47,16,48,24,52,16,48,22,50,24,50,24,41,24,54,24,43,32,45,28,39,39,41,32,47,41,35,48,47,48,50,35,47,37,47,41,48,50,48,39,52,43,47,43,45,0,0,0,0,0,0,48,-50,45,-60,43,-43,47,-54,45,-50,39,-50,43,-50,41,-48,43,-56,39,-47,37,-50,30,-56,35,-54,30,-52,33,-47,26,-48,26,-54,32,-56,28,-50,32,-60,24,-54,22,-50,18,-47,15,-54,16,-62,16,-54,9,-64,15,-54,15,-60,11,-62,11,-62,11,-60,18,-64,20,-60,9,-52,15,-54,7,-64,13,-62,5,-62,11,-58,13,-58,20,-54,26,-58,16,-62,18,-58,24,-48,24,-47,16,-52,20,-39,16,-45,18,-41,22,-41,26,-39,28,-41,33,-33,28,-30,26,-24,0,0,0,0,0,0,0,0,0,0]"""
