pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782214629054,2026-06-23T20:37:09.054,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95678,1a:00:00:00:00:00,-58,11,-96,15,44,11,24991247,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,22,-19,24,-17,25,-19,26,-15,28,-17,28,-17,28,-18,26,-18,28,-19,30,-17,29,-20,29,-20,28,-20,29,-19,30,-20,29,-22,28,-23,30,-20,26,-22,24,-22,24,-20,24,-23,22,-24,20,-22,19,-19,18,-23,18,-20,17,-22,15,-20,15,-20,11,-22,12,-20,11,-19,7,-18,11,-19,4,-18,4,-17,4,-15,4,-17,1,-15,1,-13,0,-13,-1,-13,0,-13,-1,-11,-1,-11,-1,-6,0,-4,-1,-2,1,-1,1,-1,1,0,1,1,2,1,4,4,6,6,8,8,0,0,0,0,0,0,12,-11,13,-11,14,-12,15,-17,17,-15,15,-19,18,-20,18,-25,18,-23,18,-24,17,-26,15,-26,15,-31,14,-33,15,-33,13,-33,11,-36,9,-37,9,-39,6,-41,3,-42,4,-44,1,-42,0,-46,0,-47,-3,-48,-4,-50,-12,-51,-8,-51,-12,-50,-13,-52,-15,-52,-14,-53,-18,-53,-19,-52,-20,-56,-22,-56,-23,-56,-23,-56,-20,-55,-24,-57,-25,-53,-23,-55,-25,-53,-23,-52,-25,-50,-23,-51,-24,-51,-22,-46,-24,-50,-20,-46,-18,-46,-19,-44,-17,-45,-19,-41,-18,-41,-12,-44,0,0,0,0,0,0,0,0,0,0]"""
1782214629061,2026-06-23T20:37:09.061,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95679,1a:00:00:00:00:00,-58,11,-96,20,43,11,25004446,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,19,22,20,23,17,23,19,26,20,24,17,27,17,27,17,28,22,28,19,27,20,27,22,28,24,27,23,27,23,26,22,27,23,26,22,23,23,22,24,23,26,22,23,22,23,19,26,19,24,19,22,17,23,16,23,13,24,13,23,10,22,10,22,9,22,7,21,5,21,5,21,2,16,3,17,2,17,0,15,-2,14,0,13,-3,11,-2,14,-4,10,0,9,-2,7,-2,4,-2,3,-3,2,2,3,0,0,0,0,1,-4,2,-3,5,-3,4,-5,5,0,0,0,0,0,0,11,9,15,9,19,9,17,11,22,9,20,13,24,9,24,11,26,13,27,11,28,10,32,10,34,7,34,5,36,5,35,3,40,2,38,0,41,-2,42,-3,40,-4,42,-8,42,-10,43,-11,46,-11,45,-15,45,-16,45,-23,47,-23,46,-26,45,-28,46,-28,47,-30,46,-35,45,-34,48,-35,47,-39,46,-40,45,-40,45,-39,45,-40,43,-39,47,-40,42,-40,42,-41,40,-41,40,-39,38,-41,36,-35,36,-36,38,-36,35,-35,35,-36,34,-33,34,-34,34,-28,33,-27,0,0,0,0,0,0,0,0,0,0]"""
1782214629067,2026-06-23T20:37:09.067,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95680,1a:00:00:00:00:00,-58,11,-97,15,44,11,25013247,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,18,23,19,24,18,24,18,25,17,28,18,29,15,28,17,29,18,30,15,28,17,31,15,30,17,30,17,31,15,31,17,31,17,31,15,31,18,31,18,30,18,29,17,28,15,28,17,28,15,26,15,24,15,25,17,22,14,19,17,20,14,19,15,15,15,18,15,14,15,14,15,14,14,12,14,11,14,11,14,8,13,6,14,6,12,4,9,4,8,4,8,2,3,2,6,1,3,1,2,4,2,0,0,0,-2,1,-3,0,-4,0,-7,0,-8,2,0,0,0,0,0,0,1,15,1,19,4,20,3,20,3,22,3,25,4,25,6,29,3,29,4,28,7,30,7,29,7,31,11,33,12,34,13,34,15,35,17,35,18,36,20,36,23,35,23,36,24,35,25,35,26,37,29,39,31,35,35,37,35,36,35,39,37,39,42,40,41,39,42,40,41,36,47,39,46,39,46,40,46,41,44,41,44,39,45,41,45,41,44,39,42,37,41,39,41,40,41,36,37,40,36,37,35,37,33,39,31,39,29,36,28,35,25,35,23,37,0,0,0,0,0,0,0,0,0,0]"""
1782214629075,2026-06-23T20:37:09.075,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95681,1a:00:00:00:00:00,-58,11,-97,17,44,11,25024246,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,-27,12,-27,15,-27,16,-28,17,-26,16,-26,17,-26,19,-26,21,-27,20,-27,19,-28,21,-28,21,-30,23,-27,24,-27,21,-28,20,-28,23,-26,20,-25,20,-25,20,-21,23,-25,18,-25,18,-24,20,-24,16,-24,18,-21,16,-24,16,-21,13,-20,13,-18,11,-20,10,-19,12,-19,9,-18,8,-17,6,-17,5,-17,5,-15,2,-16,4,-15,4,-13,3,-10,2,-13,0,-9,1,-8,0,-8,-1,-5,1,-4,2,-3,2,-2,0,2,1,2,1,4,5,3,1,6,3,10,0,0,0,0,0,0,18,-1,18,-2,19,-6,20,-4,25,-4,24,-4,25,-5,28,-8,28,-5,27,-8,32,-8,28,-10,32,-10,31,-13,33,-13,32,-17,35,-17,34,-17,38,-16,35,-20,33,-25,38,-23,34,-24,39,-25,36,-27,40,-28,34,-31,36,-32,38,-33,38,-35,39,-36,39,-39,41,-39,39,-40,38,-40,45,-42,42,-41,42,-39,43,-43,43,-39,42,-41,43,-40,43,-39,45,-39,43,-36,41,-38,45,-35,45,-35,42,-31,41,-31,40,-28,40,-27,42,-25,42,-24,40,-20,39,-18,41,-16,0,0,0,0,0,0,0,0,0,0]"""
1782214629083,2026-06-23T20:37:09.083,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95682,1a:00:00:00:00:00,-58,11,-97,15,44,11,25035774,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-24,-14,-26,-17,-24,-18,-24,-19,-26,-18,-25,-22,-25,-20,-25,-22,-24,-23,-24,-22,-25,-22,-25,-24,-28,-23,-25,-23,-24,-25,-25,-26,-25,-24,-24,-24,-24,-23,-22,-28,-24,-23,-24,-23,-24,-23,-23,-22,-23,-22,-22,-19,-20,-17,-22,-19,-22,-14,-20,-15,-18,-14,-19,-13,-19,-12,-19,-11,-18,-9,-17,-8,-15,-8,-17,-7,-14,-6,-14,-4,-14,-3,-13,-3,-11,-3,-9,-2,-9,-3,-8,-3,-7,-2,-3,-2,-4,0,-2,-1,-3,0,1,-2,2,-1,4,-1,3,-1,7,-1,11,0,0,0,0,0,0,0,0,-18,0,-18,-3,-19,-3,-22,-3,-23,-3,-24,-7,-24,-7,-28,-7,-26,-9,-29,-11,-30,-9,-29,-12,-33,-13,-30,-13,-33,-17,-31,-18,-34,-18,-35,-18,-37,-23,-36,-24,-34,-24,-36,-25,-34,-28,-35,-28,-37,-33,-37,-31,-36,-36,-35,-36,-37,-40,-34,-39,-37,-41,-37,-40,-39,-44,-36,-42,-37,-44,-41,-44,-39,-44,-39,-46,-40,-44,-39,-42,-37,-45,-40,-44,-41,-42,-40,-42,-41,-40,-37,-40,-42,-39,-40,-35,-39,-34,-37,-33,-40,-33,-37,-31,-40,-29,-37,-25,-37,-23,-37,-19,-40,0,0,0,0,0,0,0,0,0,0]"""
1782214629090,2026-06-23T20:37:09.090,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95683,1a:00:00:00:00:00,-58,11,-97,16,44,11,25046246,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,26,16,23,17,21,20,20,22,21,23,22,24,22,24,21,27,21,26,20,28,21,29,20,29,19,29,17,27,16,30,16,30,15,32,17,29,13,29,15,30,14,29,13,30,14,26,13,27,11,28,14,24,11,28,11,24,10,24,8,22,10,22,8,21,11,19,7,17,9,17,8,16,10,15,10,15,11,14,9,13,8,11,9,10,8,8,7,9,7,8,7,7,3,5,3,5,4,2,1,-1,2,0,1,0,-2,-2,0,-1,-5,-3,-8,-3,-5,-7,0,0,0,0,0,0,-10,13,-13,15,-14,15,-11,16,-16,16,-16,19,-19,19,-20,24,-20,21,-21,21,-21,22,-21,24,-22,27,-23,27,-22,28,-21,28,-23,30,-23,30,-22,33,-23,34,-22,34,-23,35,-22,38,-23,38,-23,39,-26,40,-26,43,-23,43,-26,46,-22,47,-27,46,-26,48,-27,48,-28,48,-28,49,-29,48,-30,49,-33,49,-33,48,-34,51,-34,49,-35,48,-36,48,-35,45,-40,41,-38,43,-39,39,-38,40,-40,36,-40,35,-39,32,-39,29,-40,28,-40,24,-39,21,-38,19,-40,15,0,0,0,0,0,0,0,0,0,0]"""
1782214629096,2026-06-23T20:37:09.096,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95684,1a:00:00:00:00:00,-58,11,-97,17,44,11,25057246,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-25,-8,-28,-8,-28,-5,-32,-4,-31,-3,-32,-2,-32,2,-31,0,-33,3,-33,1,-38,2,-35,3,-35,5,-35,6,-36,5,-32,6,-33,6,-32,8,-34,10,-34,10,-34,10,-31,9,-28,10,-30,11,-30,10,-26,9,-27,8,-26,9,-26,6,-26,8,-21,6,-24,6,-21,5,-19,5,-19,5,-18,5,-16,4,-16,3,-15,3,-16,3,-13,2,-12,2,-11,1,-10,1,-11,3,-6,-1,-6,2,-4,1,-4,1,-3,0,0,1,2,0,2,1,5,-1,4,1,8,1,10,0,0,0,0,0,0,16,4,17,4,21,2,21,2,24,2,26,4,26,3,30,4,27,4,27,6,32,4,31,5,35,4,32,6,35,5,36,4,40,5,39,4,41,4,39,2,42,4,45,2,43,3,47,4,47,5,47,3,47,2,49,2,51,3,51,0,53,3,57,3,55,4,58,4,54,4,61,8,58,9,58,10,61,11,56,12,55,12,56,13,57,19,55,17,55,23,54,17,50,24,50,20,49,26,45,25,45,26,39,27,40,30,35,32,34,31,32,32,26,32,0,0,0,0,0,0,0,0,0,0]"""
1782214629104,2026-06-23T20:37:09.104,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95685,1a:00:00:00:00:00,-58,11,-97,17,44,11,25068246,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-26,-13,-25,-15,-26,-15,-27,-16,-24,-18,-27,-19,-26,-19,-27,-21,-26,-21,-27,-20,-27,-24,-26,-23,-26,-19,-27,-21,-27,-21,-26,-24,-30,-20,-27,-23,-25,-20,-23,-21,-23,-21,-25,-20,-24,-23,-25,-19,-25,-19,-23,-17,-23,-16,-21,-15,-21,-13,-20,-13,-18,-13,-20,-10,-20,-9,-17,-10,-18,-8,-18,-9,-16,-8,-18,-5,-16,-4,-15,-4,-15,-1,-13,-3,-12,-2,-11,-1,-9,-2,-8,-1,-6,-1,-5,-2,-3,0,-2,1,-1,0,-1,-1,2,0,4,0,4,-3,6,-1,9,1,0,0,0,0,0,0,0,-15,-4,-18,-4,-17,-5,-20,-5,-20,-5,-24,-8,-23,-8,-26,-9,-26,-10,-30,-9,-27,-10,-28,-11,-32,-15,-31,-15,-33,-17,-30,-18,-34,-20,-35,-19,-33,-21,-35,-26,-33,-26,-34,-26,-33,-27,-35,-28,-38,-32,-38,-34,-34,-38,-34,-39,-35,-39,-34,-38,-35,-42,-36,-41,-36,-42,-38,-43,-35,-43,-38,-45,-41,-42,-39,-45,-41,-41,-39,-42,-38,-46,-40,-45,-40,-43,-38,-42,-39,-41,-41,-39,-41,-38,-38,-34,-40,-33,-36,-31,-40,-30,-39,-27,-36,-26,-39,-25,-38,-24,-38,-19,-38,0,0,0,0,0,0,0,0,0,0]"""
1782214629110,2026-06-23T20:37:09.110,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95686,1a:00:00:00:00:00,-58,11,-97,20,43,11,25079246,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,30,5,27,2,30,1,33,1,32,0,32,0,32,1,34,-2,34,-3,34,-2,34,-1,33,-5,35,-3,35,-4,35,-5,35,-4,35,-5,34,-5,33,-5,33,-7,34,-4,32,-3,32,-4,30,-8,30,-4,28,-5,27,-3,27,-4,27,-3,26,-1,23,-2,22,1,22,0,22,0,21,0,20,-1,20,2,17,1,16,2,14,1,15,4,14,3,11,1,11,3,9,0,5,0,7,1,7,2,5,2,3,0,0,0,0,-1,-1,-1,-2,-5,-3,-3,-5,-3,-8,0,0,0,0,0,0,-17,7,-19,8,-19,8,-20,11,-21,11,-19,10,-21,14,-23,15,-24,13,-24,14,-24,17,-24,17,-28,20,-28,20,-28,20,-26,22,-29,23,-32,26,-29,28,-30,29,-28,32,-29,33,-27,33,-30,35,-32,36,-30,38,-30,38,-30,39,-30,42,-29,42,-33,43,-33,46,-34,46,-33,46,-30,47,-34,46,-34,48,-34,47,-34,49,-36,46,-34,47,-38,45,-39,46,-39,43,-40,42,-36,42,-40,39,-39,41,-38,34,-38,35,-38,35,-38,33,-38,30,-40,27,-38,23,-38,21,-38,19,0,0,0,0,0,0,0,0,0,0]"""
1782214629117,2026-06-23T20:37:09.117,danger,fall,lmh,chair_stand_to_sit_fall,t017,"CSI_DATA,95687,1a:00:00:00:00:00,-58,11,-97,15,44,11,25090246,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,28,13,28,13,28,14,28,15,25,15,28,17,26,14,26,18,28,17,29,17,30,17,29,17,30,15,31,14,29,15,30,15,29,14,29,17,30,15,31,13,34,13,30,13,29,12,29,9,30,9,28,11,29,7,26,7,25,6,28,4,23,4,24,4,24,1,20,0,19,-2,20,-1,18,-1,18,-2,17,-2,15,-2,14,-3,12,-3,12,-2,9,-4,8,-3,8,-4,4,-3,7,-3,4,-2,3,-1,1,0,-1,0,-1,1,0,3,-3,6,-4,3,-8,8,0,0,0,0,0,0,18,9,15,11,18,9,18,9,20,12,24,9,24,11,26,9,28,11,28,11,30,8,31,8,35,6,35,4,35,4,37,3,40,2,39,0,41,0,42,-3,41,-4,44,-7,44,-6,44,-12,46,-11,46,-12,47,-14,47,-19,47,-20,46,-23,48,-23,50,-25,50,-26,48,-29,47,-31,51,-29,48,-33,50,-34,51,-35,48,-31,47,-31,48,-33,50,-33,47,-33,48,-33,44,-33,46,-31,44,-34,46,-30,41,-30,42,-29,40,-28,40,-24,41,-26,41,-23,39,-20,39,-18,0,0,0,0,0,0,0,0,0,0]"""
