pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782203133814,2026-06-23T17:25:33.814,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707129,1a:00:00:00:00:00,-37,11,-99,30,18,11,347071505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-16,0,-21,-2,-15,-3,-22,-3,-19,-3,-21,-5,-21,-10,-15,-11,-21,-10,-15,-11,-21,-12,-19,-11,-20,-12,-19,-11,-22,-19,-16,-12,-20,-14,-20,-14,-22,-18,-19,-22,-19,-19,-19,-17,-13,-14,-19,-16,-20,-19,-16,-15,-15,-18,-18,-19,-13,-11,-18,-16,-15,-13,-21,-22,-16,-17,-18,-14,-18,-17,-16,-14,-16,-14,-22,-11,-21,-12,-19,-13,-22,-15,-18,-6,-22,-12,-22,-11,-27,-14,-22,-13,-25,-10,-22,-13,-23,-11,-22,-12,-29,-10,-26,-9,-24,-13,-27,-11,-27,-10,-31,-14,-31,-11,0,0,0,0,0,0,-17,30,-11,24,-11,33,-14,29,-11,21,-17,30,-10,22,-14,30,-11,22,-15,28,-13,26,-11,24,-11,27,-8,22,-11,28,-11,23,-9,24,-6,27,-11,27,-6,21,-6,29,-5,22,-7,28,-6,27,-5,22,-6,27,-5,20,-3,29,-6,25,-4,26,-7,22,-9,27,-2,21,-4,26,-6,24,-7,33,-10,24,-6,24,-10,23,-11,24,-6,21,-9,24,-8,20,-5,21,-13,21,-8,21,-10,23,-15,19,-16,20,-14,13,-12,17,-13,14,-15,12,-12,13,-15,11,-14,9,-15,8,0,0,0,0,0,0,0,0,0,0]"""
1782203133822,2026-06-23T17:25:33.822,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707130,1a:00:00:00:00:00,-37,11,-99,27,19,11,347082568,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-14,11,-12,9,-18,9,-19,8,-16,8,-19,7,-21,7,-20,5,-20,3,-23,5,-24,3,-24,4,-22,3,-24,0,-21,0,-26,-3,-26,-5,-24,-5,-24,-7,-24,-3,-21,-6,-25,-5,-25,-7,-25,-7,-24,-8,-24,-6,-22,-10,-23,-6,-22,-9,-21,-8,-23,-11,-21,-11,-25,-8,-22,-9,-22,-8,-23,-9,-20,-8,-24,-8,-21,-8,-21,-6,-22,-8,-24,-10,-24,-8,-24,-6,-24,-9,-23,-6,-24,-10,-24,-3,-22,-9,-24,-5,-27,-8,-24,-8,-25,-11,-31,-12,-27,-11,-24,-12,-29,-10,0,0,0,0,0,0,-15,30,-15,25,-10,26,-16,29,-15,26,-17,24,-16,30,-15,24,-18,27,-17,23,-15,22,-14,26,-16,22,-14,24,-16,26,-14,24,-13,25,-11,22,-15,20,-16,23,-13,21,-16,22,-15,22,-16,21,-14,24,-12,17,-12,23,-13,23,-15,23,-15,22,-15,23,-14,21,-20,17,-17,17,-16,20,-17,18,-18,21,-19,18,-20,21,-20,13,-20,13,-24,15,-21,13,-19,16,-18,12,-24,8,-21,6,-20,6,-19,6,-22,8,-20,3,-18,4,-18,0,-18,0,-18,0,-17,-1,-14,-3,0,0,0,0,0,0,0,0,0,0]"""
1782203133829,2026-06-23T17:25:33.829,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707131,1a:00:00:00:00:00,-37,11,-99,32,18,11,347093505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-12,11,-15,12,-14,12,-17,12,-15,11,-17,12,-18,11,-18,9,-19,13,-19,8,-18,11,-23,11,-19,12,-21,11,-24,12,-18,11,-22,15,-22,13,-22,14,-24,12,-25,8,-20,14,-22,9,-22,13,-25,13,-19,12,-19,13,-22,15,-16,17,-16,18,-18,16,-21,19,-17,16,-14,19,-15,19,-14,19,-12,18,-12,21,-12,20,-10,24,-12,19,-5,23,-3,25,-6,26,-6,27,-6,22,-3,28,-5,26,0,27,-4,28,0,29,3,27,0,32,0,31,7,29,6,31,2,34,0,0,0,0,0,0,32,-3,30,-4,31,-8,28,-8,26,-8,28,-10,25,-12,30,-11,25,-11,28,-11,30,-12,25,-7,26,-16,23,-12,22,-11,24,-15,19,-14,19,-14,24,-16,14,-19,15,-20,17,-21,19,-20,16,-18,16,-19,13,-21,16,-20,14,-22,12,-20,11,-21,14,-19,15,-25,6,-22,7,-25,9,-24,12,-27,12,-19,9,-25,10,-22,11,-22,11,-24,9,-21,10,-23,8,-23,10,-24,7,-22,8,-22,9,-19,12,-19,9,-16,10,-19,9,-15,10,-16,11,-12,8,-15,10,-14,11,-12,0,0,0,0,0,0,0,0,0,0]"""
1782203133835,2026-06-23T17:25:33.835,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707132,1a:00:00:00:00:00,-37,11,-99,31,18,11,347104505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,-11,12,-13,11,-11,16,-13,16,-9,21,-11,17,-8,19,-6,22,-10,20,-2,23,-4,23,-5,22,-2,22,-2,27,0,20,0,25,0,25,1,27,0,24,5,23,3,24,1,21,6,22,5,24,5,24,8,22,8,24,8,17,7,24,7,21,6,26,8,24,7,24,5,24,6,23,7,17,5,22,4,22,8,23,5,24,8,22,1,27,6,26,8,30,6,21,7,26,5,25,8,24,2,30,7,31,7,28,6,31,7,24,5,28,8,32,8,32,9,0,0,0,0,0,0,13,-32,13,-26,13,-31,11,-26,11,-22,15,-29,12,-23,16,-29,15,-24,15,-25,15,-28,10,-20,14,-25,13,-20,15,-22,15,-23,16,-23,14,-24,17,-22,10,-16,13,-26,12,-22,15,-24,16,-24,13,-21,15,-24,13,-17,14,-21,14,-20,16,-19,17,-19,20,-20,12,-16,13,-22,16,-18,20,-22,17,-16,18,-18,20,-16,18,-15,16,-14,21,-16,20,-13,20,-12,24,-9,18,-10,20,-9,21,-8,24,-7,17,-3,20,-5,20,-2,18,0,19,1,16,0,16,4,18,6,0,0,0,0,0,0,0,0,0,0]"""
1782203133842,2026-06-23T17:25:33.842,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707133,1a:00:00:00:00:00,-37,11,-99,30,18,11,347115505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,19,3,18,2,18,7,16,6,19,6,16,7,19,11,20,11,18,12,20,11,19,14,16,15,17,17,19,15,14,14,20,20,19,16,17,16,12,20,17,19,19,20,12,21,15,21,14,21,13,21,12,21,14,22,12,18,12,22,14,19,12,20,13,21,15,19,12,21,15,18,13,17,16,19,17,16,13,21,16,19,17,17,19,21,18,19,22,16,15,16,22,17,18,19,21,13,18,19,20,19,20,16,16,19,21,20,27,19,22,17,21,16,22,24,0,0,0,0,0,0,20,-26,23,-26,19,-22,21,-23,18,-22,20,-24,23,-22,21,-21,23,-20,18,-20,21,-19,19,-22,17,-21,21,-22,19,-20,15,-20,18,-20,19,-19,15,-22,20,-22,17,-19,14,-22,14,-18,15,-20,16,-22,14,-18,15,-23,13,-22,15,-19,13,-22,15,-21,11,-22,19,-20,15,-22,13,-19,15,-18,16,-22,20,-18,15,-21,19,-17,20,-17,20,-17,22,-15,19,-15,18,-15,22,-11,19,-10,19,-12,19,-7,20,-11,20,-7,18,-8,18,-6,21,-4,19,-1,18,0,17,0,0,0,0,0,0,0,0,0,0,0]"""
1782203133849,2026-06-23T17:25:33.849,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707134,1a:00:00:00:00:00,-37,11,-99,30,18,11,347126505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-15,1,-18,1,-17,6,-22,4,-17,5,-22,7,-20,10,-18,8,-22,8,-18,9,-21,9,-22,11,-22,9,-18,17,-23,9,-17,12,-22,13,-18,16,-24,13,-20,12,-11,15,-21,15,-16,16,-21,12,-20,16,-22,15,-19,17,-25,10,-18,13,-21,11,-18,15,-24,14,-21,11,-20,11,-22,12,-21,9,-19,7,-22,10,-22,4,-21,9,-23,3,-23,4,-25,8,-26,4,-33,6,-23,0,-27,3,-25,0,-24,0,-25,-1,-30,-3,-28,1,-30,0,-32,-1,-33,-1,-34,2,-27,0,0,0,0,0,0,-33,-1,-23,1,-35,4,-31,-2,-25,0,-33,0,-25,0,-32,1,-27,2,-34,1,-32,4,-28,1,-27,1,-23,3,-27,3,-26,5,-26,8,-24,7,-27,6,-22,7,-27,11,-24,9,-26,11,-28,7,-22,6,-23,9,-22,9,-23,14,-22,12,-21,13,-20,10,-27,10,-20,11,-22,11,-22,11,-28,13,-25,8,-23,11,-23,11,-22,8,-20,9,-22,11,-23,10,-22,9,-23,6,-21,11,-24,9,-21,4,-27,4,-19,0,-18,2,-18,0,-18,4,-17,0,-18,0,-18,0,-19,-4,0,0,0,0,0,0,0,0,0,0]"""
1782203133856,2026-06-23T17:25:33.856,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707135,1a:00:00:00:00:00,-37,11,-99,31,18,11,347137505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-16,1,-17,-1,-18,-1,-20,0,-19,0,-18,1,-18,4,-17,3,-24,3,-21,5,-23,6,-23,3,-21,2,-24,5,-25,5,-24,0,-26,5,-24,6,-24,4,-22,6,-21,4,-26,6,-24,3,-24,5,-26,4,-24,3,-24,2,-24,0,-24,-1,-24,0,-25,0,-23,-2,-23,-2,-21,-1,-25,-3,-23,-2,-22,-8,-22,-5,-24,-8,-21,-8,-21,-11,-21,-12,-21,-14,-23,-11,-22,-10,-21,-14,-20,-12,-21,-18,-22,-18,-20,-20,-23,-22,-20,-18,-23,-18,-18,-24,-18,-24,-16,-24,-20,0,0,0,0,0,0,-17,30,-20,23,-18,26,-16,24,-21,26,-16,22,-13,26,-13,26,-15,26,-13,23,-10,24,-16,22,-8,27,-12,24,-9,25,-8,25,-7,29,-8,28,-8,27,-2,22,0,25,-2,26,0,25,0,24,-4,24,0,25,0,24,1,25,0,25,2,27,-1,24,1,28,6,24,5,24,3,25,3,27,2,26,4,25,4,25,3,24,5,27,3,25,4,27,3,23,1,24,4,23,4,20,0,23,0,22,0,20,0,21,-2,19,0,20,0,19,-3,16,0,17,-6,17,0,0,0,0,0,0,0,0,0,0]"""
1782203133864,2026-06-23T17:25:33.864,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707136,1a:00:00:00:00:00,-37,11,-99,30,18,11,347148505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,11,-12,10,-15,9,-16,8,-17,7,-18,5,-22,5,-23,4,-21,1,-22,2,-22,1,-22,0,-24,-2,-23,-4,-22,-4,-22,-7,-23,-6,-26,-7,-22,-9,-28,-13,-26,-9,-19,-10,-23,-11,-22,-11,-22,-12,-20,-11,-20,-12,-19,-11,-20,-15,-22,-15,-20,-14,-21,-15,-20,-14,-20,-17,-21,-11,-18,-13,-20,-15,-18,-12,-17,-15,-20,-11,-18,-11,-21,-16,-18,-14,-22,-14,-18,-16,-24,-17,-22,-16,-22,-12,-22,-15,-24,-15,-23,-19,-18,-16,-19,-11,-21,-19,-22,-22,-20,-22,-27,-22,0,0,0,0,0,0,-22,16,-23,19,-24,22,-24,21,-24,18,-22,19,-26,17,-24,15,-26,18,-25,14,-25,14,-24,15,-22,13,-24,14,-26,14,-20,12,-26,12,-22,12,-22,11,-25,13,-21,13,-25,15,-24,12,-27,11,-23,11,-22,7,-23,11,-23,14,-26,11,-23,11,-25,7,-22,12,-28,8,-24,7,-24,9,-26,6,-28,7,-26,5,-26,4,-23,0,-23,3,-28,0,-24,-1,-24,-2,-19,-1,-24,-5,-22,-7,-22,-3,-22,-8,-19,-8,-20,-11,-17,-9,-14,-12,-12,-12,-15,-11,-11,-11,-8,-11,0,0,0,0,0,0,0,0,0,0]"""
1782203133872,2026-06-23T17:25:33.872,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707137,1a:00:00:00:00:00,-37,11,-99,30,18,11,347159505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,9,-17,8,-14,9,-21,6,-16,4,-19,8,-20,7,-21,6,-23,8,-19,6,-21,4,-22,6,-22,8,-24,8,-24,3,-22,5,-26,6,-22,4,-25,6,-22,7,-20,2,-26,8,-22,4,-26,4,-26,6,-24,6,-22,5,-25,4,-22,8,-22,9,-22,8,-26,11,-21,7,-19,9,-22,11,-22,14,-18,12,-20,15,-19,14,-15,15,-21,17,-17,18,-16,21,-20,18,-18,20,-16,22,-15,22,-16,21,-14,22,-16,25,-12,27,-11,25,-16,27,-8,25,-11,27,-11,27,-11,27,0,0,0,0,0,0,31,11,31,15,34,9,29,11,29,9,30,11,28,4,33,8,26,8,28,7,29,4,28,6,29,3,27,4,29,3,29,-2,28,-2,27,-2,28,0,25,-4,25,-4,26,-2,25,-5,22,-5,24,-4,28,-7,22,-7,22,-9,25,-9,24,-11,24,-10,30,-10,22,-11,22,-11,23,-9,27,-11,24,-9,24,-11,25,-6,22,-11,23,-12,23,-10,22,-11,22,-8,24,-6,21,-11,20,-8,21,-5,22,-8,20,-4,20,-4,19,-2,20,-4,19,0,18,-2,19,0,18,0,0,0,0,0,0,0,0,0,0,0]"""
1782203133879,2026-06-23T17:25:33.879,danger,fall,mhw,chair_stand_to_sit_fall,t003,"CSI_DATA,1707138,1a:00:00:00:00:00,-38,11,-99,31,18,11,347170505,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-15,11,-13,9,-18,8,-16,8,-22,7,-16,5,-16,5,-22,8,-20,5,-23,8,-21,5,-19,2,-24,5,-23,3,-22,0,-27,0,-22,2,-29,0,-24,0,-21,-1,-26,-1,-23,0,-28,0,-25,-1,-24,0,-24,-2,-27,-2,-24,0,-27,-4,-24,0,-23,0,-21,0,-25,0,-27,0,-23,1,-25,5,-25,3,-24,2,-25,4,-24,6,-24,8,-27,4,-25,2,-24,9,-18,3,-24,11,-24,6,-20,14,-26,10,-25,13,-24,10,-23,8,-27,12,-27,13,-25,16,-27,11,-28,16,0,0,0,0,0,0,12,24,14,29,13,25,16,27,14,32,11,25,15,31,12,25,16,27,10,24,12,24,17,24,15,23,19,24,14,23,16,22,17,21,17,21,16,20,17,24,15,20,18,20,12,13,16,18,18,19,18,18,18,18,19,18,18,19,21,19,16,22,18,16,19,20,20,17,17,20,17,16,20,18,18,20,19,17,17,20,16,21,15,21,13,21,16,21,15,18,12,20,9,19,12,19,8,16,8,18,4,18,8,17,4,21,6,16,3,16,0,17,0,16,0,0,0,0,0,0,0,0,0,0]"""
