pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782141516379,2026-06-23T00:18:36.379,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373387,1a:00:00:00:00:00,-65,11,-99,16,48,11,-1539618420,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,9,-1,12,-1,9,-4,12,-3,9,-6,15,-7,12,-7,11,-8,10,-7,10,-9,13,-10,14,-11,13,-10,11,-15,11,-13,7,-17,11,-13,10,-20,11,-21,7,-16,9,-18,4,-17,6,-18,7,-19,7,-20,7,-19,5,-21,5,-17,3,-22,3,-17,4,-26,5,-22,0,-20,3,-20,0,-19,0,-17,5,-22,7,-20,5,-18,4,-22,3,-18,3,-24,6,-21,3,-30,4,-24,1,-24,4,-24,1,-20,1,-23,3,-27,6,-23,5,-27,3,-24,1,-27,2,-27,2,-26,-1,0,0,0,0,0,0,-2,25,-1,19,-1,31,-3,24,0,18,-2,27,0,20,-2,26,0,18,-3,28,-3,24,0,20,-3,19,-3,17,1,22,1,20,0,18,0,16,0,19,0,15,0,20,2,16,0,22,-1,20,0,18,-1,16,1,14,3,17,1,16,2,16,2,15,1,17,0,13,1,18,1,14,0,21,-1,16,0,14,-1,15,-1,14,1,14,1,17,0,14,0,12,-1,13,-1,12,0,15,-1,11,-4,16,-3,12,-3,12,-4,11,-3,9,-4,9,-4,11,-3,9,-5,10,0,0,0,0,0,0,0,0,0,0]"""
1782141516385,2026-06-23T00:18:36.385,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373388,1a:00:00:00:00:00,-65,11,-99,13,49,11,-1539608193,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,-1,-8,0,-13,0,-11,1,-13,3,-11,2,-11,4,-15,6,-12,6,-15,8,-13,10,-11,10,-12,12,-13,10,-11,17,-11,15,-10,17,-10,15,-7,16,-9,18,-10,19,-5,20,-6,19,-3,19,-3,21,-2,21,-1,18,-2,24,1,20,0,20,0,17,2,22,1,21,4,20,0,22,5,22,5,20,6,22,8,23,5,21,3,21,10,19,8,22,4,16,8,23,8,19,11,23,6,23,12,22,11,20,12,18,16,20,13,20,15,19,16,18,14,21,16,0,0,0,0,0,0,18,-17,22,-18,17,-14,18,-14,23,-15,17,-11,23,-14,18,-12,21,-11,17,-8,17,-9,21,-10,18,-6,19,-10,17,-8,17,-6,18,-7,18,-7,14,-7,20,-5,17,-5,17,-6,14,-4,15,-6,17,-6,16,-4,17,-5,16,-5,16,-3,16,-3,17,-3,15,-5,19,-2,16,-1,16,-3,14,0,17,-1,17,0,15,-1,15,1,16,2,14,3,15,5,15,3,14,1,13,6,11,5,13,3,9,4,12,5,10,6,10,5,10,6,9,8,7,7,6,8,6,9,0,0,0,0,0,0,0,0,0,0]"""
1782141516391,2026-06-23T00:18:36.391,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373389,1a:00:00:00:00:00,-65,11,-99,17,48,11,-1539595706,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,-7,8,-8,7,-8,8,-8,8,-8,9,-6,11,-7,12,-5,13,-8,13,-5,13,-5,15,-5,15,-4,15,-4,19,-4,16,-6,18,-6,18,-3,18,-2,18,-4,17,-1,22,-4,19,0,18,0,20,0,20,0,22,0,22,0,20,-5,20,-3,20,-2,21,-1,18,0,20,-2,20,0,22,-3,20,-2,19,-5,19,-3,21,-3,22,-1,20,-9,20,-9,22,-5,23,-6,21,-5,23,-8,23,-5,23,-9,25,-6,22,-8,23,-10,26,-9,22,-10,23,-11,24,-8,23,-8,0,0,0,0,0,0,-10,-24,-9,-23,-8,-23,-10,-23,-9,-22,-9,-23,-9,-19,-10,-20,-8,-19,-8,-19,-10,-18,-6,-18,-12,-19,-7,-18,-10,-17,-8,-17,-8,-16,-10,-16,-10,-17,-13,-13,-14,-11,-12,-14,-11,-13,-13,-11,-11,-11,-13,-11,-11,-11,-11,-10,-11,-11,-12,-10,-12,-10,-14,-11,-14,-6,-12,-7,-15,-8,-14,-8,-10,-8,-13,-8,-12,-9,-15,-7,-11,-8,-11,-6,-10,-8,-12,-8,-11,-9,-13,-5,-13,-7,-10,-8,-10,-7,-10,-7,-10,-7,-8,-8,-10,-6,-8,-7,-7,-7,-7,-8,-8,-8,0,0,0,0,0,0,0,0,0,0]"""
1782141516395,2026-06-23T00:18:36.395,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373390,1a:00:00:00:00:00,-65,11,-99,18,48,11,-1539584754,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,11,1,9,1,12,1,11,-1,14,-3,13,-6,12,-5,12,-6,10,-8,14,-9,12,-10,13,-11,12,-14,13,-11,9,-15,11,-12,9,-20,11,-20,5,-20,4,-18,4,-15,1,-20,5,-20,2,-19,0,-18,0,-21,0,-17,0,-22,-1,-18,-1,-25,-4,-20,-6,-20,-4,-19,-7,-17,-6,-16,-5,-21,-4,-20,-7,-16,-7,-19,-9,-17,-5,-22,-7,-19,-9,-25,-15,-17,-11,-18,-12,-16,-16,-17,-13,-17,-15,-20,-18,-16,-14,-18,-18,-15,-18,-19,-20,-17,-22,-14,-20,0,0,0,0,0,0,-23,11,-18,8,-28,12,-22,8,-17,5,-25,7,-19,6,-25,5,-19,5,-24,2,-24,0,-18,0,-19,0,-16,0,-20,1,-17,0,-19,-1,-17,0,-20,0,-14,0,-18,0,-15,0,-21,-1,-19,-3,-17,-1,-17,-3,-13,-3,-19,-3,-17,-3,-15,-4,-14,-2,-17,-4,-14,-3,-16,-4,-13,-4,-20,-8,-14,-9,-14,-9,-12,-10,-11,-8,-11,-7,-13,-8,-12,-10,-9,-9,-9,-11,-9,-7,-11,-10,-7,-9,-8,-13,-5,-10,-6,-11,-2,-11,-3,-10,0,-11,-2,-11,-1,-9,0,-10,0,0,0,0,0,0,0,0,0,0]"""
1782141516399,2026-06-23T00:18:36.399,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373391,1a:00:00:00:00:00,-65,11,-99,17,48,11,-1539573521,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,10,1,12,2,10,3,14,6,13,8,10,7,9,8,10,8,13,9,11,11,11,12,10,11,10,14,6,15,8,18,6,16,6,22,2,19,2,19,0,17,0,17,2,20,1,20,0,20,0,18,-3,20,-3,18,-2,21,-5,18,-5,23,-8,21,-6,19,-6,18,-8,15,-7,18,-4,21,-5,20,-5,18,-8,18,-8,17,-10,22,-9,18,-15,23,-14,19,-13,20,-15,19,-14,15,-12,18,-14,23,-13,18,-15,19,-18,18,-16,20,-18,19,-20,15,0,0,0,0,0,0,13,20,12,16,15,23,10,22,9,17,11,23,8,18,10,22,7,18,8,23,6,23,4,19,4,18,5,16,8,20,7,17,6,17,6,16,4,17,3,17,5,17,3,16,5,19,1,18,2,15,2,16,3,15,5,17,3,15,3,17,2,15,1,17,1,13,1,17,1,14,1,18,-1,17,-1,15,-1,14,-1,13,-2,14,-1,16,-1,15,-1,11,-3,13,-5,11,-4,13,-5,10,-6,13,-8,10,-6,10,-8,8,-6,8,-6,8,-7,8,-7,6,-6,6,0,0,0,0,0,0,0,0,0,0]"""
1782141516403,2026-06-23T00:18:36.403,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373392,1a:00:00:00:00:00,-65,11,-99,18,48,11,-1539561754,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,7,1,12,2,9,2,15,4,13,5,11,5,13,4,10,6,14,7,14,7,14,9,12,9,15,12,9,7,16,12,11,9,18,16,13,17,11,15,13,14,9,13,15,14,14,15,12,14,12,13,13,18,11,11,14,15,10,13,17,20,11,17,14,15,12,17,11,14,10,12,16,14,16,14,13,12,15,17,14,9,19,13,15,12,22,19,14,15,17,14,15,16,16,13,18,12,23,15,19,12,22,14,18,12,22,12,25,15,20,15,0,0,0,0,0,0,17,-21,10,-15,16,-25,14,-18,8,-12,14,-22,10,-15,14,-23,8,-17,14,-22,11,-19,10,-16,7,-15,8,-14,7,-17,6,-17,6,-17,6,-17,7,-19,1,-13,4,-19,2,-14,6,-22,5,-17,4,-14,4,-16,1,-12,1,-18,0,-16,1,-15,1,-14,3,-19,-1,-11,-1,-17,0,-13,0,-22,3,-17,0,-16,3,-17,1,-12,0,-12,-2,-15,0,-14,0,-11,1,-14,-1,-11,-1,-15,1,-11,1,-16,2,-12,1,-12,3,-11,1,-11,2,-8,1,-11,1,-9,1,-11,0,0,0,0,0,0,0,0,0,0]"""
1782141516406,2026-06-23T00:18:36.406,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373393,1a:00:00:00:00:00,-65,11,-99,18,48,11,-1539553324,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-3,-10,-5,-7,-5,-11,-7,-7,-6,-11,-11,-9,-11,-7,-9,-6,-12,-6,-9,-9,-12,-8,-14,-6,-12,-6,-12,-4,-17,-2,-13,-3,-19,-3,-15,0,-22,1,-19,3,-16,3,-18,4,-16,1,-20,1,-20,4,-19,4,-19,6,-21,5,-16,7,-21,6,-17,9,-23,10,-18,7,-19,8,-16,9,-16,7,-16,6,-20,7,-18,6,-15,9,-19,9,-15,10,-22,10,-16,15,-23,14,-18,11,-20,14,-17,12,-16,11,-17,12,-22,12,-19,14,-21,15,-16,15,-20,16,-21,17,-17,0,0,0,0,0,0,-17,-19,-12,-15,-19,-22,-12,-19,-9,-15,-15,-21,-10,-15,-14,-20,-9,-14,-12,-22,-10,-20,-9,-17,-8,-17,-7,-14,-12,-17,-11,-14,-11,-14,-10,-13,-10,-16,-7,-13,-9,-17,-8,-12,-11,-18,-8,-15,-7,-12,-7,-13,-6,-10,-10,-14,-9,-12,-9,-13,-7,-11,-9,-15,-6,-11,-9,-14,-6,-12,-9,-17,-4,-14,-6,-13,-4,-14,-3,-14,-4,-12,-7,-14,-4,-13,-3,-11,-2,-13,-3,-11,-1,-14,-1,-11,0,-16,0,-12,0,-12,1,-11,1,-9,1,-9,1,-11,2,-9,3,-9,0,0,0,0,0,0,0,0,0,0]"""
1782141516409,2026-06-23T00:18:36.409,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373394,1a:00:00:00:00:00,-65,11,-99,18,48,11,-1539535000,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,-8,7,-7,8,-7,8,-7,9,-6,10,-5,12,-6,12,-3,12,-5,15,-3,14,-2,15,-1,14,-1,17,0,19,1,17,-1,17,0,17,3,17,4,15,4,14,8,20,6,18,9,16,9,17,9,17,9,17,11,17,11,18,9,17,9,17,9,15,11,15,12,15,11,15,14,16,12,15,12,15,11,15,13,17,13,16,14,17,11,17,10,18,14,15,14,14,14,15,15,15,17,19,15,17,18,18,15,18,16,19,17,15,17,18,17,17,19,15,19,0,0,0,0,0,0,21,-14,23,-14,19,-11,21,-14,20,-11,19,-12,19,-11,20,-11,19,-11,17,-9,18,-9,18,-5,17,-10,19,-6,15,-7,16,-7,16,-7,17,-7,19,-7,14,-10,12,-10,14,-8,14,-8,14,-7,15,-6,15,-9,15,-6,14,-7,14,-7,13,-7,14,-7,15,-7,14,-9,13,-8,14,-7,14,-6,14,-5,14,-6,15,-4,14,-5,14,-4,13,-4,13,-3,14,-3,14,-1,12,-4,12,-3,13,0,11,-1,11,-1,12,0,11,0,11,0,11,1,9,1,10,1,9,2,0,0,0,0,0,0,0,0,0,0]"""
1782141516412,2026-06-23T00:18:36.412,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373395,1a:00:00:00:00:00,-66,11,-99,6,48,11,-1539529474,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,9,0,9,1,12,0,11,0,13,-1,14,0,13,-3,11,-2,12,-2,16,-3,13,-3,15,-4,14,-6,15,-6,14,-9,15,-7,14,-11,18,-10,17,-8,16,-11,13,-11,14,-11,17,-10,17,-11,14,-10,12,-12,14,-12,14,-12,14,-12,14,-13,17,-13,16,-12,15,-12,14,-12,12,-12,14,-12,17,-12,17,-9,15,-12,16,-12,15,-12,18,-10,18,-14,19,-13,19,-12,19,-12,17,-11,17,-11,19,-12,24,-10,19,-12,19,-14,19,-12,21,-15,19,-14,21,0,0,0,0,0,0,20,13,19,12,22,14,18,15,16,12,19,14,17,11,18,13,18,10,19,13,19,13,16,12,13,10,16,9,17,9,16,8,17,6,16,6,16,6,13,6,17,6,15,5,18,6,18,6,17,5,13,6,14,4,17,3,16,1,16,3,14,2,14,3,14,2,15,4,15,2,19,3,16,4,14,2,14,4,12,4,13,3,15,2,14,3,12,1,12,2,12,2,13,3,11,3,12,5,11,5,11,5,9,4,9,4,8,5,11,3,9,4,7,4,0,0,0,0,0,0,0,0,0,0]"""
1782141516415,2026-06-23T00:18:36.415,danger,fall,yja,chair_stand_to_sit_fall,t025,"CSI_DATA,3373396,1a:00:00:00:00:00,-65,11,-99,18,48,11,-1539518949,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,10,3,9,1,10,0,11,-1,12,-1,12,-3,12,-1,14,-5,12,-6,14,-7,14,-7,13,-9,14,-11,14,-8,14,-10,15,-11,14,-13,11,-13,11,-15,10,-17,12,-17,7,-16,8,-17,7,-17,7,-19,7,-20,6,-17,9,-17,7,-19,7,-17,6,-17,4,-18,5,-20,3,-21,5,-20,3,-19,4,-19,3,-21,3,-22,2,-19,7,-20,7,-21,4,-22,4,-19,2,-23,3,-22,0,-23,3,-24,1,-23,1,-25,3,-25,1,-24,1,-24,2,-25,0,-25,0,0,0,0,0,0,0,-3,25,-3,23,-4,20,-3,24,-4,23,-5,22,-4,20,-4,22,-5,20,-6,18,-4,20,-7,18,-4,20,-8,17,-4,17,-6,17,-7,17,-5,16,-6,17,-2,17,-3,16,-6,17,-4,15,-4,15,-6,15,-4,17,-6,15,-5,15,-6,15,-4,15,-5,17,-6,17,-3,15,-3,15,-4,15,-5,15,-6,12,-6,13,-8,13,-6,13,-8,13,-6,12,-7,11,-7,11,-9,10,-6,11,-7,11,-8,9,-8,8,-7,7,-7,7,-9,7,-8,7,-9,4,-7,5,-9,4,-9,3,0,0,0,0,0,0,0,0,0,0]"""
