pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782216215300,2026-06-23T21:03:35.300,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239879,1a:00:00:00:00:00,-56,11,-97,16,40,11,523807712,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-30,-18,-36,-18,-34,-22,-34,-24,-34,-28,-32,-30,-32,-32,-30,-39,-32,-41,-28,-39,-30,-41,-30,-41,-30,-45,-28,-49,-28,-47,-26,-49,-26,-51,-26,-49,-22,-53,-22,-55,-22,-55,-22,-51,-20,-53,-22,-57,-20,-53,-20,-53,-20,-53,-20,-51,-22,-49,-22,-49,-24,-49,-26,-49,-24,-49,-24,-47,-24,-45,-26,-45,-28,-45,-28,-43,-30,-41,-32,-41,-34,-43,-36,-41,-34,-43,-41,-41,-43,-43,-41,-41,-43,-41,-41,-39,-47,-39,-47,-39,-47,-41,-47,-39,-51,-39,-49,-39,-51,-39,-51,-36,-53,-36,0,0,0,0,0,0,-34,55,-34,53,-34,55,-34,53,-30,53,-30,53,-26,53,-28,53,-28,53,-24,51,-24,53,-22,53,-20,53,-18,51,-18,51,-12,55,-16,53,-14,51,-10,53,-6,53,-6,51,-8,49,-4,53,-2,55,-2,55,-2,53,-4,51,0,53,-2,53,2,53,0,55,2,55,0,53,0,55,0,55,0,57,0,57,-2,55,2,53,0,53,0,53,-4,51,-6,49,-2,49,-6,49,-6,47,-6,47,-8,47,-10,45,-8,41,-10,36,-10,41,-14,41,-16,39,-14,34,-18,34,-20,34,0,0,0,0,0,0,0,0,0,0]"""
1782216215307,2026-06-23T21:03:35.307,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239880,1a:00:00:00:00:00,-54,11,-97,16,39,11,523825972,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,39,-2,39,0,43,0,43,4,46,9,46,9,48,9,46,13,48,13,46,18,50,20,50,18,50,20,50,25,50,27,50,25,52,25,48,27,50,29,50,32,50,29,52,27,48,29,50,29,50,29,48,29,46,29,46,29,50,25,52,25,71,50,69,39,55,36,39,23,36,-4,23,23,87,27,76,-18,64,48,29,-23,39,39,36,-9,76,-11,23,-13,73,-6,29,-16,23,-9,52,13,6,4,46,-43,52,-34,92,25,85,-39,18,18,110,29,96,29,-16,16,0,0,0,0,0,0,43,-122,-82,-64,-52,-39,6,-105,52,-96,-46,-16,-18,-57,23,-62,-62,-57,-18,-59,-76,-69,-20,-62,6,-64,-43,-20,-36,-85,-66,-69,-18,-13,-9,-73,-43,-13,-50,-64,-64,-39,-46,-57,-13,-55,-6,-23,-36,-13,-52,-32,-23,-43,-50,-36,-48,-36,-48,-29,-48,-29,-46,-27,-46,-32,-46,-29,-46,-25,-46,-29,-46,-27,-46,-27,-48,-27,-43,-29,-46,-23,-43,-27,-39,-32,-39,-32,-36,-29,-41,-27,-36,-27,-39,-29,-32,-27,-32,-29,-34,-29,-29,-29,-23,-29,-25,-34,-25,-29,-20,-25,-18,-29,0,0,0,0,0,0,0,0,0,0]"""
1782216215316,2026-06-23T21:03:35.316,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239882,1a:00:00:00:00:00,-55,11,-97,11,39,11,523840712,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-15,39,-18,39,-21,34,-26,31,-26,34,-31,29,-37,29,-42,26,-45,29,-47,23,-53,18,-53,18,-53,15,-55,10,-55,13,-58,5,-58,2,-55,-5,-53,-7,-55,-2,-63,-13,-53,-15,-58,-15,-55,-15,-53,-18,-47,-21,-45,-26,-45,-26,-53,-29,-47,-18,-39,-39,-42,-45,-61,-39,-55,-29,-26,-77,-53,-58,-50,-21,-55,-26,-34,0,-71,-39,-53,-31,-71,-98,-61,-23,0,-47,-61,-31,-18,-5,-29,-34,-23,-63,-71,-58,-103,-34,5,-101,13,-55,-5,-47,-45,-50,-87,-79,-18,-141,-31,-26,0,0,0,0,0,0,-125,2,-69,18,-63,63,-103,39,-87,15,-34,26,-50,31,-85,-2,-7,-29,-69,10,-42,-2,-79,-42,-42,-29,-58,37,-26,21,-21,5,-31,7,-69,10,-10,-58,-103,10,-74,13,-47,0,-66,-18,-45,-5,-26,29,-53,31,-82,-10,-58,5,-58,-2,-50,-2,-50,-7,-50,-10,-61,-13,-55,-13,-53,-18,-53,-21,-50,-21,-53,-26,-47,-26,-47,-29,-45,-29,-37,-34,-39,-34,-39,-34,-34,-34,-34,-39,-26,-42,-23,-37,-18,-37,-18,-37,-13,-39,-10,-37,-10,-42,-7,-39,0,-39,0,-37,5,-37,0,0,0,0,0,0,0,0,0,0]"""
1782216215323,2026-06-23T21:03:35.323,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239883,1a:00:00:00:00:00,-56,11,-97,19,39,11,523851717,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,19,35,16,38,16,38,16,42,19,44,12,44,14,48,10,46,12,52,12,48,10,50,8,54,8,54,6,57,8,57,8,59,8,57,6,59,4,57,4,59,6,52,10,59,6,57,4,59,6,59,8,59,6,57,10,59,14,52,14,50,12,52,16,54,21,48,23,50,19,52,19,46,27,44,25,48,27,48,33,46,31,40,40,42,42,33,46,42,46,33,50,40,44,44,42,35,50,35,48,38,52,35,61,38,61,25,61,35,63,25,52,25,61,23,0,0,0,0,0,0,25,-65,21,-52,27,-63,16,-57,10,-59,12,-65,19,-63,4,-69,19,-65,-4,-71,8,-63,0,-54,-2,-59,-2,-48,4,-57,-10,-61,-12,-52,-12,-57,-21,-52,-19,-54,-23,-48,-23,-46,-19,-40,-31,-40,-29,-48,-31,-48,-29,-48,-35,-44,-33,-42,-35,-40,-35,-40,-33,-40,-40,-38,-40,-35,-40,-44,-38,-40,-38,-38,-40,-38,-38,-40,-35,-35,-40,-35,-38,-38,-40,-40,-35,-35,-33,-35,-33,-33,-33,-31,-33,-35,-29,-33,-29,-29,-29,-35,-23,-31,-25,-29,-21,-33,-21,-31,-21,-25,-16,-29,0,0,0,0,0,0,0,0,0,0]"""
1782216215331,2026-06-23T21:03:35.331,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239884,1a:00:00:00:00:00,-55,11,-97,18,38,11,523862776,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-34,-24,-39,-31,-46,-26,-43,-31,-39,-34,-53,-31,-43,-31,-56,-24,-53,-31,-51,-17,-53,-12,-56,-21,-65,-17,-65,-19,-70,-19,-63,-4,-65,-4,-73,-4,-80,2,-70,-14,-75,0,-70,4,-65,14,-65,19,-61,21,-65,21,-63,24,-73,34,-53,31,-61,34,-97,43,-9,61,-65,43,-14,24,-43,46,9,65,-46,97,-21,63,36,139,-14,117,-17,53,-36,41,-36,80,-31,24,51,48,29,80,17,51,9,92,63,58,17,61,14,-2,34,41,9,17,95,41,146,65,97,58,114,19,0,0,0,0,0,0,24,-163,12,-78,-97,-82,-39,-82,-19,-46,-80,-87,14,-95,-61,-124,-68,-73,-43,-63,2,-68,-17,-21,-97,-2,-97,-9,-82,-21,-4,-29,-68,36,-58,14,-104,-80,-36,63,-56,-78,-46,14,-31,24,-85,12,-36,29,-9,24,-2,56,-29,56,-26,51,-29,46,-29,51,-29,61,-17,63,-14,58,-14,65,-12,73,-4,61,4,65,-2,63,7,61,9,63,17,58,19,65,24,53,24,51,21,51,17,51,24,39,19,43,31,36,21,39,31,26,29,43,21,34,29,29,31,36,26,31,0,0,0,0,0,0,0,0,0,0]"""
1782216215339,2026-06-23T21:03:35.339,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239885,1a:00:00:00:00:00,-56,11,-97,15,40,11,523873712,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-25,-29,-25,-29,-23,-31,-23,-38,-21,-35,-19,-42,-21,-44,-19,-44,-19,-44,-14,-48,-12,-52,-12,-50,-10,-52,-8,-54,-6,-52,-10,-54,-8,-59,-4,-59,-2,-59,-2,-54,0,-57,-2,-59,0,-57,2,-61,0,-59,2,-59,2,-59,2,-57,0,-54,0,-54,0,-54,0,-54,-2,-54,-2,-52,-4,-54,-6,-54,-8,-54,-8,-52,-8,-50,-10,-54,-10,-54,-14,-52,-16,-57,-16,-57,-16,-54,-16,-52,-19,-52,-21,-52,-21,-52,-21,-54,-25,-54,-27,-54,-27,-59,-25,-61,-27,-59,-27,-61,-29,-57,0,0,0,0,0,0,-59,29,-54,29,-54,33,-59,31,-50,31,-52,29,-52,31,-52,29,-50,33,-50,31,-48,35,-44,31,-44,33,-42,31,-44,35,-40,31,-40,38,-38,33,-35,38,-38,40,-38,35,-33,40,-33,42,-31,42,-31,42,-33,40,-31,40,-31,44,-31,44,-33,46,-29,44,-31,44,-31,44,-31,44,-33,44,-31,48,-33,46,-29,44,-35,44,-31,40,-33,42,-38,38,-33,38,-35,38,-35,35,-33,35,-35,31,-33,31,-35,29,-33,27,-31,25,-35,25,-35,21,-35,21,-35,19,-33,19,-31,12,0,0,0,0,0,0,0,0,0,0]"""
1782216215347,2026-06-23T21:03:35.347,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239886,1a:00:00:00:00:00,-56,11,-97,15,40,11,523884712,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,29,25,33,25,33,25,38,16,38,21,42,16,48,12,42,6,46,6,48,4,52,6,52,-4,52,-2,52,-2,52,-4,59,-14,57,-10,59,-16,54,-23,52,-21,59,-21,52,-21,52,-25,52,-29,50,-27,52,-27,48,-27,46,-31,50,-31,46,-31,46,-29,44,-29,44,-33,44,-31,44,-33,44,-31,44,-31,46,-29,44,-31,46,-31,46,-27,46,-29,48,-29,46,-29,48,-31,48,-33,46,-33,48,-35,46,-35,48,-33,50,-33,50,-35,52,-38,50,-38,52,-42,50,-44,48,0,0,0,0,0,0,46,48,44,44,44,46,46,46,42,46,40,46,40,44,40,44,38,46,38,42,40,44,35,44,35,40,35,44,38,42,40,42,35,44,33,42,35,42,35,42,35,35,38,42,35,40,35,40,35,40,35,40,35,42,35,40,31,42,38,40,35,42,35,42,31,46,29,44,31,46,27,48,27,50,23,48,25,48,23,50,19,50,16,48,14,50,12,48,8,48,10,48,6,48,2,46,0,42,0,44,-4,44,-6,42,-8,40,-10,38,-10,33,-14,33,-16,31,0,0,0,0,0,0,0,0,0,0]"""
1782216215355,2026-06-23T21:03:35.355,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239887,1a:00:00:00:00:00,-56,11,-97,21,39,11,523895831,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-39,17,-33,21,-35,27,-35,27,-33,31,-31,33,-33,35,-29,41,-29,41,-27,47,-23,47,-23,47,-23,49,-17,51,-17,55,-13,53,-13,57,-9,53,-9,59,-5,59,-9,61,-3,57,-3,55,0,57,0,55,-1,59,5,55,1,55,3,53,3,53,5,53,3,57,1,55,3,55,1,55,1,55,5,53,0,55,3,55,1,55,3,55,1,55,1,59,-1,57,0,55,-3,57,-3,57,-3,59,0,61,-1,59,-1,59,0,63,0,63,0,65,0,65,1,67,3,0,0,0,0,0,0,5,-61,7,-67,7,-59,7,-61,5,-65,7,-61,7,-59,5,-61,5,-59,5,-57,5,-55,5,-53,3,-57,3,-55,7,-51,3,-51,1,-53,3,-53,3,-55,3,-51,-3,-53,1,-53,1,-47,1,-53,3,-51,1,-51,0,-55,0,-55,1,-55,3,-55,3,-53,3,-53,1,-57,7,-55,5,-53,9,-55,9,-55,11,-55,15,-53,11,-49,13,-51,13,-47,19,-47,21,-45,21,-43,23,-41,25,-39,25,-39,23,-35,25,-35,27,-33,29,-29,27,-29,27,-25,29,-23,29,-23,31,-17,0,0,0,0,0,0,0,0,0,0]"""
1782216215364,2026-06-23T21:03:35.364,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239888,1a:00:00:00:00:00,-56,11,-97,21,39,11,523906712,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-37,-7,-37,-15,-39,-17,-39,-21,-37,-23,-37,-27,-37,-29,-37,-31,-37,-35,-33,-37,-33,-41,-33,-43,-29,-43,-29,-47,-23,-49,-21,-51,-25,-53,-21,-55,-19,-53,-17,-55,-17,-53,-17,-59,-13,-57,-11,-57,-9,-61,-11,-59,-9,-57,-7,-55,-7,-53,-5,-55,-7,-53,-5,-55,-5,-55,-7,-51,-9,-55,-7,-55,-9,-55,-9,-53,-5,-53,-9,-51,-9,-53,-11,-53,-13,-55,-13,-55,-11,-55,-11,-53,-15,-59,-17,-53,-15,-57,-15,-61,-17,-61,-17,-59,-15,-59,-13,-63,-15,-63,-17,-63,-17,-63,0,0,0,0,0,0,-63,9,-61,9,-57,11,-61,11,-59,9,-57,5,-57,9,-63,9,-57,9,-59,7,-57,7,-55,9,-55,9,-53,9,-51,9,-53,15,-51,11,-49,11,-51,13,-49,11,-53,13,-51,15,-51,15,-49,13,-49,11,-51,13,-51,13,-51,15,-53,15,-51,15,-53,13,-51,11,-55,11,-51,11,-53,9,-53,9,-57,7,-53,3,-55,7,-53,3,-51,1,-51,0,-51,-1,-49,-3,-47,-7,-47,-7,-47,-7,-45,-9,-39,-13,-41,-11,-37,-11,-37,-15,-35,-19,-31,-17,-35,-21,-27,-21,-27,-23,0,0,0,0,0,0,0,0,0,0]"""
1782216215372,2026-06-23T21:03:35.372,danger,post_fall,lmh,post_bed_fall_inactive,t023,"CSI_DATA,239889,1a:00:00:00:00:00,-56,11,-97,15,40,11,523917712,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-40,-4,-42,-6,-40,-8,-42,-10,-42,-14,-44,-14,-42,-14,-44,-19,-46,-19,-48,-21,-46,-23,-46,-23,-48,-25,-46,-25,-48,-27,-50,-27,-50,-27,-50,-29,-50,-31,-46,-29,-46,-33,-48,-29,-50,-29,-52,-29,-50,-29,-50,-25,-48,-31,-48,-25,-48,-25,-50,-25,-50,-25,-50,-23,-52,-21,-50,-19,-52,-16,-48,-14,-52,-12,-52,-8,-54,-6,-54,-6,-52,-4,-54,-2,-57,0,-57,0,-57,4,-59,6,-57,8,-54,10,-59,10,-61,14,-61,14,-57,16,-57,21,-61,19,-63,23,-63,21,-61,23,0,0,0,0,0,0,25,59,29,59,31,57,29,54,33,54,33,50,33,52,33,50,33,46,35,46,33,44,40,40,40,38,40,38,42,35,42,29,44,29,46,29,44,27,44,27,50,25,48,25,46,19,52,16,50,21,50,19,52,16,57,12,54,10,54,8,52,10,54,8,57,10,57,8,52,8,57,10,54,8,54,6,54,8,54,6,50,8,54,8,52,8,52,6,48,12,48,8,46,10,46,6,44,8,44,4,42,10,40,10,38,12,38,10,35,10,38,12,33,10,0,0,0,0,0,0,0,0,0,0]"""
