pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782276904483,2026-06-24T13:55:04.483,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111150,1a:00:00:00:00:00,-39,11,-99,31,20,11,1395831806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,1,16,5,16,6,22,8,17,6,22,7,22,10,18,11,22,8,20,8,26,11,25,11,26,11,22,6,26,15,20,8,27,10,23,11,32,17,22,16,16,12,26,11,21,10,32,8,36,8,30,11,28,7,33,15,25,7,37,11,26,3,39,8,32,12,27,6,30,10,32,2,27,0,36,-3,31,-2,28,-3,37,-8,28,-7,36,-11,33,-7,46,-12,41,-13,36,-11,39,-12,35,-13,37,-16,31,-22,32,-18,39,-22,32,-25,36,-21,39,-31,32,-23,0,0,0,0,0,0,-25,-33,-22,-26,-39,-36,-31,-32,-23,-20,-31,-32,-23,-20,-35,-28,-28,-21,-36,-28,-33,-25,-31,-22,-32,-17,-27,-15,-36,-17,-33,-13,-33,-8,-36,-5,-35,-13,-28,-5,-39,-2,-36,-1,-41,-3,-37,-5,-36,-1,-32,-3,-31,0,-36,7,-33,11,-33,10,-33,10,-39,7,-33,6,-37,11,-32,6,-49,13,-40,10,-36,12,-35,6,-33,10,-31,11,-37,18,-32,13,-33,15,-36,11,-25,13,-37,15,-30,8,-44,10,-33,5,-35,6,-32,3,-30,6,-23,5,-32,7,-31,10,-26,5,0,0,0,0,0,0,0,0,0,0]"""
1782276904493,2026-06-24T13:55:04.493,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111151,1a:00:00:00:00:00,-39,11,-99,30,20,11,1395842806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,18,-3,19,-5,15,-9,18,-5,14,-9,20,-9,23,-15,16,-12,19,-9,19,-10,23,-11,25,-11,24,-11,23,-14,27,-11,24,-15,24,-11,25,-16,29,-22,25,-19,22,-14,24,-18,25,-16,31,-14,29,-12,29,-10,25,-12,28,-12,28,-11,33,-7,28,-12,38,-11,33,-12,32,-12,28,-7,32,-6,29,1,34,-3,34,0,31,1,31,5,31,7,37,9,36,5,45,3,33,7,38,7,37,6,34,16,34,23,44,7,38,15,42,16,44,25,40,20,37,24,38,0,0,0,0,0,0,36,-16,32,-15,40,-25,37,-20,28,-16,37,-27,33,-27,33,-31,28,-24,37,-29,37,-27,28,-23,27,-25,25,-25,25,-36,19,-29,22,-33,14,-28,22,-27,16,-33,16,-33,14,-31,14,-34,16,-32,14,-31,10,-29,10,-34,2,-40,6,-33,6,-40,-2,-37,5,-36,0,-33,-1,-38,1,-38,2,-49,6,-41,1,-41,5,-38,0,-32,1,-36,-3,-42,-5,-40,-5,-32,3,-37,0,-36,2,-36,2,-38,6,-41,6,-34,7,-29,7,-27,7,-25,7,-28,5,-36,5,-28,10,-28,0,0,0,0,0,0,0,0,0,0]"""
1782276904501,2026-06-24T13:55:04.501,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111152,1a:00:00:00:00:00,-39,11,-99,28,21,11,1395853841,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,3,-17,3,-19,2,-19,0,-22,-1,-18,1,-18,0,-20,-1,-26,-2,-23,-1,-22,-8,-25,-6,-26,-6,-25,-12,-26,-13,-25,-12,-26,-13,-24,-18,-23,-15,-22,-9,-23,-17,-30,-17,-26,-17,-22,-20,-25,-20,-26,-19,-23,-22,-25,-23,-22,-24,-23,-22,-20,-22,-23,-18,-24,-18,-26,-17,-26,-17,-29,-17,-26,-18,-23,-23,-28,-18,-30,-23,-26,-23,-26,-19,-28,-24,-28,-22,-26,-18,-30,-18,-33,-19,-34,-14,-35,-22,-34,-19,-29,-23,-35,-23,-35,-25,-34,-19,-35,-30,-36,-23,-33,-23,0,0,0,0,0,0,-30,33,-29,34,-25,30,-31,33,-31,34,-34,26,-33,31,-26,29,-31,26,-23,28,-20,28,-23,30,-23,34,-23,34,-26,25,-20,29,-22,31,-23,29,-25,30,-22,29,-20,30,-23,28,-15,24,-17,29,-19,31,-18,35,-18,31,-19,28,-19,35,-17,34,-22,33,-23,35,-23,30,-23,31,-23,28,-20,29,-20,30,-19,30,-22,33,-25,33,-24,30,-29,24,-26,26,-31,26,-31,23,-29,19,-33,15,-33,18,-25,15,-28,14,-28,15,-29,18,-30,13,-29,12,-28,3,-30,3,-31,1,0,0,0,0,0,0,0,0,0,0]"""
1782276904510,2026-06-24T13:55:04.510,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111153,1a:00:00:00:00:00,-39,11,-99,32,20,11,1395864806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-18,2,-19,1,-17,3,-22,2,-17,3,-25,7,-20,6,-20,2,-22,9,-24,12,-28,8,-23,6,-29,8,-28,9,-29,13,-23,11,-28,11,-23,18,-30,6,-23,9,-20,11,-26,15,-25,14,-33,9,-26,14,-31,12,-26,17,-31,9,-24,11,-30,12,-26,8,-34,12,-31,6,-35,8,-34,8,-35,6,-31,1,-31,3,-33,2,-31,3,-37,0,-30,-3,-37,0,-39,0,-42,-1,-34,-9,-37,-6,-45,-2,-35,-13,-36,-13,-44,-7,-42,-9,-39,-9,-37,-11,-41,-17,-50,-7,-42,0,0,0,0,0,0,-55,8,-40,13,-41,15,-40,19,-35,18,-50,18,-34,17,-44,20,-35,15,-42,20,-37,20,-33,11,-37,24,-28,22,-35,23,-33,22,-31,30,-28,22,-33,24,-20,23,-25,31,-26,25,-25,31,-19,31,-24,28,-22,31,-20,29,-20,29,-22,31,-17,33,-19,31,-24,40,-15,28,-17,31,-15,36,-20,45,-19,33,-13,36,-19,33,-19,35,-14,31,-9,33,-17,36,-15,30,-23,33,-13,33,-18,35,-17,26,-23,33,-15,28,-18,28,-18,24,-22,26,-19,19,-22,22,-24,20,-26,19,0,0,0,0,0,0,0,0,0,0]"""
1782276904518,2026-06-24T13:55:04.518,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111154,1a:00:00:00:00:00,-39,11,-99,28,21,11,1395875806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,1,19,2,15,2,19,3,19,1,25,4,23,6,20,8,24,4,19,8,24,8,24,8,26,7,23,9,28,17,22,9,29,13,23,13,33,15,25,19,20,19,26,13,22,14,28,17,30,14,28,13,26,14,33,17,24,11,31,14,24,14,37,13,29,14,29,12,30,14,29,13,25,8,31,8,34,7,30,3,35,8,28,0,39,3,34,6,45,3,35,6,37,0,37,4,35,1,36,-1,41,-2,37,-7,44,-3,37,-2,41,-6,48,-7,41,-3,0,0,0,0,0,0,-4,-44,-2,-37,-6,-50,-2,-44,-7,-33,-7,-46,-7,-34,-8,-47,-8,-35,-11,-44,-9,-40,-4,-34,-11,-36,-9,-34,-12,-36,-15,-34,-18,-33,-15,-30,-15,-37,-14,-23,-24,-31,-17,-29,-25,-35,-19,-33,-19,-31,-19,-29,-17,-26,-25,-26,-25,-26,-25,-23,-23,-24,-25,-31,-24,-19,-30,-26,-25,-26,-37,-36,-22,-29,-26,-29,-25,-30,-25,-26,-23,-24,-29,-28,-29,-25,-24,-24,-23,-30,-23,-19,-25,-31,-17,-26,-23,-36,-14,-28,-17,-28,-12,-28,-14,-28,-9,-25,-12,-31,-12,-28,-8,-31,0,0,0,0,0,0,0,0,0,0]"""
1782276904531,2026-06-24T13:55:04.531,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111155,1a:00:00:00:00:00,-39,11,-99,32,20,11,1395886806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,-3,-14,-4,-15,-7,-17,-8,-19,-8,-20,-15,-15,-9,-22,-14,-18,-15,-23,-15,-19,-13,-19,-17,-18,-17,-23,-22,-20,-15,-22,-25,-23,-24,-18,-23,-12,-22,-17,-19,-17,-22,-23,-19,-22,-26,-19,-22,-15,-24,-18,-25,-22,-28,-22,-20,-23,-31,-22,-23,-20,-25,-22,-25,-22,-23,-20,-25,-29,-25,-25,-20,-28,-22,-23,-22,-26,-26,-29,-17,-28,-19,-30,-25,-29,-20,-33,-15,-29,-19,-34,-15,-30,-17,-39,-13,-34,-14,-30,-13,-35,-17,-41,-20,-36,-19,-37,-19,-37,-22,-42,-18,-37,-15,0,0,0,0,0,0,-17,42,-13,48,-12,36,-14,42,-20,41,-18,37,-13,39,-12,40,-11,42,-15,37,-8,34,-8,40,-9,37,-3,39,-6,35,-7,40,-9,37,-1,37,-2,34,-3,42,0,35,0,37,-3,31,1,33,1,44,-1,36,1,36,6,37,4,39,1,37,4,39,12,36,0,42,4,39,4,37,1,34,11,44,7,36,7,34,4,40,6,41,2,39,2,41,1,41,1,42,0,37,-2,36,1,36,-2,28,-3,37,-7,33,-1,34,-6,33,-8,29,-11,29,-11,24,-12,24,0,0,0,0,0,0,0,0,0,0]"""
1782276904543,2026-06-24T13:55:04.543,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111156,1a:00:00:00:00:00,-39,11,-99,29,21,11,1395897806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-3,15,-1,19,-1,19,1,20,-1,22,0,21,-1,23,-2,21,2,24,-1,24,-1,23,0,26,-1,26,0,27,2,29,3,29,2,30,1,29,1,34,4,36,1,28,3,33,-3,30,-2,30,-3,32,-3,30,-2,29,-3,33,-2,30,-5,32,-5,32,-7,33,-7,32,-9,28,-15,28,-10,29,-14,29,-15,28,-17,26,-20,24,-20,29,-20,28,-22,23,-26,24,-26,26,-30,24,-28,20,-27,21,-29,22,-34,22,-38,20,-35,20,-36,21,-39,19,-39,16,-39,16,-39,0,0,0,0,0,0,-40,-10,-42,-13,-42,-5,-40,-10,-45,-5,-38,-5,-43,-3,-41,-2,-42,0,-41,-1,-40,1,-39,4,-35,2,-38,10,-39,9,-34,11,-34,15,-35,14,-29,15,-34,14,-30,17,-30,19,-28,20,-30,21,-26,24,-24,22,-26,28,-23,29,-24,29,-20,32,-22,32,-17,29,-26,32,-20,29,-19,32,-22,30,-19,38,-20,34,-15,34,-19,32,-17,33,-17,35,-17,35,-15,33,-15,30,-19,32,-20,29,-14,34,-17,28,-17,32,-17,27,-14,28,-16,23,-16,28,-16,28,-13,21,-16,21,0,0,0,0,0,0,0,0,0,0]"""
1782276904555,2026-06-24T13:55:04.555,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111157,1a:00:00:00:00:00,-39,11,-99,32,20,11,1395908806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-15,1,-18,2,-14,4,-19,7,-17,9,-24,8,-20,13,-19,13,-20,9,-18,13,-20,14,-20,15,-19,14,-22,20,-23,17,-18,17,-24,23,-17,28,-20,23,-19,22,-11,24,-23,18,-17,26,-22,24,-20,25,-18,26,-22,33,-20,20,-15,29,-22,23,-18,29,-25,26,-20,23,-22,22,-18,23,-24,18,-19,25,-23,22,-24,23,-22,28,-22,18,-28,24,-33,26,-26,26,-42,20,-26,25,-37,25,-30,24,-28,20,-29,24,-36,20,-33,28,-35,26,-34,25,-37,28,-40,29,-37,0,0,0,0,0,0,-33,-29,-22,-19,-45,-31,-35,-26,-33,-18,-40,-24,-28,-17,-36,-29,-30,-15,-36,-30,-36,-25,-33,-23,-36,-19,-29,-18,-36,-23,-34,-20,-36,-17,-30,-15,-39,-25,-30,-11,-37,-14,-31,-13,-40,-19,-37,-13,-29,-12,-39,-13,-30,-14,-36,-14,-37,-12,-34,-9,-33,-14,-44,-17,-30,-9,-41,-11,-33,-11,-46,-17,-31,-14,-36,-12,-34,-17,-35,-12,-31,-14,-34,-14,-33,-15,-31,-12,-33,-22,-30,-15,-37,-15,-22,-19,-36,-28,-25,-19,-31,-20,-22,-23,-20,-22,-17,-22,-14,-22,-18,-24,-14,-28,0,0,0,0,0,0,0,0,0,0]"""
1782276904563,2026-06-24T13:55:04.563,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111158,1a:00:00:00:00:00,-39,11,-99,28,21,11,1395919806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,13,8,17,9,11,8,17,13,14,12,15,17,14,18,11,18,15,18,12,18,15,22,14,23,15,22,13,23,12,28,9,20,13,29,13,25,12,31,7,31,3,30,8,28,4,29,8,30,9,31,7,30,6,28,4,35,7,23,9,33,4,28,11,39,3,34,8,31,7,31,7,30,7,25,13,31,12,30,9,28,8,33,15,25,14,34,11,33,18,41,7,33,15,34,9,36,14,31,17,35,22,36,22,33,17,40,18,36,23,36,19,42,14,40,0,0,0,0,0,0,44,-12,34,-14,48,-20,41,-12,31,-12,45,-13,33,-13,45,-17,33,-14,44,-15,39,-14,36,-9,36,-15,29,-12,37,-14,33,-18,31,-19,29,-15,39,-17,24,-17,30,-19,29,-17,36,-23,33,-18,29,-17,30,-18,28,-14,29,-22,30,-23,25,-22,28,-19,37,-19,24,-20,31,-24,30,-20,40,-28,36,-17,34,-19,36,-15,33,-14,31,-14,36,-19,35,-17,31,-14,36,-12,30,-13,36,-13,34,-8,42,-7,30,-1,34,-2,29,1,30,0,30,1,31,2,29,1,29,4,0,0,0,0,0,0,0,0,0,0]"""
1782276904573,2026-06-24T13:55:04.573,danger,post_fall,mhw,post_bed_fall_inactive,t027,"CSI_DATA,111159,1a:00:00:00:00:00,-39,11,-99,30,20,11,1395930806,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,12,-10,10,-9,15,-11,15,-14,18,-7,19,-6,18,-12,16,-10,22,-11,20,-16,20,-7,27,-10,23,-10,28,-11,23,-11,31,-11,28,-11,27,-9,27,-9,22,-7,25,-9,34,-14,33,-12,27,-12,31,-10,28,-11,33,-11,28,-15,34,-12,31,-12,33,-12,23,-11,24,-19,31,-15,27,-24,28,-22,24,-27,24,-19,28,-24,25,-27,24,-27,27,-28,20,-27,19,-33,20,-22,20,-33,22,-28,14,-37,18,-41,14,-34,18,-31,20,-40,19,-41,18,-42,15,-41,15,-47,7,-42,0,0,0,0,0,0,-45,-10,-45,-19,-34,-6,-37,-6,-45,-10,-45,-9,-44,-6,-37,-9,-41,-5,-38,-1,-34,-2,-38,0,-40,0,-46,0,-40,-3,-37,1,-36,3,-41,-1,-38,7,-40,10,-34,6,-34,9,-25,12,-31,14,-36,15,-33,19,-34,16,-27,12,-37,18,-34,22,-36,19,-31,24,-42,20,-31,20,-31,19,-25,18,-25,28,-29,20,-27,28,-33,23,-33,25,-27,16,-33,20,-33,19,-32,22,-33,19,-31,12,-31,19,-23,11,-25,15,-25,14,-28,20,-28,14,-29,11,-20,9,-31,6,-29,9,0,0,0,0,0,0,0,0,0,0]"""
