pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782202652091,2026-06-23T17:17:32.091,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663338,1a:00:00:00:00:00,-38,11,-99,32,18,11,-1412715933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-35,15,-37,17,-35,11,-49,15,-35,9,-47,11,-47,5,-41,5,-51,13,-49,0,-47,5,-55,-1,-55,3,-59,1,-61,0,-53,3,-61,7,-57,1,-67,0,-51,-3,-49,-5,-57,1,-55,-5,-61,3,-61,0,-57,1,-55,0,-65,7,-49,7,-59,11,-55,-1,-69,9,-53,9,-59,15,-53,13,-53,15,-43,15,-53,23,-55,21,-51,19,-55,21,-49,29,-55,35,-49,31,-55,31,-43,29,-49,37,-49,33,-49,37,-45,39,-53,47,-53,45,-51,43,-49,47,-47,51,-59,45,-57,55,0,0,0,0,0,0,59,55,55,33,57,53,59,45,49,33,57,43,47,33,67,41,49,39,57,35,51,31,49,33,63,27,53,27,53,21,55,21,53,21,57,21,59,21,53,9,63,7,53,9,57,5,61,11,51,9,59,7,55,5,53,1,61,7,53,1,49,3,59,3,51,-3,49,-7,55,0,65,-3,53,0,61,-7,57,-1,55,-3,51,-3,53,1,53,-3,51,-1,53,1,49,-7,49,-5,49,1,51,7,43,3,47,7,45,5,45,7,39,11,43,11,31,17,31,13,0,0,0,0,0,0,0,0,0,0]"""
1782202652102,2026-06-23T17:17:32.102,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663339,1a:00:00:00:00:00,-38,11,-99,27,19,11,-1412704647,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,36,24,34,26,28,30,36,28,30,32,30,32,34,32,34,36,36,41,34,39,28,39,26,47,32,45,24,49,24,53,24,51,30,59,18,57,24,51,20,47,8,49,24,55,16,59,16,51,20,59,18,51,16,61,20,61,20,55,16,55,16,59,18,47,24,47,28,51,24,51,30,57,22,51,20,51,24,49,30,55,26,55,30,51,30,49,28,55,34,43,36,51,39,43,39,45,43,53,49,53,39,51,47,59,51,53,36,57,45,61,49,47,49,53,0,0,0,0,0,0,67,-51,55,-45,53,-45,55,-51,57,-49,61,-34,51,-36,51,-41,49,-39,51,-32,41,-47,47,-41,47,-45,47,-36,45,-32,45,-45,43,-45,39,-43,39,-43,43,-43,34,-47,39,-47,30,-41,34,-47,34,-45,28,-53,32,-47,34,-36,32,-45,28,-51,41,-43,36,-49,30,-45,28,-51,34,-49,30,-45,30,-45,30,-49,28,-43,32,-49,30,-41,36,-34,34,-41,39,-39,41,-34,36,-34,43,-32,36,-26,34,-30,32,-26,36,-26,30,-26,36,-22,32,-20,43,-10,39,-6,36,-6,0,0,0,0,0,0,0,0,0,0]"""
1782202652113,2026-06-23T17:17:32.113,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663340,1a:00:00:00:00:00,-38,11,-99,28,19,11,-1412693933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,35,-1,43,0,37,-3,47,-3,41,-11,53,-15,45,-13,41,-19,51,-21,41,-19,45,-25,45,-23,47,-27,45,-39,51,-29,35,-33,45,-35,39,-45,45,-53,41,-47,31,-41,39,-41,33,-49,35,-45,37,-45,41,-43,29,-53,33,-43,31,-45,39,-43,27,-57,41,-49,27,-45,31,-49,31,-45,29,-43,27,-45,31,-45,27,-41,25,-47,31,-33,33,-47,43,-47,29,-61,37,-41,29,-51,35,-49,31,-45,31,-47,31,-49,43,-53,39,-63,43,-49,27,-57,37,-59,45,-67,35,0,0,0,0,0,0,39,67,27,59,37,67,21,63,29,51,31,77,21,49,31,69,29,51,25,65,21,61,13,57,25,53,13,51,25,59,19,57,25,55,23,53,15,59,21,45,27,57,15,49,23,55,25,55,13,51,17,51,15,45,27,51,17,53,19,49,19,53,13,65,13,43,17,57,11,51,13,67,7,53,11,51,11,53,1,53,1,49,3,57,3,49,1,51,-7,53,-1,45,-5,47,-7,47,-13,49,-13,39,-11,43,-15,35,-19,35,-23,31,-23,39,-21,29,-25,27,0,0,0,0,0,0,0,0,0,0]"""
1782202652124,2026-06-23T17:17:32.124,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663341,1a:00:00:00:00:00,-38,11,-99,27,19,11,-1412682385,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,-36,-2,-45,-2,-41,0,-41,-2,-45,4,-41,10,-45,16,-45,14,-53,18,-51,18,-49,18,-49,22,-47,26,-55,26,-51,24,-53,20,-51,28,-47,28,-47,30,-51,34,-30,32,-51,39,-41,36,-45,39,-43,36,-47,36,-39,41,-47,34,-45,30,-47,34,-45,30,-47,34,-45,34,-41,32,-43,30,-47,30,-43,32,-47,32,-51,32,-49,32,-47,22,-49,22,-55,32,-57,28,-53,26,-47,22,-59,32,-51,28,-57,28,-65,28,-63,22,-61,34,-65,30,-61,18,-67,26,-69,26,-67,0,0,0,0,0,0,-65,-30,-59,-26,-59,-28,-63,-28,-59,-30,-53,-32,-57,-26,-65,-24,-57,-30,-49,-30,-51,-24,-51,-30,-63,-22,-53,-34,-49,-24,-49,-22,-57,-24,-57,-20,-61,-30,-53,-10,-57,-14,-57,-16,-49,-12,-53,-12,-47,-24,-53,-14,-57,-16,-49,-12,-55,-22,-55,-14,-55,-16,-55,-16,-55,-8,-55,-10,-55,-14,-57,-14,-51,-18,-53,-16,-55,-18,-53,-20,-45,-18,-51,-22,-53,-22,-49,-24,-47,-24,-47,-24,-41,-24,-43,-26,-34,-30,-30,-26,-32,-26,-30,-22,-28,-24,-24,-36,-20,-32,-20,-26,-16,-32,0,0,0,0,0,0,0,0,0,0]"""
1782202652135,2026-06-23T17:17:32.135,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663342,1a:00:00:00:00:00,-38,11,-99,29,19,11,-1412671896,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,40,-19,29,-15,38,-21,32,-27,38,-23,34,-31,32,-29,36,-36,36,-40,38,-42,27,-44,32,-48,34,-58,25,-58,25,-56,21,-54,19,-58,15,-50,9,-60,21,-56,21,-62,9,-58,11,-56,9,-67,7,-56,7,-60,3,-56,0,-62,5,-54,3,-52,-3,-54,3,-54,1,-58,5,-63,5,-60,0,-56,5,-56,1,-56,5,-60,-1,-60,0,-56,5,-62,0,-63,3,-52,-3,-54,5,-63,7,-58,9,-71,5,-62,5,-62,-9,-71,5,-67,-1,-63,-3,-65,-3,-69,-5,-67,-5,0,0,0,0,0,0,-1,75,-23,73,-5,65,-9,63,-15,69,-25,60,-19,67,-21,62,-32,67,-19,56,-19,56,-15,58,-15,60,-17,60,-23,52,-19,60,-11,60,-23,58,-25,58,-19,56,-21,54,-25,52,-15,50,-17,48,-15,56,-17,62,-17,54,-21,48,-21,48,-23,52,-29,46,-25,52,-27,54,-29,52,-31,46,-27,44,-27,44,-29,50,-29,44,-34,48,-29,40,-38,34,-38,38,-40,36,-42,31,-34,29,-38,25,-38,23,-29,23,-38,19,-32,15,-38,21,-42,13,-40,13,-38,5,-38,3,-36,0,0,0,0,0,0,0,0,0,0,0]"""
1782202652146,2026-06-23T17:17:32.146,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663343,1a:00:00:00:00:00,-38,11,-99,27,19,11,-1412660933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-43,-14,-30,-20,-43,-24,-34,-18,-34,-26,-30,-28,-39,-30,-36,-34,-30,-36,-41,-41,-30,-39,-26,-47,-28,-45,-28,-51,-18,-43,-28,-61,-24,-41,-18,-57,-14,-47,-26,-45,-22,-55,-24,-53,-16,-59,-12,-59,-10,-59,-16,-61,-14,-57,-16,-51,-8,-65,-8,-47,-8,-55,-10,-51,-20,-59,-14,-53,-20,-55,-20,-55,-22,-57,-12,-55,-12,-55,-16,-55,-20,-53,-18,-57,-14,-55,-26,-57,-16,-49,-30,-51,-18,-57,-36,-51,-24,-61,-30,-61,-26,-55,-20,-67,-18,-61,-20,-69,-22,-71,-24,-57,-22,-78,0,0,0,0,0,0,-65,26,-69,26,-59,14,-69,18,-78,30,-59,14,-75,18,-61,16,-71,16,-55,12,-51,16,-59,22,-55,20,-65,22,-59,14,-51,20,-59,22,-57,18,-47,16,-63,14,-47,20,-55,24,-45,22,-49,24,-55,20,-51,22,-53,28,-57,18,-55,18,-55,24,-55,16,-43,22,-61,16,-49,20,-49,18,-43,14,-55,24,-53,16,-53,26,-53,14,-55,12,-49,2,-55,0,-57,10,-53,4,-51,2,-45,-4,-53,6,-36,-4,-43,0,-41,-6,-41,2,-39,-8,-47,-14,-39,-16,-28,-18,-28,-18,0,0,0,0,0,0,0,0,0,0]"""
1782202652157,2026-06-23T17:17:32.157,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663344,1a:00:00:00:00:00,-38,11,-99,32,18,11,-1412649933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,43,-3,45,0,43,-9,43,-19,45,-19,43,-21,41,-25,43,-25,51,-29,43,-35,41,-39,43,-33,41,-39,41,-45,33,-41,39,-43,35,-55,31,-49,25,-45,35,-47,25,-55,23,-53,27,-53,21,-59,17,-53,15,-61,17,-57,13,-53,15,-47,19,-59,11,-59,13,-51,9,-55,15,-57,13,-49,11,-53,11,-55,11,-57,13,-61,13,-57,5,-57,15,-59,11,-65,9,-49,5,-49,13,-63,5,-57,11,-63,11,-63,11,-71,9,-69,11,-73,7,-75,7,-75,-1,-73,0,-67,5,0,0,0,0,0,0,-11,81,-9,73,-13,67,-13,79,-13,73,-17,67,-21,61,-15,65,-21,61,-13,59,-11,55,-25,53,-5,67,-25,61,-23,59,-15,57,-17,57,-19,59,-19,51,-15,57,-17,55,-27,55,-15,49,-17,51,-19,51,-23,55,-23,49,-25,53,-23,51,-19,55,-27,49,-29,53,-25,51,-27,53,-29,49,-27,45,-31,41,-33,39,-33,45,-35,39,-37,39,-43,29,-45,39,-45,29,-43,25,-39,29,-45,25,-47,23,-39,13,-41,17,-41,11,-39,5,-43,7,-45,3,-35,1,-37,-3,-35,-3,0,0,0,0,0,0,0,0,0,0]"""
1782202652168,2026-06-23T17:17:32.168,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663345,1a:00:00:00:00:00,-38,11,-99,27,19,11,-1412638933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,-34,-6,-36,-8,-47,-8,-41,0,-49,-2,-41,-6,-45,2,-51,2,-53,2,-55,4,-51,6,-49,2,-55,8,-55,10,-53,14,-65,8,-53,16,-63,14,-47,8,-43,6,-49,8,-61,14,-61,14,-57,16,-63,12,-53,18,-61,8,-55,12,-67,8,-51,2,-57,4,-55,-4,-53,-2,-55,-6,-57,-8,-63,-6,-59,0,-47,-6,-57,-10,-59,-10,-53,-12,-59,-10,-55,-20,-59,-22,-41,-26,-51,-20,-55,-32,-55,-39,-55,-32,-61,-22,-51,-30,-53,-30,-63,-34,-59,-39,-59,-39,-61,-49,-45,0,0,0,0,0,0,-53,39,-67,49,-45,47,-59,49,-55,53,-41,30,-55,43,-41,39,-55,55,-39,39,-41,43,-47,47,-34,49,-41,55,-43,43,-28,41,-36,55,-39,49,-28,47,-32,55,-18,49,-24,55,-18,43,-16,47,-26,53,-14,57,-20,59,-20,51,-22,53,-14,55,-22,57,-12,53,-18,63,-12,49,-6,53,-10,47,-4,57,-8,55,-8,55,-14,61,-10,55,-16,51,-16,51,-14,51,-16,55,-18,51,-18,41,-12,45,-10,34,-14,45,-16,36,-6,43,-18,39,-18,39,-20,30,-20,32,-20,26,0,0,0,0,0,0,0,0,0,0]"""
1782202652179,2026-06-23T17:17:32.179,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663346,1a:00:00:00:00:00,-38,11,-99,27,19,11,-1412627933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-39,-12,-32,-18,-39,-24,-41,-20,-41,-32,-34,-24,-39,-28,-41,-32,-34,-30,-45,-32,-36,-34,-39,-34,-41,-36,-30,-39,-30,-47,-34,-53,-34,-43,-28,-55,-30,-51,-26,-41,-28,-51,-32,-51,-30,-59,-26,-51,-28,-51,-32,-47,-32,-57,-18,-51,-24,-61,-18,-55,-20,-53,-26,-43,-32,-49,-28,-49,-32,-45,-39,-51,-30,-53,-26,-45,-36,-53,-41,-47,-34,-45,-36,-51,-36,-43,-36,-47,-32,-36,-43,-41,-43,-36,-47,-34,-45,-49,-53,-41,-49,-45,-36,-45,-47,-47,-49,-53,-51,-45,-55,-39,-55,-55,0,0,0,0,0,0,-51,59,-69,61,-43,51,-49,45,-49,57,-45,49,-53,51,-45,43,-49,45,-43,43,-36,43,-41,41,-47,49,-43,49,-43,45,-39,49,-34,57,-36,47,-32,41,-41,45,-30,45,-39,43,-26,41,-26,45,-32,49,-26,49,-32,51,-26,45,-30,57,-20,51,-32,51,-28,51,-34,53,-26,43,-28,43,-28,43,-30,53,-26,45,-28,53,-28,47,-26,43,-34,34,-32,41,-39,39,-32,34,-36,32,-34,28,-39,32,-28,24,-34,28,-32,26,-32,28,-36,28,-34,22,-32,16,-32,16,-32,12,0,0,0,0,0,0,0,0,0,0]"""
1782202652190,2026-06-23T17:17:32.190,danger,post_fall,mhw,post_chair_fall_inactive,t019,"CSI_DATA,1663347,1a:00:00:00:00:00,-38,11,-99,27,19,11,-1412616933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-36,-18,-30,-18,-36,-20,-36,-26,-34,-20,-39,-28,-34,-39,-39,-36,-32,-36,-30,-34,-45,-30,-39,-36,-43,-36,-39,-36,-32,-45,-36,-49,-36,-47,-45,-45,-32,-49,-32,-57,-34,-53,-20,-45,-34,-49,-41,-51,-34,-49,-36,-47,-32,-45,-34,-41,-30,-49,-30,-39,-41,-41,-41,-51,-39,-47,-36,-45,-39,-39,-36,-34,-43,-36,-53,-32,-51,-39,-45,-30,-49,-26,-49,-30,-47,-30,-55,-26,-51,-28,-57,-26,-53,-26,-49,-24,-53,-26,-63,-26,-67,-20,-59,-22,-69,-26,-65,-24,-61,-20,-63,-18,-65,-18,0,0,0,0,0,0,-14,53,-20,73,-6,75,-12,63,-16,69,-10,65,-14,67,-14,75,-10,69,-12,63,-12,65,-8,57,-16,53,-4,63,-2,65,2,61,6,59,0,61,0,53,6,59,14,57,6,53,8,53,8,61,10,57,6,57,10,57,18,55,16,57,16,47,14,51,22,49,16,59,24,51,16,53,20,57,14,59,10,55,16,55,10,45,18,59,18,51,8,53,16,47,14,47,10,47,8,49,18,53,4,47,4,51,6,45,0,43,-2,32,2,45,0,43,-6,36,-8,36,0,0,0,0,0,0,0,0,0,0]"""
