pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782184254124,2026-06-23T12:10:54.124,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125807,1a:00:00:00:00:00,-68,11,-99,18,53,11,633474737,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,6,-4,6,-6,7,-5,6,-7,7,-6,6,-8,8,-8,7,-10,6,-12,7,-12,4,-13,5,-14,6,-16,2,-14,3,-16,4,-13,2,-18,0,-13,3,-18,1,-20,2,-16,0,-19,0,-16,-2,-19,-2,-17,-1,-17,-3,-16,-3,-20,0,-16,-2,-18,-3,-16,-1,-18,-1,-19,0,-19,0,-20,-2,-18,-1,-18,-3,-20,-1,-20,-2,-20,-3,-20,-2,-20,-3,-20,-3,-17,-1,-19,-1,-21,0,-23,0,-23,0,-24,-2,-23,-5,-25,-3,-26,-5,-25,-3,-26,-5,-25,-4,-27,-4,0,0,0,0,0,0,-8,25,-10,29,-7,23,-7,25,-8,24,-9,22,-10,27,-10,21,-10,23,-7,21,-6,23,-7,21,-6,25,-7,22,-10,20,-7,20,-6,21,-9,21,-7,21,-5,23,-3,18,-8,21,-4,19,-2,21,-3,20,-3,23,-4,23,-8,20,-6,23,-4,23,-7,24,-6,23,-6,27,-6,23,-7,25,-6,21,-7,25,-6,25,-7,25,-8,27,-10,24,-13,20,-13,23,-15,20,-14,20,-16,19,-15,18,-18,17,-13,15,-16,15,-17,14,-17,15,-19,15,-19,12,-19,6,-20,6,-20,3,0,0,0,0,0,0,0,0,0,0]"""
1782184254134,2026-06-23T12:10:54.134,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125808,1a:00:00:00:00:00,-68,11,-99,19,53,11,633488637,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-5,-8,-5,-6,-7,-8,-6,-9,-5,-12,-5,-11,-3,-8,-7,-14,-4,-11,-2,-12,-1,-13,-5,-13,-2,-14,0,-17,-6,-11,-4,-14,-2,-17,-2,-16,0,-20,1,-18,0,-21,2,-17,4,-17,4,-18,2,-16,2,-13,0,-18,-2,-19,-3,-22,-1,-14,5,-24,0,-20,0,-11,0,-15,-6,-16,8,-19,-5,-20,-5,-9,-6,-17,9,-25,0,-11,-4,-20,-3,-32,-9,-20,-3,-11,6,-21,-1,-16,-8,-14,6,-29,-5,-28,5,-19,0,-22,4,-24,-12,-27,-5,-32,-1,-22,0,0,0,0,0,0,-29,2,-28,1,-31,0,-28,0,-24,2,-29,0,-22,3,-28,2,-25,2,-26,3,-25,3,-21,1,-25,7,-22,0,-22,2,-23,2,-21,3,-21,3,-24,4,-17,8,-20,11,-21,6,-23,7,-20,7,-18,7,-20,11,-18,6,-21,8,-22,8,-19,7,-20,7,-24,9,-17,12,-20,14,-23,11,-26,12,-24,8,-22,11,-24,9,-23,11,-25,6,-25,8,-26,6,-21,4,-25,4,-21,8,-26,7,-25,2,-29,0,-20,2,-24,2,-22,-2,-22,0,-20,-5,-20,-4,-20,-7,-18,-8,0,0,0,0,0,0,0,0,0,0]"""
1782184254144,2026-06-23T12:10:54.144,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125809,1a:00:00:00:00:00,-68,11,-99,19,52,11,633497376,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,-3,13,-8,16,-21,15,4,-11,-2,13,-12,-11,-12,8,-20,-1,-14,15,0,15,-19,5,-15,13,-12,6,-10,8,-1,19,-14,12,-11,12,-13,15,-11,15,-8,21,-7,11,-8,15,-13,16,-14,15,-10,14,-11,14,-11,11,-12,15,-13,11,-12,15,-15,17,-14,15,-16,13,-15,14,-12,11,-15,14,-17,15,-19,12,-16,11,-16,8,-17,11,-21,12,-21,9,-24,10,-24,9,-27,6,-25,7,-26,9,-22,8,-26,8,-26,8,-21,6,-25,8,-34,6,-29,6,-23,5,-30,0,0,0,0,0,0,-27,-2,-29,-2,-32,-2,-28,0,-27,0,-27,0,-31,0,-27,-2,-29,0,-29,1,-31,3,-27,3,-24,3,-27,4,-30,8,-24,6,-26,9,-23,5,-16,9,-26,12,-22,14,-26,15,-23,13,-21,19,-20,19,-18,15,-22,14,-21,19,-21,18,-21,15,-20,18,-15,20,-21,20,-18,19,-17,23,-21,22,-21,23,-19,22,-18,21,-14,21,-21,22,-22,25,-20,21,-19,17,-15,19,-19,22,-18,21,-20,20,-21,21,-22,21,-21,16,-19,15,-18,14,-21,15,-22,13,-20,10,-21,10,0,0,0,0,0,0,0,0,0,0]"""
1782184254154,2026-06-23T12:10:54.154,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125810,1a:00:00:00:00:00,-68,11,-99,16,53,11,633507823,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-6,-4,-10,-3,-9,-4,-8,-3,-10,-2,-11,0,-11,0,-9,-3,-13,1,-13,0,-14,2,-14,2,-13,2,-16,3,-18,2,-13,3,-15,4,-17,4,-17,8,-17,9,-16,5,-18,8,-17,7,-17,9,-17,6,-15,7,-16,8,-17,4,-17,4,-18,6,-17,6,-17,7,-16,7,-17,7,-18,5,-20,7,-18,4,-16,4,-19,4,-19,7,-19,2,-19,0,-20,3,-21,2,-23,5,-19,3,-23,7,-22,1,-24,3,-26,1,-26,1,-26,2,-28,3,-26,0,-28,3,-29,1,-28,0,0,0,0,0,0,-30,-2,-27,-3,-26,-3,-26,-1,-23,-3,-26,-4,-25,-2,-26,0,-26,-1,-23,-2,-22,0,-22,-4,-25,0,-23,-3,-22,0,-23,0,-22,0,-22,0,-24,0,-20,4,-20,4,-22,4,-21,3,-21,3,-19,4,-24,6,-21,4,-22,6,-23,4,-21,4,-22,6,-26,5,-21,10,-22,10,-24,8,-26,8,-22,4,-24,6,-26,3,-25,6,-25,4,-24,7,-24,4,-23,2,-24,2,-24,5,-23,4,-26,0,-25,0,-19,-2,-22,-4,-21,-5,-23,-4,-20,-8,-22,-6,-20,-5,-18,-8,0,0,0,0,0,0,0,0,0,0]"""
1782184254164,2026-06-23T12:10:54.164,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125811,1a:00:00:00:00:00,-68,11,-99,16,53,11,633525765,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,8,-2,8,-3,12,-1,9,-4,11,-4,9,0,7,-2,12,-4,13,-5,15,-5,9,-8,13,-8,13,-10,14,-6,14,-9,16,-7,13,-8,14,-9,11,-8,13,-10,20,-10,17,-10,17,-9,13,-13,15,-11,13,-13,15,-9,16,-12,19,-9,15,-8,17,-8,13,-4,17,-5,16,-4,19,-4,22,-5,22,-7,17,-5,19,-5,23,-3,22,-5,22,-4,20,0,22,-3,13,0,18,0,19,5,24,4,28,1,24,0,20,0,29,2,27,3,24,2,28,5,27,6,26,0,0,0,0,0,0,27,-10,31,-11,22,-6,22,-11,31,-11,22,-6,26,-9,23,-9,24,-12,18,-7,17,-11,19,-14,22,-15,21,-16,17,-8,18,-13,17,-12,21,-14,15,-16,16,-17,13,-16,12,-19,9,-14,9,-17,9,-21,11,-22,9,-23,12,-17,12,-21,9,-21,12,-25,6,-25,10,-26,8,-23,4,-22,6,-17,2,-23,4,-23,0,-27,5,-30,7,-27,7,-18,11,-23,10,-27,6,-27,8,-24,7,-21,4,-24,5,-16,4,-19,5,-19,5,-24,9,-23,9,-22,11,-15,13,-17,13,-15,0,0,0,0,0,0,0,0,0,0]"""
1782184254174,2026-06-23T12:10:54.174,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125812,1a:00:00:00:00:00,-68,11,-99,19,52,11,633529615,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,5,-5,7,-6,6,-11,7,-9,7,-11,9,-11,8,-11,7,-10,5,-13,5,-15,6,-14,3,-16,5,-16,4,-18,5,-16,1,-19,2,-17,3,-23,2,-23,0,-26,1,-19,-1,-19,0,-23,1,-20,0,-21,-1,-18,-1,-21,2,-21,-2,-23,0,-18,0,-25,-3,-23,0,-21,-1,-23,0,-19,0,-19,-2,-23,0,-24,0,-21,2,-24,5,-22,0,-26,1,-21,3,-27,3,-29,3,-26,3,-26,5,-26,2,-24,5,-31,3,-27,3,-29,3,-30,1,-31,3,-31,4,-31,5,0,0,0,0,0,0,4,31,2,28,5,35,4,31,3,23,4,31,3,31,3,32,3,27,1,31,5,28,5,26,2,24,5,25,7,27,5,25,9,25,5,22,13,25,5,24,9,27,8,23,10,26,10,23,12,26,6,21,11,23,13,24,13,25,14,23,11,21,13,24,12,25,13,27,13,24,14,30,14,28,13,25,11,28,7,26,10,26,11,27,7,30,9,26,7,27,5,26,4,28,7,26,4,31,2,28,0,25,0,26,-2,25,-3,25,-3,26,-6,22,-5,21,0,0,0,0,0,0,0,0,0,0]"""
1782184254184,2026-06-23T12:10:54.184,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125813,1a:00:00:00:00:00,-68,11,-99,19,52,11,633541360,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-7,0,-12,0,-7,1,-14,0,-9,1,-15,3,-14,2,-12,4,-13,7,-10,6,-15,8,-15,9,-16,7,-15,9,-21,5,-11,9,-20,7,-15,14,-22,10,-21,5,-19,10,-20,10,-11,12,-16,11,-18,10,-18,8,-15,14,-21,5,-15,9,-24,8,-18,10,-26,10,-22,9,-23,8,-22,4,-18,5,-19,5,-21,3,-23,5,-21,5,-25,-2,-17,-1,-26,1,-25,1,-32,3,-25,0,-21,3,-25,0,-27,-4,-24,-7,-33,-4,-25,-6,-33,-4,-27,-7,-31,-7,-36,-1,-33,0,0,0,0,0,0,-33,11,-22,8,-37,8,-27,8,-21,5,-34,10,-24,10,-31,13,-22,10,-33,12,-26,14,-21,9,-22,15,-20,10,-24,15,-21,15,-20,16,-19,15,-21,19,-11,15,-15,24,-14,17,-19,26,-15,23,-15,20,-14,22,-9,17,-11,21,-12,23,-10,21,-12,22,-13,28,-5,21,-5,30,-7,24,-13,37,-11,26,-6,29,-14,28,-9,26,-8,26,-9,31,-9,26,-9,26,-11,28,-4,23,-10,31,-10,23,-16,31,-10,21,-12,25,-14,21,-12,21,-14,18,-14,21,-15,18,-15,19,0,0,0,0,0,0,0,0,0,0]"""
1782184254194,2026-06-23T12:10:54.194,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125814,1a:00:00:00:00:00,-68,11,-99,18,52,11,633555290,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,1,12,1,10,2,12,3,12,2,12,3,12,5,9,4,15,7,13,6,13,9,15,11,15,6,17,9,19,7,13,8,18,6,16,6,19,8,25,6,19,7,19,9,15,10,17,10,19,10,19,11,17,10,22,8,17,4,23,3,19,6,25,6,19,3,22,0,23,2,25,0,20,0,23,0,24,0,22,-1,25,-1,22,-6,25,-8,24,-6,29,-8,23,-6,22,-12,28,-9,25,-12,25,-13,25,-16,27,-12,25,-15,25,-16,22,-19,24,-19,21,-23,0,0,0,0,0,0,-29,-24,-20,-18,-26,-21,-25,-23,-17,-19,-23,-20,-22,-13,-26,-19,-20,-13,-25,-18,-25,-17,-19,-12,-24,-10,-24,-12,-23,-12,-26,-8,-25,-6,-24,-4,-25,-6,-20,0,-27,0,-24,0,-27,2,-25,3,-25,6,-25,6,-25,2,-25,7,-25,7,-25,5,-24,5,-31,10,-22,14,-24,17,-24,12,-30,16,-21,13,-23,19,-26,13,-24,18,-24,15,-24,18,-24,15,-23,15,-25,15,-19,16,-22,19,-22,15,-28,15,-19,12,-22,12,-21,10,-23,16,-21,7,-23,10,-24,7,-24,10,0,0,0,0,0,0,0,0,0,0]"""
1782184254204,2026-06-23T12:10:54.204,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125815,1a:00:00:00:00:00,-68,11,-99,18,52,11,633562753,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-8,7,-10,6,-8,7,-8,11,-6,13,-8,12,-8,13,-6,14,-9,13,-2,16,-3,18,-1,17,-3,17,0,19,-1,16,-3,20,-3,21,0,22,0,21,5,15,9,23,0,19,6,19,6,22,9,19,6,19,6,21,10,19,5,21,6,21,6,25,6,19,8,20,6,20,9,24,6,19,8,22,4,20,7,19,9,22,12,23,0,26,4,25,10,28,12,20,8,27,10,25,12,25,7,28,11,29,10,31,9,31,10,29,10,30,11,29,15,27,16,0,0,0,0,0,0,16,-28,17,-24,19,-27,16,-27,19,-24,19,-26,13,-23,19,-26,16,-23,15,-23,17,-25,18,-18,16,-25,18,-19,14,-20,16,-21,16,-20,16,-19,17,-22,9,-21,11,-22,12,-23,13,-21,12,-21,15,-19,13,-25,13,-21,13,-19,13,-21,13,-21,15,-22,16,-24,9,-24,12,-25,15,-25,16,-25,17,-20,17,-23,21,-21,19,-25,22,-21,19,-22,20,-19,19,-15,24,-16,16,-18,21,-19,25,-15,26,-15,22,-10,25,-10,26,-6,23,-8,25,-6,25,-3,25,-4,25,1,0,0,0,0,0,0,0,0,0,0]"""
1782184254214,2026-06-23T12:10:54.214,danger,post_fall,yja,post_chair_fall_inactive,t010,"CSI_DATA,125816,1a:00:00:00:00:00,-68,11,-99,18,52,11,633573615,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-9,-2,-9,-2,-12,0,-10,-1,-14,-1,-12,-1,-12,-3,-16,0,-17,0,-19,0,-14,0,-17,0,-16,2,-19,2,-17,-1,-20,-1,-18,0,-22,0,-19,7,-16,4,-21,3,-19,0,-25,3,-21,3,-22,-1,-23,1,-23,-2,-20,3,-25,0,-21,-3,-23,0,-16,-3,-22,0,-20,-6,-23,-6,-23,-8,-24,-7,-20,-6,-23,-12,-25,-11,-22,-9,-25,-8,-22,-17,-23,-11,-15,-19,-21,-12,-19,-22,-19,-18,-23,-19,-23,-15,-22,-19,-23,-20,-19,-23,-23,-19,-25,-19,-22,-26,-19,0,0,0,0,0,0,-19,24,-20,31,-15,20,-14,27,-19,31,-15,22,-19,29,-12,24,-14,32,-7,23,-9,25,-6,29,-5,27,-6,30,-6,23,-6,26,-2,26,-4,27,0,25,0,28,2,22,3,27,2,20,4,23,6,25,7,25,12,28,8,25,9,25,12,25,12,26,16,20,12,32,12,25,15,23,11,18,19,23,13,25,20,20,18,26,18,26,15,25,14,25,16,28,16,23,13,25,12,22,16,25,12,16,15,22,12,22,17,22,11,24,13,24,9,20,9,22,6,20,0,0,0,0,0,0,0,0,0,0]"""
