pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782031767055,2026-06-21T17:49:27.055,safe,absence,lmh,empty,t010,"CSI_DATA,59301,1a:00:00:00:00:00,-49,11,-98,20,34,11,559732977,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,7,15,7,13,9,13,9,13,11,13,13,13,13,13,13,11,17,15,17,13,19,17,21,15,23,17,23,13,27,13,27,13,27,13,31,13,31,13,37,13,37,11,35,9,35,13,33,11,37,9,35,9,37,11,39,11,39,9,41,11,41,13,45,11,43,13,45,15,41,15,41,13,43,17,41,17,41,19,45,19,47,17,47,23,49,25,51,19,49,23,49,25,53,29,49,29,55,31,57,31,57,31,51,27,59,27,61,33,65,29,61,37,65,0,0,0,0,0,0,69,-33,69,-33,65,-33,63,-27,63,-31,65,-27,65,-31,65,-33,63,-31,61,-27,59,-31,55,-27,59,-31,59,-31,55,-31,55,-35,51,-37,51,-37,53,-35,51,-39,49,-41,47,-39,47,-41,49,-41,47,-43,47,-43,45,-41,45,-43,47,-45,43,-47,49,-43,51,-45,49,-47,47,-49,49,-43,51,-47,51,-43,49,-43,55,-45,51,-41,49,-41,53,-39,55,-41,53,-37,57,-33,53,-35,55,-27,53,-29,51,-23,53,-21,53,-15,49,-15,51,-13,51,-7,51,-9,49,-3,51,3,0,0,0,0,0,0,0,0,0,0]"""
1782031767062,2026-06-21T17:49:27.062,safe,absence,lmh,empty,t010,"CSI_DATA,59302,1a:00:00:00:00:00,-49,11,-98,15,35,11,559738171,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-12,0,-14,0,-14,-4,-16,-4,-18,-2,-18,-2,-18,-6,-20,-6,-24,-6,-20,-6,-22,-6,-24,-10,-24,-10,-26,-12,-26,-14,-30,-14,-34,-14,-28,-12,-28,-14,-32,-16,-34,-12,-32,-18,-34,-16,-34,-18,-32,-22,-34,-18,-36,-22,-36,-18,-39,-18,-36,-18,-39,-16,-39,-16,-39,-18,-41,-16,-43,-18,-45,-12,-45,-8,-45,-8,-45,-14,-49,-8,-47,-10,-49,-4,-53,-8,-53,-4,-53,-2,-51,-2,-57,-2,-59,2,-57,0,-63,2,-63,4,-65,0,-67,8,-69,4,-69,4,-69,6,-67,12,0,0,0,0,0,0,6,71,12,73,12,67,12,69,12,65,14,67,16,69,14,71,14,67,18,67,20,63,20,61,22,63,24,59,28,59,28,57,30,57,26,59,26,57,34,53,36,49,36,55,39,47,36,51,43,51,41,49,45,47,45,47,47,45,49,43,47,43,53,43,51,47,49,43,53,43,51,45,55,45,51,41,53,47,53,43,53,43,53,43,49,47,45,41,47,45,47,45,41,45,45,47,41,43,36,45,34,43,32,45,32,45,30,47,24,47,20,43,16,47,0,0,0,0,0,0,0,0,0,0]"""
1782031767069,2026-06-21T17:49:27.069,safe,absence,lmh,empty,t010,"CSI_DATA,59303,1a:00:00:00:00:00,-49,11,-98,15,35,11,559749171,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,6,16,4,16,2,18,2,22,4,20,6,22,6,18,8,24,8,28,6,26,6,30,10,28,10,28,10,32,10,34,12,32,10,36,16,41,14,32,12,34,14,36,10,39,14,41,10,39,12,41,10,41,8,39,10,43,12,47,8,43,6,43,6,45,2,47,2,47,0,43,-4,47,-4,47,-6,51,-4,49,-10,51,-10,51,-12,55,-18,55,-18,55,-20,53,-20,55,-22,57,-26,53,-28,55,-32,63,-30,59,-34,61,-39,59,-39,59,-41,0,0,0,0,0,0,-39,-65,-41,-59,-43,-57,-47,-55,-51,-55,-47,-53,-47,-47,-49,-51,-45,-47,-51,-45,-53,-43,-51,-43,-57,-39,-53,-36,-51,-34,-53,-30,-59,-30,-55,-26,-57,-28,-59,-20,-61,-16,-61,-16,-59,-12,-59,-12,-63,-12,-63,-6,-65,-4,-63,-2,-65,-2,-67,4,-65,4,-67,4,-65,4,-65,8,-67,10,-67,6,-69,10,-67,10,-67,10,-69,10,-67,12,-63,10,-65,10,-63,10,-65,6,-61,12,-61,10,-61,6,-57,8,-55,2,-55,2,-55,2,-55,2,-53,-2,-51,-4,-49,-4,-49,-6,0,0,0,0,0,0,0,0,0,0]"""
1782031767076,2026-06-21T17:49:27.076,safe,absence,lmh,empty,t010,"CSI_DATA,59304,1a:00:00:00:00:00,-49,11,-98,15,35,11,559761236,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-12,2,-14,0,-14,0,-16,0,-18,0,-18,-2,-20,2,-20,0,-20,-2,-22,-2,-24,0,-28,-4,-28,-4,-26,-2,-32,-6,-32,-6,-32,-4,-34,-6,-30,-8,-34,-10,-39,-10,-34,-4,-39,-6,-39,-6,-39,-8,-39,-6,-39,-6,-43,-6,-41,-6,-41,-2,-41,-2,-43,-4,-43,0,-45,0,-43,2,-47,4,-45,6,-47,8,-47,8,-47,12,-47,10,-47,16,-53,14,-51,18,-51,18,-51,22,-53,20,-55,28,-53,28,-57,26,-53,28,-55,30,-59,34,-57,39,-57,36,-59,39,-61,45,0,0,0,0,0,0,43,61,47,57,49,55,49,57,47,51,51,49,51,51,53,51,49,45,51,51,51,45,53,39,55,39,53,36,57,36,53,30,61,28,57,26,57,26,59,22,61,18,63,18,61,16,59,14,63,14,61,10,63,8,63,4,65,4,65,-2,67,0,67,2,67,-2,67,-2,67,-4,69,-2,67,-4,69,-4,67,-4,67,-4,67,-6,69,-6,67,-2,63,-4,63,-4,63,-4,63,0,65,-2,59,0,55,0,57,4,55,4,51,8,53,6,49,8,49,12,47,16,0,0,0,0,0,0,0,0,0,0]"""
1782031767083,2026-06-21T17:49:27.083,safe,absence,lmh,empty,t010,"CSI_DATA,59305,1a:00:00:00:00:00,-49,11,-98,14,35,11,559771171,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,-12,8,-12,8,-14,10,-12,10,-14,12,-14,14,-14,16,-16,16,-16,16,-19,19,-16,19,-19,21,-19,21,-21,21,-16,23,-19,25,-19,27,-23,27,-21,29,-16,35,-16,29,-21,33,-23,31,-25,31,-25,29,-23,33,-25,33,-23,33,-25,31,-29,33,-25,29,-27,31,-29,29,-31,29,-33,31,-31,31,-33,29,-33,29,-40,27,-42,27,-42,27,-44,27,-46,23,-50,27,-44,23,-48,25,-50,21,-52,23,-59,19,-63,16,-61,21,-61,21,-67,27,-65,19,-69,16,-65,14,-69,0,0,0,0,0,0,-71,-16,-76,-10,-69,-10,-71,-14,-71,-16,-69,-10,-67,-6,-69,-8,-69,-4,-69,-8,-63,-2,-65,0,-69,2,-65,6,-65,4,-65,6,-65,12,-63,10,-63,10,-61,16,-57,16,-63,16,-52,23,-61,21,-57,21,-59,27,-59,27,-54,31,-54,31,-52,38,-57,35,-54,33,-59,35,-54,38,-54,38,-52,38,-57,40,-54,40,-57,40,-59,38,-57,40,-52,35,-54,40,-54,35,-52,31,-52,33,-52,29,-52,33,-50,27,-52,27,-54,23,-48,23,-52,19,-48,21,-46,16,-46,14,-48,8,0,0,0,0,0,0,0,0,0,0]"""
1782031767090,2026-06-21T17:49:27.090,safe,absence,lmh,empty,t010,"CSI_DATA,59306,1a:00:00:00:00:00,-49,11,-98,19,34,11,559782170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,10,10,14,10,10,10,12,14,16,16,12,14,10,16,10,16,12,18,14,22,8,18,10,26,12,28,14,28,8,32,8,30,8,32,6,32,10,32,2,34,4,43,8,36,4,41,4,39,6,45,2,39,2,41,2,41,2,43,2,43,4,41,2,45,4,45,4,47,8,47,6,49,6,47,8,47,12,47,10,49,10,49,10,47,12,51,16,53,14,49,14,51,16,53,16,55,20,59,18,65,20,61,20,61,16,63,16,67,24,71,18,69,22,65,0,0,0,0,0,0,71,-16,73,-20,71,-22,75,-14,71,-20,69,-14,67,-22,67,-18,63,-18,63,-20,63,-16,63,-18,67,-22,63,-24,59,-18,59,-20,61,-24,61,-26,61,-24,59,-24,53,-26,55,-26,53,-30,55,-30,55,-34,53,-32,59,-30,55,-36,55,-34,51,-36,59,-32,57,-36,59,-34,55,-36,59,-36,59,-36,57,-36,57,-34,63,-34,61,-32,61,-30,61,-26,63,-26,61,-28,63,-22,61,-18,61,-18,61,-18,55,-10,57,-10,53,-8,53,-6,55,-4,57,-2,51,6,49,4,45,12,0,0,0,0,0,0,0,0,0,0]"""
1782031767098,2026-06-21T17:49:27.098,safe,absence,lmh,empty,t010,"CSI_DATA,59307,1a:00:00:00:00:00,-49,11,-98,19,34,11,559793171,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,4,-12,8,-16,8,-16,8,-16,4,-18,4,-18,4,-22,0,-18,2,-24,-2,-24,0,-24,-2,-26,0,-28,-4,-28,-6,-28,-8,-30,-10,-34,-12,-34,-12,-26,-20,-32,-22,-30,-18,-30,-20,-32,-22,-34,-24,-30,-24,-28,-26,-30,-26,-32,-26,-39,-28,-30,-26,-36,-30,-32,-30,-32,-28,-32,-30,-34,-30,-30,-30,-34,-30,-34,-30,-36,-32,-41,-34,-34,-32,-36,-36,-41,-36,-36,-36,-45,-39,-41,-41,-39,-43,-41,-41,-43,-45,-47,-47,-45,-43,-45,-51,-45,-51,-51,-57,-49,-55,-45,-57,0,0,0,0,0,0,-67,39,-63,36,-65,41,-65,32,-61,36,-63,32,-65,32,-69,34,-61,30,-65,24,-61,30,-57,24,-57,26,-61,26,-59,24,-55,28,-59,30,-59,28,-59,24,-53,24,-57,30,-57,28,-57,28,-57,28,-57,24,-59,30,-59,26,-59,30,-59,30,-57,30,-57,28,-63,26,-61,24,-63,26,-61,22,-69,20,-69,18,-67,16,-69,18,-67,10,-61,10,-65,10,-67,2,-69,2,-65,-2,-63,2,-61,-4,-63,-8,-59,-14,-55,-12,-55,-18,-51,-22,-47,-22,-47,-30,-45,-28,-36,-28,-34,-34,0,0,0,0,0,0,0,0,0,0]"""
1782031767105,2026-06-21T17:49:27.105,safe,absence,lmh,empty,t010,"CSI_DATA,59308,1a:00:00:00:00:00,-49,11,-98,20,34,11,559804170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,11,7,13,7,15,9,15,9,17,5,19,9,17,5,21,7,23,7,25,7,25,7,25,5,25,5,31,7,31,7,27,3,35,5,35,3,31,1,33,7,37,3,35,5,41,5,41,7,39,9,35,7,37,11,45,9,39,11,39,11,41,13,41,13,43,17,43,17,39,19,39,19,41,23,41,27,43,27,43,29,41,31,39,33,45,33,37,39,41,39,43,41,41,47,41,45,39,51,43,49,37,49,41,53,41,57,39,57,39,63,43,0,0,0,0,0,0,39,-63,43,-65,33,-61,35,-59,35,-65,33,-59,31,-63,31,-67,31,-63,29,-61,25,-65,17,-61,19,-63,17,-65,15,-61,11,-61,11,-67,5,-65,3,-63,0,-65,-1,-61,-1,-65,-3,-63,-5,-63,-7,-65,-11,-61,-13,-63,-15,-61,-15,-63,-19,-59,-19,-59,-19,-63,-21,-65,-23,-61,-23,-59,-23,-65,-25,-65,-25,-63,-27,-65,-23,-63,-23,-61,-25,-61,-21,-65,-23,-61,-17,-61,-21,-57,-21,-53,-23,-59,-11,-55,-13,-53,-11,-51,-13,-51,-9,-51,-5,-57,-5,-47,-1,-47,1,-49,0,0,0,0,0,0,0,0,0,0]"""
1782031767112,2026-06-21T17:49:27.112,safe,absence,lmh,empty,t010,"CSI_DATA,59309,1a:00:00:00:00:00,-49,11,-98,18,34,11,559816346,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,2,14,2,16,4,19,2,16,4,21,6,19,6,19,8,23,8,23,10,21,8,23,12,25,12,25,12,27,16,27,19,31,14,27,14,27,12,31,23,31,23,29,21,31,16,33,21,29,21,33,21,35,23,38,21,35,16,38,19,33,16,40,19,42,16,40,16,42,14,48,12,44,10,46,10,44,10,50,6,48,6,50,8,54,2,57,4,54,4,57,-2,61,0,57,-4,61,-2,61,-4,61,-4,63,-8,65,-8,67,-10,69,-10,69,-14,71,-12,0,0,0,0,0,0,-14,-73,-10,-76,-14,-71,-21,-69,-21,-67,-19,-67,-21,-65,-21,-67,-23,-63,-27,-63,-27,-61,-25,-59,-31,-57,-29,-57,-31,-57,-33,-52,-35,-52,-38,-50,-40,-52,-46,-46,-46,-46,-44,-44,-42,-38,-48,-40,-46,-40,-50,-40,-52,-38,-52,-31,-52,-38,-57,-29,-59,-31,-61,-31,-57,-31,-59,-31,-59,-29,-63,-31,-61,-29,-63,-29,-63,-27,-61,-29,-59,-29,-59,-31,-61,-31,-59,-27,-54,-31,-54,-27,-52,-29,-50,-33,-50,-31,-46,-31,-44,-31,-46,-31,-42,-33,-38,-31,-33,-38,-35,-35,-31,-40,0,0,0,0,0,0,0,0,0,0]"""
1782031767120,2026-06-21T17:49:27.120,safe,absence,lmh,empty,t010,"CSI_DATA,59310,1a:00:00:00:00:00,-49,11,-98,14,35,11,559826181,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,-4,-12,-8,-12,-8,-12,-8,-10,-10,-8,-12,-12,-16,-12,-16,-12,-21,-12,-21,-12,-21,-10,-23,-14,-25,-12,-27,-10,-29,-10,-33,-6,-27,-2,-33,-2,-35,-4,-29,0,-33,-2,-40,-2,-38,2,-38,-2,-38,2,-40,2,-42,4,-42,8,-42,4,-40,6,-44,6,-42,6,-42,4,-44,8,-44,10,-46,8,-44,4,-46,2,-48,8,-52,4,-50,4,-52,8,-52,10,-57,8,-52,6,-54,8,-57,8,-57,6,-61,6,-63,8,-61,10,-65,16,-67,14,-67,16,-67,12,-69,19,-67,0,0,0,0,0,0,-69,-21,-69,-25,-63,-21,-67,-27,-67,-31,-65,-29,-65,-31,-65,-29,-67,-27,-59,-29,-59,-25,-59,-27,-61,-29,-59,-25,-59,-25,-59,-27,-61,-25,-59,-25,-59,-23,-59,-23,-59,-21,-59,-25,-54,-19,-59,-23,-57,-23,-61,-23,-63,-25,-63,-19,-61,-21,-61,-19,-61,-23,-61,-25,-65,-29,-59,-27,-59,-29,-59,-29,-63,-33,-61,-33,-59,-38,-57,-40,-54,-40,-52,-40,-54,-44,-48,-40,-46,-46,-42,-46,-38,-46,-40,-46,-31,-48,-27,-48,-27,-48,-23,-50,-21,-52,-14,-48,-14,-48,-10,-50,-4,-46,0,0,0,0,0,0,0,0,0,0]"""
