pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782029303036,2026-06-21T17:08:23.036,safe,absence,mhw,empty,t042,"CSI_DATA,295778,1a:00:00:00:00:00,-54,11,-99,21,36,11,1487531970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-10,2,-11,2,-9,2,-11,2,-10,3,-12,3,-12,4,-10,1,-14,4,-12,2,-14,1,-15,3,-16,3,-16,4,-17,2,-16,3,-18,0,-18,4,-21,6,-22,7,-20,5,-20,6,-19,4,-23,5,-23,3,-23,7,-23,7,-24,1,-20,3,-24,3,-24,4,-31,8,-26,4,-24,8,-25,4,-25,2,-26,0,-29,1,-27,0,-27,4,-29,-1,-27,-1,-32,1,-32,3,-36,5,-32,3,-33,7,-32,1,-30,3,-34,0,-38,0,-36,3,-38,6,-34,1,-34,8,-38,5,-34,0,0,0,0,0,0,-35,-8,-30,-8,-39,-8,-31,-10,-28,-9,-34,-9,-25,-8,-32,-11,-24,-7,-30,-11,-29,-10,-24,-9,-24,-7,-21,-8,-25,-5,-24,-6,-22,-5,-21,-4,-24,-7,-18,-1,-23,-1,-20,-2,-24,-4,-21,-4,-19,-4,-20,-4,-20,-5,-21,0,-22,-2,-21,0,-19,-2,-22,-3,-19,0,-22,-2,-20,-3,-24,-4,-20,-8,-17,-6,-19,-8,-17,-6,-16,-6,-18,-5,-18,-7,-14,-8,-15,-9,-16,-7,-13,-8,-13,-8,-15,-11,-8,-9,-9,-9,-7,-9,-7,-8,-7,-9,-8,-11,-7,-10,-6,-9,0,0,0,0,0,0,0,0,0,0]"""
1782029303059,2026-06-21T17:08:23.059,safe,absence,mhw,empty,t042,"CSI_DATA,295779,1a:00:00:00:00:00,-54,11,-99,13,38,11,1487542970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-10,1,-8,2,-12,2,-9,3,-12,1,-10,1,-10,1,-11,0,-14,1,-15,4,-13,5,-15,2,-16,5,-16,4,-16,6,-19,6,-18,7,-19,5,-15,1,-18,4,-23,5,-21,6,-24,7,-20,8,-21,8,-22,9,-23,8,-23,10,-26,7,-23,9,-23,8,-22,5,-24,8,-24,7,-27,7,-29,10,-26,11,-24,12,-26,10,-29,10,-26,12,-31,11,-26,10,-32,8,-23,8,-30,9,-30,7,-32,9,-34,13,-36,14,-28,17,-33,16,-32,16,-32,17,-33,16,-30,16,-32,0,0,0,0,0,0,-27,-20,-31,-25,-24,-16,-25,-21,-28,-24,-20,-21,-26,-24,-21,-20,-23,-23,-16,-18,-18,-16,-19,-16,-22,-17,-24,-17,-15,-17,-16,-17,-17,-17,-17,-16,-16,-16,-16,-16,-16,-13,-18,-16,-15,-11,-16,-10,-16,-13,-18,-13,-18,-14,-15,-13,-16,-16,-16,-13,-14,-16,-14,-13,-16,-16,-14,-13,-14,-16,-13,-14,-13,-14,-13,-14,-14,-15,-12,-16,-10,-16,-7,-17,-8,-16,-8,-19,-7,-16,-6,-17,-2,-15,-4,-16,-1,-12,-2,-14,-1,-14,-2,-12,0,-14,0,-12,0,-10,4,-11,4,-10,0,0,0,0,0,0,0,0,0,0]"""
1782029303074,2026-06-21T17:08:23.074,safe,absence,mhw,empty,t042,"CSI_DATA,295780,1a:00:00:00:00:00,-54,11,-99,17,37,11,1487554023,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,8,-3,10,-2,10,-6,10,-3,11,-4,12,-6,11,-6,10,-6,12,-5,9,-6,12,-5,15,-7,16,-7,14,-8,16,-5,13,-8,17,-8,17,-11,19,-12,16,-10,12,-12,17,-13,14,-13,19,-15,19,-14,17,-16,18,-18,18,-12,17,-13,21,-15,18,-19,24,-21,17,-18,18,-21,18,-18,16,-16,19,-16,22,-18,22,-16,19,-22,19,-14,23,-20,24,-24,23,-28,26,-24,16,-27,23,-29,17,-24,20,-29,20,-27,26,-24,24,-32,21,-31,18,-29,22,-33,21,-32,19,0,0,0,0,0,0,11,34,10,31,11,36,8,32,7,28,8,32,7,27,8,32,5,27,2,31,3,29,0,26,4,27,0,23,2,24,4,24,3,23,2,23,0,24,3,18,5,22,4,21,3,24,2,24,0,18,2,20,0,18,3,22,1,22,2,20,0,18,0,23,1,17,1,21,0,19,-2,25,-6,19,-5,19,-7,20,-6,18,-6,17,-6,20,-7,18,-6,15,-10,15,-6,15,-8,14,-9,13,-12,13,-11,8,-10,10,-13,7,-9,8,-11,6,-10,8,-10,4,-10,3,0,0,0,0,0,0,0,0,0,0]"""
1782029303081,2026-06-21T17:08:23.082,safe,absence,mhw,empty,t042,"CSI_DATA,295781,1a:00:00:00:00:00,-54,11,-99,21,36,11,1487564970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,-2,-11,-2,-9,-1,-12,-1,-8,0,-13,0,-14,0,-13,-1,-14,0,-13,0,-16,1,-16,0,-16,2,-14,3,-16,3,-16,3,-19,5,-16,5,-21,6,-23,8,-19,8,-20,5,-19,6,-20,10,-21,9,-20,8,-20,8,-23,12,-19,11,-20,16,-19,12,-25,17,-22,15,-19,16,-23,17,-18,18,-16,17,-17,24,-16,21,-15,20,-16,24,-12,25,-14,30,-12,27,-18,36,-15,27,-14,31,-15,31,-11,30,-9,31,-10,36,-8,33,-10,37,-10,36,-8,38,-8,39,-7,38,0,0,0,0,0,0,35,6,31,5,38,4,32,4,26,3,36,2,28,0,33,2,25,0,32,1,31,0,27,0,26,0,23,-2,27,-5,24,-5,23,-5,21,-6,22,-5,17,-8,20,-11,18,-9,22,-11,18,-11,17,-12,16,-11,16,-12,16,-15,16,-13,16,-13,16,-13,16,-16,12,-14,14,-16,13,-15,17,-19,15,-14,13,-16,16,-14,12,-12,12,-14,13,-16,12,-14,11,-12,11,-11,9,-13,11,-15,10,-10,15,-11,11,-8,13,-8,12,-8,9,-7,9,-6,11,-8,10,-7,11,-5,0,0,0,0,0,0,0,0,0,0]"""
1782029303090,2026-06-21T17:08:23.090,safe,absence,mhw,empty,t042,"CSI_DATA,295782,1a:00:00:00:00:00,-54,11,-99,21,36,11,1487575970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,12,-1,10,0,12,-1,10,0,11,0,12,1,13,0,15,0,16,1,16,0,16,0,16,0,16,0,20,0,18,-1,20,0,16,1,16,0,18,0,23,0,24,-2,22,-2,25,-1,23,-4,24,-1,23,-2,28,-1,23,-3,25,0,22,-1,25,-2,25,0,28,0,29,-1,30,-3,27,-1,29,0,31,0,28,0,32,-1,29,0,32,0,25,1,30,0,33,3,33,2,36,0,36,-3,34,-5,36,-6,34,-4,38,-7,38,-3,35,-3,38,0,0,0,0,0,0,35,11,36,11,28,8,32,10,35,12,24,12,32,13,25,9,28,13,23,8,24,8,24,9,25,7,29,8,22,10,23,9,24,6,22,8,21,8,24,8,21,4,23,8,18,4,19,4,22,4,21,4,24,6,20,5,22,6,20,4,23,8,20,5,23,6,18,6,20,8,18,8,20,6,19,7,19,8,17,9,17,9,15,10,16,12,16,11,13,11,14,13,10,13,12,11,8,8,8,11,8,11,10,11,8,12,6,9,5,10,4,12,2,11,0,0,0,0,0,0,0,0,0,0]"""
1782029303099,2026-06-21T17:08:23.099,safe,absence,mhw,empty,t042,"CSI_DATA,295783,1a:00:00:00:00:00,-54,11,-99,21,36,11,1487586970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,6,8,9,8,8,8,8,5,8,8,10,8,9,8,10,9,11,9,11,11,11,10,12,11,12,9,13,11,17,12,16,10,15,8,16,11,15,11,18,10,17,12,19,11,20,10,20,12,20,11,22,12,19,8,25,11,24,9,23,10,21,15,24,11,24,13,22,11,24,11,26,12,25,12,27,15,28,14,24,11,30,10,27,16,27,12,26,16,31,10,29,17,30,11,32,12,32,11,34,10,32,10,32,9,39,8,36,5,33,9,38,0,0,0,0,0,0,34,-3,39,0,32,0,35,0,37,-1,29,0,34,6,30,2,30,3,28,4,27,1,26,1,24,3,28,0,25,4,23,1,24,1,24,1,20,1,24,2,23,0,24,1,21,2,21,1,24,1,20,2,23,0,22,0,20,0,21,0,21,0,20,0,23,6,21,4,20,5,17,5,24,5,21,8,20,7,17,8,18,8,15,9,16,12,16,11,14,9,13,13,11,12,12,11,8,10,11,12,6,12,8,10,8,13,5,10,4,12,2,11,0,11,0,0,0,0,0,0,0,0,0,0]"""
1782029303112,2026-06-21T17:08:23.112,safe,absence,mhw,empty,t042,"CSI_DATA,295784,1a:00:00:00:00:00,-54,11,-99,21,36,11,1487597970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,-9,-2,-10,-2,-8,-2,-10,-3,-10,-2,-12,-2,-13,-1,-13,-1,-13,-3,-13,-5,-13,-3,-16,-2,-15,-2,-16,-1,-16,-2,-17,-3,-20,-2,-20,-1,-20,0,-19,0,-17,0,-20,1,-21,0,-24,0,-23,0,-24,2,-23,3,-24,1,-24,2,-25,2,-24,5,-28,7,-27,5,-24,5,-25,7,-25,4,-26,1,-28,4,-27,3,-24,4,-27,5,-28,6,-30,6,-32,10,-34,10,-32,9,-32,12,-31,11,-27,14,-33,13,-36,14,-31,16,-31,19,-32,17,-32,19,-30,20,-32,0,0,0,0,0,0,-24,-23,-24,-24,-27,-25,-24,-26,-19,-22,-21,-25,-18,-24,-19,-26,-17,-22,-17,-27,-15,-25,-15,-22,-13,-24,-13,-21,-15,-22,-14,-19,-14,-20,-12,-19,-10,-19,-11,-18,-12,-19,-12,-18,-9,-20,-11,-19,-10,-19,-8,-19,-9,-19,-13,-17,-11,-18,-9,-18,-7,-18,-8,-19,-8,-19,-7,-19,-7,-19,-5,-24,-2,-22,-3,-19,0,-21,0,-19,0,-19,0,-22,1,-19,1,-17,2,-15,4,-17,4,-16,5,-16,8,-14,8,-14,7,-11,8,-11,7,-9,9,-8,9,-8,8,-7,8,-7,0,0,0,0,0,0,0,0,0,0]"""
1782029303125,2026-06-21T17:08:23.125,safe,absence,mhw,empty,t042,"CSI_DATA,295786,1a:00:00:00:00:00,-54,11,-99,21,36,11,1487619970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,0,-10,-1,-12,-1,-11,-1,-11,-1,-10,-1,-11,0,-12,0,-13,0,-14,0,-14,-2,-16,-1,-15,0,-14,-2,-18,-2,-17,-2,-18,-2,-18,-4,-19,-2,-16,0,-17,-3,-23,-3,-23,-2,-21,-6,-24,-6,-24,-5,-24,-8,-25,-8,-24,-7,-24,-6,-23,-8,-22,-6,-24,-6,-25,-4,-26,-4,-29,-6,-28,-6,-26,-7,-30,-6,-29,-7,-31,-8,-29,-7,-29,-8,-31,-8,-28,-6,-31,-6,-32,-6,-32,-5,-34,-8,-34,-9,-31,-9,-33,-12,-38,-13,-33,-11,-33,-16,-33,-15,-36,-15,0,0,0,0,0,0,-21,32,-21,32,-17,29,-19,26,-18,28,-21,24,-20,24,-20,24,-20,21,-15,22,-16,19,-16,21,-16,24,-16,22,-15,17,-15,19,-15,18,-15,18,-16,20,-14,17,-12,19,-14,17,-10,16,-11,16,-12,17,-11,20,-12,19,-12,16,-13,17,-10,18,-16,16,-14,17,-14,16,-13,16,-14,14,-14,16,-11,15,-15,14,-15,16,-14,14,-15,12,-16,8,-16,10,-18,8,-17,7,-16,7,-15,5,-14,4,-13,3,-14,3,-15,1,-13,3,-14,1,-14,0,-11,-2,-11,-1,-10,-2,0,0,0,0,0,0,0,0,0,0]"""
1782029303138,2026-06-21T17:08:23.138,safe,absence,mhw,empty,t042,"CSI_DATA,295787,1a:00:00:00:00:00,-54,11,-99,21,36,11,1487630970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-9,-2,-8,-5,-10,-6,-9,-6,-10,-6,-9,-6,-8,-8,-11,-7,-11,-9,-11,-8,-10,-10,-11,-11,-10,-10,-10,-10,-11,-12,-15,-12,-13,-14,-15,-11,-15,-12,-13,-14,-15,-15,-15,-18,-16,-16,-15,-16,-16,-18,-17,-18,-17,-17,-15,-19,-19,-16,-16,-18,-16,-17,-14,-24,-16,-21,-16,-24,-13,-23,-16,-24,-15,-23,-16,-24,-14,-26,-15,-25,-11,-27,-18,-26,-16,-30,-12,-24,-11,-32,-10,-29,-15,-32,-8,-32,-15,-32,-14,-30,-14,-32,-15,-33,-14,-35,-16,-32,-18,-31,-13,-32,-16,0,0,0,0,0,0,-16,29,-16,32,-13,27,-16,31,-17,32,-15,26,-16,29,-13,25,-16,26,-12,24,-11,24,-10,27,-10,24,-6,26,-9,24,-7,23,-5,24,-6,23,-5,22,-7,25,-3,22,-4,23,-1,19,-2,21,-2,23,-2,20,-1,24,0,22,-1,20,0,22,0,22,0,19,-5,24,-1,20,0,21,-2,18,0,22,-3,20,-1,19,-4,19,-2,20,-5,18,-4,19,-5,19,-3,17,-6,19,-7,15,-5,16,-7,11,-6,15,-7,11,-5,13,-7,11,-6,11,-7,10,-8,8,-8,7,0,0,0,0,0,0,0,0,0,0]"""
1782029303149,2026-06-21T17:08:23.149,safe,absence,mhw,empty,t042,"CSI_DATA,295788,1a:00:00:00:00:00,-54,11,-99,21,36,11,1487641970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,9,-3,10,-3,8,-2,11,-3,8,-4,9,-5,14,-5,11,-3,14,-2,10,-2,14,-1,16,0,16,0,16,-1,18,0,15,0,20,1,18,2,20,0,21,-1,21,1,21,1,20,4,22,6,24,7,22,6,21,7,24,9,20,13,24,8,23,14,27,8,24,13,24,13,25,14,23,12,22,18,20,17,19,16,18,19,24,22,16,24,18,24,19,31,23,23,21,28,20,25,22,26,16,29,17,34,16,32,12,32,17,31,15,35,9,35,14,32,16,0,0,0,0,0,0,14,-33,12,-28,12,-37,12,-31,10,-26,12,-31,6,-26,7,-33,3,-27,8,-31,7,-28,7,-22,2,-26,4,-24,0,-24,0,-24,-2,-23,-1,-21,-1,-24,-5,-20,-6,-21,-5,-21,-7,-23,-6,-20,-7,-18,-7,-20,-7,-17,-11,-17,-11,-19,-10,-16,-8,-16,-9,-20,-13,-12,-15,-16,-12,-16,-14,-22,-8,-19,-11,-16,-9,-20,-10,-16,-9,-16,-13,-16,-12,-15,-9,-12,-8,-16,-10,-13,-11,-14,-8,-12,-9,-16,-4,-13,-5,-15,-2,-13,-5,-10,-5,-12,-4,-9,-4,-9,-3,-10,0,0,0,0,0,0,0,0,0,0]"""
