pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782105721153,2026-06-22T14:22:01.153,safe,absence,yja,empty,t034,"CSI_DATA,119453,1a:00:00:00:00:00,-66,11,-99,17,51,11,1321888200,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,-12,0,-9,1,-12,0,-10,3,-13,3,-12,4,-11,3,-11,2,-11,2,-13,2,-12,2,-12,2,-11,3,-12,3,-10,3,-13,3,-10,4,-13,5,-10,4,-9,3,-8,3,-8,1,-10,1,-9,2,-9,1,-7,1,-7,0,-6,0,-8,1,-4,0,-8,0,-7,0,-4,0,-4,0,-4,-1,-2,-2,-4,-3,-3,-2,-3,-2,-2,-1,-2,-1,-2,-2,-1,-1,-2,-3,-1,-2,0,-1,0,-1,0,-2,0,-2,1,-1,1,-3,1,-1,3,0,4,0,4,-2,4,0,0,0,0,0,0,6,0,6,0,8,0,7,1,5,0,8,0,7,-1,9,-2,6,-1,10,-2,10,-2,9,-2,7,-2,8,-4,9,-5,8,-7,8,-6,8,-6,9,-6,8,-7,10,-8,7,-7,12,-10,10,-8,9,-10,10,-8,8,-9,8,-14,8,-13,8,-12,8,-12,10,-12,8,-13,10,-16,9,-14,14,-19,14,-15,12,-16,12,-16,12,-12,11,-13,11,-18,11,-17,10,-14,12,-15,12,-12,15,-15,13,-13,19,-14,17,-10,15,-10,16,-9,15,-7,14,-8,16,-10,13,-8,15,-6,0,0,0,0,0,0,0,0,0,0]"""
1782105721158,2026-06-22T14:22:01.158,safe,absence,yja,empty,t034,"CSI_DATA,119454,1a:00:00:00:00:00,-66,11,-99,18,51,11,1321899124,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,10,-2,13,-1,8,-2,13,-1,9,-4,14,-5,13,-5,10,-4,12,-5,8,-6,12,-6,11,-4,10,-5,10,-6,12,-4,8,-6,13,-4,7,-7,12,-6,10,-5,10,-4,8,-5,6,-4,8,-3,8,-3,6,-3,6,-5,7,0,5,-2,7,-2,6,-3,8,-3,4,0,6,-1,6,-1,4,0,4,0,5,2,2,1,3,1,3,1,3,1,3,2,0,1,0,3,1,1,1,2,0,3,0,1,-1,2,-1,2,0,1,0,2,-2,3,-3,3,-5,3,-4,0,0,0,0,0,0,-4,-2,-4,-2,-8,-2,-5,-2,-4,0,-8,-1,-6,-1,-9,0,-6,-1,-11,-1,-9,0,-9,-1,-8,1,-9,0,-10,0,-10,3,-10,3,-9,3,-13,3,-8,4,-13,6,-9,3,-15,6,-13,6,-11,4,-10,6,-11,5,-13,8,-13,9,-13,9,-11,6,-16,9,-10,8,-16,13,-13,9,-22,14,-17,8,-16,12,-18,8,-16,8,-15,7,-18,12,-17,10,-15,8,-20,8,-13,8,-21,11,-16,5,-26,8,-18,3,-19,5,-17,2,-16,3,-13,1,-19,2,-16,0,-17,0,0,0,0,0,0,0,0,0,0,0]"""
1782105721163,2026-06-22T14:22:01.163,safe,absence,yja,empty,t034,"CSI_DATA,119455,1a:00:00:00:00:00,-66,11,-99,18,51,11,1321910124,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-1,-11,-2,-10,-3,-13,-1,-11,-1,-13,-2,-13,-4,-11,-2,-9,-3,-12,-3,-13,-1,-12,-1,-13,-1,-12,0,-12,-1,-11,-3,-11,-2,-9,0,-12,-1,-12,0,-11,1,-9,0,-9,0,-10,0,-9,1,-9,1,-7,0,-7,1,-7,0,-8,2,-3,2,-6,1,-6,2,-5,3,-5,3,-3,1,-4,3,-3,4,-2,4,-2,3,-1,3,0,3,0,3,1,3,0,2,2,3,2,2,2,1,2,0,3,1,3,1,3,-1,4,0,3,-1,3,-1,3,-3,3,-2,0,0,0,0,0,0,-6,-3,-4,-2,-6,-2,-6,-1,-6,-1,-7,-1,-7,-1,-9,0,-7,0,-9,0,-9,0,-9,1,-8,0,-9,2,-10,3,-9,4,-9,3,-9,5,-9,6,-10,6,-10,7,-9,8,-10,10,-10,9,-7,12,-9,9,-7,11,-7,14,-7,13,-6,14,-6,14,-5,15,-7,15,-7,18,-3,15,-7,19,-6,20,-8,17,-4,19,-6,17,-5,18,-4,20,-6,19,-4,19,-4,20,-6,17,-6,20,-3,18,-6,20,-6,19,-6,17,-6,18,-7,16,-6,16,-6,18,-6,14,-6,15,0,0,0,0,0,0,0,0,0,0]"""
1782105721168,2026-06-22T14:22:01.168,safe,absence,yja,empty,t034,"CSI_DATA,119456,1a:00:00:00:00:00,-66,11,-99,14,52,11,1321929959,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,-4,-9,-6,-7,-5,-10,-7,-9,-6,-9,-9,-9,-9,-8,-9,-8,-7,-6,-9,-9,-9,-7,-9,-6,-9,-6,-9,-8,-11,-6,-7,-7,-8,-7,-7,-8,-12,-6,-11,-6,-10,-5,-8,-4,-7,-6,-7,-6,-6,-4,-6,-5,-6,-6,-6,-5,-4,-6,-4,-5,-3,-7,-6,-3,-4,-4,-3,-3,-3,-3,-1,-4,-1,-5,0,-4,-1,-3,0,-4,0,-3,0,-3,2,-3,1,-3,0,-1,2,-2,0,-1,1,0,2,0,2,0,2,0,2,1,2,1,4,1,3,2,3,2,3,0,0,0,0,0,0,3,-4,3,-4,4,-8,3,-6,2,-5,3,-7,3,-6,4,-8,2,-7,3,-9,2,-9,2,-8,2,-9,2,-9,1,-10,0,-12,0,-11,0,-9,0,-12,0,-10,-2,-13,-2,-11,-1,-16,-1,-13,-1,-13,-1,-13,-1,-12,-6,-15,-4,-15,-4,-14,-3,-13,-5,-16,-6,-14,-8,-18,-6,-15,-7,-23,-5,-19,-6,-19,-3,-19,-5,-18,-4,-17,-8,-20,-5,-20,-5,-17,-3,-21,-5,-16,-6,-21,-3,-19,-2,-24,0,-19,0,-18,1,-18,0,-18,1,-16,2,-19,2,-16,3,-16,0,0,0,0,0,0,0,0,0,0]"""
1782105721172,2026-06-22T14:22:01.172,safe,absence,yja,empty,t034,"CSI_DATA,119457,1a:00:00:00:00:00,-66,11,-99,19,51,11,1321933625,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,10,-6,9,-6,10,-6,10,-8,10,-8,6,-5,8,-7,10,-8,10,-9,10,-9,5,-10,6,-8,7,-12,6,-10,6,-10,5,-10,6,-10,5,-8,3,-8,5,-9,7,-10,6,-10,4,-8,2,-10,2,-7,2,-9,2,-7,3,-8,3,-6,3,-5,1,-4,2,-3,4,-4,3,-3,3,-3,3,-3,4,-2,2,-2,2,-2,2,-1,3,-1,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,1,2,1,2,1,2,2,1,3,0,2,1,2,1,5,0,0,0,0,0,0,0,-1,-8,0,-7,0,-5,0,-6,-1,-6,0,-7,-1,-8,0,-7,0,-8,-1,-7,-2,-6,-4,-8,-4,-9,-4,-10,-1,-8,-2,-10,-2,-10,-2,-11,-4,-11,-6,-12,-5,-10,-6,-12,-5,-9,-7,-9,-9,-10,-10,-13,-8,-13,-5,-13,-6,-15,-7,-14,-8,-16,-9,-16,-9,-17,-9,-16,-8,-16,-6,-12,-10,-14,-9,-16,-13,-17,-10,-21,-7,-19,-1,-17,-2,-21,-2,-23,-3,-21,-1,-21,0,-19,-2,-20,0,-14,-1,-16,0,-16,-2,-20,1,-20,2,-18,5,-13,8,-15,8,-14,0,0,0,0,0,0,0,0,0,0]"""
1782105721175,2026-06-22T14:22:01.175,safe,absence,yja,empty,t034,"CSI_DATA,119458,1a:00:00:00:00:00,-66,11,-99,19,51,11,1321944884,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,-2,-9,-2,-13,-3,-10,-2,-13,-3,-10,-4,-10,-3,-12,-4,-11,-4,-13,-4,-11,-4,-11,-4,-11,-5,-12,-5,-10,-3,-13,-5,-9,-2,-10,-3,-9,-3,-10,-5,-11,-5,-9,-4,-10,-3,-8,-2,-9,-3,-8,-2,-7,-1,-6,0,-9,-2,-7,0,-5,0,-5,0,-6,0,-5,0,-5,1,-5,1,-3,1,-3,0,-3,1,-3,2,-2,2,-1,2,-1,2,0,3,0,2,1,2,0,2,0,2,1,2,1,2,2,2,2,2,3,1,3,1,2,3,2,2,3,0,0,0,0,0,0,0,0,-4,-2,-7,0,-6,-4,-7,-3,-8,-4,-5,-5,-8,-3,-6,-6,-7,-5,-5,-5,-6,-8,-6,-8,-7,-9,-7,-8,-6,-7,-6,-8,-7,-9,-5,-9,-3,-11,-5,-10,-4,-13,-2,-10,-3,-12,-1,-14,-2,-13,-2,-15,-2,-15,-1,-16,-3,-16,-2,-17,0,-15,1,-21,-2,-17,0,-19,2,-15,0,-20,2,-18,-1,-20,2,-19,0,-21,0,-19,-1,-21,-3,-22,-2,-19,0,-21,-2,-17,-2,-21,0,-15,-1,-20,0,-18,-2,-18,-1,-18,-3,-20,-5,-17,-5,-14,-6,-13,-6,0,0,0,0,0,0,0,0,0,0]"""
1782105721178,2026-06-22T14:22:01.178,safe,absence,yja,empty,t034,"CSI_DATA,119459,1a:00:00:00:00:00,-66,11,-99,22,50,11,1321957905,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-4,10,-3,11,-3,12,-4,11,-4,13,-3,13,-3,11,-3,11,-2,12,-4,12,-5,10,-5,10,-6,11,-5,11,-4,10,-3,11,-5,9,-4,11,-5,10,-6,7,-6,9,-5,7,-4,8,-6,6,-6,6,-6,6,-6,5,-6,5,-5,5,-6,3,-5,3,-7,3,-6,1,-4,1,-6,0,-4,0,-4,0,-5,-1,-4,-1,-2,-2,-2,-2,-2,-1,-2,-3,-1,-2,-1,-2,0,-2,0,-1,0,-3,0,-2,0,-2,1,-1,2,-2,3,-1,3,-1,3,-1,3,0,4,0,0,0,0,0,0,5,0,6,-1,6,-3,6,-1,6,-3,6,-4,6,-4,6,-5,5,-5,6,-7,6,-6,6,-7,4,-7,4,-7,4,-10,2,-10,2,-11,2,-10,2,-11,1,-10,0,-12,0,-13,0,-15,0,-14,-2,-13,-2,-13,-3,-13,-7,-15,-7,-13,-7,-13,-7,-13,-8,-15,-8,-15,-10,-17,-9,-15,-12,-19,-10,-19,-10,-16,-10,-17,-9,-16,-12,-14,-16,-15,-14,-15,-14,-13,-14,-15,-12,-14,-13,-16,-12,-14,-13,-17,-11,-17,-10,-14,-9,-15,-9,-13,-9,-12,-12,-15,-10,-13,-9,-13,0,0,0,0,0,0,0,0,0,0]"""
1782105721182,2026-06-22T14:22:01.182,safe,absence,yja,empty,t034,"CSI_DATA,119460,1a:00:00:00:00:00,-66,11,-99,17,51,11,1321965248,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-9,-3,-11,-3,-9,-3,-12,-3,-10,-1,-13,0,-12,0,-11,-1,-12,0,-12,-2,-12,-2,-12,-3,-11,-2,-11,-1,-12,-2,-9,-3,-11,-2,-11,-3,-12,-2,-12,-3,-10,-2,-9,-2,-8,-4,-9,-4,-8,-3,-7,-2,-7,-2,-8,-4,-4,-4,-4,-4,-6,-6,-4,-3,-4,-4,-4,-4,-3,-3,-1,-3,-3,-4,0,-4,0,-4,0,-2,0,-3,0,-3,0,-3,0,-1,0,-1,1,0,1,-1,2,-1,3,0,2,0,4,0,2,0,2,2,2,4,3,3,2,4,3,0,0,0,0,0,0,2,-6,1,-7,0,-8,1,-6,0,-7,0,-8,0,-7,-1,-10,-1,-7,0,-9,-1,-10,0,-8,-2,-7,-1,-9,-6,-9,-6,-8,-6,-7,-5,-8,-6,-10,-7,-6,-9,-8,-8,-8,-10,-10,-10,-9,-9,-9,-9,-8,-11,-8,-15,-6,-14,-5,-12,-4,-13,-6,-15,-8,-16,-2,-18,-4,-17,-6,-21,-7,-17,-10,-17,-7,-17,-9,-18,-7,-17,-5,-21,-3,-20,-4,-17,-3,-19,-7,-18,-3,-20,-4,-18,-6,-22,-8,-16,-8,-16,-8,-16,-11,-16,-8,-15,-8,-18,-6,-15,-6,-14,-8,0,0,0,0,0,0,0,0,0,0]"""
1782105721184,2026-06-22T14:22:01.184,safe,absence,yja,empty,t034,"CSI_DATA,119461,1a:00:00:00:00:00,-66,11,-99,18,51,11,1321976124,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-6,9,-6,9,-5,10,-6,9,-4,12,-4,13,-3,11,-3,11,-3,11,-3,13,-3,12,-3,12,-3,10,-1,9,-2,12,-2,12,-2,11,-1,13,0,10,0,8,0,8,0,11,0,9,-1,9,0,8,0,8,-1,5,0,8,-3,6,0,11,0,9,-1,7,-4,8,-4,2,-3,1,2,0,-6,7,-3,6,3,6,-5,-1,2,7,-5,1,-2,5,1,6,2,2,0,-4,2,4,-2,4,-4,0,4,-3,0,-4,-5,0,3,-2,-3,1,-2,-5,0,-5,3,0,0,0,0,0,0,-1,6,2,6,0,7,0,6,0,6,0,7,1,7,2,7,1,8,3,10,2,9,3,9,2,9,3,8,4,9,3,9,3,10,3,9,3,9,4,10,5,11,6,10,7,11,8,13,9,11,6,10,7,11,10,14,8,11,8,12,8,11,9,12,9,14,10,13,12,14,12,16,11,18,11,16,10,18,8,16,10,17,11,19,9,18,7,17,7,17,7,19,6,19,6,17,5,21,3,19,3,19,1,18,0,16,0,16,0,19,-1,16,-1,15,0,0,0,0,0,0,0,0,0,0]"""
1782105721187,2026-06-22T14:22:01.187,safe,absence,yja,empty,t034,"CSI_DATA,119462,1a:00:00:00:00:00,-66,11,-99,19,51,11,1321987174,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-1,12,0,10,0,13,2,10,0,13,2,13,3,10,3,10,4,10,3,13,2,13,2,12,3,10,3,12,5,8,4,12,5,8,4,13,7,9,5,8,4,9,5,6,3,8,5,8,3,7,3,7,3,8,4,5,2,8,3,4,2,8,2,5,2,6,2,5,1,4,1,3,0,4,0,5,0,4,0,3,0,2,0,2,-1,2,-1,2,-2,2,-1,0,-2,0,-2,0,-1,0,-2,0,-3,-1,-2,-1,-3,-1,-3,-1,-2,-3,-3,-2,-2,0,0,0,0,0,0,-5,3,-5,4,-4,7,-4,5,-3,4,-3,8,-4,5,-5,8,-2,5,-5,10,-4,10,-3,8,-2,7,-3,8,-2,10,0,11,-1,10,-1,10,-2,13,-1,9,-1,13,0,11,-1,16,0,15,0,13,-1,13,0,12,2,16,2,15,2,15,1,13,0,18,0,14,1,20,0,17,0,25,-3,19,0,20,-2,19,-3,17,-1,16,-1,21,-2,21,-2,18,-4,21,-3,16,-5,22,-5,17,-10,22,-10,16,-8,16,-10,14,-10,14,-9,13,-11,15,-10,13,-11,12,0,0,0,0,0,0,0,0,0,0]"""
