pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782104725729,2026-06-22T14:05:25.729,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884100,1a:00:00:00:00:00,-52,11,-98,15,36,11,1272615750,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,0,-17,0,-19,-3,-19,-2,-19,-4,-18,-5,-19,-6,-18,-6,-19,-7,-20,-9,-20,-9,-19,-9,-22,-10,-20,-11,-18,-13,-20,-16,-20,-12,-18,-16,-19,-17,-18,-14,-18,-13,-19,-18,-19,-18,-18,-18,-17,-19,-19,-17,-17,-18,-18,-18,-18,-19,-18,-17,-16,-17,-19,-19,-19,-18,-16,-16,-19,-17,-19,-16,-18,-13,-20,-12,-19,-14,-22,-13,-20,-14,-21,-14,-20,-14,-22,-13,-19,-12,-21,-13,-21,-15,-23,-13,-23,-13,-26,-14,-24,-15,-24,-14,-25,-17,-25,-15,-27,-14,-28,-14,-26,-16,0,0,0,0,0,0,-19,24,-19,25,-14,24,-16,24,-16,24,-16,23,-15,24,-15,25,-15,21,-15,21,-12,22,-12,20,-12,22,-12,22,-12,22,-7,19,-10,22,-10,21,-11,21,-9,21,-6,21,-10,21,-6,20,-8,19,-7,20,-7,20,-6,20,-5,21,-6,23,-3,22,-6,21,-5,20,-7,23,-6,22,-6,19,-7,20,-6,21,-6,20,-6,19,-7,19,-6,18,-6,18,-6,18,-6,19,-8,16,-5,16,-7,14,-7,16,-8,12,-7,13,-8,12,-6,12,-8,10,-9,9,-6,9,-6,10,-7,6,0,0,0,0,0,0,0,0,0,0]"""
1782104725736,2026-06-22T14:05:25.736,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884101,1a:00:00:00:00:00,-52,11,-98,19,35,11,1272624062,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,18,-3,20,-1,19,-4,18,-4,19,-6,19,-6,22,-6,22,-7,20,-7,21,-7,22,-9,20,-11,20,-12,23,-10,23,-12,23,-12,20,-9,19,-12,18,-12,22,-14,22,-12,23,-13,24,-12,21,-13,22,-13,20,-14,21,-11,21,-12,20,-12,21,-12,23,-11,21,-9,22,-9,23,-8,22,-8,23,-9,24,-7,22,-7,22,-6,25,-7,24,-5,26,-6,25,-5,25,-5,26,-3,26,-5,25,-6,30,-4,28,-3,29,-6,30,-6,29,-3,32,-3,32,-4,28,0,0,0,0,0,0,31,7,32,4,30,1,27,5,29,4,26,5,28,0,28,3,26,1,24,2,24,2,25,1,25,0,25,0,23,0,24,-1,26,-1,24,-2,23,0,23,-2,21,-6,24,-3,19,-5,21,-4,21,-4,21,-6,22,-6,19,-8,21,-6,20,-9,20,-6,20,-6,20,-6,19,-8,19,-6,20,-7,20,-6,19,-8,19,-7,19,-6,18,-6,19,-5,19,-5,18,-7,19,-6,18,-6,16,-4,18,-5,14,-2,15,-3,13,-1,12,-2,13,-1,13,0,13,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0]"""
1782104725742,2026-06-22T14:05:25.742,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884102,1a:00:00:00:00:00,-52,11,-98,19,35,11,1272636863,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-12,12,-14,9,-16,10,-18,7,-17,7,-19,6,-19,6,-20,5,-22,6,-23,3,-21,3,-22,3,-24,3,-24,0,-23,-2,-25,0,-25,0,-25,-1,-24,-3,-25,-5,-27,-5,-24,-5,-24,-4,-25,-4,-25,-5,-24,-2,-23,-6,-25,-6,-23,-7,-25,-5,-23,-6,-25,-6,-24,-6,-23,-5,-25,-6,-23,-6,-22,-3,-25,-2,-25,-5,-24,-3,-24,-3,-25,-1,-25,-3,-27,-1,-26,-1,-25,-2,-25,-3,-25,0,-26,-1,-29,-3,-26,-3,-27,-2,-30,-2,-32,-4,-30,-2,-31,-5,-30,-4,0,0,0,0,0,0,-9,30,-6,30,-4,27,-6,29,-6,29,-6,26,-6,29,-7,27,-6,25,-6,24,-6,25,-6,24,-5,25,-6,25,-6,25,-3,23,-2,25,-3,24,-5,22,-2,23,0,22,-3,22,0,21,-2,22,-2,22,-2,22,-1,21,0,22,-2,23,0,22,0,21,0,22,-2,23,-1,23,-1,20,0,22,-3,23,-3,20,-3,22,-3,20,-1,19,0,19,-4,19,-5,19,-5,17,-5,18,-6,16,-6,15,-6,14,-5,15,-6,13,-6,13,-6,12,-8,12,-7,9,-6,10,-8,8,0,0,0,0,0,0,0,0,0,0]"""
1782104725748,2026-06-22T14:05:25.748,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884103,1a:00:00:00:00:00,-52,11,-98,15,36,11,1272646061,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,8,13,10,14,12,13,13,13,15,12,15,12,16,9,17,11,20,10,19,7,19,8,20,9,22,7,23,5,22,5,24,6,23,3,24,4,22,3,27,1,27,0,25,0,25,0,25,0,27,0,23,-2,25,-1,25,-3,23,0,25,-3,22,-2,24,-2,25,0,23,-1,25,-2,24,-2,22,-1,25,0,25,0,25,-2,26,0,25,-1,25,0,26,-2,24,-2,26,-2,26,0,26,0,25,-3,30,-1,29,-1,28,-5,31,-5,27,-5,32,-4,31,-5,30,0,0,0,0,0,0,30,10,31,9,28,5,26,10,27,9,25,11,25,8,26,8,25,8,24,10,24,10,20,10,25,9,22,8,22,9,22,8,22,6,24,6,21,6,21,8,22,6,22,8,20,6,20,6,20,8,22,7,21,6,22,6,20,6,21,5,19,8,21,8,20,7,19,6,19,6,20,8,19,9,19,8,20,8,18,10,16,9,16,11,17,11,17,10,15,11,15,10,12,11,12,12,10,12,11,10,9,12,8,11,6,10,7,11,6,12,6,11,3,12,0,0,0,0,0,0,0,0,0,0]"""
1782104725755,2026-06-22T14:05:25.755,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884104,1a:00:00:00:00:00,-52,11,-98,19,35,11,1272657061,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-17,-1,-18,0,-19,1,-19,2,-19,2,-19,3,-19,5,-19,5,-22,6,-20,7,-21,6,-21,7,-22,8,-22,11,-20,12,-21,9,-22,12,-22,10,-21,12,-22,12,-21,13,-23,13,-22,12,-23,15,-22,12,-21,13,-20,14,-21,13,-19,12,-21,12,-21,13,-24,13,-21,11,-20,12,-22,11,-23,11,-20,9,-25,9,-23,8,-23,10,-23,6,-23,6,-25,7,-26,9,-25,6,-24,8,-25,6,-25,6,-25,7,-29,6,-28,6,-28,8,-30,8,-29,6,-30,4,-32,6,-30,0,0,0,0,0,0,-31,-9,-30,-8,-30,-2,-27,-6,-28,-6,-26,-6,-25,-4,-28,-6,-25,-6,-26,-6,-25,-3,-23,-7,-26,-3,-25,-3,-25,-4,-25,-2,-25,0,-23,0,-23,0,-22,0,-23,2,-22,0,-22,1,-23,1,-21,0,-22,2,-22,1,-22,5,-22,3,-21,5,-21,3,-24,4,-21,4,-20,4,-20,3,-21,3,-21,2,-19,3,-21,3,-19,2,-19,1,-20,1,-20,2,-18,2,-19,0,-19,1,-18,0,-19,0,-16,-1,-16,0,-15,-2,-14,0,-12,0,-12,-2,-13,-3,-11,-2,-12,-3,0,0,0,0,0,0,0,0,0,0]"""
1782104725762,2026-06-22T14:05:25.762,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884105,1a:00:00:00:00:00,-52,11,-98,14,36,11,1272668153,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-16,0,-17,0,-16,2,-18,2,-16,3,-19,4,-19,6,-19,7,-21,8,-20,9,-21,8,-20,9,-22,10,-21,13,-18,13,-20,14,-21,16,-20,14,-17,16,-21,16,-20,17,-18,16,-18,17,-17,18,-18,16,-18,17,-16,18,-17,17,-16,16,-18,16,-16,18,-18,18,-17,17,-16,17,-18,16,-18,15,-16,16,-20,16,-19,15,-19,16,-18,12,-20,14,-20,16,-21,18,-21,14,-22,17,-21,15,-22,16,-23,17,-24,16,-23,16,-24,19,-24,19,-23,18,-24,17,-24,18,-24,0,0,0,0,0,0,-24,-20,-21,-22,-24,-18,-22,-21,-20,-20,-19,-19,-20,-16,-21,-19,-19,-16,-17,-20,-19,-17,-16,-16,-19,-16,-17,-17,-19,-18,-17,-15,-18,-16,-18,-15,-16,-14,-18,-13,-19,-11,-17,-14,-17,-11,-17,-11,-17,-13,-16,-12,-17,-13,-19,-10,-18,-13,-18,-10,-18,-11,-19,-13,-17,-12,-18,-11,-16,-12,-19,-15,-17,-13,-16,-11,-16,-12,-16,-13,-15,-11,-15,-12,-15,-13,-14,-13,-11,-13,-14,-11,-12,-13,-11,-13,-9,-12,-8,-12,-8,-12,-6,-10,-7,-12,-3,-13,-5,-11,-4,-10,-3,-12,0,0,0,0,0,0,0,0,0,0]"""
1782104725769,2026-06-22T14:05:25.769,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884106,1a:00:00:00:00:00,-51,11,-98,11,34,11,1272679061,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-35,-28,-7,3,6,-37,-39,33,-63,52,-20,-39,-26,-2,-58,-6,-4,61,-12,-9,-13,30,14,9,2,48,-9,6,-29,29,7,13,6,6,-15,11,-12,26,-4,14,-6,24,-11,28,-4,26,-8,28,-8,25,-12,25,-9,23,-12,24,-6,25,-9,18,-8,20,-8,22,-12,22,-8,20,-13,23,-12,18,-12,20,-12,22,-12,20,-15,20,-13,18,-18,17,-15,18,-19,17,-19,18,-17,17,-20,19,-18,18,-19,19,-23,19,-23,18,-24,20,-24,20,-22,22,-25,18,-26,15,-23,0,0,0,0,0,0,-23,-14,-23,-19,-22,-18,-23,-19,-28,-18,-24,-14,-20,-14,-25,-15,-24,-14,-19,-14,-23,-12,-20,-12,-22,-11,-23,-13,-22,-11,-24,-8,-25,-7,-23,-7,-20,-7,-23,-8,-24,-6,-20,-7,-19,-3,-22,-4,-22,-3,-22,-4,-24,-2,-23,-1,-22,-2,-23,1,-20,0,-22,-1,-23,-2,-22,-1,-20,1,-20,-1,-20,0,-19,-1,-20,0,-22,-2,-17,-1,-22,-1,-23,-2,-19,0,-19,-2,-18,0,-15,-2,-17,0,-14,-2,-14,-2,-13,-4,-15,-1,-14,-3,-13,-3,-12,-2,-9,-3,-9,-4,0,0,0,0,0,0,0,0,0,0]"""
1782104725777,2026-06-22T14:05:25.777,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884107,1a:00:00:00:00:00,-52,11,-98,15,36,11,1272690362,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,12,-14,9,-15,10,-16,9,-19,7,-18,6,-19,5,-19,4,-21,4,-20,1,-20,0,-23,0,-24,0,-24,0,-23,-4,-24,-5,-25,-4,-24,-6,-23,-6,-22,-10,-25,-12,-22,-10,-21,-12,-23,-11,-23,-12,-21,-12,-19,-14,-20,-15,-20,-15,-20,-14,-19,-14,-19,-17,-19,-15,-19,-14,-20,-15,-19,-14,-18,-15,-19,-14,-19,-15,-19,-16,-19,-16,-19,-15,-19,-17,-22,-18,-18,-17,-19,-13,-19,-17,-19,-15,-19,-19,-21,-21,-20,-21,-20,-20,-19,-24,-17,-24,-20,-25,-19,-25,-19,-24,0,0,0,0,0,0,-28,13,-26,12,-26,14,-25,12,-26,12,-24,10,-25,12,-26,10,-25,8,-25,8,-21,7,-23,6,-25,8,-25,7,-22,6,-22,6,-24,8,-21,7,-24,6,-22,7,-21,7,-22,5,-19,6,-21,6,-20,5,-22,5,-20,4,-22,6,-22,5,-20,6,-20,3,-22,4,-23,3,-20,4,-19,2,-22,0,-22,2,-19,1,-22,0,-20,0,-19,0,-19,-1,-19,-2,-20,-3,-19,-4,-18,-2,-15,-4,-17,-5,-13,-6,-14,-6,-13,-6,-12,-6,-11,-7,-11,-8,-8,-9,-7,-8,-6,-9,0,0,0,0,0,0,0,0,0,0]"""
1782104725783,2026-06-22T14:05:25.783,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884108,1a:00:00:00:00:00,-52,11,-98,20,35,11,1272702134,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-15,5,-15,6,-17,7,-16,9,-16,10,-15,11,-15,13,-15,15,-15,15,-14,18,-12,17,-14,21,-14,21,-13,22,-8,23,-10,21,-10,24,-6,21,-5,23,-7,23,-6,26,-4,25,-3,26,-1,26,0,24,-3,26,0,26,0,26,1,25,0,24,1,25,0,24,0,22,0,25,0,25,0,24,0,25,0,26,3,26,0,24,1,26,0,26,2,28,1,24,2,25,0,26,5,26,1,27,4,30,5,27,4,29,5,29,8,28,8,31,8,30,7,30,6,0,0,0,0,0,0,15,-28,15,-29,11,-26,13,-24,14,-26,15,-21,14,-23,15,-23,15,-21,14,-19,13,-21,14,-20,12,-22,15,-21,14,-19,13,-21,14,-20,14,-18,15,-18,13,-19,12,-19,15,-17,11,-18,12,-16,15,-17,14,-16,13,-16,13,-17,15,-17,11,-18,14,-16,14,-16,17,-16,15,-15,14,-15,15,-14,17,-15,15,-13,17,-13,15,-12,16,-10,16,-10,17,-10,18,-9,18,-5,16,-6,15,-5,15,-6,15,-5,15,-5,15,-1,14,-1,14,0,12,0,14,2,12,1,11,4,0,0,0,0,0,0,0,0,0,0]"""
1782104725790,2026-06-22T14:05:25.790,safe,breathing,lmh,lying_normal_breath,t023,"CSI_DATA,884109,1a:00:00:00:00:00,-52,11,-98,19,35,11,1272713585,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,16,0,19,-2,19,-5,19,-6,17,-6,19,-8,19,-8,20,-11,19,-12,19,-13,19,-13,20,-15,17,-17,15,-17,16,-17,17,-20,14,-20,12,-20,10,-23,10,-21,12,-24,12,-22,10,-25,8,-22,11,-23,7,-25,6,-25,6,-24,6,-23,6,-24,6,-25,5,-23,4,-25,4,-25,6,-22,4,-24,6,-25,3,-25,5,-25,3,-25,6,-24,4,-25,4,-23,2,-25,2,-26,2,-26,4,-28,1,-28,0,-29,0,-29,0,-29,-2,-29,-2,-32,0,-32,-2,-31,-2,0,0,0,0,0,0,-8,30,-11,29,-6,28,-10,26,-8,28,-8,25,-12,25,-12,25,-12,25,-12,20,-11,23,-11,22,-12,25,-12,23,-12,21,-10,21,-10,22,-12,20,-12,19,-12,20,-9,20,-12,19,-8,17,-12,19,-12,18,-12,19,-12,19,-12,19,-13,17,-11,18,-12,18,-12,18,-14,17,-13,16,-13,17,-15,14,-16,14,-15,13,-17,12,-15,12,-15,12,-17,11,-18,9,-18,8,-17,8,-17,9,-15,5,-15,6,-15,3,-16,2,-14,1,-13,2,-14,0,-12,0,-12,0,-11,-3,-12,-3,0,0,0,0,0,0,0,0,0,0]"""
