pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782118550864,2026-06-22T17:55:50.864,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285609,1a:00:00:00:00:00,-67,11,-98,14,49,11,1264674100,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,15,6,11,7,17,4,12,5,22,3,20,0,17,0,19,-1,15,0,20,-1,21,0,20,-3,19,-5,25,-1,15,-4,25,-4,20,-9,27,-9,22,-6,17,-11,20,-10,14,-11,21,-10,19,-11,19,-12,19,-13,20,-6,15,-11,25,-9,18,-12,25,-19,15,-15,15,-11,20,-11,9,-3,11,-5,23,-6,23,-5,9,-10,20,-4,12,-5,16,-11,19,-17,27,-14,25,-17,23,-6,18,-10,11,-2,11,-4,22,-2,22,-18,20,-7,18,-3,20,-17,26,-9,18,0,0,0,0,0,0,19,12,13,9,22,11,17,12,11,6,20,12,13,6,20,10,12,7,20,12,17,11,14,9,15,9,10,6,15,7,15,7,14,7,13,6,16,8,11,3,16,5,12,5,17,6,14,6,11,4,12,6,9,4,13,4,12,4,12,5,11,5,14,7,9,1,14,3,11,4,17,7,11,7,11,5,12,6,9,7,8,6,11,6,9,5,7,4,9,7,7,4,9,7,6,5,9,11,4,6,6,7,3,6,4,6,3,6,4,6,3,7,3,7,0,0,0,0,0,0,0,0,0,0]"""
1782118550870,2026-06-22T17:55:50.870,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285610,1a:00:00:00:00:00,-67,11,-98,14,49,11,1264683116,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,6,-15,4,-15,5,-15,4,-16,4,-15,3,-17,3,-17,1,-19,3,-20,1,-20,1,-20,0,-20,0,-22,0,-23,-1,-22,3,-22,2,-23,0,-22,0,-22,-1,-24,-3,-24,1,-24,-3,-22,-1,-23,-1,-22,-1,-23,-1,-22,0,-23,4,-21,3,-21,2,-19,4,-20,2,-20,4,-22,3,-22,6,-20,4,-19,5,-19,8,-19,8,-19,7,-18,11,-17,12,-19,12,-16,10,-14,11,-17,12,-18,14,-16,16,-17,16,-15,17,-15,15,-16,15,-14,17,-12,19,-14,17,-14,20,0,0,0,0,0,0,20,12,20,12,16,9,18,8,17,9,17,9,19,6,17,6,18,5,16,5,15,4,15,6,18,3,16,4,15,3,15,3,15,1,16,0,15,0,15,-2,14,-4,15,-2,13,-3,13,-4,14,-3,15,-6,14,-4,14,-5,14,-6,12,-4,12,-5,13,-4,11,-9,10,-9,12,-6,11,-7,10,-7,11,-7,12,-8,11,-7,12,-6,10,-5,10,-7,9,-7,9,-6,7,-7,9,-6,9,-6,7,-4,7,-4,8,-3,6,-4,7,-4,7,-4,7,-3,7,-1,6,-1,0,0,0,0,0,0,0,0,0,0]"""
1782118550875,2026-06-22T17:55:50.875,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285611,1a:00:00:00:00:00,-67,11,-98,19,48,11,1264693933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,13,-2,18,-1,15,-4,18,-4,15,-2,14,-4,19,-7,17,-4,22,-7,17,-6,18,-8,19,-10,20,-9,17,-16,22,-11,16,-16,20,-11,15,-11,16,-13,22,-14,17,-14,23,-13,16,-13,17,-13,18,-16,18,-12,16,-19,17,-15,14,-16,16,-9,11,-10,18,-11,17,-8,19,-12,20,-11,20,-11,15,-10,19,-11,21,-8,19,-13,20,-11,18,-8,20,-4,13,-5,22,-7,18,-2,23,-8,24,-5,22,-7,17,-7,22,-5,21,-7,23,-9,20,-4,20,-3,22,0,0,0,0,0,0,20,4,24,6,14,2,20,3,26,4,17,4,22,4,17,2,20,4,14,1,16,0,19,0,19,0,19,0,15,0,16,0,16,-1,16,-1,14,-2,19,-1,13,-2,16,-2,10,-1,11,-4,13,-5,13,-5,15,-7,13,-4,13,-4,13,-7,14,-6,11,-7,16,-4,12,-2,13,-5,7,-3,10,-7,11,-4,10,-7,14,-6,11,-5,11,-3,12,-3,11,-2,10,-3,13,-2,9,0,10,-2,7,-1,9,-2,8,-1,8,-3,9,-1,8,-2,6,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0]"""
1782118550880,2026-06-22T17:55:50.880,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285612,1a:00:00:00:00:00,-67,11,-98,14,49,11,1264708558,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,-6,-11,-7,-14,-9,-12,-8,-12,-12,-11,-11,-13,-9,-14,-12,-15,-13,-16,-14,-11,-16,-12,-16,-12,-15,-11,-18,-9,-17,-12,-22,-9,-17,-9,-25,-9,-17,-10,-18,-10,-20,-12,-20,-11,-23,-5,-21,-7,-21,-9,-22,-7,-23,-6,-20,-7,-23,-6,-19,-6,-22,-7,-15,-11,-17,-9,-16,-11,-17,-12,-19,-11,-19,-7,-19,-11,-17,-11,-21,-10,-17,-12,-20,-9,-17,-12,-19,-11,-12,-14,-16,-14,-15,-17,-12,-16,-16,-17,-16,-11,-15,-15,-18,-15,-16,-18,-17,-12,-17,-14,-12,-17,-15,0,0,0,0,0,0,-15,14,-19,16,-12,11,-15,15,-16,17,-14,12,-15,14,-11,12,-16,13,-10,12,-10,12,-10,14,-9,15,-8,15,-10,12,-8,14,-7,14,-9,14,-7,12,-7,15,-4,13,-9,14,-2,11,-3,13,-4,11,-3,14,-3,15,-4,12,-3,14,-3,13,-5,14,-3,12,-4,14,-4,13,-4,12,-3,10,-2,12,-1,12,0,14,-1,14,-3,13,-6,10,-3,12,-3,12,-3,10,-6,12,-4,7,-4,8,-3,6,-4,8,-4,7,-3,9,-3,8,-4,6,-4,5,-4,5,-5,4,0,0,0,0,0,0,0,0,0,0]"""
1782118550884,2026-06-22T17:55:50.884,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285613,1a:00:00:00:00:00,-67,11,-98,15,48,11,1264715933,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,-1,4,0,9,5,-30,-6,-2,-3,14,2,-6,-5,-23,-12,4,-20,-2,-24,-10,-20,-7,-18,-11,-21,-6,-19,-6,-25,-7,-22,-14,-22,-8,-18,-14,-32,-7,-23,-6,-23,-7,-25,-2,-20,-3,-23,-1,-22,0,-23,2,-20,2,-27,-2,-17,-1,-22,0,-20,-1,-27,3,-21,-1,-19,2,-22,2,-20,0,-18,-1,-22,1,-20,1,-17,4,-22,-2,-18,-2,-24,3,-21,4,-30,2,-20,0,-23,6,-20,2,-22,4,-19,4,-24,3,-23,4,-25,5,-20,3,-22,6,-26,5,-22,0,0,0,0,0,0,-22,-8,-14,-7,-23,-10,-20,-7,-13,-8,-21,-10,-14,-5,-19,-10,-14,-6,-19,-11,-17,-11,-13,-8,-16,-8,-12,-8,-14,-10,-14,-8,-14,-8,-12,-8,-14,-9,-10,-4,-14,-6,-12,-6,-14,-8,-13,-9,-11,-8,-12,-6,-9,-8,-12,-7,-12,-7,-11,-8,-11,-7,-12,-10,-9,-4,-12,-6,-10,-8,-12,-11,-10,-9,-10,-8,-8,-10,-9,-10,-6,-10,-8,-10,-6,-10,-5,-8,-5,-10,-4,-8,-6,-10,-3,-8,-4,-12,-1,-8,-2,-10,0,-8,0,-8,0,-6,0,-8,0,-6,2,-6,0,0,0,0,0,0,0,0,0,0]"""
1782118550888,2026-06-22T17:55:50.888,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285614,1a:00:00:00:00:00,-67,11,-98,14,49,11,1264730545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,12,-9,9,-12,13,-10,9,-16,9,-12,9,-13,9,-15,9,-17,10,-19,10,-19,4,-20,6,-20,5,-22,1,-20,0,-26,0,-19,-1,-23,-6,-18,-1,-22,-3,-25,-4,-22,-4,-26,-6,-19,-9,-21,-6,-21,-8,-20,-12,-18,-9,-22,-14,-16,-11,-18,-15,-14,-8,-19,-9,-19,-9,-19,-9,-20,-12,-17,-13,-12,-14,-19,-11,-18,-15,-16,-12,-16,-17,-13,-15,-15,-15,-12,-9,-19,-12,-15,-14,-19,-11,-19,-14,-19,-14,-12,-15,-15,-17,-13,-17,-16,-17,-11,-19,-14,-14,-15,-16,0,0,0,0,0,0,-16,10,-22,11,-15,7,-20,7,-21,11,-16,6,-19,8,-14,7,-20,6,-14,7,-15,7,-16,7,-15,7,-15,9,-14,4,-14,6,-13,6,-15,6,-13,4,-16,6,-12,4,-15,4,-10,4,-11,6,-14,6,-13,5,-14,7,-12,4,-12,4,-13,4,-14,4,-13,4,-16,2,-12,1,-14,1,-10,2,-13,3,-12,1,-12,4,-13,0,-13,0,-12,-3,-12,-1,-12,-2,-10,-1,-11,-4,-9,-4,-9,-4,-7,-2,-7,-4,-7,-3,-7,-4,-7,-4,-7,-5,-4,-4,-4,-6,-3,-6,0,0,0,0,0,0,0,0,0,0]"""
1782118550891,2026-06-22T17:55:50.891,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285615,1a:00:00:00:00:00,-67,11,-98,20,48,11,1264739647,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,10,-6,13,-6,12,-5,15,-6,13,-6,19,-6,20,-4,17,-2,18,-1,17,-1,21,-4,20,-2,21,-2,21,-1,22,0,19,2,23,2,21,1,26,3,26,5,23,2,20,6,20,4,24,2,23,1,21,2,21,3,23,3,19,5,23,2,20,4,23,4,21,6,20,3,20,3,18,4,18,0,21,-2,20,-1,17,-2,19,0,17,0,21,-1,19,-1,24,-1,24,-1,23,-1,21,0,20,0,21,-4,24,-5,20,-6,22,-6,22,-4,21,-8,22,-5,23,-2,0,0,0,0,0,0,-3,-20,-4,-18,-5,-23,-3,-21,-4,-16,-6,-21,-4,-16,-6,-19,-6,-15,-7,-20,-6,-19,-6,-16,-5,-16,-5,-13,-10,-15,-10,-13,-9,-12,-7,-11,-8,-12,-8,-12,-10,-13,-8,-9,-11,-12,-8,-13,-9,-9,-8,-10,-9,-9,-12,-8,-10,-8,-11,-8,-10,-7,-10,-9,-9,-8,-12,-9,-10,-7,-12,-10,-10,-10,-9,-8,-9,-9,-8,-8,-9,-8,-10,-7,-9,-7,-7,-6,-6,-7,-7,-6,-7,-8,-6,-8,-7,-10,-5,-9,-5,-7,-3,-8,-4,-7,-3,-5,-4,-6,-4,-6,-2,-6,0,0,0,0,0,0,0,0,0,0]"""
1782118550894,2026-06-22T17:55:50.894,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285616,1a:00:00:00:00:00,-67,11,-98,21,48,11,1264751611,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-5,-14,-11,-9,-8,-11,-13,-8,-11,-11,-16,-7,-15,-3,-16,-9,-19,-2,-16,-4,-19,-3,-21,-1,-20,0,-21,3,-25,-1,-17,1,-24,4,-21,6,-25,10,-22,12,-19,8,-23,11,-16,12,-17,13,-20,12,-17,13,-16,18,-18,9,-15,14,-17,14,-14,17,-18,16,-12,16,-14,18,-12,16,-14,14,-12,15,-14,15,-14,15,-11,20,-10,11,-13,16,-17,17,-10,21,-14,17,-8,19,-13,20,-8,20,-10,19,-10,19,-12,17,-14,21,-10,19,-7,20,-11,25,-9,20,-5,0,0,0,0,0,0,-2,-25,-1,-19,-2,-24,-1,-21,0,-17,0,-23,0,-15,0,-21,0,-16,0,-19,0,-18,3,-15,-1,-19,2,-13,1,-16,2,-17,1,-16,2,-15,3,-17,-1,-12,0,-15,2,-14,2,-16,3,-15,3,-13,2,-14,3,-11,4,-14,3,-14,3,-14,3,-11,6,-15,2,-11,4,-14,4,-11,7,-15,7,-10,6,-10,8,-10,8,-11,6,-8,8,-8,8,-7,7,-7,10,-6,5,-6,10,-6,10,-5,11,-5,7,-2,8,-4,9,-1,8,-1,7,0,8,-1,7,0,7,1,0,0,0,0,0,0,0,0,0,0]"""
1782118550897,2026-06-22T17:55:50.897,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285617,1a:00:00:00:00:00,-67,11,-98,19,48,11,1264759968,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,13,5,15,4,13,2,16,2,17,0,17,0,18,-2,17,-2,22,-6,19,-5,17,-9,19,-9,17,-11,19,-14,19,-10,19,-11,19,-15,17,-16,15,-17,13,-18,8,-20,16,-20,10,-19,10,-22,8,-20,8,-22,7,-22,8,-19,9,-20,10,-21,7,-20,7,-20,4,-22,4,-22,2,-21,4,-22,4,-18,5,-20,2,-20,2,-22,1,-20,6,-20,6,-22,2,-22,2,-17,0,-22,2,-21,-1,-22,1,-23,0,-21,2,-23,1,-24,0,-22,0,-23,0,-23,-1,-24,-3,0,0,0,0,0,0,-6,23,-7,21,-6,21,-4,21,-7,19,-7,20,-7,19,-5,19,-6,16,-6,15,-7,16,-8,14,-6,17,-10,14,-7,14,-8,15,-8,14,-8,14,-8,14,-5,14,-4,15,-6,13,-7,12,-7,12,-8,10,-8,14,-8,11,-7,11,-10,11,-7,11,-8,10,-8,12,-7,11,-7,11,-9,10,-10,10,-10,8,-10,8,-10,7,-10,8,-11,7,-8,7,-10,4,-10,3,-11,3,-9,4,-8,4,-10,2,-10,1,-7,0,-9,1,-9,0,-8,-1,-9,-2,-6,-2,-7,-2,-6,-2,0,0,0,0,0,0,0,0,0,0]"""
1782118550900,2026-06-22T17:55:50.900,safe,breathing,yja,lying_normal_breath,t018,"CSI_DATA,1285618,1a:00:00:00:00:00,-67,11,-98,17,48,11,1264771744,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,6,13,10,10,7,12,11,11,10,13,16,9,18,6,15,8,17,4,17,9,20,6,20,5,20,3,18,3,23,3,18,2,23,3,22,0,27,-3,25,-3,19,-3,23,-6,19,-3,23,-4,23,-6,22,-5,18,-7,22,-2,17,-5,20,-5,22,-7,25,-8,20,-6,19,-9,19,-9,18,-6,19,-2,21,-5,18,-3,16,-8,18,-2,18,-1,22,-5,21,-9,27,-8,18,-6,23,-12,18,-6,19,-6,20,-5,26,-5,21,-8,21,-8,21,-4,22,-10,21,-9,21,0,0,0,0,0,0,20,9,15,9,22,11,20,9,14,7,20,10,14,7,18,10,15,6,17,11,17,11,13,9,15,8,11,9,16,8,15,8,13,7,12,6,13,8,11,5,15,5,13,5,14,7,13,6,11,6,11,6,9,6,13,5,13,5,11,5,11,5,13,8,11,3,11,5,11,5,15,8,9,8,10,6,8,9,9,8,9,8,10,8,8,8,6,5,6,8,7,6,8,7,5,8,6,11,3,9,4,8,1,9,2,8,1,6,2,8,2,6,0,7,0,0,0,0,0,0,0,0,0,0]"""
