pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782097229196,2026-06-22T12:00:29.196,safe,motion,lmh,hand_move,t026,"CSI_DATA,202612,1a:00:00:00:00:00,-44,11,-98,19,28,11,488555349,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,8,-5,8,-6,9,-8,8,-8,9,-8,8,-8,9,-10,8,-10,9,-12,8,-13,8,-12,9,-13,10,-14,9,-14,7,-16,8,-16,9,-18,6,-16,5,-15,7,-15,5,-18,7,-19,7,-20,5,-21,6,-19,8,-19,5,-21,7,-21,5,-21,6,-19,6,-21,6,-21,7,-21,7,-21,9,-21,9,-21,9,-21,9,-21,9,-21,10,-21,10,-22,11,-22,10,-23,14,-21,11,-22,15,-24,13,-22,13,-25,13,-26,13,-25,13,-26,15,-28,13,-29,13,-28,15,-30,15,-28,13,0,0,0,0,0,0,10,31,12,31,11,28,10,29,11,30,8,26,9,29,8,30,9,28,6,27,10,26,10,26,10,26,10,27,9,26,10,24,11,26,10,24,8,26,10,26,12,23,8,26,8,21,10,22,10,22,10,22,10,23,10,21,10,23,11,21,10,21,10,21,8,25,10,21,9,21,5,23,7,23,6,21,6,23,5,22,5,22,5,21,3,22,3,21,1,20,2,21,0,19,0,20,0,16,-1,18,-2,16,-3,16,-4,15,-4,15,-5,13,-5,12,-8,10,0,0,0,0,0,0,0,0,0,0]"""
1782097229204,2026-06-22T12:00:29.204,safe,motion,lmh,hand_move,t026,"CSI_DATA,202613,1a:00:00:00:00:00,-44,11,-98,14,29,11,488565514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-8,5,-8,6,-9,7,-8,7,-9,7,-8,9,-8,10,-8,9,-9,10,-8,12,-10,11,-10,12,-10,12,-10,15,-7,14,-8,13,-11,17,-8,17,-7,15,-6,17,-3,18,-8,18,-6,19,-7,20,-7,18,-6,20,-6,21,-6,19,-4,21,-6,18,-6,22,-6,21,-7,20,-5,21,-7,21,-8,19,-6,20,-9,22,-7,19,-10,23,-8,22,-12,23,-10,25,-11,24,-9,21,-11,24,-10,23,-11,24,-10,26,-10,26,-12,27,-12,30,-11,29,-9,31,-12,30,-10,32,-10,0,0,0,0,0,0,-6,-33,-6,-32,-9,-32,-6,-31,-6,-30,-6,-31,-6,-29,-4,-32,-4,-29,-3,-27,-4,-28,-2,-26,-6,-27,-3,-27,-2,-26,-4,-26,-5,-28,-3,-26,-1,-25,-5,-24,-7,-25,-3,-25,-5,-24,-4,-25,-2,-24,-3,-25,-4,-25,-6,-25,-3,-25,-5,-23,-3,-24,-1,-25,-2,-25,-2,-24,-1,-22,0,-25,0,-25,0,-22,1,-24,0,-23,0,-20,1,-21,3,-21,3,-21,5,-19,2,-19,5,-17,5,-19,6,-16,6,-15,8,-13,7,-14,8,-12,9,-12,11,-11,10,-9,12,-7,0,0,0,0,0,0,0,0,0,0]"""
1782097229211,2026-06-22T12:00:29.211,safe,motion,lmh,hand_move,t026,"CSI_DATA,202614,1a:00:00:00:00:00,-44,11,-98,19,28,11,488577419,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,10,0,12,1,11,2,11,3,10,2,12,3,14,5,13,4,14,4,15,5,15,4,16,5,15,5,15,6,16,5,17,5,16,5,18,8,20,6,17,8,19,5,20,6,21,8,19,3,19,7,21,5,20,7,20,5,20,4,22,5,21,4,20,4,23,3,23,2,21,2,22,0,23,1,25,0,24,0,25,-2,23,-2,26,-4,23,-3,24,-5,26,-4,26,-6,26,-6,28,-7,28,-5,29,-8,30,-7,30,-5,31,-8,31,-10,31,-10,0,0,0,0,0,0,-6,-31,-7,-33,-10,-30,-8,-30,-10,-30,-8,-29,-10,-28,-10,-30,-10,-27,-10,-26,-11,-26,-10,-23,-12,-26,-12,-26,-12,-24,-13,-21,-15,-23,-14,-22,-11,-23,-14,-21,-17,-20,-14,-21,-15,-17,-14,-19,-15,-19,-15,-20,-15,-18,-17,-17,-17,-18,-19,-15,-17,-17,-18,-17,-17,-19,-17,-16,-18,-15,-16,-18,-16,-16,-15,-15,-17,-17,-15,-16,-15,-15,-15,-16,-15,-16,-14,-16,-11,-16,-14,-15,-10,-15,-12,-15,-8,-14,-10,-13,-8,-14,-9,-13,-6,-12,-5,-15,-4,-14,-5,-14,-1,-13,0,0,0,0,0,0,0,0,0,0]"""
1782097229217,2026-06-22T12:00:29.217,safe,motion,lmh,hand_move,t026,"CSI_DATA,202615,1a:00:00:00:00:00,-44,11,-98,14,29,11,488589133,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,3,10,4,10,5,8,6,9,7,9,8,10,8,10,9,9,11,10,11,11,11,11,12,9,13,7,13,7,15,9,15,6,17,6,16,5,14,5,15,6,19,4,19,5,19,4,21,4,19,3,19,2,20,2,20,3,20,2,20,2,23,2,22,1,23,2,24,2,22,2,20,3,22,1,24,3,23,1,24,3,25,0,25,4,25,0,25,1,26,0,26,2,25,0,26,0,29,0,28,0,29,-4,31,-4,32,-2,32,-2,32,-4,31,0,0,0,0,0,0,31,10,31,12,31,9,28,13,29,11,27,13,27,12,29,14,25,13,25,15,24,13,23,14,24,14,24,14,22,14,23,12,24,13,23,15,20,14,21,15,23,14,20,17,19,13,19,14,19,15,18,16,18,15,19,14,19,17,21,15,16,17,18,18,16,19,17,18,14,18,16,20,14,20,12,19,12,21,9,20,10,19,8,20,7,21,6,19,6,20,5,20,2,19,3,19,0,18,0,17,-2,17,-2,16,-2,14,-5,15,-6,13,-6,12,-8,11,0,0,0,0,0,0,0,0,0,0]"""
1782097229224,2026-06-22T12:00:29.224,safe,motion,lmh,hand_move,t026,"CSI_DATA,202616,1a:00:00:00:00:00,-44,11,-98,19,28,11,488600401,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,8,-5,8,-6,8,-7,8,-6,8,-9,8,-8,10,-9,8,-10,9,-11,9,-10,9,-11,9,-13,10,-14,9,-15,6,-15,6,-15,9,-17,8,-15,7,-18,5,-19,7,-18,4,-19,5,-19,6,-20,5,-18,6,-19,5,-22,4,-20,4,-20,5,-19,5,-22,5,-21,3,-21,4,-23,5,-21,6,-21,7,-21,9,-21,6,-22,11,-23,7,-22,10,-27,15,-24,8,-23,8,-29,16,-23,10,-26,9,-20,0,-29,2,-29,5,-31,3,-25,16,-31,5,-31,6,-28,25,-33,5,0,0,0,0,0,0,3,31,20,42,6,31,2,34,-1,21,7,32,0,30,-3,31,-6,31,0,32,0,25,-5,29,1,28,2,29,-1,29,3,26,3,28,5,27,0,26,2,25,4,27,0,26,2,23,1,24,0,26,0,25,0,24,3,24,1,26,4,24,1,24,0,24,0,24,1,24,0,22,-3,26,-2,23,-2,23,-3,25,-3,22,-2,21,-4,22,-5,21,-5,21,-7,20,-6,20,-8,17,-8,18,-8,14,-8,14,-10,13,-8,12,-10,12,-12,10,-10,10,-10,8,-12,6,0,0,0,0,0,0,0,0,0,0]"""
1782097229231,2026-06-22T12:00:29.231,safe,motion,lmh,hand_move,t026,"CSI_DATA,202617,1a:00:00:00:00:00,-44,11,-98,19,28,11,488610169,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,-10,2,-10,3,-10,5,-10,5,-10,5,-12,5,-10,7,-11,9,-11,9,-11,8,-12,10,-11,10,-13,13,-10,14,-10,12,-13,15,-10,15,-10,17,-8,19,-10,16,-9,17,-10,18,-10,20,-9,17,-10,18,-7,20,-7,21,-6,20,-7,20,-6,21,-6,21,-6,21,-5,21,-6,21,-6,21,-7,21,-8,23,-7,22,-9,23,-7,23,-8,23,-6,25,-9,23,-6,24,-8,26,-5,25,-7,26,-5,30,-5,28,-5,29,-5,30,-3,31,-3,34,-3,32,-4,32,-3,0,0,0,0,0,0,3,-32,4,-33,0,-31,3,-31,4,-32,5,-28,5,-31,8,-31,6,-30,7,-27,6,-26,7,-26,6,-27,7,-28,7,-26,5,-25,8,-29,7,-26,9,-24,9,-25,6,-26,10,-24,8,-21,7,-23,10,-23,11,-24,10,-22,8,-23,11,-22,9,-23,10,-21,11,-21,14,-21,12,-21,13,-20,15,-21,15,-19,14,-18,16,-19,15,-15,15,-15,16,-15,18,-13,17,-14,17,-11,18,-11,17,-7,18,-7,17,-5,16,-4,16,-3,15,-4,15,0,16,-1,15,1,14,2,11,3,0,0,0,0,0,0,0,0,0,0]"""
1782097229238,2026-06-22T12:00:29.238,safe,motion,lmh,hand_move,t026,"CSI_DATA,202619,1a:00:00:00:00:00,-44,11,-98,18,28,11,488631938,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-7,-3,-8,-5,-10,-3,-9,-2,-12,-3,-12,-2,-12,-2,-12,-2,-14,0,-12,0,-15,-1,-15,-1,-16,0,-16,2,-16,0,-18,0,-18,2,-18,2,-17,4,-19,5,-20,4,-19,5,-19,4,-19,6,-20,3,-19,6,-20,6,-20,6,-19,5,-19,6,-19,7,-22,6,-21,5,-19,5,-22,6,-22,5,-19,5,-23,6,-22,4,-23,5,-22,1,-24,5,-25,3,-25,6,-25,3,-25,4,-26,3,-26,4,-25,5,-28,4,-27,4,-30,8,-31,7,-28,6,-32,6,-33,7,-30,0,0,0,0,0,0,-31,-11,-30,-10,-31,-9,-31,-10,-30,-11,-28,-12,-27,-10,-29,-12,-25,-10,-27,-12,-28,-11,-25,-10,-27,-10,-24,-11,-25,-11,-25,-9,-27,-9,-25,-9,-23,-11,-24,-9,-25,-7,-23,-11,-22,-7,-22,-8,-22,-10,-22,-8,-23,-9,-24,-8,-23,-11,-24,-6,-21,-10,-24,-10,-20,-10,-23,-9,-20,-9,-23,-12,-21,-12,-20,-10,-21,-13,-19,-12,-16,-11,-18,-13,-18,-13,-17,-12,-15,-13,-14,-12,-13,-14,-12,-14,-10,-14,-10,-13,-8,-14,-7,-15,-6,-13,-5,-13,-5,-14,-3,-13,-1,-13,0,0,0,0,0,0,0,0,0,0]"""
1782097229245,2026-06-22T12:00:29.245,safe,motion,lmh,hand_move,t026,"CSI_DATA,202620,1a:00:00:00:00:00,-44,11,-98,19,28,11,488642462,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,9,4,10,3,11,4,11,3,10,3,11,2,12,4,15,4,13,4,15,4,14,5,16,5,15,4,16,4,17,5,16,2,18,3,18,5,17,4,15,5,20,5,19,5,19,5,21,6,19,5,19,6,21,7,20,7,20,7,19,10,21,10,21,10,18,12,19,13,18,12,16,14,16,14,18,17,16,15,18,18,16,18,16,21,16,18,15,21,15,20,15,22,13,23,14,26,15,26,14,26,13,26,15,26,15,29,15,30,14,28,14,0,0,0,0,0,0,15,-28,16,-30,10,-30,12,-28,10,-30,12,-27,10,-29,10,-30,8,-29,9,-26,5,-26,8,-26,5,-29,5,-27,5,-26,2,-28,0,-29,1,-28,2,-26,0,-26,-3,-26,0,-26,-3,-24,-2,-25,-2,-26,-3,-26,-4,-24,-6,-24,-5,-26,-9,-24,-6,-24,-5,-24,-5,-25,-8,-23,-7,-21,-5,-23,-5,-22,-6,-21,-6,-24,-5,-22,-5,-21,-6,-22,-6,-21,-7,-21,-4,-20,-5,-20,-3,-18,-5,-19,-4,-17,-1,-16,-1,-16,-2,-15,0,-15,0,-15,0,-15,0,-14,2,-14,0,0,0,0,0,0,0,0,0,0]"""
1782097229251,2026-06-22T12:00:29.251,safe,motion,lmh,hand_move,t026,"CSI_DATA,202621,1a:00:00:00:00:00,-44,11,-98,14,29,11,488653888,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,1,-10,0,-11,0,-12,0,-12,0,-12,-1,-12,0,-12,0,-14,0,-12,-1,-14,-1,-14,-1,-16,-2,-16,-2,-15,-4,-17,-3,-17,-3,-19,-3,-17,-3,-16,-6,-18,-6,-19,-3,-20,-5,-19,-5,-20,-4,-19,-3,-19,-5,-19,-4,-20,-5,-21,-4,-19,-5,-20,-4,-22,-3,-22,-2,-22,-1,-23,-1,-21,0,-23,0,-24,0,-25,1,-23,0,-25,3,-24,1,-27,3,-24,2,-24,5,-25,5,-25,6,-25,4,-30,5,-28,5,-29,6,-31,6,-31,4,-31,6,-31,6,-31,7,0,0,0,0,0,0,5,32,6,33,7,31,6,29,7,32,4,29,6,31,7,30,6,30,6,27,7,26,6,27,9,27,8,26,7,27,9,24,11,26,9,26,8,24,11,24,12,22,10,25,10,20,11,21,11,23,12,23,12,21,12,20,12,22,13,20,11,20,13,19,12,21,12,20,12,20,10,23,12,19,12,19,12,21,11,19,10,19,8,19,9,20,8,20,7,20,8,19,6,17,6,19,3,17,6,16,3,18,3,16,1,16,0,16,0,13,0,12,-2,12,0,0,0,0,0,0,0,0,0,0]"""
1782097229259,2026-06-22T12:00:29.259,safe,motion,lmh,hand_move,t026,"CSI_DATA,202622,1a:00:00:00:00:00,-44,11,-98,18,28,11,488664462,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,-7,5,-8,6,-8,7,-8,8,-7,8,-8,7,-8,10,-7,10,-9,12,-10,11,-10,10,-10,12,-11,13,-9,14,-9,14,-11,13,-11,15,-11,12,-9,17,-11,17,-11,16,-12,17,-12,15,-10,17,-10,15,-13,18,-11,18,-12,17,-12,15,-13,16,-12,16,-13,15,-14,15,-14,15,-15,15,-17,13,-15,13,-17,15,-18,14,-19,14,-19,12,-21,13,-20,13,-23,13,-20,12,-22,12,-23,11,-23,12,-24,13,-26,12,-25,12,-26,15,-25,15,-26,12,-30,13,-29,12,-29,0,0,0,0,0,0,-29,-17,-29,-16,-29,-12,-28,-12,-29,-12,-27,-13,-28,-12,-29,-12,-26,-12,-25,-11,-25,-11,-25,-10,-28,-9,-25,-9,-25,-10,-26,-6,-27,-6,-25,-6,-25,-7,-25,-5,-25,0,-25,-6,-23,-1,-23,-3,-24,-4,-25,-3,-25,-3,-25,0,-25,-2,-25,0,-24,0,-25,0,-24,0,-24,0,-22,0,-24,-2,-24,-1,-23,0,-24,-1,-23,-2,-21,-3,-22,-2,-22,-4,-21,-2,-21,-5,-20,-3,-18,-4,-19,-6,-16,-6,-15,-5,-15,-6,-15,-6,-14,-6,-14,-7,-12,-8,-12,-8,-12,-9,0,0,0,0,0,0,0,0,0,0]"""
