pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782033320794,2026-06-21T18:15:20.794,safe,motion,mhw,hand_move,t006,"CSI_DATA,661023,1a:00:00:00:00:00,-47,11,-99,17,30,11,415569545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,13,73,6,66,6,86,13,73,6,100,6,80,6,80,26,100,20,113,20,120,-6,113,-13,126,0,120,-13,133,-6,140,-13,167,0,147,-6,167,0,126,-6,126,-6,167,13,180,6,187,-26,153,-20,173,-13,160,-33,187,-13,180,-13,200,13,173,6,193,-6,140,40,173,46,167,60,180,60,213,46,200,20,180,40,193,53,220,66,207,80,213,66,167,93,200,60,147,120,173,106,193,167,173,160,207,140,220,100,193,126,233,147,220,153,207,126,213,153,193,173,187,0,0,0,0,0,0,193,-173,240,-193,147,-133,173,-180,220,-193,180,-126,187,-167,147,-160,180,-173,126,-133,106,-147,120,-167,120,-200,120,-193,140,-133,120,-167,93,-167,113,-173,86,-173,80,-187,53,-160,80,-180,46,-126,26,-140,26,-167,6,-187,33,-187,53,-153,33,-180,20,-160,26,-187,0,-173,13,-200,0,-153,0,-167,-6,-120,-33,-153,-20,-147,-26,-167,-26,-180,-13,-173,20,-140,13,-153,13,-160,0,-147,6,-160,13,-126,-6,-140,6,-93,-13,-113,-13,-106,-20,-113,-6,-120,-6,-113,13,-86,33,-106,26,-86,0,0,0,0,0,0,0,0,0,0]"""
1782033320815,2026-06-21T18:15:20.815,safe,motion,mhw,hand_move,t006,"CSI_DATA,661024,1a:00:00:00:00:00,-47,11,-99,17,30,11,415580545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,53,40,53,60,53,53,53,60,53,80,53,53,53,60,53,66,73,86,60,93,26,113,46,113,40,120,26,153,26,147,13,147,6,147,-13,153,6,126,6,147,13,160,13,193,-13,167,-60,147,-40,173,-40,167,-73,173,-66,187,-66,173,-60,167,-86,167,-46,160,-40,167,-33,173,-46,180,-53,207,-66,193,-100,160,-86,173,-100,187,-106,193,-100,187,-106,187,-120,200,-80,180,-80,173,-73,207,-66,220,-106,240,-106,227,-133,180,-160,207,-160,207,-153,200,-173,180,-160,193,-167,200,0,0,0,0,0,0,167,207,153,233,147,200,133,207,160,227,93,227,120,207,100,207,86,220,93,173,100,160,113,167,133,187,113,187,46,180,80,187,93,173,66,200,66,187,73,167,80,153,53,187,73,140,80,140,80,147,93,160,86,160,40,147,66,167,66,153,33,167,46,167,46,167,40,147,26,173,46,140,53,140,46,147,53,160,40,173,20,160,-20,140,0,147,-20,147,-26,147,-20,133,-33,126,-33,126,-26,106,-33,93,-20,106,-26,106,-46,113,-53,100,-66,66,-66,73,-80,60,0,0,0,0,0,0,0,0,0,0]"""
1782033320822,2026-06-21T18:15:20.822,safe,motion,mhw,hand_move,t006,"CSI_DATA,661025,1a:00:00:00:00:00,-47,11,-99,21,30,11,415591545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,65,-17,59,-17,89,-17,77,-5,89,-5,89,5,89,-5,107,-17,95,11,119,-11,107,-11,119,-5,125,11,125,5,107,11,154,23,142,11,160,11,148,23,166,29,196,11,137,35,178,11,178,17,154,29,172,23,166,23,160,0,196,35,172,23,184,11,166,17,208,-11,190,5,196,-17,184,-5,202,-11,208,-17,208,-5,202,-23,178,-59,226,-17,202,-29,190,-65,184,-41,238,-107,208,-53,196,-107,220,-77,232,-77,220,-59,226,-65,220,-89,262,-95,256,-83,226,-83,232,-101,0,0,0,0,0,0,-107,-208,-119,-238,-107,-196,-125,-202,-119,-232,-113,-196,-119,-226,-107,-196,-125,-202,-113,-196,-125,-178,-142,-166,-113,-154,-148,-166,-131,-154,-119,-137,-142,-142,-131,-125,-125,-107,-142,-148,-137,-113,-148,-107,-119,-95,-148,-95,-166,-95,-125,-83,-166,-83,-154,-77,-154,-77,-166,-71,-160,-65,-142,-35,-166,-89,-148,-71,-148,-47,-125,-59,-172,-47,-148,-53,-154,-35,-148,-59,-137,-41,-137,-65,-131,-71,-137,-59,-131,-35,-125,-71,-101,-71,-125,-41,-95,-53,-125,-53,-95,-53,-107,-41,-89,-53,-89,-53,-83,-59,-65,-59,-65,-65,0,0,0,0,0,0,0,0,0,0]"""
1782033320830,2026-06-21T18:15:20.830,safe,motion,mhw,hand_move,t006,"CSI_DATA,661026,1a:00:00:00:00:00,-47,11,-99,14,31,11,415602545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,51,45,45,45,58,58,51,77,51,58,51,84,51,77,64,90,38,84,58,77,58,116,45,97,51,110,51,110,51,103,25,142,45,162,38,136,25,162,45,142,45,149,19,149,38,168,32,181,32,155,32,175,19,155,38,155,-6,181,6,188,12,162,6,194,38,201,19,188,45,181,25,175,25,181,38,201,19,201,38,194,64,201,12,207,19,246,58,194,38,220,77,246,45,227,90,214,32,214,51,220,51,246,38,220,58,240,51,259,38,253,45,246,51,246,0,0,0,0,0,0,246,-64,220,-45,266,-58,233,-58,233,-38,240,-51,233,-25,240,-25,207,-32,240,-25,220,-45,214,-64,181,-25,194,-51,194,-58,181,-58,188,-64,168,-51,155,-51,188,-38,188,-51,155,-58,175,-51,175,-64,162,-90,142,-51,149,-71,149,-90,149,-71,155,-84,142,-64,123,-84,162,-51,155,-64,142,-64,162,-58,162,-90,142,-71,136,-71,136,-45,136,-51,149,-45,149,-32,129,-38,136,-45,129,-12,142,-12,116,-32,129,-19,129,-19,110,-12,110,-19,97,6,97,-12,103,6,90,6,97,25,0,0,0,0,0,0,0,0,0,0]"""
1782033320837,2026-06-21T18:15:20.837,safe,motion,mhw,hand_move,t006,"CSI_DATA,661027,1a:00:00:00:00:00,-47,11,-99,16,31,11,415613545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,61,-6,85,0,61,0,91,12,67,0,110,24,98,42,79,42,85,42,79,42,116,61,110,55,98,67,91,61,110,91,67,73,122,110,98,79,122,134,98,153,98,122,73,122,67,122,110,134,98,134,85,134,67,141,85,159,67,116,91,159,79,141,104,220,61,183,61,159,67,183,49,153,67,153,104,177,73,165,61,141,67,171,85,141,110,202,79,183,98,282,36,220,79,202,36,232,49,171,67,202,110,257,85,208,55,239,36,239,85,245,49,275,30,251,0,0,0,0,0,0,245,-24,177,-12,324,-36,232,-6,159,-12,263,0,177,-12,257,0,183,-18,275,30,226,18,190,30,183,30,165,36,220,12,196,6,183,0,159,6,190,18,141,12,202,0,153,0,220,12,177,36,153,18,147,24,134,30,177,0,171,6,153,12,134,12,165,18,122,12,165,0,141,0,220,42,159,55,147,36,147,67,122,55,122,42,165,36,128,61,104,36,122,55,98,49,134,67,98,67,141,104,79,79,79,73,55,91,61,67,61,67,73,91,42,73,42,73,0,0,0,0,0,0,0,0,0,0]"""
1782033320845,2026-06-21T18:15:20.845,safe,motion,mhw,hand_move,t006,"CSI_DATA,661028,1a:00:00:00:00:00,-47,11,-99,18,30,11,415624545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,32,-64,25,-71,32,-64,32,-71,45,-64,32,-77,32,-77,32,-84,32,-103,38,-90,64,-84,71,-103,64,-103,84,-110,90,-123,77,-103,71,-123,97,-110,77,-110,71,-110,90,-116,64,-162,77,-136,103,-129,97,-142,84,-142,103,-142,103,-168,77,-142,84,-155,97,-149,71,-162,51,-155,45,-168,45,-175,38,-201,38,-194,64,-175,45,-188,51,-188,51,-207,25,-201,32,-207,38,-214,6,-194,-12,-201,-38,-220,-45,-220,-38,-253,-38,-240,-12,-220,-25,-253,-25,-246,-45,-220,-12,-246,-64,-246,-64,-246,0,0,0,0,0,0,-279,58,-266,38,-233,58,-233,51,-227,71,-240,38,-207,45,-214,64,-207,51,-181,77,-162,97,-168,77,-175,136,-168,103,-162,64,-168,110,-149,116,-162,97,-168,123,-123,116,-129,123,-142,116,-110,110,-84,136,-90,136,-71,162,-90,142,-103,123,-97,149,-64,142,-90,142,-84,149,-71,142,-64,149,-77,142,-58,142,-45,149,-25,149,-38,149,-38,155,-38,142,-58,129,-45,142,-58,136,-58,136,-45,116,-51,123,-71,110,-38,110,-32,103,-32,103,-25,97,-32,110,-45,90,-45,77,-51,77,-51,77,0,0,0,0,0,0,0,0,0,0]"""
1782033320853,2026-06-21T18:15:20.853,safe,motion,mhw,hand_move,t006,"CSI_DATA,661029,1a:00:00:00:00:00,-47,11,-99,16,31,11,415635545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,55,-18,85,-12,67,-24,91,-18,67,-12,79,-18,98,-24,104,-30,116,-42,98,-36,98,-42,104,-61,116,-49,91,-73,147,-61,116,-85,128,-61,98,-42,110,-67,128,-73,141,-91,165,-91,110,-104,128,-98,141,-116,141,-73,122,-122,165,-91,128,-110,141,-67,110,-79,153,-79,159,-67,177,-79,183,-91,183,-98,141,-91,171,-98,190,-67,159,-110,202,-85,159,-85,208,-49,134,-49,202,-55,196,-30,220,-61,245,-73,245,-85,177,-104,232,-73,214,-67,245,-98,226,-61,220,-61,245,0,0,0,0,0,0,226,73,275,110,159,55,220,73,275,98,183,79,251,104,183,55,220,91,153,42,183,42,208,36,214,36,226,36,165,61,190,42,183,36,183,55,171,30,202,30,153,12,196,12,122,6,141,-12,165,0,165,-18,190,0,153,0,165,0,159,-12,171,-6,141,-30,183,-6,141,-6,153,-6,116,-6,141,-30,147,-24,147,-42,153,-24,177,-6,141,12,153,6,153,12,128,6,134,12,104,18,134,6,79,6,116,12,91,12,110,0,110,12,110,24,73,30,85,42,85,36,0,0,0,0,0,0,0,0,0,0]"""
1782033320861,2026-06-21T18:15:20.861,safe,motion,mhw,hand_move,t006,"CSI_DATA,661030,1a:00:00:00:00:00,-47,11,-99,20,30,11,415646545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,61,-6,91,-6,67,6,73,12,49,24,104,36,67,67,67,67,110,61,36,61,85,61,91,61,73,79,91,73,91,134,73,42,116,110,104,91,104,128,79,116,24,122,98,141,24,128,79,134,79,147,67,141,67,134,79,202,79,98,98,165,67,134,98,202,30,171,49,171,49,177,73,177,55,141,110,159,91,153,79,141,55,196,122,122,141,177,73,183,122,263,30,190,98,202,30,232,85,190,73,202,134,220,134,202,85,257,85,202,141,220,98,275,73,239,0,0,0,0,0,0,263,-67,190,-42,294,-61,245,-18,165,-24,275,-36,159,-55,263,-55,171,-30,263,-30,220,-18,171,30,202,-30,159,18,196,-24,190,-30,196,-24,165,-30,208,-6,116,-55,183,-61,153,-30,202,-42,183,-12,147,12,165,-36,134,0,159,-42,153,-36,153,-30,141,-30,202,-12,98,-55,153,-67,147,-30,214,-42,159,24,147,-18,153,36,147,0,134,12,159,-24,141,-12,128,-12,147,36,110,-24,141,-6,116,30,147,42,104,55,104,49,85,61,98,42,79,55,98,42,79,42,73,55,0,0,0,0,0,0,0,0,0,0]"""
1782033320869,2026-06-21T18:15:20.869,safe,motion,mhw,hand_move,t006,"CSI_DATA,661031,1a:00:00:00:00:00,-47,11,-99,15,31,11,415657545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,63,-12,50,0,82,6,63,-25,94,-12,75,-12,69,-6,100,-25,88,0,113,-12,100,-12,94,-12,107,-25,119,-25,100,-31,164,-25,126,-37,145,-37,113,-25,126,-6,164,-37,138,-18,176,-18,145,-25,151,-18,170,-25,176,0,145,-37,195,-18,151,0,176,-6,151,25,182,0,176,37,182,18,176,44,195,25,182,37,195,75,201,69,164,50,220,56,176,100,176,63,132,126,195,88,182,145,164,119,208,126,182,113,182,126,201,145,189,151,208,145,201,138,170,182,170,0,0,0,0,0,0,176,-189,182,-189,126,-151,151,-182,195,-214,132,-151,176,-220,119,-157,126,-208,100,-164,100,-164,100,-208,100,-182,75,-208,69,-176,75,-164,44,-195,44,-195,37,-157,56,-208,25,-164,12,-182,6,-138,-6,-170,0,-182,-18,-164,-25,-195,-18,-164,-37,-170,-44,-170,-44,-164,-50,-132,-31,-195,-31,-151,-56,-145,-31,-113,-82,-164,-44,-157,-94,-138,-50,-151,-56,-138,-37,-132,-44,-145,-56,-157,-56,-126,-37,-145,-18,-113,-69,-107,-44,-75,-63,-119,-37,-100,-69,-107,-25,-94,-56,-100,-25,-88,-25,-88,-25,-88,0,0,0,0,0,0,0,0,0,0]"""
1782033320877,2026-06-21T18:15:20.877,safe,motion,mhw,hand_move,t006,"CSI_DATA,661032,1a:00:00:00:00:00,-47,11,-99,15,31,11,415668545,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,18,75,18,44,6,82,6,63,-6,82,6,63,0,69,-6,88,-18,94,-6,107,-31,94,-31,107,-31,107,-44,107,-44,88,-75,145,-44,113,-82,126,-63,94,-69,88,-94,113,-82,119,-107,157,-100,119,-107,113,-107,126,-126,126,-94,100,-164,126,-107,100,-138,113,-94,75,-119,126,-138,107,-119,126,-138,138,-170,126,-138,94,-164,113,-164,138,-132,113,-195,119,-157,94,-164,132,-100,82,-164,138,-170,107,-164,164,-208,138,-189,132,-176,94,-208,119,-189,94,-227,138,-214,107,-195,107,-220,126,0,0,0,0,0,0,75,220,88,296,69,164,63,233,82,290,37,182,69,265,44,182,44,252,44,170,44,170,56,220,31,214,69,227,25,176,44,176,44,182,37,189,37,157,37,214,37,145,31,201,31,126,37,138,56,176,44,170,50,201,25,157,31,164,50,170,44,164,31,132,18,201,12,145,25,157,6,113,31,157,6,157,31,151,0,164,6,176,-18,145,-18,157,-31,164,-18,126,-44,145,-50,107,-31,126,-25,75,-37,119,-50,94,-37,113,-63,94,-56,113,-56,75,-69,69,-69,63,0,0,0,0,0,0,0,0,0,0]"""
