pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782112356825,2026-06-22T16:12:36.825,safe,motion,yja,hand_move,t017,"CSI_DATA,722530,1a:00:00:00:00:00,-69,11,-99,22,53,11,-634212682,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-4,-3,-5,-3,-5,-3,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-6,-5,-6,-4,-6,-5,-6,-4,-6,-5,-6,-5,-6,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-5,-4,-5,-3,-5,-3,-4,-3,-5,-3,-5,-3,-5,-3,-5,-3,-5,-3,-5,-3,-4,-2,-4,-1,-4,-1,-4,-1,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-3,0,-3,0,-3,0,-3,0,-2,0,-2,0,-2,0,-2,-1,-2,-1,-2,-1,-2,-1,0,0,0,0,0,0,-2,2,-2,2,-3,2,-3,1,-3,1,-3,1,-3,1,-4,1,-4,2,-4,2,-4,2,-4,2,-4,2,-4,3,-4,3,-4,4,-4,4,-4,4,-3,4,-4,4,-4,4,-4,5,-4,5,-4,6,-4,6,-3,6,-3,7,-2,7,-2,7,-2,8,-2,8,-1,8,-1,9,-1,10,-1,11,-1,11,-1,11,-2,11,-1,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,12,0,13,0,13,0,13,0,11,0,11,0,10,0,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0]"""
1782112356828,2026-06-22T16:12:36.828,safe,motion,yja,hand_move,t017,"CSI_DATA,722531,1a:00:00:00:00:00,-69,11,-99,19,54,11,-634202318,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-2,5,-2,6,-2,6,-2,7,-2,7,-1,7,-1,7,-1,7,-1,7,-1,7,-1,8,-1,8,-1,8,-1,7,-1,8,0,8,0,8,-1,8,-1,8,-1,8,0,7,-1,6,-1,6,-1,7,-1,6,-2,7,-2,6,-1,7,-1,7,-1,6,-1,5,-2,5,-2,4,-1,4,-1,4,-1,4,-2,4,-2,3,-2,3,-2,2,-2,3,-2,3,-2,3,-3,3,-2,3,-2,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,0,2,0,2,0,0,0,0,0,0,0,0,-3,0,-3,1,-3,1,-3,1,-3,1,-3,2,-3,2,-4,2,-4,2,-4,2,-4,2,-4,2,-4,1,-4,1,-5,0,-5,0,-5,0,-6,0,-5,0,-6,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,-1,-7,-2,-7,-2,-8,-2,-8,-3,-8,-2,-8,-3,-8,-3,-9,-4,-10,-4,-10,-4,-11,-4,-10,-4,-10,-4,-9,-5,-9,-6,-9,-6,-9,-7,-9,-6,-8,-6,-9,-6,-10,-7,-11,-6,-11,-6,-11,-5,-10,-5,-10,-4,-8,-5,-9,-5,-9,-5,-9,-5,-9,0,0,0,0,0,0,0,0,0,0]"""
1782112356831,2026-06-22T16:12:36.831,safe,motion,yja,hand_move,t017,"CSI_DATA,722532,1a:00:00:00:00:00,-69,11,-99,19,54,11,-634191478,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,5,3,5,3,5,4,4,5,4,5,5,5,4,6,4,6,4,7,4,6,3,7,3,7,3,7,3,7,3,7,2,7,2,7,2,6,2,7,2,7,2,8,1,8,1,7,1,7,1,7,1,7,1,6,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,0,5,0,5,1,5,0,4,1,4,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,-1,2,-1,2,-1,2,-1,3,0,0,0,0,0,0,1,2,1,2,1,2,1,3,1,3,1,4,1,4,1,4,1,4,0,4,0,4,0,5,0,4,0,5,0,5,0,5,0,5,0,5,1,6,1,6,1,6,2,6,2,6,2,6,3,7,2,7,2,8,2,9,2,8,2,8,2,8,4,9,3,9,4,9,3,8,4,9,4,8,4,10,4,10,4,11,3,11,2,11,2,12,2,11,2,12,2,11,2,11,2,10,2,11,2,10,2,11,1,11,0,12,0,11,0,11,-1,10,-1,10,0,0,0,0,0,0,0,0,0,0]"""
1782112356834,2026-06-22T16:12:36.834,safe,motion,yja,hand_move,t017,"CSI_DATA,722533,1a:00:00:00:00:00,-69,11,-99,14,55,11,-634181575,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-5,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,-1,-7,-1,-7,-1,-7,-1,-7,-2,-7,-2,-8,-2,-7,-2,-7,-2,-7,-2,-8,-2,-8,-2,-8,-3,-7,-2,-7,-2,-6,-2,-6,-1,-6,-2,-6,-2,-6,-2,-6,-2,-6,-1,-6,-1,-6,-1,-6,-1,-6,-1,-5,-1,-5,-1,-4,0,-4,0,-4,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,0,-4,0,-4,0,-3,0,-3,0,-3,0,-3,0,-2,0,-2,0,-2,0,-2,0,-2,-1,-2,-1,-2,-1,0,0,0,0,0,0,-2,2,-2,1,-3,1,-3,0,-3,0,-3,0,-3,0,-4,1,-4,1,-4,1,-4,1,-4,0,-4,0,-4,1,-4,1,-5,2,-5,2,-5,3,-5,3,-5,3,-5,3,-6,3,-6,4,-6,4,-6,4,-6,5,-5,5,-5,6,-6,6,-5,6,-5,7,-5,6,-5,7,-6,8,-6,9,-7,9,-7,9,-7,8,-7,8,-6,8,-6,8,-6,9,-6,8,-6,9,-5,9,-6,9,-6,10,-7,10,-7,10,-8,10,-7,8,-7,8,-6,7,-7,8,-7,7,-7,7,-7,7,0,0,0,0,0,0,0,0,0,0]"""
1782112356837,2026-06-22T16:12:36.837,safe,motion,yja,hand_move,t017,"CSI_DATA,722534,1a:00:00:00:00:00,-69,11,-99,17,54,11,-634169595,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,-5,-3,-5,-4,-5,-4,-5,-4,-5,-4,-6,-4,-6,-4,-6,-5,-5,-5,-5,-5,-5,-6,-4,-6,-4,-6,-4,-7,-4,-7,-3,-7,-3,-7,-3,-7,-4,-7,-4,-6,-4,-6,-3,-6,-3,-6,-3,-6,-2,-6,-2,-6,-2,-6,-2,-6,-2,-6,-1,-6,-1,-5,-2,-5,-2,-4,-2,-4,-2,-4,-3,-4,-3,-4,-2,-4,-2,-3,-2,-4,-1,-4,-1,-4,-1,-4,-1,-3,-1,-3,-1,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-3,0,-3,0,-3,1,-3,1,-2,0,0,0,0,0,0,-2,-2,-2,-2,-2,-3,-1,-3,-1,-3,-1,-3,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-5,-2,-5,-2,-5,-2,-6,-2,-6,-2,-6,-3,-6,-3,-6,-4,-5,-4,-5,-4,-5,-4,-6,-4,-6,-5,-6,-5,-6,-6,-7,-6,-7,-6,-8,-6,-8,-6,-8,-6,-7,-7,-7,-8,-7,-8,-7,-7,-7,-7,-8,-7,-9,-7,-9,-7,-9,-6,-10,-6,-10,-5,-10,-5,-10,-5,-10,-6,-10,-6,-9,-6,-9,-6,-9,-5,-10,-4,-10,-3,-10,-3,-10,0,0,0,0,0,0,0,0,0,0]"""
1782112356839,2026-06-22T16:12:36.839,safe,motion,yja,hand_move,t017,"CSI_DATA,722535,1a:00:00:00:00:00,-69,11,-99,14,55,11,-634160428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-3,6,-3,6,-3,6,-3,6,-3,6,-2,7,-2,7,-2,7,-2,7,-2,7,-2,7,-1,7,-1,7,-1,8,-1,8,-1,8,-1,8,-1,8,0,8,0,8,0,8,0,8,0,7,-1,6,-1,7,-1,6,0,6,0,6,0,6,0,6,0,6,0,5,-1,5,-1,5,-1,5,-1,5,0,4,-1,4,0,4,-1,4,-1,4,-1,4,-1,3,0,3,-1,3,-1,3,-1,3,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,2,1,3,1,0,0,0,0,0,0,2,-3,2,-2,2,-2,3,-2,3,-2,3,-2,3,-2,3,-2,3,-3,3,-3,3,-3,3,-3,4,-3,4,-3,4,-3,4,-3,4,-3,4,-3,4,-4,4,-4,4,-4,4,-4,4,-4,4,-5,4,-5,4,-6,5,-6,5,-7,4,-7,4,-7,5,-7,4,-8,4,-8,4,-8,4,-8,4,-9,4,-9,4,-9,5,-9,5,-10,6,-10,5,-10,6,-10,6,-10,5,-10,5,-10,5,-9,5,-9,5,-9,5,-9,5,-10,6,-10,6,-10,7,-9,7,-8,7,-7,7,-7,0,0,0,0,0,0,0,0,0,0]"""
1782112356842,2026-06-22T16:12:36.842,safe,motion,yja,hand_move,t017,"CSI_DATA,722536,1a:00:00:00:00:00,-69,11,-99,18,54,11,-634149428,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-5,2,-6,2,-6,2,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-7,3,-7,3,-7,3,-7,2,-7,2,-7,2,-8,2,-8,3,-8,3,-8,2,-7,2,-7,1,-6,1,-6,1,-6,1,-6,1,-5,0,-6,0,-6,0,-6,0,-6,0,-6,0,-5,0,-5,0,-4,-1,-4,-1,-4,-1,-3,-1,-3,-2,-3,-2,-3,-2,-3,-2,-3,-2,-3,-1,-3,-1,-3,-1,-3,-1,-3,-1,-3,-1,-2,-1,-2,-1,-3,-1,-3,0,-3,0,-3,0,-3,0,0,0,0,0,0,-3,0,-3,0,-3,0,-3,0,-3,-1,-3,0,-3,0,-4,0,-4,0,-4,0,-4,-1,-4,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,1,-5,1,-6,2,-6,2,-6,3,-7,3,-7,3,-7,3,-6,4,-5,5,-6,5,-5,6,-5,6,-5,6,-5,7,-5,9,-5,10,-6,10,-6,10,-6,9,-6,9,-5,9,-3,10,-3,10,-2,10,-2,11,-2,10,-2,11,-2,11,-2,12,-3,12,-3,12,-3,11,-3,11,-2,10,-2,11,-1,10,-1,10,-1,10,0,0,0,0,0,0,0,0,0,0]"""
1782112356844,2026-06-22T16:12:36.844,safe,motion,yja,hand_move,t017,"CSI_DATA,722537,1a:00:00:00:00:00,-69,11,-99,14,55,11,-634137225,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-6,-1,-6,0,-6,0,-6,0,-6,0,-6,-1,-7,-1,-7,-1,-7,0,-7,0,-7,0,-7,0,-8,0,-8,0,-8,0,-8,0,-8,0,-7,0,-7,0,-7,0,-8,0,-8,0,-8,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,0,-6,0,-6,0,-5,0,-5,-1,-4,-2,-5,-2,-5,-2,-5,-2,-5,-2,-4,-2,-4,-2,-3,-2,-4,-2,-3,-2,-3,-1,-3,-1,-3,-2,-2,-2,-3,-2,-2,-2,-3,-1,-2,-1,-2,0,-2,0,-2,0,-2,0,-2,0,-2,-1,-2,0,0,0,0,0,0,-3,0,-3,-1,-3,-1,-3,-1,-3,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-5,-1,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-6,0,-6,0,-6,0,-6,0,-6,0,-6,1,-7,1,-7,2,-8,2,-8,2,-7,3,-8,3,-8,3,-9,3,-8,3,-8,3,-8,4,-8,5,-7,6,-8,7,-8,7,-9,7,-9,7,-9,7,-9,7,-9,7,-10,7,-9,7,-9,6,-8,6,-8,7,-7,7,-7,8,-7,8,-8,8,-8,8,-8,7,-9,6,-8,6,0,0,0,0,0,0,0,0,0,0]"""
1782112356847,2026-06-22T16:12:36.847,safe,motion,yja,hand_move,t017,"CSI_DATA,722538,1a:00:00:00:00:00,-69,11,-99,8,55,11,-634126456,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-6,0,-6,-1,-6,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-8,-2,-8,-2,-8,-2,-8,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-6,-1,-7,-1,-6,-1,-6,-1,-5,-1,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,1,-3,1,-4,1,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-2,0,-2,-1,0,0,0,0,0,0,-1,2,-2,2,-1,2,-2,3,-2,2,-2,2,-3,3,-3,2,-3,3,-3,3,-3,3,-3,4,-3,4,-3,4,-3,4,-2,4,-2,5,-2,5,-2,5,-2,6,-2,6,-2,6,-2,7,-1,7,-1,8,-1,8,-1,8,-1,8,0,8,0,9,0,9,0,9,1,9,1,9,1,9,1,10,2,10,2,11,2,11,2,11,1,12,1,12,1,12,2,12,2,12,3,11,3,11,3,11,3,11,3,10,3,11,3,10,3,11,2,10,2,10,1,10,1,10,0,0,0,0,0,0,0,0,0,0]"""
1782112356850,2026-06-22T16:12:36.850,safe,motion,yja,hand_move,t017,"CSI_DATA,722539,1a:00:00:00:00:00,-69,11,-99,19,54,11,-634116429,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-6,0,-6,0,-7,0,-7,0,-7,0,-7,-1,-7,-1,-7,-1,-7,-2,-7,-2,-7,-2,-7,-2,-8,-2,-8,-2,-8,-2,-8,-1,-8,-2,-8,-2,-8,-2,-8,-2,-8,-3,-7,-2,-7,-2,-6,-2,-6,-2,-6,-1,-6,-1,-6,0,-6,0,-6,0,-5,0,-5,-1,-5,-1,-5,0,-5,0,-5,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,0,0,0,0,0,0,-2,2,-2,2,-3,2,-3,1,-3,2,-3,2,-3,2,-3,2,-4,2,-4,2,-4,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,3,-5,4,-5,4,-4,5,-4,5,-4,5,-5,5,-5,5,-5,5,-5,6,-5,6,-5,7,-5,7,-4,8,-4,8,-4,9,-3,9,-3,10,-3,10,-3,10,-4,10,-4,10,-4,11,-4,11,-4,11,-4,11,-4,11,-3,12,-3,12,-3,11,-3,11,-3,11,-4,10,-4,11,-4,11,-4,11,-4,11,-4,10,-5,9,-5,9,0,0,0,0,0,0,0,0,0,0]"""
