pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782097618387,2026-06-22T12:06:58.387,safe,motion,lmh,walking,t003,"CSI_DATA,237992,1a:00:00:00:00:00,-49,11,-98,16,35,11,204839110,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,4,0,4,0,3,2,4,2,4,2,5,2,5,2,5,3,4,2,5,2,6,2,4,4,4,4,6,4,6,5,7,4,4,7,6,9,5,7,5,6,7,7,6,10,7,7,4,9,6,9,6,11,7,9,5,9,7,12,7,11,5,12,7,12,7,12,7,12,6,12,7,14,8,13,7,14,8,14,7,14,9,16,7,14,9,16,8,16,8,16,7,17,8,19,9,20,9,19,6,21,7,23,7,24,7,24,8,24,0,0,0,0,0,0,28,-3,27,-2,27,-4,26,-2,26,-2,25,0,26,-2,27,0,25,0,24,0,23,0,23,0,25,0,25,0,24,2,22,-1,26,0,24,0,23,1,22,0,23,-2,24,1,21,-1,23,0,24,1,24,0,23,0,23,0,25,0,24,-1,22,1,24,2,24,2,24,2,22,2,25,4,24,4,22,4,24,5,21,6,21,5,22,7,21,9,20,7,19,8,19,8,16,9,17,10,16,9,14,10,14,11,12,9,11,12,12,12,9,12,7,12,6,13,0,0,0,0,0,0,0,0,0,0]"""
1782097618394,2026-06-22T12:06:58.394,safe,motion,lmh,walking,t003,"CSI_DATA,237993,1a:00:00:00:00:00,-49,11,-98,16,35,11,204850072,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-2,2,-2,2,-3,3,-2,3,-3,3,-2,2,-3,4,-2,4,-4,4,-4,4,-4,4,-4,5,-5,6,-4,7,-5,6,-4,6,-6,7,-5,5,-6,7,-7,7,-7,7,-6,8,-6,7,-7,9,-6,8,-7,9,-7,9,-8,7,-8,8,-9,8,-7,9,-9,8,-9,9,-9,8,-11,9,-12,7,-11,7,-12,7,-12,7,-14,8,-14,6,-15,7,-16,5,-18,7,-17,5,-16,6,-18,5,-18,5,-19,6,-21,4,-22,4,-23,5,-23,5,-24,4,-26,3,-24,4,-24,0,0,0,0,0,0,-26,-4,-26,-2,-26,-1,-26,-2,-26,-2,-25,-2,-25,0,-28,0,-25,0,-24,0,-24,0,-23,0,-25,2,-24,2,-23,3,-23,6,-24,7,-21,8,-24,5,-21,7,-21,12,-22,9,-20,9,-20,10,-20,9,-21,12,-20,11,-19,14,-21,14,-18,15,-18,14,-20,15,-16,16,-17,16,-16,15,-19,16,-17,16,-17,16,-19,16,-16,14,-15,15,-16,16,-16,15,-15,15,-16,14,-14,15,-14,13,-14,14,-14,11,-12,10,-13,11,-12,10,-12,9,-14,8,-12,9,-12,8,-12,5,0,0,0,0,0,0,0,0,0,0]"""
1782097618401,2026-06-22T12:06:58.401,safe,motion,lmh,walking,t003,"CSI_DATA,237994,1a:00:00:00:00:00,-49,11,-98,15,35,11,204861443,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-4,2,-3,3,-3,5,-3,4,-2,4,-2,4,-2,5,-2,5,-3,6,-2,5,-2,6,-3,8,-2,8,-2,8,-1,8,-2,8,-2,9,0,9,0,8,0,8,2,11,0,10,0,10,1,13,1,12,0,12,2,13,2,13,3,13,3,13,2,13,4,14,5,13,4,15,5,14,4,13,3,15,3,16,5,17,3,17,5,17,4,16,5,18,5,18,5,18,5,18,6,18,6,20,8,22,8,21,9,21,8,22,11,22,12,24,10,24,13,24,13,0,0,0,0,0,0,20,-23,18,-21,16,-23,18,-18,17,-21,17,-18,17,-18,20,-19,18,-18,18,-16,17,-17,17,-16,18,-18,18,-17,18,-15,16,-17,17,-18,18,-18,18,-16,16,-16,16,-18,18,-16,16,-16,17,-16,20,-14,18,-16,18,-16,16,-17,19,-16,17,-18,17,-16,20,-16,20,-13,19,-16,18,-13,21,-13,20,-13,22,-12,21,-12,21,-10,19,-10,21,-10,21,-8,21,-8,21,-6,20,-6,19,-2,19,-4,18,-2,18,0,17,0,16,0,16,0,17,2,16,3,13,3,13,5,0,0,0,0,0,0,0,0,0,0]"""
1782097618408,2026-06-22T12:06:58.408,safe,motion,lmh,walking,t003,"CSI_DATA,237995,1a:00:00:00:00:00,-48,11,-98,19,33,11,204872071,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,4,-4,3,-4,3,-5,4,-4,4,-6,3,-6,2,-6,4,-6,2,-7,4,-8,2,-7,3,-8,2,-9,2,-8,0,-9,2,-10,2,-11,0,-11,0,-9,-1,-11,-4,-13,0,-13,-1,-13,-1,-13,-2,-13,-1,-13,-2,-13,-3,-13,-4,-14,-4,-13,-3,-14,-4,-15,-4,-14,-4,-16,-4,-16,-4,-15,-3,-15,-2,-16,-4,-18,-4,-17,-6,-18,-1,-19,-4,-21,-4,-18,-5,-18,-5,-20,-6,-20,-6,-22,-7,-23,-8,-23,-7,-23,-7,-23,-9,-24,-10,-26,-9,-25,-9,-25,-13,0,0,0,0,0,0,-17,24,-17,24,-14,25,-14,23,-14,23,-17,22,-15,22,-17,22,-17,22,-15,19,-15,21,-16,19,-16,22,-17,21,-17,18,-14,21,-14,21,-14,21,-17,18,-15,20,-13,21,-15,20,-13,19,-14,19,-15,19,-15,20,-14,20,-13,22,-16,20,-13,21,-14,20,-15,21,-17,20,-15,19,-15,18,-19,19,-17,17,-17,17,-19,17,-18,15,-17,15,-17,16,-20,13,-19,13,-18,10,-17,12,-18,9,-19,8,-17,7,-16,5,-17,4,-16,5,-15,2,-18,0,-16,0,-15,0,-15,-1,0,0,0,0,0,0,0,0,0,0]"""
1782097618414,2026-06-22T12:06:58.414,safe,motion,lmh,walking,t003,"CSI_DATA,237996,1a:00:00:00:00:00,-48,11,-98,20,33,11,204885958,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,3,5,3,4,4,5,4,4,4,3,5,3,7,4,7,3,7,3,7,3,8,5,9,4,10,2,11,3,11,4,10,2,12,2,11,0,12,-1,14,1,14,0,13,0,14,0,15,0,14,-1,15,-1,16,0,15,0,15,-1,15,0,18,-1,16,-1,16,-1,19,0,17,-1,16,-1,18,0,18,0,19,-1,19,0,21,-1,21,0,22,-1,23,-1,23,-3,23,0,23,0,23,-3,25,-2,27,-3,27,-6,27,-7,27,-4,28,-4,30,-7,30,0,0,0,0,0,0,30,11,28,11,30,9,27,10,27,10,26,11,27,10,28,12,26,11,25,13,25,11,23,13,27,11,25,11,24,11,23,9,27,11,24,10,23,11,24,8,26,7,23,11,23,8,23,10,23,12,23,10,23,11,24,8,25,11,25,8,23,11,25,11,23,11,25,11,22,11,25,15,23,13,21,12,23,15,19,14,20,13,19,15,18,15,18,16,16,16,16,14,14,15,14,15,11,16,10,15,10,15,8,15,7,16,5,15,5,15,4,15,0,15,0,0,0,0,0,0,0,0,0,0]"""
1782097618421,2026-06-22T12:06:58.421,safe,motion,lmh,walking,t003,"CSI_DATA,237997,1a:00:00:00:00:00,-47,11,-98,17,33,11,204894071,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,6,-3,6,-4,6,-5,6,-4,6,-4,5,-5,6,-5,6,-7,6,-6,6,-7,6,-7,7,-7,6,-8,6,-9,6,-9,7,-10,7,-11,6,-11,6,-11,6,-11,3,-12,9,-12,6,-12,7,-15,6,-12,8,-14,6,-15,7,-14,6,-14,8,-14,6,-16,7,-16,7,-14,8,-16,9,-17,10,-15,8,-16,11,-17,11,-16,13,-16,12,-16,13,-18,12,-19,15,-17,13,-18,17,-19,15,-17,17,-18,16,-19,17,-19,17,-19,19,-23,19,-22,19,-21,21,-21,21,-23,19,0,0,0,0,0,0,19,26,19,25,20,21,19,23,19,23,18,24,19,20,19,23,19,21,18,22,19,19,19,19,21,20,19,19,19,19,20,18,22,18,21,17,20,17,22,15,25,12,21,16,20,12,20,13,22,15,24,12,22,13,23,10,25,13,25,9,22,12,25,12,24,12,24,10,22,11,24,13,22,12,24,12,23,12,21,12,21,11,20,12,20,12,21,11,19,13,19,11,19,12,18,12,14,12,15,12,14,13,13,12,12,12,11,12,10,12,10,12,7,12,0,0,0,0,0,0,0,0,0,0]"""
1782097618427,2026-06-22T12:06:58.427,safe,motion,lmh,walking,t003,"CSI_DATA,237998,1a:00:00:00:00:00,-48,11,-98,14,34,11,204905860,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,-1,6,-1,7,-1,7,0,9,0,9,0,8,0,9,1,9,1,10,2,9,4,10,4,10,4,10,5,9,6,11,8,12,9,9,10,9,9,10,9,7,9,10,12,7,13,8,14,9,15,8,14,6,15,7,16,5,15,8,15,5,16,7,18,6,16,5,17,5,19,5,19,5,19,5,20,5,21,6,21,5,21,5,21,5,22,6,24,3,24,4,23,3,23,3,23,3,25,2,28,1,28,0,28,-1,31,-3,29,0,32,-2,34,-2,31,0,0,0,0,0,0,31,10,31,10,31,10,29,11,28,12,27,14,27,11,29,13,27,14,26,15,25,13,22,14,26,15,24,15,23,16,22,15,26,15,23,15,21,17,23,14,24,15,22,17,22,14,21,16,20,17,21,17,20,17,21,15,21,20,21,16,19,20,19,20,19,20,20,19,16,19,16,22,15,21,15,21,15,25,11,22,11,21,10,23,8,25,8,23,6,24,7,21,3,21,5,21,0,20,0,19,0,19,0,17,-2,17,-3,19,-5,16,-5,14,-8,14,0,0,0,0,0,0,0,0,0,0]"""
1782097618435,2026-06-22T12:06:58.435,safe,motion,lmh,walking,t003,"CSI_DATA,237999,1a:00:00:00:00:00,-48,11,-98,13,34,11,204916087,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-6,2,-7,2,-7,4,-6,4,-7,5,-7,5,-8,6,-7,6,-8,6,-8,8,-9,7,-9,8,-9,10,-8,9,-7,12,-8,12,-8,12,-7,12,-6,12,-8,12,-9,14,-7,14,-7,14,-6,15,-7,14,-8,17,-6,17,-7,18,-6,17,-7,16,-7,18,-8,18,-7,18,-7,19,-7,19,-9,18,-10,19,-9,19,-10,19,-12,19,-10,19,-11,20,-11,21,-12,20,-11,22,-12,22,-12,20,-13,23,-13,25,-15,25,-14,25,-15,26,-12,28,-12,29,-15,27,-14,28,-14,0,0,0,0,0,0,-10,-32,-12,-32,-13,-29,-12,-29,-11,-30,-9,-29,-12,-29,-11,-29,-11,-29,-10,-27,-11,-27,-11,-25,-13,-27,-12,-26,-12,-27,-13,-24,-13,-25,-12,-25,-12,-25,-13,-25,-15,-23,-12,-25,-13,-20,-13,-22,-12,-24,-15,-22,-15,-23,-16,-22,-15,-22,-18,-21,-14,-22,-16,-22,-14,-22,-15,-22,-14,-22,-14,-24,-15,-24,-12,-22,-13,-22,-12,-25,-12,-21,-11,-22,-11,-24,-11,-22,-7,-21,-10,-22,-6,-20,-7,-20,-4,-19,-5,-18,-3,-19,-4,-18,-2,-17,0,-17,0,-16,0,-17,2,-14,0,0,0,0,0,0,0,0,0,0]"""
1782097618442,2026-06-22T12:06:58.442,safe,motion,lmh,walking,t003,"CSI_DATA,238000,1a:00:00:00:00:00,-47,11,-98,19,32,11,204927071,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1,-8,0,-9,0,-9,2,-9,3,-9,3,-9,6,-10,5,-9,5,-10,7,-8,7,-9,10,-8,11,-9,11,-8,11,-9,11,-9,13,-8,11,-9,14,-2,20,-3,14,-8,16,-6,17,-6,19,-4,16,-7,17,-2,18,-3,19,-1,19,-4,18,-3,22,-2,22,-2,21,0,22,-2,21,-2,20,-3,21,-1,22,0,24,-2,22,-1,24,-3,22,0,27,0,25,0,24,-1,25,0,26,0,26,2,28,2,28,1,31,2,31,6,31,7,33,5,33,6,33,7,0,0,0,0,0,0,14,-30,13,-30,11,-31,15,-31,13,-28,15,-27,13,-27,17,-31,15,-26,17,-27,14,-26,14,-23,15,-26,16,-24,17,-24,14,-24,16,-25,15,-23,17,-22,15,-23,14,-26,18,-22,15,-22,15,-22,16,-21,18,-22,17,-20,16,-23,17,-22,14,-24,16,-21,17,-22,19,-21,17,-22,18,-18,22,-21,20,-19,21,-17,21,-17,22,-14,19,-14,20,-15,22,-12,21,-12,22,-11,19,-11,21,-7,21,-6,19,-6,19,-4,20,-3,20,-3,17,-2,18,0,15,1,15,2,16,5,0,0,0,0,0,0,0,0,0,0]"""
1782097618448,2026-06-22T12:06:58.448,safe,motion,lmh,walking,t003,"CSI_DATA,238001,1a:00:00:00:00:00,-48,11,-98,14,34,11,204939235,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,9,0,8,-1,9,-2,10,-1,9,-1,9,-3,10,-3,10,-4,10,-3,12,-4,12,-5,12,-5,11,-7,13,-5,14,-7,12,-8,11,-6,11,-8,10,-9,14,-10,14,-8,14,-10,15,-10,14,-11,14,-10,15,-10,14,-10,15,-10,13,-11,15,-11,15,-11,15,-10,18,-10,16,-10,17,-10,18,-11,17,-10,19,-10,20,-10,21,-10,20,-9,22,-11,21,-10,21,-10,22,-8,22,-10,25,-10,26,-10,26,-10,26,-12,28,-13,25,-11,29,-11,29,-9,28,0,0,0,0,0,0,29,15,30,14,29,11,27,13,28,12,27,13,27,11,29,12,26,10,26,11,26,10,24,9,27,8,26,9,26,9,26,6,28,5,26,5,26,7,26,4,26,2,26,5,25,0,26,2,26,4,26,1,26,1,26,-1,27,0,26,-2,26,1,27,-1,26,0,27,-2,26,0,28,0,26,0,26,0,26,0,25,0,23,0,26,0,24,2,23,0,22,1,22,0,21,2,22,1,19,3,19,3,17,3,17,4,15,4,16,5,14,6,14,5,12,7,0,0,0,0,0,0,0,0,0,0]"""
