pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782034569535,2026-06-21T18:36:09.535,safe,motion,mhw,walking,t018,"CSI_DATA,774555,1a:00:00:00:00:00,-49,11,-99,16,29,11,580835627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-25,25,-20,17,-30,26,-19,14,-32,21,-28,15,-26,11,-32,25,-29,15,-30,25,-29,16,-32,13,-35,19,-40,16,-32,13,-47,14,-31,15,-43,16,-28,10,-32,11,-42,19,-29,9,-39,18,-31,13,-34,13,-33,16,-34,14,-27,15,-41,13,-29,11,-30,15,-21,10,-26,19,-27,14,-22,21,-27,18,-27,20,-22,16,-21,19,-22,23,-16,20,-25,22,-19,17,-16,23,-9,15,-13,27,-16,20,-7,26,-13,26,-10,25,-10,20,-8,26,-8,26,-8,28,-8,25,-5,21,-2,25,0,0,0,0,0,0,22,2,27,0,19,1,21,-2,26,-4,17,-3,22,-5,15,-4,19,-6,14,-7,16,-8,16,-9,15,-9,14,-13,13,-10,11,-10,13,-13,11,-14,8,-14,11,-16,8,-14,7,-17,4,-10,6,-16,5,-19,3,-17,3,-21,3,-19,3,-19,1,-21,0,-21,-2,-18,4,-23,0,-19,-1,-19,0,-14,-4,-21,1,-19,-5,-19,0,-21,-2,-20,-1,-18,-1,-20,-2,-22,-2,-18,-1,-21,1,-17,-5,-19,-1,-13,-3,-19,-1,-17,-4,-18,-1,-16,-1,-18,0,-15,0,-14,0,-14,0,0,0,0,0,0,0,0,0,0]"""
1782034569541,2026-06-21T18:36:09.541,safe,motion,mhw,walking,t018,"CSI_DATA,774556,1a:00:00:00:00:00,-49,11,-99,17,29,11,580848360,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,27,9,29,4,27,3,34,4,28,-3,39,-3,37,0,34,-7,31,-6,32,-7,38,-11,36,-11,36,-13,31,-11,33,-19,30,-19,37,-15,30,-27,38,-23,30,-20,29,-22,25,-21,24,-24,29,-23,26,-23,24,-22,22,-22,25,-24,18,-24,26,-20,20,-28,26,-24,24,-20,21,-22,22,-21,19,-18,20,-21,24,-21,19,-18,19,-14,20,-16,16,-20,21,-13,20,-20,22,-16,22,-14,20,-15,19,-12,18,-13,19,-15,22,-13,15,-14,20,-15,18,-13,19,-13,20,-11,18,0,0,0,0,0,0,16,9,14,9,22,8,18,7,14,6,19,7,14,7,18,6,15,3,19,7,16,4,15,2,14,2,14,0,16,2,16,1,18,1,14,-2,16,-3,15,1,19,-2,15,-3,20,-3,16,-5,16,-5,15,-3,16,-4,19,-6,16,-6,19,-5,18,-3,18,-7,16,-4,21,-6,16,-6,25,-5,20,-6,18,-4,21,-4,16,-2,18,-3,20,-4,22,-1,18,-3,19,-3,16,1,19,0,18,-2,21,2,18,1,16,2,18,4,14,3,13,5,18,4,13,5,13,5,0,0,0,0,0,0,0,0,0,0]"""
1782034569550,2026-06-21T18:36:09.550,safe,motion,mhw,walking,t018,"CSI_DATA,774557,1a:00:00:00:00:00,-49,11,-99,20,29,11,580857627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,27,-13,24,-10,32,-13,24,-9,33,-8,24,-6,27,-10,33,-9,35,-10,37,-10,34,0,35,-2,36,-3,40,0,34,0,44,0,33,0,40,2,28,0,30,-3,35,1,37,-5,41,0,33,5,35,4,34,2,37,3,32,0,37,1,28,0,33,0,22,0,27,-5,28,-4,28,-8,29,-7,30,-6,25,-1,26,-3,29,-6,23,-5,27,-9,21,-6,24,-11,15,-7,18,-12,19,-14,17,-15,17,-17,19,-15,17,-9,19,-14,17,-12,16,-16,16,-13,11,-15,11,-15,0,0,0,0,0,0,-15,-9,-17,-9,-13,-6,-16,-3,-21,-7,-13,-6,-17,-3,-13,-2,-17,-1,-11,0,-12,0,-14,1,-15,3,-16,3,-13,0,-14,3,-14,5,-16,5,-12,7,-14,8,-11,7,-12,10,-8,7,-9,11,-9,12,-9,15,-11,14,-10,12,-11,14,-9,14,-12,16,-9,16,-12,19,-9,15,-9,18,-6,12,-4,18,-6,17,-5,18,-6,21,-7,19,-10,14,-10,18,-10,20,-9,17,-8,20,-7,12,-9,18,-4,11,-7,15,-4,16,-6,17,-6,16,-9,16,-8,10,-10,11,-10,11,0,0,0,0,0,0,0,0,0,0]"""
1782034569557,2026-06-21T18:36:09.557,safe,motion,mhw,walking,t018,"CSI_DATA,774558,1a:00:00:00:00:00,-50,11,-99,18,30,11,580868627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-24,-11,-25,-12,-22,-15,-25,-19,-22,-17,-25,-25,-22,-24,-24,-24,-14,-25,-18,-24,-20,-28,-16,-28,-16,-31,-14,-29,-12,-30,-7,-34,-9,-38,-9,-32,-6,-40,-1,-34,-6,-37,1,-29,-3,-32,-3,-35,-1,-33,0,-32,1,-29,0,-30,6,-30,5,-32,2,-26,5,-31,3,-31,2,-27,0,-26,4,-24,2,-24,3,-26,3,-25,0,-22,0,-23,4,-21,4,-25,0,-21,2,-25,0,-24,0,-20,0,-19,1,-18,0,-19,1,-22,1,-18,0,-20,0,-19,1,-19,0,-19,0,-17,0,0,0,0,0,0,-15,0,-13,1,-15,4,-13,4,-11,3,-14,3,-12,5,-13,5,-11,5,-14,6,-12,6,-11,9,-10,4,-10,8,-11,9,-9,8,-11,9,-9,9,-8,10,-10,9,-11,11,-9,11,-11,12,-11,12,-8,13,-11,10,-7,13,-8,14,-10,14,-8,14,-9,14,-9,15,-12,13,-13,14,-9,14,-14,16,-13,17,-12,13,-12,15,-12,11,-12,12,-13,14,-14,11,-13,12,-12,13,-16,9,-18,11,-12,11,-16,9,-17,9,-15,7,-15,7,-15,4,-15,4,-14,4,-13,1,-13,2,0,0,0,0,0,0,0,0,0,0]"""
1782034569563,2026-06-21T18:36:09.563,safe,motion,mhw,walking,t018,"CSI_DATA,774559,1a:00:00:00:00:00,-50,11,-99,16,31,11,580879627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-25,8,-19,14,-30,11,-23,17,-27,18,-24,15,-23,19,-31,19,-21,20,-28,20,-25,21,-22,21,-23,23,-23,19,-19,32,-24,24,-21,28,-22,26,-18,23,-17,27,-22,24,-16,30,-22,25,-18,25,-15,25,-19,26,-17,19,-17,31,-16,23,-12,21,-15,19,-12,19,-19,20,-15,16,-18,18,-14,19,-17,17,-15,18,-15,16,-18,12,-17,18,-17,13,-14,9,-18,9,-12,10,-20,10,-15,6,-19,9,-15,7,-15,7,-13,7,-14,6,-14,7,-17,6,-16,2,-12,3,-14,0,0,0,0,0,0,-13,0,-13,0,-10,1,-12,4,-12,6,-11,2,-12,4,-9,3,-10,6,-8,6,-7,6,-8,10,-8,7,-8,9,-7,9,-6,10,-6,10,-6,12,-1,11,-6,13,-4,12,-3,15,-1,11,-2,14,-1,16,-1,14,0,18,0,16,-1,16,0,18,1,17,2,16,-3,19,0,18,1,17,0,14,3,20,0,19,4,18,0,18,1,19,0,17,-1,19,0,20,1,17,-2,20,0,16,2,18,0,13,0,19,-1,16,0,17,-2,14,0,18,-3,14,-3,12,-4,13,0,0,0,0,0,0,0,0,0,0]"""
1782034569569,2026-06-21T18:36:09.569,safe,motion,mhw,walking,t018,"CSI_DATA,774560,1a:00:00:00:00:00,-51,11,-99,18,31,11,580890627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-21,-19,-15,-17,-22,-23,-16,-18,-18,-27,-13,-18,-13,-19,-17,-25,-17,-26,-19,-31,-9,-28,-11,-30,-11,-29,-10,-32,-9,-27,-10,-38,-7,-27,-5,-35,-6,-23,-8,-26,-9,-30,-9,-31,-8,-35,-3,-29,-4,-29,-4,-30,-2,-31,-5,-25,-1,-31,-2,-24,-2,-26,-2,-18,-8,-22,-5,-22,-9,-22,-8,-23,-6,-25,-4,-20,-6,-21,-7,-22,-7,-17,-7,-21,-4,-17,-8,-17,-6,-10,-9,-16,-8,-13,-13,-13,-11,-14,-11,-14,-6,-11,-9,-13,-8,-12,-11,-12,-9,-12,-9,-9,-10,-6,0,0,0,0,0,0,-4,8,-4,10,-2,7,-1,8,-4,12,-1,8,-1,11,0,8,0,9,2,6,3,7,4,9,4,10,6,8,4,8,6,9,5,8,7,10,7,8,11,8,7,7,11,9,6,4,9,6,12,7,13,7,14,8,11,7,13,8,14,6,16,8,14,6,17,8,13,7,15,8,13,4,16,4,15,5,17,4,18,7,19,7,15,8,16,8,17,10,15,8,17,10,13,8,17,8,10,6,13,8,14,8,14,7,15,9,16,9,9,11,11,10,10,10,0,0,0,0,0,0,0,0,0,0]"""
1782034569576,2026-06-21T18:36:09.576,safe,motion,mhw,walking,t018,"CSI_DATA,774561,1a:00:00:00:00:00,-51,11,-99,19,31,11,580901627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-22,16,-20,12,-24,17,-22,13,-28,11,-21,10,-21,11,-26,9,-30,15,-33,11,-29,2,-31,3,-29,5,-34,3,-31,1,-35,3,-29,1,-34,-1,-25,0,-29,3,-31,1,-33,2,-32,0,-27,-7,-29,-4,-26,-3,-28,-5,-26,-4,-29,-2,-23,-3,-26,-4,-19,0,-20,0,-23,0,-23,1,-23,0,-23,0,-19,-2,-20,0,-22,0,-19,0,-19,1,-16,0,-18,2,-14,3,-15,4,-14,5,-14,6,-15,5,-15,3,-11,3,-14,4,-11,3,-12,4,-11,4,-7,3,-8,5,0,0,0,0,0,0,5,6,8,4,6,3,7,3,8,3,5,3,9,0,7,0,8,0,6,0,7,0,7,0,9,-3,9,-3,7,-2,7,-3,10,-3,11,-5,9,-5,8,-6,9,-6,11,-7,7,-7,8,-9,9,-9,9,-13,10,-12,9,-9,11,-11,11,-10,12,-12,9,-11,11,-14,10,-11,11,-13,7,-11,8,-14,9,-14,10,-15,12,-16,11,-14,13,-9,12,-13,15,-13,13,-11,14,-13,11,-9,15,-12,10,-8,11,-11,12,-10,12,-11,13,-12,15,-11,12,-5,14,-5,15,-4,0,0,0,0,0,0,0,0,0,0]"""
1782034569583,2026-06-21T18:36:09.583,safe,motion,mhw,walking,t018,"CSI_DATA,774562,1a:00:00:00:00:00,-51,11,-99,16,32,11,580912627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-24,-10,-19,-10,-27,-13,-21,-10,-25,-17,-18,-13,-20,-10,-23,-15,-27,-15,-28,-17,-18,-18,-20,-20,-23,-19,-23,-23,-20,-20,-26,-23,-21,-17,-24,-20,-16,-14,-20,-16,-24,-19,-25,-17,-24,-20,-16,-18,-20,-20,-19,-16,-20,-19,-20,-14,-23,-17,-17,-13,-20,-12,-13,-8,-19,-6,-18,-8,-20,-6,-23,-5,-20,-7,-14,-8,-17,-6,-20,-6,-17,-4,-17,-3,-15,-3,-17,0,-11,0,-13,1,-13,1,-12,3,-14,2,-13,3,-10,0,-11,3,-10,3,-10,3,-10,4,-7,3,-6,5,0,0,0,0,0,0,6,1,5,2,3,2,6,0,7,0,4,0,5,-2,3,-3,6,-4,3,-4,3,-3,3,-6,3,-6,3,-8,3,-7,3,-6,3,-8,2,-9,2,-10,1,-13,0,-9,0,-12,0,-9,-1,-11,-2,-13,-4,-13,-3,-14,-1,-12,-2,-16,-4,-14,-5,-16,-6,-15,-5,-17,-6,-13,-7,-14,-5,-10,-8,-12,-8,-13,-11,-13,-10,-16,-9,-15,-6,-16,-7,-16,-8,-18,-10,-16,-10,-16,-7,-13,-10,-15,-6,-10,-7,-13,-8,-12,-10,-13,-10,-15,-10,-15,-5,-13,-6,-16,-6,-13,0,0,0,0,0,0,0,0,0,0]"""
1782034569588,2026-06-21T18:36:09.588,safe,motion,mhw,walking,t018,"CSI_DATA,774563,1a:00:00:00:00:00,-52,11,-99,17,32,11,580923627,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,20,-8,26,-8,18,-5,29,-8,20,-6,30,-2,31,-1,24,3,29,-2,24,3,29,-2,30,-1,29,-2,26,-2,33,2,20,-2,32,-2,26,-1,35,2,29,4,22,6,27,3,22,5,28,0,26,0,24,1,23,1,28,3,16,-4,23,-5,20,-2,30,-2,21,2,20,-2,21,0,17,-2,14,-2,18,-8,17,-5,11,-5,15,-3,10,-8,14,-9,13,-5,17,-7,11,-4,11,-6,11,-2,10,-5,8,-4,8,-8,6,-6,8,-5,5,-6,2,-7,4,-5,3,-4,0,0,0,0,0,0,0,-2,-1,1,-1,0,-3,1,0,0,0,3,0,3,0,7,0,2,0,7,2,5,0,4,2,6,1,5,4,8,5,6,5,6,6,5,6,8,7,5,9,7,7,6,9,10,8,8,8,9,9,8,8,8,11,5,14,7,11,7,10,5,14,10,12,2,17,5,13,7,20,9,12,11,15,7,14,12,14,6,13,8,18,5,17,5,14,4,15,8,14,2,19,4,14,6,20,8,13,8,14,8,11,10,12,9,11,7,17,7,14,6,13,9,0,0,0,0,0,0,0,0,0,0]"""
1782034569595,2026-06-21T18:36:09.595,safe,motion,mhw,walking,t018,"CSI_DATA,774564,1a:00:00:00:00:00,-52,11,-99,18,32,11,580935012,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-23,8,-19,5,-26,6,-21,3,-28,4,-26,2,-24,3,-29,7,-24,0,-29,5,-27,2,-26,1,-29,1,-29,0,-22,0,-34,-4,-26,-2,-29,-2,-25,-1,-27,0,-31,2,-24,-2,-32,0,-26,-2,-24,-1,-25,-2,-24,-1,-20,1,-27,-5,-21,-2,-20,-1,-17,-2,-24,2,-19,0,-18,3,-18,0,-18,1,-18,0,-17,0,-17,2,-13,5,-16,2,-14,1,-15,5,-10,2,-15,5,-10,3,-10,5,-10,2,-10,5,-10,2,-8,1,-6,2,-8,2,-7,1,-5,0,-5,2,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,-1,-1,-1,-2,0,-1,-2,-5,-2,-4,-1,-4,-3,-4,-2,-5,-5,-6,-5,-5,-4,-4,-5,-7,-5,-7,-5,-5,-7,-8,-7,-8,-9,-8,-7,-7,-9,-7,-11,-7,-10,-7,-13,-8,-10,-8,-12,-8,-12,-6,-13,-8,-13,-5,-15,-10,-11,-8,-13,-7,-12,-6,-18,-7,-14,-8,-17,-5,-13,-8,-16,-8,-15,-9,-15,-8,-16,-8,-13,-6,-16,-10,-13,-10,-16,-7,-10,-6,-16,-8,-13,-8,-16,-8,-12,-8,-13,-8,-13,-10,-11,-10,-11,-9,0,0,0,0,0,0,0,0,0,0]"""
