pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782114533389,2026-06-22T16:48:53.389,safe,motion,yja,walking,t027,"CSI_DATA,920407,1a:00:00:00:00:00,-63,11,-99,12,48,11,1542426810,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,11,-6,9,-10,10,-10,9,-12,10,-11,8,-12,9,-15,10,-14,6,-18,8,-17,6,-17,4,-18,3,-18,2,-17,4,-24,2,-18,2,-22,1,-18,-1,-21,0,-24,0,-18,-4,-24,-2,-20,-4,-19,-5,-20,-6,-21,-6,-18,-3,-24,-8,-18,-7,-21,-5,-16,-5,-21,-5,-18,-8,-19,-3,-18,-4,-21,-7,-18,-5,-20,-7,-21,-4,-19,-3,-22,-7,-18,-4,-21,-2,-13,-2,-19,-2,-20,-4,-21,-1,-19,-4,-20,-5,-18,-5,-18,-5,-19,-2,-23,-4,-20,-4,-17,-4,-21,-2,0,0,0,0,0,0,-4,18,0,19,0,16,0,18,0,21,0,15,0,21,0,14,2,18,2,15,2,16,5,16,2,16,2,18,4,15,3,16,4,17,4,16,6,13,7,19,7,15,9,16,8,14,8,17,10,19,9,17,13,19,10,18,8,19,11,20,13,19,13,16,13,24,10,21,16,21,9,18,16,23,9,24,13,23,10,26,11,27,9,26,4,28,5,28,8,24,5,30,2,24,5,27,0,21,2,29,-1,26,1,25,-3,24,-5,26,-8,22,-10,21,-9,21,0,0,0,0,0,0,0,0,0,0]"""
1782114533394,2026-06-22T16:48:53.394,safe,motion,yja,walking,t027,"CSI_DATA,920408,1a:00:00:00:00:00,-63,11,-99,17,47,11,1542438869,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,9,-9,7,-14,8,-10,5,-15,4,-13,4,-14,5,-18,6,-14,2,-19,5,-18,4,-17,3,-19,2,-19,1,-14,0,-26,-1,-19,-1,-24,-1,-19,-2,-19,0,-21,-2,-19,-4,-25,-2,-21,-3,-19,-3,-21,-3,-21,-4,-16,0,-24,-7,-16,-4,-22,-4,-15,-4,-21,-2,-19,-2,-20,0,-19,0,-22,-2,-20,-1,-19,-1,-20,0,-16,1,-24,-2,-16,-1,-21,1,-15,0,-23,3,-21,1,-19,4,-21,2,-22,4,-21,1,-20,2,-19,4,-24,5,-19,2,-17,4,-20,6,0,0,0,0,0,0,7,16,9,21,6,14,9,16,11,20,7,13,10,20,7,13,11,17,10,12,12,14,14,12,12,12,14,12,14,9,13,9,14,9,16,9,11,6,19,12,14,6,21,6,16,4,18,6,21,3,17,4,24,3,21,3,19,3,24,2,24,1,19,0,29,5,21,4,26,1,20,2,30,0,26,4,26,0,28,2,29,3,26,5,28,7,27,7,22,3,29,11,20,10,28,8,17,6,28,9,24,11,24,8,21,13,24,13,19,14,17,13,16,14,0,0,0,0,0,0,0,0,0,0]"""
1782114533399,2026-06-22T16:48:53.399,safe,motion,yja,walking,t027,"CSI_DATA,920409,1a:00:00:00:00:00,-63,11,-99,14,47,11,1542448745,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,1,16,3,13,2,16,4,14,5,15,5,16,7,13,7,18,9,15,10,13,10,14,13,15,12,14,10,16,14,14,11,17,15,13,16,13,15,15,18,11,15,15,19,14,18,10,18,11,18,11,17,10,13,13,20,12,16,13,16,10,14,16,16,12,17,13,16,13,16,13,16,13,13,13,17,13,16,13,13,14,16,13,14,16,13,13,11,18,13,15,13,17,10,16,13,19,13,17,15,15,12,16,10,20,13,19,12,16,11,21,10,0,0,0,0,0,0,8,-18,8,-21,6,-16,5,-20,7,-20,5,-16,4,-21,3,-16,3,-20,3,-16,2,-16,0,-20,2,-18,0,-20,0,-18,0,-16,-1,-17,-3,-19,-4,-14,-4,-19,-5,-15,-8,-18,-6,-16,-9,-18,-10,-21,-7,-17,-10,-19,-9,-20,-8,-20,-10,-20,-11,-19,-13,-15,-14,-23,-11,-19,-16,-19,-12,-20,-19,-23,-13,-23,-16,-23,-13,-22,-12,-26,-11,-24,-7,-27,-11,-27,-12,-23,-10,-28,-8,-22,-12,-25,-6,-20,-8,-26,-4,-24,-6,-25,-3,-25,-1,-27,0,-25,3,-21,3,-20,0,0,0,0,0,0,0,0,0,0]"""
1782114533404,2026-06-22T16:48:53.404,safe,motion,yja,walking,t027,"CSI_DATA,920410,1a:00:00:00:00:00,-63,11,-99,16,47,11,1542461856,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,5,-13,2,-13,0,-15,1,-14,-2,-16,2,-15,0,-17,0,-18,2,-16,0,-16,-2,-19,1,-17,0,-19,-1,-24,-4,-17,0,-23,-2,-18,-4,-21,-5,-19,-1,-19,-3,-25,-2,-18,-2,-19,-4,-23,0,-20,0,-21,-1,-24,-3,-21,0,-22,-2,-18,-4,-21,2,-18,0,-19,3,-20,3,-21,5,-16,5,-18,5,-18,8,-20,8,-22,7,-16,9,-18,9,-18,7,-16,11,-15,8,-17,14,-15,13,-17,16,-14,15,-13,13,-12,17,-16,17,-10,14,-13,16,-12,21,-13,17,0,0,0,0,0,0,21,12,18,9,20,9,18,8,18,4,18,6,16,4,21,2,18,3,17,-1,16,0,16,-2,18,-5,16,-5,13,-5,16,-8,15,-8,17,-9,18,-10,13,-10,14,-11,16,-9,13,-14,10,-14,14,-12,11,-20,8,-17,11,-16,10,-20,6,-20,8,-21,10,-24,6,-21,9,-24,8,-21,4,-25,7,-22,2,-24,5,-26,2,-29,2,-24,5,-25,1,-27,5,-27,9,-29,3,-23,7,-26,9,-24,6,-26,5,-23,5,-25,6,-24,8,-26,5,-22,10,-20,7,-23,11,-22,0,0,0,0,0,0,0,0,0,0]"""
1782114533407,2026-06-22T16:48:53.407,safe,motion,yja,walking,t027,"CSI_DATA,920411,1a:00:00:00:00:00,-63,11,-99,18,47,11,1542472776,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-11,-11,-6,-6,-12,-12,-8,-6,-11,-13,-11,-14,-8,-13,-10,-11,-6,-11,-10,-15,-10,-15,-11,-16,-10,-14,-13,-18,-8,-11,-14,-19,-9,-13,-15,-23,-12,-19,-9,-18,-11,-15,-8,-14,-13,-17,-14,-17,-12,-17,-10,-15,-13,-19,-13,-9,-17,-14,-11,-13,-22,-19,-15,-15,-16,-11,-15,-13,-15,-9,-13,-9,-19,-8,-17,-6,-15,-6,-19,-8,-14,-2,-22,-4,-15,-2,-28,-4,-19,-3,-22,-1,-20,-2,-18,0,-17,2,-23,2,-19,4,-22,4,-18,4,-19,7,-23,7,-19,6,0,0,0,0,0,0,9,17,7,12,15,20,11,15,8,8,15,16,11,8,19,13,11,8,19,15,18,8,15,9,15,5,13,4,19,4,19,0,16,0,15,0,20,0,13,-4,19,-6,15,-2,24,-7,17,-6,16,-6,15,-9,13,-7,17,-13,15,-13,15,-13,14,-12,18,-16,8,-14,14,-22,14,-16,22,-27,17,-18,13,-22,17,-19,14,-19,14,-17,15,-26,13,-24,10,-19,15,-23,10,-19,14,-27,12,-18,22,-30,15,-19,15,-21,16,-18,15,-18,12,-13,16,-19,15,-17,17,-17,0,0,0,0,0,0,0,0,0,0]"""
1782114533411,2026-06-22T16:48:53.411,safe,motion,yja,walking,t027,"CSI_DATA,920412,1a:00:00:00:00:00,-63,11,-99,13,48,11,1542482678,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,-4,12,-7,9,-4,14,-4,12,-4,17,-3,16,-2,14,-1,15,-1,15,-1,18,-1,18,-2,19,-3,16,0,21,2,15,2,21,3,17,3,25,5,21,6,18,5,18,4,16,6,21,5,21,4,20,5,18,6,20,7,16,4,22,7,15,5,24,7,20,7,19,4,19,5,16,7,15,2,19,2,19,2,16,2,21,3,16,1,22,2,17,1,27,3,20,3,21,0,20,2,19,0,18,-2,21,-3,19,-3,21,-2,21,0,20,-4,22,-2,20,-2,0,0,0,0,0,0,-3,-20,-2,-14,-7,-25,-2,-19,-4,-11,-6,-21,-5,-14,-9,-19,-5,-13,-8,-19,-8,-17,-7,-16,-6,-14,-8,-12,-12,-13,-12,-14,-13,-12,-11,-9,-12,-12,-12,-9,-16,-12,-12,-7,-19,-12,-16,-12,-16,-9,-16,-9,-14,-6,-20,-6,-20,-4,-19,-6,-18,-6,-22,-9,-18,-5,-24,-7,-20,-7,-31,-9,-24,-11,-25,-7,-24,-11,-21,-10,-21,-7,-27,-8,-26,-9,-21,-8,-25,-13,-19,-10,-27,-14,-19,-12,-26,-20,-19,-17,-19,-16,-15,-17,-15,-16,-15,-15,-17,-19,-14,-17,-13,-19,0,0,0,0,0,0,0,0,0,0]"""
1782114533414,2026-06-22T16:48:53.414,safe,motion,yja,walking,t027,"CSI_DATA,920413,1a:00:00:00:00:00,-63,11,-99,21,46,11,1542494211,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-12,0,-14,-1,-12,-2,-14,-2,-13,-4,-14,-4,-14,-7,-11,-7,-16,-8,-11,-11,-12,-11,-12,-14,-12,-14,-11,-15,-12,-18,-12,-14,-14,-16,-12,-17,-7,-16,-9,-19,-7,-19,-9,-21,-4,-21,-4,-17,-3,-21,-4,-20,-3,-20,-3,-21,-5,-19,-5,-19,-3,-21,-4,-19,-2,-17,-2,-19,0,-20,-4,-21,-2,-19,-4,-16,-1,-19,-3,-19,-2,-20,-7,-16,-7,-19,-4,-21,-5,-19,-4,-16,-6,-21,-2,-19,-5,-20,-4,-21,-5,-18,-6,-20,-4,-21,-5,-19,-6,-20,-5,-21,-4,-19,0,0,0,0,0,0,-20,4,-20,4,-17,4,-18,7,-17,5,-18,6,-16,7,-17,7,-15,7,-15,6,-15,7,-16,6,-15,10,-16,7,-14,7,-15,9,-14,9,-14,9,-15,10,-11,13,-9,14,-13,12,-13,12,-11,13,-13,12,-13,19,-14,13,-13,13,-14,15,-14,15,-14,16,-15,18,-11,19,-13,20,-15,20,-17,19,-17,15,-19,17,-22,16,-21,20,-22,16,-20,15,-24,14,-24,14,-26,14,-21,16,-24,15,-26,10,-25,9,-23,7,-25,5,-25,2,-26,3,-24,0,-23,0,-24,-2,-23,-4,0,0,0,0,0,0,0,0,0,0]"""
1782114533418,2026-06-22T16:48:53.418,safe,motion,yja,walking,t027,"CSI_DATA,920414,1a:00:00:00:00:00,-63,11,-99,18,47,11,1542503833,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-7,-10,-7,-10,-10,-8,-8,-7,-13,-8,-10,-8,-11,-8,-12,-10,-15,-6,-15,-3,-15,-4,-17,-3,-17,0,-19,0,-20,0,-21,0,-19,2,-23,2,-16,1,-17,2,-17,2,-22,4,-22,8,-17,6,-19,5,-19,8,-19,8,-19,10,-19,8,-15,11,-17,6,-15,6,-16,5,-19,5,-18,6,-21,7,-19,10,-15,7,-17,11,-18,10,-18,9,-17,8,-15,11,-17,6,-15,5,-16,4,-17,4,-17,8,-20,7,-20,10,-16,9,-18,8,-17,8,-19,11,-15,8,-17,8,-17,0,0,0,0,0,0,-18,-9,-18,-11,-14,-6,-16,-7,-18,-10,-13,-10,-16,-11,-14,-6,-16,-8,-13,-5,-15,-3,-16,-1,-19,-2,-18,-4,-15,-5,-17,-2,-17,-2,-17,-4,-16,-2,-18,-2,-15,0,-19,-2,-14,-1,-17,1,-17,2,-21,2,-21,2,-18,-1,-21,0,-21,2,-24,0,-22,0,-25,-1,-21,-1,-25,-2,-19,0,-24,0,-25,0,-26,0,-31,-1,-28,-3,-24,-8,-26,-6,-26,-11,-24,-12,-25,-13,-20,-13,-24,-16,-17,-11,-20,-12,-21,-13,-22,-13,-22,-17,-19,-18,-11,-19,-12,-22,-11,-22,0,0,0,0,0,0,0,0,0,0]"""
1782114533421,2026-06-22T16:48:53.421,safe,motion,yja,walking,t027,"CSI_DATA,920415,1a:00:00:00:00:00,-63,11,-99,15,47,11,1542518371,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,0,7,10,-12,16,0,29,2,0,-20,12,-7,-1,-21,13,-18,13,-10,1,-7,26,-15,18,-11,17,-14,21,-17,8,-13,8,-22,12,-8,16,-17,10,-16,12,-16,7,-16,9,-17,10,-17,11,-16,13,-15,13,-14,11,-15,11,-16,10,-18,12,-14,11,-19,14,-17,10,-17,11,-14,11,-14,10,-10,11,-11,15,-11,16,-9,14,-11,14,-8,14,-9,15,-8,17,-11,20,-9,17,-7,17,-8,17,-9,16,-4,19,-5,21,-3,17,-3,18,-5,20,-1,21,-2,19,-5,20,0,0,0,0,0,0,19,0,18,0,20,-2,17,0,14,-2,18,-5,15,-3,18,-5,14,-4,18,-5,16,-7,13,-7,13,-6,12,-8,11,-12,9,-11,9,-13,8,-13,9,-12,8,-12,8,-16,5,-15,8,-17,9,-17,5,-18,7,-17,2,-16,0,-21,0,-21,0,-20,0,-20,0,-22,2,-22,0,-25,-2,-23,0,-31,3,-28,1,-26,2,-26,2,-23,0,-25,-2,-29,0,-28,0,-25,2,-27,1,-25,2,-29,2,-26,4,-31,7,-26,5,-26,8,-24,8,-22,6,-23,7,-26,7,-22,8,-20,0,0,0,0,0,0,0,0,0,0]"""
1782114533424,2026-06-22T16:48:53.424,safe,motion,yja,walking,t027,"CSI_DATA,920416,1a:00:00:00:00:00,-63,11,-99,13,48,11,1542528594,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-12,3,-12,5,-13,6,-12,8,-12,6,-12,7,-12,9,-14,7,-15,11,-13,14,-10,13,-11,14,-11,17,-11,16,-7,17,-10,15,-8,19,-7,16,-7,19,-7,21,-6,18,-8,21,-7,19,-1,19,-3,19,-3,19,-2,19,-2,22,-2,20,0,21,0,16,-2,19,-4,18,-5,19,-3,18,-7,19,-4,19,-1,19,-3,21,-3,19,-2,19,-4,17,-4,19,-2,14,-4,17,-6,17,-4,16,-8,19,-8,20,-7,19,-4,19,-5,17,-4,20,-7,19,-3,17,-6,17,-6,0,0,0,0,0,0,-4,-16,-4,-19,-5,-15,-5,-16,-9,-18,-4,-16,-7,-17,-7,-12,-5,-16,-7,-12,-8,-12,-7,-13,-12,-11,-12,-12,-7,-13,-9,-11,-12,-11,-12,-13,-12,-12,-14,-10,-12,-7,-14,-12,-12,-7,-15,-7,-16,-9,-19,-6,-18,-9,-15,-10,-19,-10,-18,-8,-19,-12,-19,-10,-23,-12,-19,-10,-21,-12,-19,-9,-24,-10,-23,-10,-24,-9,-25,-12,-23,-15,-19,-19,-21,-17,-19,-21,-18,-20,-19,-21,-14,-19,-16,-24,-13,-19,-16,-20,-16,-21,-14,-21,-14,-22,-10,-25,-4,-25,-4,-24,-2,-23,0,0,0,0,0,0,0,0,0,0]"""
