pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782096121578,2026-06-22T11:42:01.578,safe,posture,lmh,lying_still,t016,"CSI_DATA,101921,1a:00:00:00:00:00,-46,11,-98,17,29,11,66438857,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,16,0,17,-3,17,-5,17,-5,16,-5,18,-7,17,-8,19,-10,17,-11,19,-11,18,-12,20,-14,18,-16,17,-16,19,-16,20,-19,17,-17,15,-18,17,-17,15,-22,17,-21,14,-22,14,-24,15,-21,15,-24,12,-24,12,-24,11,-23,12,-22,11,-23,11,-23,12,-23,12,-24,13,-23,13,-22,13,-24,14,-24,12,-23,13,-25,13,-23,15,-25,12,-27,16,-24,12,-24,14,-26,14,-26,14,-27,15,-29,14,-28,14,-29,15,-33,11,-31,10,-33,14,-33,12,-32,11,0,0,0,0,0,0,7,34,6,33,7,32,5,31,5,33,3,31,3,30,1,33,1,31,1,29,3,28,2,27,4,28,1,29,0,28,2,26,3,29,2,27,0,26,1,26,4,26,0,26,3,24,1,25,0,26,0,24,0,26,1,25,0,27,1,24,0,24,0,25,0,25,0,24,-1,23,-4,25,-3,24,-3,21,-4,24,-4,23,-5,20,-6,21,-9,22,-6,20,-9,19,-7,17,-10,16,-11,17,-10,14,-9,14,-10,13,-10,12,-11,10,-14,8,-12,7,-12,5,-14,4,0,0,0,0,0,0,0,0,0,0]"""
1782096121584,2026-06-22T11:42:01.584,safe,posture,lmh,lying_still,t016,"CSI_DATA,101922,1a:00:00:00:00:00,-45,11,-98,16,29,11,66449518,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,16,-4,14,-6,15,-7,15,-7,16,-9,15,-9,15,-10,16,-12,17,-13,17,-13,19,-14,18,-13,19,-15,19,-17,16,-19,17,-17,18,-20,17,-17,15,-17,18,-17,16,-21,17,-20,15,-19,18,-22,17,-19,18,-21,17,-21,17,-21,15,-18,17,-20,16,-21,17,-20,17,-20,17,-18,19,-18,20,-17,18,-17,22,-18,20,-17,23,-16,22,-16,23,-16,24,-15,26,-15,23,-15,24,-16,25,-13,26,-15,27,-16,27,-15,28,-16,29,-19,28,-19,28,-19,30,-16,31,-15,30,0,0,0,0,0,0,28,20,29,19,29,15,28,17,28,16,26,16,27,16,27,19,26,16,26,14,25,15,23,13,27,13,25,12,26,12,24,10,26,8,25,9,24,9,25,8,24,6,24,9,22,6,24,7,23,7,24,6,25,4,25,2,25,5,24,2,25,4,26,4,24,7,24,4,23,5,23,6,24,7,23,5,23,5,23,7,22,6,21,7,20,8,21,7,20,10,19,8,16,9,18,9,15,8,15,7,14,9,13,9,12,9,12,11,9,13,9,9,8,11,0,0,0,0,0,0,0,0,0,0]"""
1782096121592,2026-06-22T11:42:01.592,safe,posture,lmh,lying_still,t016,"CSI_DATA,101923,1a:00:00:00:00:00,-45,11,-98,16,29,11,66461534,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,-12,-6,-14,-7,-15,-4,-18,-4,-16,-5,-16,-2,-18,-2,-19,-2,-22,0,-21,0,-22,-1,-22,0,-24,0,-24,4,-23,4,-24,2,-26,6,-24,6,-22,4,-23,6,-22,8,-27,8,-24,8,-25,11,-26,8,-25,9,-25,12,-26,11,-23,10,-25,10,-22,11,-26,10,-25,10,-23,11,-25,10,-26,9,-24,8,-26,8,-26,6,-27,11,-26,6,-27,8,-26,7,-29,9,-26,8,-27,9,-28,9,-28,9,-29,11,-30,9,-29,10,-31,13,-33,12,-28,10,-33,13,-34,13,-32,0,0,0,0,0,0,-32,-19,-29,-18,-29,-16,-28,-18,-28,-17,-26,-16,-26,-15,-28,-17,-26,-15,-23,-16,-24,-15,-24,-14,-26,-16,-22,-16,-22,-14,-23,-12,-25,-13,-23,-13,-23,-15,-22,-12,-25,-11,-23,-14,-19,-10,-20,-11,-20,-14,-21,-13,-21,-12,-22,-11,-23,-13,-23,-9,-22,-13,-22,-13,-19,-14,-21,-13,-21,-12,-20,-15,-19,-15,-17,-15,-18,-17,-16,-17,-15,-15,-16,-16,-15,-16,-13,-17,-13,-18,-12,-16,-9,-16,-10,-16,-8,-15,-7,-16,-6,-15,-5,-15,-3,-14,-3,-14,-2,-15,0,-13,0,-13,0,0,0,0,0,0,0,0,0,0]"""
1782096121599,2026-06-22T11:42:01.599,safe,posture,lmh,lying_still,t016,"CSI_DATA,101924,1a:00:00:00:00:00,-46,11,-98,17,29,11,66471607,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,-8,-13,-10,-15,-11,-13,-11,-13,-12,-13,-12,-15,-12,-14,-12,-16,-15,-15,-15,-16,-15,-16,-14,-18,-16,-17,-16,-16,-17,-16,-16,-19,-16,-18,-18,-18,-17,-16,-16,-15,-16,-21,-17,-18,-17,-20,-16,-21,-18,-21,-13,-20,-16,-20,-16,-21,-14,-24,-13,-23,-11,-24,-14,-25,-12,-23,-10,-26,-8,-25,-6,-23,-5,-26,-4,-27,-6,-27,-2,-27,-2,-28,0,-26,0,-30,3,-28,0,-27,4,-29,3,-28,5,-29,6,-33,8,-31,9,-31,10,-31,9,-32,8,-33,11,-32,12,-32,14,0,0,0,0,0,0,13,32,14,31,17,29,16,28,16,25,15,26,17,25,17,27,18,23,17,24,18,22,18,21,22,19,20,18,20,17,21,15,23,15,22,14,20,15,23,12,24,9,23,11,22,7,22,8,23,9,24,6,23,5,25,3,24,4,24,1,23,2,25,2,24,2,25,0,23,0,26,1,24,1,23,0,24,0,23,0,22,0,23,0,23,0,21,0,21,0,20,0,19,0,21,0,17,0,17,0,18,0,16,0,15,0,16,3,16,3,14,1,14,4,0,0,0,0,0,0,0,0,0,0]"""
1782096121606,2026-06-22T11:42:01.606,safe,posture,lmh,lying_still,t016,"CSI_DATA,101925,1a:00:00:00:00:00,-46,11,-98,17,29,11,66483652,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-16,-1,-15,-2,-16,-3,-17,-3,-17,-4,-16,-6,-16,-5,-17,-8,-20,-7,-18,-8,-19,-9,-21,-8,-22,-8,-23,-10,-21,-11,-22,-12,-21,-10,-23,-13,-21,-12,-19,-15,-19,-15,-22,-12,-23,-13,-24,-11,-25,-14,-23,-10,-23,-12,-22,-13,-22,-13,-26,-10,-23,-10,-26,-10,-25,-10,-24,-10,-26,-8,-26,-7,-25,-6,-27,-4,-27,-5,-28,-1,-27,-3,-27,0,-28,0,-30,0,-29,0,-27,0,-29,0,-30,1,-30,1,-33,2,-32,5,-31,4,-33,2,-33,2,-33,7,-33,6,-34,5,0,0,0,0,0,0,2,33,5,35,8,32,5,33,7,31,5,31,6,32,8,31,8,30,7,27,7,26,9,26,11,26,10,26,10,26,14,22,15,23,14,22,12,23,13,22,16,20,15,21,15,16,14,19,14,21,16,18,16,18,18,16,18,18,20,15,17,16,18,17,18,17,18,16,17,16,18,17,16,16,17,16,17,17,16,16,16,16,16,15,16,16,16,15,13,16,16,15,12,15,14,15,11,14,10,14,9,14,8,13,9,14,7,14,7,14,5,13,3,14,0,0,0,0,0,0,0,0,0,0]"""
1782096121613,2026-06-22T11:42:01.613,safe,posture,lmh,lying_still,t016,"CSI_DATA,101926,1a:00:00:00:00:00,-46,11,-98,16,29,11,66493536,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,15,-6,15,-7,16,-9,16,-7,14,-9,16,-10,17,-10,16,-11,19,-11,17,-13,19,-11,18,-12,20,-13,20,-15,18,-15,19,-14,21,-15,21,-13,19,-16,21,-16,21,-17,21,-15,22,-13,22,-16,24,-12,23,-15,22,-14,23,-12,22,-11,23,-11,22,-11,26,-11,24,-8,25,-7,26,-5,25,-6,24,-4,28,-4,26,-1,29,-1,27,0,28,0,29,1,31,0,30,2,28,3,30,4,29,5,30,5,31,7,32,8,33,7,34,6,33,12,33,11,33,12,32,0,0,0,0,0,0,32,-10,33,-12,28,-15,30,-14,29,-15,27,-13,27,-15,29,-16,25,-17,25,-14,24,-17,22,-15,21,-18,23,-16,21,-18,18,-18,18,-21,16,-20,17,-18,16,-21,12,-23,15,-22,10,-20,12,-21,13,-21,10,-22,12,-21,6,-24,9,-24,6,-23,7,-23,7,-25,6,-24,5,-24,5,-23,8,-25,6,-24,5,-23,7,-25,5,-23,3,-23,5,-22,5,-21,4,-21,4,-20,4,-20,5,-19,4,-18,6,-18,4,-17,6,-15,5,-14,5,-14,7,-14,7,-13,6,-13,8,-11,0,0,0,0,0,0,0,0,0,0]"""
1782096121621,2026-06-22T11:42:01.621,safe,posture,lmh,lying_still,t016,"CSI_DATA,101927,1a:00:00:00:00:00,-46,11,-98,21,28,11,66504785,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-15,0,-16,0,-17,-2,-16,-4,-18,-3,-18,-5,-18,-4,-18,-5,-21,-5,-19,-7,-22,-6,-21,-3,-25,-6,-24,-5,-22,-8,-23,-7,-26,-7,-24,-8,-21,-9,-25,-8,-25,-6,-26,-8,-24,-8,-25,-7,-27,-9,-26,-4,-25,-7,-28,-6,-26,-5,-26,-2,-25,-3,-30,-3,-27,-1,-27,-1,-29,0,-27,2,-25,2,-26,5,-26,4,-26,7,-27,7,-26,10,-28,9,-27,13,-27,11,-24,14,-26,15,-26,14,-26,15,-26,16,-28,18,-27,20,-30,20,-28,18,-28,23,-26,23,-25,23,0,0,0,0,0,0,22,25,23,25,26,22,23,22,24,21,22,20,24,20,26,20,24,18,24,17,25,16,23,14,26,13,25,13,24,13,25,8,27,8,26,7,24,8,25,5,27,2,26,4,24,1,25,4,25,3,25,1,25,0,25,-3,26,-1,24,-4,24,-2,26,-1,24,-2,24,-5,22,-4,25,-3,25,-2,24,-4,24,-3,23,-3,21,-4,22,-5,23,-3,21,-5,20,-3,19,-4,20,-3,19,-2,18,-1,16,-3,16,-1,16,-1,16,0,16,1,15,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0]"""
1782096121627,2026-06-22T11:42:01.627,safe,posture,lmh,lying_still,t016,"CSI_DATA,101928,1a:00:00:00:00:00,-46,11,-98,21,28,11,66515518,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,14,7,14,7,15,7,18,6,17,6,16,6,17,5,18,6,21,6,20,5,21,6,22,8,23,6,23,6,25,4,25,6,25,6,27,6,21,4,27,5,28,5,25,7,26,8,25,6,28,6,24,5,26,6,29,7,26,9,24,9,24,8,24,11,24,10,24,12,24,14,23,14,21,15,21,16,22,19,22,18,22,19,20,17,20,22,20,18,18,20,17,24,19,23,16,25,18,27,17,26,16,28,17,28,19,27,18,30,17,30,15,30,16,0,0,0,0,0,0,16,-29,17,-30,13,-31,14,-29,13,-31,12,-28,12,-29,12,-30,11,-28,11,-27,8,-27,6,-25,6,-29,5,-28,5,-25,2,-26,0,-27,1,-27,3,-26,0,-26,-3,-26,0,-26,-1,-23,-1,-24,-1,-26,-4,-26,-3,-23,-8,-23,-5,-25,-7,-23,-6,-24,-7,-25,-6,-25,-9,-23,-7,-20,-7,-23,-7,-24,-8,-23,-7,-23,-6,-23,-7,-21,-6,-22,-6,-21,-6,-21,-4,-21,-5,-20,-5,-20,-5,-19,-2,-17,-3,-17,-2,-17,-3,-16,-2,-16,0,-17,0,-14,1,-14,1,-14,0,0,0,0,0,0,0,0,0,0]"""
1782096121634,2026-06-22T11:42:01.634,safe,posture,lmh,lying_still,t016,"CSI_DATA,101929,1a:00:00:00:00:00,-46,11,-98,21,28,11,66526543,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,4,15,4,17,5,17,6,16,8,16,8,16,7,16,9,18,10,18,11,20,12,19,11,19,12,21,13,19,16,21,15,22,12,21,15,19,14,20,17,23,16,20,15,22,16,22,15,22,16,21,14,21,15,22,14,23,15,24,15,21,13,24,12,25,11,23,10,28,9,26,9,25,6,26,6,27,7,27,4,28,4,28,2,27,3,32,1,27,1,29,0,32,0,30,-2,32,0,33,-1,33,-2,33,-2,34,-3,33,-2,35,-5,35,-4,34,-5,0,0,0,0,0,0,-5,-33,-4,-34,-6,-33,-8,-31,-8,-32,-7,-29,-7,-30,-7,-30,-9,-31,-7,-29,-10,-26,-10,-25,-12,-27,-11,-27,-12,-25,-13,-24,-16,-25,-14,-22,-13,-22,-14,-22,-16,-19,-15,-22,-15,-16,-16,-18,-16,-19,-17,-18,-19,-16,-20,-15,-18,-18,-20,-14,-19,-15,-19,-16,-19,-16,-20,-13,-18,-13,-18,-16,-19,-15,-19,-14,-20,-15,-18,-14,-19,-12,-16,-14,-16,-16,-17,-15,-16,-15,-17,-13,-14,-13,-16,-13,-13,-11,-15,-11,-11,-12,-12,-13,-11,-11,-9,-14,-7,-12,-8,-10,-5,-11,0,0,0,0,0,0,0,0,0,0]"""
1782096121641,2026-06-22T11:42:01.641,safe,posture,lmh,lying_still,t016,"CSI_DATA,101930,1a:00:00:00:00:00,-45,11,-98,16,29,11,66539695,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,-15,3,-15,5,-16,6,-16,6,-16,9,-16,7,-15,10,-16,11,-19,10,-18,11,-20,11,-19,11,-20,12,-20,14,-19,13,-21,12,-24,14,-23,12,-20,13,-18,16,-18,14,-23,15,-22,13,-23,15,-24,12,-23,13,-22,13,-23,14,-23,11,-23,11,-22,11,-26,9,-25,10,-24,7,-25,6,-26,4,-24,4,-26,5,-27,2,-29,1,-28,0,-28,0,-29,-2,-30,0,-26,-2,-27,-1,-30,-4,-28,-4,-30,-3,-33,-5,-32,-6,-32,-5,-32,-5,-33,-8,-33,-9,-33,-9,-32,0,0,0,0,0,0,-33,8,-34,9,-30,13,-29,11,-30,12,-28,10,-29,12,-30,13,-27,12,-25,12,-23,13,-24,13,-25,15,-24,15,-23,15,-20,17,-20,19,-20,18,-20,15,-18,18,-15,20,-18,19,-14,19,-14,18,-16,20,-13,22,-15,21,-10,21,-14,21,-9,22,-11,22,-11,22,-11,23,-8,24,-9,21,-11,22,-10,22,-8,22,-10,23,-11,21,-8,19,-8,21,-10,20,-8,18,-10,18,-8,20,-8,16,-8,19,-9,13,-9,15,-9,14,-8,14,-8,13,-10,13,-10,10,-10,10,-11,7,0,0,0,0,0,0,0,0,0,0]"""
