pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782032812678,2026-06-21T18:06:52.678,safe,posture,mhw,lying_still,t020,"CSI_DATA,614840,1a:00:00:00:00:00,-59,11,-99,21,44,11,747944396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,0,1,-1,1,0,1,-1,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,2,-2,0,-2,1,-3,2,-2,2,-4,2,-2,2,-3,3,-2,2,-3,2,-3,1,-4,1,-4,2,-4,2,-4,1,-5,2,-5,3,-4,0,0,0,0,0,0,-5,-3,-4,-2,-6,-3,-5,-3,-4,-2,-6,-3,-4,-1,-6,-3,-4,-2,-6,-3,-5,-3,-3,-4,-5,-3,-3,-3,-5,-2,-5,-2,-5,-2,-5,-1,-6,-3,-4,0,-6,-1,-5,-1,-6,-2,-5,-2,-4,-2,-5,-1,-4,-1,-6,0,-6,-1,-5,0,-5,-1,-6,-2,-5,0,-6,0,-6,-1,-8,-1,-5,-3,-6,-1,-6,-3,-5,-2,-4,-1,-6,0,-6,-1,-5,-1,-5,-2,-5,0,-6,-1,-5,-2,-6,-3,-3,-3,-4,-3,-3,-3,-3,-3,-2,-3,-4,-2,-3,-2,-3,-3,0,0,0,0,0,0,0,0,0,0]"""
1782032812689,2026-06-21T18:06:52.689,safe,posture,mhw,lying_still,t020,"CSI_DATA,614841,1a:00:00:00:00:00,-59,11,-99,16,45,11,747955396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,4,0,3,0,3,-1,3,-1,3,0,3,-1,4,-2,3,-1,4,-2,5,-2,4,-3,4,-2,5,-2,0,0,0,0,0,0,-3,-4,-3,-4,-5,-5,-4,-4,-3,-3,-4,-4,-4,-3,-5,-4,-4,-3,-5,-4,-5,-4,-5,-3,-4,-3,-5,-2,-6,-2,-5,-1,-6,-1,-5,-1,-5,-1,-5,-1,-6,0,-5,0,-6,0,-6,0,-5,0,-5,0,-5,0,-6,1,-5,1,-5,1,-5,1,-5,1,-5,1,-5,2,-5,2,-7,2,-6,2,-5,2,-6,2,-5,1,-5,3,-5,3,-5,3,-4,2,-4,2,-4,2,-5,3,-5,3,-6,2,-5,2,-4,2,-4,1,-4,1,-4,1,-4,2,-3,1,-3,1,0,0,0,0,0,0,0,0,0,0]"""
1782032812699,2026-06-21T18:06:52.699,safe,posture,mhw,lying_still,t020,"CSI_DATA,614842,1a:00:00:00:00:00,-59,11,-99,16,45,11,747966396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,3,0,2,0,3,0,2,0,3,0,2,0,3,0,3,0,3,0,4,0,4,0,3,0,4,0,4,0,5,0,5,0,4,0,5,0,0,0,0,0,0,0,1,-5,2,-7,1,-4,2,-5,2,-7,2,-4,2,-6,1,-4,3,-6,1,-4,1,-4,2,-6,2,-5,2,-6,2,-4,2,-5,1,-5,2,-5,2,-4,3,-6,1,-4,2,-6,1,-4,1,-4,2,-5,2,-5,2,-6,2,-5,2,-5,2,-5,3,-6,2,-5,4,-6,3,-4,3,-5,2,-3,2,-5,3,-5,2,-5,4,-5,4,-5,4,-3,4,-4,5,-4,4,-3,5,-3,4,-2,5,-3,3,-1,4,-2,4,-2,4,-2,4,-1,5,-1,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0]"""
1782032812709,2026-06-21T18:06:52.709,safe,posture,mhw,lying_still,t020,"CSI_DATA,614843,1a:00:00:00:00:00,-59,11,-99,21,44,11,747977396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,-1,1,0,0,-1,1,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,3,0,2,0,3,0,3,0,3,-1,2,0,3,-1,3,0,3,-1,4,-1,4,-1,4,-1,5,-1,4,-1,5,-2,5,-2,4,-1,5,-2,0,0,0,0,0,0,-2,-4,-3,-6,-1,-3,-2,-5,-3,-7,-2,-4,-3,-6,-2,-4,-3,-6,-2,-4,-3,-4,-3,-5,-3,-5,-4,-5,-3,-4,-3,-4,-4,-4,-4,-4,-3,-3,-4,-5,-3,-3,-5,-4,-3,-2,-4,-3,-5,-3,-5,-3,-6,-3,-5,-3,-5,-3,-5,-3,-6,-3,-5,-2,-6,-4,-4,-2,-6,-2,-3,-2,-6,-2,-5,-3,-6,-2,-6,-3,-6,-3,-4,-3,-5,-3,-6,-3,-5,-2,-5,-3,-3,-3,-5,-2,-3,-1,-4,-3,-3,-3,-4,-2,-3,-3,-4,-3,-3,-3,-2,-3,-2,-3,0,0,0,0,0,0,0,0,0,0]"""
1782032812714,2026-06-21T18:06:52.714,safe,posture,mhw,lying_still,t020,"CSI_DATA,614844,1a:00:00:00:00:00,-59,11,-99,17,45,11,747988396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,2,-1,2,-2,1,-2,2,-2,2,-1,2,-2,1,-1,2,-3,2,-2,1,-3,3,-3,2,-3,3,-2,3,-3,3,-3,3,-3,3,-3,3,-3,3,-4,0,0,0,0,0,0,-3,-4,-4,-5,-3,-3,-3,-4,-4,-6,-3,-4,-4,-5,-3,-4,-3,-5,-3,-4,-3,-4,-4,-4,-3,-4,-4,-4,-3,-4,-3,-4,-4,-4,-3,-4,-3,-3,-3,-5,-3,-4,-4,-4,-3,-3,-3,-4,-4,-4,-3,-4,-4,-4,-3,-4,-3,-4,-4,-4,-4,-4,-4,-3,-4,-6,-3,-5,-4,-4,-2,-4,-4,-5,-3,-5,-4,-4,-3,-5,-3,-5,-2,-5,-2,-5,-2,-6,-2,-5,-1,-6,-1,-5,-2,-5,0,-4,-1,-5,0,-5,-1,-5,0,-5,0,-5,0,-4,0,-4,1,-4,0,0,0,0,0,0,0,0,0,0]"""
1782032812719,2026-06-21T18:06:52.719,safe,posture,mhw,lying_still,t020,"CSI_DATA,614845,1a:00:00:00:00:00,-59,11,-99,17,45,11,747999396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,0,1,0,1,-1,1,0,1,0,1,0,2,0,2,0,2,0,3,0,2,0,3,0,3,0,4,0,3,0,3,0,4,0,3,0,4,1,4,2,4,1,5,1,4,2,4,2,5,1,5,0,0,0,0,0,0,5,-2,4,-1,6,-3,5,-2,3,-2,6,-3,3,-2,6,-3,4,-2,6,-3,5,-3,5,-2,4,-3,4,-2,4,-4,4,-4,3,-4,3,-3,4,-4,2,-3,3,-5,3,-4,4,-6,3,-4,3,-4,3,-4,2,-4,2,-5,2,-5,1,-5,1,-4,3,-6,0,-4,0,-6,1,-5,2,-8,3,-5,2,-6,3,-5,2,-5,1,-5,0,-6,0,-6,0,-5,2,-5,0,-5,0,-6,1,-4,2,-6,2,-4,2,-5,3,-3,2,-4,2,-3,2,-4,1,-3,2,-3,0,0,0,0,0,0,0,0,0,0]"""
1782032812727,2026-06-21T18:06:52.727,safe,posture,mhw,lying_still,t020,"CSI_DATA,614846,1a:00:00:00:00:00,-59,11,-99,17,45,11,748010396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,3,2,2,2,3,1,3,2,3,2,3,2,4,2,4,2,4,3,3,2,4,2,5,3,4,3,0,0,0,0,0,0,4,-5,3,-4,4,-5,3,-4,3,-3,4,-5,2,-4,4,-5,3,-4,4,-5,3,-4,3,-4,3,-5,3,-3,3,-4,3,-4,3,-5,3,-4,4,-5,1,-4,2,-5,3,-4,3,-5,2,-5,2,-4,2,-6,3,-4,2,-5,2,-5,2,-5,2,-4,3,-6,1,-5,1,-6,3,-5,3,-6,3,-5,2,-5,3,-5,3,-5,3,-4,3,-5,3,-5,3,-4,4,-4,2,-4,3,-5,4,-3,4,-4,3,-2,4,-3,4,-2,4,-3,3,-2,4,-2,4,-2,4,-1,0,0,0,0,0,0,0,0,0,0]"""
1782032812734,2026-06-21T18:06:52.734,safe,posture,mhw,lying_still,t020,"CSI_DATA,614847,1a:00:00:00:00:00,-59,11,-99,21,44,11,748021396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,3,0,4,0,4,0,4,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,6,0,7,0,5,0,6,0,7,0,6,0,6,0,6,0,6,0,5,0,5,0,6,0,6,-1,6,0,5,0,6,0,6,0,6,0,6,0,6,-1,5,-1,6,-1,4,-1,5,-1,5,-1,6,-2,6,-1,5,0,6,-1,5,-2,6,-1,6,-1,6,-2,5,-2,6,-1,5,-1,5,-2,6,-2,6,-2,6,-2,6,-1,6,0,6,-1,6,0,6,0,6,-1,5,0,6,0,4,0,5,0,5,0,5,0,5,0,5,0,4,1,4,1,4,1,0,0,0,0,0,0,0,0,0,0]"""
1782032812739,2026-06-21T18:06:52.739,safe,posture,mhw,lying_still,t020,"CSI_DATA,614848,1a:00:00:00:00:00,-59,11,-99,17,45,11,748032396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,3,2,2,1,3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,3,3,3,3,3,4,3,3,4,0,0,0,0,0,0,4,-3,4,-3,5,-4,4,-3,4,-2,5,-3,4,-2,6,-3,4,-3,6,-3,5,-2,5,-3,4,-2,4,-2,5,-3,5,-2,5,-3,5,-2,5,-2,5,-1,6,-2,4,-2,6,-2,5,-2,5,-2,5,-1,5,-2,5,-3,5,-2,5,-2,5,-1,5,-2,5,-1,6,-2,5,-1,7,-1,6,-1,6,0,6,-1,5,0,5,0,6,0,6,0,5,0,6,0,5,1,6,1,5,1,6,2,5,2,4,2,4,2,3,2,3,2,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0]"""
1782032812745,2026-06-21T18:06:52.745,safe,posture,mhw,lying_still,t020,"CSI_DATA,614849,1a:00:00:00:00:00,-59,11,-99,21,44,11,748044549,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-2,0,-2,0,-2,0,-2,0,-2,0,-3,0,-2,0,-3,0,-3,0,-3,0,-2,0,-3,0,-3,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-5,0,-5,0,-4,0,-5,0,0,0,0,0,0,-6,0,-7,0,-4,0,-6,0,-7,1,-5,0,-6,0,-5,0,-7,0,-5,1,-5,1,-6,1,-6,1,-6,2,-5,1,-5,1,-5,2,-6,1,-4,1,-6,2,-4,2,-6,2,-3,2,-4,2,-5,3,-5,3,-5,3,-5,3,-5,3,-5,4,-5,3,-4,3,-6,3,-4,3,-5,3,-3,2,-4,4,-5,3,-4,4,-5,4,-5,4,-5,3,-5,3,-6,3,-4,3,-6,2,-4,1,-5,3,-3,2,-5,2,-4,1,-4,2,-5,1,-5,2,-4,0,-4,0,-4,0,0,0,0,0,0,0,0,0,0,0]"""
