pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782110442296,2026-06-22T15:40:42.296,safe,posture,yja,lying_still,t003,"CSI_DATA,548468,1a:00:00:00:00:00,-65,11,-99,14,51,11,1746074738,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,10,-2,9,-2,12,0,9,-4,11,-4,10,-5,8,-2,9,-4,10,-2,11,-3,12,-2,11,-2,10,-4,11,0,8,0,11,-2,9,-3,12,-3,9,-3,7,-1,10,-2,8,0,10,0,8,0,7,0,7,-1,7,2,7,2,9,2,8,2,10,0,9,3,7,1,8,3,4,4,3,5,4,5,4,4,6,6,4,5,0,8,2,7,2,8,2,7,2,7,0,7,1,9,1,9,0,10,-3,9,-4,9,-2,9,-4,10,-4,11,-3,11,-4,0,0,0,0,0,0,-6,-12,-7,-10,-10,-12,-7,-11,-7,-6,-9,-10,-9,-7,-13,-9,-10,-7,-12,-10,-11,-9,-9,-10,-12,-7,-11,-8,-14,-5,-15,-4,-14,-4,-14,-3,-16,-6,-14,-1,-17,-1,-16,-3,-19,-3,-17,-4,-17,-4,-18,-2,-16,-3,-18,0,-18,0,-16,0,-17,0,-20,-2,-16,4,-21,4,-20,1,-25,1,-20,-4,-21,0,-22,-4,-19,-1,-19,0,-22,2,-20,2,-18,0,-21,-2,-18,1,-22,0,-19,-1,-23,-3,-16,-5,-18,-4,-16,-7,-17,-4,-15,-5,-18,-4,-15,-3,-14,-6,0,0,0,0,0,0,0,0,0,0]"""
1782110442301,2026-06-22T15:40:42.301,safe,posture,yja,lying_still,t003,"CSI_DATA,548469,1a:00:00:00:00:00,-64,11,-99,21,49,11,1746092435,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,10,-5,8,-7,10,-5,7,-7,9,-7,7,-6,7,-8,10,-9,7,-8,10,-8,8,-9,7,-8,6,-9,6,-8,6,-11,7,-8,6,-9,7,-7,4,-8,7,-8,9,-9,4,-8,7,-5,5,-7,5,-7,6,-8,6,-6,5,-8,6,-6,6,-5,7,-4,4,-4,7,-3,6,-3,7,-3,7,-2,8,-3,7,-1,8,-1,8,0,7,-1,9,-1,8,1,8,0,6,2,8,1,7,4,8,4,10,4,9,3,8,2,8,4,8,6,8,6,10,6,9,6,9,0,0,0,0,0,0,9,-8,10,-9,7,-7,9,-9,12,-11,8,-8,11,-12,8,-10,11,-12,8,-10,8,-9,9,-14,10,-11,8,-14,9,-11,9,-13,9,-14,9,-15,7,-13,9,-16,8,-13,7,-16,6,-12,6,-14,6,-17,8,-16,7,-19,7,-16,7,-17,8,-18,9,-20,5,-18,12,-21,9,-18,9,-20,7,-14,8,-19,11,-17,8,-20,13,-19,13,-20,12,-16,14,-16,15,-18,13,-16,17,-15,15,-11,12,-15,11,-9,15,-13,14,-9,13,-12,16,-9,15,-9,15,-6,16,-5,15,-5,0,0,0,0,0,0,0,0,0,0]"""
1782110442306,2026-06-22T15:40:42.306,safe,posture,yja,lying_still,t003,"CSI_DATA,548470,1a:00:00:00:00:00,-65,11,-99,19,50,11,1746097717,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,7,6,5,10,7,6,4,10,9,8,8,7,8,8,8,6,6,9,8,8,8,7,7,7,6,8,9,7,5,10,7,7,6,10,9,7,8,5,8,7,5,6,6,7,5,8,4,8,4,7,3,8,5,6,1,9,0,7,1,10,1,6,0,7,0,6,0,8,0,6,-1,8,-2,6,-3,8,-2,7,-4,5,-3,6,-4,5,-5,7,-8,6,-6,4,-6,6,-6,4,-7,1,-8,2,-10,1,-8,3,-9,2,-8,-1,-10,0,-13,0,-11,0,0,0,0,0,0,-13,0,-10,2,-16,3,-13,2,-10,2,-15,5,-10,4,-16,6,-9,5,-17,6,-13,6,-13,5,-12,7,-11,6,-14,8,-12,9,-12,9,-11,8,-14,12,-8,10,-12,15,-8,10,-14,17,-11,14,-10,14,-10,14,-8,11,-9,16,-9,16,-8,15,-9,13,-11,19,-5,14,-7,21,-8,16,-13,26,-11,17,-9,18,-12,17,-9,17,-10,16,-9,21,-10,18,-8,16,-13,17,-6,15,-10,20,-10,14,-16,20,-12,13,-12,15,-13,12,-10,13,-11,9,-14,11,-11,10,-14,10,0,0,0,0,0,0,0,0,0,0]"""
1782110442310,2026-06-22T15:40:42.310,safe,posture,yja,lying_still,t003,"CSI_DATA,548471,1a:00:00:00:00:00,-65,11,-99,14,51,11,1746107738,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-2,-7,-1,-12,-3,-10,-3,-10,-6,-8,-3,-7,-3,-11,-4,-9,-6,-12,-5,-8,-4,-8,-5,-9,-6,-8,-7,-8,-7,-9,-8,-7,-5,-9,-7,-6,-6,-5,-5,-7,-5,-8,-5,-10,-6,-6,-6,-7,-6,-7,-5,-7,-4,-7,-3,-7,-5,-7,-4,-7,-2,-4,-2,-7,-1,-7,-1,-7,0,-8,-1,-8,0,-7,0,-6,0,-8,0,-6,1,-9,0,-7,2,-7,3,-5,1,-7,6,-8,3,-6,6,-8,6,-7,6,-6,4,-7,7,-7,7,-7,8,-7,6,-7,7,-7,9,0,0,0,0,0,0,9,6,14,8,8,5,12,6,15,9,10,6,14,8,10,6,14,6,12,5,12,4,16,4,14,6,17,5,12,4,14,4,15,4,16,5,15,2,17,5,15,3,17,3,13,3,15,1,18,1,18,2,20,0,16,2,18,2,19,1,21,2,18,0,23,6,19,5,20,2,14,4,20,2,19,5,22,2,22,7,21,6,18,7,20,9,20,10,19,8,18,13,15,11,18,9,11,7,16,9,14,10,16,9,14,14,13,13,8,12,9,13,7,12,0,0,0,0,0,0,0,0,0,0]"""
1782110442314,2026-06-22T15:40:42.314,safe,posture,yja,lying_still,t003,"CSI_DATA,548472,1a:00:00:00:00:00,-65,11,-99,18,50,11,1746119017,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-7,-6,-8,-6,-8,-7,-9,-6,-7,-5,-9,-6,-9,-5,-9,-8,-9,-6,-8,-6,-8,-6,-9,-7,-8,-7,-8,-7,-9,-7,-6,-8,-6,-8,-7,-8,-7,-7,-5,-5,-5,-10,-5,-8,-6,-7,-4,-9,-3,-7,-3,-7,-3,-8,-3,-8,0,-8,0,-7,0,-8,1,-7,1,-7,1,-7,2,-7,3,-6,2,-6,3,-5,5,-4,5,-4,6,-2,6,-1,6,-1,8,-2,8,-2,7,-1,6,-1,8,0,9,2,10,2,9,4,8,3,9,5,9,7,8,6,8,7,9,0,0,0,0,0,0,8,-12,7,-11,8,-12,6,-12,5,-10,4,-12,3,-14,3,-14,4,-13,4,-13,0,-15,2,-13,0,-15,0,-15,-1,-15,0,-16,-3,-15,-3,-15,-3,-16,-6,-13,-9,-14,-7,-15,-8,-15,-9,-15,-8,-14,-11,-14,-10,-15,-12,-12,-13,-14,-13,-12,-13,-12,-16,-15,-17,-10,-18,-8,-17,-13,-19,-13,-15,-11,-19,-11,-18,-13,-18,-12,-17,-11,-19,-9,-19,-9,-18,-9,-18,-11,-18,-7,-18,-8,-18,-9,-18,-11,-13,-8,-16,-9,-13,-11,-16,-9,-13,-9,-14,-8,-13,-9,-13,-10,0,0,0,0,0,0,0,0,0,0]"""
1782110442318,2026-06-22T15:40:42.318,safe,posture,yja,lying_still,t003,"CSI_DATA,548474,1a:00:00:00:00:00,-65,11,-99,17,50,11,1746142454,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,8,-5,9,-6,9,-6,9,-6,10,-7,8,-7,8,-6,7,-7,8,-8,8,-7,7,-8,8,-8,8,-9,8,-9,8,-6,7,-6,8,-7,8,-8,8,-8,9,-7,9,-6,8,-6,6,-5,7,-6,8,-4,7,-5,6,-4,7,-3,8,-2,8,-2,7,-3,9,-2,6,0,8,-1,8,0,7,0,7,1,7,1,7,2,6,1,8,3,5,4,6,5,8,5,6,5,7,7,5,6,7,8,6,8,6,9,4,10,3,9,4,10,3,11,3,11,3,12,3,0,0,0,0,0,0,1,-13,1,-14,0,-14,0,-15,0,-13,0,-15,0,-15,0,-14,-1,-14,-2,-14,-2,-14,0,-14,-5,-15,-3,-16,-4,-14,-5,-15,-4,-14,-5,-14,-6,-16,-8,-12,-10,-13,-8,-14,-9,-15,-9,-15,-9,-14,-11,-15,-9,-15,-11,-14,-11,-16,-11,-13,-11,-15,-11,-18,-15,-13,-15,-14,-14,-17,-14,-18,-11,-16,-14,-17,-12,-19,-12,-17,-11,-18,-13,-17,-12,-17,-12,-17,-10,-18,-12,-16,-12,-16,-9,-19,-9,-18,-6,-15,-7,-17,-5,-17,-6,-18,-3,-18,-4,-16,-3,-16,-2,-16,0,0,0,0,0,0,0,0,0,0]"""
1782110442321,2026-06-22T15:40:42.321,safe,posture,yja,lying_still,t003,"CSI_DATA,548475,1a:00:00:00:00:00,-65,11,-99,19,50,11,1746151738,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,-8,7,-7,8,-8,5,-7,8,-8,7,-6,7,-6,8,-7,7,-8,9,-9,9,-5,9,-5,8,-7,9,-7,8,-7,10,-9,7,-5,9,-7,6,-6,5,-6,6,-6,5,-8,7,-7,6,-6,6,-7,6,-7,6,-7,3,-6,4,-8,2,-7,2,-8,1,-6,0,-8,0,-6,0,-8,0,-7,0,-8,0,-6,-1,-8,-2,-6,-2,-6,-4,-8,-3,-5,-5,-6,-3,-4,-6,-4,-6,-5,-6,-4,-8,-4,-8,-5,-7,-4,-8,-5,-9,-2,-10,-3,-10,-3,-9,-2,-12,0,0,0,0,0,0,0,0,13,0,16,0,11,4,13,1,16,1,12,3,16,4,12,4,17,3,12,5,11,6,14,7,14,8,15,5,13,5,14,8,14,8,15,8,12,11,15,9,11,13,13,9,9,11,10,14,11,15,11,14,12,12,12,14,13,15,13,16,13,16,10,19,14,16,11,19,10,14,8,20,9,17,11,19,10,18,12,19,13,14,13,16,15,16,16,16,12,17,14,13,12,17,12,10,10,15,11,13,12,14,13,13,13,12,14,8,13,8,15,7,13,0,0,0,0,0,0,0,0,0,0]"""
1782110442324,2026-06-22T15:40:42.324,safe,posture,yja,lying_still,t003,"CSI_DATA,548476,1a:00:00:00:00:00,-64,11,-99,18,50,11,1746163977,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,8,0,12,0,8,0,13,0,12,0,10,1,11,0,9,0,11,0,12,0,12,0,10,0,14,0,7,-1,12,-1,8,-1,14,-2,11,0,11,0,9,-3,8,-1,10,-4,9,-4,7,-2,6,-3,8,-3,4,-4,5,-6,4,-3,6,-8,3,-5,3,-7,4,-6,1,-6,1,-5,1,-8,0,-7,0,-6,0,-8,-1,-5,-3,-7,-2,-7,-5,-8,-3,-7,-5,-4,-5,-7,-5,-6,-6,-4,-8,-5,-6,-3,-9,-4,-7,-3,-10,-1,-13,-3,-10,-3,0,0,0,0,0,0,0,14,0,11,1,17,1,13,1,9,5,16,4,9,6,17,4,10,6,17,8,14,6,12,8,11,6,11,10,13,10,11,11,11,10,10,13,11,12,6,17,8,12,7,18,12,17,7,15,7,17,5,13,5,18,4,18,3,17,4,16,3,20,5,16,-1,23,-1,18,2,29,0,21,3,21,0,22,3,19,0,18,1,23,0,21,0,18,0,22,0,15,-2,23,-1,16,1,26,2,18,2,18,1,17,3,17,0,14,2,18,2,15,2,16,4,0,0,0,0,0,0,0,0,0,0]"""
1782110442326,2026-06-22T15:40:42.326,safe,posture,yja,lying_still,t003,"CSI_DATA,548477,1a:00:00:00:00:00,-65,11,-99,22,49,11,1746173738,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,9,3,9,4,11,4,8,4,11,4,12,2,10,5,10,3,9,7,11,6,10,5,8,5,7,5,9,6,8,6,9,6,9,6,10,7,9,7,7,5,7,7,7,7,5,8,4,7,4,7,2,7,5,7,0,6,0,8,1,10,0,5,1,7,0,7,0,6,-1,8,0,7,-4,6,-3,3,-5,6,-6,3,-6,3,-7,3,-7,4,-8,2,-8,1,-8,3,-8,0,-8,0,-9,-3,-9,-3,-8,-1,-10,-4,-10,-6,-9,-4,-8,-5,-10,0,0,0,0,0,0,-8,8,-7,10,-9,13,-9,10,-4,9,-6,11,-5,12,-4,16,-4,12,-6,16,-3,16,-6,14,-1,14,-2,15,0,17,2,16,3,15,3,13,2,15,6,15,7,15,6,14,8,18,8,16,7,16,9,15,9,14,13,14,13,12,13,12,11,11,13,15,15,9,18,10,18,13,22,16,14,15,18,13,16,16,16,11,17,13,21,9,18,9,15,8,17,11,18,7,20,8,18,10,20,13,15,11,16,11,14,12,15,9,13,10,15,9,13,8,12,8,0,0,0,0,0,0,0,0,0,0]"""
1782110442329,2026-06-22T15:40:42.329,safe,posture,yja,lying_still,t003,"CSI_DATA,548478,1a:00:00:00:00:00,-65,11,-99,19,50,11,1746194845,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-11,-1,-9,-2,-12,-1,-10,-1,-13,-3,-8,-3,-10,-4,-9,-5,-10,-3,-12,-1,-10,-3,-10,-3,-10,-2,-12,-3,-11,-4,-12,-3,-8,-4,-10,-3,-7,-6,-9,-7,-8,-7,-8,-7,-7,-3,-8,-5,-7,-6,-6,-6,-7,-7,-5,-7,-5,-6,-5,-6,-5,-5,-2,-8,-2,-7,-1,-7,0,-8,1,-7,1,-7,0,-7,1,-7,2,-7,1,-6,4,-6,4,-8,5,-4,5,-3,8,-3,7,-2,8,-4,8,-4,8,-4,7,-1,10,-1,10,0,10,-1,10,0,9,0,10,0,0,0,0,0,0,13,-2,13,-5,10,-3,12,-5,14,-7,12,-4,14,-9,10,-7,13,-7,8,-8,9,-9,9,-12,8,-14,8,-15,9,-10,8,-12,6,-15,8,-14,6,-13,5,-18,4,-15,4,-18,1,-13,0,-17,1,-17,-1,-19,0,-20,3,-17,0,-19,-3,-19,0,-21,-2,-18,-3,-23,-2,-18,-3,-21,-5,-17,-6,-19,-6,-20,-8,-19,-8,-20,-6,-21,-3,-20,-5,-20,-4,-22,-3,-19,-5,-22,-2,-17,-3,-22,-4,-14,-5,-18,-6,-17,-7,-17,-6,-18,-5,-18,0,-17,-1,-16,-1,-15,0,0,0,0,0,0,0,0,0,0]"""
