pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782034468256,2026-06-21T18:34:28.256,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304859,1a:00:00:00:00:00,-63,11,-99,20,45,11,840340046,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,19,-2,19,0,20,0,21,0,22,1,20,1,21,3,22,3,23,4,22,6,22,5,22,6,23,7,25,7,22,9,22,8,23,8,23,9,21,9,22,10,23,11,22,10,22,9,21,8,22,9,20,7,20,9,21,7,21,9,20,7,19,6,20,6,20,4,20,6,20,4,20,3,20,3,19,1,20,2,20,0,20,0,21,0,21,-1,21,-1,19,-1,20,-1,20,-3,20,-3,23,-3,23,-3,20,-4,22,-5,23,-5,23,-5,23,-4,23,-4,23,-6,0,0,0,0,0,0,-5,-23,-6,-23,-6,-21,-6,-22,-6,-20,-5,-19,-6,-20,-6,-20,-6,-19,-6,-18,-6,-15,-8,-17,-8,-17,-7,-17,-8,-15,-9,-14,-9,-15,-9,-14,-9,-14,-10,-14,-11,-13,-11,-12,-11,-11,-11,-12,-11,-12,-11,-12,-12,-11,-12,-11,-13,-12,-13,-9,-12,-10,-13,-10,-12,-11,-14,-10,-13,-9,-13,-12,-14,-11,-13,-11,-14,-11,-14,-10,-13,-11,-13,-9,-13,-12,-12,-12,-12,-11,-12,-11,-10,-11,-11,-12,-9,-10,-9,-11,-9,-11,-8,-11,-7,-12,-7,-11,-5,-11,-6,-11,-5,-11,0,0,0,0,0,0,0,0,0,0]"""
1782034468263,2026-06-21T18:34:28.263,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304860,1a:00:00:00:00:00,-63,11,-99,15,46,11,840351046,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-18,4,-18,5,-19,6,-20,6,-18,8,-20,8,-19,10,-20,10,-21,8,-20,10,-20,10,-20,10,-20,10,-20,11,-20,11,-20,11,-22,13,-19,12,-20,11,-21,11,-18,11,-20,11,-20,10,-21,12,-22,9,-20,10,-20,9,-21,8,-20,8,-20,7,-19,6,-19,6,-19,5,-20,3,-20,4,-20,2,-20,1,-20,0,-20,0,-21,-1,-20,-1,-20,-1,-20,-3,-21,-2,-20,-3,-20,-4,-20,-5,-20,-6,-21,-6,-20,-7,-20,-8,-20,-7,-22,-8,-22,-10,-22,-10,-22,-10,-22,0,0,0,0,0,0,-22,10,-21,11,-19,11,-19,10,-20,11,-18,11,-17,13,-17,12,-16,11,-16,11,-14,11,-13,11,-13,13,-12,13,-11,13,-11,13,-11,15,-9,14,-9,13,-9,15,-8,15,-8,15,-6,15,-6,15,-6,15,-5,16,-5,16,-3,17,-3,17,-2,17,-3,17,-3,17,-3,17,-1,17,-1,17,-1,18,-1,17,-1,17,-2,18,-2,17,-1,17,-2,17,-1,17,-1,16,-2,17,-3,15,-3,16,-1,16,-3,14,-3,13,-4,13,-3,13,-3,13,-4,13,-3,12,-5,10,-5,10,0,0,0,0,0,0,0,0,0,0]"""
1782034468270,2026-06-21T18:34:28.270,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304861,1a:00:00:00:00:00,-63,11,-99,15,46,11,840364096,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-20,1,-20,1,-19,3,-20,4,-21,5,-20,6,-20,8,-21,8,-21,8,-20,9,-22,11,-21,11,-21,11,-21,13,-20,13,-20,12,-20,13,-20,13,-19,15,-18,15,-18,15,-17,14,-18,14,-18,14,-18,13,-18,15,-17,14,-17,13,-16,13,-17,12,-17,11,-17,11,-17,11,-17,10,-17,11,-18,10,-18,9,-18,9,-18,7,-18,8,-18,6,-19,7,-19,6,-19,8,-19,6,-20,5,-19,5,-22,5,-20,6,-22,5,-20,5,-22,6,-22,5,-22,5,-22,5,-22,5,-22,0,0,0,0,0,0,-23,-6,-23,-6,-22,-5,-22,-5,-20,-6,-20,-6,-20,-5,-18,-5,-19,-4,-19,-4,-19,-4,-19,-3,-18,-3,-17,-3,-18,-2,-18,-1,-17,-1,-17,0,-16,-1,-17,-1,-17,0,-18,0,-15,1,-16,0,-17,1,-16,0,-17,2,-16,2,-17,1,-17,3,-17,3,-18,3,-17,1,-16,3,-17,3,-17,2,-17,1,-17,2,-17,1,-17,1,-17,1,-17,1,-17,0,-16,0,-17,-1,-16,0,-16,-1,-15,-1,-15,-3,-13,-2,-14,-3,-13,-3,-13,-3,-13,-4,-11,-5,-11,-6,-11,-6,0,0,0,0,0,0,0,0,0,0]"""
1782034468277,2026-06-21T18:34:28.277,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304862,1a:00:00:00:00:00,-63,11,-99,15,46,11,840373046,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,-9,16,-8,17,-8,20,-5,20,-5,20,-3,22,-2,22,0,23,0,23,0,23,1,23,1,24,3,24,3,24,5,23,6,23,7,22,8,22,8,22,9,22,10,21,11,20,10,20,10,20,11,20,10,18,11,18,12,18,11,18,11,17,11,18,11,17,11,18,11,18,11,17,10,15,10,17,9,18,10,18,8,18,10,17,9,18,10,19,9,18,11,17,10,18,10,18,10,20,10,20,10,20,10,20,11,20,12,20,12,20,12,21,13,20,12,0,0,0,0,0,0,14,-18,15,-17,13,-18,15,-16,15,-16,15,-15,14,-15,15,-17,13,-14,14,-13,14,-13,14,-12,13,-13,13,-13,13,-13,11,-12,12,-13,11,-13,11,-13,11,-12,10,-13,12,-13,11,-12,10,-13,11,-12,12,-12,11,-11,10,-13,11,-14,10,-12,11,-12,11,-12,11,-13,11,-12,11,-12,13,-12,13,-11,13,-11,14,-11,15,-9,14,-9,15,-10,15,-9,15,-8,15,-6,14,-5,15,-5,15,-5,14,-2,14,-2,14,-1,13,0,13,0,13,0,13,1,12,1,12,3,0,0,0,0,0,0,0,0,0,0]"""
1782034468285,2026-06-21T18:34:28.285,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304863,1a:00:00:00:00:00,-63,11,-99,15,46,11,840384046,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-18,-4,-19,-2,-19,-1,-20,0,-20,0,-22,1,-22,2,-22,3,-22,4,-22,5,-22,5,-23,6,-23,8,-21,9,-22,9,-22,10,-22,10,-22,12,-21,11,-19,13,-19,11,-19,11,-19,13,-19,13,-19,11,-18,12,-17,13,-18,12,-17,12,-17,11,-17,11,-18,10,-17,10,-17,10,-18,9,-18,9,-18,8,-19,9,-18,7,-18,8,-18,6,-18,8,-19,6,-19,8,-20,6,-20,6,-21,6,-20,6,-19,6,-21,7,-22,7,-21,8,-22,8,-22,7,-22,7,-21,8,-22,0,0,0,0,0,0,-20,-9,-21,-9,-20,-8,-20,-8,-20,-8,-18,-10,-17,-8,-19,-9,-18,-8,-18,-8,-18,-8,-17,-7,-17,-7,-15,-6,-17,-7,-17,-6,-17,-5,-15,-5,-16,-6,-16,-5,-17,-4,-17,-5,-15,-3,-15,-4,-16,-3,-16,-4,-16,-3,-16,-3,-16,-3,-17,-1,-17,-2,-17,-3,-16,-4,-16,-2,-17,-3,-17,-5,-17,-4,-16,-4,-17,-5,-17,-5,-17,-5,-16,-6,-16,-7,-14,-6,-15,-8,-13,-6,-14,-8,-12,-8,-13,-8,-11,-8,-11,-9,-10,-9,-10,-10,-8,-10,-8,-10,-7,-10,-6,-11,0,0,0,0,0,0,0,0,0,0]"""
1782034468293,2026-06-21T18:34:28.293,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304864,1a:00:00:00:00:00,-63,11,-99,15,46,11,840395799,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,15,-12,14,-13,15,-15,14,-14,13,-17,13,-17,13,-18,12,-18,13,-19,12,-20,13,-21,12,-19,12,-20,11,-22,11,-22,11,-21,13,-22,10,-21,9,-21,10,-20,10,-21,10,-21,10,-20,10,-20,10,-20,10,-19,10,-20,11,-17,10,-17,11,-18,11,-17,12,-17,12,-15,11,-15,13,-15,14,-15,14,-13,15,-13,15,-11,15,-12,16,-11,17,-11,17,-11,18,-10,18,-9,17,-10,19,-8,20,-8,20,-8,20,-7,20,-6,21,-8,22,-8,22,-6,23,-8,22,-6,23,0,0,0,0,0,0,22,6,22,6,22,5,22,5,20,4,22,4,20,3,20,3,20,3,20,3,20,1,19,2,20,1,17,1,19,0,18,-1,17,-1,17,-1,17,-1,18,-3,17,-3,17,-4,15,-3,16,-4,16,-4,15,-5,16,-7,15,-8,15,-7,15,-8,15,-8,15,-8,16,-8,15,-8,15,-9,15,-8,16,-8,15,-7,15,-8,15,-7,15,-7,15,-8,15,-8,14,-7,15,-6,14,-6,15,-5,13,-6,15,-4,15,-5,14,-4,14,-4,13,-3,13,-2,13,-1,12,-1,12,0,0,0,0,0,0,0,0,0,0,0]"""
1782034468299,2026-06-21T18:34:28.299,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304865,1a:00:00:00:00:00,-63,11,-99,16,46,11,840406046,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,12,13,14,12,15,11,17,11,17,10,19,9,19,7,20,8,22,7,21,6,22,5,22,5,22,3,23,1,23,0,24,0,25,-1,25,-1,22,-1,23,-1,23,-3,23,-3,23,-3,22,-4,22,-3,22,-4,22,-5,22,-4,20,-4,20,-5,20,-2,19,-4,20,-4,19,-3,21,-3,21,-3,19,-3,19,-3,20,-1,20,-1,19,-1,20,-3,21,-1,20,-2,20,-1,21,-1,22,-1,22,-1,22,-1,22,-1,22,-3,22,-4,23,-4,23,-4,23,-3,24,-4,22,0,0,0,0,0,0,21,6,22,6,20,5,22,7,21,6,20,6,20,5,20,6,19,6,19,7,18,6,17,6,18,5,16,5,17,5,17,4,17,3,17,4,17,4,16,5,16,3,16,4,15,3,15,3,15,4,15,4,17,3,17,3,16,3,17,3,17,4,17,4,17,5,16,4,17,5,16,6,16,6,15,6,15,7,15,8,15,7,15,7,14,9,14,8,12,9,13,9,11,11,11,9,10,11,9,11,8,11,7,12,7,11,6,12,6,11,4,12,3,12,0,0,0,0,0,0,0,0,0,0]"""
1782034468306,2026-06-21T18:34:28.306,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304866,1a:00:00:00:00:00,-63,11,-99,15,46,11,840417046,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,13,-13,15,-11,16,-11,18,-11,18,-10,19,-10,19,-9,20,-6,21,-8,22,-6,22,-6,23,-5,24,-5,23,-3,24,-1,24,-3,23,-1,24,-1,23,1,24,0,23,1,25,0,21,0,22,1,23,1,20,1,22,1,23,1,21,1,22,0,21,1,23,1,22,0,22,0,21,0,19,0,20,-1,19,-3,19,-1,20,-2,20,-1,20,-3,20,-3,21,-4,20,-5,20,-5,20,-5,21,-5,21,-5,22,-5,22,-5,21,-5,23,-4,22,-6,23,-6,22,-5,23,-6,0,0,0,0,0,0,-4,-25,-3,-22,-4,-22,-5,-22,-3,-20,-3,-21,-2,-22,-3,-22,-2,-20,-3,-19,-3,-18,-3,-18,-4,-18,-3,-18,-3,-17,-5,-17,-5,-17,-4,-17,-5,-17,-5,-15,-6,-15,-5,-15,-5,-15,-5,-16,-5,-15,-6,-16,-6,-15,-6,-15,-6,-17,-8,-14,-6,-15,-7,-15,-7,-17,-7,-17,-7,-15,-6,-17,-5,-17,-6,-17,-5,-17,-6,-15,-5,-15,-5,-16,-3,-17,-3,-17,-1,-17,-3,-15,-3,-15,-1,-17,0,-15,0,-14,-1,-14,0,-13,1,-13,3,-14,3,-13,3,-11,4,-11,0,0,0,0,0,0,0,0,0,0]"""
1782034468313,2026-06-21T18:34:28.313,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304868,1a:00:00:00:00:00,-63,11,-99,15,46,11,840439066,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,-6,18,-5,20,-3,21,-1,20,0,22,0,20,1,22,3,21,3,22,5,22,6,21,7,22,7,22,8,22,11,21,11,22,11,20,12,20,12,20,11,20,11,19,13,17,15,18,13,18,15,16,13,16,14,16,13,18,15,15,13,16,13,17,13,17,13,16,11,17,11,17,11,15,13,17,11,16,12,17,10,16,10,17,8,17,11,19,10,16,11,17,10,18,11,17,10,20,10,20,11,20,11,19,12,18,13,19,12,20,12,19,12,20,13,0,0,0,0,0,0,13,-19,15,-18,13,-18,15,-16,14,-16,14,-16,13,-16,14,-16,14,-14,14,-15,13,-14,12,-13,12,-14,11,-15,12,-13,11,-13,11,-15,11,-13,11,-13,8,-13,10,-15,10,-13,9,-13,9,-14,10,-13,9,-14,10,-13,9,-14,10,-14,9,-15,9,-13,10,-14,10,-15,9,-14,11,-12,10,-14,10,-14,10,-14,11,-13,12,-11,11,-11,13,-10,14,-11,12,-10,13,-9,14,-8,14,-7,14,-8,13,-5,13,-6,13,-5,12,-4,15,-4,13,-3,13,-2,11,0,13,1,0,0,0,0,0,0,0,0,0,0]"""
1782034468321,2026-06-21T18:34:28.321,safe,posture,lmh,sitting_still,t022,"CSI_DATA,304869,1a:00:00:00:00:00,-63,11,-99,15,46,11,840450046,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,-1,19,-2,21,-3,20,-3,21,-3,20,-4,20,-4,22,-4,23,-6,22,-5,22,-5,24,-5,23,-6,22,-6,22,-5,23,-6,23,-6,22,-6,23,-5,23,-5,23,-5,23,-5,22,-5,23,-3,21,-3,22,-2,22,-1,21,-2,22,0,20,0,22,2,21,2,20,4,21,5,20,4,19,7,18,7,20,9,18,8,18,9,19,10,17,11,18,11,17,12,15,13,17,14,15,16,15,17,16,17,15,17,15,17,15,18,15,20,15,18,13,20,13,0,0,0,0,0,0,13,-21,11,-20,11,-21,10,-18,9,-19,9,-18,8,-20,7,-20,6,-19,7,-17,5,-18,5,-18,3,-18,3,-18,3,-17,1,-17,0,-18,0,-18,0,-17,-1,-16,-2,-16,-2,-16,-3,-16,-4,-17,-5,-17,-6,-16,-5,-16,-7,-15,-7,-15,-8,-14,-7,-15,-7,-15,-10,-15,-10,-14,-8,-13,-10,-15,-9,-15,-10,-15,-11,-14,-9,-13,-9,-13,-8,-14,-10,-13,-11,-13,-10,-13,-9,-12,-8,-13,-10,-13,-8,-11,-7,-12,-6,-11,-7,-12,-6,-11,-7,-12,-6,-12,-5,-11,-4,-11,0,0,0,0,0,0,0,0,0,0]"""
