pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782030597593,2026-06-21T17:29:57.593,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413431,1a:00:00:00:00:00,-50,11,-99,16,36,11,304161027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,9,3,7,1,9,0,5,-1,9,0,7,-3,10,-3,10,-9,5,-10,7,-9,5,-12,5,-16,5,-16,0,-12,1,-18,1,-21,-3,-20,-1,-18,-5,-20,-9,-23,-10,-21,-14,-21,-14,-21,-18,-21,-18,-21,-21,-23,-25,-21,-20,-25,-21,-20,-25,-21,-27,-20,-27,-23,-27,-21,-29,-27,-29,-21,-32,-20,-32,-20,-31,-21,-36,-21,-38,-23,-36,-25,-38,-21,-42,-18,-45,-18,-40,-25,-45,-20,-45,-25,-47,-20,-49,-21,-51,-20,-53,-20,-60,-16,-54,-20,-60,-20,-60,-18,-53,0,0,0,0,0,0,-62,9,-64,7,-62,7,-60,5,-58,3,-60,-1,-58,3,-64,5,-60,0,-56,0,-54,1,-53,1,-60,5,-54,5,-54,0,-58,1,-54,5,-56,1,-60,1,-53,7,-54,10,-56,5,-54,5,-53,12,-54,5,-60,10,-58,3,-56,7,-64,3,-62,7,-62,0,-69,1,-60,5,-64,9,-65,-1,-69,3,-64,-1,-62,1,-67,-5,-67,-5,-64,-12,-64,-12,-60,-14,-60,-16,-62,-25,-56,-16,-60,-20,-53,-27,-51,-31,-42,-25,-47,-29,-38,-29,-40,-32,-34,-34,-29,-31,-29,-36,-25,-40,0,0,0,0,0,0,0,0,0,0]"""
1782030597601,2026-06-21T17:29:57.601,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413432,1a:00:00:00:00:00,-50,11,-99,20,35,11,304172027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-9,5,-9,9,-7,9,-3,10,-5,10,-1,9,1,12,3,10,5,9,5,9,7,5,7,5,10,9,12,5,14,5,18,3,20,1,20,-1,23,-3,21,-7,25,-7,18,-9,27,-9,27,-14,25,-12,27,-18,25,-14,25,-23,23,-18,25,-23,23,-25,20,-23,25,-29,25,-27,23,-29,23,-32,23,-32,23,-34,23,-32,23,-31,23,-42,21,-40,20,-36,27,-45,21,-45,29,-49,21,-47,25,-49,18,-49,18,-53,16,-49,14,-58,14,-60,14,-56,14,-60,10,-64,10,0,0,0,0,0,0,9,60,7,62,5,62,1,58,-1,62,-1,60,0,62,-5,60,0,56,-5,58,-7,60,-1,56,-3,54,-3,56,0,56,-1,56,-3,58,-1,54,0,53,-7,56,-1,54,0,60,-3,58,-3,60,0,58,-9,56,-3,60,-1,60,-5,60,-1,64,-9,64,-3,60,-16,65,-16,62,-10,64,-18,64,-16,69,-21,62,-21,64,-27,58,-25,58,-31,60,-34,54,-32,53,-32,53,-42,49,-42,43,-38,45,-42,34,-42,36,-45,32,-40,27,-40,21,-47,23,-53,20,-38,10,-43,7,0,0,0,0,0,0,0,0,0,0]"""
1782030597608,2026-06-21T17:29:57.608,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413433,1a:00:00:00:00:00,-50,11,-99,19,35,11,304183027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,-1,7,0,9,1,7,1,11,3,9,3,9,3,11,9,7,7,7,7,7,11,5,11,7,15,5,15,3,15,1,20,1,22,3,18,0,22,0,20,3,24,-3,24,0,28,-1,22,-3,24,-5,30,-3,32,-3,30,-9,30,-5,30,-3,32,-5,33,-3,37,-1,37,-1,37,-1,37,0,39,-1,41,-3,39,0,45,1,43,0,47,0,47,11,47,3,43,13,50,5,50,16,48,9,52,13,52,9,54,9,54,18,56,15,58,13,58,20,56,26,58,0,0,0,0,0,0,58,-24,56,-26,50,-26,54,-28,56,-32,50,-28,54,-28,48,-30,47,-39,45,-32,41,-37,39,-43,43,-37,35,-43,33,-43,33,-45,33,-48,30,-48,24,-47,30,-52,22,-52,20,-54,16,-48,20,-56,15,-58,13,-54,7,-60,5,-60,7,-62,1,-64,1,-65,-1,-60,7,-71,1,-65,-1,-64,-1,-62,-9,-71,0,-65,-9,-67,0,-67,-5,-65,-3,-65,0,-65,-3,-65,-9,-64,-1,-64,1,-58,-7,-58,-1,-54,-1,-56,-1,-54,-3,-50,1,-48,-1,-50,0,-48,1,-45,3,-43,0,0,0,0,0,0,0,0,0,0]"""
1782030597616,2026-06-21T17:29:57.616,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413434,1a:00:00:00:00:00,-50,11,-99,16,36,11,304194878,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-10,3,-9,3,-7,5,-9,5,-7,5,-5,9,-7,12,-3,10,-1,16,1,14,0,14,3,14,3,14,7,12,7,16,12,16,12,14,16,14,18,12,14,9,20,10,21,14,23,12,27,9,27,10,27,9,29,9,25,1,36,5,32,3,32,3,34,7,38,3,38,5,38,0,36,3,36,1,42,0,42,1,40,7,40,-3,38,-5,51,-3,42,0,40,3,54,-5,49,5,49,-3,49,-3,51,-7,53,-9,54,-5,56,-9,64,-7,60,-7,56,-10,64,0,0,0,0,0,0,56,12,64,16,58,7,60,14,62,12,54,10,62,16,56,14,58,14,56,16,56,10,58,7,51,10,58,5,54,5,53,5,53,1,54,3,49,5,60,9,53,3,56,3,56,0,56,0,60,-3,56,3,62,-3,62,-3,64,-1,62,-3,58,0,60,-3,69,5,64,3,64,3,64,5,71,0,64,7,65,3,62,12,69,10,65,14,64,18,62,16,58,12,60,25,54,25,56,20,43,23,54,25,47,27,45,23,38,31,42,29,38,31,29,31,31,29,0,0,0,0,0,0,0,0,0,0]"""
1782030597623,2026-06-21T17:29:57.623,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413435,1a:00:00:00:00:00,-50,11,-99,16,36,11,304205027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-7,1,-7,0,-9,5,-7,7,-7,5,-5,10,-5,9,-7,10,-5,12,-3,12,0,16,5,14,1,14,7,14,9,18,14,12,10,10,14,12,12,16,20,18,18,14,23,10,25,9,25,5,27,7,29,3,31,7,31,3,31,5,34,-1,34,3,32,1,32,5,34,1,38,0,42,0,42,-3,38,-3,42,-3,43,-1,43,-5,45,-5,43,-5,47,-5,43,-5,45,-7,53,-3,49,-5,56,-7,60,-12,51,-10,54,-18,62,-14,56,-18,56,-16,54,-18,62,0,0,0,0,0,0,58,23,58,27,51,23,56,27,58,29,49,29,56,27,53,25,53,27,49,25,49,21,51,25,56,20,54,21,45,27,51,20,53,18,53,21,51,23,53,21,51,18,53,27,49,18,49,14,53,18,64,14,62,18,51,20,58,20,58,16,60,21,60,23,62,23,60,25,60,31,56,27,60,23,60,25,58,29,62,32,58,36,49,40,53,38,53,42,47,42,45,43,38,45,40,45,31,38,31,42,32,42,31,40,27,43,23,42,18,42,14,43,10,45,0,0,0,0,0,0,0,0,0,0]"""
1782030597631,2026-06-21T17:29:57.631,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413436,1a:00:00:00:00:00,-50,11,-99,20,35,11,304216027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,-3,-7,-3,-7,-5,-7,-7,-3,-9,-3,-9,-1,-12,-1,-10,0,-12,3,-12,3,-14,5,-12,5,-10,9,-16,9,-10,12,-10,16,-14,14,-12,16,-10,18,-12,16,-14,23,-9,23,-10,25,-10,25,-7,29,-10,29,-9,32,-9,31,-3,32,-7,32,-10,38,-5,36,-7,34,-5,34,-10,36,-7,40,-9,42,-10,40,-9,40,-10,40,-10,43,-12,45,-12,45,-14,51,-14,51,-12,51,-16,47,-18,45,-12,51,-16,56,-21,51,-12,56,-18,58,-16,60,-20,58,-16,62,-18,0,0,0,0,0,0,-18,-60,-16,-56,-23,-60,-20,-58,-18,-54,-21,-54,-23,-54,-23,-58,-23,-51,-21,-56,-23,-54,-27,-47,-23,-49,-29,-45,-32,-45,-34,-43,-36,-43,-34,-40,-32,-42,-32,-43,-40,-42,-43,-38,-42,-40,-40,-42,-42,-38,-42,-36,-47,-36,-53,-32,-49,-36,-53,-34,-51,-34,-53,-32,-49,-40,-51,-36,-54,-36,-60,-45,-58,-42,-54,-38,-56,-36,-49,-40,-51,-36,-56,-40,-54,-43,-47,-38,-47,-40,-45,-42,-42,-43,-43,-38,-40,-47,-38,-43,-36,-43,-34,-42,-29,-34,-31,-43,-31,-42,-25,-38,-20,-38,0,0,0,0,0,0,0,0,0,0]"""
1782030597640,2026-06-21T17:29:57.640,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413438,1a:00:00:00:00:00,-50,11,-99,16,36,11,304238027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-5,-9,-7,-7,-7,-3,-9,-3,-7,-3,-10,0,-9,1,-12,1,-12,5,-10,7,-9,7,-10,9,-10,9,-9,12,-9,14,-7,20,-9,18,-9,21,-7,21,0,20,1,23,-3,23,3,31,-1,29,0,27,0,27,3,32,7,29,3,32,3,32,7,38,9,36,10,31,10,36,16,32,10,34,10,40,7,42,10,36,10,40,12,38,7,47,10,45,12,56,16,42,20,47,16,45,20,42,14,49,20,58,18,53,10,53,21,56,23,56,18,62,25,58,25,0,0,0,0,0,0,29,-60,23,-53,27,-67,25,-53,21,-45,25,-56,18,-49,29,-60,20,-49,29,-58,29,-54,27,-45,21,-47,21,-45,20,-58,16,-54,9,-54,10,-51,16,-54,9,-45,9,-58,10,-53,10,-65,18,-56,12,-53,12,-53,10,-51,3,-64,5,-64,3,-60,7,-56,12,-62,3,-54,5,-65,10,-64,12,-80,20,-64,14,-64,21,-64,21,-53,20,-56,14,-67,16,-60,12,-54,23,-54,18,-54,23,-58,27,-54,34,-58,31,-45,32,-43,36,-36,31,-32,34,-36,31,-36,29,-32,34,-29,0,0,0,0,0,0,0,0,0,0]"""
1782030597652,2026-06-21T17:29:57.652,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413453,1a:00:00:00:00:00,-50,11,-99,16,36,11,304403027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-9,-3,-14,-1,-9,-3,-9,0,-1,-1,-9,-9,-7,-9,-7,-14,-10,-5,-1,-10,-5,-18,3,-18,0,-14,1,-20,-3,-18,5,-18,9,-20,18,-14,16,-14,18,-16,12,-12,23,-18,21,-21,21,-16,20,-18,23,-14,27,-14,31,-10,27,-16,32,-10,38,-12,32,-10,38,-10,34,-10,34,-9,34,-10,40,-14,38,-10,38,-10,40,-10,42,-9,49,-10,43,-12,53,-10,51,-10,47,-12,53,-10,47,-5,53,-3,56,-5,54,-9,58,-7,60,-1,60,-5,62,-1,60,-1,0,0,0,0,0,0,3,-62,0,-58,0,-65,1,-60,3,-56,1,-60,7,-54,3,-60,0,-54,5,-60,5,-58,1,-56,5,-53,3,-54,-1,-60,-3,-53,-5,-56,-3,-53,-1,-51,-3,-54,-5,-58,-5,-56,-3,-60,-3,-60,-5,-58,-3,-53,-7,-54,-12,-60,-7,-62,-9,-62,-5,-60,-10,-60,-1,-60,-7,-67,-5,-60,-1,-73,-1,-71,3,-65,3,-65,10,-62,3,-64,5,-71,10,-64,9,-58,10,-60,18,-56,18,-60,14,-56,29,-58,23,-53,25,-49,25,-43,27,-40,29,-40,29,-43,31,-32,31,-29,0,0,0,0,0,0,0,0,0,0]"""
1782030597660,2026-06-21T17:29:57.660,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413454,1a:00:00:00:00:00,-50,11,-99,20,35,11,304414027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-10,0,-10,0,-9,-3,-10,-1,-7,-5,-9,-5,-9,-9,-5,-10,-3,-10,-5,-12,-3,-12,-3,-12,-1,-14,0,-16,3,-20,1,-18,5,-18,7,-16,3,-20,7,-29,12,-20,10,-25,12,-23,16,-23,18,-25,18,-23,14,-23,27,-27,20,-25,20,-25,20,-23,20,-32,23,-31,21,-32,21,-32,23,-32,25,-31,25,-32,25,-38,21,-34,32,-38,25,-32,21,-38,20,-34,23,-47,31,-38,18,-45,27,-51,27,-51,29,-43,32,-47,29,-47,36,-56,32,-51,25,-51,27,-54,0,0,0,0,0,0,-56,-31,-58,-31,-47,-23,-56,-27,-60,-31,-51,-23,-56,-29,-53,-23,-58,-23,-51,-21,-49,-20,-58,-16,-54,-16,-62,-10,-54,-9,-53,-9,-58,-7,-58,-7,-53,-3,-60,-5,-54,0,-60,-1,-51,1,-56,5,-62,7,-58,5,-65,10,-56,10,-62,10,-64,14,-65,12,-56,18,-71,7,-62,12,-62,16,-58,12,-69,21,-64,12,-64,20,-67,12,-67,14,-64,7,-65,7,-71,9,-58,9,-62,3,-56,0,-62,10,-49,1,-62,5,-53,0,-54,5,-49,0,-54,0,-47,-9,-43,-7,-43,-10,0,0,0,0,0,0,0,0,0,0]"""
1782030597667,2026-06-21T17:29:57.667,safe,posture,mhw,sitting_still,t007,"CSI_DATA,413455,1a:00:00:00:00:00,-50,11,-99,18,36,11,304425027,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,1,-8,0,-10,0,-10,-3,-6,-5,-8,-6,-5,-8,-3,-6,-3,-8,0,-8,0,-13,3,-13,3,-13,3,-13,8,-13,8,-12,13,-17,12,-15,17,-13,19,-17,13,-12,22,-10,24,-6,25,-8,25,-8,27,-5,27,-1,31,1,25,-5,34,-5,34,1,41,0,36,8,32,5,38,10,34,10,32,6,41,3,36,6,38,8,38,13,41,6,46,10,44,17,55,20,39,20,48,20,44,29,41,22,44,25,57,24,51,20,50,32,44,36,53,27,53,41,50,41,0,0,0,0,0,0,39,-39,17,-27,46,-51,48,-34,39,-36,48,-38,38,-32,51,-43,39,-38,51,-39,50,-32,46,-24,44,-32,41,-24,44,-36,46,-34,43,-38,39,-32,48,-32,32,-34,43,-39,41,-34,48,-38,50,-38,46,-25,46,-38,46,-27,46,-41,48,-39,48,-38,50,-32,57,-36,46,-36,53,-39,53,-31,70,-39,63,-24,62,-24,65,-17,58,-15,57,-17,65,-20,63,-15,55,-12,62,-5,53,-12,62,-6,58,0,67,8,51,10,51,12,50,19,46,15,43,19,48,19,38,19,39,22,0,0,0,0,0,0,0,0,0,0]"""
