pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782108230958,2026-06-22T15:03:50.958,safe,posture,yja,sitting_still,t002,"CSI_DATA,347432,1a:00:00:00:00:00,-61,11,-98,19,46,11,-465310648,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,-12,8,-11,9,-12,8,-10,10,-11,8,-11,10,-11,10,-11,10,-13,8,-14,13,-11,11,-11,11,-12,14,-11,11,-11,13,-14,11,-11,15,-13,8,-11,9,-11,11,-12,10,-15,11,-14,11,-10,10,-11,8,-15,11,-14,8,-11,8,-14,7,-13,8,-13,5,-12,3,-15,1,-14,0,-16,1,-17,0,-15,3,-14,0,-15,0,-15,-2,-14,-2,-18,-3,-15,-4,-17,-5,-12,-6,-13,-8,-13,-12,-13,-13,-14,-11,-13,-8,-14,-11,-15,-12,-14,-14,-12,-13,-14,-17,-10,-17,-11,0,0,0,0,0,0,-11,18,-12,19,-8,16,-10,20,-10,23,-11,19,-8,22,-5,19,-8,23,-2,18,0,20,-1,23,2,24,2,24,-2,22,1,24,3,22,2,23,3,20,5,25,5,20,6,26,9,18,9,19,11,20,14,20,15,22,11,23,14,22,17,23,17,25,15,21,19,26,17,22,18,25,15,17,21,20,21,20,25,20,23,23,22,24,16,26,21,23,18,27,16,24,19,26,14,23,16,26,14,20,16,23,15,21,18,21,16,23,14,23,8,22,8,23,6,23,0,0,0,0,0,0,0,0,0,0]"""
1782108230963,2026-06-22T15:03:50.963,safe,posture,yja,sitting_still,t002,"CSI_DATA,347433,1a:00:00:00:00:00,-61,11,-98,21,46,11,-465303204,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,10,-7,7,-13,9,-10,7,-14,7,-10,8,-9,9,-12,9,-12,7,-16,9,-14,6,-13,6,-16,7,-17,5,-15,3,-19,6,-14,4,-18,2,-14,3,-13,4,-16,4,-16,4,-18,5,-16,1,-16,4,-16,4,-17,3,-14,4,-18,2,-15,2,-15,3,-12,4,-14,6,-12,5,-13,8,-14,8,-13,9,-13,5,-12,9,-15,8,-12,7,-14,9,-11,9,-13,9,-8,9,-9,12,-9,12,-7,17,-10,16,-10,16,-13,13,-11,15,-12,15,-9,18,-12,14,-9,16,-10,18,0,0,0,0,0,0,19,12,22,12,16,8,20,9,24,11,15,12,21,11,16,9,21,11,18,4,19,6,22,6,22,4,25,4,20,7,21,4,23,3,24,5,21,4,25,3,20,2,25,4,19,0,22,0,25,0,26,-1,29,-2,26,2,26,0,29,-1,29,0,26,-1,33,2,28,3,30,3,24,0,31,-1,31,0,29,-2,33,2,31,2,27,9,31,6,31,11,27,9,30,12,23,12,27,14,21,7,25,12,24,12,25,10,22,16,24,16,17,18,15,17,14,18,0,0,0,0,0,0,0,0,0,0]"""
1782108230968,2026-06-22T15:03:50.968,safe,posture,yja,sitting_still,t002,"CSI_DATA,347434,1a:00:00:00:00:00,-61,11,-98,18,46,11,-465293395,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,4,-13,4,-10,2,-17,4,-10,3,-17,3,-16,3,-14,2,-13,5,-13,1,-17,5,-16,6,-16,6,-16,6,-19,5,-11,4,-19,6,-13,3,-21,6,-18,8,-15,6,-16,6,-12,5,-14,10,-13,11,-12,9,-11,8,-13,8,-7,11,-12,13,-10,10,-13,17,-12,11,-8,14,-9,12,-5,13,-3,11,-3,16,-1,16,0,13,-1,16,2,12,3,17,2,13,3,20,3,17,6,14,6,16,6,13,9,13,13,16,12,11,13,13,13,11,16,12,18,13,15,12,0,0,0,0,0,0,10,-18,6,-16,8,-27,7,-20,3,-13,5,-23,2,-18,2,-27,0,-16,0,-30,0,-23,0,-20,-3,-19,-3,-17,-8,-22,-11,-20,-10,-19,-9,-16,-10,-22,-10,-12,-17,-20,-13,-14,-21,-23,-19,-20,-16,-17,-18,-16,-16,-11,-24,-13,-23,-11,-22,-10,-21,-10,-25,-13,-21,-6,-31,-9,-23,-8,-39,-14,-28,-14,-30,-10,-28,-14,-26,-8,-23,-6,-33,-6,-32,-6,-27,-4,-30,-10,-22,-3,-32,-6,-23,-8,-37,-12,-25,-10,-27,-8,-23,-12,-23,-9,-20,-10,-26,-9,-22,-7,-21,-10,0,0,0,0,0,0,0,0,0,0]"""
1782108230972,2026-06-22T15:03:50.972,safe,posture,yja,sitting_still,t002,"CSI_DATA,347435,1a:00:00:00:00:00,-61,11,-98,20,46,11,-465282556,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,10,7,8,9,13,8,10,8,16,8,12,8,11,10,12,10,13,11,14,8,13,9,13,10,13,8,16,8,14,10,18,8,13,9,16,9,13,9,12,10,13,12,14,13,13,8,14,11,13,11,12,12,12,12,10,12,13,10,11,13,10,11,7,14,8,13,5,16,4,15,5,15,2,13,4,16,3,16,2,16,1,18,0,14,0,18,0,13,-3,16,-5,15,-5,14,-9,18,-6,16,-9,15,-7,17,-10,16,-10,16,-12,17,-10,14,-13,14,-16,0,0,0,0,0,0,-15,-14,-18,-15,-14,-9,-18,-12,-21,-13,-16,-12,-21,-12,-18,-8,-22,-10,-19,-4,-20,-5,-22,-2,-22,-1,-25,0,-21,-3,-21,0,-23,2,-24,1,-23,1,-25,2,-20,4,-24,4,-18,7,-21,8,-22,12,-24,11,-24,13,-22,10,-23,14,-22,16,-24,16,-21,16,-29,16,-25,13,-25,16,-18,15,-24,21,-23,19,-21,24,-24,21,-24,22,-25,16,-24,20,-28,17,-25,16,-27,17,-24,12,-27,16,-18,14,-24,15,-20,15,-21,16,-23,13,-24,15,-23,8,-22,9,-21,7,0,0,0,0,0,0,0,0,0,0]"""
1782108230976,2026-06-22T15:03:50.976,safe,posture,yja,sitting_still,t002,"CSI_DATA,347436,1a:00:00:00:00:00,-61,11,-98,19,46,11,-465264425,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,8,-14,7,-10,4,-14,6,-13,6,-15,5,-17,5,-14,2,-15,5,-13,2,-19,6,-17,5,-15,5,-15,5,-18,5,-15,4,-18,6,-15,5,-17,3,-19,3,-15,4,-16,2,-17,3,-16,5,-16,5,-16,5,-14,5,-17,4,-11,6,-12,8,-13,7,-17,9,-16,5,-11,8,-14,6,-13,8,-11,11,-9,14,-7,11,-5,11,-8,11,-5,12,-7,14,-5,16,-7,19,-8,13,-5,16,-7,16,-4,15,-2,17,0,19,-1,17,0,19,0,19,4,19,2,21,0,21,0,0,0,0,0,0,20,-4,19,-5,22,-8,23,-5,17,-5,22,-10,17,-8,21,-10,17,-10,23,-10,21,-11,20,-9,19,-10,17,-11,18,-17,17,-16,15,-15,14,-13,17,-16,11,-17,12,-21,13,-20,16,-23,16,-20,13,-19,14,-20,11,-20,8,-26,9,-24,10,-22,9,-21,12,-26,5,-23,6,-28,8,-30,11,-35,16,-26,10,-28,17,-26,12,-26,13,-27,8,-32,10,-28,8,-24,14,-26,9,-26,11,-29,15,-26,20,-30,17,-20,17,-23,20,-18,15,-18,18,-17,18,-20,17,-17,17,-15,0,0,0,0,0,0,0,0,0,0]"""
1782108230979,2026-06-22T15:03:50.979,safe,posture,yja,sitting_still,t002,"CSI_DATA,347437,1a:00:00:00:00:00,-61,11,-98,15,47,11,-465260556,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,10,-8,12,-8,8,-11,12,-8,9,-10,14,-9,13,-10,10,-8,14,-10,9,-11,12,-11,13,-11,12,-11,12,-14,14,-7,13,-10,16,-9,12,-12,15,-11,15,-9,14,-10,15,-8,12,-11,14,-8,15,-7,14,-6,13,-8,16,-2,13,-4,17,-4,13,-2,17,-2,15,0,16,-1,15,2,15,1,14,2,14,4,15,5,14,5,17,7,10,10,14,7,14,11,14,10,12,13,9,14,12,14,11,13,9,16,8,17,7,19,8,16,5,20,5,21,5,20,3,0,0,0,0,0,0,1,-23,2,-20,1,-24,0,-22,-2,-17,-1,-24,-2,-17,-5,-25,-2,-19,-7,-23,-9,-20,-7,-19,-12,-19,-8,-17,-11,-19,-13,-18,-14,-16,-12,-17,-14,-20,-15,-10,-21,-15,-15,-13,-22,-14,-21,-12,-19,-11,-23,-8,-19,-8,-23,-10,-26,-9,-25,-5,-23,-7,-29,-11,-25,-1,-32,-2,-26,-8,-35,-5,-27,-5,-30,-3,-31,-5,-30,-1,-27,-4,-31,-4,-31,-2,-28,-3,-34,-8,-25,0,-32,-3,-26,-7,-32,-5,-26,-5,-27,-4,-25,-5,-26,-5,-20,-6,-23,-8,-23,-6,-23,-10,0,0,0,0,0,0,0,0,0,0]"""
1782108230983,2026-06-22T15:03:50.983,safe,posture,yja,sitting_still,t002,"CSI_DATA,347438,1a:00:00:00:00:00,-61,11,-98,15,47,11,-465247430,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,-2,-14,-4,-10,-1,-14,-5,-11,-5,-17,-5,-14,-5,-12,-8,-14,-4,-14,-5,-16,-5,-17,-5,-16,-3,-11,-5,-18,-6,-14,-3,-22,-4,-14,-5,-20,-5,-17,-2,-14,-4,-17,-2,-13,-4,-18,-4,-17,-2,-15,-2,-14,-2,-18,-2,-14,2,-17,2,-14,0,-17,3,-14,2,-14,5,-14,4,-14,5,-11,5,-11,7,-11,10,-10,8,-13,11,-8,8,-12,12,-10,11,-11,15,-9,12,-6,15,-8,14,-5,16,-5,17,-2,18,-2,19,-3,20,-2,17,0,20,1,22,0,21,0,0,0,0,0,0,23,-3,20,-4,25,-8,21,-3,16,-6,24,-7,17,-8,22,-11,17,-9,21,-12,17,-11,17,-9,15,-15,14,-12,16,-14,15,-17,13,-18,11,-17,15,-21,7,-17,10,-24,10,-19,10,-25,7,-23,7,-22,4,-26,5,-20,4,-25,3,-26,2,-25,2,-25,5,-30,-2,-23,-2,-31,2,-27,-2,-36,2,-29,-3,-32,0,-31,-2,-29,0,-27,-1,-31,-4,-30,-2,-28,1,-32,-2,-25,-1,-33,2,-26,1,-33,0,-25,1,-28,3,-25,1,-27,2,-23,4,-25,4,-24,6,-25,0,0,0,0,0,0,0,0,0,0]"""
1782108230986,2026-06-22T15:03:50.986,safe,posture,yja,sitting_still,t002,"CSI_DATA,347439,1a:00:00:00:00:00,-61,11,-98,18,46,11,-465238556,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-13,1,-15,-2,-13,-1,-13,-5,-12,0,-16,-4,-16,-3,-13,-6,-16,-6,-13,-7,-17,-6,-15,-7,-12,-6,-15,-7,-16,-7,-13,-6,-16,-6,-16,-6,-17,-10,-17,-13,-13,-11,-14,-9,-13,-6,-17,-7,-14,-6,-13,-5,-13,-6,-14,-6,-13,-4,-16,-3,-17,-5,-19,-6,-13,-7,-15,-3,-13,-4,-14,-3,-15,0,-15,3,-14,2,-14,1,-16,0,-13,6,-14,5,-16,4,-20,9,-15,3,-15,7,-16,5,-14,4,-16,9,-15,13,-13,10,-15,11,-16,13,-13,16,-16,13,-13,14,0,0,0,0,0,0,15,15,14,13,20,16,17,14,13,10,19,12,17,10,20,12,18,10,22,13,21,12,16,10,19,9,18,10,23,6,22,3,20,6,19,5,21,6,20,1,23,0,23,0,27,3,26,4,23,3,23,2,23,0,27,-3,27,-2,24,-2,24,0,28,0,24,-5,27,-7,30,-3,37,-3,31,2,30,0,33,4,27,0,30,-1,34,-4,30,0,25,0,29,3,29,-1,30,-1,31,4,34,7,24,10,27,6,23,12,23,9,22,11,25,10,22,9,20,11,0,0,0,0,0,0,0,0,0,0]"""
1782108230989,2026-06-22T15:03:50.989,safe,posture,yja,sitting_still,t002,"CSI_DATA,347440,1a:00:00:00:00:00,-61,11,-98,15,47,11,-465217172,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,14,-2,11,0,16,0,12,-2,15,-1,13,-2,13,-2,14,-2,16,0,18,-3,15,-2,17,-2,17,-3,21,-3,16,-8,19,-8,15,-10,18,-3,14,-2,16,0,18,-4,18,-3,19,-2,14,-2,17,-2,16,-2,17,-2,15,-3,18,-2,14,-5,16,0,11,1,17,2,13,3,13,2,16,3,15,2,13,5,14,6,15,5,12,4,17,4,14,8,14,6,13,9,11,10,11,14,8,15,13,14,12,11,10,14,12,14,12,16,10,16,13,16,10,18,8,0,0,0,0,0,0,9,-19,11,-22,4,-15,9,-19,9,-25,8,-17,8,-23,5,-19,6,-22,2,-17,2,-19,0,-22,2,-23,-2,-24,0,-20,-2,-21,-3,-22,-2,-24,-2,-20,-2,-26,-3,-20,-3,-26,-6,-19,-5,-20,-11,-22,-11,-23,-14,-26,-10,-23,-14,-23,-14,-23,-14,-27,-14,-22,-11,-31,-10,-26,-11,-27,-11,-18,-17,-25,-15,-26,-20,-23,-15,-29,-16,-28,-9,-28,-14,-29,-12,-32,-11,-28,-8,-32,-3,-26,-8,-30,-6,-20,-8,-28,-7,-25,-10,-26,-5,-26,-6,-29,0,-22,0,-23,0,-23,0,0,0,0,0,0,0,0,0,0]"""
1782108230992,2026-06-22T15:03:50.992,safe,posture,yja,sitting_still,t002,"CSI_DATA,347441,1a:00:00:00:00:00,-61,11,-98,19,46,11,-465214431,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,13,-4,11,-5,17,-3,14,-4,14,-2,17,0,16,-3,16,-3,11,-2,15,-1,18,-2,17,0,15,-1,15,-1,15,-2,20,-5,15,-4,17,-5,20,0,18,-3,17,-5,17,-3,19,-5,17,-5,14,-3,14,-5,13,-5,14,-5,15,-6,14,-6,13,-9,14,-8,14,-11,10,-8,11,-11,9,-8,11,-11,9,-14,10,-11,5,-11,6,-11,6,-14,5,-14,5,-17,4,-15,2,-19,2,-14,0,-17,0,-18,0,-19,0,-20,0,-19,-2,-17,-3,-23,-4,-20,-4,-17,-6,-18,0,0,0,0,0,0,-17,8,-19,11,-17,11,-17,14,-18,14,-15,13,-19,14,-15,14,-16,17,-15,17,-15,18,-13,17,-11,15,-14,19,-11,20,-10,19,-9,20,-9,20,-5,19,-8,23,-5,20,-2,25,-4,25,-2,26,0,25,-1,23,0,27,0,29,0,26,2,26,2,25,5,23,2,32,4,28,7,31,4,30,6,33,4,31,5,31,2,28,5,32,5,32,2,32,2,29,4,25,3,31,3,27,4,31,2,29,2,29,0,27,0,27,0,23,-2,28,-2,26,-4,22,-4,22,0,0,0,0,0,0,0,0,0,0]"""
