pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782045556885,2026-06-21T21:39:16.885,safe,posture,lmh,standing_still,t014,"CSI_DATA,330450,1a:00:00:00:00:00,-54,11,-98,19,38,11,1027635777,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,5,5,5,5,4,5,4,5,6,6,6,7,7,8,7,9,10,9,9,9,10,10,10,9,10,10,13,12,14,12,11,15,12,15,10,10,10,13,15,16,15,15,16,15,16,17,15,14,15,15,16,16,17,15,18,16,16,15,20,17,20,15,20,14,23,11,21,14,21,10,23,10,22,11,24,7,25,9,26,5,25,7,28,4,25,5,26,3,28,5,26,2,28,1,31,3,31,0,31,0,34,0,31,2,36,-5,37,-4,36,-3,0,0,0,0,0,0,-2,-35,-3,-32,-7,-32,-5,-31,-8,-31,-3,-29,-6,-30,-6,-36,-8,-29,-7,-27,-10,-26,-8,-24,-12,-27,-14,-26,-10,-26,-15,-22,-16,-23,-15,-23,-12,-23,-15,-21,-18,-17,-16,-21,-16,-15,-16,-18,-17,-18,-19,-18,-19,-15,-22,-14,-21,-15,-22,-11,-21,-12,-20,-11,-21,-14,-22,-10,-19,-10,-23,-13,-23,-10,-21,-12,-22,-10,-20,-11,-20,-9,-21,-9,-21,-11,-21,-9,-18,-11,-20,-9,-15,-10,-20,-7,-15,-9,-16,-9,-14,-10,-15,-8,-14,-10,-12,-9,-13,-10,-11,-10,-10,-11,0,0,0,0,0,0,0,0,0,0]"""
1782045556893,2026-06-21T21:39:16.893,safe,posture,lmh,standing_still,t014,"CSI_DATA,330451,1a:00:00:00:00:00,-54,11,-98,18,38,11,1027646777,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,5,3,6,6,6,5,6,6,6,5,6,10,7,8,9,9,9,10,9,12,9,12,10,9,12,12,12,13,12,12,12,9,12,17,12,15,12,13,18,15,15,16,13,16,17,17,12,16,15,17,15,16,16,19,13,18,13,21,14,19,12,19,12,22,12,21,10,21,8,24,7,25,11,24,7,24,6,25,4,25,6,28,4,25,5,25,1,26,3,26,0,27,0,33,0,32,-2,29,-3,32,0,33,1,33,-6,35,-6,32,-5,0,0,0,0,0,0,-5,-34,-8,-32,-9,-30,-8,-31,-10,-29,-6,-27,-9,-30,-10,-31,-11,-27,-10,-27,-12,-24,-12,-23,-15,-26,-15,-25,-13,-22,-18,-19,-21,-21,-19,-19,-14,-19,-18,-16,-21,-15,-19,-18,-19,-12,-19,-15,-19,-14,-20,-14,-21,-12,-22,-8,-22,-12,-25,-8,-21,-7,-25,-8,-23,-9,-23,-6,-21,-5,-25,-8,-25,-7,-22,-6,-25,-6,-23,-6,-21,-4,-22,-3,-24,-5,-22,-5,-21,-5,-20,-3,-19,-6,-21,-4,-18,-6,-17,-5,-16,-5,-16,-5,-14,-5,-16,-7,-15,-6,-14,-6,-12,-7,0,0,0,0,0,0,0,0,0,0]"""
1782045556899,2026-06-21T21:39:16.899,safe,posture,lmh,standing_still,t014,"CSI_DATA,330452,1a:00:00:00:00:00,-54,11,-98,14,39,11,1027657777,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,6,0,7,0,7,0,7,0,8,0,8,1,11,1,12,1,12,3,12,2,14,2,15,4,14,5,15,6,17,6,16,8,16,7,16,6,16,9,19,10,18,10,20,9,20,12,19,8,19,12,19,12,19,13,21,10,18,12,21,12,21,11,20,11,25,11,23,10,20,9,23,9,24,12,25,8,25,10,26,7,25,10,28,6,23,7,25,5,25,8,26,5,29,7,32,9,30,7,31,7,32,11,31,11,35,9,35,6,33,6,0,0,0,0,0,0,14,-33,12,-36,8,-34,10,-31,9,-32,11,-30,9,-32,11,-33,10,-30,10,-27,6,-27,7,-27,6,-31,6,-30,7,-26,4,-27,3,-31,4,-30,6,-26,4,-26,0,-27,5,-27,0,-24,1,-26,3,-28,1,-28,0,-27,0,-26,1,-29,-3,-27,0,-26,0,-28,1,-28,0,-27,0,-25,1,-28,0,-28,0,-25,0,-28,2,-26,0,-25,2,-25,4,-25,3,-26,4,-25,4,-24,6,-21,5,-23,6,-19,6,-18,7,-19,6,-18,7,-19,9,-16,9,-14,9,-14,12,-12,0,0,0,0,0,0,0,0,0,0]"""
1782045556907,2026-06-21T21:39:16.907,safe,posture,lmh,standing_still,t014,"CSI_DATA,330453,1a:00:00:00:00:00,-54,11,-98,14,39,11,1027668777,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,6,0,7,-2,7,-2,6,0,8,0,9,0,11,-1,11,0,12,0,12,-1,14,-1,16,0,16,2,15,1,17,0,18,2,17,0,19,2,20,4,20,3,19,2,21,5,24,4,21,3,21,5,23,6,23,6,25,1,21,5,25,5,25,4,24,4,26,2,25,3,23,1,25,0,26,0,25,0,27,0,26,-2,26,0,28,-2,26,-2,25,-2,28,-1,27,-4,31,-2,32,-2,31,-4,31,-5,34,-1,33,-1,36,-5,35,-6,33,-6,0,0,0,0,0,0,0,-37,-3,-35,-6,-35,-2,-32,-4,-32,-1,-32,-4,-32,-4,-35,-4,-31,-3,-29,-5,-29,-3,-27,-6,-30,-6,-30,-5,-28,-7,-25,-11,-31,-8,-29,-6,-27,-8,-25,-12,-25,-6,-26,-10,-24,-9,-25,-8,-25,-9,-25,-9,-24,-14,-23,-11,-26,-15,-23,-11,-24,-12,-25,-12,-25,-14,-24,-11,-21,-12,-26,-12,-25,-12,-24,-12,-25,-10,-24,-10,-21,-10,-24,-9,-25,-10,-24,-7,-24,-9,-22,-6,-21,-6,-22,-3,-20,-4,-19,-2,-19,-4,-18,-1,-19,0,-19,1,-19,0,-18,4,-17,0,0,0,0,0,0,0,0,0,0]"""
1782045556914,2026-06-21T21:39:16.914,safe,posture,lmh,standing_still,t014,"CSI_DATA,330454,1a:00:00:00:00:00,-54,11,-98,18,38,11,1027679777,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-5,-5,-2,-4,-6,-2,-6,-2,-6,-1,-6,-3,-8,-3,-7,-4,-11,-2,-11,-2,-13,-3,-12,-2,-14,-2,-17,0,-15,0,-16,-2,-19,1,-19,1,-16,4,-23,3,-21,6,-19,5,-21,5,-22,8,-21,6,-20,8,-19,11,-20,10,-21,9,-21,9,-20,12,-22,11,-21,12,-19,12,-22,10,-22,11,-20,11,-23,12,-22,12,-24,14,-21,11,-24,12,-21,14,-26,13,-20,12,-23,14,-23,12,-24,14,-23,19,-25,17,-24,16,-26,20,-25,20,-25,21,-27,20,-25,21,-26,0,0,0,0,0,0,-19,-27,-19,-29,-22,-23,-19,-25,-20,-27,-15,-26,-18,-25,-18,-27,-15,-26,-12,-23,-13,-22,-12,-21,-15,-23,-13,-26,-12,-24,-15,-23,-17,-26,-13,-25,-9,-24,-12,-21,-15,-22,-9,-24,-11,-18,-9,-22,-7,-22,-9,-23,-9,-24,-12,-21,-10,-25,-12,-21,-7,-23,-10,-21,-9,-25,-9,-22,-6,-21,-6,-25,-6,-24,-4,-23,-3,-25,-2,-23,-2,-23,0,-23,1,-25,0,-23,0,-20,0,-21,1,-20,3,-20,5,-17,3,-15,7,-15,5,-17,7,-15,10,-13,10,-13,8,-12,12,-9,0,0,0,0,0,0,0,0,0,0]"""
1782045556922,2026-06-21T21:39:16.922,safe,posture,lmh,standing_still,t014,"CSI_DATA,330455,1a:00:00:00:00:00,-54,11,-98,18,38,11,1027691473,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-5,3,-5,2,-6,5,-6,4,-6,5,-6,4,-6,7,-6,8,-9,7,-9,9,-8,9,-10,10,-10,12,-10,12,-8,12,-10,12,-10,17,-10,14,-9,20,-6,22,-6,19,-6,20,-6,19,-9,22,-7,20,-10,21,-5,21,-5,23,-4,21,-7,23,-5,25,-6,25,-6,22,-6,25,-7,24,-6,21,-6,22,-8,25,-6,25,-11,25,-7,24,-9,25,-7,27,-9,24,-6,25,-9,26,-8,24,-9,25,-9,29,-7,28,-10,28,-11,31,-8,31,-7,33,-9,32,-9,31,-10,0,0,0,0,0,0,-1,-35,-4,-34,-7,-32,-3,-32,-4,-28,-1,-31,-4,-29,-3,-33,-1,-30,-1,-28,-4,-27,-3,-25,-4,-28,-2,-28,0,-26,-6,-25,-5,-28,-4,-26,0,-25,-5,-25,-6,-24,-1,-25,-5,-23,-5,-24,-2,-23,-4,-24,-3,-25,-6,-25,-3,-26,-5,-23,-3,-24,-3,-26,-2,-25,-4,-25,-2,-22,-1,-26,-1,-26,0,-22,0,-24,0,-23,0,-21,1,-25,3,-23,2,-22,4,-21,3,-21,5,-19,3,-19,4,-18,6,-17,7,-16,6,-15,9,-15,12,-14,9,-12,8,-12,11,-10,0,0,0,0,0,0,0,0,0,0]"""
1782045556929,2026-06-21T21:39:16.929,safe,posture,lmh,standing_still,t014,"CSI_DATA,330456,1a:00:00:00:00:00,-54,11,-98,15,39,11,1027701777,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-5,-1,-6,0,-7,-1,-8,0,-8,0,-8,0,-9,0,-10,1,-12,1,-13,0,-13,2,-15,3,-15,5,-15,5,-15,5,-17,7,-16,6,-17,9,-18,9,-17,10,-17,10,-17,11,-19,14,-19,10,-17,14,-16,15,-17,15,-16,15,-18,14,-15,18,-19,16,-18,16,-17,17,-20,16,-19,15,-16,15,-20,17,-19,16,-21,17,-19,16,-21,19,-20,19,-22,18,-20,18,-21,19,-21,15,-21,18,-21,23,-23,22,-23,21,-23,26,-21,25,-20,26,-24,26,-23,26,-22,0,0,0,0,0,0,-17,-31,-17,-31,-22,-28,-16,-28,-18,-27,-14,-28,-16,-30,-15,-31,-15,-27,-12,-27,-14,-26,-12,-24,-15,-26,-13,-27,-13,-27,-13,-23,-16,-27,-14,-26,-10,-26,-13,-24,-15,-23,-12,-26,-13,-21,-12,-25,-11,-25,-12,-24,-10,-23,-15,-23,-12,-25,-15,-23,-10,-23,-11,-26,-10,-25,-10,-25,-10,-23,-9,-28,-8,-27,-9,-24,-6,-27,-5,-25,-5,-23,-5,-26,-2,-26,-2,-26,0,-25,-2,-23,1,-22,0,-25,3,-21,2,-21,5,-20,5,-17,5,-16,9,-17,9,-16,9,-14,10,-13,0,0,0,0,0,0,0,0,0,0]"""
1782045556936,2026-06-21T21:39:16.936,safe,posture,lmh,standing_still,t014,"CSI_DATA,330457,1a:00:00:00:00:00,-54,11,-98,19,38,11,1027714239,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,5,1,7,0,9,3,8,2,9,2,9,3,10,3,11,5,12,5,11,5,15,5,15,5,15,8,15,8,16,5,15,10,16,8,19,12,21,14,15,11,18,12,20,11,20,14,18,11,16,12,18,13,18,14,20,11,18,11,21,15,21,12,20,13,23,14,21,13,20,11,22,10,23,10,25,10,24,10,26,8,23,11,26,10,24,9,25,8,26,10,26,7,28,8,30,10,30,8,31,7,30,10,28,12,35,8,32,8,32,10,0,0,0,0,0,0,13,-32,11,-33,5,-32,8,-29,8,-31,10,-27,10,-31,10,-31,6,-28,8,-26,6,-27,6,-25,5,-30,7,-26,7,-27,2,-25,3,-30,2,-27,5,-24,1,-26,0,-25,2,-26,0,-22,0,-26,0,-26,0,-25,0,-24,-4,-25,-1,-26,-4,-26,-1,-23,0,-25,0,-26,-4,-26,-2,-21,0,-26,-1,-26,0,-23,-1,-25,0,-24,-2,-21,1,-23,1,-24,0,-24,1,-22,0,-21,2,-21,0,-21,3,-16,2,-18,5,-18,3,-17,4,-16,8,-16,4,-17,5,-14,7,-12,0,0,0,0,0,0,0,0,0,0]"""
1782045556944,2026-06-21T21:39:16.944,safe,posture,lmh,standing_still,t014,"CSI_DATA,330458,1a:00:00:00:00:00,-54,11,-98,13,39,11,1027723777,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-6,0,-7,0,-8,0,-7,1,-7,0,-8,0,-9,0,-10,2,-11,2,-12,2,-12,4,-15,3,-15,7,-14,6,-16,6,-16,8,-17,8,-14,10,-16,11,-17,11,-16,11,-16,14,-16,15,-17,13,-17,16,-15,15,-17,16,-16,16,-16,15,-16,17,-17,16,-17,16,-16,17,-17,16,-19,16,-16,16,-19,17,-19,16,-22,17,-18,16,-22,16,-19,16,-24,17,-19,16,-21,18,-21,16,-23,18,-23,22,-24,20,-24,20,-24,24,-23,24,-22,23,-25,24,-24,24,-25,0,0,0,0,0,0,-19,-30,-22,-28,-24,-26,-21,-24,-23,-26,-17,-24,-19,-25,-18,-27,-17,-25,-16,-24,-17,-23,-16,-22,-20,-24,-17,-24,-16,-24,-18,-20,-19,-24,-17,-23,-16,-23,-17,-20,-20,-20,-16,-24,-17,-19,-16,-20,-16,-22,-16,-21,-17,-20,-18,-19,-16,-22,-19,-18,-16,-20,-16,-22,-16,-22,-16,-22,-15,-20,-15,-24,-15,-23,-14,-22,-14,-24,-11,-23,-12,-21,-10,-24,-10,-24,-9,-24,-7,-23,-8,-21,-5,-22,-6,-22,-3,-20,-3,-19,-1,-20,-1,-18,0,-18,1,-20,3,-17,4,-16,7,-15,0,0,0,0,0,0,0,0,0,0]"""
1782045556951,2026-06-21T21:39:16.951,safe,posture,lmh,standing_still,t014,"CSI_DATA,330460,1a:00:00:00:00:00,-54,11,-98,17,38,11,1027745777,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-5,2,-6,1,-6,4,-6,2,-7,2,-8,3,-8,3,-8,3,-12,3,-10,5,-12,3,-12,4,-13,3,-15,8,-13,8,-14,6,-17,7,-16,6,-15,7,-21,8,-19,8,-19,8,-19,7,-18,8,-21,6,-19,8,-21,9,-21,8,-20,8,-22,7,-20,7,-24,8,-22,6,-20,4,-25,5,-24,3,-23,1,-24,1,-24,-1,-25,0,-26,-3,-25,-1,-25,-4,-28,-3,-26,-3,-26,-3,-27,-8,-25,-6,-26,-8,-31,-9,-27,-8,-28,-8,-32,-6,-29,-13,-32,-13,-30,-14,-30,0,0,0,0,0,0,-31,12,-32,13,-31,18,-30,13,-25,16,-27,13,-25,15,-26,16,-25,14,-24,15,-21,16,-21,15,-23,19,-20,18,-20,17,-17,17,-17,24,-16,21,-19,17,-16,19,-13,23,-16,21,-10,21,-13,20,-12,22,-12,22,-11,21,-8,24,-10,24,-5,24,-8,23,-8,24,-7,24,-6,24,-5,23,-8,26,-6,24,-4,21,-6,24,-6,22,-4,21,-4,22,-4,22,-3,23,-5,22,-4,21,-7,20,-3,18,-6,16,-6,17,-6,17,-6,16,-5,16,-8,14,-6,16,-6,15,-9,12,0,0,0,0,0,0,0,0,0,0]"""
