pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782031834214,2026-06-21T17:50:34.214,safe,posture,mhw,standing_still,t013,"CSI_DATA,525888,1a:00:00:00:00:00,-46,11,-99,19,30,11,416983676,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,3,-7,4,-10,4,-8,4,-10,4,-11,3,-11,3,-12,3,-12,2,-11,3,-15,1,-15,2,-15,1,-14,1,-13,1,-16,0,-16,0,-16,0,-15,0,-16,0,-17,1,-16,0,-16,0,-17,0,-17,-1,-15,0,-16,-1,-16,0,-18,0,-17,0,-16,0,-18,0,-18,0,-16,0,-17,0,-17,0,-17,0,-19,0,-19,0,-17,3,-18,4,-18,2,-20,2,-17,4,-18,2,-23,3,-20,1,-21,5,-20,2,-21,2,-22,3,-21,3,-23,3,-24,3,-25,4,-25,5,-24,5,0,0,0,0,0,0,2,24,4,26,3,26,1,26,1,26,1,23,0,25,0,25,2,25,0,25,0,24,5,25,0,21,0,23,2,24,1,21,3,24,1,22,3,20,1,23,2,23,3,24,3,22,2,24,3,25,2,21,3,22,3,24,1,22,3,22,2,22,2,22,0,25,2,23,1,22,0,23,0,25,-1,23,0,23,-2,21,-3,21,-3,24,-6,22,-4,19,-4,19,-7,19,-8,18,-6,17,-10,16,-9,16,-9,16,-9,14,-11,13,-9,13,-10,11,-12,7,-12,7,0,0,0,0,0,0,0,0,0,0]"""
1782031834219,2026-06-21T17:50:34.219,safe,posture,mhw,standing_still,t013,"CSI_DATA,525889,1a:00:00:00:00:00,-46,11,-99,19,30,11,416994676,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,6,5,6,7,8,7,6,7,11,7,10,4,10,8,13,6,10,5,11,5,12,5,12,6,14,6,14,5,11,4,16,3,14,4,15,4,18,3,14,3,18,0,13,3,17,3,17,3,16,3,16,2,20,3,14,4,16,2,16,6,20,0,16,3,17,2,17,3,18,4,16,6,17,7,16,5,15,4,19,7,16,7,20,5,19,7,24,3,17,5,20,4,20,6,20,7,20,10,24,10,20,9,25,6,23,11,21,6,27,8,22,0,0,0,0,0,0,28,-5,19,-5,33,-6,27,-1,20,-3,28,-4,20,-4,28,-5,21,-2,28,-2,25,-2,22,0,23,-3,20,-1,23,-4,23,-2,23,-4,23,-2,25,-3,19,-4,22,-4,20,-1,23,-3,24,0,20,0,22,-2,21,0,22,-5,24,-3,22,-3,21,-1,26,0,20,-3,24,-2,22,0,30,0,23,3,23,0,23,5,21,4,19,4,22,4,22,3,18,4,20,8,16,6,20,7,17,9,17,12,12,11,15,10,10,11,12,12,9,11,10,11,8,10,6,11,0,0,0,0,0,0,0,0,0,0]"""
1782031834226,2026-06-21T17:50:34.226,safe,posture,mhw,standing_still,t013,"CSI_DATA,525890,1a:00:00:00:00:00,-46,11,-99,14,31,11,417005676,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,9,-2,8,-3,9,-4,10,-5,10,-5,10,-6,10,-6,11,-6,8,-8,11,-8,10,-8,8,-8,10,-9,9,-10,8,-13,9,-12,8,-12,10,-12,8,-14,6,-16,8,-11,6,-16,9,-14,8,-14,7,-13,9,-15,7,-13,9,-15,6,-15,8,-14,8,-14,6,-17,7,-15,8,-14,9,-14,7,-15,9,-17,9,-17,7,-15,9,-15,11,-18,10,-18,9,-16,12,-17,9,-19,12,-17,10,-16,12,-19,9,-18,11,-19,10,-20,9,-20,11,-22,12,-22,11,-21,10,-23,13,0,0,0,0,0,0,9,23,9,26,10,23,8,25,9,28,6,22,6,27,6,24,6,24,3,25,5,23,5,24,4,22,5,23,5,24,4,22,6,23,5,22,4,20,3,24,5,23,4,23,4,21,4,23,5,23,2,19,3,23,6,23,2,23,3,23,2,22,3,22,0,26,2,24,0,24,-1,23,0,26,-2,22,-1,22,-5,21,-2,22,-6,22,-7,21,-7,21,-7,19,-9,20,-9,17,-9,17,-10,14,-10,15,-10,12,-11,11,-11,10,-12,10,-11,8,-12,6,-12,6,0,0,0,0,0,0,0,0,0,0]"""
1782031834232,2026-06-21T17:50:34.232,safe,posture,mhw,standing_still,t013,"CSI_DATA,525891,1a:00:00:00:00:00,-46,11,-99,19,30,11,417016741,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,8,5,7,4,7,4,11,5,8,5,12,4,12,4,11,5,12,2,10,5,14,5,14,4,14,5,14,4,16,3,11,5,16,5,14,5,16,6,18,4,16,4,16,3,16,6,16,5,16,5,16,4,15,5,16,6,13,8,16,7,16,8,20,6,16,6,15,7,17,8,15,8,14,12,15,11,16,11,14,11,16,14,11,16,13,14,13,16,16,12,16,16,15,13,18,15,14,16,16,20,14,18,12,19,14,18,14,22,14,21,16,19,15,0,0,0,0,0,0,17,-20,15,-18,16,-23,16,-21,12,-18,16,-21,11,-18,15,-23,12,-19,16,-21,15,-21,14,-17,12,-19,14,-16,10,-21,10,-22,7,-21,7,-20,12,-21,6,-18,6,-22,8,-20,8,-23,8,-21,9,-19,7,-21,7,-18,5,-23,5,-21,5,-21,5,-19,11,-24,2,-19,3,-24,4,-21,8,-28,9,-20,7,-21,10,-20,9,-18,7,-19,7,-23,9,-18,7,-18,11,-16,6,-18,10,-18,11,-16,14,-16,12,-13,11,-12,12,-10,12,-11,11,-10,14,-9,11,-9,12,-8,0,0,0,0,0,0,0,0,0,0]"""
1782031834238,2026-06-21T17:50:34.238,safe,posture,mhw,standing_still,t013,"CSI_DATA,525892,1a:00:00:00:00:00,-46,11,-99,14,31,11,417027676,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,8,-6,6,-9,8,-7,5,-8,7,-10,7,-8,5,-10,7,-11,6,-11,9,-12,8,-11,5,-11,6,-12,7,-10,5,-16,8,-12,7,-17,6,-14,4,-10,4,-12,8,-14,6,-16,8,-14,5,-15,6,-14,8,-15,7,-13,6,-17,8,-15,7,-15,9,-12,6,-14,10,-15,10,-15,11,-14,8,-16,13,-15,9,-15,10,-15,14,-12,12,-16,12,-14,11,-13,15,-11,10,-13,16,-15,14,-12,19,-15,18,-15,17,-14,16,-16,16,-14,17,-16,20,-15,20,-12,17,-16,19,0,0,0,0,0,0,21,15,23,19,18,13,20,16,24,18,18,14,21,18,18,14,20,17,17,14,19,14,20,14,20,13,21,13,17,14,17,13,21,11,20,12,17,10,21,13,18,9,21,11,18,7,19,10,22,10,21,9,24,9,20,9,22,9,22,10,22,11,20,6,23,13,19,10,20,10,18,10,23,10,20,11,22,11,18,11,20,13,17,13,17,15,18,14,16,11,16,16,11,14,14,13,9,10,12,14,10,14,12,13,9,13,7,14,6,13,4,13,3,13,0,0,0,0,0,0,0,0,0,0]"""
1782031834245,2026-06-21T17:50:34.245,safe,posture,mhw,standing_still,t013,"CSI_DATA,525893,1a:00:00:00:00:00,-46,11,-99,18,30,11,417038676,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,3,-6,4,-9,4,-10,3,-10,4,-12,4,-9,5,-12,5,-10,3,-12,5,-11,5,-12,4,-13,4,-11,6,-12,5,-16,6,-12,6,-14,7,-14,5,-14,6,-15,5,-12,8,-14,7,-15,9,-14,9,-14,8,-13,10,-12,10,-14,10,-11,11,-10,12,-11,12,-13,14,-11,12,-11,15,-9,13,-7,15,-7,16,-9,16,-7,17,-4,18,-7,19,-6,18,-2,19,-3,20,-2,21,-2,21,0,20,0,22,0,23,0,23,0,24,0,24,0,26,1,23,1,21,8,27,0,0,0,0,0,0,22,-5,27,-7,26,-7,24,-6,25,-7,24,-7,24,-8,24,-8,23,-11,23,-9,23,-10,20,-12,19,-10,19,-15,20,-14,18,-13,17,-15,17,-14,15,-14,18,-16,14,-17,15,-16,14,-17,13,-18,13,-18,13,-16,12,-21,10,-20,12,-20,10,-22,10,-20,7,-21,11,-21,9,-21,8,-20,11,-21,9,-24,10,-20,8,-21,9,-19,9,-21,9,-20,10,-20,9,-19,8,-18,9,-18,9,-15,8,-18,8,-15,9,-17,8,-14,9,-14,8,-11,8,-13,10,-11,8,-10,9,-8,0,0,0,0,0,0,0,0,0,0]"""
1782031834251,2026-06-21T17:50:34.251,safe,posture,mhw,standing_still,t013,"CSI_DATA,525894,1a:00:00:00:00:00,-46,11,-99,20,30,11,417049676,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,10,6,8,6,7,8,6,9,8,8,6,8,9,8,7,9,9,9,8,11,7,11,8,12,9,11,7,13,6,11,7,16,7,12,7,13,5,11,9,12,9,12,7,16,8,16,5,14,5,17,6,15,4,17,6,16,7,18,7,14,6,17,7,13,8,16,8,14,10,15,11,16,9,17,7,16,9,18,10,19,10,16,11,19,11,17,11,17,8,12,12,13,12,15,15,15,14,17,15,21,11,17,14,20,12,20,15,20,13,22,14,21,17,22,0,0,0,0,0,0,23,-15,27,-14,19,-12,22,-16,25,-14,22,-11,24,-13,22,-12,23,-11,20,-11,19,-11,20,-11,21,-14,21,-13,20,-9,21,-11,20,-11,21,-10,19,-11,19,-12,17,-13,22,-12,15,-11,15,-13,19,-14,17,-15,21,-14,19,-11,22,-11,19,-13,22,-13,20,-12,24,-14,19,-11,22,-11,20,-9,18,-11,20,-11,20,-12,22,-11,22,-8,21,-5,22,-3,22,-2,21,-3,22,-1,18,0,22,0,15,1,16,-1,17,0,16,0,15,0,17,3,13,5,12,7,12,6,0,0,0,0,0,0,0,0,0,0]"""
1782031834259,2026-06-21T17:50:34.259,safe,posture,mhw,standing_still,t013,"CSI_DATA,525895,1a:00:00:00:00:00,-46,11,-99,20,30,11,417060676,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-9,1,-10,0,-9,1,-11,2,-10,3,-12,6,-11,6,-9,5,-11,5,-10,5,-12,5,-12,6,-12,6,-14,9,-14,7,-11,7,-14,9,-13,9,-15,12,-11,13,-9,11,-13,10,-10,10,-12,12,-14,10,-12,12,-11,13,-12,8,-13,10,-15,11,-11,13,-15,13,-11,12,-12,13,-12,11,-12,11,-13,9,-14,10,-15,11,-14,12,-14,7,-16,11,-19,11,-17,14,-20,10,-13,11,-19,13,-16,11,-17,12,-17,11,-22,10,-22,14,-22,13,-19,11,-22,14,-22,13,-21,0,0,0,0,0,0,-20,-15,-18,-16,-21,-17,-19,-18,-17,-14,-21,-19,-16,-14,-21,-18,-17,-14,-18,-20,-19,-19,-15,-18,-18,-16,-15,-15,-17,-15,-20,-14,-18,-14,-16,-14,-16,-19,-15,-11,-20,-13,-15,-14,-19,-15,-16,-16,-13,-17,-17,-14,-13,-14,-17,-14,-19,-16,-17,-14,-15,-16,-16,-21,-15,-13,-17,-14,-14,-18,-17,-22,-12,-20,-11,-20,-11,-21,-10,-21,-10,-19,-12,-20,-11,-20,-8,-18,-8,-21,-9,-16,-7,-18,-3,-19,-3,-21,0,-17,0,-17,1,-17,0,-15,1,-14,0,-17,2,-13,4,-13,0,0,0,0,0,0,0,0,0,0]"""
1782031834265,2026-06-21T17:50:34.265,safe,posture,mhw,standing_still,t013,"CSI_DATA,525896,1a:00:00:00:00:00,-46,11,-99,18,30,11,417071676,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,6,8,4,7,7,8,5,8,9,8,8,8,7,7,8,9,9,11,11,9,9,9,9,10,10,9,10,10,11,11,12,9,10,9,12,11,11,10,8,9,12,10,12,12,12,11,11,11,10,12,11,13,10,12,11,13,11,13,10,13,12,15,11,14,10,13,8,15,8,15,9,18,8,16,7,18,7,17,4,20,6,19,7,20,3,19,6,21,3,21,5,21,4,22,2,22,2,23,2,22,1,25,2,25,3,27,0,25,2,26,1,0,0,0,0,0,0,0,-28,0,-25,0,-27,-1,-27,0,-25,-2,-26,0,-25,-2,-25,-2,-23,-1,-26,-1,-25,-3,-23,-2,-23,-3,-24,-4,-25,-4,-24,-7,-24,-5,-20,-6,-20,-5,-21,-9,-22,-8,-21,-8,-19,-9,-22,-8,-20,-7,-19,-9,-19,-12,-20,-9,-21,-10,-20,-9,-19,-11,-19,-9,-20,-10,-21,-10,-20,-11,-22,-10,-21,-9,-21,-11,-20,-8,-20,-9,-20,-9,-20,-7,-20,-6,-19,-6,-19,-5,-20,-6,-19,-4,-17,-3,-19,-3,-18,-1,-18,-1,-16,0,-14,0,-18,0,-14,0,-14,1,-12,0,0,0,0,0,0,0,0,0,0]"""
1782031834271,2026-06-21T17:50:34.271,safe,posture,mhw,standing_still,t013,"CSI_DATA,525897,1a:00:00:00:00:00,-46,11,-99,18,30,11,417083489,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-10,0,-9,0,-11,-1,-10,-1,-11,0,-12,0,-10,0,-14,0,-13,-1,-12,0,-13,0,-15,0,-14,0,-15,0,-14,0,-17,1,-15,0,-16,1,-17,1,-16,2,-17,2,-15,2,-16,1,-17,4,-16,3,-17,3,-19,4,-16,6,-15,6,-15,6,-18,11,-13,8,-13,10,-14,11,-14,13,-12,12,-11,14,-11,16,-10,15,-12,16,-7,16,-7,18,-8,18,-8,21,-5,17,-3,20,-3,22,-1,21,-2,22,0,23,0,25,0,26,1,25,0,25,2,28,3,24,0,0,0,0,0,0,26,-3,24,-5,26,-6,25,-5,23,-7,27,-7,21,-9,25,-9,23,-8,21,-11,21,-11,20,-9,18,-16,19,-14,19,-12,18,-15,16,-18,16,-14,19,-17,12,-16,12,-20,13,-17,11,-19,9,-18,10,-19,7,-23,8,-19,7,-21,6,-22,5,-21,7,-20,6,-25,2,-22,3,-24,5,-22,2,-26,3,-22,2,-23,2,-23,1,-24,2,-21,5,-22,1,-22,1,-22,5,-21,0,-20,2,-20,4,-18,2,-18,1,-16,3,-16,0,-17,1,-16,3,-14,2,-13,3,-15,4,-14,0,0,0,0,0,0,0,0,0,0]"""
