pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782109825197,2026-06-22T15:30:25.197,safe,posture,yja,standing_still,t017,"CSI_DATA,492367,1a:00:00:00:00:00,-62,11,-99,13,49,11,1128968168,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-6,2,-5,1,-8,1,-6,3,-6,1,-6,2,-6,2,-6,2,-6,1,-8,3,-6,3,-5,2,-8,2,-6,3,-6,3,-6,3,-5,2,-6,1,-7,2,-8,1,-8,0,-6,1,-6,3,-5,1,-6,1,-5,1,-3,1,-4,0,-4,0,-4,0,-3,-1,-3,-2,-3,-1,-2,-2,-1,-1,-1,-2,-1,-2,-1,-3,0,-5,0,-3,0,-3,0,-2,1,-5,1,-3,2,-3,4,-4,4,-4,5,-4,6,-4,5,-5,6,-5,8,-4,8,-5,10,-5,8,-4,10,-3,11,0,0,0,0,0,0,14,3,16,5,11,2,17,4,17,4,15,4,18,4,15,2,19,3,16,0,17,0,18,0,20,-2,20,-2,19,3,20,0,20,-1,22,-1,20,-1,22,-5,18,-5,23,-5,18,-6,20,-9,22,-8,22,-12,24,-11,23,-6,25,-10,23,-11,26,-10,23,-11,28,-15,23,-12,27,-12,22,-13,24,-17,25,-16,24,-19,27,-18,29,-16,27,-8,29,-13,30,-11,29,-10,29,-12,25,-8,31,-10,23,-8,25,-10,25,-10,25,-10,27,-10,27,-6,25,-1,24,-1,23,0,0,0,0,0,0,0,0,0,0,0]"""
1782109825202,2026-06-22T15:30:25.202,safe,posture,yja,standing_still,t017,"CSI_DATA,492368,1a:00:00:00:00:00,-62,11,-99,13,49,11,1128980672,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,3,-6,3,-6,2,-5,3,-6,3,-7,2,-7,2,-6,1,-8,3,-6,3,-7,3,-7,3,-6,2,-6,3,-7,1,-7,3,-6,3,-6,4,-5,2,-6,2,-7,3,-5,3,-6,3,-3,3,-2,3,-3,3,-2,2,-3,3,0,3,0,3,-1,4,0,3,0,2,0,3,0,3,1,3,1,3,1,2,2,1,4,1,3,1,3,0,3,0,5,-1,4,-1,6,0,5,-1,5,-1,6,-4,6,-6,5,-6,6,-5,6,-6,6,-6,5,-9,7,-8,6,-10,0,0,0,0,0,0,-13,-6,-15,-5,-13,-5,-14,-5,-16,-4,-16,-3,-17,0,-18,0,-18,-1,-17,-1,-17,0,-17,-3,-20,3,-19,0,-18,2,-20,3,-20,5,-20,5,-21,6,-18,10,-18,11,-20,10,-18,10,-18,11,-20,10,-20,17,-22,13,-18,17,-20,16,-19,17,-20,19,-20,20,-16,23,-16,23,-18,24,-17,23,-18,22,-19,23,-21,23,-19,26,-21,23,-17,23,-18,25,-18,25,-20,24,-15,26,-15,25,-18,24,-17,21,-17,20,-18,21,-20,19,-17,22,-19,18,-16,17,-18,17,-19,15,0,0,0,0,0,0,0,0,0,0]"""
1782109825206,2026-06-22T15:30:25.206,safe,posture,yja,standing_still,t017,"CSI_DATA,492369,1a:00:00:00:00:00,-61,11,-99,16,48,11,1128986863,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,-4,3,-5,3,-4,6,-7,5,-3,6,-6,5,-4,4,-3,5,-4,5,-4,5,-5,5,-6,7,-5,5,-4,7,-5,3,-3,5,-5,3,-3,7,-7,6,-3,5,-2,5,-3,1,-3,4,-3,3,-5,2,-3,2,-3,3,-4,1,-3,1,-4,1,-1,1,-5,0,-2,0,-3,0,-3,-1,-2,0,-1,-1,-2,-1,-3,-1,-2,-3,-2,-2,0,-4,0,-4,0,-7,0,-5,0,-5,3,-7,0,-5,1,-6,1,-7,3,-7,3,-9,4,-9,3,-9,5,-10,6,-9,3,0,0,0,0,0,0,10,11,7,9,11,16,8,12,7,7,13,14,9,9,14,14,10,9,16,16,15,14,11,12,14,11,10,11,16,13,17,12,16,11,15,11,20,12,14,6,23,8,16,7,27,12,23,9,20,8,22,7,16,7,24,7,25,8,23,7,21,7,28,11,21,1,31,3,25,6,40,10,29,11,30,7,29,12,26,8,24,9,32,8,29,9,25,10,30,14,22,5,33,11,24,13,35,20,23,14,24,15,19,17,20,13,15,15,21,18,17,16,17,19,0,0,0,0,0,0,0,0,0,0]"""
1782109825211,2026-06-22T15:30:25.211,safe,posture,yja,standing_still,t017,"CSI_DATA,492370,1a:00:00:00:00:00,-62,11,-99,18,48,11,1128997870,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,1,-6,0,-7,2,-6,3,-9,1,-6,1,-6,0,-7,2,-7,1,-7,3,-6,0,-7,1,-7,3,-7,2,-6,1,-8,1,-6,1,-6,0,-6,1,-4,1,-4,1,-6,3,-6,1,-6,1,-5,3,-4,2,-4,1,-3,3,-4,2,-2,3,-3,2,-1,3,-1,3,-1,3,0,4,0,3,0,2,1,1,1,3,1,3,3,2,3,3,3,1,4,3,3,1,6,0,6,0,6,-1,7,0,8,0,8,0,8,0,7,0,10,-1,11,0,11,-3,12,-3,0,0,0,0,0,0,-5,-13,-7,-15,-6,-10,-7,-14,-9,-16,-6,-13,-10,-16,-7,-13,-9,-18,-11,-11,-11,-12,-14,-12,-15,-13,-16,-12,-12,-13,-14,-11,-17,-11,-17,-13,-15,-11,-20,-13,-15,-10,-20,-12,-16,-6,-20,-7,-23,-6,-25,-6,-25,-6,-22,-9,-25,-6,-26,-5,-28,-7,-25,-4,-31,-9,-25,-7,-28,-7,-23,-3,-30,-2,-29,-2,-31,0,-33,-5,-32,-4,-27,-9,-31,-6,-33,-9,-29,-8,-30,-11,-24,-11,-30,-11,-22,-6,-26,-7,-25,-7,-28,-5,-26,-9,-26,-9,-20,-12,-20,-12,-19,-13,0,0,0,0,0,0,0,0,0,0]"""
1782109825214,2026-06-22T15:30:25.214,safe,posture,yja,standing_still,t017,"CSI_DATA,492371,1a:00:00:00:00:00,-62,11,-99,17,48,11,1129012343,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,3,-5,1,-6,1,-6,1,-8,0,-7,1,-6,0,-9,2,-6,-1,-7,0,-6,0,-7,-1,-7,-1,-7,-1,-6,-1,-8,-1,-7,-1,-8,-1,-4,-1,-6,0,-6,1,-6,-1,-7,0,-4,-1,-3,0,-5,0,-5,0,-5,0,-3,-1,-3,0,-3,1,-1,1,-2,1,-1,0,-3,3,-3,1,-3,2,-2,2,-1,3,0,2,0,3,-1,5,-1,5,0,5,0,2,2,5,0,5,4,5,3,6,4,7,2,6,2,8,3,8,3,9,3,9,6,10,6,10,0,0,0,0,0,0,13,-5,15,-8,10,-6,13,-6,16,-8,13,-5,17,-9,14,-8,18,-8,13,-8,13,-8,16,-12,17,-9,16,-14,13,-10,15,-10,16,-10,18,-12,15,-11,22,-13,17,-10,18,-13,15,-10,16,-13,17,-17,18,-15,20,-19,19,-15,20,-16,20,-17,24,-18,20,-18,30,-15,25,-13,23,-17,18,-11,23,-19,25,-13,23,-20,29,-15,29,-15,27,-8,30,-10,33,-10,30,-10,32,-3,28,0,30,-6,20,-3,29,-3,26,-1,29,-4,28,1,29,1,22,6,23,6,23,7,0,0,0,0,0,0,0,0,0,0]"""
1782109825218,2026-06-22T15:30:25.218,safe,posture,yja,standing_still,t017,"CSI_DATA,492372,1a:00:00:00:00:00,-62,11,-99,21,47,11,1129021475,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,-5,-4,-5,-5,-5,-5,-4,-5,-5,-4,-5,-5,-5,-6,-6,-5,-5,-6,-6,-3,-6,-3,-5,-4,-5,-5,-5,-5,-6,-3,-8,-2,-6,-3,-5,-3,-5,-1,-5,-1,-7,-3,-6,-1,-4,-1,-4,-1,-5,0,-4,0,-5,0,-3,0,-2,1,-5,0,-3,2,-2,1,-1,1,-1,1,-1,3,-1,5,0,3,1,3,2,4,1,2,3,4,3,3,2,2,3,3,5,2,6,1,6,1,6,0,6,0,8,0,10,0,10,-1,9,-3,8,-5,10,-5,11,-6,0,0,0,0,0,0,-10,-11,-11,-13,-10,-11,-10,-11,-12,-11,-12,-10,-13,-10,-15,-8,-15,-8,-15,-8,-16,-8,-15,-9,-19,-5,-18,-7,-18,-5,-20,-5,-20,-2,-20,-1,-22,-2,-22,3,-19,5,-22,4,-21,3,-22,5,-22,4,-23,11,-24,8,-22,12,-24,11,-22,13,-23,14,-24,15,-20,20,-20,21,-22,22,-22,20,-22,18,-22,20,-23,21,-20,24,-22,22,-19,23,-20,22,-20,24,-20,23,-16,25,-16,25,-19,24,-18,22,-17,20,-18,21,-18,19,-17,22,-18,18,-15,19,-17,18,-17,17,0,0,0,0,0,0,0,0,0,0]"""
1782109825221,2026-06-22T15:30:25.221,safe,posture,yja,standing_still,t017,"CSI_DATA,492373,1a:00:00:00:00:00,-62,11,-99,20,48,11,1129031559,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,5,3,6,4,5,2,5,4,6,4,6,2,6,5,6,1,7,3,6,2,6,2,7,1,8,1,7,2,6,3,8,2,6,0,8,1,5,0,5,1,6,1,5,0,5,0,5,2,4,1,5,1,4,1,4,2,4,2,3,1,3,1,1,1,2,1,2,4,0,2,1,2,1,2,1,2,0,2,0,3,-2,3,-1,4,-2,5,-2,4,-3,5,-5,5,-3,5,-5,5,-5,4,-7,4,-8,6,-7,5,-8,5,-9,8,-8,7,-8,0,0,0,0,0,0,-13,-9,-10,-9,-12,-10,-13,-10,-13,-9,-14,-10,-13,-8,-15,-9,-13,-9,-14,-10,-15,-9,-11,-11,-18,-9,-14,-11,-15,-12,-15,-12,-16,-10,-17,-11,-19,-12,-18,-7,-20,-8,-20,-10,-19,-11,-20,-10,-20,-12,-22,-10,-20,-13,-20,-12,-22,-16,-21,-13,-22,-15,-24,-16,-25,-10,-26,-11,-26,-16,-27,-18,-21,-16,-25,-17,-24,-22,-26,-20,-21,-21,-21,-21,-20,-23,-18,-23,-17,-26,-20,-19,-20,-23,-16,-26,-15,-27,-10,-23,-12,-26,-8,-26,-10,-27,-4,-26,-4,-25,-2,-25,0,-24,0,0,0,0,0,0,0,0,0,0]"""
1782109825224,2026-06-22T15:30:25.224,safe,posture,yja,standing_still,t017,"CSI_DATA,492374,1a:00:00:00:00:00,-62,11,-99,16,48,11,1129041863,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,7,0,8,0,8,1,6,1,5,1,7,1,8,0,8,1,6,2,5,3,7,1,7,3,7,3,6,1,6,1,6,3,7,2,5,3,5,4,7,1,4,3,5,2,5,3,3,2,3,2,3,1,4,1,4,1,3,0,5,0,3,0,2,-1,3,-2,1,-1,1,-1,1,0,2,-3,2,-2,4,-3,1,-3,0,-4,0,-3,-1,-5,-1,-4,0,-5,-1,-7,0,-6,-1,-7,-3,-7,-2,-9,-3,-9,-3,-9,-3,-9,-3,-10,-3,-11,0,0,0,0,0,0,-13,6,-16,7,-12,5,-13,6,-15,7,-14,6,-15,7,-15,7,-16,6,-15,7,-14,7,-16,7,-16,11,-17,9,-17,8,-17,9,-17,9,-18,9,-18,10,-16,12,-16,13,-18,12,-17,12,-17,14,-19,12,-20,16,-20,13,-20,13,-22,14,-21,14,-23,16,-23,15,-22,18,-22,18,-25,16,-24,16,-24,16,-26,14,-27,15,-27,15,-29,12,-27,10,-29,10,-30,10,-30,8,-29,11,-27,7,-30,5,-26,5,-26,3,-27,2,-27,0,-27,0,-27,-3,-24,-4,-25,-6,-24,-7,0,0,0,0,0,0,0,0,0,0]"""
1782109825226,2026-06-22T15:30:25.226,safe,posture,yja,standing_still,t017,"CSI_DATA,492375,1a:00:00:00:00:00,-62,11,-99,16,48,11,1129055174,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-5,3,-5,3,-7,2,-7,3,-7,4,-4,4,-5,5,-6,5,-5,4,-7,5,-4,5,-5,5,-5,4,-5,4,-5,5,-5,4,-4,3,-5,3,-5,3,-7,3,-8,3,-3,3,-5,3,-5,2,-5,3,-4,2,-3,1,-3,1,-4,0,-4,0,-3,0,-3,-1,-3,-1,-2,-1,-2,-1,-1,0,-1,-1,-1,-1,-2,-3,0,-3,0,-3,0,-2,0,-5,0,-4,0,-5,1,-5,2,-4,3,-7,3,-7,4,-7,4,-7,5,-6,5,-7,7,-9,7,-7,7,-6,11,0,0,0,0,0,0,11,7,13,8,11,7,15,6,15,8,14,5,16,8,13,6,18,6,16,5,16,5,18,4,16,5,20,5,19,5,18,5,20,5,20,3,18,0,24,3,20,1,23,-1,19,1,23,-1,25,-3,24,-1,26,-3,25,-4,24,-2,26,-3,27,-4,24,-5,32,-4,27,-6,29,-7,25,-4,31,-10,29,-5,29,-7,28,-5,31,-5,31,-3,31,0,31,-2,27,-5,33,-2,27,-1,30,-5,25,0,30,-1,27,1,27,0,26,1,27,4,25,5,22,7,21,6,0,0,0,0,0,0,0,0,0,0]"""
1782109825229,2026-06-22T15:30:25.229,safe,posture,yja,standing_still,t017,"CSI_DATA,492377,1a:00:00:00:00:00,-62,11,-99,17,48,11,1129074862,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-8,0,-4,0,-8,0,-5,0,-9,-1,-8,-2,-6,-3,-8,-1,-5,-3,-7,-2,-8,-3,-6,-1,-5,-3,-6,-3,-6,-3,-6,-4,-5,-2,-6,-3,-6,-4,-6,-3,-4,-2,-3,-3,-4,-1,-5,0,-5,-3,-3,-2,-5,-3,-3,0,-5,0,-4,-1,-4,0,-3,0,-3,0,-3,0,-2,0,-1,0,-1,1,-3,3,-1,3,-1,2,0,3,-1,2,0,5,-3,5,-1,5,0,5,-1,5,0,6,0,8,1,9,1,7,1,10,1,8,2,11,0,12,0,12,0,0,0,0,0,0,15,0,11,-3,19,-2,15,-3,13,-2,18,-3,14,0,19,-3,15,-3,22,-1,20,-2,17,-1,18,-2,17,-1,20,-3,19,-4,19,-4,18,-4,21,-5,17,-5,23,-7,18,-7,27,-6,23,-5,20,-6,23,-4,21,-5,26,-8,24,-8,25,-6,22,-5,28,-6,23,-6,29,-9,27,-6,37,-6,31,-1,31,-1,30,0,28,0,27,1,33,-1,30,1,26,1,30,3,26,1,33,3,27,5,35,11,25,11,25,11,23,15,20,13,20,13,23,16,18,14,17,16,0,0,0,0,0,0,0,0,0,0]"""
