pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782103409768,2026-06-22T13:43:29.768,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764288,1a:00:00:00:00:00,-53,11,-98,18,37,11,518985360,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,1,10,1,9,2,10,3,9,2,9,3,11,4,10,5,11,5,11,5,11,6,11,6,9,7,10,8,10,7,10,9,8,8,10,10,10,10,8,11,9,10,8,9,8,11,8,9,7,9,7,10,7,10,8,9,7,8,7,10,9,9,7,8,8,9,9,8,9,8,9,7,10,7,11,6,10,7,11,6,11,5,11,6,10,6,11,6,11,5,11,5,11,5,12,6,12,5,13,4,14,6,14,6,14,5,14,5,14,5,0,0,0,0,0,0,7,-14,5,-14,5,-14,5,-13,5,-14,5,-13,5,-13,5,-14,4,-13,4,-12,3,-13,2,-13,2,-13,2,-13,2,-12,1,-12,0,-13,0,-13,1,-12,0,-13,0,-12,0,-12,0,-11,-1,-12,0,-13,-1,-12,-1,-12,-2,-11,-2,-14,-4,-13,-2,-12,-3,-12,-1,-13,-2,-13,-2,-12,0,-14,-1,-13,0,-13,-1,-14,0,-12,-1,-11,-1,-13,0,-12,0,-12,0,-11,0,-11,0,-10,0,-11,1,-10,0,-9,1,-9,0,-9,1,-9,2,-8,2,-8,2,-7,4,-7,0,0,0,0,0,0,0,0,0,0]"""
1782103409775,2026-06-22T13:43:29.775,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764289,1a:00:00:00:00:00,-53,11,-98,16,37,11,518993396,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,1,-9,0,-9,0,-10,0,-10,0,-10,-2,-10,-2,-9,-3,-10,-4,-10,-4,-10,-5,-9,-5,-10,-6,-10,-7,-9,-7,-9,-9,-8,-8,-8,-10,-7,-9,-8,-10,-8,-10,-7,-12,-6,-10,-7,-11,-6,-12,-6,-10,-5,-12,-5,-11,-5,-12,-5,-11,-5,-11,-5,-11,-5,-12,-4,-12,-4,-12,-5,-11,-5,-10,-5,-10,-4,-11,-6,-11,-5,-11,-7,-11,-5,-10,-8,-11,-5,-9,-7,-10,-6,-11,-7,-10,-7,-11,-6,-13,-7,-12,-7,-12,-7,-13,-6,-13,-8,-14,-8,-12,-7,-14,0,0,0,0,0,0,-14,5,-15,5,-13,6,-14,6,-14,6,-12,5,-13,5,-15,5,-14,5,-13,5,-11,5,-11,5,-12,6,-12,5,-12,4,-11,5,-11,6,-12,5,-11,5,-10,6,-10,7,-11,6,-10,6,-11,6,-11,5,-11,5,-11,6,-11,7,-11,6,-10,7,-10,6,-11,6,-12,6,-12,6,-11,5,-12,5,-13,6,-12,4,-12,6,-12,4,-11,3,-11,3,-13,3,-12,2,-11,1,-11,2,-10,0,-12,1,-10,0,-8,0,-10,0,-9,0,-8,-1,-9,-1,-8,-2,-7,-1,-7,-3,0,0,0,0,0,0,0,0,0,0]"""
1782103409782,2026-06-22T13:43:29.782,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764290,1a:00:00:00:00:00,-53,11,-98,17,37,11,519004395,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-9,0,-9,0,-9,-2,-9,-2,-9,-4,-8,-4,-9,-5,-10,-6,-9,-6,-9,-8,-9,-7,-10,-8,-8,-8,-7,-10,-8,-10,-8,-10,-7,-10,-6,-10,-5,-12,-8,-12,-5,-12,-6,-11,-5,-12,-3,-13,-4,-11,-3,-12,-3,-12,-2,-11,-4,-12,-2,-11,-3,-12,-3,-11,-2,-11,-3,-12,-4,-12,-3,-11,-4,-12,-3,-12,-4,-12,-4,-12,-5,-11,-3,-12,-5,-11,-4,-10,-5,-11,-4,-11,-5,-11,-6,-13,-5,-12,-5,-13,-5,-12,-5,-14,-4,-13,-5,-16,-5,-14,-5,-13,0,0,0,0,0,0,-16,4,-16,3,-15,4,-14,3,-13,4,-13,4,-14,4,-15,3,-14,4,-14,3,-12,4,-11,4,-12,3,-12,3,-12,3,-10,4,-12,5,-13,4,-12,4,-11,4,-12,6,-12,3,-10,5,-10,4,-11,4,-12,5,-11,5,-11,6,-12,5,-11,6,-12,5,-12,5,-13,3,-13,5,-11,4,-13,3,-13,4,-12,3,-12,3,-12,2,-11,2,-12,1,-13,0,-12,1,-11,0,-11,1,-11,0,-11,0,-9,-1,-9,-1,-9,-2,-8,-1,-9,-2,-8,-2,-8,-3,-7,-3,-7,-4,0,0,0,0,0,0,0,0,0,0]"""
1782103409788,2026-06-22T13:43:29.788,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764293,1a:00:00:00:00:00,-53,11,-98,17,37,11,519038159,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,6,6,6,8,6,8,6,8,6,8,5,9,6,9,5,10,5,10,6,10,6,11,5,11,4,11,5,12,5,12,6,12,4,11,3,13,4,14,4,12,5,12,5,12,5,13,7,11,5,12,5,12,4,11,6,10,6,10,7,11,8,10,6,10,8,9,8,9,8,8,10,7,9,8,10,8,10,7,10,6,10,5,12,6,10,5,11,4,13,5,13,3,13,3,14,3,14,2,13,2,14,2,14,2,16,0,14,0,15,0,0,0,0,0,0,0,0,-15,0,-15,-2,-15,-1,-14,-2,-15,-2,-13,-2,-14,-3,-14,-3,-13,-4,-12,-4,-11,-4,-11,-6,-11,-6,-11,-7,-11,-7,-10,-8,-10,-8,-9,-8,-10,-9,-9,-10,-8,-9,-8,-8,-8,-9,-7,-9,-8,-10,-6,-10,-6,-11,-4,-12,-6,-12,-3,-12,-4,-12,-4,-12,-4,-12,-3,-12,-3,-13,-4,-12,-3,-12,-3,-12,-3,-12,-2,-11,-3,-12,-2,-12,-2,-11,-2,-12,-2,-12,-2,-10,-2,-11,-1,-9,-1,-8,-2,-9,-2,-8,-2,-8,-2,-9,-3,-8,-2,-7,-2,-7,-3,0,0,0,0,0,0,0,0,0,0]"""
1782103409796,2026-06-22T13:43:29.796,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764294,1a:00:00:00:00:00,-53,11,-98,17,37,11,519048395,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,-4,-6,-5,-7,-5,-7,-7,-7,-7,-6,-8,-5,-9,-4,-9,-5,-10,-4,-9,-3,-12,-3,-11,-4,-13,-4,-12,0,-12,0,-13,-1,-13,0,-13,1,-12,0,-12,1,-11,1,-13,3,-12,2,-13,3,-14,2,-12,4,-13,3,-13,3,-12,3,-13,4,-10,3,-12,3,-12,4,-11,3,-12,4,-12,2,-10,2,-12,4,-11,2,-12,3,-11,1,-12,2,-12,2,-13,3,-13,3,-12,2,-12,3,-12,1,-13,3,-13,2,-14,2,-14,4,-15,3,-14,2,-15,2,-16,4,-14,0,0,0,0,0,0,-15,-6,-14,-5,-16,-3,-14,-5,-14,-4,-13,-5,-13,-4,-14,-5,-13,-4,-13,-5,-13,-4,-11,-5,-12,-3,-12,-4,-12,-3,-12,-2,-12,-3,-12,-2,-11,-3,-12,-2,-13,-1,-12,-3,-12,-1,-12,-2,-12,-3,-12,-2,-12,-3,-13,-1,-13,-2,-13,0,-12,-2,-13,-3,-12,-2,-13,-1,-12,-2,-13,-3,-13,-3,-12,-4,-13,-4,-11,-4,-11,-4,-12,-5,-11,-6,-11,-5,-10,-6,-9,-5,-9,-7,-9,-6,-8,-8,-8,-6,-6,-6,-5,-6,-6,-6,-6,-7,-4,-7,-4,-7,-2,-8,0,0,0,0,0,0,0,0,0,0]"""
1782103409802,2026-06-22T13:43:29.802,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764295,1a:00:00:00:00:00,-53,11,-98,20,36,11,519059395,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-8,4,-8,4,-8,5,-9,6,-8,6,-8,6,-8,7,-7,8,-9,8,-7,9,-8,9,-7,10,-8,10,-9,10,-7,11,-7,11,-8,12,-6,12,-5,11,-7,10,-5,12,-7,11,-6,12,-6,13,-6,12,-6,12,-5,13,-6,11,-6,10,-7,11,-6,10,-7,11,-8,10,-8,10,-9,9,-8,10,-7,9,-8,9,-9,8,-9,8,-10,6,-10,7,-10,6,-12,7,-11,6,-11,7,-11,5,-11,5,-13,5,-14,4,-14,5,-13,7,-13,7,-14,4,-15,4,-14,3,-15,0,0,0,0,0,0,-17,-5,-15,-5,-16,-2,-15,-3,-14,-2,-15,-2,-14,-1,-15,-1,-14,0,-14,-1,-12,0,-12,0,-14,0,-14,1,-14,0,-12,1,-12,3,-12,3,-13,1,-12,4,-12,4,-12,4,-10,5,-11,5,-12,5,-11,6,-11,5,-10,7,-12,6,-10,8,-11,6,-11,8,-11,8,-10,8,-10,7,-11,8,-10,7,-10,9,-10,8,-10,7,-9,7,-10,7,-10,7,-10,7,-9,6,-8,7,-10,6,-9,6,-9,5,-8,5,-9,4,-8,5,-8,4,-8,4,-8,2,-7,2,-8,1,0,0,0,0,0,0,0,0,0,0]"""
1782103409808,2026-06-22T13:43:29.808,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764296,1a:00:00:00:00:00,-53,11,-98,16,37,11,519070463,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,-9,0,-10,0,-10,2,-10,2,-9,1,-9,3,-11,3,-12,3,-11,4,-11,3,-10,4,-13,5,-12,6,-11,6,-12,5,-12,7,-12,6,-11,5,-10,6,-10,7,-12,7,-11,7,-12,8,-12,6,-12,7,-12,6,-11,6,-11,6,-12,6,-10,6,-11,5,-12,5,-11,5,-13,3,-12,4,-11,2,-12,2,-13,1,-13,2,-13,0,-13,1,-12,0,-14,0,-12,0,-12,0,-13,-1,-12,-1,-14,-1,-15,-1,-15,-1,-15,-1,-15,0,-15,-3,-16,-3,-16,-2,-15,0,0,0,0,0,0,-16,1,-16,4,-14,6,-14,3,-14,5,-13,4,-13,5,-14,5,-13,5,-12,5,-11,6,-11,6,-11,7,-11,7,-10,7,-9,8,-9,9,-9,9,-10,8,-8,9,-7,10,-8,10,-6,10,-6,10,-7,10,-6,11,-6,11,-4,12,-6,12,-3,12,-5,11,-4,12,-5,13,-4,13,-3,11,-5,13,-4,12,-3,12,-4,13,-5,12,-3,12,-4,11,-4,12,-4,11,-4,11,-3,11,-4,10,-4,11,-5,9,-3,8,-4,8,-3,8,-4,8,-3,7,-5,7,-4,6,-5,5,0,0,0,0,0,0,0,0,0,0]"""
1782103409815,2026-06-22T13:43:29.815,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764297,1a:00:00:00:00:00,-53,11,-98,16,37,11,519081395,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-6,-5,-7,-4,-8,-3,-9,-2,-9,-1,-10,-2,-10,0,-10,0,-12,0,-11,0,-12,0,-12,0,-13,1,-13,3,-13,3,-13,3,-14,5,-12,4,-12,7,-12,8,-12,6,-10,6,-11,7,-12,7,-12,7,-12,8,-10,9,-11,8,-9,7,-10,8,-9,9,-10,8,-10,8,-9,9,-10,9,-9,7,-9,7,-11,7,-10,6,-11,7,-10,7,-10,8,-10,7,-11,8,-10,7,-10,8,-11,6,-11,8,-11,8,-12,7,-13,7,-12,9,-13,10,-11,9,-14,9,-12,8,-12,0,0,0,0,0,0,-11,-10,-11,-9,-12,-9,-12,-10,-11,-10,-11,-9,-11,-8,-11,-10,-9,-8,-9,-9,-10,-9,-9,-8,-10,-9,-10,-7,-10,-8,-10,-7,-11,-7,-10,-6,-10,-7,-9,-7,-11,-6,-10,-7,-10,-6,-10,-6,-9,-7,-10,-7,-10,-7,-11,-6,-11,-7,-11,-5,-10,-6,-12,-8,-11,-7,-11,-6,-10,-7,-11,-9,-11,-8,-10,-8,-9,-9,-9,-9,-8,-7,-10,-9,-9,-9,-8,-8,-6,-9,-7,-8,-6,-9,-6,-9,-4,-9,-4,-9,-4,-8,-3,-8,-2,-9,-1,-8,-2,-8,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0]"""
1782103409822,2026-06-22T13:43:29.822,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764298,1a:00:00:00:00:00,-53,11,-98,15,37,11,519092395,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-9,-2,-8,-2,-10,-1,-10,0,-10,1,-11,1,-11,2,-11,3,-12,4,-11,4,-12,5,-12,5,-13,6,-13,7,-10,8,-11,8,-11,10,-12,9,-10,10,-8,12,-7,10,-9,11,-9,11,-10,11,-9,10,-9,11,-7,11,-8,11,-7,11,-8,10,-7,12,-7,12,-7,11,-6,11,-7,11,-6,11,-7,11,-8,10,-7,11,-8,10,-8,11,-8,11,-7,10,-10,11,-7,11,-8,11,-7,11,-8,10,-8,12,-9,11,-10,11,-10,13,-9,13,-9,13,-10,12,-9,12,-11,0,0,0,0,0,0,-8,-14,-7,-14,-9,-12,-7,-13,-7,-13,-8,-13,-8,-11,-7,-12,-8,-13,-8,-12,-8,-11,-7,-11,-7,-11,-7,-11,-7,-12,-6,-10,-8,-11,-8,-10,-7,-10,-8,-10,-9,-9,-8,-11,-8,-9,-7,-10,-8,-11,-8,-10,-8,-10,-10,-9,-9,-10,-9,-10,-9,-10,-9,-10,-8,-11,-8,-10,-8,-10,-7,-10,-7,-11,-7,-11,-6,-12,-6,-11,-6,-11,-6,-11,-5,-11,-6,-11,-4,-11,-4,-11,-2,-10,-3,-11,-2,-10,-2,-10,-1,-10,-1,-9,0,-9,1,-10,0,-8,0,-8,1,-7,0,0,0,0,0,0,0,0,0,0]"""
1782103409828,2026-06-22T13:43:29.828,safe,transition,lmh,lie_to_stand,t015,"CSI_DATA,764299,1a:00:00:00:00:00,-53,11,-98,20,36,11,519103417,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,-1,-10,-1,-9,-1,-10,-3,-9,-3,-10,-4,-9,-4,-9,-5,-10,-5,-9,-6,-10,-7,-9,-6,-11,-7,-10,-8,-10,-9,-10,-8,-11,-8,-10,-10,-10,-9,-8,-10,-7,-10,-10,-9,-9,-10,-10,-9,-10,-11,-10,-8,-9,-9,-10,-10,-9,-9,-9,-8,-9,-8,-10,-9,-10,-9,-10,-8,-11,-8,-11,-6,-10,-6,-11,-6,-10,-7,-12,-5,-12,-6,-12,-4,-13,-4,-13,-3,-14,-4,-12,-3,-13,-2,-14,-2,-14,-3,-14,-2,-15,-1,-14,-1,-16,-2,-15,-1,-16,0,-17,0,-15,0,0,0,0,0,0,0,0,17,0,16,1,15,2,15,1,14,1,15,1,14,1,16,1,13,2,13,3,13,2,12,5,12,4,12,4,12,5,12,6,12,5,11,6,11,7,10,8,10,7,10,7,8,8,10,8,10,8,9,9,9,10,9,9,9,10,7,9,7,10,9,11,7,11,7,10,6,11,9,11,8,10,7,11,7,11,7,10,7,11,7,10,8,10,8,9,6,10,6,8,7,9,6,7,7,7,6,7,7,6,6,5,6,6,7,4,6,5,6,4,7,0,0,0,0,0,0,0,0,0,0]"""
