pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782133039666,2026-06-22T21:57:19.666,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157144,1a:00:00:00:00:00,-42,11,-99,17,26,11,62958514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-6,2,-6,0,-6,2,-7,3,-7,3,-7,4,-7,2,-8,4,-7,5,-9,6,-10,5,-8,6,-10,6,-10,6,-11,9,-11,8,-11,8,-12,10,-9,9,-12,7,-12,12,-11,12,-11,12,-12,14,-10,13,-12,12,-10,13,-11,18,-10,16,-10,14,-8,19,-9,19,-12,19,-9,18,-12,19,-10,19,-9,19,-12,22,-9,20,-12,20,-12,23,-8,24,-8,23,-13,24,-8,26,-14,25,-9,24,-14,26,-8,29,-10,31,-7,29,-6,31,-7,36,-5,35,-4,33,-4,34,-3,0,0,0,0,0,0,3,-33,2,-37,1,-36,3,-33,2,-33,4,-31,7,-32,6,-32,9,-30,10,-31,8,-28,7,-29,9,-25,6,-28,7,-28,7,-25,7,-26,8,-24,8,-22,11,-25,10,-25,11,-24,11,-23,12,-24,10,-25,12,-19,9,-23,10,-25,12,-22,11,-22,13,-20,12,-20,18,-21,15,-20,14,-18,18,-19,16,-21,18,-18,17,-18,17,-12,19,-13,21,-12,20,-10,19,-12,19,-11,20,-7,19,-6,19,-7,17,-2,19,-4,19,0,16,-1,16,1,17,3,14,3,14,4,13,5,0,0,0,0,0,0,0,0,0,0]"""
1782133039680,2026-06-22T21:57:19.680,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157145,1a:00:00:00:00:00,-42,11,-99,15,27,11,62969514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-4,0,-8,0,-7,0,-8,0,-7,0,-7,0,-9,0,-8,-1,-9,-1,-10,0,-9,-1,-11,0,-12,0,-10,0,-13,-1,-13,-1,-15,-1,-13,0,-15,-4,-17,0,-13,-3,-17,-3,-16,-2,-17,-2,-16,-2,-17,-3,-15,-2,-20,-4,-17,-4,-17,-4,-17,-7,-19,-6,-18,-8,-18,-8,-18,-8,-20,-9,-20,-9,-20,-13,-19,-13,-17,-11,-23,-11,-21,-17,-19,-11,-18,-19,-21,-13,-22,-20,-17,-18,-22,-18,-22,-17,-22,-17,-22,-17,-24,-21,-26,-21,-25,-21,-23,-23,-23,0,0,0,0,0,0,-24,22,-25,24,-21,22,-22,22,-26,24,-22,18,-25,24,-22,21,-23,24,-19,19,-19,20,-18,23,-17,19,-17,24,-16,22,-13,21,-15,25,-13,23,-11,19,-15,24,-11,22,-12,23,-8,20,-9,22,-9,25,-9,20,-8,26,-6,25,-8,24,-5,24,-7,25,-4,22,-9,26,-5,23,-5,22,-7,21,-5,26,-7,22,-4,24,-7,22,-6,22,-7,21,-8,21,-8,21,-7,19,-8,20,-9,17,-6,19,-6,13,-8,17,-8,14,-6,15,-9,13,-8,15,-8,10,-8,9,-9,9,0,0,0,0,0,0,0,0,0,0]"""
1782133039695,2026-06-22T21:57:19.695,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157146,1a:00:00:00:00:00,-42,11,-99,18,26,11,62980514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-5,2,-5,2,-5,2,-5,1,-6,4,-6,5,-8,2,-7,5,-8,5,-7,4,-10,5,-10,5,-10,5,-10,7,-10,6,-10,6,-13,5,-13,6,-13,11,-15,9,-15,8,-10,9,-12,9,-16,10,-15,10,-15,8,-14,10,-15,8,-15,10,-18,10,-15,14,-21,11,-17,9,-17,11,-19,9,-17,8,-19,10,-21,10,-21,7,-21,8,-20,7,-21,9,-24,7,-26,10,-28,12,-26,10,-26,10,-26,9,-22,10,-29,10,-32,10,-27,12,-30,15,-31,11,-34,15,-33,14,-33,0,0,0,0,0,0,-31,-17,-28,-14,-36,-16,-29,-13,-25,-14,-31,-15,-28,-12,-30,-17,-27,-12,-29,-19,-26,-17,-22,-13,-26,-15,-24,-15,-26,-14,-26,-10,-26,-10,-23,-10,-22,-10,-22,-10,-26,-9,-25,-8,-26,-10,-25,-11,-24,-9,-21,-10,-21,-10,-26,-6,-26,-7,-25,-7,-21,-6,-25,-7,-22,-9,-24,-5,-23,-6,-27,-12,-23,-10,-21,-10,-23,-12,-18,-11,-20,-10,-23,-11,-19,-13,-17,-10,-17,-11,-17,-11,-16,-13,-16,-12,-15,-16,-13,-13,-11,-13,-9,-15,-9,-13,-8,-15,-10,-16,-7,-12,-5,-13,0,0,0,0,0,0,0,0,0,0]"""
1782133039714,2026-06-22T21:57:19.714,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157147,1a:00:00:00:00:00,-42,11,-99,19,26,11,62991514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,6,4,4,5,4,6,6,5,5,6,4,6,7,8,4,6,5,8,7,8,8,9,7,9,6,13,7,6,8,13,6,13,6,13,5,15,7,16,6,16,4,14,5,16,5,17,6,16,4,17,4,21,7,14,8,19,4,17,8,22,4,19,5,19,5,22,8,20,6,18,7,20,8,20,8,20,6,26,10,20,10,26,7,26,8,30,3,22,8,26,5,28,8,28,6,29,9,31,8,33,5,35,3,28,8,32,5,37,3,33,0,0,0,0,0,0,38,3,31,3,40,2,34,4,29,3,36,7,27,1,38,6,26,5,34,8,31,5,25,9,31,5,26,8,27,8,28,6,28,5,26,6,31,10,22,4,28,3,24,7,26,6,25,7,22,8,26,4,22,7,23,5,26,7,24,8,22,8,27,13,22,4,26,7,21,10,28,13,22,13,22,12,22,14,20,13,17,13,19,14,19,14,17,13,17,17,15,12,15,15,13,17,13,19,7,14,9,15,6,16,7,14,5,16,4,15,2,14,0,15,0,0,0,0,0,0,0,0,0,0]"""
1782133039727,2026-06-22T21:57:19.727,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157148,1a:00:00:00:00:00,-41,11,-99,14,27,11,63002514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,7,3,5,3,7,4,5,4,6,4,7,5,8,4,10,5,7,5,9,6,9,5,10,7,9,8,11,10,10,7,10,10,8,7,11,8,14,10,13,10,15,10,10,11,12,11,12,10,12,14,13,12,15,15,12,10,14,14,11,10,15,10,15,10,17,12,18,13,18,13,15,14,18,15,21,15,18,13,21,16,18,14,22,14,15,11,21,12,21,14,24,11,26,15,26,16,20,16,25,20,24,19,26,21,24,22,25,18,26,19,0,0,0,0,0,0,22,-23,27,-27,18,-19,22,-23,26,-26,21,-17,26,-23,21,-20,26,-21,19,-15,17,-18,21,-20,20,-23,21,-24,20,-16,19,-19,19,-20,20,-19,17,-16,20,-21,14,-19,20,-20,11,-15,13,-17,15,-20,15,-22,17,-22,15,-17,17,-19,15,-20,18,-19,15,-19,20,-21,15,-17,17,-19,14,-15,15,-19,15,-17,15,-20,18,-17,19,-15,19,-11,20,-13,21,-13,18,-11,20,-10,16,-6,18,-10,12,-5,15,-6,16,-6,15,-7,16,-5,17,-3,14,0,15,0,14,1,0,0,0,0,0,0,0,0,0,0]"""
1782133039738,2026-06-22T21:57:19.738,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157149,1a:00:00:00:00:00,-41,11,-99,17,26,11,63013514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-5,0,-8,0,-6,-1,-8,0,-6,0,-7,-1,-8,0,-9,-3,-9,-1,-10,-1,-10,-3,-12,-1,-12,-2,-10,0,-15,-1,-12,-1,-15,-3,-12,0,-15,-2,-19,-1,-14,-4,-19,-3,-16,-4,-17,-3,-17,-2,-18,-3,-15,-1,-23,-4,-18,-4,-19,-3,-17,-6,-20,-5,-20,-9,-20,-7,-22,-9,-22,-7,-20,-6,-23,-12,-24,-11,-20,-10,-27,-8,-24,-13,-24,-9,-17,-17,-24,-12,-24,-19,-22,-14,-28,-17,-26,-14,-25,-14,-29,-15,-28,-16,-31,-13,-30,-14,-27,-18,-29,0,0,0,0,0,0,-29,15,-32,19,-23,16,-29,16,-35,18,-25,13,-32,17,-25,14,-30,17,-25,14,-25,15,-25,19,-25,14,-24,20,-23,15,-19,16,-21,20,-21,19,-17,15,-24,19,-18,18,-19,19,-15,17,-19,18,-18,22,-17,17,-17,23,-14,22,-16,20,-15,23,-17,20,-12,19,-21,22,-16,18,-15,19,-15,15,-15,23,-16,19,-15,21,-18,17,-15,18,-17,15,-17,15,-19,18,-14,15,-19,14,-16,9,-16,15,-12,9,-16,12,-15,10,-16,11,-15,7,-16,9,-13,3,-12,4,-14,3,0,0,0,0,0,0,0,0,0,0]"""
1782133039747,2026-06-22T21:57:19.747,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157150,1a:00:00:00:00:00,-41,11,-99,17,26,11,63024514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,6,4,4,5,6,5,4,5,6,7,6,6,6,10,6,6,6,8,7,9,8,9,9,6,7,10,14,8,9,9,13,7,10,6,8,6,13,9,13,12,17,10,14,10,15,10,15,10,15,8,14,9,20,9,16,10,18,8,15,12,17,11,16,13,19,13,19,13,19,10,19,12,22,17,21,13,19,14,27,10,22,17,22,10,16,19,20,13,23,20,20,17,25,19,27,12,24,17,29,15,28,18,31,16,30,16,25,19,31,0,0,0,0,0,0,29,-11,39,-14,25,-12,31,-11,38,-14,27,-8,36,-11,28,-9,34,-10,25,-7,26,-9,29,-11,28,-10,32,-12,26,-7,25,-8,28,-10,26,-9,22,-7,30,-12,21,-8,29,-10,19,-8,20,-10,25,-11,25,-11,26,-12,24,-11,25,-10,25,-12,25,-10,22,-10,30,-9,23,-7,24,-8,19,-6,25,-10,24,-6,25,-10,25,-6,26,-5,23,-2,25,0,25,-1,21,-2,25,1,19,3,22,0,12,1,19,2,18,2,16,1,17,4,18,6,12,6,12,8,12,8,0,0,0,0,0,0,0,0,0,0]"""
1782133039756,2026-06-22T21:57:19.756,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157151,1a:00:00:00:00:00,-41,11,-99,16,26,11,63035514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-7,2,-6,2,-8,2,-7,2,-8,2,-7,0,-8,1,-8,0,-9,0,-10,0,-12,1,-12,0,-14,0,-12,0,-16,-1,-15,0,-14,-1,-16,-2,-11,-2,-15,-2,-16,-3,-16,-4,-18,-4,-18,-6,-18,-6,-17,-5,-16,-5,-18,-9,-19,-7,-17,-6,-18,-10,-22,-8,-19,-8,-21,-7,-19,-8,-20,-9,-21,-10,-21,-12,-22,-8,-23,-9,-21,-13,-23,-15,-24,-9,-21,-13,-28,-13,-23,-15,-24,-12,-22,-15,-24,-16,-26,-20,-24,-19,-24,-21,-24,-24,-25,-24,-25,-23,-25,-23,0,0,0,0,0,0,-28,20,-30,21,-27,21,-27,18,-28,17,-29,16,-29,16,-31,14,-28,14,-31,11,-28,12,-27,15,-25,9,-27,14,-29,12,-24,10,-25,13,-26,9,-23,8,-26,8,-26,9,-26,9,-24,9,-24,8,-26,10,-23,7,-24,8,-26,10,-26,6,-25,8,-24,5,-24,6,-28,2,-26,2,-23,5,-28,0,-29,4,-25,0,-25,0,-23,-2,-24,-3,-24,-4,-22,-7,-22,-5,-21,-4,-21,-8,-18,-9,-18,-6,-16,-11,-17,-11,-14,-10,-14,-10,-12,-12,-11,-11,-10,-12,-8,-14,-7,-12,0,0,0,0,0,0,0,0,0,0]"""
1782133039767,2026-06-22T21:57:19.767,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157152,1a:00:00:00:00:00,-41,11,-99,17,26,11,63046514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,-1,6,0,6,0,6,0,8,0,9,0,8,0,9,0,8,0,12,0,12,0,12,0,12,0,12,1,13,2,16,3,14,3,16,4,15,2,14,0,15,5,15,4,18,6,17,6,18,4,17,6,18,5,19,9,19,6,18,7,19,9,21,8,19,7,20,7,20,8,19,6,23,6,23,8,24,6,23,6,23,8,25,9,25,7,27,11,28,10,27,11,26,10,25,12,28,9,31,12,27,11,30,12,30,17,32,13,31,16,32,16,0,0,0,0,0,0,19,-30,18,-25,19,-33,19,-29,18,-27,19,-27,20,-25,22,-28,18,-25,21,-25,20,-25,19,-23,19,-22,16,-23,18,-25,15,-22,16,-25,15,-22,16,-20,17,-19,15,-24,15,-21,17,-22,15,-21,15,-21,16,-18,14,-21,14,-25,15,-22,13,-20,15,-19,14,-20,19,-18,17,-22,14,-19,22,-22,19,-19,18,-18,19,-16,19,-12,17,-14,19,-15,21,-13,16,-12,19,-12,19,-10,19,-10,19,-11,19,-7,19,-6,17,-3,17,-2,16,-2,17,-2,17,0,15,0,15,2,0,0,0,0,0,0,0,0,0,0]"""
1782133039781,2026-06-22T21:57:19.781,safe,transition,mhw,lie_to_stand,t010,"CSI_DATA,157153,1a:00:00:00:00:00,-41,11,-99,16,26,11,63057514,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,-3,-8,-3,-3,-2,-5,-4,-6,-3,-6,-3,-8,-6,-4,-4,-10,-3,-7,-6,-11,-6,-12,-5,-13,-3,-12,-3,-13,-7,-11,-3,-16,-4,-14,-6,-15,-5,-15,-4,-9,-6,-18,-3,-14,-8,-17,-5,-17,-5,-17,-3,-17,-4,-20,-5,-16,0,-20,1,-19,0,-25,0,-21,0,-20,0,-23,0,-24,3,-19,3,-22,7,-23,5,-21,6,-25,7,-18,13,-22,15,-25,12,-30,14,-24,8,-25,14,-26,11,-23,16,-25,15,-24,24,-21,23,-29,21,-24,20,-22,27,-25,27,-26,24,0,0,0,0,0,0,25,28,22,21,30,26,25,24,22,19,28,21,23,15,33,19,24,14,28,20,27,16,22,17,29,13,23,13,28,11,26,8,28,8,24,6,27,9,24,0,30,0,26,2,29,0,26,1,25,1,27,0,24,0,25,-5,25,-2,24,-4,23,-3,30,-2,19,-9,24,-10,24,-8,29,-10,24,-4,23,-8,26,-4,23,-8,21,-7,23,-11,22,-9,20,-8,23,-6,17,-10,21,-9,19,-6,24,-6,17,-2,19,-5,16,-1,16,-4,17,0,15,-3,16,-1,16,0,0,0,0,0,0,0,0,0,0,0]"""
