pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782117512480,2026-06-22T17:38:32.480,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191400,1a:00:00:00:00:00,-67,11,-99,18,48,11,228375192,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,-10,-5,-13,-3,-13,-4,-16,-3,-14,0,-20,0,-19,1,-16,1,-16,2,-16,3,-20,4,-20,6,-19,5,-18,7,-22,7,-17,8,-22,6,-18,14,-25,14,-20,12,-17,12,-17,12,-15,15,-20,15,-17,14,-16,14,-14,14,-17,12,-15,15,-18,13,-15,20,-20,16,-17,15,-15,15,-15,14,-13,12,-14,14,-17,14,-15,13,-14,15,-17,11,-14,14,-19,14,-17,19,-20,15,-18,15,-18,17,-15,15,-15,15,-17,17,-20,15,-16,17,-18,17,-17,17,-19,19,-18,18,-17,0,0,0,0,0,0,-16,-19,-13,-14,-19,-20,-14,-15,-9,-13,-14,-17,-12,-15,-14,-18,-12,-12,-12,-20,-12,-16,-9,-13,-8,-12,-9,-14,-11,-14,-9,-12,-11,-14,-9,-12,-11,-12,-9,-10,-11,-12,-9,-9,-12,-14,-11,-13,-9,-10,-8,-9,-6,-8,-10,-11,-8,-11,-8,-10,-7,-9,-9,-9,-8,-9,-9,-10,-8,-9,-10,-14,-8,-12,-8,-10,-7,-12,-6,-9,-4,-8,-7,-11,-4,-11,-3,-9,-4,-11,-4,-7,-3,-10,-2,-9,-1,-11,-1,-8,0,-8,0,-8,0,-7,0,-6,0,-8,1,-6,1,-6,0,0,0,0,0,0,0,0,0,0]"""
1782117512486,2026-06-22T17:38:32.486,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191401,1a:00:00:00:00:00,-67,11,-99,13,49,11,228386762,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,10,-7,12,-10,11,-6,14,-8,11,-7,18,-9,18,-7,15,-6,15,-8,16,-5,19,-8,20,-6,19,-7,18,-6,22,-6,17,-5,22,-8,18,-7,25,-7,26,-6,22,-7,20,-4,18,-5,23,-7,21,-6,22,-5,20,-6,20,-8,17,-7,21,-10,19,-10,25,-12,22,-8,19,-10,20,-10,17,-10,16,-10,17,-15,17,-11,16,-11,17,-14,12,-13,15,-18,14,-17,19,-22,15,-17,15,-17,15,-17,13,-17,13,-19,14,-23,10,-19,11,-21,12,-20,10,-23,11,-23,11,-22,0,0,0,0,0,0,-22,-8,-20,-5,-26,-8,-21,-5,-15,-5,-23,-4,-18,-2,-22,-3,-18,-1,-23,-5,-20,-1,-17,-1,-16,-1,-15,-1,-18,0,-15,0,-17,1,-14,1,-17,2,-13,4,-13,5,-11,3,-18,3,-15,6,-14,6,-13,5,-11,5,-11,5,-13,6,-11,6,-8,5,-11,7,-10,8,-12,8,-10,7,-15,8,-9,8,-8,8,-11,6,-8,5,-8,5,-10,8,-10,7,-7,5,-9,6,-6,5,-7,7,-7,5,-8,5,-6,5,-6,3,-6,3,-6,3,-5,1,-7,2,-5,1,-5,2,0,0,0,0,0,0,0,0,0,0]"""
1782117512490,2026-06-22T17:38:32.490,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191402,1a:00:00:00:00:00,-67,11,-99,14,49,11,228405807,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-6,-11,-6,-11,-10,-12,-10,-12,-12,-10,-12,-11,-14,-11,-14,-7,-15,-9,-17,-8,-19,-6,-19,-5,-20,-4,-19,-4,-19,-1,-23,-1,-21,-1,-23,0,-24,3,-23,3,-23,3,-20,4,-24,6,-25,6,-21,7,-21,6,-20,5,-18,9,-22,8,-20,7,-20,9,-20,10,-22,9,-20,9,-20,9,-17,10,-20,10,-20,11,-19,9,-18,9,-16,11,-20,11,-18,10,-20,13,-19,12,-22,11,-19,12,-19,12,-16,14,-20,15,-21,12,-15,12,-16,18,-20,17,-18,15,-15,19,-19,0,0,0,0,0,0,-15,-16,-14,-19,-14,-19,-14,-16,-12,-17,-12,-16,-12,-19,-10,-16,-12,-18,-9,-17,-10,-17,-9,-15,-7,-14,-9,-16,-9,-15,-9,-14,-7,-15,-7,-13,-6,-12,-7,-15,-6,-12,-8,-14,-6,-14,-7,-14,-6,-13,-4,-12,-6,-12,-8,-14,-5,-12,-5,-12,-5,-11,-4,-9,-4,-14,-4,-14,-5,-12,-3,-12,-3,-14,-2,-13,-1,-13,-1,-11,-1,-11,-1,-12,1,-11,1,-11,0,-9,0,-10,1,-9,3,-9,3,-8,3,-7,3,-7,3,-6,4,-5,4,-5,4,-4,4,-3,4,-3,0,0,0,0,0,0,0,0,0,0]"""
1782117512494,2026-06-22T17:38:32.494,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191403,1a:00:00:00:00:00,-67,11,-99,17,48,11,228411464,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,5,-13,3,-14,3,-17,4,-15,3,-19,3,-17,1,-18,0,-16,0,-17,2,-20,4,-18,3,-21,3,-18,2,-20,0,-20,1,-23,0,-21,0,-25,-1,-23,-3,-22,-1,-21,-3,-22,-1,-24,1,-22,1,-22,0,-20,0,-20,-1,-21,0,-22,0,-20,1,-25,1,-24,0,-21,2,-22,1,-19,1,-20,3,-23,9,-20,8,-18,6,-19,7,-18,8,-19,8,-19,10,-23,10,-20,10,-19,11,-20,9,-19,10,-18,13,-20,17,-17,13,-18,14,-18,15,-17,17,-18,14,-19,15,0,0,0,0,0,0,17,15,17,15,20,17,15,15,13,13,15,13,17,12,17,12,15,10,17,12,16,13,15,9,12,9,14,8,17,6,14,5,15,5,15,3,15,5,13,5,14,3,15,2,17,3,15,3,15,0,15,1,12,0,15,-1,13,-1,13,-1,12,0,13,-1,13,-1,13,-1,12,-2,14,-2,15,0,13,-1,12,-1,10,0,11,-1,12,-3,11,-2,10,-2,10,0,9,0,9,-1,9,0,10,0,8,0,8,0,7,0,7,0,6,1,8,0,6,0,5,1,0,0,0,0,0,0,0,0,0,0]"""
1782117512498,2026-06-22T17:38:32.498,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191404,1a:00:00:00:00:00,-67,11,-99,19,48,11,228418804,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-13,-4,-13,-5,-16,-3,-13,-1,-17,0,-14,-1,-14,1,-19,0,-18,2,-21,3,-16,7,-20,5,-18,7,-20,6,-20,8,-24,6,-20,8,-22,10,-16,7,-16,13,-19,10,-21,15,-22,13,-17,15,-17,14,-17,16,-19,13,-17,15,-20,11,-17,13,-18,10,-12,10,-17,13,-16,11,-18,13,-19,16,-18,13,-15,15,-16,14,-19,11,-17,13,-20,11,-19,10,-20,9,-13,8,-19,12,-16,11,-21,11,-22,14,-21,11,-17,14,-20,14,-20,13,-22,13,-20,13,-19,10,-20,0,0,0,0,0,0,-19,-13,-20,-14,-13,-9,-19,-11,-20,-15,-15,-13,-18,-13,-15,-8,-16,-12,-13,-10,-12,-10,-14,-13,-16,-10,-16,-11,-11,-10,-13,-11,-13,-10,-13,-10,-13,-8,-16,-8,-12,-7,-14,-8,-10,-5,-11,-5,-14,-6,-13,-5,-14,-7,-10,-5,-11,-8,-11,-7,-13,-7,-12,-5,-13,-7,-10,-5,-13,-7,-9,-4,-10,-4,-10,-6,-11,-5,-11,-7,-10,-8,-7,-7,-7,-9,-8,-9,-7,-7,-8,-8,-6,-8,-6,-6,-4,-6,-5,-7,-4,-5,-4,-7,-5,-6,-2,-7,-1,-5,0,-7,0,-6,0,0,0,0,0,0,0,0,0,0]"""
1782117512501,2026-06-22T17:38:32.501,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191405,1a:00:00:00:00:00,-67,11,-99,19,48,11,228430362,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-6,-11,-7,-11,-8,-10,-10,-11,-10,-13,-13,-12,-13,-11,-14,-8,-14,-11,-15,-12,-17,-10,-17,-10,-17,-8,-16,-8,-16,-7,-22,-7,-20,-7,-20,-6,-23,-5,-23,-5,-20,-2,-20,-4,-22,-5,-25,-4,-21,-2,-22,-3,-20,-4,-19,-2,-22,-2,-20,-5,-21,-3,-22,-4,-24,-4,-20,-4,-20,-4,-19,-4,-22,-5,-21,-4,-20,-5,-19,-6,-17,-5,-20,-6,-22,-7,-22,-7,-22,-8,-22,-7,-22,-8,-22,-5,-19,-9,-21,-8,-23,-8,-20,-8,-20,-8,-23,-8,-23,-8,-21,-7,-22,0,0,0,0,0,0,-20,7,-21,7,-21,8,-21,7,-19,7,-20,8,-20,7,-17,7,-17,8,-19,8,-20,8,-17,8,-14,5,-16,7,-16,9,-14,8,-14,8,-12,7,-13,7,-14,8,-13,8,-11,10,-13,8,-13,9,-10,9,-10,7,-10,8,-10,9,-10,9,-11,8,-10,7,-9,8,-11,7,-9,7,-10,9,-11,8,-11,8,-10,7,-10,7,-11,5,-10,7,-10,7,-10,5,-8,4,-8,4,-9,4,-10,3,-9,4,-9,3,-9,2,-8,2,-7,1,-6,1,-7,0,-7,0,-5,0,-5,0,0,0,0,0,0,0,0,0,0,0]"""
1782117512504,2026-06-22T17:38:32.504,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191406,1a:00:00:00:00:00,-67,11,-99,15,49,11,228441731,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,3,12,5,10,5,13,8,13,6,16,9,14,12,10,10,13,11,10,12,14,13,14,14,13,14,12,14,14,18,11,12,12,17,13,14,14,21,11,24,8,20,8,20,7,19,12,20,11,20,10,19,8,17,10,20,10,15,12,19,11,17,14,22,9,20,10,19,8,20,8,16,10,16,15,16,13,17,11,14,11,17,14,11,17,13,16,17,20,20,13,18,16,16,11,19,13,14,16,17,20,16,17,12,16,14,17,16,20,14,17,17,17,16,0,0,0,0,0,0,17,-20,14,-15,16,-20,14,-16,11,-12,15,-17,10,-13,14,-17,9,-16,14,-16,13,-16,11,-12,10,-13,10,-12,9,-15,8,-14,7,-13,7,-13,8,-13,4,-12,5,-13,5,-13,7,-17,8,-13,5,-12,5,-13,5,-10,4,-14,4,-13,4,-11,4,-11,4,-13,1,-10,2,-13,2,-13,4,-16,6,-13,4,-11,6,-11,4,-10,4,-10,2,-11,4,-10,3,-8,5,-8,1,-8,4,-9,5,-8,6,-9,5,-5,5,-6,6,-4,5,-5,5,-4,5,-5,4,-4,4,-3,0,0,0,0,0,0,0,0,0,0]"""
1782117512507,2026-06-22T17:38:32.507,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191407,1a:00:00:00:00:00,-67,11,-99,21,48,11,228454395,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,2,12,2,16,3,13,3,16,6,11,5,12,5,15,8,15,7,18,11,13,11,12,13,14,13,13,16,14,14,16,19,13,15,14,19,9,15,10,14,12,19,14,19,11,22,7,19,8,21,7,21,7,21,8,18,9,23,7,19,8,20,6,15,10,17,8,19,10,19,10,19,10,22,5,19,6,21,8,21,10,17,8,22,7,17,12,18,7,14,12,19,10,18,11,20,12,20,11,23,7,17,7,22,8,19,10,20,8,22,8,20,10,20,0,0,0,0,0,0,19,-10,25,-11,16,-7,20,-8,23,-8,16,-6,21,-8,16,-6,21,-7,15,-4,14,-5,18,-7,17,-7,18,-7,16,-4,16,-3,15,-6,16,-6,14,-6,16,-7,12,-6,14,-7,11,-6,11,-7,14,-6,12,-7,14,-6,12,-4,14,-5,11,-5,13,-5,11,-6,15,-8,10,-6,11,-6,10,-3,12,-6,12,-6,12,-6,11,-5,13,-2,11,0,11,-1,12,-2,11,-2,11,-1,8,0,10,-1,6,0,9,0,8,1,8,0,7,0,8,1,5,2,5,3,5,3,0,0,0,0,0,0,0,0,0,0]"""
1782117512509,2026-06-22T17:38:32.509,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191408,1a:00:00:00:00:00,-67,11,-99,20,48,11,228462804,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,10,7,9,9,13,8,10,6,14,5,12,6,10,8,16,9,17,8,19,2,16,3,19,2,19,1,21,4,22,2,23,2,21,1,21,-1,17,2,18,2,24,1,23,0,26,-2,19,-2,23,-2,21,-4,23,-1,21,-3,24,-1,20,-1,21,-1,16,2,19,1,19,4,21,1,23,-1,22,-2,18,-1,21,0,24,2,23,0,22,0,21,4,20,1,16,6,20,4,19,9,21,6,24,5,24,1,18,1,26,6,23,4,21,2,23,3,23,6,23,0,0,0,0,0,0,23,-8,27,-5,16,-4,20,-6,24,-3,19,-2,20,-4,19,-5,21,-5,16,-2,13,-3,18,-6,18,-7,19,-7,15,-2,15,-3,15,-5,16,-4,15,-6,16,-6,13,-6,14,-5,10,-5,9,-7,13,-8,13,-9,14,-7,12,-6,13,-7,12,-6,15,-7,12,-8,13,-7,11,-5,11,-7,9,-4,9,-7,10,-7,9,-8,12,-6,12,-5,10,-1,11,-3,12,-3,10,-4,11,-2,9,-2,8,-2,5,-1,7,-1,8,-1,8,-1,8,0,9,0,5,1,6,1,6,2,0,0,0,0,0,0,0,0,0,0]"""
1782117512513,2026-06-22T17:38:32.513,safe,transition,yja,lie_to_stand,t010,"CSI_DATA,1191409,1a:00:00:00:00:00,-67,11,-99,15,49,11,228473804,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,-6,-11,-8,-10,-7,-10,-9,-11,-10,-10,-11,-10,-13,-8,-13,-13,-14,-7,-14,-7,-15,-8,-17,-7,-17,-6,-19,-8,-23,-9,-16,-9,-17,-7,-19,-7,-21,-5,-22,-4,-22,-7,-22,-2,-20,-3,-20,-2,-22,-2,-20,-2,-21,-3,-23,-6,-19,-6,-20,-4,-22,-5,-21,-3,-19,-6,-19,-5,-20,-7,-19,-5,-19,-7,-17,-7,-19,-7,-19,-5,-20,-10,-15,-11,-17,-8,-20,-10,-21,-7,-16,-11,-19,-8,-19,-13,-19,-10,-20,-12,-21,-11,-19,-14,-20,-11,-18,-12,-19,-12,-21,-13,-17,0,0,0,0,0,0,-19,13,-17,11,-19,14,-19,11,-17,9,-18,11,-15,11,-16,13,-16,10,-15,11,-15,10,-14,8,-13,13,-14,9,-13,9,-14,10,-13,10,-13,10,-14,11,-8,11,-8,11,-10,11,-10,12,-10,11,-10,10,-10,14,-8,9,-10,11,-11,11,-8,10,-9,10,-9,11,-5,11,-7,12,-8,10,-8,11,-10,9,-7,10,-10,9,-8,9,-7,8,-7,8,-8,7,-8,7,-9,7,-7,7,-7,7,-8,5,-8,5,-6,3,-7,4,-7,2,-7,3,-7,2,-7,1,-6,1,-5,0,0,0,0,0,0,0,0,0,0,0]"""
