pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782098732376,2026-06-22T12:25:32.376,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339262,1a:00:00:00:00:00,-58,11,-97,17,44,11,211667350,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,-6,5,-5,5,-6,6,-5,6,-5,6,-4,6,-4,7,-4,8,-4,8,-3,8,-3,8,-3,8,-3,8,-3,8,-1,9,-2,9,-2,9,-1,8,-1,8,0,8,0,8,0,8,0,8,0,8,0,6,0,7,0,6,1,6,0,6,0,5,1,5,0,5,1,4,1,4,0,4,0,4,0,3,0,3,0,3,0,2,0,2,0,2,0,2,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,-1,1,-1,1,-2,1,-2,1,-2,2,0,0,0,0,0,0,2,4,1,5,1,4,2,5,1,5,2,5,1,6,1,6,1,6,1,6,1,7,0,6,2,8,1,7,2,8,2,7,2,8,2,7,1,9,2,8,2,8,2,9,2,8,2,9,2,9,2,10,2,10,4,10,3,10,4,10,2,10,3,11,3,11,3,11,2,11,2,12,2,13,2,12,2,13,0,13,1,12,1,13,0,13,0,13,0,13,0,12,0,12,-1,13,-2,11,-1,10,-3,11,-2,10,-3,11,-4,10,-4,9,-4,9,-6,9,0,0,0,0,0,0,0,0,0,0]"""
1782098732382,2026-06-22T12:25:32.382,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339263,1a:00:00:00:00:00,-58,11,-97,17,44,11,211678316,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,6,4,6,4,7,4,7,3,7,4,7,4,7,4,7,4,7,4,8,5,7,6,8,5,8,4,8,4,8,5,8,4,8,4,6,4,7,5,8,4,7,4,7,5,6,3,7,4,5,4,6,4,6,3,5,4,4,2,5,4,4,3,2,4,4,4,3,3,3,2,3,2,2,3,1,2,2,3,1,1,1,2,2,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,-1,2,-1,1,-1,1,-2,1,-2,2,0,0,0,0,0,0,2,4,4,3,3,3,4,3,4,3,4,3,4,4,5,4,5,4,5,3,5,4,6,3,6,4,7,3,7,3,7,2,8,2,7,2,8,2,8,2,9,1,10,2,9,1,9,0,10,0,10,0,10,0,11,-1,11,-1,11,-2,11,-1,11,-2,11,-2,11,-3,11,-3,13,-3,12,-4,11,-4,13,-4,12,-3,11,-4,12,-4,12,-4,12,-5,12,-4,11,-4,11,-3,11,-5,11,-3,11,-5,11,-4,9,-4,11,-4,10,-3,10,-3,10,-2,9,-2,0,0,0,0,0,0,0,0,0,0]"""
1782098732388,2026-06-22T12:25:32.388,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339264,1a:00:00:00:00:00,-58,11,-97,16,44,11,211689316,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,-1,-8,-1,-9,0,-9,-1,-9,-1,-9,0,-9,0,-10,-1,-9,-2,-8,-2,-9,-1,-8,-1,-8,-1,-9,-2,-8,-1,-8,-2,-7,-1,-8,-2,-8,-2,-7,-1,-6,-1,-7,-2,-6,-1,-6,-2,-5,-1,-5,-1,-4,-1,-4,-1,-4,0,-4,0,-4,0,-3,0,-3,0,-3,0,-3,0,-2,0,-2,0,-2,0,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,0,-1,0,-2,0,-2,1,-1,0,-2,1,-2,0,0,0,0,0,0,-4,-2,-4,-2,-4,-2,-4,-2,-5,-2,-5,-2,-5,-3,-5,-3,-5,-3,-5,-3,-6,-3,-6,-2,-6,-2,-7,-2,-7,-2,-8,-2,-8,-1,-8,-2,-8,-2,-8,-1,-9,0,-9,-1,-9,0,-9,0,-10,0,-10,0,-10,0,-10,1,-11,0,-10,2,-11,1,-12,1,-12,0,-12,1,-11,1,-13,1,-13,2,-13,1,-13,2,-12,1,-12,2,-13,2,-13,1,-13,2,-12,1,-12,1,-11,0,-12,2,-11,0,-12,0,-11,0,-11,0,-11,0,-11,-1,-11,0,-10,-1,-10,-3,0,0,0,0,0,0,0,0,0,0]"""
1782098732393,2026-06-22T12:25:32.393,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339265,1a:00:00:00:00:00,-58,11,-97,15,44,11,211700316,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,1,8,1,8,2,8,2,7,2,8,2,8,2,9,2,8,2,9,3,9,3,9,2,10,2,8,3,9,2,9,1,9,3,8,2,9,2,7,3,8,3,7,2,7,2,8,1,6,1,7,1,7,2,6,1,7,0,5,1,6,0,6,0,4,0,4,0,3,0,3,0,4,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,0,0,0,0,0,4,0,4,0,5,0,4,0,6,0,5,0,6,0,7,0,7,0,7,0,6,0,7,0,7,-1,7,-1,7,-1,7,-2,8,-3,8,-4,8,-3,8,-4,7,-5,8,-4,7,-5,7,-5,7,-6,8,-7,7,-6,7,-8,7,-9,6,-9,6,-9,7,-9,7,-10,6,-11,6,-10,7,-11,6,-11,6,-10,6,-11,6,-11,5,-11,6,-11,6,-12,5,-12,6,-11,5,-12,5,-11,5,-12,5,-10,5,-10,5,-10,4,-10,6,-9,6,-9,5,-9,5,-8,6,-7,0,0,0,0,0,0,0,0,0,0]"""
1782098732399,2026-06-22T12:25:32.399,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339266,1a:00:00:00:00:00,-58,11,-97,20,43,11,211711316,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,5,6,5,7,5,7,4,7,4,8,3,8,3,8,2,9,3,9,3,8,2,9,2,9,0,9,1,9,2,9,0,9,0,9,0,8,-1,8,0,8,0,8,0,8,-1,7,0,7,-1,7,-1,6,-1,6,-1,6,-1,5,-1,5,-1,5,-1,4,-2,4,-1,4,0,3,0,3,-1,3,-1,3,-1,2,-1,2,0,2,-1,2,-1,2,-1,1,0,1,-1,0,0,0,-2,0,-1,0,-1,0,0,-1,-1,-1,-1,-2,-2,-1,-2,-2,0,0,0,0,0,0,-5,1,-5,1,-5,1,-5,0,-5,1,-6,1,-6,1,-7,1,-7,1,-6,0,-7,1,-6,0,-8,1,-8,1,-8,1,-8,1,-8,2,-8,1,-8,0,-9,1,-9,2,-9,2,-8,2,-10,1,-10,1,-10,1,-10,1,-11,2,-11,2,-11,2,-11,2,-11,2,-12,1,-12,1,-11,1,-13,0,-13,0,-13,0,-13,0,-12,0,-12,0,-13,0,-14,-1,-13,-1,-13,-1,-13,-1,-12,-2,-12,-3,-12,-2,-11,-4,-11,-4,-11,-4,-9,-5,-10,-6,-8,-6,-8,-6,-7,-8,0,0,0,0,0,0,0,0,0,0]"""
1782098732406,2026-06-22T12:25:32.406,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339268,1a:00:00:00:00:00,-58,11,-97,19,43,11,211734670,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,3,-7,2,-8,2,-8,2,-8,1,-7,1,-8,0,-8,0,-9,1,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-9,0,-8,0,-9,0,-8,0,-9,-1,-8,-1,-7,0,-7,-1,-7,0,-7,-1,-6,-1,-6,-1,-6,0,-5,-1,-5,-1,-5,0,-4,0,-4,0,-4,0,-4,0,-3,0,-3,0,-3,0,-3,0,-2,0,-2,0,-2,0,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-2,1,-2,2,-2,1,-3,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,-4,-3,-4,-3,-4,-4,-5,-4,-5,-4,-5,-4,-4,-4,-5,-4,-5,-4,-7,-4,-6,-4,-6,-4,-6,-4,-7,-4,-7,-4,-7,-5,-8,-4,-8,-3,-8,-5,-8,-3,-9,-3,-9,-4,-10,-4,-10,-4,-10,-3,-11,-3,-11,-3,-11,-4,-11,-4,-11,-4,-11,-3,-11,-3,-12,-5,-12,-4,-12,-4,-13,-4,-12,-4,-12,-4,-12,-4,-12,-5,-12,-4,-12,-5,-11,-5,-11,-6,-12,-5,-10,-6,-10,-5,-10,-7,-9,-6,-9,-7,-9,-7,-8,-7,-7,-7,-6,-8,0,0,0,0,0,0,0,0,0,0]"""
1782098732412,2026-06-22T12:25:32.412,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339269,1a:00:00:00:00:00,-58,11,-97,19,43,11,211744333,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,7,-4,6,-5,7,-5,6,-6,6,-5,5,-6,6,-6,5,-7,6,-7,6,-7,6,-7,6,-7,6,-7,5,-8,4,-8,4,-7,4,-8,4,-7,3,-8,3,-9,3,-8,3,-7,3,-7,2,-7,2,-7,3,-6,2,-6,2,-7,2,-5,2,-5,1,-5,1,-5,1,-4,1,-4,1,-4,1,-3,1,-3,1,-3,0,-3,2,-3,0,-2,0,-2,0,-2,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,0,-1,0,-1,0,-2,0,-2,0,-2,0,-3,0,-3,0,0,0,0,0,0,-4,-1,-5,-1,-4,-1,-5,-1,-5,-2,-5,-2,-6,-2,-7,-2,-6,-2,-7,-2,-7,-2,-7,-2,-8,-2,-8,-2,-7,-2,-7,-2,-9,-1,-8,-2,-8,-2,-8,-1,-9,-1,-9,-2,-9,0,-9,-1,-10,-1,-11,-1,-11,-1,-11,0,-12,0,-11,0,-11,0,-12,0,-12,-1,-12,0,-12,0,-13,-1,-14,0,-13,-1,-13,-1,-12,-1,-12,-1,-13,-2,-13,-2,-13,-2,-13,-3,-12,-2,-11,-3,-12,-3,-11,-3,-11,-3,-10,-4,-10,-3,-10,-5,-10,-5,-10,-7,-8,-5,-7,-6,0,0,0,0,0,0,0,0,0,0]"""
1782098732417,2026-06-22T12:25:32.417,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339270,1a:00:00:00:00:00,-58,11,-97,16,44,11,211755316,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,-3,7,-2,8,-2,8,-2,8,-1,8,-1,8,0,8,0,9,0,9,0,9,0,9,0,10,0,9,1,8,2,9,2,9,2,9,3,8,3,7,2,7,4,8,3,7,4,7,3,7,4,7,3,6,3,6,4,5,4,5,3,4,4,4,3,4,2,3,3,3,2,3,3,3,2,3,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,1,-1,0,-2,0,-2,0,-3,0,-3,0,0,0,0,0,0,0,0,5,0,5,0,5,-1,5,0,6,0,6,-1,6,-1,7,-2,7,-2,6,-1,7,-1,7,-1,8,-1,8,-2,7,-1,8,-1,8,-2,8,-1,8,-2,9,-1,9,-2,10,-1,9,-1,9,-2,10,-2,10,-2,10,-1,11,-2,11,-1,11,-2,11,-2,12,-4,12,-2,12,-2,11,-4,12,-3,12,-4,11,-4,12,-5,12,-5,11,-5,12,-6,11,-6,11,-6,11,-6,11,-8,10,-6,10,-7,8,-7,9,-8,8,-8,7,-9,6,-9,5,-8,5,-10,4,-11,3,0,0,0,0,0,0,0,0,0,0]"""
1782098732424,2026-06-22T12:25:32.424,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339271,1a:00:00:00:00:00,-58,11,-97,19,43,11,211766316,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-7,-2,-7,-2,-7,-3,-8,-2,-8,-2,-8,-2,-8,-2,-8,-2,-9,-3,-8,-3,-9,-3,-8,-3,-9,-3,-9,-2,-9,-2,-9,-3,-9,-2,-9,-2,-8,-3,-8,-2,-8,-2,-8,-2,-8,-3,-7,-3,-7,-3,-7,-2,-7,-3,-7,-2,-6,-2,-6,-2,-5,-2,-5,-2,-4,-2,-4,-2,-4,-2,-4,-2,-3,-2,-3,-2,-2,-1,-2,-1,-2,-1,-2,-1,-2,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,1,-2,1,-1,2,-1,2,-2,2,-1,0,0,0,0,0,0,-2,-3,-2,-4,-3,-4,-3,-4,-3,-4,-3,-5,-3,-5,-4,-6,-4,-5,-5,-5,-4,-5,-5,-5,-6,-5,-6,-5,-6,-5,-7,-4,-8,-4,-7,-4,-7,-4,-8,-3,-9,-3,-9,-3,-9,-3,-9,-3,-10,-3,-10,-2,-11,-1,-11,0,-11,0,-11,0,-11,0,-12,0,-12,0,-12,1,-12,0,-14,0,-13,0,-13,1,-13,1,-13,1,-12,1,-13,1,-14,2,-13,2,-13,2,-13,2,-12,1,-12,2,-12,1,-11,1,-12,1,-11,2,-11,1,-11,1,-11,0,-10,0,-10,-1,0,0,0,0,0,0,0,0,0,0]"""
1782098732429,2026-06-22T12:25:32.429,safe,transition,lmh,sit_to_stand,t010,"CSI_DATA,339272,1a:00:00:00:00:00,-58,11,-97,15,44,11,211777316,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,8,0,8,0,8,0,8,2,8,1,8,2,9,2,8,2,9,2,8,2,10,2,9,2,9,3,9,3,8,2,8,3,8,3,7,3,7,3,8,3,7,3,8,3,8,3,7,2,6,2,6,3,6,2,6,2,5,2,6,2,5,1,4,1,5,1,4,1,3,1,4,1,3,1,3,0,3,1,2,0,2,1,2,0,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,2,-1,2,-1,2,-1,3,0,3,0,0,0,0,0,0,4,2,4,3,4,3,4,3,5,3,5,3,5,3,5,3,6,3,6,4,6,3,6,3,7,3,7,3,7,4,7,3,8,3,8,3,8,4,9,2,10,1,10,2,8,1,10,2,10,3,10,1,11,2,11,0,11,0,11,0,11,0,12,0,12,0,13,0,12,0,14,0,13,0,13,0,14,0,13,0,12,0,13,0,14,0,13,0,13,0,13,0,13,0,13,0,12,1,11,0,12,1,11,1,11,2,11,2,11,2,10,3,10,4,0,0,0,0,0,0,0,0,0,0]"""
