pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782035286286,2026-06-21T18:48:06.286,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839714,1a:00:00:00:00:00,-47,11,-99,19,28,11,30554170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-20,14,-29,15,-22,11,-29,12,-28,8,-31,8,-30,7,-29,4,-39,9,-33,0,-34,-4,-39,-6,-39,-4,-39,-8,-46,-13,-35,-7,-44,-11,-37,-15,-37,-17,-39,-13,-34,-15,-46,-19,-31,-23,-31,-24,-36,-28,-31,-26,-29,-29,-36,-35,-29,-22,-35,-26,-28,-28,-33,-29,-28,-25,-31,-24,-30,-28,-35,-28,-26,-26,-28,-28,-29,-28,-26,-29,-29,-34,-30,-24,-34,-28,-26,-30,-31,-35,-23,-25,-33,-29,-28,-33,-34,-31,-29,-35,-28,-33,-30,-39,-31,-44,-23,-31,-24,-36,-28,-39,-23,-34,0,0,0,0,0,0,-41,19,-36,15,-40,17,-36,17,-35,11,-37,12,-30,11,-35,13,-30,11,-33,9,-28,11,-28,8,-31,14,-24,6,-26,4,-28,8,-25,11,-25,7,-29,8,-20,8,-24,12,-24,7,-22,11,-18,11,-20,9,-22,13,-22,7,-20,8,-22,11,-20,9,-22,7,-26,9,-18,9,-23,13,-22,6,-23,9,-19,6,-19,11,-22,8,-23,9,-22,4,-23,3,-23,1,-23,3,-25,1,-20,2,-24,0,-22,-2,-22,-4,-18,-2,-20,-1,-18,-4,-19,-2,-15,-7,-14,-8,-15,-9,-15,-11,0,0,0,0,0,0,0,0,0,0]"""
1782035286305,2026-06-21T18:48:06.305,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839715,1a:00:00:00:00:00,-47,11,-99,16,28,11,30565170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,-18,21,-21,17,-16,26,-21,18,-18,33,-22,34,-17,26,-9,33,-16,29,-8,38,-17,37,-14,37,-13,33,-12,44,-12,29,-10,44,-14,37,-14,53,-10,46,-4,36,-1,41,-5,37,2,46,-9,44,-5,41,-4,37,-2,48,-2,32,-8,44,-12,38,-6,57,-9,42,0,40,-5,44,-2,37,-4,34,-6,41,-17,38,-10,32,-9,38,-10,30,-20,40,-22,41,-16,57,-21,40,-8,41,-16,45,-5,36,-13,41,-16,45,-25,36,-20,44,-17,40,-17,40,-26,46,-20,42,-18,0,0,0,0,0,0,-18,-41,-13,-32,-22,-48,-14,-38,-9,-25,-18,-38,-14,-26,-21,-38,-16,-25,-16,-38,-13,-34,-9,-26,-14,-26,-9,-24,-17,-25,-16,-25,-17,-20,-16,-17,-16,-24,-16,-13,-20,-17,-17,-16,-24,-21,-17,-20,-17,-16,-16,-16,-14,-13,-21,-13,-21,-13,-17,-13,-14,-10,-20,-16,-17,-5,-22,-6,-21,-10,-30,-16,-20,-17,-20,-12,-21,-16,-17,-12,-17,-12,-24,-10,-21,-10,-16,-9,-17,-16,-18,-8,-20,-12,-17,-13,-21,-20,-12,-14,-13,-16,-10,-17,-10,-12,-10,-13,-13,-17,-10,-13,-9,-14,0,0,0,0,0,0,0,0,0,0]"""
1782035286316,2026-06-21T18:48:06.316,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839716,1a:00:00:00:00:00,-46,11,-99,20,27,11,30578607,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-14,24,-16,22,-21,24,-18,21,-25,22,-20,20,-16,21,-24,24,-28,28,-30,28,-29,13,-34,21,-33,20,-41,17,-40,17,-45,17,-38,17,-42,14,-33,9,-32,17,-41,18,-42,20,-46,18,-38,6,-44,9,-42,12,-48,5,-45,10,-46,9,-40,9,-42,6,-33,9,-34,16,-36,18,-37,21,-42,21,-44,16,-37,6,-40,13,-45,14,-42,17,-45,16,-41,14,-41,20,-30,13,-34,21,-34,24,-33,29,-42,29,-42,25,-38,13,-49,18,-46,18,-40,22,-46,16,-38,24,-38,24,0,0,0,0,0,0,18,41,20,48,17,30,17,37,20,44,10,37,13,37,14,33,14,37,12,25,16,22,16,28,22,30,21,28,9,25,14,28,18,24,16,25,16,24,17,22,17,18,17,22,14,14,17,13,18,14,24,14,22,17,17,16,21,17,21,18,21,21,22,16,22,16,21,14,21,16,17,10,21,10,21,12,22,9,25,16,20,17,14,18,20,18,18,18,16,17,16,18,13,16,14,16,10,13,13,13,13,14,17,14,13,16,12,17,6,14,5,18,4,18,0,0,0,0,0,0,0,0,0,0]"""
1782035286328,2026-06-21T18:48:06.328,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839717,1a:00:00:00:00:00,-46,11,-99,19,27,11,30587170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-20,12,-28,12,-20,6,-34,9,-24,8,-41,2,-39,-2,-30,-5,-32,-2,-28,-8,-42,-8,-39,-10,-38,-13,-31,-12,-37,-21,-26,-15,-42,-23,-34,-17,-43,-34,-34,-37,-27,-28,-26,-32,-21,-30,-30,-37,-28,-35,-23,-37,-19,-32,-21,-43,-17,-24,-24,-38,-20,-34,-28,-53,-12,-46,-16,-39,-12,-43,-9,-34,-12,-31,-24,-41,-16,-37,-12,-31,-9,-41,-19,-31,-21,-42,-12,-41,-15,-64,-1,-45,-15,-46,0,-48,-5,-37,-6,-43,-13,-54,-9,-39,-4,-49,-1,-48,-8,-49,-1,-52,2,-46,0,0,0,0,0,0,-45,-8,-31,-4,-56,-10,-42,-10,-27,-8,-45,-13,-28,-6,-41,-13,-28,-8,-43,-19,-35,-19,-26,-15,-26,-12,-21,-13,-32,-12,-28,-10,-27,-10,-21,-9,-26,-13,-21,-6,-30,-9,-21,-6,-32,-15,-26,-16,-19,-12,-21,-12,-19,-10,-28,-9,-24,-10,-23,-10,-17,-9,-23,-16,-17,-6,-27,-12,-21,-10,-30,-21,-19,-20,-20,-16,-15,-20,-13,-16,-15,-16,-21,-17,-16,-17,-13,-16,-10,-19,-13,-12,-16,-19,-9,-17,-10,-31,-1,-21,-4,-19,0,-19,-2,-16,-1,-17,0,-21,1,-19,5,-17,0,0,0,0,0,0,0,0,0,0]"""
1782035286334,2026-06-21T18:48:06.334,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839718,1a:00:00:00:00:00,-46,11,-99,18,27,11,30599411,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,24,-19,18,-12,31,-18,24,-11,35,-14,22,-11,26,-11,36,-11,35,-9,43,-12,36,-4,38,-4,39,-2,42,-4,33,0,55,1,38,-1,50,4,35,5,35,2,46,8,43,5,53,9,40,12,43,12,45,8,46,11,36,5,53,15,36,8,45,14,29,8,45,7,42,12,45,7,45,8,49,14,39,12,43,12,48,8,38,4,52,14,39,11,48,5,28,5,45,1,43,11,48,0,50,5,52,7,40,8,49,9,43,9,55,8,49,7,40,9,46,5,0,0,0,0,0,0,11,-43,14,-53,8,-32,9,-42,15,-53,12,-28,12,-46,7,-31,12,-42,8,-28,8,-31,9,-35,7,-33,5,-40,8,-29,7,-31,7,-32,4,-32,2,-25,4,-35,1,-25,1,-32,-1,-19,0,-24,0,-31,-1,-28,-1,-33,0,-26,0,-28,0,-28,-1,-29,-2,-22,-2,-33,-2,-24,-1,-26,0,-18,-5,-26,0,-28,-2,-28,0,-28,2,-28,5,-22,4,-26,4,-28,2,-21,7,-26,7,-16,4,-24,4,-12,5,-19,7,-18,5,-19,8,-19,8,-19,8,-12,11,-14,11,-11,0,0,0,0,0,0,0,0,0,0]"""
1782035286341,2026-06-21T18:48:06.341,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839719,1a:00:00:00:00:00,-46,11,-99,18,27,11,30609170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,-28,-11,-26,-5,-31,-4,-28,-1,-31,-5,-26,-1,-29,1,-32,-2,-42,-4,-42,8,-35,5,-40,5,-38,15,-42,12,-42,18,-43,14,-38,19,-39,12,-33,12,-36,15,-38,15,-49,22,-43,25,-29,26,-39,24,-36,31,-38,28,-38,26,-39,25,-33,32,-35,19,-31,18,-33,16,-38,16,-40,21,-43,25,-39,26,-32,25,-38,29,-38,25,-38,24,-39,25,-36,25,-40,18,-32,16,-36,16,-40,15,-48,19,-48,25,-49,24,-35,31,-42,28,-42,26,-43,32,-40,24,-42,26,-38,0,0,0,0,0,0,-39,-31,-40,-35,-28,-25,-35,-31,-36,-32,-24,-31,-29,-29,-28,-25,-29,-28,-24,-21,-25,-18,-28,-19,-33,-19,-31,-18,-21,-24,-25,-22,-26,-16,-25,-21,-24,-19,-24,-18,-24,-15,-24,-19,-19,-11,-24,-8,-24,-11,-28,-9,-26,-12,-19,-15,-25,-14,-24,-11,-25,-16,-25,-12,-26,-14,-22,-12,-22,-16,-19,-9,-25,-9,-24,-8,-25,-9,-26,-11,-25,-15,-18,-16,-21,-15,-19,-18,-19,-16,-18,-16,-14,-16,-15,-18,-11,-12,-12,-14,-14,-12,-15,-15,-12,-15,-11,-16,-2,-16,-5,-15,-4,-16,0,0,0,0,0,0,0,0,0,0]"""
1782035286347,2026-06-21T18:48:06.347,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839720,1a:00:00:00:00:00,-46,11,-99,17,27,11,30620170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,29,-7,21,-13,36,-10,24,-18,31,-15,23,-17,24,-21,33,-23,27,-29,36,-27,26,-27,26,-30,27,-34,27,-27,20,-47,29,-34,20,-45,21,-33,14,-37,17,-49,23,-39,15,-50,23,-40,14,-42,13,-45,14,-45,11,-34,11,-56,11,-37,8,-45,10,-31,5,-42,17,-43,10,-42,15,-45,14,-49,11,-43,4,-46,10,-50,13,-37,15,-55,7,-42,4,-45,17,-29,7,-49,20,-43,7,-43,21,-49,14,-49,15,-43,7,-46,5,-45,7,-58,11,-49,10,-42,5,-50,11,0,0,0,0,0,0,1,45,4,56,5,37,2,46,4,56,0,33,0,53,1,33,0,47,-2,31,1,34,2,37,1,34,5,40,0,33,0,30,2,31,4,34,2,26,2,39,2,26,4,33,4,21,5,26,5,30,7,27,7,31,4,27,5,29,5,30,5,30,5,20,2,34,4,24,4,27,2,21,8,29,2,29,5,27,2,27,0,29,-1,24,-1,26,-1,29,0,21,-5,27,-7,20,-2,24,-2,13,-4,23,-8,18,-4,21,-10,17,-11,18,-10,13,-11,14,-11,11,0,0,0,0,0,0,0,0,0,0]"""
1782035286355,2026-06-21T18:48:06.355,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839721,1a:00:00:00:00:00,-45,11,-99,21,26,11,30631170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-30,-15,-23,-13,-30,-21,-24,-17,-27,-26,-18,-17,-20,-20,-26,-30,-26,-30,-29,-40,-15,-36,-14,-39,-15,-39,-14,-46,-10,-40,-13,-53,-13,-40,-10,-49,-2,-34,-14,-39,-13,-47,-7,-49,-7,-55,2,-43,4,-47,2,-47,7,-49,1,-43,2,-56,5,-43,4,-47,2,-33,-2,-46,2,-45,-2,-46,-4,-49,4,-52,11,-43,13,-49,4,-58,1,-49,7,-56,8,-43,0,-50,1,-34,1,-50,4,-45,-7,-52,2,-55,5,-56,13,-45,13,-53,7,-47,10,-56,13,-49,11,-47,7,-52,0,0,0,0,0,0,-50,-15,-59,-21,-30,-11,-46,-13,-52,-18,-37,-17,-46,-23,-36,-14,-43,-21,-29,-13,-31,-10,-39,-15,-37,-13,-40,-15,-30,-17,-30,-13,-33,-13,-33,-15,-27,-13,-37,-11,-27,-8,-33,-11,-23,-8,-24,-4,-31,-5,-30,-8,-34,-8,-27,-10,-27,-10,-29,-8,-33,-10,-26,-5,-33,-14,-26,-10,-29,-11,-18,-8,-26,-5,-23,-8,-27,-7,-27,-10,-24,-15,-18,-14,-23,-15,-23,-18,-20,-15,-18,-18,-15,-17,-20,-15,-10,-13,-14,-13,-15,-15,-15,-14,-13,-14,-13,-18,-4,-14,-4,-17,-2,-17,0,0,0,0,0,0,0,0,0,0]"""
1782035286363,2026-06-21T18:48:06.363,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839722,1a:00:00:00:00:00,-45,11,-99,20,26,11,30642170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,28,-7,31,-7,29,-2,35,-2,32,-7,41,-1,44,1,35,2,37,5,34,4,49,4,43,5,43,5,41,4,43,7,43,13,47,10,46,8,52,11,55,20,49,11,40,17,44,14,52,11,47,14,41,14,40,11,46,13,40,14,47,10,46,11,58,14,52,16,47,8,46,10,43,11,43,5,52,1,46,2,41,0,43,1,44,-2,50,-2,50,0,64,0,55,-2,52,-4,52,0,44,-1,50,-2,61,-10,52,-7,49,-8,61,-4,56,-5,56,-7,59,-5,0,0,0,0,0,0,-8,-53,-7,-41,-11,-59,-5,-47,-7,-37,-11,-47,-10,-43,-7,-49,-11,-41,-10,-47,-10,-43,-14,-37,-10,-34,-10,-29,-20,-35,-16,-32,-16,-31,-14,-25,-14,-28,-11,-25,-17,-28,-17,-25,-23,-31,-17,-29,-17,-22,-16,-22,-20,-22,-25,-22,-20,-22,-20,-16,-19,-17,-20,-19,-19,-16,-20,-20,-23,-16,-26,-23,-20,-23,-17,-16,-20,-20,-17,-17,-20,-17,-25,-20,-20,-19,-17,-13,-16,-16,-16,-13,-19,-17,-16,-17,-16,-22,-10,-17,-13,-16,-8,-17,-8,-16,-8,-14,-11,-19,-5,-13,-5,-16,0,0,0,0,0,0,0,0,0,0]"""
1782035286370,2026-06-21T18:48:06.370,safe,transition,mhw,sit_to_stand,t002,"CSI_DATA,839723,1a:00:00:00:00:00,-45,11,-99,16,27,11,30653170,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,32,0,29,-2,32,-5,32,-4,29,-4,31,-10,34,-8,43,-14,37,-23,31,-22,37,-19,35,-29,35,-32,37,-28,32,-31,34,-37,31,-29,28,-31,31,-32,31,-37,35,-38,29,-40,17,-44,23,-40,22,-46,19,-49,20,-43,20,-43,19,-44,13,-38,19,-37,19,-37,23,-40,25,-44,25,-41,19,-43,10,-41,17,-47,14,-49,14,-44,16,-46,14,-49,11,-41,14,-38,16,-44,20,-44,20,-50,22,-49,16,-47,8,-55,13,-56,10,-50,11,-50,5,-50,11,-49,7,0,0,0,0,0,0,-1,55,-4,52,-4,46,-5,47,-2,49,-11,43,-5,43,-7,44,-11,41,-4,37,1,37,-2,35,1,43,-4,37,-11,32,-5,34,-5,34,-8,32,-10,34,-4,31,-4,29,-7,32,-2,28,-1,26,-2,26,1,32,-1,29,-8,25,-4,29,-1,28,-7,29,-5,32,-4,28,-7,28,-8,28,-7,26,-5,25,-5,28,-4,26,-7,29,-8,26,-13,20,-10,23,-16,20,-16,20,-13,20,-16,16,-16,16,-13,16,-11,13,-11,14,-11,13,-16,14,-13,10,-16,7,-16,7,-17,4,0,0,0,0,0,0,0,0,0,0]"""
