pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782115662221,2026-06-22T17:07:42.221,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023188,1a:00:00:00:00:00,-69,11,-99,16,54,11,-1621952495,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,4,1,4,1,4,1,4,2,4,2,4,2,3,3,4,3,4,4,3,4,3,4,3,4,3,4,3,5,3,5,4,5,4,5,3,4,3,5,3,5,3,5,2,5,2,5,2,5,3,5,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,5,6,5,6,4,6,4,5,4,5,5,4,6,4,6,5,6,6,6,6,6,6,6,7,6,7,6,7,7,7,7,7,7,7,0,0,0,0,0,0,7,-7,7,-7,7,-7,8,-7,8,-7,8,-7,9,-7,8,-6,7,-6,7,-6,7,-6,7,-7,6,-7,6,-7,6,-7,6,-7,6,-8,6,-7,7,-8,7,-7,6,-6,6,-6,6,-6,6,-7,6,-8,6,-8,6,-8,6,-8,5,-8,6,-8,6,-8,7,-8,7,-7,8,-6,7,-6,7,-6,6,-6,6,-7,7,-6,7,-6,8,-5,8,-5,8,-4,8,-4,8,-3,8,-2,7,-1,7,-1,6,-1,6,-1,6,-1,6,0,6,0,5,0,5,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0]"""
1782115662226,2026-06-22T17:07:42.226,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023189,1a:00:00:00:00:00,-69,11,-99,18,54,11,-1621940198,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,4,1,4,1,4,2,4,2,4,2,4,3,4,3,4,3,4,3,4,3,5,3,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,5,5,5,4,5,5,5,4,6,4,6,4,7,4,7,4,7,4,7,5,7,5,7,5,7,5,8,6,8,6,8,6,8,5,0,0,0,0,0,0,7,-8,7,-8,7,-8,7,-8,7,-8,7,-7,7,-7,7,-7,6,-7,6,-7,6,-7,6,-7,6,-8,7,-8,7,-7,7,-7,7,-7,6,-7,6,-8,6,-8,5,-7,5,-7,5,-7,5,-7,5,-7,6,-7,6,-8,7,-7,6,-7,7,-7,7,-7,7,-8,7,-7,7,-7,6,-7,6,-6,6,-6,7,-6,7,-6,8,-6,8,-5,8,-4,8,-3,8,-3,8,-3,8,-2,7,-2,7,-1,7,-1,6,-1,6,0,6,0,6,0,5,0,5,1,5,1,4,2,0,0,0,0,0,0,0,0,0,0]"""
1782115662231,2026-06-22T17:07:42.231,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023190,1a:00:00:00:00:00,-69,11,-99,16,54,11,-1621918450,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-1,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4,-3,-4,-3,-5,-2,-5,-3,-5,-3,-5,-3,-4,-4,-4,-3,-3,-4,-3,-4,-3,-4,-3,-4,-4,-5,-4,-5,-4,-5,-4,-4,-3,-4,-3,-4,-2,-5,-2,-5,-2,-6,-1,-6,-1,-6,-1,-7,0,-7,0,-8,0,-8,0,-9,0,-8,0,-8,0,-8,0,-8,1,-8,1,-8,2,-9,2,-9,3,-9,2,-10,2,-10,2,0,0,0,0,0,0,4,10,3,9,4,9,4,9,5,9,5,8,5,8,5,9,6,10,5,9,5,9,5,8,6,8,6,7,6,6,7,6,7,6,8,5,7,5,7,4,8,4,9,5,9,5,9,5,9,4,8,4,8,3,8,2,9,3,9,3,10,3,8,2,9,2,10,2,10,2,11,2,11,3,10,3,9,3,8,3,8,2,8,2,8,2,8,2,7,1,7,2,7,2,7,3,7,3,6,3,5,3,5,3,4,3,4,3,4,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0]"""
1782115662234,2026-06-22T17:07:42.234,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023191,1a:00:00:00:00:00,-69,11,-99,18,54,11,-1621916219,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-3,1,-3,1,-3,1,-3,1,-3,1,-3,1,-3,1,-3,1,-4,0,-4,0,-4,0,-4,0,-4,1,-4,1,-4,1,-4,1,-5,1,-5,1,-6,0,-6,0,-6,0,-6,1,-5,1,-5,1,-5,2,-5,2,-5,2,-5,3,-5,3,-5,3,-5,3,-5,3,-5,3,-5,4,-4,4,-4,4,-4,5,-3,5,-3,5,-2,6,-2,6,-2,7,-2,7,-2,7,-2,7,-2,8,-1,8,0,8,0,9,0,9,0,9,1,9,1,10,2,10,2,10,3,10,0,0,0,0,0,0,10,-3,10,-3,10,-3,10,-4,10,-4,9,-5,9,-5,8,-6,8,-6,8,-6,8,-6,8,-6,7,-6,7,-7,7,-7,6,-7,6,-7,5,-8,4,-8,3,-8,3,-9,3,-8,3,-8,3,-8,3,-9,3,-9,2,-10,2,-10,2,-10,2,-9,1,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-9,0,-9,0,-9,0,-8,0,-8,0,-8,0,-7,0,-7,1,-6,1,-6,1,-6,1,-6,1,-6,1,-5,1,-5,2,-4,0,0,0,0,0,0,0,0,0,0]"""
1782115662238,2026-06-22T17:07:42.238,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023192,1a:00:00:00:00:00,-69,11,-99,17,54,11,-1621895474,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,-2,0,-2,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-5,0,-5,0,-5,0,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-5,-1,-4,-1,-5,-1,-4,-1,-5,-1,-5,-1,-6,-2,-5,-2,-5,-1,-5,-1,-6,-1,-5,-1,-6,-1,-5,-2,-5,-1,-5,-1,-5,0,-6,0,-6,0,-6,0,-6,0,-6,0,-7,0,-8,0,-8,0,-8,0,-8,0,-8,0,-7,1,-7,2,-8,2,-8,3,-8,3,-9,3,-9,3,-10,3,-10,3,0,0,0,0,0,0,4,10,4,9,4,9,4,9,4,9,4,9,4,9,5,9,5,10,4,9,4,10,4,9,4,9,5,8,6,7,7,7,6,7,6,7,6,6,6,7,6,7,7,7,7,8,7,8,6,7,6,7,6,6,7,5,8,5,7,5,7,6,7,6,7,6,7,6,7,7,7,7,7,8,6,7,6,7,5,6,6,6,6,6,6,6,6,6,5,6,4,6,4,6,3,6,3,6,2,7,1,6,1,6,1,6,1,5,1,5,1,5,0,4,0,0,0,0,0,0,0,0,0,0]"""
1782115662241,2026-06-22T17:07:42.241,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023193,1a:00:00:00:00:00,-69,11,-99,17,54,11,-1621895345,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,5,1,5,1,5,1,5,0,4,0,5,1,5,1,5,1,6,1,6,1,5,1,5,0,5,0,5,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,-1,6,-1,6,-1,7,-2,7,-2,7,-2,7,-2,8,-2,7,-3,7,-3,8,-3,8,-4,8,-4,8,-4,8,-4,9,-5,9,-5,0,0,0,0,0,0,-6,-8,-6,-9,-5,-8,-6,-8,-5,-8,-5,-8,-6,-8,-6,-8,-7,-8,-6,-8,-6,-8,-6,-8,-6,-7,-6,-7,-7,-7,-7,-6,-7,-6,-6,-6,-6,-6,-7,-5,-8,-6,-8,-6,-9,-6,-8,-5,-8,-5,-8,-5,-8,-5,-8,-4,-8,-4,-8,-4,-8,-4,-8,-4,-8,-4,-9,-5,-9,-5,-9,-5,-8,-5,-8,-5,-8,-5,-7,-5,-7,-6,-6,-6,-6,-6,-6,-5,-6,-5,-5,-5,-5,-5,-5,-6,-4,-6,-4,-5,-3,-5,-3,-5,-2,-5,-2,-5,-2,-5,-1,-5,-1,-5,0,0,0,0,0,0,0,0,0,0]"""
1782115662244,2026-06-22T17:07:42.244,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023194,1a:00:00:00:00:00,-69,11,-99,17,54,11,-1621885493,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,4,0,4,0,4,0,4,0,5,0,5,0,5,0,5,0,4,0,5,-1,4,-1,5,-1,6,-1,5,-1,6,-1,5,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,5,0,6,0,6,0,6,0,6,0,6,0,6,0,7,1,8,0,8,0,9,0,8,0,8,0,7,1,8,1,8,1,9,1,9,1,10,1,10,1,10,1,10,0,0,0,0,0,0,10,-2,10,-1,10,-1,9,0,10,0,9,-1,9,-1,10,-1,11,-1,11,-1,11,-1,10,-1,10,0,9,-1,9,-1,10,-1,9,-1,10,-2,9,-2,9,-2,10,-2,10,-2,10,-2,10,-1,9,-1,9,-1,9,-1,9,-2,10,-2,9,-1,10,-2,8,-2,9,-2,10,-2,10,-2,11,-1,12,-1,10,0,10,0,9,0,9,0,9,0,8,0,8,0,7,0,7,1,7,1,8,2,7,2,7,3,5,3,5,3,4,3,4,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0]"""
1782115662246,2026-06-22T17:07:42.246,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023195,1a:00:00:00:00:00,-69,11,-99,19,54,11,-1621875495,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,3,0,3,1,3,1,3,0,3,0,3,0,3,0,3,0,4,0,4,0,4,0,4,0,5,0,4,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,6,0,6,0,6,0,6,1,6,0,5,1,5,1,6,1,6,1,6,2,6,2,6,2,6,2,6,2,5,2,6,3,6,4,6,4,6,5,7,5,7,5,7,5,7,5,8,5,8,5,8,5,8,0,0,0,0,0,0,9,-5,8,-5,8,-5,8,-5,8,-6,8,-6,8,-6,8,-6,8,-6,7,-6,7,-7,6,-7,6,-7,6,-7,6,-7,6,-8,6,-7,6,-8,5,-8,6,-8,5,-8,5,-8,4,-8,4,-9,4,-8,3,-9,4,-8,4,-8,5,-8,4,-8,4,-9,4,-8,4,-8,4,-8,4,-8,4,-8,4,-9,4,-8,4,-8,4,-8,4,-8,5,-7,4,-7,5,-7,5,-6,5,-6,5,-5,5,-5,5,-4,5,-4,4,-4,4,-4,4,-3,4,-2,4,-2,4,-1,4,-1,0,0,0,0,0,0,0,0,0,0]"""
1782115662249,2026-06-22T17:07:42.249,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023196,1a:00:00:00:00:00,-69,11,-99,19,54,11,-1621864495,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,-1,1,-2,1,-2,1,-2,1,-3,1,-3,1,-3,0,-3,1,-3,1,-3,1,-3,1,-4,1,-3,0,-4,0,-4,0,-5,0,-5,0,-5,0,-4,0,-4,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-6,0,-5,0,-5,1,-5,1,-5,1,-5,1,-5,1,-6,1,-5,2,-6,2,-6,2,-7,2,-8,2,-8,2,-8,2,-8,3,-7,3,-7,3,-8,3,-8,4,-8,4,-9,4,-8,4,-8,4,-8,4,0,0,0,0,0,0,5,9,5,8,5,9,5,8,5,9,5,8,5,9,5,9,5,10,5,10,5,9,5,9,5,8,5,8,5,8,5,8,5,8,5,8,5,7,5,8,6,8,6,8,6,8,7,8,6,8,6,8,6,7,6,7,6,7,6,7,6,8,6,7,6,8,6,8,6,8,6,9,6,8,5,8,5,8,4,8,4,8,4,8,3,8,3,8,2,7,2,7,2,7,1,8,1,7,0,7,0,6,0,6,0,5,0,5,-1,5,-1,5,-1,4,0,0,0,0,0,0,0,0,0,0]"""
1782115662251,2026-06-22T17:07:42.251,safe,transition,yja,sit_to_stand,t010,"CSI_DATA,1023197,1a:00:00:00:00:00,-69,11,-99,17,54,11,-1621853495,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,0,-2,0,-3,0,-3,-1,-3,-1,-3,-1,-3,-1,-4,0,-4,0,-4,0,-4,0,-4,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,0,-5,1,-5,1,-6,0,-6,0,-6,0,-6,0,-5,0,-5,0,-6,0,-6,0,-6,0,-6,0,-6,0,-7,0,-7,0,-7,0,-7,0,-8,0,-8,0,-8,0,-8,0,-8,0,-8,0,-9,0,-9,0,-10,0,-10,0,-10,0,0,0,0,0,0,-10,0,-10,0,-10,0,-10,0,-11,0,-11,0,-11,0,-11,0,-11,0,-10,-1,-10,-1,-10,-1,-10,0,-9,0,-10,0,-9,0,-10,0,-10,0,-9,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,0,-9,0,-10,0,-10,0,-10,0,-10,0,-10,0,-10,-1,-10,-1,-10,-2,-10,-2,-10,-2,-9,-2,-9,-3,-8,-3,-8,-3,-8,-3,-8,-3,-7,-4,-7,-4,-6,-5,-5,-5,-5,-6,-5,-5,-4,-5,-4,-5,-3,-5,-3,-5,-2,-4,-1,-4,-1,-4,-1,-4,0,0,0,0,0,0,0,0,0,0]"""
