pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782102682520,2026-06-22T13:31:22.520,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698176,1a:00:00:00:00:00,-53,11,-98,20,34,11,128444827,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,26,-3,25,0,29,0,29,4,28,5,29,8,29,9,28,11,30,14,30,15,28,16,30,16,30,18,30,20,26,23,25,25,29,24,23,25,20,25,22,29,21,29,19,29,19,28,21,27,19,30,18,26,16,30,16,28,16,30,16,28,14,26,16,29,16,27,14,28,15,26,16,24,14,23,17,25,15,25,18,23,16,25,17,23,15,25,17,24,16,23,16,24,15,24,16,22,16,25,17,25,18,26,16,25,16,26,15,27,19,27,17,26,16,26,0,0,0,0,0,0,28,-12,28,-10,27,-15,24,-11,22,-11,23,-10,24,-11,26,-11,23,-10,21,-8,21,-10,19,-7,20,-10,20,-10,19,-9,16,-10,19,-11,17,-10,17,-9,17,-9,16,-10,17,-10,16,-9,16,-10,16,-9,15,-10,15,-9,15,-12,16,-10,14,-11,15,-9,15,-9,17,-8,16,-10,14,-8,18,-8,16,-9,16,-8,16,-8,16,-4,14,-7,16,-5,17,-4,16,-4,16,-3,14,-2,13,0,16,-1,13,0,11,0,13,0,11,0,11,0,11,2,11,2,10,1,7,4,0,0,0,0,0,0,0,0,0,0]"""
1782102682528,2026-06-22T13:31:22.528,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698177,1a:00:00:00:00:00,-53,11,-98,20,34,11,128455039,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-24,-7,-25,-6,-28,-5,-30,-3,-27,0,-29,0,-29,1,-31,0,-33,3,-33,4,-33,5,-33,6,-34,9,-34,13,-33,11,-31,12,-34,15,-32,15,-30,17,-30,18,-31,18,-29,18,-29,16,-29,20,-29,16,-28,20,-26,20,-27,19,-23,18,-28,17,-23,19,-27,18,-23,17,-24,16,-25,16,-26,14,-22,16,-27,16,-25,12,-27,16,-26,11,-27,15,-25,12,-27,13,-25,13,-26,15,-26,12,-27,12,-26,14,-29,12,-27,11,-29,16,-29,16,-25,14,-30,12,-28,14,-27,0,0,0,0,0,0,-25,-17,-23,-16,-25,-14,-22,-15,-23,-14,-21,-16,-22,-10,-23,-16,-19,-13,-18,-13,-19,-13,-18,-12,-20,-11,-18,-8,-17,-10,-19,-11,-19,-9,-19,-7,-16,-9,-17,-9,-19,-7,-17,-7,-16,-5,-17,-6,-17,-7,-16,-5,-18,-7,-17,-4,-19,-6,-18,-4,-16,-6,-18,-7,-17,-6,-17,-5,-16,-5,-16,-6,-16,-6,-16,-6,-17,-7,-15,-9,-14,-7,-14,-8,-15,-9,-14,-8,-12,-10,-12,-8,-12,-12,-10,-8,-8,-9,-9,-8,-8,-10,-8,-8,-7,-9,-5,-9,-5,-8,-4,-10,0,-9,0,0,0,0,0,0,0,0,0,0]"""
1782102682534,2026-06-22T13:31:22.534,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698178,1a:00:00:00:00:00,-53,11,-98,20,34,11,128466039,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,26,-8,24,-11,25,-14,27,-15,25,-17,24,-17,24,-18,22,-20,27,-22,23,-23,23,-22,24,-23,26,-23,24,-27,22,-28,21,-27,25,-29,20,-27,19,-27,19,-26,17,-29,18,-28,18,-29,19,-30,17,-26,18,-27,16,-29,18,-25,17,-23,19,-25,16,-26,19,-25,18,-22,17,-24,20,-21,20,-20,18,-19,22,-19,21,-17,22,-19,22,-16,25,-18,23,-16,25,-16,23,-15,24,-16,26,-16,25,-13,24,-15,26,-15,28,-12,28,-16,27,-16,26,-14,29,-12,29,-12,28,0,0,0,0,0,0,28,15,26,14,27,12,25,12,26,11,23,10,23,8,25,9,22,8,22,9,22,8,21,7,21,5,21,5,22,5,21,2,22,1,19,0,19,2,19,1,20,0,20,1,18,0,19,0,19,0,19,-2,18,0,19,-3,19,-3,18,-6,18,-3,18,-2,16,-3,17,-4,17,-4,18,-2,17,-2,16,-3,17,-3,18,-2,16,-3,16,-1,16,0,16,-2,15,0,14,0,14,0,14,0,14,0,13,1,13,1,11,0,10,0,10,1,11,1,10,2,9,2,0,0,0,0,0,0,0,0,0,0]"""
1782102682541,2026-06-22T13:31:22.541,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698179,1a:00:00:00:00:00,-53,11,-98,16,35,11,128477039,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-26,2,-26,0,-27,-3,-29,-6,-28,-9,-26,-10,-27,-12,-25,-15,-28,-17,-27,-19,-24,-22,-24,-22,-25,-26,-21,-27,-17,-28,-17,-33,-17,-31,-14,-33,-11,-30,-12,-33,-11,-34,-8,-33,-7,-34,-6,-33,-2,-34,-5,-33,0,-33,0,-33,0,-32,0,-30,1,-31,1,-31,1,-30,0,-29,1,-33,0,-31,3,-28,2,-29,5,-29,1,-29,4,-29,1,-29,5,-28,3,-29,6,-26,4,-29,6,-28,5,-29,6,-28,8,-30,10,-28,10,-27,14,-29,15,-28,12,-31,11,-30,15,-28,0,0,0,0,0,0,-24,-18,-23,-18,-23,-14,-20,-17,-22,-17,-17,-18,-18,-16,-19,-17,-16,-20,-15,-16,-16,-16,-15,-16,-16,-17,-15,-16,-14,-17,-14,-16,-14,-16,-13,-15,-11,-14,-12,-15,-12,-14,-11,-16,-12,-13,-11,-14,-11,-15,-11,-16,-11,-16,-11,-15,-11,-17,-12,-15,-8,-16,-9,-16,-7,-16,-7,-16,-6,-16,-6,-16,-5,-16,-4,-16,-3,-17,-2,-17,-3,-16,0,-16,0,-16,-1,-16,0,-15,0,-15,5,-14,3,-15,4,-12,4,-12,5,-10,4,-10,5,-10,7,-8,5,-7,8,-6,8,-6,0,0,0,0,0,0,0,0,0,0]"""
1782102682548,2026-06-22T13:31:22.548,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698180,1a:00:00:00:00:00,-53,11,-98,15,35,11,128488421,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,25,6,27,5,26,2,30,0,29,0,31,-1,30,-4,30,-4,34,-8,31,-8,33,-8,32,-10,33,-11,33,-15,31,-15,30,-15,32,-19,31,-19,28,-23,27,-24,27,-22,28,-20,27,-21,28,-23,27,-20,25,-23,24,-24,24,-23,22,-21,23,-21,19,-24,24,-23,20,-21,21,-22,22,-21,21,-18,20,-19,24,-18,22,-16,24,-19,21,-16,25,-18,23,-18,24,-19,22,-17,24,-19,23,-17,23,-17,23,-20,25,-18,26,-17,25,-21,25,-20,22,-20,26,-19,23,-20,24,0,0,0,0,0,0,20,23,20,21,21,20,19,23,18,20,18,20,17,18,17,20,16,18,16,19,16,19,15,15,17,18,13,18,16,15,16,13,17,13,16,13,14,13,14,12,16,12,14,13,15,12,13,12,14,12,15,12,15,12,16,10,15,12,17,9,16,11,15,11,14,13,14,11,12,12,14,13,13,12,11,12,11,12,11,13,10,12,9,14,9,13,9,13,7,11,8,12,6,13,6,12,5,13,4,11,3,12,1,11,2,10,2,11,1,10,0,10,-1,10,0,0,0,0,0,0,0,0,0,0]"""
1782102682555,2026-06-22T13:31:22.555,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698181,1a:00:00:00:00:00,-53,11,-98,15,35,11,128499039,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-8,-26,-4,-25,-4,-28,-2,-30,0,-29,1,-29,2,-30,5,-31,5,-34,7,-33,7,-33,7,-33,8,-34,11,-32,14,-31,13,-33,11,-34,17,-31,16,-29,15,-25,19,-26,17,-31,20,-28,17,-30,21,-29,16,-29,20,-27,19,-26,18,-27,17,-27,17,-26,15,-28,16,-27,15,-25,14,-28,14,-26,13,-25,12,-26,12,-28,11,-28,12,-27,9,-30,11,-28,9,-30,11,-27,9,-28,10,-28,9,-28,7,-29,8,-31,6,-29,6,-29,10,-30,11,-31,8,-33,8,-32,7,-31,0,0,0,0,0,0,-28,-10,-28,-8,-27,-8,-25,-10,-26,-8,-23,-7,-25,-6,-26,-6,-23,-6,-22,-6,-23,-5,-21,-6,-23,-3,-21,-4,-21,-4,-21,-1,-23,0,-21,0,-19,-1,-21,-1,-21,0,-20,-1,-18,1,-19,0,-18,0,-19,0,-18,0,-18,2,-18,0,-18,2,-19,1,-19,0,-18,1,-18,0,-18,0,-19,1,-18,0,-16,0,-17,0,-17,0,-16,0,-18,0,-17,-1,-16,0,-16,-1,-15,0,-13,-4,-14,0,-11,-3,-12,-2,-10,-4,-10,-2,-10,-3,-9,-5,-9,-4,-8,-5,-7,-5,0,0,0,0,0,0,0,0,0,0]"""
1782102682562,2026-06-22T13:31:22.562,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698182,1a:00:00:00:00:00,-53,11,-98,20,34,11,128511206,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,18,15,21,16,23,15,27,13,27,12,25,9,27,9,29,11,31,9,33,5,32,8,33,8,34,5,35,0,36,4,34,5,35,0,36,1,33,-2,34,-3,36,0,34,-1,34,0,33,-2,36,0,33,-2,33,-2,33,0,33,0,33,0,30,0,33,0,30,0,31,0,33,3,32,0,28,4,30,3,30,5,29,6,30,8,27,6,29,9,30,6,28,8,25,7,28,9,26,9,28,10,28,11,28,11,28,9,30,8,29,11,29,13,29,11,30,0,0,0,0,0,0,31,-9,28,-7,27,-11,25,-8,24,-10,24,-9,22,-11,25,-12,22,-8,23,-9,20,-9,19,-8,20,-11,18,-10,16,-11,17,-11,18,-14,16,-12,17,-12,15,-13,14,-14,16,-11,13,-13,14,-14,15,-12,14,-13,12,-13,12,-15,13,-16,10,-16,11,-13,12,-16,12,-15,12,-16,11,-13,13,-13,12,-14,12,-13,12,-13,13,-10,10,-11,12,-11,13,-12,11,-12,12,-10,11,-11,12,-8,12,-10,10,-6,11,-5,11,-6,9,-4,11,-6,11,-4,9,-5,9,-3,9,-2,0,0,0,0,0,0,0,0,0,0]"""
1782102682569,2026-06-22T13:31:22.569,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698183,1a:00:00:00:00:00,-53,11,-98,15,35,11,128521038,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-26,5,-26,1,-28,1,-31,-2,-28,-4,-29,-7,-29,-8,-28,-9,-31,-12,-29,-15,-29,-16,-28,-18,-29,-19,-28,-21,-23,-25,-24,-25,-26,-26,-21,-27,-21,-27,-15,-30,-11,-31,-16,-29,-13,-30,-15,-32,-14,-32,-13,-30,-10,-31,-9,-33,-8,-30,-10,-30,-7,-28,-8,-33,-6,-30,-5,-30,-6,-31,-5,-31,-5,-27,-6,-27,-6,-29,-6,-28,-4,-29,-8,-27,-5,-30,-7,-28,-5,-28,-4,-28,-3,-29,-5,-28,-4,-29,-5,-30,-5,-31,-3,-30,-1,-32,0,-31,-1,-32,-1,-33,0,-29,0,0,0,0,0,0,-32,-4,-28,-5,-28,-3,-26,-5,-26,-6,-25,-6,-24,-3,-25,-6,-24,-5,-24,-6,-21,-6,-21,-5,-23,-4,-19,-7,-20,-7,-18,-4,-21,-4,-20,-5,-19,-5,-18,-5,-20,-3,-19,-6,-18,-3,-18,-5,-17,-5,-18,-4,-17,-5,-20,-3,-19,-5,-17,-5,-18,-7,-18,-7,-17,-6,-17,-6,-17,-7,-17,-8,-16,-9,-14,-7,-15,-9,-14,-12,-12,-9,-11,-11,-13,-11,-13,-10,-10,-10,-9,-11,-9,-12,-8,-11,-6,-11,-5,-10,-3,-13,-2,-10,-3,-11,-2,-12,-1,-9,0,-10,0,-8,0,0,0,0,0,0,0,0,0,0]"""
1782102682575,2026-06-22T13:31:22.575,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698184,1a:00:00:00:00:00,-53,11,-98,16,35,11,128532038,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,21,15,17,17,20,19,17,23,15,24,15,25,13,26,12,29,11,30,12,31,10,32,11,30,10,33,7,33,2,34,3,34,3,36,0,35,0,33,-3,33,-5,35,-1,35,-2,35,-2,35,-4,34,-2,33,-5,33,-6,33,-7,32,-4,32,-6,28,-4,32,-5,31,-7,29,-3,29,-3,30,-3,27,0,30,-3,29,0,30,-2,29,-1,30,-3,30,0,31,0,28,0,29,-1,29,0,29,0,29,-1,31,-1,31,0,30,-4,33,-3,31,-1,30,-1,32,-2,31,0,0,0,0,0,0,32,6,30,7,29,3,26,4,28,5,26,6,26,5,26,5,23,5,22,6,23,2,20,3,22,3,22,2,21,3,20,0,21,0,20,0,19,2,19,0,19,-1,18,0,18,0,18,0,18,0,18,0,17,0,19,-1,19,0,18,0,18,-1,18,0,18,0,19,0,17,1,19,0,18,0,16,0,18,1,17,3,16,2,16,2,16,3,16,3,15,4,14,5,14,5,13,3,10,6,11,6,9,6,10,5,9,6,9,6,8,8,6,8,4,8,0,0,0,0,0,0,0,0,0,0]"""
1782102682583,2026-06-22T13:31:22.583,safe,transition,lmh,stand_to_lie_normal,t007,"CSI_DATA,698185,1a:00:00:00:00:00,-53,11,-98,15,35,11,128543038,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-24,10,-25,5,-26,4,-29,1,-29,0,-30,-1,-29,-3,-29,-6,-32,-6,-30,-10,-32,-10,-31,-13,-33,-12,-31,-16,-27,-19,-29,-20,-29,-19,-27,-23,-24,-23,-23,-24,-21,-22,-24,-26,-19,-27,-21,-27,-21,-30,-19,-26,-16,-28,-17,-30,-15,-27,-17,-27,-15,-27,-16,-28,-14,-28,-14,-26,-15,-27,-13,-26,-13,-24,-14,-27,-14,-24,-15,-25,-13,-26,-16,-25,-15,-26,-17,-26,-14,-26,-13,-25,-14,-27,-14,-26,-14,-26,-13,-30,-13,-28,-12,-28,-10,-31,-9,-30,-12,-30,-10,-30,-10,-28,0,0,0,0,0,0,-30,4,-30,5,-28,8,-27,4,-26,4,-25,2,-26,4,-27,2,-24,1,-23,0,-23,1,-21,1,-23,2,-21,1,-20,2,-20,2,-23,3,-20,2,-21,1,-20,3,-20,4,-20,2,-18,3,-18,3,-18,0,-19,2,-18,0,-19,4,-20,2,-18,2,-18,0,-19,0,-19,1,-18,2,-17,0,-20,0,-19,0,-17,-1,-18,-1,-16,-2,-15,-2,-16,-4,-16,-4,-14,-3,-15,-4,-13,-5,-12,-6,-11,-5,-10,-6,-9,-6,-8,-8,-9,-6,-9,-7,-5,-10,-6,-7,-5,-8,-4,-8,0,0,0,0,0,0,0,0,0,0]"""
