pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782132714181,2026-06-22T21:51:54.181,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127564,1a:00:00:00:00:00,-54,11,-99,20,35,11,68938393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,-5,-1,-4,-1,-5,-2,-5,-1,-6,-4,-6,-4,-5,-3,-5,-4,-4,-5,-6,-6,-5,-6,-5,-7,-5,-6,-6,-8,-4,-6,-5,-9,-5,-8,-5,-12,-4,-12,-4,-10,-2,-10,-1,-10,-4,-13,-2,-12,-2,-12,-1,-10,-1,-13,-2,-10,-3,-13,-2,-12,-1,-18,0,-13,0,-13,0,-14,0,-12,0,-12,-2,-15,0,-13,0,-11,1,-13,-1,-12,-1,-15,0,-14,1,-20,2,-14,0,-14,4,-14,2,-12,2,-15,1,-17,1,-13,3,-15,4,-15,2,-16,4,-16,5,-14,0,0,0,0,0,0,-12,-5,-10,-4,-15,-4,-11,-5,-7,-3,-11,-4,-7,-3,-10,-4,-7,-3,-10,-5,-9,-4,-7,-3,-6,-3,-6,-2,-8,-2,-7,-1,-7,-1,-6,0,-6,0,-6,0,-7,0,-6,1,-9,0,-7,0,-7,0,-6,0,-6,1,-7,2,-7,2,-6,1,-6,1,-8,1,-6,2,-7,4,-7,2,-11,3,-9,1,-8,2,-9,1,-7,0,-8,1,-10,3,-9,1,-7,1,-9,0,-8,1,-10,1,-9,0,-12,-1,-8,-2,-9,-1,-8,-3,-7,-2,-7,-3,-8,-3,-6,-4,-6,-4,0,0,0,0,0,0,0,0,0,0]"""
1782132714203,2026-06-22T21:51:54.203,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127565,1a:00:00:00:00:00,-54,11,-99,20,35,11,68949393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,6,0,4,0,7,2,6,3,5,4,7,3,5,3,6,4,7,4,7,4,7,4,8,8,6,3,9,7,7,6,8,9,6,10,3,9,7,10,4,9,6,10,7,10,7,10,5,11,5,14,6,8,7,11,4,11,6,15,2,13,3,12,2,13,4,13,3,10,6,12,5,12,5,12,3,15,6,10,7,14,3,13,4,18,0,13,3,15,0,15,1,14,2,14,4,15,5,15,2,18,1,13,4,14,1,16,0,14,0,0,0,0,0,0,15,1,11,1,14,1,12,3,9,1,13,1,9,0,12,0,8,1,11,1,9,1,7,2,8,0,7,0,7,0,7,-1,7,-1,6,-1,8,-1,4,-2,7,-3,6,-2,7,-2,6,-2,6,-1,7,-3,5,-2,5,-4,6,-4,5,-4,5,-4,8,-3,4,-4,6,-6,7,-4,9,-6,7,-3,7,-4,9,-2,7,-4,7,-3,7,-6,7,-5,7,-5,9,-3,6,-4,9,-4,8,-1,11,-2,8,0,9,0,8,0,9,0,7,1,8,0,8,0,8,1,0,0,0,0,0,0,0,0,0,0]"""
1782132714227,2026-06-22T21:51:54.227,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127566,1a:00:00:00:00:00,-54,11,-99,20,35,11,68960393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,1,5,0,6,1,5,1,6,0,6,1,8,0,8,2,6,3,7,3,8,3,9,4,9,5,9,4,10,3,9,5,8,3,9,2,9,3,13,3,11,5,9,6,10,7,10,6,10,8,12,7,11,5,12,5,10,6,10,5,12,3,12,3,13,3,14,3,13,5,12,6,12,5,13,6,14,5,14,4,14,4,14,5,13,4,13,1,15,0,15,0,16,1,16,3,13,4,15,5,16,3,14,2,15,4,15,3,14,1,0,0,0,0,0,0,2,-14,3,-14,2,-11,1,-12,1,-12,2,-11,1,-10,0,-10,1,-10,0,-8,-1,-8,-1,-8,-3,-9,-1,-7,0,-7,-1,-7,-3,-6,-2,-7,-3,-7,-4,-5,-4,-5,-4,-6,-3,-4,-5,-3,-5,-3,-7,-2,-6,-3,-6,-3,-6,-4,-6,-3,-7,-3,-7,-3,-7,-2,-7,-1,-8,-1,-7,-1,-7,0,-8,0,-9,0,-10,0,-9,-1,-8,-3,-9,-1,-9,-2,-9,-3,-9,-1,-9,-1,-9,-2,-8,-2,-8,-1,-8,-1,-9,-1,-9,-1,-8,-3,-6,-4,-7,-4,-6,-5,0,0,0,0,0,0,0,0,0,0]"""
1782132714239,2026-06-22T21:51:54.239,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127567,1a:00:00:00:00:00,-54,11,-99,20,35,11,68971393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-3,-2,-4,-4,-4,-3,-4,-4,-3,-4,-4,-3,-6,-4,-6,-5,-6,-6,-4,-6,-4,-6,-5,-7,-5,-7,-4,-7,-6,-10,-6,-7,-6,-10,-4,-7,-6,-8,-7,-10,-7,-9,-7,-12,-3,-10,-5,-11,-5,-10,-5,-12,-6,-10,-6,-13,-5,-10,-7,-11,-5,-8,-8,-9,-7,-9,-9,-9,-10,-10,-9,-12,-6,-11,-8,-12,-9,-13,-9,-9,-10,-13,-7,-10,-10,-12,-7,-7,-11,-9,-11,-9,-13,-7,-13,-10,-13,-11,-9,-10,-10,-12,-10,-10,-12,-11,-9,-12,-10,-9,-12,-9,0,0,0,0,0,0,-8,10,-11,12,-6,7,-7,9,-9,11,-6,6,-7,10,-4,6,-6,8,-3,6,-2,7,-2,8,-2,9,-2,9,-3,6,-1,7,-1,7,-1,7,0,6,0,7,0,5,1,7,1,4,3,5,3,5,4,6,4,6,2,6,3,6,5,6,5,6,5,4,6,7,5,5,6,6,4,4,7,4,7,5,8,4,8,5,7,6,5,6,6,6,7,7,6,5,7,7,5,5,7,7,4,4,7,6,6,6,7,5,6,6,6,6,3,7,4,7,3,7,0,0,0,0,0,0,0,0,0,0]"""
1782132714254,2026-06-22T21:51:54.254,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127568,1a:00:00:00:00:00,-54,11,-99,20,35,11,68982393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-4,-2,-3,-1,-6,-3,-4,-2,-6,-5,-5,-5,-4,-4,-4,-4,-3,-5,-5,-7,-4,-7,-4,-8,-4,-7,-5,-8,-3,-7,-4,-10,-5,-9,-4,-12,-3,-13,-3,-10,-2,-10,-1,-10,-3,-13,-1,-12,-1,-12,-1,-10,0,-14,-1,-10,-1,-13,-1,-12,0,-18,0,-14,0,-13,1,-13,0,-11,0,-12,-2,-15,1,-13,0,-11,0,-13,0,-12,0,-16,0,-14,2,-20,1,-15,1,-15,3,-15,2,-12,2,-14,1,-18,2,-12,3,-14,4,-15,3,-16,4,-15,4,-14,0,0,0,0,0,0,-12,-5,-10,-3,-14,-6,-11,-4,-8,-3,-11,-4,-8,-3,-11,-4,-8,-1,-10,-5,-9,-3,-7,-3,-6,-2,-7,-2,-8,-2,-7,-1,-6,-1,-6,0,-6,-1,-5,0,-7,0,-6,1,-8,0,-7,0,-6,1,-6,0,-6,1,-7,3,-7,2,-7,1,-6,1,-7,2,-6,3,-6,4,-7,3,-11,4,-9,2,-7,3,-9,1,-7,1,-8,2,-10,3,-9,1,-7,1,-9,1,-8,1,-10,1,-9,1,-12,-1,-9,-1,-9,0,-7,-2,-6,-1,-7,-2,-8,-3,-7,-3,-7,-4,0,0,0,0,0,0,0,0,0,0]"""
1782132714260,2026-06-22T21:51:54.260,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127569,1a:00:00:00:00:00,-54,11,-99,20,35,11,68993504,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-3,3,-4,3,-4,3,-4,3,-6,3,-6,3,-6,3,-6,2,-7,3,-7,2,-7,2,-8,2,-8,1,-7,1,-11,0,-11,1,-11,0,-10,-1,-12,0,-12,1,-10,-1,-12,0,-12,-1,-12,-2,-12,-2,-12,-3,-11,-1,-13,-6,-12,-4,-12,-4,-11,-4,-14,-4,-13,-4,-13,-2,-12,-4,-13,-4,-13,-5,-13,-6,-13,-5,-12,-4,-13,-8,-12,-7,-14,-4,-11,-6,-16,-6,-13,-6,-13,-4,-13,-7,-13,-7,-12,-8,-12,-8,-12,-9,-13,-10,-12,-10,-10,-8,-11,-10,0,0,0,0,0,0,-9,9,-10,10,-7,9,-8,9,-8,9,-8,7,-9,8,-7,7,-7,7,-6,6,-6,7,-5,7,-5,5,-3,7,-4,6,-3,6,-3,6,-3,6,-2,6,-3,7,-2,6,-1,6,-1,6,-1,7,0,7,-1,6,0,7,0,7,0,7,0,8,0,8,1,7,-1,9,0,7,0,7,0,8,1,10,0,9,1,9,-1,9,0,9,-1,10,-2,9,-1,9,0,9,-3,9,-3,8,-2,9,-3,7,-3,9,-3,7,-3,8,-4,6,-5,7,-5,6,-5,5,-6,5,0,0,0,0,0,0,0,0,0,0]"""
1782132714268,2026-06-22T21:51:54.268,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127570,1a:00:00:00:00:00,-54,11,-99,20,35,11,69004393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,-3,3,-2,5,-3,4,-3,6,-2,4,-1,4,-2,7,-2,7,-2,8,-3,7,0,9,-1,9,-1,10,0,9,0,12,0,10,0,11,2,7,1,9,0,10,1,12,1,13,3,10,3,12,4,11,3,12,6,12,4,13,6,11,4,12,6,8,4,12,4,11,4,13,3,15,5,13,7,10,7,12,7,13,8,13,7,13,9,10,8,14,7,8,5,13,6,12,7,14,5,14,8,14,8,9,9,12,11,12,10,12,10,10,10,10,9,10,9,0,0,0,0,0,0,10,-9,12,-10,7,-5,9,-7,11,-10,8,-6,9,-7,7,-5,9,-6,5,-4,5,-6,6,-6,5,-6,5,-7,4,-4,5,-6,4,-6,4,-6,4,-5,4,-7,3,-5,3,-7,1,-4,1,-5,0,-6,0,-7,1,-7,1,-6,1,-7,1,-7,1,-9,0,-8,1,-9,0,-8,0,-9,0,-6,0,-8,0,-8,0,-9,0,-10,0,-9,2,-7,2,-9,3,-10,2,-9,4,-10,4,-7,3,-9,1,-6,3,-7,4,-7,3,-8,4,-8,6,-7,5,-4,7,-5,6,-4,0,0,0,0,0,0,0,0,0,0]"""
1782132714275,2026-06-22T21:51:54.275,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127571,1a:00:00:00:00:00,-54,11,-99,20,35,11,69015393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-1,4,-1,4,-3,6,-3,4,-2,5,-3,5,-3,5,-3,7,-4,6,-6,5,-6,6,-5,7,-6,7,-8,8,-5,7,-6,9,-7,7,-7,7,-6,8,-7,7,-7,10,-8,7,-8,7,-9,9,-8,8,-10,7,-11,10,-7,9,-9,10,-9,9,-9,10,-7,9,-6,11,-7,11,-8,13,-6,10,-7,10,-8,11,-8,11,-9,13,-6,12,-7,13,-7,12,-7,14,-5,10,-4,15,-5,13,-5,16,-5,14,-6,13,-7,15,-7,15,-4,12,-7,13,-5,15,-5,13,0,0,0,0,0,0,14,5,12,5,12,4,11,4,10,3,12,4,9,2,10,3,9,3,9,2,9,0,7,0,9,0,7,0,7,0,7,0,7,-1,7,-1,7,-1,5,-3,6,-4,6,-3,5,-3,4,-4,4,-5,4,-6,4,-4,3,-5,4,-6,3,-6,4,-6,4,-7,2,-6,2,-8,3,-7,3,-9,1,-7,1,-9,1,-9,1,-10,2,-8,2,-8,3,-9,3,-9,4,-9,1,-8,2,-9,3,-8,3,-9,2,-7,2,-8,3,-7,3,-9,3,-7,4,-6,4,-6,5,-7,0,0,0,0,0,0,0,0,0,0]"""
1782132714281,2026-06-22T21:51:54.281,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127572,1a:00:00:00:00:00,-54,11,-99,20,35,11,69026393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,4,3,4,2,4,3,4,4,4,3,6,4,4,5,6,5,6,5,6,6,6,6,6,6,5,6,7,9,7,7,7,8,6,9,7,8,7,9,6,9,8,9,7,9,7,10,7,10,7,10,8,8,7,12,7,9,9,10,7,10,10,10,9,11,10,9,9,9,9,10,10,10,9,10,10,9,10,7,11,10,10,9,13,7,10,9,14,8,11,9,13,7,12,8,12,9,12,9,12,8,12,8,13,10,13,9,11,8,13,6,0,0,0,0,0,0,6,-11,6,-11,5,-12,4,-11,5,-11,4,-9,5,-10,3,-9,3,-9,3,-9,2,-9,1,-8,1,-7,0,-8,0,-8,0,-7,0,-7,-1,-7,-1,-5,-1,-7,-2,-6,-3,-6,-3,-5,-4,-5,-5,-5,-3,-4,-5,-5,-6,-5,-5,-5,-7,-4,-6,-4,-6,-3,-7,-5,-7,-4,-7,-3,-7,-3,-9,-3,-8,-4,-8,-2,-8,-4,-7,-3,-8,-3,-9,-5,-8,-4,-8,-3,-9,-4,-7,-4,-9,-3,-7,-4,-9,-4,-7,-4,-7,-4,-6,-5,-7,-5,-7,-4,-5,-5,-4,-6,0,0,0,0,0,0,0,0,0,0]"""
1782132714287,2026-06-22T21:51:54.287,safe,transition,mhw,stand_to_lie_normal,t013,"CSI_DATA,127573,1a:00:00:00:00:00,-54,11,-99,20,35,11,69037393,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,4,0,6,2,5,2,6,3,6,4,4,4,6,4,5,4,5,5,6,6,6,6,6,6,6,10,6,5,7,8,5,8,7,9,4,10,1,10,6,10,3,10,4,10,4,12,4,11,3,11,3,15,4,9,5,12,2,12,4,15,1,12,3,13,1,13,3,13,2,12,3,13,3,13,3,12,1,15,5,11,5,15,1,15,4,18,0,13,2,16,0,15,2,14,1,16,4,16,3,16,1,16,0,14,3,15,1,16,0,14,0,0,0,0,0,0,15,1,11,1,13,1,11,1,10,1,12,3,9,0,11,0,9,1,10,1,9,0,7,1,9,0,7,0,7,0,8,0,6,-1,6,-1,8,0,5,-2,6,-3,6,-2,6,-3,5,-3,6,-1,5,-4,5,-3,5,-4,6,-3,5,-4,5,-4,7,-4,4,-5,5,-7,6,-5,7,-7,7,-4,6,-5,8,-5,7,-6,6,-5,7,-6,7,-6,7,-5,9,-4,7,-5,9,-5,8,-3,10,-4,8,-1,9,-2,8,0,9,-1,7,0,8,0,8,0,8,1,0,0,0,0,0,0,0,0,0,0]"""
