pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782101890429,2026-06-22T13:18:10.429,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626351,1a:00:00:00:00:00,-49,11,-97,14,35,11,387026975,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-24,3,-28,0,-30,0,-30,0,-30,0,-26,-3,-30,-1,-28,-1,-30,0,-33,-1,-32,0,-33,0,-33,0,-33,1,-33,-3,-35,3,-35,3,-35,3,-32,5,-30,-1,-32,0,-32,8,-33,5,-32,8,-33,10,-28,10,-30,10,-30,14,-26,14,-24,19,-26,16,-24,21,-24,21,-21,21,-21,26,-19,30,-16,28,-16,28,-16,32,-10,33,-12,33,-8,35,-8,37,-5,40,-5,39,-3,37,0,40,1,39,7,42,3,46,8,46,12,49,8,48,10,49,16,49,19,49,21,48,0,0,0,0,0,0,51,-23,51,-24,46,-33,46,-26,46,-32,42,-28,42,-35,42,-35,39,-33,35,-35,32,-37,32,-35,33,-46,32,-44,32,-40,24,-46,21,-51,19,-48,23,-48,16,-49,10,-51,17,-53,8,-49,8,-51,10,-53,5,-56,5,-56,-3,-53,1,-62,-7,-58,-1,-55,-1,-60,-5,-60,-12,-58,-7,-58,-7,-60,-8,-60,-12,-58,-10,-62,-8,-60,-10,-58,-8,-62,-10,-62,-12,-60,-7,-62,-14,-56,-7,-56,-8,-55,-5,-51,-7,-51,-3,-53,-7,-48,-3,-48,-1,-51,0,-48,3,-46,8,-44,0,0,0,0,0,0,0,0,0,0]"""
1782101890436,2026-06-22T13:18:10.436,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626352,1a:00:00:00:00:00,-49,11,-97,14,35,11,387037975,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-14,23,-16,19,-19,17,-23,19,-19,17,-21,19,-24,17,-23,16,-26,17,-24,16,-28,16,-28,14,-26,16,-28,16,-32,12,-28,14,-32,17,-32,12,-30,5,-24,8,-26,3,-32,10,-32,8,-32,7,-33,12,-26,10,-30,8,-33,10,-28,8,-30,14,-30,12,-33,14,-30,12,-28,10,-30,16,-28,19,-28,16,-26,19,-26,17,-26,21,-28,17,-26,24,-30,24,-30,28,-32,26,-26,26,-28,28,-33,28,-28,28,-32,30,-32,33,-30,37,-39,35,-39,30,-37,39,-39,35,-37,37,0,0,0,0,0,0,32,46,30,46,35,40,33,44,32,42,30,44,33,42,33,48,32,42,30,40,32,46,28,39,33,42,30,42,32,42,33,40,35,40,35,42,30,42,35,37,42,37,35,40,35,39,35,40,32,42,37,42,33,44,37,39,37,46,40,42,37,44,39,49,35,48,37,48,33,49,32,58,32,55,28,53,28,56,24,55,23,51,23,58,17,58,19,55,12,58,17,56,14,56,7,56,5,56,1,49,-1,53,-3,49,-5,48,-14,49,-14,42,-16,42,-23,37,0,0,0,0,0,0,0,0,0,0]"""
1782101890443,2026-06-22T13:18:10.443,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626354,1a:00:00:00:00:00,-49,11,-97,19,34,11,387059974,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-25,5,-24,5,-29,8,-27,8,-25,12,-25,8,-29,15,-22,15,-24,12,-27,19,-27,15,-25,15,-25,17,-29,20,-25,22,-24,22,-29,22,-20,20,-20,20,-24,20,-27,22,-22,22,-22,22,-25,20,-22,20,-20,20,-22,20,-25,24,-22,20,-24,19,-20,22,-25,17,-25,17,-24,17,-27,19,-29,17,-27,15,-27,19,-31,15,-29,17,-32,13,-32,19,-34,15,-36,15,-34,13,-36,17,-34,15,-38,15,-43,17,-39,20,-43,19,-39,22,-44,22,-43,20,-48,20,-48,24,-48,0,0,0,0,0,0,-48,-29,-48,-31,-50,-25,-46,-29,-48,-29,-44,-31,-43,-27,-50,-34,-43,-32,-43,-32,-44,-27,-43,-25,-46,-31,-44,-27,-46,-29,-44,-27,-50,-29,-46,-29,-44,-31,-46,-29,-48,-25,-48,-31,-43,-27,-46,-27,-44,-29,-46,-31,-50,-31,-50,-25,-48,-34,-51,-29,-46,-34,-50,-36,-46,-39,-50,-39,-46,-38,-46,-43,-46,-43,-43,-43,-44,-44,-39,-48,-38,-46,-36,-50,-36,-57,-31,-53,-27,-51,-27,-53,-19,-53,-22,-55,-13,-51,-13,-50,-8,-48,-8,-46,-1,-48,0,-51,5,-46,6,-43,12,-44,0,0,0,0,0,0,0,0,0,0]"""
1782101890450,2026-06-22T13:18:10.450,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626355,1a:00:00:00:00:00,-49,11,-97,20,34,11,387070974,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,26,6,23,10,23,11,25,13,23,15,23,15,23,16,23,16,25,16,23,18,23,20,25,20,26,18,23,23,21,23,20,21,25,21,20,25,18,26,20,20,21,18,21,25,21,21,21,23,23,23,23,18,23,20,23,21,25,21,26,18,23,16,25,18,26,16,26,18,30,16,28,11,30,13,31,11,33,15,35,10,35,13,35,8,36,6,36,5,35,6,38,5,40,8,40,1,40,5,43,6,47,8,48,5,52,3,50,8,53,5,55,1,52,6,0,0,0,0,0,0,8,-58,8,-55,0,-55,6,-53,3,-53,6,-52,6,-53,6,-57,5,-53,8,-52,3,-52,5,-52,0,-52,0,-55,5,-52,-1,-50,-5,-57,0,-55,1,-52,-3,-52,-5,-53,-3,-57,-5,-50,-1,-55,-3,-55,-5,-60,-3,-57,-8,-57,-6,-60,-11,-60,-5,-60,-5,-60,-1,-62,-3,-62,-6,-60,0,-65,-1,-63,0,-60,1,-65,8,-63,1,-60,6,-63,8,-62,8,-62,15,-60,13,-57,20,-53,13,-57,21,-50,21,-48,23,-45,23,-45,26,-41,33,-41,31,-36,31,-36,35,-30,0,0,0,0,0,0,0,0,0,0]"""
1782101890457,2026-06-22T13:18:10.457,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626356,1a:00:00:00:00:00,-49,11,-97,14,35,11,387081974,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,23,-14,21,-14,23,-17,24,-16,19,-17,19,-19,17,-17,19,-21,23,-17,23,-23,21,-21,23,-21,26,-19,24,-21,21,-21,23,-21,26,-23,21,-21,19,-17,19,-16,19,-19,26,-19,21,-17,24,-19,26,-16,24,-19,24,-17,26,-16,24,-16,28,-12,24,-12,30,-10,28,-8,28,-7,32,-7,32,-3,30,-3,33,-3,33,0,35,0,35,5,37,1,35,5,39,5,37,7,37,7,40,8,40,12,42,12,44,14,44,14,44,16,49,14,49,17,48,19,49,21,48,0,0,0,0,0,0,56,-19,53,-21,49,-28,49,-23,49,-24,49,-24,48,-26,53,-26,48,-24,48,-26,44,-26,44,-26,44,-32,42,-32,46,-32,40,-33,40,-37,42,-37,42,-35,39,-39,37,-40,42,-39,37,-40,33,-40,40,-39,39,-40,35,-42,32,-48,37,-49,30,-48,35,-44,37,-49,33,-49,32,-49,35,-46,44,-51,39,-53,35,-48,42,-53,40,-46,39,-46,42,-48,42,-48,42,-44,44,-42,40,-40,46,-39,42,-40,46,-32,40,-32,44,-28,42,-26,42,-23,44,-19,46,-19,42,-16,46,-8,0,0,0,0,0,0,0,0,0,0]"""
1782101890464,2026-06-22T13:18:10.464,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626357,1a:00:00:00:00:00,-48,11,-97,18,33,11,387093232,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,-25,3,-25,1,-27,5,-27,7,-25,5,-23,7,-25,7,-25,5,-27,7,-31,9,-29,3,-27,3,-33,3,-31,7,-31,5,-29,0,-29,1,-31,0,-29,5,-33,5,-35,0,-29,-1,-29,1,-29,-3,-33,-5,-25,-5,-29,-7,-31,-7,-29,-9,-25,-11,-27,-13,-27,-15,-27,-15,-25,-21,-23,-21,-23,-23,-19,-23,-17,-23,-19,-25,-19,-29,-19,-31,-15,-31,-15,-33,-13,-33,-13,-37,-9,-39,-7,-39,-5,-41,-9,-47,-9,-43,-5,-47,-1,-47,-7,-49,-5,-55,1,-53,1,-53,0,0,0,0,0,0,0,-1,55,5,55,11,55,9,55,11,57,7,55,15,55,15,57,13,55,15,49,21,47,21,49,25,49,25,49,25,49,29,43,35,47,33,41,31,43,37,41,43,37,39,41,39,35,41,37,41,37,47,37,45,33,47,29,51,35,53,25,49,31,57,29,53,29,57,27,55,25,59,33,59,27,57,27,59,27,57,27,53,25,57,29,57,31,55,29,53,29,53,23,49,27,53,27,43,27,43,25,43,31,39,29,39,29,39,33,31,31,33,33,27,33,0,0,0,0,0,0,0,0,0,0]"""
1782101890470,2026-06-22T13:18:10.470,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626358,1a:00:00:00:00:00,-48,11,-97,18,33,11,387103974,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,27,-7,23,-5,23,-7,25,-5,27,-3,25,-1,23,-5,23,-5,27,-9,27,-5,25,-7,25,-9,29,-9,27,-11,29,-7,27,-7,29,-13,29,-11,23,-13,21,-15,21,-15,25,-17,23,-17,21,-19,25,-21,19,-19,19,-21,17,-23,17,-23,13,-23,13,-23,13,-25,9,-27,9,-29,3,-31,1,-31,1,-29,-1,-31,0,-31,-3,-33,-5,-33,-11,-33,-9,-35,-13,-35,-13,-33,-17,-33,-21,-33,-23,-31,-21,-35,-29,-37,-25,-35,-33,-37,-33,-39,-29,-33,-41,-37,-41,-35,-43,-33,0,0,0,0,0,0,-35,51,-31,47,-27,51,-27,47,-25,53,-23,47,-19,51,-23,55,-15,53,-17,51,-11,51,-5,53,-5,57,-5,55,-3,53,1,51,5,59,3,55,3,55,7,53,15,55,13,55,17,47,17,53,21,53,25,49,21,51,31,49,31,55,35,47,33,49,39,51,35,51,39,49,39,45,39,51,41,49,39,45,43,49,41,47,39,45,41,49,43,49,41,47,43,47,39,43,35,45,41,43,31,41,33,43,31,43,31,37,29,41,31,45,23,39,23,39,17,39,0,0,0,0,0,0,0,0,0,0]"""
1782101890477,2026-06-22T13:18:10.477,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626359,1a:00:00:00:00:00,-48,11,-97,13,35,11,387114974,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,0,21,3,23,1,27,3,25,5,25,7,27,3,25,7,29,5,27,5,27,5,29,3,31,1,27,3,25,5,29,5,29,3,29,7,25,3,23,1,23,1,31,0,27,1,31,-1,31,-3,29,-3,27,-3,29,-3,29,-5,27,-10,27,-9,25,-10,29,-16,25,-16,25,-18,29,-20,21,-18,21,-23,23,-23,21,-27,23,-27,16,-27,20,-29,21,-34,20,-32,16,-34,18,-34,16,-36,14,-38,20,-45,12,-43,12,-47,16,-49,16,-49,9,-53,12,-51,9,-53,0,0,0,0,0,0,-58,-14,-56,-10,-58,-3,-56,-9,-58,-3,-54,-5,-54,0,-58,-1,-54,0,-56,0,-56,1,-51,3,-56,9,-53,5,-56,9,-51,12,-54,16,-51,16,-54,14,-51,18,-51,23,-53,18,-49,21,-51,25,-49,23,-54,29,-51,29,-47,32,-53,34,-47,36,-49,32,-54,36,-53,34,-49,40,-47,38,-56,36,-54,36,-51,36,-54,38,-51,34,-47,34,-53,38,-56,32,-51,34,-51,31,-49,34,-49,27,-51,32,-49,23,-49,21,-49,18,-45,20,-45,14,-49,14,-47,12,-47,9,-45,1,0,0,0,0,0,0,0,0,0,0]"""
1782101890484,2026-06-22T13:18:10.484,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626360,1a:00:00:00:00:00,-47,11,-97,15,34,11,387125974,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,23,-13,21,-13,21,-11,23,-15,21,-15,23,-11,23,-13,21,-15,27,-15,25,-15,25,-11,25,-9,27,-11,27,-13,25,-11,25,-9,27,-11,27,-5,25,-13,29,-9,31,-7,27,-1,27,-3,29,-1,29,0,27,-1,29,0,27,3,27,5,29,7,27,7,29,11,29,11,27,17,27,19,25,19,23,21,25,23,25,27,23,27,23,31,19,31,19,34,19,34,13,38,15,36,15,38,11,40,11,48,11,46,7,48,5,54,11,52,9,58,3,56,0,60,-1,0,0,0,0,0,0,0,-60,-1,-62,-9,-54,-7,-56,-11,-58,-11,-56,-13,-54,-13,-56,-15,-56,-17,-52,-19,-52,-17,-48,-27,-52,-27,-48,-29,-52,-31,-42,-36,-44,-36,-42,-32,-44,-38,-40,-44,-34,-44,-38,-40,-34,-42,-36,-42,-38,-50,-32,-48,-31,-54,-27,-54,-31,-58,-23,-54,-25,-58,-29,-58,-27,-60,-21,-56,-23,-62,-23,-62,-25,-60,-23,-62,-23,-60,-23,-58,-19,-60,-19,-62,-23,-60,-17,-58,-23,-58,-15,-54,-21,-58,-19,-48,-23,-50,-21,-46,-25,-44,-21,-44,-21,-44,-27,-42,-23,-40,-23,-34,-29,0,0,0,0,0,0,0,0,0,0]"""
1782101890491,2026-06-22T13:18:10.491,safe,transition,lmh,stand_to_sit,t006,"CSI_DATA,626361,1a:00:00:00:00:00,-48,11,-97,17,34,11,387136974,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,20,12,18,14,23,10,21,10,23,7,23,7,25,5,25,7,27,5,27,3,25,7,27,5,29,3,27,1,27,1,27,5,27,-1,29,0,25,5,25,0,21,1,27,-1,27,3,29,5,29,3,25,0,29,3,29,1,25,7,27,5,27,7,32,9,29,7,31,10,29,10,29,10,27,12,29,12,27,16,31,14,32,18,29,14,32,21,36,18,32,18,32,21,34,25,36,20,36,25,42,25,43,27,42,20,43,21,51,31,47,29,45,27,49,0,0,0,0,0,0,56,-23,54,-21,53,-25,51,-20,54,-21,51,-18,54,-21,56,-21,54,-20,49,-16,53,-16,49,-18,53,-20,54,-21,54,-18,51,-23,53,-25,53,-21,53,-14,49,-21,53,-27,56,-21,53,-21,53,-23,54,-21,56,-20,56,-20,54,-23,60,-20,54,-25,56,-18,56,-20,62,-18,60,-20,58,-20,65,-12,67,-12,64,-12,64,-9,62,-5,62,-5,64,-1,65,3,62,3,60,5,62,5,56,12,60,9,53,20,51,18,51,23,43,21,45,23,43,32,36,32,32,31,29,38,0,0,0,0,0,0,0,0,0,0]"""
