pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782035772083,2026-06-21T18:56:12.083,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883865,1a:00:00:00:00:00,-56,11,-99,17,34,11,68243970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,21,-16,24,-11,17,-19,26,-12,19,-22,25,-24,23,-23,14,-19,23,-21,15,-23,26,-23,25,-21,23,-20,22,-28,23,-15,20,-25,30,-21,22,-30,27,-29,21,-25,14,-24,24,-22,15,-22,25,-21,24,-20,21,-19,18,-27,22,-10,19,-15,27,-17,21,-22,30,-19,18,-16,22,-19,20,-13,19,-11,19,-7,25,-7,23,-6,19,-10,22,0,20,-3,27,-6,22,-8,30,-9,19,-6,23,-10,20,-3,20,-4,19,0,23,0,20,-3,23,-3,18,0,19,-3,21,-2,18,0,0,0,0,0,0,17,5,10,0,15,3,14,3,8,2,12,3,7,0,12,3,9,2,11,3,8,4,6,3,7,3,5,3,7,3,6,3,7,4,6,4,7,5,4,1,7,3,5,3,8,5,6,6,3,4,7,4,3,4,7,4,7,4,6,4,6,4,7,5,7,3,10,3,8,3,11,7,8,7,9,6,9,8,9,6,8,6,11,6,11,6,9,6,10,8,11,2,13,6,10,7,15,10,7,9,10,8,7,11,9,8,7,9,11,9,11,8,9,10,0,0,0,0,0,0,0,0,0,0]"""
1782035772108,2026-06-21T18:56:12.108,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883866,1a:00:00:00:00:00,-56,11,-99,18,34,11,68254970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-23,-4,-29,-7,-20,-5,-30,-9,-23,-5,-30,-9,-30,-9,-25,-13,-33,-8,-26,-12,-30,-7,-33,-6,-32,-5,-31,-5,-38,-10,-27,-1,-37,-2,-30,-4,-37,-4,-33,-6,-28,-8,-34,0,-27,-3,-30,1,-33,3,-30,2,-27,1,-35,1,-21,10,-28,12,-27,6,-32,13,-25,6,-24,12,-25,10,-22,14,-19,13,-17,18,-17,18,-16,16,-20,18,-10,17,-13,23,-13,18,-15,24,-12,16,-10,20,-12,18,-8,20,-7,19,-5,21,-3,21,-6,22,-3,16,0,19,-3,21,-3,19,0,0,0,0,0,0,17,3,12,1,15,0,14,3,10,0,14,2,9,0,12,0,10,0,10,0,8,0,7,1,9,0,6,0,7,0,7,0,6,1,6,1,8,2,6,-1,7,0,6,0,9,0,8,1,6,1,8,0,6,0,6,0,10,0,7,0,8,0,11,0,6,-3,9,-3,8,-3,13,-3,10,-2,10,-3,12,-2,10,-3,10,-3,11,-6,10,-5,10,-5,12,-4,9,-6,12,-8,11,-5,14,-6,10,-3,13,-6,12,-3,11,-6,13,-4,11,-6,13,-6,13,-5,0,0,0,0,0,0,0,0,0,0]"""
1782035772134,2026-06-21T18:56:12.134,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883867,1a:00:00:00:00:00,-56,11,-99,17,34,11,68265970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,-22,11,-20,12,-23,15,-22,11,-26,17,-27,15,-26,14,-30,17,-22,14,-27,15,-30,14,-27,15,-29,14,-29,10,-28,18,-31,14,-31,10,-31,13,-30,11,-34,7,-34,11,-26,8,-31,5,-34,6,-30,6,-31,4,-30,0,-27,7,-30,1,-29,-1,-27,0,-27,-5,-30,-3,-27,-7,-24,-4,-24,-8,-24,-10,-25,-9,-24,-11,-22,-12,-19,-11,-23,-11,-21,-15,-17,-14,-19,-19,-19,-15,-17,-18,-14,-14,-15,-17,-13,-17,-14,-15,-13,-17,-11,-16,-15,-15,-11,-14,-10,-16,-9,0,0,0,0,0,0,-6,12,-7,13,-7,13,-4,14,-5,12,-3,11,-6,10,-6,8,-3,9,-5,8,-4,9,-2,9,-3,6,-3,7,-2,7,-3,7,-4,7,-3,7,-3,5,-3,7,-2,6,-3,7,-3,7,-3,7,-3,7,-3,5,-3,7,-2,7,-2,7,-3,7,-2,7,-1,7,-3,9,-2,10,0,8,-3,10,0,11,-1,10,0,10,0,12,-1,11,-1,14,-1,12,0,12,0,12,-2,12,-1,13,1,13,0,12,0,15,0,12,0,14,0,12,0,14,0,14,-1,11,0,12,0,0,0,0,0,0,0,0,0,0]"""
1782035772157,2026-06-21T18:56:12.157,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883868,1a:00:00:00:00:00,-56,11,-99,17,34,11,68276970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-26,-7,-23,-9,-27,-7,-24,-7,-29,-9,-23,-11,-23,-11,-27,-15,-30,-14,-30,-6,-30,-11,-30,-11,-29,-11,-34,-10,-32,-15,-34,-13,-27,-12,-34,-11,-24,-15,-25,-14,-28,-23,-27,-19,-29,-12,-27,-17,-28,-18,-24,-18,-27,-18,-24,-22,-24,-19,-19,-20,-22,-19,-14,-21,-13,-23,-11,-24,-11,-26,-10,-24,-11,-20,-12,-23,-9,-24,-10,-23,-7,-26,-7,-21,-3,-25,-4,-19,-2,-21,0,-22,1,-21,3,-23,3,-24,3,-19,2,-22,2,-21,2,-19,4,-19,3,-17,5,-17,4,0,0,0,0,0,0,3,15,3,16,2,11,3,12,3,15,2,10,3,11,2,9,1,9,1,7,3,7,2,8,3,9,3,9,0,7,1,8,1,7,1,7,0,6,1,9,1,7,0,8,1,5,2,5,1,7,3,7,3,8,0,7,1,8,2,7,2,10,3,8,4,9,4,8,3,10,4,7,4,7,6,9,7,9,7,10,7,10,5,11,7,11,7,11,7,11,8,11,6,11,7,11,7,7,8,8,9,10,10,10,10,11,9,11,6,11,6,12,6,13,0,0,0,0,0,0,0,0,0,0]"""
1782035772179,2026-06-21T18:56:12.179,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883869,1a:00:00:00:00:00,-57,11,-99,17,34,11,68287970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,22,-7,28,-7,19,-5,30,-6,21,-6,34,-3,34,2,26,6,32,0,25,5,35,0,34,0,32,0,30,0,37,6,25,-1,38,0,30,0,41,5,37,9,27,7,32,7,24,8,34,3,31,4,29,5,27,5,33,8,21,-3,30,-2,27,1,38,1,27,7,25,3,27,6,23,2,23,0,27,-6,23,-3,19,-3,23,0,18,-9,25,-10,23,-3,33,-4,20,1,23,-3,22,1,18,-2,20,-3,23,-8,19,-7,21,-3,18,-3,18,-7,21,-3,17,-4,0,0,0,0,0,0,0,-15,-2,-10,-1,-16,0,-15,1,-8,1,-12,0,-8,0,-11,0,-8,2,-11,3,-10,3,-6,2,-8,3,-4,2,-8,2,-7,3,-7,3,-6,3,-7,1,-4,3,-7,2,-6,3,-7,4,-7,5,-4,3,-6,4,-5,4,-6,3,-6,5,-7,4,-6,6,-7,2,-6,3,-9,5,-7,8,-12,7,-7,7,-7,7,-7,7,-7,7,-7,7,-11,7,-9,5,-9,9,-8,5,-10,7,-12,8,-8,12,-11,11,-6,10,-7,11,-6,10,-6,10,-5,11,-7,9,-7,11,-6,0,0,0,0,0,0,0,0,0,0]"""
1782035772205,2026-06-21T18:56:12.205,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883870,1a:00:00:00:00:00,-56,11,-99,17,34,11,68298970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,22,-4,27,-3,21,0,31,-1,24,-3,34,2,34,4,27,7,29,5,26,7,37,4,34,4,32,5,28,4,34,9,26,7,37,9,30,4,38,11,36,15,28,10,28,12,24,12,33,8,30,9,27,10,24,10,30,11,23,5,30,6,26,5,37,9,27,12,25,7,26,9,21,7,23,3,28,0,23,2,20,2,23,3,21,0,25,-1,23,0,32,3,21,3,23,0,22,5,17,0,20,1,25,-1,19,0,21,0,21,1,19,-2,20,1,19,0,0,0,0,0,0,0,3,-15,1,-11,4,-17,2,-13,4,-8,3,-14,0,-8,3,-12,1,-8,3,-11,6,-10,4,-6,4,-7,3,-4,5,-6,5,-6,4,-5,3,-4,5,-5,3,-3,5,-5,3,-3,6,-6,6,-5,5,-3,4,-4,5,-3,5,-5,6,-6,7,-5,4,-3,8,-4,6,-6,7,-7,7,-6,11,-7,10,-5,9,-5,10,-5,8,-3,8,-5,11,-8,11,-7,9,-4,11,-6,10,-5,12,-6,11,-5,18,-5,14,-3,13,-2,12,-1,10,0,11,-2,14,-3,12,-2,13,0,0,0,0,0,0,0,0,0,0,0]"""
1782035772234,2026-06-21T18:56:12.234,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883872,1a:00:00:00:00:00,-56,11,-99,17,34,11,68320970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-26,-7,-21,-13,-27,-9,-20,-12,-30,-9,-22,-12,-20,-14,-29,-17,-27,-18,-30,-11,-27,-12,-29,-15,-28,-17,-30,-15,-25,-24,-32,-20,-22,-24,-28,-18,-19,-22,-18,-23,-23,-28,-19,-29,-25,-21,-21,-23,-20,-26,-19,-28,-18,-26,-11,-32,-15,-25,-9,-27,-7,-19,-3,-27,-1,-24,-2,-28,2,-27,3,-29,2,-24,0,-24,2,-26,6,-21,7,-25,11,-18,8,-21,14,-13,9,-16,13,-17,13,-15,17,-15,17,-17,19,-14,13,-14,18,-11,15,-11,19,-11,15,-9,15,-7,15,0,0,0,0,0,0,15,5,17,9,10,3,14,3,16,5,10,3,11,3,9,2,10,3,7,1,9,1,7,2,9,0,10,2,7,3,7,2,7,1,8,1,6,0,8,1,7,0,7,0,5,0,6,0,8,1,7,-1,8,0,6,0,9,0,8,-1,8,-1,7,-2,12,-2,8,-3,8,-2,7,-1,9,-6,11,-3,8,-7,10,-7,11,-5,9,-3,11,-6,13,-7,9,-7,11,-8,9,-6,10,-10,7,-6,8,-9,8,-8,8,-11,8,-10,11,-12,8,-6,10,-7,10,-7,0,0,0,0,0,0,0,0,0,0]"""
1782035772266,2026-06-21T18:56:12.266,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883873,1a:00:00:00:00:00,-56,11,-99,19,34,11,68335339,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-25,-5,-20,-4,-29,-4,-23,-3,-32,-5,-29,-5,-29,-3,-34,1,-27,-4,-34,0,-32,-2,-30,-2,-32,0,-32,0,-26,2,-39,-1,-32,0,-37,4,-32,3,-32,6,-32,9,-28,6,-35,9,-31,9,-30,10,-30,11,-29,11,-22,15,-32,13,-25,12,-23,17,-18,13,-21,24,-19,18,-14,23,-16,20,-14,22,-14,22,-12,21,-10,23,-5,20,-9,25,-7,21,-2,24,-2,20,0,26,0,23,3,21,2,20,3,22,1,21,1,20,3,18,3,22,2,18,3,16,6,17,0,0,0,0,0,0,12,-4,16,-7,12,-5,11,-6,14,-8,8,-5,11,-5,8,-3,8,-6,7,-4,9,-6,7,-5,6,-3,8,-3,6,-5,6,-3,6,-5,5,-3,4,-3,8,-4,5,-3,5,-4,5,-3,5,-4,6,-5,5,-4,5,-7,5,-5,7,-5,5,-8,4,-6,2,-7,8,-8,5,-8,5,-8,5,-7,4,-11,4,-9,1,-10,2,-11,4,-11,4,-10,5,-11,5,-11,2,-11,4,-13,5,-11,1,-14,1,-10,2,-16,2,-12,0,-14,1,-11,0,-15,1,-12,2,-11,2,-11,0,0,0,0,0,0,0,0,0,0]"""
1782035772299,2026-06-21T18:56:12.299,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883874,1a:00:00:00:00:00,-56,11,-99,19,34,11,68342970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,23,11,28,14,23,10,28,17,20,17,23,14,25,16,21,17,31,16,25,16,22,20,27,21,26,19,27,21,29,25,26,17,29,19,26,21,26,17,26,17,25,17,32,17,26,17,23,19,26,19,26,16,25,17,29,20,25,11,27,11,23,14,26,10,21,8,27,5,26,8,29,4,25,5,24,6,23,4,24,3,26,4,23,0,26,0,24,1,24,0,20,0,23,-3,21,-2,21,-4,20,-4,20,-2,23,-2,23,-4,17,-2,18,-2,20,-3,18,-3,0,0,0,0,0,0,-1,-17,0,-14,-1,-12,0,-14,0,-11,0,-12,0,-10,0,-11,0,-10,0,-10,0,-8,0,-8,0,-8,0,-8,1,-6,1,-8,1,-7,1,-8,2,-8,0,-6,0,-8,1,-6,1,-6,0,-6,1,-7,1,-8,0,-8,2,-5,2,-8,0,-8,2,-8,1,-11,1,-8,0,-9,2,-10,0,-11,0,-9,0,-11,0,-11,0,-11,1,-11,2,-11,1,-11,2,-13,3,-14,0,-11,0,-14,2,-12,1,-13,1,-11,0,-11,1,-13,1,-14,2,-13,4,-10,4,-12,5,-12,0,0,0,0,0,0,0,0,0,0]"""
1782035772333,2026-06-21T18:56:12.333,safe,transition,mhw,stand_to_sit,t011,"CSI_DATA,883875,1a:00:00:00:00:00,-56,11,-99,19,34,11,68353970,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-7,25,-6,20,-9,28,-7,24,-11,29,-12,26,-10,26,-10,33,-13,25,-11,31,-11,29,-14,27,-15,29,-15,29,-11,26,-21,33,-14,29,-16,31,-16,28,-14,27,-13,32,-14,26,-14,32,-12,30,-14,28,-12,29,-13,28,-7,25,-16,30,-9,26,-7,26,-8,23,-5,31,-7,26,0,26,-3,25,-2,26,-3,25,-5,26,-1,25,2,23,-2,25,-1,23,4,23,0,20,4,26,0,22,7,20,2,22,5,20,3,21,2,20,3,19,2,21,3,20,2,17,3,17,0,0,0,0,0,0,15,-3,17,-1,14,-3,12,-2,14,-2,11,-1,13,0,10,0,10,-1,9,0,10,-1,10,0,6,0,9,0,8,0,7,0,8,0,7,0,5,0,8,2,8,0,7,1,7,1,7,0,8,0,6,1,8,0,8,0,7,1,8,1,8,1,7,0,11,2,9,0,10,0,11,2,11,0,11,2,11,0,11,2,12,1,13,3,13,2,12,2,11,0,14,4,13,4,13,0,11,2,14,1,13,2,14,1,12,4,13,3,12,5,11,5,11,5,0,0,0,0,0,0,0,0,0,0]"""
