pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782116217767,2026-06-22T17:16:57.767,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073693,1a:00:00:00:00:00,-63,11,-99,17,47,11,-1066396686,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,7,-3,10,-2,9,-4,12,-3,9,-7,12,-7,11,-7,9,-8,9,-7,8,-9,9,-12,8,-10,9,-12,8,-15,11,-9,7,-14,10,-12,7,-17,12,-15,7,-13,6,-14,9,-13,4,-16,6,-16,6,-16,4,-16,3,-20,4,-12,6,-16,6,-14,4,-19,9,-16,5,-14,9,-15,6,-16,6,-14,5,-16,8,-15,7,-16,4,-19,6,-14,9,-19,10,-17,6,-24,11,-16,7,-17,11,-19,7,-16,12,-18,10,-21,11,-20,10,-24,13,-21,9,-22,10,-26,14,-21,9,0,0,0,0,0,0,11,26,7,21,11,29,8,25,4,19,7,28,7,19,9,27,4,19,7,26,7,25,6,21,9,23,3,20,5,24,6,22,6,21,4,21,6,24,7,16,9,21,6,19,9,25,9,21,7,17,9,21,4,17,7,22,7,21,5,21,3,21,4,26,7,16,7,23,4,21,5,28,3,21,5,23,2,22,0,21,0,19,0,22,-1,20,-2,17,-4,20,-2,16,-2,19,-6,15,-9,21,-6,13,-5,16,-8,14,-7,13,-8,9,-9,12,-9,9,-10,8,0,0,0,0,0,0,0,0,0,0]"""
1782116217774,2026-06-22T17:16:57.774,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073694,1a:00:00:00:00:00,-63,11,-99,18,47,11,-1066386434,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,-11,0,-8,0,-11,1,-11,4,-13,4,-12,4,-11,6,-13,6,-8,8,-11,9,-11,9,-11,10,-8,13,-11,9,-10,11,-11,12,-10,14,-11,15,-9,13,-8,15,-10,14,-6,16,-6,15,-6,15,-6,16,-4,19,-4,11,-6,15,-6,16,-4,18,-7,17,-5,14,-8,16,-6,16,-6,15,-5,16,-6,15,-5,13,-4,19,-5,15,-8,18,-10,19,-4,25,-7,17,-5,20,-9,21,-5,19,-7,21,-6,22,-8,23,-7,26,-6,23,-6,23,-4,27,-7,23,-6,0,0,0,0,0,0,-4,-28,-1,-22,-2,-28,0,-28,0,-22,0,-28,0,-20,0,-26,0,-20,1,-28,2,-26,0,-22,0,-26,3,-19,4,-22,3,-24,3,-23,4,-21,4,-26,0,-18,1,-25,1,-21,2,-24,1,-22,2,-19,1,-24,4,-18,4,-22,5,-24,5,-22,6,-20,8,-24,3,-19,4,-23,8,-21,9,-26,8,-18,7,-22,11,-19,10,-19,11,-15,13,-18,13,-15,13,-13,15,-14,11,-13,15,-15,15,-9,19,-10,14,-6,15,-8,15,-4,15,-5,13,-2,13,-1,13,0,13,2,0,0,0,0,0,0,0,0,0,0]"""
1782116217780,2026-06-22T17:16:57.780,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073695,1a:00:00:00:00:00,-63,11,-99,22,46,11,-1066376503,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-22,27,6,-8,-11,22,-2,32,5,23,-4,7,-6,15,14,20,-16,9,-7,6,11,5,-12,4,-15,5,-27,5,-11,8,-13,11,-6,6,-13,8,-13,8,-13,9,-14,10,-13,8,-16,10,-14,11,-15,7,-15,8,-15,9,-11,11,-14,12,-11,11,-11,13,-11,11,-11,15,-11,13,-10,15,-11,13,-11,15,-11,15,-11,14,-8,16,-5,16,-10,19,-6,18,-3,20,-6,17,-4,24,-5,21,-3,22,-2,21,-4,23,-4,23,-4,23,-2,24,-3,27,-2,24,-2,24,2,25,0,0,0,0,0,0,22,-3,28,-3,24,-4,28,-5,28,-4,24,-5,27,-6,22,-6,26,-8,24,-5,24,-6,24,-8,22,-6,23,-9,22,-7,22,-8,21,-9,19,-11,15,-12,20,-12,18,-11,17,-15,17,-14,17,-16,17,-17,16,-13,18,-16,16,-16,17,-14,17,-17,16,-18,11,-17,17,-18,15,-16,14,-20,14,-15,15,-20,16,-17,14,-18,15,-16,15,-17,15,-16,17,-13,16,-14,13,-15,16,-15,13,-11,13,-15,13,-10,14,-12,13,-10,13,-9,12,-8,13,-9,13,-6,13,-4,11,-4,0,0,0,0,0,0,0,0,0,0]"""
1782116217783,2026-06-22T17:16:57.783,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073696,1a:00:00:00:00:00,-63,11,-99,14,48,11,-1066365293,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,8,-6,7,-8,7,-6,6,-9,6,-8,5,-8,6,-12,6,-11,7,-13,6,-14,3,-15,3,-13,3,-15,3,-13,2,-18,4,-15,3,-18,1,-14,0,-12,2,-16,1,-17,2,-21,0,-15,-2,-16,-3,-17,-2,-19,-1,-15,0,-20,-2,-16,-1,-18,0,-13,-1,-16,1,-17,0,-17,0,-19,1,-19,0,-18,-2,-18,-2,-21,0,-18,2,-22,1,-17,0,-19,2,-16,1,-20,6,-21,1,-22,8,-23,4,-23,4,-20,0,-24,0,-23,2,-27,3,-26,1,-22,2,-26,5,0,0,0,0,0,0,2,25,1,30,0,19,4,26,1,30,0,22,0,29,2,22,0,26,1,22,3,22,2,26,4,24,2,27,-1,23,0,24,0,22,0,24,1,20,2,28,4,21,2,24,2,19,4,20,2,24,4,22,3,26,0,22,-1,24,1,24,0,24,2,22,2,28,1,22,2,24,0,18,3,22,0,22,0,24,0,24,-4,25,-6,19,-8,21,-6,21,-5,18,-8,21,-7,17,-6,18,-7,11,-7,16,-10,13,-7,13,-9,13,-12,12,-10,8,-11,6,-11,6,0,0,0,0,0,0,0,0,0,0]"""
1782116217787,2026-06-22T17:16:57.787,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073697,1a:00:00:00:00:00,-63,11,-99,20,47,11,-1066353831,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-1,-11,0,-10,0,-11,-1,-11,0,-12,-1,-12,-3,-9,-3,-14,-1,-12,-4,-12,-5,-14,-6,-14,-5,-14,-5,-17,-6,-13,-4,-17,-5,-14,-5,-15,-5,-18,-5,-14,-5,-18,-3,-14,-7,-14,-5,-17,-5,-16,-5,-15,-5,-18,-7,-16,0,-18,0,-18,-3,-20,-1,-16,-1,-18,0,-17,0,-18,0,-17,0,-17,1,-18,1,-18,1,-19,1,-16,7,-18,9,-20,7,-22,9,-17,5,-19,9,-20,6,-18,12,-21,13,-18,14,-21,12,-22,14,-19,14,-18,17,-20,17,-20,16,0,0,0,0,0,0,21,20,16,15,22,19,20,19,17,17,18,20,18,12,23,16,19,14,20,17,22,14,17,15,24,12,20,12,19,12,22,12,20,10,20,9,24,11,20,3,23,3,22,5,24,4,23,3,21,5,25,1,22,4,22,1,24,3,22,2,22,3,25,3,20,-4,24,-3,25,0,27,-2,22,0,24,-1,24,1,24,-1,22,1,23,0,22,0,19,0,20,2,19,-1,20,-1,20,3,21,3,16,3,18,2,15,5,18,3,14,5,13,5,13,5,12,6,0,0,0,0,0,0,0,0,0,0]"""
1782116217791,2026-06-22T17:16:57.791,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073698,1a:00:00:00:00:00,-62,11,-99,18,47,11,-1066340782,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,8,-4,11,-3,8,-4,9,-6,9,-6,11,-7,11,-7,8,-9,11,-9,6,-11,7,-13,8,-13,6,-13,6,-15,7,-11,7,-14,7,-15,7,-15,6,-17,4,-15,4,-17,5,-16,2,-14,0,-17,2,-17,1,-17,0,-19,2,-15,3,-15,3,-18,4,-18,3,-16,1,-16,3,-17,1,-19,4,-17,2,-18,4,-17,3,-17,2,-20,2,-16,8,-19,8,-21,2,-24,4,-17,2,-23,6,-22,2,-21,6,-22,3,-24,4,-26,4,-26,6,-23,4,-26,4,-25,4,-26,4,0,0,0,0,0,0,2,29,0,24,0,28,1,28,0,25,-1,29,0,22,0,26,0,24,-2,26,-1,26,-2,22,0,27,-3,21,-3,24,-4,25,-3,24,-3,22,-4,26,0,22,0,24,-1,24,-2,23,-1,24,-2,22,0,26,-4,22,-4,22,-4,24,-3,22,-5,22,-6,26,-2,21,-3,24,-6,24,-7,25,-7,21,-7,23,-11,22,-10,23,-11,19,-10,19,-12,17,-12,15,-15,15,-9,16,-12,15,-15,13,-17,13,-13,8,-14,9,-15,6,-15,8,-14,4,-15,4,-15,3,-13,0,0,0,0,0,0,0,0,0,0,0]"""
1782116217794,2026-06-22T17:16:57.794,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073699,1a:00:00:00:00:00,-62,11,-99,18,47,11,-1066327753,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,9,-2,8,-3,13,-2,11,-4,12,-4,8,-2,8,-5,13,-7,11,-5,14,-5,11,-6,11,-6,13,-8,14,-6,11,-13,14,-10,11,-13,12,-11,8,-7,11,-10,14,-13,12,-12,15,-9,11,-11,13,-11,13,-13,13,-11,12,-15,13,-12,10,-13,11,-9,10,-10,14,-11,13,-9,16,-12,15,-11,17,-10,13,-11,17,-11,19,-8,19,-16,17,-11,15,-8,19,-7,11,-8,19,-11,17,-4,22,-11,23,-8,22,-8,18,-13,22,-11,23,-9,23,-12,22,-8,24,-9,24,0,0,0,0,0,0,25,11,29,12,19,6,23,11,30,12,20,11,28,13,22,8,26,12,19,8,19,8,26,6,24,11,29,5,21,5,22,6,23,4,26,6,22,4,26,8,21,4,24,7,17,4,20,4,26,2,24,4,28,2,22,2,24,2,24,1,27,4,23,1,28,8,22,6,22,4,18,4,24,2,24,6,26,2,24,8,24,7,18,8,22,8,22,10,22,8,17,15,14,13,17,9,10,7,15,11,12,11,15,9,12,13,13,11,7,9,7,12,6,13,0,0,0,0,0,0,0,0,0,0]"""
1782116217797,2026-06-22T17:16:57.797,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073700,1a:00:00:00:00:00,-62,11,-99,20,46,11,-1066321503,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,-3,9,-3,10,-2,11,-2,10,-1,14,0,13,2,13,1,12,3,12,2,15,2,15,5,13,2,14,5,15,5,13,9,16,10,13,8,15,12,14,12,16,11,9,10,12,10,14,10,13,11,11,12,12,12,12,12,10,13,11,15,9,13,12,15,12,14,11,15,13,13,10,14,10,13,13,16,13,15,13,13,14,12,10,16,13,18,13,13,13,18,16,18,11,18,15,17,13,18,15,14,16,18,11,19,15,21,14,20,13,21,15,22,15,23,0,0,0,0,0,0,22,-14,23,-13,28,-14,25,-11,23,-9,25,-10,24,-9,27,-10,23,-8,28,-8,25,-6,25,-8,23,-4,22,-9,24,-9,23,-9,21,-8,22,-7,21,-6,24,-2,26,-6,21,-6,24,-5,24,-5,24,-8,22,-2,23,-5,24,-7,24,-5,23,-5,24,-3,25,-4,24,0,27,-1,23,-2,28,0,26,0,24,2,24,2,21,5,22,5,24,6,22,6,19,5,20,8,17,12,18,11,16,8,16,13,16,13,13,13,12,11,8,13,8,13,8,13,5,13,5,13,0,0,0,0,0,0,0,0,0,0]"""
1782116217800,2026-06-22T17:16:57.800,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073701,1a:00:00:00:00:00,-62,11,-99,17,47,11,-1066310503,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,7,-6,8,-5,8,-7,9,-7,9,-9,7,-9,8,-10,6,-10,9,-11,7,-12,7,-12,7,-13,8,-14,8,-16,8,-12,8,-14,8,-14,7,-15,7,-15,8,-12,6,-18,9,-16,3,-16,5,-17,5,-15,4,-16,5,-18,5,-14,9,-16,8,-15,7,-16,8,-14,7,-15,9,-16,7,-15,9,-14,9,-14,10,-14,10,-14,10,-17,11,-12,14,-13,15,-16,16,-16,15,-15,12,-14,15,-16,14,-15,19,-17,19,-16,20,-14,20,-16,19,-15,19,-14,22,-17,21,-16,21,0,0,0,0,0,0,24,18,21,17,23,18,21,16,19,14,20,16,21,13,23,15,21,15,19,14,21,14,17,16,24,13,20,16,21,14,19,15,20,14,20,14,21,15,20,7,23,9,21,9,22,9,23,9,19,10,25,8,20,12,21,9,21,10,21,8,20,9,23,10,24,4,24,4,24,9,24,11,20,11,23,11,21,12,21,10,19,12,19,10,19,13,17,12,18,14,17,11,17,11,15,13,14,14,9,12,11,13,9,13,10,13,7,13,7,13,6,13,4,13,0,0,0,0,0,0,0,0,0,0]"""
1782116217803,2026-06-22T17:16:57.803,safe,transition,yja,stand_to_sit,t006,"CSI_DATA,1073702,1a:00:00:00:00:00,-62,11,-99,17,47,11,-1066298310,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,3,11,6,9,7,10,7,8,7,10,7,12,8,8,9,11,10,9,9,9,11,9,11,10,12,9,11,10,14,8,11,11,12,9,14,10,16,13,16,9,13,12,14,12,14,9,14,9,13,10,14,10,9,12,16,12,13,13,13,11,12,14,13,14,12,14,12,13,10,14,11,15,12,16,12,17,11,16,7,19,11,16,7,21,7,15,8,23,7,19,6,21,4,24,7,24,5,22,7,21,7,22,4,28,7,26,6,24,4,28,4,0,0,0,0,0,0,4,-26,3,-30,2,-25,0,-27,2,-31,1,-24,2,-31,1,-25,0,-29,2,-23,0,-24,-1,-26,0,-24,-2,-28,-2,-25,0,-23,-2,-24,-3,-24,-4,-21,-4,-26,-5,-21,-7,-23,-5,-21,-7,-22,-9,-23,-7,-21,-11,-24,-9,-24,-7,-24,-8,-24,-10,-22,-12,-19,-9,-26,-8,-22,-13,-21,-7,-22,-13,-24,-7,-24,-10,-22,-8,-21,-7,-23,-5,-21,-4,-23,-4,-22,-6,-19,-2,-21,-2,-19,-5,-21,-2,-15,-3,-20,0,-17,-1,-16,1,-16,0,-16,1,-16,2,-13,2,-12,0,0,0,0,0,0,0,0,0,0]"""
