pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782193738739,2026-06-23T14:48:58.739,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853029,1a:00:00:00:00:00,-49,11,-99,16,35,11,-587623026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,3,6,-2,6,-2,0,0,6,2,-1,0,4,-4,4,2,1,2,-1,5,2,0,4,0,2,0,2,3,2,3,4,0,4,0,1,3,4,1,0,1,2,2,3,1,1,1,2,2,1,2,2,2,2,3,1,3,1,4,0,3,0,3,0,3,0,4,0,4,0,4,-1,4,0,5,-1,4,-1,6,-1,6,-2,5,-2,6,-2,6,-3,6,-3,5,-3,6,-4,6,-4,6,-5,7,-6,8,-6,8,-5,8,-6,9,-7,8,-7,9,-8,9,-8,9,-9,0,0,0,0,0,0,-10,-9,-12,-11,-9,-7,-11,-8,-13,-11,-9,-9,-12,-9,-11,-8,-12,-9,-10,-7,-11,-6,-12,-7,-13,-6,-13,-6,-11,-7,-12,-6,-13,-6,-13,-6,-13,-5,-14,-4,-13,-3,-14,-4,-11,-2,-13,-2,-14,-1,-15,0,-15,-1,-13,-2,-15,-2,-14,0,-16,-1,-15,0,-16,0,-15,0,-15,1,-13,0,-14,3,-14,2,-15,3,-16,2,-15,1,-13,0,-15,0,-15,0,-14,1,-14,1,-12,0,-13,2,-11,1,-12,1,-11,0,-12,1,-12,0,-13,0,-10,-1,-10,-1,-10,-2,0,0,0,0,0,0,0,0,0,0]"""
1782193738759,2026-06-23T14:48:58.759,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853030,1a:00:00:00:00:00,-49,11,-99,21,34,11,-587612026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-2,0,-1,0,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-2,2,-1,2,0,1,0,2,-1,2,-1,3,0,2,0,2,0,2,0,2,0,2,0,3,0,4,0,3,0,3,0,4,1,3,1,4,1,3,2,4,3,3,1,4,3,4,3,3,3,4,4,5,5,4,5,5,6,5,7,4,5,3,8,4,8,3,7,4,9,4,9,3,9,3,11,4,10,4,12,4,12,4,12,4,0,0,0,0,0,0,5,-14,4,-14,4,-14,4,-13,2,-14,3,-15,2,-12,2,-15,2,-14,1,-15,0,-14,1,-13,0,-15,0,-14,0,-14,-1,-14,-2,-14,-1,-14,-1,-15,-3,-13,-4,-13,-2,-14,-5,-13,-5,-13,-4,-13,-6,-14,-5,-13,-6,-13,-7,-13,-8,-12,-7,-13,-8,-13,-9,-11,-9,-12,-7,-12,-11,-13,-9,-11,-10,-11,-10,-11,-10,-11,-9,-11,-10,-12,-10,-11,-9,-11,-9,-12,-9,-9,-9,-11,-8,-11,-8,-10,-7,-9,-9,-9,-8,-9,-8,-9,-7,-9,-6,-9,-6,-8,-5,-9,0,0,0,0,0,0,0,0,0,0]"""
1782193738766,2026-06-23T14:48:58.766,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853031,1a:00:00:00:00:00,-49,11,-99,21,34,11,-587601026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-2,0,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-2,-2,-1,-2,-1,-3,-1,-3,-1,-3,-1,-3,-1,-3,-1,-3,0,-4,0,-4,0,-5,0,-5,0,-5,0,-5,-1,-5,0,-6,0,-6,0,-7,0,-7,0,-8,0,-6,0,-8,0,-8,1,-9,1,-10,1,-10,1,-9,0,-12,0,-11,1,-11,1,-12,0,-13,2,-13,1,0,0,0,0,0,0,0,15,0,16,1,13,0,15,0,15,0,13,0,16,0,14,0,15,0,13,1,13,0,14,1,15,1,15,0,14,2,14,2,15,1,14,1,14,3,15,2,14,2,15,3,12,3,13,4,15,4,15,5,15,3,14,5,14,5,15,3,15,4,14,4,16,3,14,3,15,4,13,4,15,5,15,5,15,4,16,3,15,1,14,3,15,1,16,1,14,1,15,0,13,0,14,0,11,0,13,0,13,1,12,0,12,-1,12,-2,11,-1,11,-2,10,0,0,0,0,0,0,0,0,0,0]"""
1782193738773,2026-06-23T14:48:58.773,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853032,1a:00:00:00:00:00,-48,11,-99,20,34,11,-587590026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-2,0,-3,-1,-1,3,0,-2,-2,-1,-4,-2,-2,-1,-2,-1,-1,-2,-1,-2,-3,-1,-1,-2,-2,-2,-2,-1,-3,-2,-3,-2,-2,-2,-3,-1,-4,-1,-3,-1,-4,-2,-4,-2,-4,-2,-5,-2,-5,-2,-4,-2,-5,-2,-5,-1,-5,-2,-6,-3,-6,-1,-7,-2,-7,-4,-9,-2,-6,-2,-9,-2,-8,-4,-9,-3,-10,-4,-11,-4,-11,-4,-11,-5,-11,-5,-11,-6,-12,-7,-11,-6,0,0,0,0,0,0,-10,11,-9,10,-11,11,-10,10,-9,9,-13,10,-10,9,-13,10,-11,9,-13,9,-11,9,-11,7,-11,10,-12,7,-12,8,-12,9,-12,9,-11,8,-14,7,-10,8,-12,9,-12,7,-13,9,-13,8,-12,6,-12,9,-12,7,-12,8,-13,8,-13,8,-13,6,-16,6,-12,6,-14,7,-14,5,-17,8,-15,5,-14,6,-15,4,-15,3,-14,2,-15,2,-15,2,-15,0,-15,0,-12,1,-15,0,-14,-2,-15,-2,-11,-3,-12,-2,-11,-4,-12,-4,-10,-4,-11,-5,-9,-5,-9,-6,0,0,0,0,0,0,0,0,0,0]"""
1782193738779,2026-06-23T14:48:58.779,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853033,1a:00:00:00:00:00,-48,11,-99,20,34,11,-587579026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,1,0,1,1,2,0,2,1,2,1,2,1,2,0,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,2,3,1,2,2,2,1,2,1,3,1,2,1,3,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,5,0,5,-1,6,0,6,0,6,0,6,-1,6,-1,6,-3,6,-2,8,-2,8,-3,8,-2,8,-4,9,-3,8,-4,9,-5,10,-6,10,-6,11,-6,10,-6,11,-6,12,-6,12,-6,0,0,0,0,0,0,-7,-13,-7,-13,-7,-12,-7,-13,-7,-13,-7,-13,-7,-13,-8,-13,-7,-13,-7,-13,-8,-13,-6,-13,-9,-12,-8,-13,-8,-13,-9,-12,-9,-11,-9,-12,-9,-12,-10,-10,-11,-9,-10,-11,-11,-10,-11,-10,-10,-10,-12,-9,-11,-10,-12,-9,-12,-10,-11,-9,-11,-9,-13,-11,-13,-7,-13,-8,-14,-9,-14,-9,-12,-8,-13,-9,-13,-10,-13,-9,-12,-9,-12,-9,-12,-9,-11,-9,-12,-10,-12,-7,-11,-9,-11,-9,-10,-10,-9,-9,-9,-9,-8,-9,-9,-9,-7,-9,-7,-9,-7,-10,-6,-10,0,0,0,0,0,0,0,0,0,0]"""
1782193738785,2026-06-23T14:48:58.785,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853034,1a:00:00:00:00:00,-48,11,-99,19,34,11,-587568026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,-2,0,-1,0,-2,0,-1,0,-1,0,-2,0,-2,-1,-2,0,-1,-1,-1,-1,-2,-1,-2,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-3,-2,-2,-1,-2,-2,-3,-2,-3,-1,-3,-2,-3,-1,-4,-2,-4,-1,-4,-2,-4,0,-5,0,-5,0,-5,0,-6,0,-6,0,-6,0,-7,1,-7,0,-7,1,-8,0,-7,1,-8,1,-7,1,-8,3,-9,3,-8,5,-10,4,-10,4,-10,3,-12,4,-11,5,-11,5,-12,5,-12,5,-13,6,0,0,0,0,0,0,6,13,7,16,6,13,7,15,8,15,5,13,7,15,7,13,7,15,7,12,8,12,8,13,10,13,10,12,8,13,9,11,11,12,10,12,10,11,11,12,10,9,11,11,10,8,12,8,13,9,13,8,14,8,12,8,14,9,14,7,14,9,13,7,15,9,13,8,13,8,13,6,15,6,15,7,15,5,15,8,14,7,12,8,14,8,14,9,13,8,12,8,10,9,12,8,10,6,12,8,10,7,11,6,10,7,10,7,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0]"""
1782193738791,2026-06-23T14:48:58.791,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853035,1a:00:00:00:00:00,-48,11,-99,13,35,11,-587557026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-3,-2,-3,-2,-2,-1,-1,-2,-3,-1,-3,-1,-2,-2,-4,-1,-3,-1,-4,-2,-4,-2,-4,-1,-4,-2,-4,-2,-5,-1,-4,-1,-5,0,-5,-1,-7,-1,-5,-1,-6,-1,-6,0,-6,-1,-7,-1,-8,0,-8,0,-9,-1,-10,-1,-8,0,-10,0,-10,0,-11,0,-12,-1,-12,0,-12,0,-13,-2,-12,-3,-13,-2,-15,-1,-14,-2,0,0,0,0,0,0,-5,15,-5,15,-4,16,-5,15,-4,14,-7,15,-5,13,-7,16,-7,14,-5,15,-6,14,-5,14,-5,15,-5,13,-6,14,-5,15,-4,15,-5,14,-6,16,-4,13,-5,15,-5,14,-4,15,-4,14,-4,14,-4,16,-4,14,-4,15,-4,16,-4,15,-4,15,-6,17,-5,14,-5,16,-6,14,-6,16,-6,15,-5,15,-7,15,-7,15,-6,14,-8,14,-8,14,-8,13,-10,12,-7,12,-9,12,-10,11,-9,11,-9,8,-9,9,-9,8,-10,8,-9,7,-11,6,-9,6,-11,5,0,0,0,0,0,0,0,0,0,0]"""
1782193738800,2026-06-23T14:48:58.800,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853036,1a:00:00:00:00:00,-48,11,-99,22,33,11,-587546026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,3,1,2,0,2,0,2,0,3,0,3,1,3,0,2,0,3,0,3,0,3,2,3,0,4,0,4,0,4,-1,4,0,4,0,5,0,3,-1,5,-2,4,-1,6,-3,5,-2,5,-2,4,-3,6,-3,4,-3,5,-4,4,-5,4,-4,5,-6,3,-6,5,-7,4,-7,6,-9,5,-7,4,-9,5,-9,3,-9,3,-10,3,-13,3,-12,4,-13,4,-13,2,-14,3,-15,4,-13,0,0,0,0,0,0,-16,-4,-13,-2,-19,-3,-16,-3,-13,-1,-18,-2,-13,-1,-18,-1,-14,0,-19,-1,-16,0,-15,-1,-15,0,-14,0,-16,1,-16,3,-16,3,-15,3,-17,3,-13,4,-16,5,-14,4,-17,6,-16,5,-14,5,-15,6,-13,6,-13,9,-14,9,-13,10,-12,7,-15,9,-11,9,-13,11,-13,9,-16,13,-15,9,-13,11,-14,9,-13,9,-12,10,-13,12,-11,12,-11,10,-13,10,-9,9,-12,10,-11,8,-14,11,-11,7,-11,8,-11,6,-10,7,-9,6,-11,7,-9,7,-11,6,0,0,0,0,0,0,0,0,0,0]"""
1782193738807,2026-06-23T14:48:58.807,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853037,1a:00:00:00:00:00,-48,11,-99,17,34,11,-587535026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,0,-1,1,-2,3,-3,0,0,1,-1,1,0,2,-1,2,-1,1,-1,2,-1,2,-2,2,-2,3,-1,3,-2,3,-2,2,-2,2,-1,3,-1,2,-3,4,-2,4,-2,3,-2,4,-2,3,-2,4,-2,4,-3,5,-1,4,-2,5,-2,5,-1,5,-1,5,-1,6,0,6,0,6,0,6,0,7,0,8,0,8,0,8,0,8,0,9,0,8,1,9,0,10,2,11,1,12,0,12,0,11,0,12,0,14,1,14,0,14,1,14,1,15,0,0,0,0,0,0,17,0,18,0,16,0,16,0,17,0,15,1,17,0,17,0,16,1,14,0,15,0,15,0,17,-1,17,0,15,0,16,0,16,0,16,0,16,0,16,-1,15,-2,16,-1,14,-1,14,-3,16,-3,16,-4,16,-3,15,-1,16,-3,16,-3,17,-2,17,-3,17,-3,17,-3,16,-2,15,-3,16,-3,16,-3,16,-4,18,-3,16,-1,16,0,17,0,17,0,16,0,15,0,14,1,15,0,12,0,13,1,13,1,14,0,14,2,13,3,10,4,11,4,11,5,0,0,0,0,0,0,0,0,0,0]"""
1782193738813,2026-06-23T14:48:58.813,warning,bed_exit,mhw,bed_exit_failed,t011,"CSI_DATA,853038,1a:00:00:00:00:00,-48,11,-99,21,33,11,-587524026,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-2,1,-2,2,-2,1,-2,1,-3,1,-2,1,-2,0,-3,0,-3,0,-2,0,-3,0,-3,0,-5,0,-4,0,-4,0,-4,-1,-4,0,-3,0,-4,-1,-4,-1,-4,0,-4,-1,-4,-1,-4,-1,-4,-2,-5,-2,-4,-2,-5,-3,-4,-4,-4,-3,-4,-4,-4,-4,-4,-6,-3,-6,-3,-7,-4,-6,-4,-8,-3,-9,-4,-8,-4,-11,-4,-9,-3,-9,-3,-9,-3,-9,-1,-11,0,-12,0,-11,0,-13,0,-15,0,-14,1,-14,0,-14,1,0,0,0,0,0,0,1,16,2,16,4,18,2,16,4,14,3,16,4,15,5,17,5,16,5,17,6,16,5,14,6,13,6,13,10,14,10,12,11,12,9,10,10,12,10,12,12,11,12,11,13,12,13,11,12,9,11,10,12,8,16,7,15,7,15,5,14,5,14,6,16,6,16,5,16,4,18,6,17,6,16,5,16,5,14,4,15,4,18,2,16,4,14,2,15,3,15,3,15,3,14,1,15,3,14,3,13,4,13,3,12,3,12,3,13,3,11,2,11,3,0,0,0,0,0,0,0,0,0,0]"""
