pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782152229222,2026-06-23T03:17:09.222,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776568,1a:00:00:00:00:00,-49,11,-99,15,29,11,224502681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,-9,20,-9,14,-7,22,-7,18,-7,23,-7,23,-6,22,-2,24,-9,23,-3,24,-7,26,-9,25,-10,24,-9,30,-7,21,-10,27,-12,25,-9,28,-11,26,-8,24,-4,27,-14,23,-7,24,-11,27,-12,23,-12,23,-12,27,-14,15,-15,19,-19,19,-14,22,-20,19,-14,19,-19,19,-17,16,-21,14,-18,12,-23,11,-21,9,-21,14,-23,3,-21,5,-27,7,-24,6,-30,7,-23,4,-27,7,-26,1,-25,2,-27,-3,-28,-3,-27,0,-30,-1,-25,-7,-27,-4,-29,-4,-27,0,0,0,0,0,0,-28,4,-23,3,-27,7,-24,4,-19,4,-24,5,-17,7,-23,9,-19,7,-21,7,-19,7,-18,5,-19,10,-15,6,-15,8,-14,9,-13,8,-13,8,-16,8,-8,9,-11,11,-11,9,-11,11,-11,8,-10,7,-10,9,-8,7,-8,9,-9,10,-8,9,-8,8,-11,8,-6,8,-7,11,-7,9,-9,11,-9,6,-7,7,-9,7,-8,7,-8,7,-7,8,-7,7,-6,6,-9,5,-6,6,-8,7,-7,4,-9,5,-7,3,-8,3,-7,1,-7,3,-7,1,-7,3,-7,2,-7,0,0,0,0,0,0,0,0,0,0,0]"""
1782152229229,2026-06-23T03:17:09.229,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776569,1a:00:00:00:00:00,-49,11,-99,17,29,11,224513681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,9,17,12,12,10,17,15,15,10,18,19,17,21,13,17,14,16,11,18,18,20,18,20,17,21,15,18,14,22,14,17,18,23,15,20,18,28,14,26,11,21,13,21,11,22,19,23,17,23,15,20,14,20,15,22,14,17,19,18,17,17,23,25,18,22,18,17,17,19,17,14,17,14,25,12,20,13,18,9,19,12,20,8,25,8,24,9,30,14,24,11,25,8,23,11,20,7,24,8,31,6,24,3,26,7,27,7,28,3,28,6,26,7,0,0,0,0,0,0,5,-26,3,-21,4,-30,4,-24,4,-18,4,-25,2,-20,3,-24,1,-20,5,-25,5,-23,2,-17,3,-18,3,-15,1,-20,1,-17,0,-17,1,-14,2,-16,0,-12,0,-15,0,-13,0,-17,1,-16,0,-13,1,-14,0,-11,0,-14,0,-13,0,-12,1,-11,0,-12,0,-10,0,-11,0,-11,2,-15,2,-13,1,-10,3,-11,3,-9,2,-9,1,-11,2,-9,2,-8,3,-8,2,-7,3,-8,5,-8,5,-9,5,-5,6,-6,6,-4,5,-4,7,-4,6,-5,5,-3,7,-2,0,0,0,0,0,0,0,0,0,0]"""
1782152229236,2026-06-23T03:17:09.236,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776570,1a:00:00:00:00:00,-49,11,-99,17,29,11,224524681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,-8,-14,-8,-18,-12,-15,-11,-17,-14,-16,-16,-17,-14,-20,-17,-14,-16,-19,-18,-17,-18,-14,-19,-17,-20,-15,-21,-13,-18,-14,-27,-14,-23,-14,-25,-12,-23,-12,-24,-12,-27,-10,-22,-14,-27,-12,-25,-11,-23,-11,-23,-9,-24,-12,-20,-9,-28,-9,-23,-11,-23,-9,-22,-15,-24,-12,-22,-14,-20,-12,-21,-13,-22,-12,-23,-13,-21,-15,-22,-14,-19,-13,-23,-12,-21,-17,-19,-12,-18,-21,-20,-15,-20,-20,-17,-14,-20,-17,-20,-15,-20,-14,-21,-17,-20,-18,-23,-16,-23,-17,-20,-17,-20,0,0,0,0,0,0,-20,14,-23,16,-18,14,-21,14,-22,14,-17,11,-22,13,-18,10,-20,10,-17,9,-16,10,-17,11,-15,8,-16,11,-15,9,-13,8,-14,8,-14,8,-11,8,-16,8,-13,6,-14,7,-11,5,-11,6,-14,7,-11,5,-12,6,-12,5,-11,5,-12,6,-11,3,-11,4,-13,2,-11,3,-11,2,-10,2,-11,2,-11,1,-11,2,-9,0,-10,0,-11,0,-10,-2,-10,-2,-9,0,-9,-4,-8,-4,-9,-2,-6,-5,-8,-5,-7,-5,-6,-5,-4,-4,-5,-5,-4,-6,-3,-7,-2,-6,0,0,0,0,0,0,0,0,0,0]"""
1782152229246,2026-06-23T03:17:09.246,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776571,1a:00:00:00:00:00,-49,11,-99,19,29,11,224535681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,9,19,7,15,11,20,8,16,8,23,8,17,8,18,12,22,12,23,13,24,9,22,9,23,12,23,10,26,9,24,13,29,12,21,14,28,11,19,12,21,15,26,16,24,19,27,13,22,16,24,17,21,17,23,17,17,20,24,16,17,20,17,15,12,21,12,21,12,25,8,24,10,26,10,21,10,24,7,27,7,24,4,28,5,22,4,27,0,19,0,25,-2,24,-2,26,-6,28,-5,29,-6,24,-2,28,-5,27,-7,28,-7,28,-7,23,-9,25,-12,0,0,0,0,0,0,-11,-22,-12,-26,-9,-18,-12,-21,-14,-26,-9,-19,-14,-21,-10,-16,-13,-19,-11,-12,-12,-13,-14,-13,-16,-13,-16,-14,-10,-13,-14,-11,-14,-11,-14,-12,-11,-9,-14,-10,-12,-6,-14,-7,-10,-4,-12,-4,-13,-5,-13,-4,-14,-5,-12,-5,-12,-5,-13,-4,-14,-4,-11,-2,-14,-6,-10,-4,-10,-3,-8,-3,-10,-2,-11,-3,-11,-2,-11,-4,-10,-4,-9,-5,-9,-6,-9,-5,-9,-4,-9,-6,-6,-5,-8,-4,-6,-3,-7,-5,-6,-3,-7,-4,-6,-5,-7,-5,-4,-6,-4,-4,-3,-7,0,0,0,0,0,0,0,0,0,0]"""
1782152229253,2026-06-23T03:17:09.253,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776572,1a:00:00:00:00:00,-49,11,-99,17,29,11,224546681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,14,13,11,13,14,17,11,15,11,18,8,19,10,21,11,23,8,20,11,25,8,25,8,23,8,26,5,25,4,21,3,32,2,26,2,29,0,26,2,26,2,29,-1,25,0,29,0,27,-1,26,0,26,0,27,1,24,-2,29,-2,25,-1,26,-2,22,2,27,-1,26,1,25,0,24,0,26,0,26,0,26,0,26,3,23,-2,26,-1,25,4,25,0,22,5,28,1,26,7,25,1,26,2,27,1,26,0,26,1,26,1,30,0,27,0,26,0,29,0,0,0,0,0,0,23,1,26,2,23,0,23,2,27,2,20,2,26,5,21,3,22,5,20,5,19,3,21,3,17,4,20,3,18,3,15,2,17,3,15,3,12,2,17,6,14,4,16,4,12,4,13,4,14,4,11,4,14,5,13,5,11,5,12,5,11,5,8,4,10,8,8,6,10,7,8,8,9,8,8,8,8,8,5,8,6,9,5,10,2,10,4,8,3,8,2,10,1,8,2,7,0,7,0,10,-1,8,0,8,-1,7,-2,7,-1,8,-2,6,-3,6,0,0,0,0,0,0,0,0,0,0]"""
1782152229261,2026-06-23T03:17:09.261,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776573,1a:00:00:00:00:00,-49,11,-99,16,29,11,224557681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-14,-15,-10,-13,-15,-17,-11,-15,-13,-20,-10,-16,-12,-15,-14,-18,-16,-20,-17,-21,-10,-20,-13,-22,-14,-21,-15,-24,-14,-23,-17,-27,-16,-20,-15,-25,-13,-19,-14,-15,-16,-20,-20,-22,-20,-24,-13,-21,-16,-23,-17,-20,-19,-23,-18,-18,-21,-21,-19,-16,-20,-16,-16,-11,-22,-10,-21,-10,-25,-8,-26,-9,-25,-10,-20,-9,-23,-8,-27,-7,-24,-5,-28,-6,-23,-5,-28,-2,-20,-1,-25,1,-25,1,-27,6,-28,3,-30,4,-24,1,-28,3,-27,5,-28,5,-27,4,-24,6,-25,8,0,0,0,0,0,0,9,23,10,28,6,19,10,23,12,27,7,19,10,23,9,17,9,21,9,15,9,14,11,15,13,17,13,16,8,15,10,13,11,12,11,14,10,11,12,13,10,9,11,11,8,7,10,7,10,9,12,7,13,9,9,8,10,9,10,6,10,10,10,6,10,10,9,6,9,7,7,5,9,6,9,6,10,4,9,6,8,7,6,8,6,9,6,9,6,8,6,9,4,6,6,7,3,5,4,7,3,6,5,6,5,8,2,8,2,6,1,6,0,7,0,0,0,0,0,0,0,0,0,0]"""
1782152229269,2026-06-23T03:17:09.269,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776574,1a:00:00:00:00:00,-49,11,-99,19,29,11,224568681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,9,14,7,21,9,16,7,21,11,20,12,19,9,24,9,20,11,24,9,22,11,22,10,24,10,24,12,21,8,29,14,24,9,28,11,24,9,27,9,31,7,24,9,30,8,26,6,26,6,27,4,27,4,23,0,31,4,24,2,26,-2,23,-1,27,-5,24,-3,24,-9,24,-7,25,-8,24,-9,24,-11,24,-13,18,-13,25,-15,20,-12,18,-19,15,-14,17,-23,18,-19,14,-23,16,-21,14,-24,15,-21,15,-21,12,-24,14,-28,12,-24,9,-22,8,-27,0,0,0,0,0,0,-25,-6,-28,-6,-22,-4,-24,-2,-28,-4,-21,-2,-26,-2,-19,-2,-25,-1,-19,0,-20,0,-21,2,-18,1,-20,3,-17,3,-16,2,-17,5,-16,5,-13,5,-18,3,-13,6,-14,7,-12,5,-13,7,-12,7,-11,7,-12,9,-12,7,-12,7,-11,9,-10,7,-7,7,-12,7,-10,7,-9,7,-8,4,-10,8,-10,6,-7,8,-9,7,-8,7,-9,4,-9,4,-9,4,-7,4,-9,4,-8,2,-7,4,-6,2,-9,4,-7,2,-7,4,-7,1,-8,3,-7,0,-7,1,-7,0,0,0,0,0,0,0,0,0,0,0]"""
1782152229277,2026-06-23T03:17:09.277,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776575,1a:00:00:00:00:00,-49,11,-99,16,29,11,224579681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-19,0,-20,0,-19,2,-22,4,-20,3,-22,3,-22,4,-22,3,-26,5,-23,10,-21,10,-25,10,-24,13,-24,16,-25,12,-23,13,-25,16,-23,13,-23,14,-23,14,-23,14,-27,15,-22,17,-20,16,-21,16,-21,18,-19,20,-21,14,-20,15,-21,17,-18,13,-23,13,-20,10,-22,13,-23,12,-23,12,-21,14,-20,11,-22,13,-20,13,-22,10,-23,11,-23,13,-23,11,-23,9,-20,7,-25,8,-25,9,-27,9,-26,11,-24,11,-25,13,-27,10,-24,13,-25,13,-27,11,-24,0,0,0,0,0,0,-24,-14,-20,-14,-21,-13,-21,-13,-18,-13,-19,-15,-16,-13,-19,-13,-15,-13,-16,-11,-15,-10,-15,-11,-18,-10,-14,-10,-12,-13,-13,-11,-13,-10,-13,-11,-13,-12,-10,-7,-12,-8,-10,-10,-10,-9,-11,-8,-9,-9,-13,-9,-9,-8,-8,-10,-10,-10,-9,-8,-8,-10,-8,-12,-6,-9,-6,-10,-6,-10,-6,-10,-5,-10,-6,-9,-6,-10,-4,-10,-3,-9,0,-10,-2,-10,-1,-10,0,-10,0,-7,0,-10,0,-8,1,-7,3,-8,2,-8,2,-7,3,-8,4,-7,4,-6,5,-6,5,-4,0,0,0,0,0,0,0,0,0,0]"""
1782152229283,2026-06-23T03:17:09.283,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776576,1a:00:00:00:00:00,-49,11,-99,19,29,11,224590681,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,18,-10,13,-14,19,-12,14,-18,15,-14,12,-14,14,-19,17,-19,16,-21,19,-19,12,-20,14,-21,15,-24,13,-22,12,-29,16,-22,14,-27,13,-21,9,-19,11,-24,12,-25,14,-28,14,-24,10,-25,11,-24,12,-27,12,-21,13,-29,14,-21,12,-25,13,-16,10,-19,14,-21,14,-19,16,-21,18,-23,17,-19,14,-21,15,-20,19,-16,18,-21,19,-16,16,-16,21,-12,14,-15,21,-16,19,-13,24,-16,23,-17,23,-16,18,-19,21,-16,21,-18,23,-18,21,-14,19,-16,23,0,0,0,0,0,0,19,17,24,20,16,12,20,13,24,19,14,14,20,18,14,11,17,16,13,11,15,10,16,12,15,11,18,12,13,12,12,9,13,10,13,10,12,9,14,12,12,7,12,9,9,6,11,7,12,8,12,7,12,9,9,7,10,9,10,8,11,8,9,7,11,10,8,7,8,9,6,7,9,7,7,9,7,8,7,9,5,10,4,10,3,9,4,10,3,9,2,10,0,9,2,9,0,7,1,8,0,7,1,9,0,8,-2,9,-2,6,-2,8,-3,7,0,0,0,0,0,0,0,0,0,0]"""
1782152229290,2026-06-23T03:17:09.290,warning,breathing,mhw,lying_fast_breath,t022,"CSI_DATA,776577,1a:00:00:00:00:00,-49,11,-99,19,29,11,224603236,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,19,-3,19,-1,22,-2,20,-1,24,0,19,0,20,-1,24,-2,26,-1,27,-2,23,4,26,2,26,0,28,4,27,3,30,2,26,2,29,5,23,2,26,0,29,0,31,0,30,1,25,4,28,3,27,2,29,3,26,0,29,0,25,0,27,0,21,-2,23,-5,24,-7,24,-9,26,-9,26,-8,24,-5,24,-8,26,-9,24,-8,25,-11,22,-9,24,-12,18,-11,19,-14,19,-16,18,-19,22,-19,22,-19,21,-14,24,-18,22,-17,19,-17,23,-16,19,-19,19,-19,0,0,0,0,0,0,-18,-18,-20,-22,-15,-14,-16,-17,-20,-19,-14,-17,-17,-16,-14,-14,-15,-16,-12,-11,-14,-9,-14,-11,-17,-11,-16,-11,-12,-12,-14,-10,-14,-9,-13,-9,-12,-9,-14,-9,-13,-7,-13,-9,-10,-4,-11,-5,-12,-6,-12,-6,-13,-7,-10,-7,-10,-7,-11,-5,-11,-8,-10,-7,-12,-7,-9,-7,-9,-7,-8,-5,-10,-4,-9,-6,-9,-5,-9,-8,-8,-7,-6,-7,-6,-7,-6,-9,-6,-7,-4,-8,-5,-8,-5,-9,-2,-6,-2,-7,-4,-7,-4,-7,-4,-8,-2,-7,-1,-8,0,-8,0,-8,0,0,0,0,0,0,0,0,0,0]"""
