pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782265897807,2026-06-24T10:51:37.807,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30785,1a:00:00:00:00:00,-73,11,-99,16,56,11,2081388426,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,-25,-9,-26,-6,-26,-5,-29,-4,-32,-2,-33,-2,-33,-1,-36,0,-36,1,-36,5,-37,5,-34,6,-36,8,-33,8,-34,9,-36,10,-36,13,-40,16,-41,14,-41,14,-42,13,-40,14,-38,16,-37,16,-34,17,-36,17,-33,17,-33,17,-34,17,-34,17,-36,17,-37,13,-36,13,-34,13,-34,13,-33,16,-33,14,-33,14,-34,14,-34,13,-33,13,-30,12,-34,12,-34,9,-37,5,-36,4,-36,5,-36,6,-33,9,-29,12,-32,13,-32,13,-32,12,-32,10,-32,9,-33,9,-33,0,0,0,0,0,0,-28,-5,-29,-4,-29,-2,-30,-2,-29,-4,-28,-4,-26,-5,-25,-5,-26,-2,-25,-1,-24,0,-24,1,-24,2,-22,2,-22,2,-20,2,-21,4,-20,4,-20,5,-20,6,-20,8,-20,10,-20,10,-18,13,-18,14,-18,14,-18,14,-20,14,-18,16,-21,17,-21,17,-21,20,-22,20,-24,22,-24,22,-24,25,-22,25,-24,26,-24,25,-26,26,-30,24,-30,25,-33,24,-32,22,-32,22,-32,21,-33,22,-36,22,-37,22,-36,22,-38,22,-38,18,-40,16,-40,10,-40,8,-40,5,-38,4,0,0,0,0,0,0,0,0,0,0]"""
1782265897813,2026-06-24T10:51:37.813,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30786,1a:00:00:00:00:00,-73,11,-99,18,55,11,2081400534,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,-26,2,-29,2,-29,4,-29,4,-29,5,-31,4,-32,5,-35,5,-33,7,-36,8,-36,8,-33,9,-36,11,-33,12,-38,12,-36,12,-35,14,-36,14,-36,12,-38,12,-40,11,-40,11,-40,11,-40,9,-36,11,-39,8,-36,9,-40,9,-36,8,-36,7,-33,7,-33,2,-31,0,-35,-1,-35,-1,-36,-1,-38,-2,-36,-2,-38,-2,-36,-5,-38,-4,-33,-5,-33,-4,-29,-8,-31,-9,-29,-14,-31,-14,-29,-15,-33,-11,-31,-12,-33,-9,-33,-11,-33,-11,-32,-14,-31,-15,-29,-16,-29,0,0,0,0,0,0,-24,16,-25,18,-22,18,-24,18,-22,18,-22,18,-22,19,-19,19,-15,18,-14,19,-11,19,-11,21,-9,19,-9,21,-8,22,-5,19,-4,21,-2,19,-1,22,0,22,1,21,2,21,4,21,7,21,8,22,11,22,12,24,14,25,15,22,18,24,18,24,21,26,18,24,21,22,19,22,22,21,24,19,29,22,28,25,29,26,26,29,28,29,28,33,26,32,28,33,28,29,28,29,25,26,28,26,26,25,31,29,28,31,31,35,28,35,25,36,21,35,19,33,0,0,0,0,0,0,0,0,0,0]"""
1782265897819,2026-06-24T10:51:37.819,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30787,1a:00:00:00:00:00,-73,11,-99,16,56,11,2081411004,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,26,-6,28,-8,26,-8,25,-8,28,-8,30,-8,33,-9,38,-9,38,-10,40,-13,38,-13,32,-13,36,-12,32,-13,37,-13,37,-12,37,-13,36,-14,34,-13,34,-14,37,-12,37,-10,40,-10,41,-6,38,-8,40,-6,37,-6,42,-8,40,-9,38,-8,36,-6,32,-4,28,2,29,1,30,2,33,4,32,0,32,2,36,2,36,5,36,12,30,17,28,20,21,24,25,17,26,17,32,16,37,16,38,17,32,22,32,18,29,17,32,16,32,20,26,26,26,32,22,0,0,0,0,0,0,13,-24,13,-25,12,-25,12,-26,12,-25,10,-26,9,-28,6,-25,4,-21,2,-21,-1,-20,-1,-22,-2,-20,-2,-21,-4,-21,-4,-20,-5,-20,-5,-17,-9,-20,-10,-17,-12,-14,-14,-12,-16,-10,-17,-9,-20,-10,-21,-9,-24,-12,-25,-9,-24,-8,-28,-6,-28,-5,-32,-5,-30,-5,-32,-2,-29,-2,-32,1,-30,4,-36,5,-36,4,-40,4,-41,2,-40,2,-44,1,-41,1,-42,1,-40,2,-38,4,-34,5,-38,6,-36,6,-42,8,-42,6,-46,5,-44,2,-44,1,-40,-1,-38,-1,0,0,0,0,0,0,0,0,0,0]"""
1782265897823,2026-06-24T10:51:37.823,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30788,1a:00:00:00:00:00,-73,11,-99,14,56,11,2081422032,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,26,7,25,7,26,8,28,9,29,14,29,15,31,19,28,19,29,19,28,18,28,15,33,16,31,18,36,18,32,18,33,18,35,18,36,21,36,22,36,26,32,26,33,25,32,22,32,18,35,19,32,18,36,15,32,14,35,14,35,14,38,14,35,15,36,21,31,19,32,16,29,14,32,7,33,7,33,2,33,1,32,0,33,0,33,0,36,1,36,2,38,4,35,4,35,1,32,-2,35,-5,33,-7,33,-9,33,-11,33,-11,32,-11,33,-9,32,-11,0,0,0,0,0,0,-8,-32,-8,-29,-8,-28,-9,-24,-12,-22,-11,-21,-12,-19,-15,-19,-14,-22,-14,-19,-12,-21,-12,-16,-15,-15,-15,-11,-15,-8,-18,-9,-18,-8,-19,-5,-19,-4,-21,-1,-22,0,-24,0,-24,0,-25,-2,-22,-1,-22,1,-21,4,-19,8,-24,8,-22,9,-24,12,-22,11,-24,15,-26,15,-28,18,-29,16,-35,16,-33,14,-32,15,-31,15,-29,21,-31,22,-29,25,-31,26,-29,26,-32,25,-35,24,-38,22,-39,19,-45,16,-39,12,-39,14,-36,12,-38,15,-38,15,-40,16,-42,15,0,0,0,0,0,0,0,0,0,0]"""
1782265897827,2026-06-24T10:51:37.827,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30789,1a:00:00:00:00:00,-73,11,-99,17,56,11,2081432316,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,6,25,6,28,7,29,10,32,11,32,14,32,15,31,15,31,16,31,16,31,18,32,18,32,19,31,22,29,23,31,22,29,24,33,28,32,29,32,29,32,31,31,31,29,28,29,25,28,25,29,27,27,27,24,25,25,27,27,27,28,28,28,28,29,27,28,25,28,24,28,23,28,23,28,22,28,20,28,20,27,18,27,18,28,18,29,19,31,19,31,19,29,18,31,18,28,15,28,15,28,16,28,16,29,18,29,19,29,19,31,19,29,18,0,0,0,0,0,0,11,-24,11,-24,10,-25,10,-25,9,-27,9,-25,9,-25,9,-25,9,-25,7,-24,6,-23,6,-23,3,-22,1,-20,0,-20,-2,-19,-3,-19,-5,-19,-5,-18,-6,-19,-6,-20,-7,-20,-9,-22,-10,-20,-11,-20,-12,-19,-14,-18,-15,-19,-16,-19,-18,-20,-19,-22,-18,-20,-19,-22,-22,-23,-24,-24,-25,-25,-27,-25,-25,-25,-25,-25,-25,-27,-25,-28,-27,-29,-25,-29,-25,-31,-24,-31,-23,-33,-23,-36,-23,-38,-23,-38,-22,-38,-19,-37,-16,-38,-15,-37,-12,-38,-11,-40,-11,-40,-11,-40,0,0,0,0,0,0,0,0,0,0]"""
1782265897831,2026-06-24T10:51:37.831,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30790,1a:00:00:00:00:00,-72,11,-99,15,56,11,2081443441,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,23,-15,24,-15,24,-13,26,-12,26,-12,26,-16,27,-19,27,-20,30,-19,31,-17,32,-13,35,-9,38,-9,38,-12,39,-13,39,-13,39,-15,35,-13,32,-15,32,-17,32,-17,34,-17,37,-16,39,-12,39,-10,38,-9,38,-12,38,-16,37,-16,35,-17,31,-17,28,-19,26,-20,26,-24,26,-24,27,-24,28,-23,30,-20,30,-20,28,-20,27,-23,26,-24,24,-24,21,-26,19,-27,17,-28,15,-31,13,-32,15,-34,16,-32,16,-31,17,-30,16,-30,15,-30,13,-31,12,-31,13,-31,0,0,0,0,0,0,-31,-12,-30,-9,-28,-8,-27,-6,-27,-5,-27,-6,-27,-6,-24,-5,-21,-4,-21,0,-21,4,-21,4,-21,5,-21,4,-20,4,-20,5,-19,6,-19,9,-19,12,-16,13,-15,13,-13,13,-12,15,-10,17,-10,19,-12,21,-12,23,-12,24,-12,24,-12,26,-9,27,-8,31,-8,32,-6,32,-4,32,-2,30,-1,31,1,34,1,35,0,39,-4,39,-8,41,-8,41,-9,39,-9,41,-9,42,-10,41,-9,41,-6,39,-5,39,-2,42,-2,42,-5,43,-10,42,-16,39,-20,37,-23,35,0,0,0,0,0,0,0,0,0,0]"""
1782265897834,2026-06-24T10:51:37.834,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30791,1a:00:00:00:00:00,-73,11,-99,16,56,11,2081455695,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,24,6,24,8,25,10,28,13,28,17,28,20,29,22,26,25,25,28,24,26,24,26,26,29,25,29,28,33,25,30,22,33,21,34,18,34,17,33,16,34,13,32,13,34,12,34,13,36,12,40,9,38,10,38,10,34,10,37,9,38,9,41,9,37,5,37,2,32,9,29,12,26,16,26,12,33,12,38,12,38,13,33,13,37,16,36,13,37,16,37,10,44,12,38,12,41,14,34,18,42,10,37,9,34,12,30,10,26,10,21,10,26,12,26,0,0,0,0,0,0,36,-2,32,-4,30,-4,26,-4,25,-5,24,-5,22,-5,24,-6,25,-5,24,-5,25,-4,21,-4,21,-5,20,-6,17,-8,18,-9,18,-8,18,-10,17,-10,17,-12,16,-13,17,-14,16,-17,18,-16,17,-16,17,-17,14,-17,14,-17,16,-20,16,-20,17,-22,17,-21,17,-25,18,-25,18,-28,21,-26,25,-28,25,-25,25,-25,25,-25,25,-28,28,-28,26,-28,29,-29,29,-26,33,-26,36,-24,38,-24,38,-18,42,-17,40,-12,40,-12,38,-9,40,-9,40,-6,41,-5,42,-2,0,0,0,0,0,0,0,0,0,0]"""
1782265897837,2026-06-24T10:51:37.837,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30792,1a:00:00:00:00:00,-72,11,-99,16,56,11,2081465050,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-28,6,-26,9,-28,9,-29,10,-29,9,-30,8,-33,8,-32,9,-32,10,-30,12,-32,16,-34,17,-33,17,-38,17,-37,17,-36,18,-36,16,-37,14,-37,13,-38,12,-36,13,-36,14,-34,14,-32,18,-34,18,-33,16,-37,14,-34,13,-36,12,-36,9,-37,8,-34,6,-38,5,-36,1,-37,1,-34,-1,-33,1,-33,1,-33,0,-33,0,-34,-1,-36,-1,-36,-4,-34,-6,-33,-8,-33,-9,-32,-10,-32,-9,-30,-10,-34,-12,-33,-12,-32,-13,-33,-14,-32,-16,-32,-16,-32,-14,-30,0,0,0,0,0,0,-32,14,-28,14,-28,14,-24,13,-22,14,-22,13,-22,12,-21,14,-21,16,-16,16,-14,16,-12,16,-10,17,-9,18,-8,18,-8,22,-5,22,-2,24,-2,21,-1,22,-1,21,2,22,2,20,4,22,5,24,8,26,9,25,9,25,9,25,10,24,10,22,12,21,16,24,18,25,22,26,24,28,25,29,25,28,25,29,22,28,24,28,24,30,24,29,26,29,28,28,29,30,25,32,25,34,24,34,26,37,26,33,28,33,24,32,22,36,17,36,16,38,13,41,0,0,0,0,0,0,0,0,0,0]"""
1782265897841,2026-06-24T10:51:37.841,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30793,1a:00:00:00:00:00,-73,11,-99,16,56,11,2081477395,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,28,-2,29,-4,29,-5,28,-5,29,-6,30,-6,32,-8,36,-6,36,-8,36,-10,37,-10,32,-13,34,-13,32,-16,37,-16,36,-14,34,-14,36,-14,37,-16,37,-18,42,-18,41,-20,41,-18,41,-14,36,-14,37,-14,34,-14,37,-13,36,-10,37,-9,34,-9,36,-8,32,-9,34,-10,33,-12,36,-9,36,-8,36,-6,37,-6,36,-4,37,-1,36,1,34,1,32,4,32,4,30,5,34,4,34,5,37,4,34,6,36,5,34,5,32,6,30,9,30,9,29,10,29,0,0,0,0,0,0,28,-6,28,-9,25,-9,25,-12,22,-12,22,-13,22,-14,21,-13,18,-12,20,-12,16,-13,17,-16,14,-17,14,-18,12,-20,10,-18,9,-20,9,-18,8,-21,6,-21,4,-20,2,-18,0,-18,-2,-18,-4,-21,-4,-22,-4,-26,-4,-29,-5,-26,-6,-29,-8,-28,-10,-30,-9,-28,-10,-28,-9,-28,-12,-29,-14,-28,-17,-33,-17,-34,-17,-36,-14,-37,-14,-37,-13,-41,-13,-40,-13,-42,-13,-40,-13,-38,-12,-34,-13,-36,-13,-34,-14,-40,-12,-41,-13,-46,-10,-44,-8,-42,-5,-41,-4,-38,0,0,0,0,0,0,0,0,0,0]"""
1782265897844,2026-06-24T10:51:37.844,warning,breathing,yja,lying_fast_breath,t011,"CSI_DATA,30794,1a:00:00:00:00:00,-73,11,-99,18,55,11,2081494858,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-22,-15,-22,-15,-22,-16,-24,-18,-26,-21,-26,-21,-26,-22,-25,-21,-26,-22,-26,-22,-26,-24,-28,-25,-28,-25,-26,-26,-25,-26,-26,-28,-28,-31,-29,-33,-29,-32,-26,-31,-25,-31,-25,-29,-28,-26,-29,-28,-31,-28,-28,-28,-28,-26,-24,-25,-24,-25,-26,-26,-29,-26,-31,-26,-32,-25,-29,-24,-29,-21,-28,-19,-28,-18,-29,-16,-29,-15,-29,-14,-28,-12,-28,-12,-32,-12,-35,-12,-38,-12,-39,-11,-36,-11,-36,-9,-33,-8,-32,-8,-32,-8,-32,-8,-32,-7,-33,-7,-33,-5,-36,-4,-36,-2,0,0,0,0,0,0,2,29,1,29,0,28,1,28,1,26,4,25,5,24,5,25,7,26,7,24,7,22,8,21,9,19,11,16,12,16,12,15,12,14,12,12,14,12,15,12,19,14,21,11,22,11,22,9,21,8,21,5,24,4,24,2,25,2,25,1,25,1,24,0,26,-1,29,-1,33,-2,36,-2,38,-4,36,-4,36,-4,36,-4,38,-4,39,-5,39,-5,40,-5,39,-5,40,-4,43,-4,46,-2,48,-1,46,0,42,1,42,4,40,4,42,4,42,5,40,5,40,5,0,0,0,0,0,0,0,0,0,0]"""
