pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782180493839,2026-06-23T11:08:13.839,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640868,1a:00:00:00:00:00,-45,11,-95,17,26,11,76788351,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,32,-4,30,-5,32,-10,33,-11,32,-11,34,-13,35,-17,34,-14,39,-19,35,-19,39,-21,42,-21,42,-21,41,-23,36,-29,41,-27,45,-30,41,-30,38,-24,39,-28,38,-32,42,-33,40,-32,40,-35,40,-29,41,-35,40,-34,40,-34,40,-29,40,-29,39,-30,41,-30,42,-27,42,-29,43,-28,45,-26,40,-23,45,-26,42,-17,45,-24,46,-19,45,-20,45,-19,49,-21,45,-17,47,-19,48,-15,47,-19,51,-17,49,-15,49,-14,49,-17,51,-20,47,-15,54,-15,48,-13,51,0,0,0,0,0,0,45,16,47,16,45,9,43,13,43,10,38,11,39,7,36,5,38,7,36,7,36,4,35,3,36,2,33,0,30,1,29,-1,32,-3,29,-3,29,-2,28,-4,27,-7,28,-4,26,-7,26,-5,27,-8,24,-8,26,-9,23,-11,24,-13,23,-14,22,-11,23,-11,24,-13,22,-13,21,-13,22,-14,23,-13,22,-13,22,-14,22,-13,21,-13,21,-13,22,-11,21,-11,20,-10,19,-11,22,-8,19,-10,20,-5,19,-8,20,-3,19,-7,17,-4,16,-3,19,-2,16,-2,19,0,0,0,0,0,0,0,0,0,0,0]"""
1782180493846,2026-06-23T11:08:13.846,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640869,1a:00:00:00:00:00,-45,11,-95,19,26,11,76800219,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,20,-21,24,-19,25,-20,30,-19,31,-17,32,-14,31,-16,34,-13,40,-15,40,-13,42,-10,42,-10,48,-10,47,-6,48,-1,49,-1,51,-3,52,2,52,4,43,4,44,11,56,5,51,11,52,11,54,13,52,8,50,15,52,14,50,15,51,15,46,14,51,17,50,15,49,15,50,14,50,15,43,14,47,13,49,15,51,11,49,16,49,12,49,16,51,12,46,15,49,11,47,13,49,14,48,14,53,15,49,16,48,16,51,21,48,22,52,21,50,20,47,22,0,0,0,0,0,0,26,-42,25,-44,21,-41,21,-40,21,-37,22,-34,21,-35,20,-35,17,-31,20,-30,15,-32,16,-28,14,-32,16,-31,14,-26,12,-29,13,-30,13,-29,15,-28,8,-28,8,-29,11,-26,7,-24,10,-25,10,-25,6,-25,7,-25,4,-23,7,-28,6,-25,7,-25,6,-26,10,-26,6,-26,6,-24,11,-25,10,-26,10,-24,11,-24,8,-25,8,-20,10,-22,12,-23,10,-21,14,-20,11,-19,12,-16,14,-19,12,-15,12,-15,13,-13,13,-12,15,-13,12,-10,15,-10,16,-8,15,-5,0,0,0,0,0,0,0,0,0,0]"""
1782180493853,2026-06-23T11:08:13.853,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640870,1a:00:00:00:00:00,-45,11,-95,19,26,11,76808947,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-10,29,-13,28,-16,31,-19,30,-21,29,-21,25,-24,28,-28,25,-31,30,-35,25,-34,25,-35,24,-41,24,-41,23,-46,16,-43,20,-43,22,-50,17,-47,14,-46,12,-48,1,-51,14,-54,6,-52,7,-56,5,-50,5,-51,2,-54,1,-52,1,-50,3,-50,0,-52,0,-52,0,-49,1,-52,1,-50,2,-48,0,-49,1,-53,-1,-51,2,-49,-2,-49,4,-52,0,-51,2,-49,-2,-49,0,-50,0,-50,-2,-51,-1,-54,-7,-51,-4,-52,-3,-54,-7,-49,-6,-52,-6,-51,-7,-52,-6,0,0,0,0,0,0,-13,48,-13,48,-8,44,-11,43,-13,40,-12,38,-11,40,-11,41,-13,35,-13,32,-8,32,-11,33,-7,34,-12,33,-10,28,-7,30,-6,31,-6,30,-7,29,-5,29,-1,29,-5,30,-2,26,-5,29,-4,26,-4,29,-5,25,-4,28,-4,25,-2,26,-3,25,-4,26,-2,26,-2,26,-3,26,-6,26,-4,28,-5,26,-7,26,-7,23,-7,24,-6,23,-11,24,-7,21,-12,20,-7,21,-10,21,-13,19,-12,15,-10,16,-13,14,-13,14,-12,13,-17,11,-13,10,-14,7,-16,6,0,0,0,0,0,0,0,0,0,0]"""
1782180493859,2026-06-23T11:08:13.859,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640871,1a:00:00:00:00:00,-45,11,-95,19,26,11,76819947,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,25,21,25,22,29,20,28,16,32,19,31,16,33,20,38,17,38,19,39,19,39,19,42,17,44,14,46,15,49,16,49,12,51,11,50,12,44,10,43,14,52,10,51,12,50,11,54,13,50,10,52,12,51,8,51,13,49,11,47,12,51,13,49,13,48,15,49,16,49,16,44,19,47,20,48,22,44,22,46,23,42,21,43,26,46,20,43,24,42,23,44,26,42,26,42,30,44,29,43,30,42,28,46,24,44,32,44,29,42,30,44,0,0,0,0,0,0,42,-24,40,-29,39,-31,35,-26,33,-29,32,-24,29,-25,32,-25,29,-23,25,-22,24,-24,23,-21,23,-26,21,-24,21,-26,17,-24,17,-26,17,-25,15,-25,15,-26,13,-26,13,-23,11,-25,8,-26,8,-25,8,-26,10,-23,5,-25,5,-24,3,-24,6,-24,4,-25,5,-26,1,-26,4,-24,5,-28,5,-26,2,-26,3,-26,5,-23,4,-25,4,-23,6,-24,3,-24,4,-22,4,-22,6,-22,5,-21,5,-20,5,-19,6,-17,7,-17,6,-16,7,-17,10,-16,10,-14,8,-11,0,0,0,0,0,0,0,0,0,0]"""
1782180493866,2026-06-23T11:08:13.866,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640872,1a:00:00:00:00:00,-45,11,-95,19,26,11,76835244,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,29,13,26,17,26,22,26,24,23,26,21,28,21,31,17,34,20,38,17,39,16,42,16,42,16,43,13,47,6,48,6,48,6,50,0,51,-3,48,0,49,-3,47,-10,53,-10,51,-10,50,-13,53,-12,50,-17,48,-17,51,-19,47,-17,49,-17,46,-21,48,-21,46,-22,44,-21,47,-22,46,-23,43,-22,46,-23,43,-22,47,-24,41,-22,47,-25,44,-24,47,-26,41,-24,43,-29,42,-26,39,-28,41,-31,42,-32,40,-32,42,-40,42,-35,35,-34,41,-38,37,-38,35,0,0,0,0,0,0,28,41,28,39,28,35,25,39,26,34,21,35,22,35,20,35,19,32,15,34,19,31,16,31,20,30,15,30,15,30,15,26,16,28,14,29,13,25,15,24,16,24,14,29,14,21,13,23,13,24,12,26,12,23,16,21,12,24,15,21,12,25,14,24,11,24,12,23,10,22,10,25,8,23,7,22,7,24,10,25,5,25,4,24,3,25,2,23,0,22,3,22,-2,23,-2,23,-4,19,-2,20,-4,21,-6,20,-7,16,-6,17,-11,14,-10,13,-12,11,0,0,0,0,0,0,0,0,0,0]"""
1782180493872,2026-06-23T11:08:13.872,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640873,1a:00:00:00:00:00,-45,11,-95,14,27,11,76841946,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,23,13,21,18,21,21,21,26,18,26,19,27,17,28,15,31,16,36,11,35,12,39,12,38,11,40,8,43,1,45,2,43,3,47,-5,46,-5,46,-6,45,-13,42,-11,48,-15,46,-13,46,-18,48,-13,45,-18,41,-23,45,-21,40,-21,43,-23,38,-24,43,-24,39,-23,38,-25,40,-24,39,-23,36,-23,39,-25,36,-24,36,-26,36,-20,36,-26,38,-28,38,-27,38,-26,35,-28,35,-28,34,-30,34,-33,35,-33,36,-31,35,-38,33,-36,30,-35,32,-38,30,-38,28,0,0,0,0,0,0,21,39,18,39,23,38,17,36,16,34,16,34,15,33,15,35,11,31,11,32,13,30,11,28,13,28,10,30,11,27,11,27,11,27,11,25,9,28,11,23,13,24,10,25,10,23,9,23,8,23,9,24,9,23,10,23,9,24,12,20,8,20,9,24,8,23,6,24,8,21,6,25,4,24,4,23,4,24,2,24,3,20,1,23,0,23,-1,21,-2,21,0,21,-2,20,-4,19,-6,19,-5,17,-6,18,-8,16,-9,13,-9,12,-11,12,-9,11,-12,10,0,0,0,0,0,0,0,0,0,0]"""
1782180493879,2026-06-23T11:08:13.879,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640874,1a:00:00:00:00:00,-45,11,-95,18,26,11,76853250,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-2,-31,5,-31,3,-33,5,-34,6,-35,9,-34,11,-35,13,-33,13,-39,17,-38,19,-39,19,-39,19,-42,19,-42,26,-39,26,-39,26,-43,28,-40,26,-39,32,-43,31,-43,33,-39,32,-41,32,-41,35,-41,33,-40,34,-36,35,-38,35,-36,31,-40,33,-38,32,-39,32,-40,31,-39,31,-40,30,-42,26,-36,28,-40,30,-41,25,-43,27,-41,25,-45,28,-41,24,-45,26,-41,24,-45,25,-42,23,-43,23,-43,25,-48,24,-47,24,-43,27,-45,26,-47,24,-47,23,-47,24,-45,0,0,0,0,0,0,-42,-27,-43,-26,-39,-18,-40,-23,-38,-19,-38,-20,-33,-18,-35,-17,-32,-16,-33,-15,-35,-15,-33,-13,-33,-12,-31,-10,-32,-12,-30,-8,-32,-6,-31,-4,-26,-6,-28,-3,-30,-2,-31,-4,-26,-2,-27,-2,-25,-2,-27,-1,-27,-1,-27,2,-27,0,-27,2,-25,1,-28,1,-27,1,-26,2,-26,3,-27,2,-27,2,-25,2,-26,1,-25,-1,-26,0,-26,-1,-25,1,-23,1,-23,-1,-23,0,-21,-1,-20,-3,-19,-4,-19,-2,-20,-3,-19,-5,-17,-4,-16,-4,-16,-8,-16,-6,-15,-9,0,0,0,0,0,0,0,0,0,0]"""
1782180493886,2026-06-23T11:08:13.886,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640875,1a:00:00:00:00:00,-45,11,-95,19,26,11,76863946,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,20,26,15,25,14,29,11,32,10,34,6,33,5,34,1,38,4,43,-1,42,-3,42,-4,46,-8,47,-11,46,-17,43,-17,43,-19,47,-23,43,-24,39,-25,43,-26,39,-34,40,-33,39,-35,38,-40,38,-37,37,-41,32,-41,31,-43,31,-40,30,-40,26,-43,28,-42,25,-43,22,-44,25,-44,24,-42,21,-43,23,-44,19,-47,23,-47,17,-43,22,-47,21,-49,20,-44,14,-48,14,-49,13,-49,14,-48,13,-52,11,-51,8,-50,8,-54,1,-51,4,-54,4,-58,3,-52,1,0,0,0,0,0,0,-7,47,-12,48,-10,46,-11,43,-10,44,-13,40,-12,40,-13,40,-14,37,-13,33,-11,33,-13,30,-11,34,-14,32,-13,31,-10,30,-12,31,-12,30,-12,28,-10,26,-10,28,-12,25,-11,24,-12,24,-14,23,-13,26,-11,24,-12,25,-12,24,-12,21,-12,23,-13,23,-15,22,-14,23,-12,21,-17,21,-17,21,-19,20,-19,17,-19,19,-19,15,-19,16,-22,16,-20,15,-19,12,-17,11,-20,8,-19,8,-17,6,-20,5,-19,3,-19,1,-20,2,-19,0,-17,-3,-15,-4,-15,-6,0,0,0,0,0,0,0,0,0,0]"""
1782180493893,2026-06-23T11:08:13.893,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640876,1a:00:00:00:00:00,-45,11,-95,15,27,11,76874946,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,10,-25,13,-24,15,-26,21,-25,23,-21,24,-22,26,-20,30,-19,32,-20,33,-17,38,-15,38,-15,40,-13,41,-11,42,-5,46,-3,46,-3,47,1,43,3,48,5,48,7,47,11,46,13,44,13,47,17,44,16,42,22,43,22,39,24,41,23,38,25,40,28,37,26,37,28,38,28,35,30,32,26,37,30,33,31,35,29,32,31,32,30,31,34,34,33,28,33,28,34,28,38,29,35,26,38,26,42,25,39,23,41,20,43,17,44,20,44,19,43,17,43,0,0,0,0,0,0,46,-4,44,-5,42,-6,41,-3,40,-4,37,-1,37,-1,38,1,34,1,34,3,33,2,32,3,33,2,32,2,29,3,30,3,29,1,29,2,26,3,28,2,28,2,25,5,24,2,26,4,25,5,23,4,23,5,25,3,24,4,23,4,24,7,24,7,23,7,22,7,22,7,23,10,21,11,21,10,21,11,19,13,19,13,17,13,17,15,16,15,14,16,13,16,11,15,13,16,7,17,6,16,5,17,5,15,3,16,2,15,0,16,1,16,-3,15,0,0,0,0,0,0,0,0,0,0]"""
1782180493899,2026-06-23T11:08:13.899,warning,breathing,lmh,lying_irregular_breath,t012,"CSI_DATA,640877,1a:00:00:00:00:00,-45,11,-95,19,26,11,76886144,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,19,-24,22,-21,22,-23,28,-23,29,-21,30,-20,31,-19,33,-16,38,-19,37,-17,39,-16,41,-16,44,-15,46,-14,49,-7,47,-10,50,-11,51,-7,50,-6,54,0,58,-3,51,1,51,-3,52,-2,57,1,52,-3,50,5,53,6,51,4,50,4,48,5,52,5,50,4,51,6,51,7,49,5,47,3,50,1,50,5,52,1,52,4,49,0,51,3,53,2,49,6,50,3,51,2,50,1,50,5,56,6,51,6,53,3,51,7,50,8,54,7,52,5,50,5,0,0,0,0,0,0,12,-52,11,-47,7,-47,13,-40,10,-43,10,-42,7,-39,11,-44,8,-37,10,-35,7,-34,8,-33,6,-35,6,-34,6,-32,3,-30,3,-32,4,-31,6,-29,2,-28,-1,-28,3,-28,1,-28,1,-28,3,-29,1,-29,2,-25,-1,-26,0,-29,-2,-25,-2,-24,-2,-28,1,-29,0,-28,-2,-24,1,-29,0,-29,0,-26,4,-26,3,-23,2,-23,3,-24,4,-25,6,-26,5,-23,4,-22,5,-21,6,-21,7,-19,6,-17,7,-17,8,-15,8,-17,12,-15,10,-12,10,-12,12,-10,0,0,0,0,0,0,0,0,0,0]"""
