pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782188115439,2026-06-23T13:15:15.439,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341822,1a:00:00:00:00:00,-60,11,-99,15,39,11,1128219206,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,-4,20,-4,16,-3,24,-4,17,-4,24,-5,24,-7,20,-5,20,-8,20,-7,23,-11,22,-12,21,-14,19,-14,24,-14,18,-12,23,-19,17,-14,24,-21,21,-18,19,-18,17,-19,14,-18,14,-24,12,-24,9,-22,9,-21,11,-25,4,-20,5,-27,5,-21,2,-32,2,-24,-1,-25,0,-24,-3,-22,-4,-20,-9,-22,-11,-20,-11,-18,-12,-20,-12,-14,-16,-20,-14,-16,-20,-20,-17,-14,-19,-14,-17,-11,-16,-12,-15,-7,-20,-6,-21,-4,-22,-5,-18,-3,-23,0,-21,0,-18,0,0,0,0,0,0,0,-1,14,-1,12,1,20,2,15,4,9,2,12,1,9,5,11,4,8,4,12,3,7,3,7,1,6,5,7,3,6,3,5,3,5,2,5,1,5,2,3,2,5,1,5,2,5,1,5,1,4,1,5,1,4,2,5,3,5,1,5,1,5,2,7,3,5,3,7,2,7,5,11,3,10,4,9,3,10,5,9,4,9,7,11,7,11,7,9,6,12,7,9,9,12,7,10,9,14,6,11,7,11,6,11,7,11,7,10,9,11,8,10,8,11,0,0,0,0,0,0,0,0,0,0]"""
1782188115445,2026-06-23T13:15:15.445,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341823,1a:00:00:00:00:00,-60,11,-99,16,39,11,1128230314,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,2,-20,1,-18,1,-22,1,-18,3,-23,0,-23,0,-20,-3,-23,1,-22,-1,-25,3,-25,3,-24,3,-23,5,-27,3,-22,6,-27,8,-24,6,-28,6,-27,5,-25,3,-25,7,-23,5,-24,11,-23,10,-22,11,-21,11,-24,11,-17,13,-18,17,-18,15,-22,18,-20,15,-17,17,-18,16,-15,17,-13,17,-10,22,-10,20,-6,19,-9,20,-3,21,-3,23,-4,23,-6,27,-7,19,-3,21,-6,20,-1,20,0,21,0,20,2,20,0,21,0,23,7,18,3,18,5,23,0,0,0,0,0,0,17,-7,14,-3,17,-5,17,-3,10,-3,13,-4,9,-2,11,-6,9,-3,11,-5,8,-2,8,-3,8,-1,6,-3,6,-3,5,-1,6,-2,5,-1,6,-1,3,-1,4,-1,5,0,5,-1,5,0,5,0,6,0,4,0,5,0,6,0,6,0,6,0,8,1,6,0,7,0,8,0,11,0,10,2,9,2,10,2,11,2,10,1,13,0,11,1,10,0,11,1,12,0,14,0,13,1,15,1,11,3,13,3,13,5,13,2,11,3,14,3,13,3,13,3,0,0,0,0,0,0,0,0,0,0]"""
1782188115451,2026-06-23T13:15:15.451,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341824,1a:00:00:00:00:00,-59,11,-99,21,37,11,1128241248,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,17,-9,15,-13,19,-12,17,-15,18,-14,15,-15,16,-15,19,-13,16,-15,20,-17,17,-17,17,-19,17,-16,19,-15,17,-22,19,-17,19,-17,22,-17,19,-19,22,-17,24,-18,17,-18,22,-17,22,-19,19,-17,19,-17,19,-13,20,-17,22,-14,18,-13,22,-15,19,-12,23,-11,20,-11,24,-9,23,-10,23,-8,23,-11,21,-8,22,-5,21,-7,24,-5,22,-1,24,-3,21,-2,25,-3,20,-1,22,-1,22,-2,26,-3,22,-4,17,-4,19,-4,24,-2,18,-2,19,-4,22,0,0,0,0,0,0,17,-1,18,0,13,0,15,1,14,2,15,0,14,0,11,0,11,2,8,1,12,1,11,0,8,0,7,3,8,0,6,1,6,2,6,3,5,1,4,3,4,3,4,3,4,4,2,2,5,4,3,4,4,5,4,5,4,4,3,6,4,6,3,6,4,8,4,7,4,7,3,8,3,10,3,10,5,10,3,9,3,11,2,12,2,13,3,13,3,13,0,14,0,13,4,15,0,13,1,14,0,14,0,13,-1,14,0,15,-2,15,-3,13,-2,13,0,0,0,0,0,0,0,0,0,0]"""
1782188115457,2026-06-23T13:15:15.457,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341825,1a:00:00:00:00:00,-61,11,-99,15,39,11,1128252198,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-18,6,-18,5,-19,6,-20,7,-20,5,-19,7,-19,8,-20,7,-22,11,-22,10,-22,9,-22,11,-21,12,-23,13,-24,13,-22,14,-22,16,-22,14,-20,15,-18,17,-19,17,-18,22,-18,19,-18,18,-17,20,-15,21,-16,21,-15,23,-12,22,-10,23,-11,22,-7,23,-5,22,-2,24,-2,24,0,25,0,24,0,23,2,24,3,23,3,24,6,22,7,22,7,22,9,20,10,18,12,20,13,17,15,17,14,16,13,16,15,16,16,16,16,14,16,14,16,12,16,11,0,0,0,0,0,0,9,-14,8,-15,7,-12,6,-13,5,-13,6,-11,5,-10,3,-11,4,-10,3,-9,1,-9,2,-8,1,-9,1,-7,2,-6,1,-6,1,-6,1,-5,2,-5,1,-5,1,-4,2,-4,1,-4,1,-4,2,-4,2,-5,3,-5,3,-5,3,-5,3,-5,4,-5,4,-5,4,-7,4,-7,5,-6,4,-7,5,-8,3,-8,5,-9,5,-9,5,-10,7,-9,6,-11,7,-10,7,-11,6,-11,7,-10,7,-11,7,-11,6,-11,5,-12,6,-12,7,-12,7,-12,7,-10,7,-11,8,-11,0,0,0,0,0,0,0,0,0,0]"""
1782188115465,2026-06-23T13:15:15.465,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341826,1a:00:00:00:00:00,-61,11,-99,15,39,11,1128263198,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,0,21,0,17,1,23,3,18,1,24,3,24,3,21,4,22,2,20,4,25,4,25,3,25,1,24,2,29,3,22,2,29,2,24,2,30,3,28,1,24,1,26,1,22,1,27,0,27,-1,25,-1,24,0,28,-1,20,-3,27,-5,23,-2,30,-7,24,-5,23,-7,23,-6,22,-7,18,-8,21,-11,20,-11,18,-10,19,-12,15,-13,18,-15,17,-14,22,-17,17,-13,15,-16,16,-14,14,-14,12,-16,14,-19,11,-16,14,-18,12,-15,11,-18,12,-18,12,-15,0,0,0,0,0,0,-14,-10,-11,-7,-16,-9,-12,-7,-8,-6,-11,-8,-9,-4,-11,-7,-9,-4,-10,-6,-8,-5,-7,-4,-7,-4,-5,-3,-6,-3,-5,-4,-5,-3,-4,-3,-4,-5,-3,-1,-3,-3,-3,-3,-3,-5,-3,-5,-1,-3,-1,-4,-1,-4,-2,-5,-1,-6,-2,-5,-1,-6,-1,-8,-2,-6,-1,-8,-1,-8,-2,-11,-1,-10,-1,-9,-1,-10,-1,-10,-1,-10,-1,-12,-1,-12,-1,-11,0,-12,-1,-11,-1,-13,0,-12,0,-17,1,-12,0,-13,1,-13,1,-12,1,-12,1,-14,1,-12,3,-14,0,0,0,0,0,0,0,0,0,0]"""
1782188115471,2026-06-23T13:15:15.471,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341827,1a:00:00:00:00:00,-61,11,-99,15,39,11,1128274198,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,15,9,18,11,15,9,19,12,17,9,20,12,20,11,16,12,22,9,20,12,24,10,24,9,24,7,23,6,26,9,24,3,28,3,25,3,28,3,27,3,25,2,27,0,25,0,26,-3,26,-5,24,-5,23,-5,27,-5,20,-11,22,-13,21,-11,24,-15,20,-11,18,-16,19,-14,16,-18,14,-17,12,-20,11,-20,8,-20,10,-21,4,-21,4,-24,3,-22,3,-26,3,-21,0,-22,1,-22,-1,-20,-2,-22,-5,-21,-5,-20,-5,-21,-7,-19,-10,-18,-9,-19,-9,-18,0,0,0,0,0,0,-15,9,-12,10,-11,11,-12,9,-8,7,-9,9,-7,9,-7,10,-7,7,-7,8,-5,7,-5,5,-3,7,-3,5,-3,5,-3,5,-3,5,-3,4,-3,4,-2,4,-1,4,-2,4,-3,4,-3,3,-3,3,-4,3,-3,3,-3,4,-4,5,-5,4,-5,4,-6,5,-3,5,-5,7,-6,6,-6,7,-7,6,-7,7,-7,8,-7,7,-7,8,-6,11,-7,10,-5,9,-8,10,-6,10,-5,11,-7,11,-9,12,-7,9,-8,12,-9,9,-7,11,-7,11,-7,12,-6,12,-8,11,0,0,0,0,0,0,0,0,0,0]"""
1782188115481,2026-06-23T13:15:15.481,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341828,1a:00:00:00:00:00,-60,11,-99,15,39,11,1128285198,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,16,11,14,9,18,11,16,10,20,13,16,11,17,10,21,11,20,12,24,11,20,11,20,12,21,12,24,12,22,11,25,14,23,11,25,12,22,9,24,9,27,8,25,8,27,7,24,7,25,7,25,6,26,7,25,1,27,6,24,3,25,1,22,0,25,-3,23,-3,23,-6,24,-5,24,-6,21,-5,22,-7,22,-9,20,-10,22,-9,20,-9,19,-13,15,-10,17,-15,16,-13,14,-16,16,-16,15,-16,14,-14,16,-15,13,-16,14,-16,14,-16,11,-14,11,-16,0,0,0,0,0,0,-15,-8,-14,-9,-12,-6,-12,-5,-14,-7,-11,-5,-11,-6,-9,-5,-9,-4,-7,-3,-8,-3,-7,-3,-7,-2,-8,-3,-6,-3,-5,-2,-5,-2,-5,-3,-5,-2,-4,-3,-4,-3,-3,-3,-2,-3,-3,-2,-3,-3,-3,-3,-3,-5,-3,-4,-2,-5,-3,-5,-3,-5,-3,-5,-4,-8,-4,-6,-3,-7,-3,-7,-5,-8,-5,-9,-6,-8,-5,-9,-6,-11,-4,-10,-5,-11,-5,-11,-5,-11,-4,-12,-3,-12,-6,-11,-3,-9,-7,-12,-5,-11,-7,-12,-5,-12,-5,-14,-2,-11,-2,-12,-3,-12,0,0,0,0,0,0,0,0,0,0]"""
1782188115487,2026-06-23T13:15:15.487,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341829,1a:00:00:00:00:00,-61,11,-99,17,39,11,1128296198,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-11,-14,-10,-17,-10,-15,-10,-18,-10,-16,-9,-18,-11,-19,-8,-19,-14,-19,-10,-20,-12,-20,-14,-21,-14,-20,-14,-20,-16,-23,-16,-17,-19,-19,-17,-19,-17,-20,-17,-19,-16,-19,-19,-18,-17,-19,-19,-16,-20,-17,-19,-14,-19,-15,-22,-15,-22,-9,-23,-8,-22,-10,-25,-8,-22,-8,-23,-6,-23,-7,-23,-3,-22,-3,-23,0,-22,0,-22,1,-23,1,-20,6,-22,6,-22,6,-22,7,-19,5,-20,7,-20,7,-19,9,-19,10,-18,11,-17,11,-19,12,-16,11,-14,13,-15,12,-15,13,0,0,0,0,0,0,12,13,12,11,12,11,10,11,9,8,10,9,9,6,10,6,8,6,7,7,7,6,7,6,6,4,6,4,5,4,5,3,4,4,3,4,3,4,4,2,4,3,3,3,3,4,2,4,1,4,3,5,1,4,2,4,2,5,3,5,2,6,3,7,3,6,4,7,3,7,4,9,3,9,4,9,3,10,4,10,4,9,4,10,4,11,4,11,4,12,6,10,5,11,4,12,5,13,3,11,4,12,3,12,5,13,3,13,3,13,3,12,3,13,0,0,0,0,0,0,0,0,0,0]"""
1782188115494,2026-06-23T13:15:15.494,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341830,1a:00:00:00:00:00,-61,11,-99,15,39,11,1128307198,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-1,-20,0,-18,-2,-20,-1,-18,0,-22,-1,-20,-2,-21,-3,-22,-4,-24,-5,-23,-3,-24,-5,-23,-6,-24,-6,-25,-5,-25,-7,-27,-7,-24,-7,-27,-9,-21,-10,-23,-11,-24,-13,-24,-13,-24,-12,-23,-14,-22,-16,-21,-16,-22,-16,-20,-17,-20,-16,-18,-17,-17,-17,-12,-20,-13,-20,-12,-22,-9,-23,-9,-23,-9,-21,-8,-22,-5,-24,-5,-23,-5,-24,-3,-22,-3,-24,0,-19,0,-22,2,-22,3,-21,6,-22,5,-22,7,-20,5,-20,7,-20,7,-20,8,-19,7,-17,9,-17,9,0,0,0,0,0,0,9,15,9,14,8,11,8,12,9,12,8,9,8,10,7,8,7,9,7,5,6,7,5,6,6,5,5,5,5,5,5,4,5,4,3,4,3,4,3,4,3,3,2,5,2,3,2,3,1,5,3,5,2,5,2,5,2,5,3,6,3,7,3,7,3,8,3,7,3,7,3,7,3,9,3,9,5,9,4,11,4,11,3,11,5,12,5,12,4,12,4,13,3,12,4,12,4,11,5,12,5,12,5,12,4,12,5,13,3,12,3,12,2,13,0,0,0,0,0,0,0,0,0,0]"""
1782188115500,2026-06-23T13:15:15.500,warning,breathing,mhw,lying_irregular_breath,t061,"CSI_DATA,341831,1a:00:00:00:00:00,-61,11,-99,15,39,11,1128318198,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-5,-18,-4,-16,-7,-21,-7,-17,-8,-21,-6,-19,-7,-18,-11,-21,-7,-22,-12,-22,-10,-21,-9,-22,-11,-22,-12,-23,-13,-20,-14,-25,-14,-20,-16,-22,-14,-19,-16,-18,-20,-19,-18,-18,-20,-19,-18,-16,-20,-18,-20,-16,-23,-16,-22,-10,-23,-15,-22,-11,-23,-8,-20,-7,-25,-4,-22,-5,-24,-1,-24,-2,-24,0,-22,0,-24,0,-24,3,-21,5,-24,5,-20,5,-21,11,-18,7,-19,12,-19,10,-17,14,-18,14,-17,14,-16,12,-16,14,-14,15,-16,16,-14,15,-12,14,-11,15,0,0,0,0,0,0,14,8,15,9,11,5,12,5,14,6,11,5,12,5,10,4,11,3,8,3,9,2,8,1,7,1,7,2,7,1,7,2,7,1,6,1,5,1,5,2,4,2,4,1,3,1,4,1,4,3,5,2,5,2,5,3,5,3,5,3,6,3,5,3,7,5,7,4,6,5,7,4,9,4,8,5,10,4,9,5,9,6,9,6,11,7,11,7,11,6,11,8,9,7,12,6,9,5,12,6,11,7,12,5,11,7,13,7,11,7,9,7,10,7,0,0,0,0,0,0,0,0,0,0]"""
