pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782318810773,2026-06-25T01:33:30.765,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764656,1a:00:00:00:00:00,-66,11,-99,15,52,11,-851482123,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-16,7,-10,13,-12,5,-14,11,-13,16,-21,13,-21,14,-24,16,-16,17,-21,20,-24,20,-24,23,-25,25,-24,20,-17,34,-30,26,-25,31,-32,33,-25,25,-28,19,-25,28,-29,32,-36,31,-28,31,-30,38,-34,29,-38,23,-34,33,-41,29,-30,26,-48,30,-38,29,-48,27,-39,21,-46,23,-41,24,-49,24,-50,20,-52,16,-52,6,-43,16,-57,12,-58,12,-55,3,-60,0,-68,1,-60,-7,-68,-2,-65,-2,-70,-6,-77,-8,-63,-7,-66,-12,-86,-12,-72,-14,-65,-26,-72,0,0,0,0,0,0,-64,28,-76,34,-80,36,-74,40,-74,40,-67,41,-78,44,-70,39,-69,46,-66,43,-70,50,-57,61,-58,48,-60,57,-61,63,-53,54,-52,64,-44,55,-38,53,-54,73,-34,68,-33,81,-40,71,-39,81,-27,85,-16,64,-24,86,-24,88,-26,70,-22,82,-16,78,-5,72,-24,89,-12,79,-4,87,-23,81,-1,97,-16,90,-4,89,-15,77,-18,85,-15,90,-24,80,-12,74,-5,67,-26,78,-13,65,-12,70,-19,64,-10,79,-21,62,-9,59,-16,55,-20,51,-22,53,-20,45,-21,40,0,0,0,0,0,0,0,0,0,0]"""
1782318810784,2026-06-25T01:33:30.776,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764657,1a:00:00:00:00:00,-66,11,-99,18,51,11,-851471116,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-12,-14,-10,-12,-5,-19,-5,-20,-3,-21,-9,-18,-9,-18,-8,-19,-12,-19,-10,-25,-3,-24,-7,-28,-3,-32,2,-34,3,-40,4,-39,-2,-34,10,-41,10,-36,-3,-35,0,-32,4,-51,10,-40,21,-43,18,-45,16,-43,18,-41,16,-43,22,-45,21,-43,20,-40,17,-40,10,-51,8,-53,5,-49,7,-54,8,-49,19,-49,17,-58,26,-51,21,-55,12,-55,12,-52,23,-62,5,-50,3,-55,-3,-62,-3,-67,3,-77,5,-74,19,-66,18,-65,5,-74,6,-72,31,-78,8,-80,19,-79,0,0,0,0,0,0,-84,-12,-91,-24,-75,-12,-90,-13,-88,-25,-74,-28,-78,-26,-81,-22,-86,-33,-79,-10,-70,1,-77,-9,-79,-1,-87,-6,-76,-26,-80,-19,-78,-5,-79,-21,-77,-16,-80,-12,-82,-9,-77,-16,-72,0,-72,5,-74,4,-89,8,-86,1,-82,-20,-90,-10,-81,-7,-82,-18,-87,-11,-86,-12,-89,-19,-89,-24,-79,-11,-81,-6,-88,0,-86,-3,-88,-10,-77,-21,-71,-40,-78,-34,-74,-41,-70,-40,-66,-35,-56,-43,-54,-47,-48,-33,-53,-32,-52,-33,-53,-31,-53,-39,-40,-39,-20,-45,-24,-47,-25,-42,0,0,0,0,0,0,0,0,0,0]"""
1782318810795,2026-06-25T01:33:30.787,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764658,1a:00:00:00:00:00,-66,11,-99,15,52,11,-851460492,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-3,-12,-9,-19,-6,-13,-6,-21,-8,-16,-3,-23,0,-24,3,-14,-8,-25,0,-25,0,-27,5,-35,-2,-34,0,-35,0,-43,1,-30,-3,-42,1,-36,5,-44,6,-38,7,-30,2,-52,14,-35,12,-52,8,-45,13,-41,12,-44,9,-48,0,-40,4,-54,1,-48,5,-59,1,-45,0,-52,-1,-55,0,-50,3,-50,-7,-46,-7,-54,-5,-48,-5,-63,-19,-43,-21,-58,-12,-61,-16,-74,-11,-46,-25,-52,-15,-59,-25,-59,-30,-61,-38,-59,-32,-66,-37,-70,-30,-58,-43,-69,-47,-72,-44,-68,0,0,0,0,0,0,-79,58,-68,43,-81,61,-72,43,-55,41,-70,59,-56,52,-69,72,-54,50,-70,58,-52,62,-55,56,-50,68,-52,52,-56,61,-49,63,-48,63,-50,62,-56,76,-25,57,-32,78,-37,66,-38,82,-38,75,-39,69,-24,87,-34,63,-30,77,-25,83,-23,71,-32,70,-36,84,-8,68,-15,89,-27,78,-23,101,-27,77,-20,84,-38,82,-25,83,-27,67,-21,80,-26,73,-28,68,-41,71,-23,59,-23,72,-31,57,-45,70,-34,53,-29,60,-35,46,-29,51,-34,34,-34,42,-41,35,-33,34,0,0,0,0,0,0,0,0,0,0]"""
1782318810806,2026-06-25T01:33:30.798,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764659,1a:00:00:00:00:00,-66,11,-99,18,51,11,-851449593,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,5,-21,5,-17,9,-19,4,-11,10,-17,12,-16,7,-18,7,-27,14,-25,8,-26,17,-23,15,-28,11,-19,19,-26,24,-26,34,-32,30,-28,34,-31,22,-20,26,-23,40,-38,28,-26,34,-42,34,-22,30,-24,33,-29,41,-29,37,-28,47,-28,34,-20,36,-33,27,-24,22,-33,29,-36,28,-39,35,-46,37,-43,36,-35,33,-46,39,-49,28,-50,50,-48,44,-40,28,-49,25,-37,22,-57,29,-52,11,-63,27,-71,18,-62,30,-50,34,-70,32,-72,30,-71,35,-68,24,-67,25,-73,0,0,0,0,0,0,-72,-24,-86,-40,-64,-20,-82,-22,-89,-27,-72,-27,-86,-28,-70,-23,-89,-25,-72,-17,-71,-6,-88,4,-84,-12,-94,3,-70,-2,-79,-2,-77,0,-82,-10,-73,4,-97,-5,-75,0,-86,0,-63,4,-70,19,-79,25,-81,18,-95,30,-81,12,-85,20,-86,26,-93,16,-84,28,-107,5,-81,4,-85,12,-65,7,-81,26,-75,18,-80,36,-94,17,-86,14,-74,0,-83,4,-88,0,-79,2,-82,-13,-67,-14,-69,0,-42,1,-65,1,-57,0,-67,3,-56,-10,-56,-9,-40,-13,-45,-12,-41,-20,0,0,0,0,0,0,0,0,0,0]"""
1782318810817,2026-06-25T01:33:30.809,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764660,1a:00:00:00:00:00,-66,11,-99,14,52,11,-851438269,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,-12,6,-12,8,-10,17,-10,10,-16,21,-18,17,-17,13,-8,20,-11,23,-5,26,-12,33,-5,34,-9,28,-5,35,-5,29,-2,41,-5,35,-4,50,9,50,5,40,-6,44,12,34,4,49,16,37,15,34,19,53,17,40,11,33,12,62,12,47,14,53,28,37,44,35,35,56,23,17,20,39,8,59,15,62,23,33,14,51,27,43,19,49,16,54,40,65,51,55,45,53,49,63,30,39,27,53,20,67,33,65,27,52,48,64,39,69,33,56,68,68,48,0,0,0,0,0,0,45,-56,42,-45,67,-72,56,-62,41,-53,60,-65,49,-56,68,-63,49,-56,76,-60,65,-57,61,-47,58,-46,58,-40,66,-57,62,-49,65,-44,58,-48,63,-51,51,-47,69,-56,54,-56,81,-56,78,-50,72,-52,65,-38,59,-43,72,-51,72,-41,69,-42,71,-39,70,-48,66,-38,81,-47,68,-44,98,-35,86,-29,83,-24,86,-17,70,-11,77,-8,82,-19,86,0,72,2,76,3,67,0,80,0,67,4,86,20,59,20,60,19,50,27,47,22,39,28,52,34,36,30,34,38,0,0,0,0,0,0,0,0,0,0]"""
1782318810828,2026-06-25T01:33:30.820,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764661,1a:00:00:00:00:00,-66,11,-99,16,51,11,-851421887,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,20,49,35,20,43,-70,-8,75,-72,-18,41,34,-31,-89,56,28,34,12,-69,-51,-47,42,-5,29,-56,8,-35,52,30,47,-30,0,-11,44,-57,47,-25,16,-42,28,-7,26,-30,31,-40,25,-38,24,-40,28,-41,32,-40,38,-32,40,-39,30,-28,29,-25,47,-21,29,-28,49,-25,38,-20,46,-30,43,-27,51,-21,48,-22,47,-18,52,-8,52,-18,64,-12,55,-1,57,-13,55,0,70,-7,65,3,67,0,66,3,69,-5,64,-7,69,15,67,6,84,5,73,7,71,26,78,0,0,0,0,0,0,74,-19,79,-34,65,-21,81,-46,95,-35,74,-36,82,-37,64,-25,76,-54,65,-39,61,-42,64,-58,64,-47,62,-61,62,-48,60,-46,64,-53,57,-62,39,-51,61,-70,46,-57,37,-78,30,-60,35,-74,32,-78,28,-68,37,-77,37,-73,41,-71,34,-82,25,-82,13,-79,33,-88,25,-73,14,-90,20,-67,9,-98,25,-74,6,-87,18,-81,27,-88,25,-76,33,-74,27,-74,17,-63,23,-72,20,-57,16,-70,25,-52,22,-65,18,-53,20,-60,22,-54,27,-54,24,-48,23,-39,24,-35,0,0,0,0,0,0,0,0,0,0]"""
1782318810839,2026-06-25T01:33:30.831,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764662,1a:00:00:00:00:00,-66,11,-99,18,51,11,-851416611,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-6,15,-10,12,-15,11,-11,12,-18,11,-15,14,-12,11,-24,12,-21,10,-28,17,-27,12,-26,6,-30,6,-34,5,-31,9,-43,5,-34,9,-47,3,-40,0,-28,-2,-47,0,-42,4,-51,3,-47,-2,-42,-7,-43,-1,-45,-1,-34,0,-60,-9,-46,-7,-48,-6,-43,-10,-54,0,-49,-5,-47,0,-50,3,-54,-4,-56,-10,-52,-15,-63,-2,-53,2,-63,-6,-49,-5,-59,5,-42,0,-68,17,-60,-5,-67,15,-78,5,-72,1,-69,-3,-71,-3,-66,10,-81,5,-79,-1,-71,-4,-79,9,0,0,0,0,0,0,5,79,3,101,1,81,17,81,0,96,4,68,3,110,0,72,3,97,3,73,6,76,14,93,0,71,13,90,2,81,-1,73,-5,81,3,85,16,65,11,93,7,74,12,85,8,67,17,74,19,86,15,75,18,86,12,83,4,86,9,84,13,88,19,72,6,103,3,81,17,87,1,68,13,94,2,85,9,88,-3,84,-6,91,-10,77,-24,80,-17,80,-10,71,-21,81,-26,62,-9,72,-19,48,-17,67,-25,52,-21,59,-27,51,-35,49,-35,37,-36,33,-32,32,0,0,0,0,0,0,0,0,0,0]"""
1782318810850,2026-06-25T01:33:30.842,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764663,1a:00:00:00:00:00,-66,11,-99,14,52,11,-851401678,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-18,0,-22,1,-15,0,-21,-5,-15,-1,-27,-5,-31,-9,-24,-4,-28,-9,-25,-13,-28,-11,-33,-13,-28,-4,-35,-8,-39,-13,-32,-4,-38,-5,-36,-9,-47,-10,-38,-17,-35,-28,-34,-10,-42,-19,-45,-14,-43,-5,-43,-10,-46,-10,-51,-10,-41,2,-49,0,-49,-9,-56,-3,-48,-7,-45,0,-50,-5,-51,4,-48,5,-54,13,-49,16,-47,15,-57,15,-39,27,-54,39,-51,25,-64,42,-56,31,-54,39,-67,34,-46,39,-42,45,-42,62,-42,64,-45,61,-43,57,-28,70,-38,72,-42,75,0,0,0,0,0,0,77,31,67,21,93,32,76,33,58,20,91,25,72,12,100,13,67,12,94,15,86,13,77,21,81,0,69,5,88,-13,86,-15,70,-22,73,-24,85,-14,63,-32,72,-42,73,-22,85,-42,78,-33,72,-30,71,-49,63,-42,62,-62,56,-63,52,-53,50,-54,69,-58,30,-61,52,-72,52,-64,64,-86,66,-50,51,-66,73,-59,53,-59,55,-65,47,-77,44,-70,34,-59,52,-63,28,-63,42,-72,40,-51,55,-64,45,-40,45,-44,44,-32,35,-43,39,-27,35,-45,34,-41,33,-36,0,0,0,0,0,0,0,0,0,0]"""
1782318810861,2026-06-25T01:33:30.853,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764664,1a:00:00:00:00:00,-66,11,-99,18,51,11,-851394611,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,17,0,12,-2,17,-5,22,-2,23,-5,23,-6,18,-10,25,-21,15,-14,24,-12,22,-26,19,-19,20,-33,27,-19,27,-21,24,-25,28,-29,24,-43,27,-33,26,-43,19,-40,16,-40,12,-47,15,-40,17,-41,12,-51,10,-35,15,-48,19,-43,19,-49,13,-47,8,-49,12,-56,2,-52,16,-52,11,-49,24,-48,18,-47,15,-51,7,-45,30,-47,32,-63,20,-72,28,-49,16,-56,28,-68,9,-63,20,-68,22,-66,27,-70,28,-69,28,-62,24,-77,27,-80,17,-80,24,0,0,0,0,0,0,18,88,8,80,15,86,17,83,10,79,15,83,17,71,13,89,12,82,10,81,5,81,0,71,14,84,-6,83,9,80,9,81,10,79,5,79,3,89,21,63,20,77,13,81,13,86,11,81,-4,77,12,87,3,79,11,81,4,89,9,77,3,81,-7,94,10,80,10,87,2,89,-4,95,-16,79,-8,90,-24,81,-15,89,-23,72,-13,86,-29,70,-26,71,-38,63,-17,68,-27,71,-35,59,-41,61,-37,39,-44,46,-47,36,-41,41,-47,33,-40,32,-41,24,-44,17,0,0,0,0,0,0,0,0,0,0]"""
1782318810872,2026-06-25T01:33:30.864,warning,breathing,yja,lying_irregular_breath,t062,"CSI_DATA,764665,1a:00:00:00:00:00,-66,11,-99,19,51,11,-851381182,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-16,-1,-15,-4,-16,-6,-9,-7,-15,-11,-16,-14,-19,-14,-22,-25,-20,-16,-23,-19,-21,-21,-15,-24,-12,-25,-10,-21,-12,-15,-21,-41,-14,-32,-18,-41,-11,-34,-3,-40,-5,-53,-5,-36,-12,-50,-9,-45,-3,-39,0,-46,-6,-50,-8,-38,-5,-56,0,-45,-16,-57,0,-41,-5,-54,-2,-51,-1,-50,-7,-53,-3,-54,-5,-50,-5,-54,-11,-56,-12,-47,-11,-61,-6,-53,-17,-61,-5,-49,-17,-63,-7,-61,-23,-61,-11,-63,-12,-68,-7,-65,-3,-66,-8,-74,-15,-86,-5,-77,-8,-68,-26,-78,0,0,0,0,0,0,-72,23,-91,14,-68,10,-86,17,-89,13,-68,12,-95,14,-66,10,-89,12,-72,9,-75,14,-81,22,-77,14,-84,23,-77,16,-77,4,-88,4,-78,12,-64,18,-93,22,-68,14,-90,28,-72,7,-78,19,-84,18,-78,16,-97,23,-79,16,-74,12,-88,10,-88,23,-71,23,-98,5,-72,10,-84,18,-70,2,-88,16,-85,1,-88,9,-85,-5,-90,-12,-80,-11,-79,-26,-81,-21,-70,-12,-77,-23,-63,-24,-70,-14,-52,-18,-74,-22,-53,-31,-58,-25,-48,-30,-47,-42,-36,-34,-29,-39,-29,-38,0,0,0,0,0,0,0,0,0,0]"""
