pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782178993932,2026-06-23T10:43:13.932,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504515,1a:00:00:00:00:00,-39,11,-94,28,21,11,271842373,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,18,-5,20,-3,23,-2,25,0,25,-1,23,1,22,1,25,3,26,5,25,1,28,2,26,3,30,5,28,6,30,10,28,8,30,7,30,8,31,11,28,17,32,15,30,13,30,16,30,11,32,15,30,12,31,13,30,16,31,16,32,12,30,13,36,16,32,15,31,16,35,15,33,13,33,13,37,12,36,15,41,13,37,13,39,10,41,13,41,13,37,13,40,12,40,17,42,12,44,15,45,18,45,17,44,16,44,21,45,23,49,21,51,21,47,23,0,0,0,0,0,0,30,-45,28,-44,28,-47,30,-39,28,-39,26,-36,26,-37,28,-40,27,-37,27,-35,27,-35,25,-32,23,-36,25,-33,26,-35,21,-33,23,-37,21,-33,22,-32,22,-32,18,-33,21,-33,20,-33,20,-33,23,-35,22,-35,20,-33,17,-33,21,-36,16,-36,20,-32,20,-33,22,-36,20,-35,21,-32,26,-37,26,-35,22,-32,27,-32,27,-30,25,-30,27,-32,31,-30,28,-30,31,-26,31,-26,31,-22,31,-21,32,-17,33,-16,32,-13,31,-10,31,-10,35,-3,32,-6,33,-2,32,3,0,0,0,0,0,0,0,0,0,0]"""
1782178993939,2026-06-23T10:43:13.939,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504516,1a:00:00:00:00:00,-39,11,-94,29,20,11,271853782,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,17,-17,17,-17,23,-17,24,-20,24,-13,19,-17,19,-15,23,-17,20,-20,26,-16,23,-17,24,-20,21,-24,26,-21,32,-15,24,-23,27,-23,30,-23,32,-26,26,-16,32,-10,24,-26,27,-23,32,-27,32,-28,27,-30,32,-26,32,-26,32,-26,26,-32,27,-28,27,-37,21,-35,24,-37,23,-41,24,-38,20,-34,19,-38,17,-45,16,-42,21,-42,13,-45,15,-46,12,-45,12,-45,9,-43,8,-49,5,-54,9,-52,6,-56,9,-61,2,-56,5,-61,9,-63,5,-64,5,-68,2,-60,0,0,0,0,0,0,-60,-12,-57,-8,-60,0,-59,0,-57,0,-61,-2,-53,5,-54,5,-54,2,-53,2,-50,10,-49,5,-45,12,-49,10,-46,13,-45,12,-45,13,-42,12,-42,12,-37,21,-41,21,-38,19,-37,20,-41,23,-38,26,-38,27,-38,23,-38,30,-38,28,-30,34,-32,31,-30,34,-31,31,-32,32,-31,30,-37,35,-37,35,-34,38,-32,34,-35,34,-32,34,-34,30,-31,35,-28,34,-34,30,-31,31,-34,27,-34,28,-34,24,-30,24,-32,19,-35,21,-34,21,-37,20,-32,16,-32,15,-35,12,0,0,0,0,0,0,0,0,0,0]"""
1782178993946,2026-06-23T10:43:13.946,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504517,1a:00:00:00:00:00,-39,11,-94,26,21,11,271866081,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-21,6,-20,6,-21,4,-24,4,-25,4,-25,2,-22,1,-26,1,-26,1,-28,2,-26,1,-26,1,-29,1,-29,0,-30,-2,-30,-1,-32,0,-33,-1,-32,-1,-29,-6,-34,-8,-33,-4,-36,-1,-33,-2,-36,-2,-33,-1,-32,-1,-36,-2,-36,-2,-37,-1,-33,-1,-38,0,-36,0,-36,-1,-40,4,-38,1,-34,4,-40,5,-38,5,-40,9,-40,6,-40,8,-41,8,-42,12,-40,8,-42,12,-44,8,-42,13,-45,10,-49,13,-46,13,-48,12,-50,10,-50,10,-53,16,-50,10,-49,14,0,0,0,0,0,0,5,53,9,53,12,49,9,49,10,46,8,44,9,46,10,49,12,45,9,45,12,40,9,41,12,42,12,41,10,38,16,37,17,38,14,40,10,38,14,38,20,36,16,36,18,33,16,36,17,37,17,34,21,34,24,34,22,34,24,30,22,33,24,34,21,36,24,34,24,33,21,37,21,37,21,37,21,37,18,34,18,33,18,38,18,38,17,38,14,38,16,37,13,36,12,38,8,34,6,36,5,36,8,33,2,33,-1,37,-4,30,-4,30,-9,32,0,0,0,0,0,0,0,0,0,0]"""
1782178993953,2026-06-23T10:43:13.953,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504518,1a:00:00:00:00:00,-39,11,-94,27,21,11,271879307,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-20,0,-20,-2,-22,-3,-24,-5,-23,-6,-23,-7,-24,-7,-20,-10,-27,-9,-23,-11,-24,-12,-25,-10,-27,-11,-28,-12,-27,-12,-27,-14,-29,-14,-28,-15,-25,-15,-29,-18,-33,-16,-27,-19,-29,-18,-28,-18,-28,-20,-29,-16,-25,-20,-28,-22,-28,-18,-32,-18,-27,-18,-33,-19,-32,-19,-29,-16,-32,-19,-33,-16,-29,-16,-34,-14,-36,-16,-38,-12,-38,-15,-38,-12,-38,-14,-41,-14,-40,-14,-41,-12,-42,-15,-44,-11,-44,-15,-45,-18,-47,-15,-47,-12,-46,-16,-46,-20,-50,-16,-51,-16,-49,-20,0,0,0,0,0,0,-25,47,-23,45,-22,50,-19,45,-20,44,-20,44,-20,41,-19,45,-18,40,-22,41,-18,37,-19,36,-18,40,-18,38,-16,38,-12,37,-14,41,-11,38,-15,38,-10,36,-10,40,-10,37,-9,37,-9,37,-10,37,-9,37,-9,36,-3,41,-9,44,-6,37,-7,37,-9,40,-6,41,-6,41,-6,40,-10,42,-11,44,-10,40,-11,41,-11,38,-9,37,-12,38,-15,41,-14,37,-18,37,-14,36,-22,33,-18,33,-22,31,-20,31,-23,28,-23,27,-25,22,-24,22,-25,20,-25,18,-29,11,0,0,0,0,0,0,0,0,0,0]"""
1782178993960,2026-06-23T10:43:13.960,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504519,1a:00:00:00:00:00,-39,11,-94,30,20,11,271887398,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,25,4,24,9,28,5,25,6,28,9,24,14,22,16,22,12,28,22,29,14,24,16,24,17,26,17,26,24,24,26,22,24,24,22,29,29,26,29,21,33,25,37,24,24,26,34,28,32,28,32,24,30,26,33,28,34,26,33,25,33,22,29,24,38,28,37,25,40,29,34,26,32,29,33,25,34,28,38,28,38,33,40,34,36,32,37,36,34,30,36,33,38,32,45,33,44,29,44,33,50,30,41,33,48,29,54,26,50,34,56,33,52,32,54,0,0,0,0,0,0,58,-28,57,-24,53,-20,50,-22,54,-24,57,-20,52,-21,54,-12,53,-14,52,-13,44,-14,44,-18,49,-17,48,-17,48,-14,44,-12,49,-21,41,-16,44,-16,42,-13,40,-20,40,-18,37,-18,41,-16,44,-14,42,-14,38,-16,36,-21,46,-17,41,-20,48,-13,44,-16,44,-16,46,-14,45,-13,45,-10,45,-13,45,-9,46,-10,46,-5,42,-4,45,-5,46,2,49,-1,46,-2,44,2,40,4,45,4,44,10,37,10,40,14,38,13,30,18,36,26,28,25,28,24,22,29,0,0,0,0,0,0,0,0,0,0]"""
1782178993967,2026-06-23T10:43:13.967,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504520,1a:00:00:00:00:00,-39,11,-94,29,20,11,271897185,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,21,-5,26,-2,26,-10,26,-2,28,-2,26,-2,28,-1,26,-4,31,-2,30,-4,34,-1,35,-2,30,-5,37,-4,34,-2,32,-4,37,-4,38,-9,35,-5,42,-4,43,-15,39,-6,38,-6,39,-10,39,-8,37,-12,39,-13,41,-13,39,-16,37,-10,38,-16,38,-17,39,-20,34,-21,37,-21,35,-21,32,-24,35,-31,34,-31,28,-32,31,-34,30,-37,31,-31,30,-45,27,-35,23,-41,28,-39,23,-43,26,-48,28,-46,30,-48,28,-49,28,-50,30,-53,28,-53,28,-54,28,-60,0,0,0,0,0,0,-57,-23,-54,-23,-57,-17,-50,-20,-54,-21,-48,-17,-53,-16,-54,-17,-50,-17,-48,-13,-49,-8,-42,-9,-50,-4,-49,-6,-50,-4,-45,1,-48,4,-49,4,-45,2,-43,9,-48,13,-43,6,-42,13,-43,15,-45,13,-46,15,-41,15,-42,24,-42,26,-39,27,-38,23,-43,21,-43,21,-37,27,-37,27,-39,21,-39,28,-41,24,-39,31,-39,27,-38,26,-37,26,-43,30,-42,26,-38,26,-35,26,-38,20,-38,27,-39,17,-35,19,-38,19,-34,20,-35,12,-37,12,-37,9,-35,9,-37,4,0,0,0,0,0,0,0,0,0,0]"""
1782178993975,2026-06-23T10:43:13.975,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504521,1a:00:00:00:00:00,-39,11,-94,26,21,11,271908975,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-20,-8,-17,-10,-16,-12,-21,-13,-18,-13,-21,-13,-20,-13,-20,-13,-21,-13,-22,-14,-22,-13,-25,-14,-26,-13,-26,-16,-26,-16,-24,-13,-28,-13,-29,-14,-28,-14,-28,-18,-29,-20,-29,-12,-30,-13,-33,-12,-36,-13,-33,-6,-32,-10,-34,-9,-33,-9,-36,-4,-32,-5,-40,-6,-37,-2,-37,-1,-38,2,-36,2,-36,4,-37,8,-38,6,-36,9,-40,13,-36,16,-38,14,-40,18,-38,18,-36,17,-38,22,-37,22,-37,24,-42,26,-41,29,-37,28,-44,29,-42,29,-41,37,-40,33,-38,36,0,0,0,0,0,0,33,40,36,37,42,34,37,34,38,30,34,32,38,29,41,30,36,26,38,28,37,22,34,20,40,17,37,16,41,14,38,10,42,9,38,9,38,10,38,6,41,1,40,4,40,1,37,-1,38,-1,41,-4,37,-4,38,-6,40,-6,37,-13,37,-10,38,-10,38,-10,38,-14,37,-14,44,-14,40,-16,40,-14,38,-16,38,-13,36,-16,38,-17,38,-17,37,-13,37,-13,34,-17,37,-14,36,-16,37,-8,34,-12,36,-10,29,-8,33,-5,32,-6,34,-5,32,-5,30,0,0,0,0,0,0,0,0,0,0,0]"""
1782178993982,2026-06-23T10:43:13.982,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504522,1a:00:00:00:00:00,-39,11,-94,29,20,11,271919469,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-17,21,-13,21,-15,21,-20,17,-17,19,-23,17,-26,13,-27,13,-27,16,-27,16,-28,15,-30,17,-27,16,-31,13,-31,9,-35,10,-32,16,-31,8,-32,9,-28,15,-31,10,-39,10,-34,6,-35,12,-39,8,-41,8,-41,10,-41,8,-41,5,-38,10,-39,9,-43,12,-42,9,-39,8,-42,13,-43,10,-41,10,-41,15,-45,13,-45,15,-45,13,-49,20,-49,15,-49,16,-46,19,-43,20,-49,12,-52,20,-49,16,-53,15,-48,15,-52,13,-60,9,-60,12,-59,13,-54,12,-61,10,0,0,0,0,0,0,6,61,0,59,9,60,4,57,1,56,-1,54,4,53,2,56,-1,50,2,50,-1,49,2,48,1,53,2,50,0,45,6,49,8,48,5,50,2,49,5,46,5,45,1,42,9,45,5,43,2,48,5,46,2,45,16,43,8,50,9,46,9,43,2,46,5,50,5,43,4,46,1,46,1,49,1,46,4,48,-2,49,0,41,-2,48,-8,49,-4,49,-6,46,-8,46,-12,42,-13,42,-16,35,-17,38,-20,35,-17,35,-20,30,-23,28,-30,30,-26,26,-31,19,0,0,0,0,0,0,0,0,0,0]"""
1782178993989,2026-06-23T10:43:13.989,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504523,1a:00:00:00:00:00,-39,11,-94,26,21,11,271931097,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-16,14,-14,13,-17,13,-20,14,-21,14,-20,13,-20,14,-18,13,-24,16,-22,16,-24,16,-22,16,-22,18,-24,17,-24,13,-25,18,-21,22,-25,20,-24,18,-29,16,-30,20,-25,21,-29,22,-25,25,-26,24,-22,26,-24,25,-26,26,-26,26,-24,29,-20,25,-24,30,-20,32,-20,29,-18,32,-21,36,-16,33,-16,37,-16,36,-12,38,-12,37,-8,40,-10,41,-6,42,-8,41,-6,44,-6,46,-2,46,-1,48,-2,49,-2,48,-1,48,-1,49,-4,52,4,52,4,52,2,53,0,0,0,0,0,0,52,0,53,-4,49,-9,50,-5,49,-8,46,-6,48,-9,49,-6,46,-9,42,-9,44,-12,40,-10,41,-13,38,-18,40,-17,37,-18,36,-21,36,-20,33,-20,34,-20,30,-25,32,-24,26,-24,29,-25,28,-28,29,-28,26,-29,21,-30,25,-33,20,-34,21,-30,22,-33,25,-33,22,-36,21,-34,22,-36,22,-38,20,-34,21,-36,22,-36,21,-33,22,-38,24,-36,21,-36,22,-33,22,-33,24,-30,18,-34,22,-29,20,-30,24,-26,24,-24,25,-25,26,-24,28,-22,24,-18,28,-16,0,0,0,0,0,0,0,0,0,0]"""
1782178993997,2026-06-23T10:43:13.997,warning,breathing,lmh,lying_slow_breath,t025,"CSI_DATA,504524,1a:00:00:00:00:00,-39,11,-94,26,21,11,271941420,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-20,6,-20,6,-21,5,-24,4,-24,2,-22,1,-24,1,-22,-1,-28,0,-26,-2,-26,-1,-26,-4,-29,-2,-29,-6,-30,-8,-29,-8,-33,-9,-30,-10,-28,-10,-36,-13,-32,-10,-30,-14,-29,-13,-32,-12,-30,-16,-29,-14,-30,-17,-29,-18,-28,-16,-30,-16,-29,-17,-33,-21,-32,-18,-32,-18,-32,-20,-33,-17,-30,-18,-32,-17,-32,-20,-36,-17,-33,-20,-36,-18,-38,-20,-40,-21,-37,-22,-34,-21,-36,-22,-36,-20,-40,-25,-41,-28,-41,-29,-38,-28,-42,-33,-37,-34,-44,-34,-40,-33,-37,-33,0,0,0,0,0,0,-40,34,-41,33,-38,34,-41,30,-38,28,-40,28,-37,26,-44,29,-38,24,-41,22,-37,21,-34,21,-34,25,-37,22,-36,18,-32,20,-36,26,-33,22,-33,20,-33,20,-32,26,-36,21,-32,21,-34,21,-32,20,-33,20,-34,18,-33,24,-36,22,-32,21,-33,20,-36,20,-34,18,-34,20,-36,18,-42,16,-40,16,-41,14,-40,12,-41,10,-38,10,-41,8,-41,6,-40,8,-40,2,-41,2,-40,0,-41,-1,-37,-5,-34,-6,-33,-12,-32,-10,-30,-12,-30,-16,-28,-17,-22,-20,-21,-22,0,0,0,0,0,0,0,0,0,0]"""
