pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782154606614,2026-06-23T03:56:46.614,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992543,1a:00:00:00:00:00,-49,11,-99,15,30,11,1230826691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-23,-12,-19,-12,-26,-16,-21,-14,-24,-19,-22,-23,-23,-19,-27,-23,-19,-21,-27,-22,-24,-24,-22,-23,-25,-24,-22,-25,-22,-24,-23,-32,-22,-27,-23,-30,-21,-27,-19,-29,-24,-32,-18,-27,-25,-31,-23,-28,-21,-28,-22,-29,-22,-28,-22,-22,-21,-33,-22,-26,-21,-24,-20,-25,-27,-24,-23,-24,-27,-20,-24,-21,-26,-22,-27,-23,-26,-22,-30,-19,-28,-15,-28,-22,-26,-22,-31,-12,-25,-15,-38,-13,-29,-15,-33,-10,-32,-16,-33,-13,-31,-16,-30,-18,-32,-14,-38,-16,-37,-15,-31,-13,-36,-10,0,0,0,0,0,0,-12,32,-12,36,-10,30,-13,31,-12,34,-10,29,-13,33,-10,27,-10,28,-12,27,-10,27,-7,29,-9,24,-6,26,-7,25,-5,23,-4,25,-4,23,-4,19,-8,25,-3,22,-3,23,-5,20,-2,22,-3,23,-4,19,-3,22,-1,20,-2,20,-2,21,-3,20,-2,18,-5,23,-3,19,-3,18,-5,19,-2,20,-5,16,-3,16,-6,18,-5,18,-7,16,-8,15,-7,16,-5,14,-10,14,-11,12,-6,12,-7,11,-10,14,-8,10,-7,10,-9,9,-9,10,-9,8,-9,7,-10,7,0,0,0,0,0,0,0,0,0,0]"""
1782154606624,2026-06-23T03:56:46.624,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992544,1a:00:00:00:00:00,-49,11,-99,15,30,11,1230837691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,19,14,21,15,18,18,23,21,21,16,23,26,23,25,19,21,19,24,18,24,25,27,24,25,23,25,22,23,23,26,19,26,24,30,23,24,27,32,23,33,21,30,20,26,21,27,28,28,24,27,24,26,21,24,25,25,23,22,26,24,25,21,32,27,27,23,28,21,28,20,25,16,26,13,34,12,29,15,28,11,29,11,29,7,34,8,33,6,42,11,34,9,37,7,36,7,31,5,36,5,40,0,33,4,37,3,39,4,38,0,38,2,38,1,0,0,0,0,0,0,-1,-36,-1,-30,-5,-41,-3,-33,-1,-26,-3,-34,-2,-29,-4,-34,-3,-27,-3,-34,-4,-31,-4,-25,-4,-24,-3,-24,-8,-27,-7,-24,-7,-25,-5,-19,-7,-22,-6,-19,-9,-21,-10,-18,-11,-25,-7,-22,-9,-19,-6,-18,-9,-16,-11,-19,-9,-18,-9,-15,-9,-16,-9,-16,-9,-14,-10,-15,-9,-14,-12,-21,-8,-19,-8,-16,-8,-19,-6,-14,-7,-14,-9,-16,-6,-15,-5,-13,-5,-14,-7,-13,-6,-14,-4,-15,-3,-18,-2,-14,-2,-13,1,-13,-1,-11,1,-12,-1,-13,-1,-12,1,-11,0,0,0,0,0,0,0,0,0,0]"""
1782154606634,2026-06-23T03:56:46.634,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992545,1a:00:00:00:00:00,-49,11,-99,15,30,11,1230848691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,24,7,24,7,25,8,26,11,26,9,29,13,30,11,30,11,26,13,27,11,33,13,31,12,31,14,30,11,32,12,30,15,36,14,33,13,36,14,32,13,32,11,31,12,34,10,37,10,33,9,34,8,32,8,33,6,33,9,34,4,32,2,38,3,37,0,33,-3,33,-4,31,-2,30,-6,34,-8,33,-7,30,-9,31,-13,31,-10,33,-13,29,-19,36,-16,30,-20,28,-20,28,-21,26,-20,27,-22,30,-24,26,-22,28,-24,27,-25,28,-26,27,-27,24,-29,0,0,0,0,0,0,-30,-21,-27,-19,-32,-19,-28,-18,-24,-16,-29,-18,-26,-16,-27,-15,-25,-13,-27,-14,-28,-13,-25,-9,-23,-10,-24,-9,-26,-8,-23,-7,-24,-4,-22,-5,-21,-3,-23,-6,-22,-3,-21,-1,-22,-1,-22,0,-21,1,-18,-1,-21,-1,-22,3,-20,2,-21,1,-19,1,-20,3,-18,3,-20,3,-19,3,-22,3,-21,5,-19,2,-19,4,-16,1,-16,3,-19,2,-19,1,-15,2,-16,3,-14,1,-14,0,-15,2,-16,-1,-15,0,-14,0,-13,-1,-12,-1,-13,-2,-12,-2,-10,-3,-12,-3,0,0,0,0,0,0,0,0,0,0]"""
1782154606642,2026-06-23T03:56:46.642,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992546,1a:00:00:00:00:00,-49,11,-99,15,30,11,1230859691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,18,12,22,21,14,13,20,24,14,18,18,30,13,30,7,26,11,28,5,25,13,34,10,33,9,32,7,30,3,39,6,27,7,39,4,31,2,45,-5,40,-8,28,-2,36,-7,29,-2,39,-3,38,-5,33,-5,31,-7,40,1,26,-2,38,-3,30,-5,45,-12,36,-7,31,-10,33,-7,28,-6,27,0,36,-2,31,-2,27,-6,32,4,27,3,39,-2,34,-7,48,-9,31,-5,37,-12,34,-4,29,-5,33,0,40,-1,36,-7,40,-7,34,-1,39,-9,41,-7,34,0,0,0,0,0,0,34,14,28,10,42,13,30,15,22,11,33,15,24,9,31,14,24,8,32,19,25,18,19,18,22,14,16,15,25,15,22,13,21,14,18,11,19,15,13,8,21,11,16,9,23,18,16,14,13,15,16,12,11,13,18,12,15,13,14,12,12,11,13,15,12,9,16,14,12,14,14,21,8,18,7,18,5,19,5,15,4,14,9,18,5,15,4,14,2,18,5,12,4,18,2,14,-1,22,-3,13,-3,14,-6,13,-3,10,-6,11,-5,12,-5,10,-7,10,0,0,0,0,0,0,0,0,0,0]"""
1782154606653,2026-06-23T03:56:46.653,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992547,1a:00:00:00:00:00,-49,11,-99,15,30,11,1230870691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-24,0,-26,0,-26,-2,-29,-1,-28,-4,-31,-5,-30,-5,-31,-3,-27,-7,-29,-3,-36,-5,-31,-4,-33,-4,-32,-6,-33,-5,-34,-8,-36,-8,-34,-5,-37,-8,-39,-6,-41,-3,-31,-7,-34,-4,-37,-3,-36,-1,-34,-3,-34,-3,-31,-1,-34,-4,-34,-1,-31,0,-38,2,-36,5,-33,4,-32,6,-30,5,-30,7,-34,10,-32,10,-30,11,-30,13,-31,9,-32,15,-29,18,-31,16,-32,21,-29,20,-27,23,-28,20,-27,23,-29,24,-26,21,-29,23,-29,26,-29,26,-27,26,-25,25,0,0,0,0,0,0,24,23,28,20,31,23,26,21,25,20,26,21,25,21,25,21,24,18,24,22,23,18,25,13,19,13,23,10,26,11,21,11,23,8,22,8,21,6,22,10,22,9,20,7,23,6,22,5,22,4,19,6,20,4,22,2,20,4,20,2,19,3,19,1,19,5,21,3,18,3,21,3,21,2,19,3,20,2,16,4,16,3,18,4,16,5,16,3,16,4,14,5,15,7,14,5,14,8,15,6,13,6,14,6,10,7,11,6,11,7,11,8,9,8,0,0,0,0,0,0,0,0,0,0]"""
1782154606663,2026-06-23T03:56:46.663,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992548,1a:00:00:00:00:00,-48,11,-99,16,30,11,1230881691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,4,26,2,21,5,31,2,24,-1,32,-1,25,0,25,-1,33,-2,30,-1,38,-4,30,-5,31,-4,32,-7,34,-7,27,-10,42,-7,31,-12,38,-10,27,-8,28,-12,37,-8,33,-12,41,-11,31,-11,34,-9,37,-11,36,-6,28,-14,40,-9,30,-10,34,-7,24,-3,34,-8,32,-2,32,-4,36,-4,38,-5,32,-4,33,-2,36,1,28,-4,39,-4,29,4,34,1,24,6,36,2,32,9,34,4,37,5,38,1,32,2,36,2,33,4,41,3,37,5,30,5,38,0,0,0,0,0,0,33,-3,42,-2,28,-2,31,-2,40,-4,26,-2,38,0,23,-2,33,-1,25,-1,26,-2,29,-3,26,-3,29,-6,24,-2,23,-3,25,-4,23,-3,19,-5,26,-3,19,-3,23,-4,17,-3,19,-4,22,-5,19,-5,22,-7,19,-3,20,-3,20,-6,20,-3,16,-5,24,-3,18,-3,19,-2,15,-2,18,-3,19,-2,19,-3,18,-2,20,-1,18,2,18,3,19,3,16,2,17,4,14,6,14,4,10,4,15,4,13,7,13,3,12,6,14,7,9,7,9,10,8,8,0,0,0,0,0,0,0,0,0,0]"""
1782154606675,2026-06-23T03:56:46.675,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992549,1a:00:00:00:00:00,-49,11,-99,18,30,11,1230892691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,21,-12,20,-11,25,-12,27,-12,25,-11,30,-11,28,-10,30,-13,28,-7,29,-11,34,-11,32,-8,33,-9,30,-8,31,-10,37,-6,35,-8,34,-10,37,-6,34,-6,35,-8,32,-5,35,-8,37,-11,34,-9,34,-9,34,-8,30,-11,35,-6,32,-10,31,-11,34,-12,33,-16,31,-13,29,-17,28,-14,27,-15,30,-17,29,-18,27,-22,24,-21,28,-19,27,-20,22,-25,27,-23,24,-29,24,-24,22,-29,24,-24,22,-28,25,-29,23,-23,21,-29,26,-31,23,-31,22,-29,20,-32,0,0,0,0,0,0,-29,-21,-32,-20,-32,-18,-30,-15,-27,-15,-27,-15,-28,-18,-26,-15,-26,-12,-26,-17,-25,-13,-24,-11,-22,-12,-24,-9,-25,-10,-23,-9,-21,-9,-21,-6,-21,-6,-21,-10,-21,-8,-22,-6,-21,-7,-21,-5,-21,-3,-18,-6,-19,-4,-22,-3,-19,-3,-18,-2,-17,-3,-17,-1,-21,-4,-19,-4,-17,-2,-21,-4,-20,-1,-18,-3,-18,-3,-16,-5,-16,-6,-17,-6,-15,-6,-15,-6,-16,-5,-14,-6,-13,-9,-14,-5,-12,-8,-13,-6,-11,-9,-10,-7,-9,-9,-9,-8,-9,-9,-6,-9,-7,-10,0,0,0,0,0,0,0,0,0,0]"""
1782154606685,2026-06-23T03:56:46.685,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992550,1a:00:00:00:00:00,-49,11,-99,15,30,11,1230903691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-14,18,-22,21,-13,12,-24,21,-18,15,-28,21,-29,19,-25,11,-25,21,-25,11,-28,19,-28,20,-28,21,-24,19,-34,21,-21,18,-31,23,-26,19,-37,27,-33,21,-31,14,-28,21,-27,15,-29,24,-27,23,-24,23,-24,20,-31,25,-15,23,-21,29,-20,23,-27,37,-24,23,-18,28,-22,26,-16,26,-12,24,-12,33,-10,31,-8,27,-13,32,0,27,-2,38,-6,32,-7,46,-9,32,-3,37,-8,34,-1,32,0,32,5,41,6,34,2,40,4,36,10,37,8,40,5,37,0,0,0,0,0,0,39,-2,27,-5,41,-10,33,-4,23,-5,34,-8,24,-7,34,-11,24,-7,34,-9,28,-8,25,-5,24,-11,20,-7,25,-11,21,-12,19,-12,19,-10,24,-9,14,-12,18,-15,16,-12,21,-16,18,-13,15,-10,15,-13,12,-9,14,-14,13,-15,13,-13,12,-12,18,-14,8,-12,11,-16,11,-13,15,-21,15,-11,11,-13,14,-13,14,-10,10,-11,11,-15,12,-12,8,-10,14,-9,7,-12,13,-14,11,-8,16,-11,11,-6,13,-8,13,-5,10,-7,10,-6,13,-5,12,-5,13,-4,0,0,0,0,0,0,0,0,0,0]"""
1782154606710,2026-06-23T03:56:46.710,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992551,1a:00:00:00:00:00,-49,11,-99,19,29,11,1230914691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,12,20,12,27,7,20,12,30,13,20,11,33,9,34,4,28,10,28,6,30,13,36,15,32,14,32,13,27,11,36,11,26,19,34,14,29,15,42,12,38,9,29,15,31,10,29,22,34,21,30,19,28,19,25,21,31,21,19,29,23,23,22,34,32,22,26,26,22,25,26,24,19,24,15,34,12,30,13,28,8,30,12,28,1,36,3,33,3,47,6,33,6,36,3,38,8,32,1,33,-2,41,-9,32,-8,38,-6,34,-6,37,-16,39,-12,38,-10,0,0,0,0,0,0,-11,-34,-9,-28,-19,-40,-12,-31,-9,-21,-16,-30,-14,-21,-20,-30,-16,-21,-20,-32,-15,-25,-12,-22,-14,-20,-12,-18,-21,-20,-16,-14,-19,-14,-16,-13,-18,-16,-16,-8,-22,-9,-19,-10,-24,-13,-19,-14,-18,-9,-18,-10,-16,-7,-20,-4,-20,-5,-18,-5,-16,-5,-20,-8,-14,-2,-21,-2,-19,-3,-27,-6,-18,-7,-19,-4,-18,-7,-14,-4,-14,-3,-20,-2,-16,-3,-12,-1,-15,-4,-14,-2,-18,-2,-14,-5,-20,-7,-12,-7,-14,-6,-11,-7,-13,-5,-9,-5,-14,-6,-11,-6,-11,-6,0,0,0,0,0,0,0,0,0,0]"""
1782154606737,2026-06-23T03:56:46.737,warning,breathing,mhw,lying_slow_breath,t040,"CSI_DATA,992552,1a:00:00:00:00:00,-48,11,-99,15,30,11,1230925691,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-14,-16,-16,-21,-13,-20,-14,-26,-13,-21,-13,-31,-11,-33,-7,-28,-6,-30,-6,-27,-10,-36,-8,-32,-6,-33,-5,-30,-3,-36,-2,-30,-3,-38,-3,-33,1,-42,4,-43,0,-34,5,-33,5,-31,1,-39,3,-37,4,-32,5,-30,5,-33,3,-29,3,-34,3,-33,6,-43,7,-37,5,-33,6,-33,6,-29,2,-30,-3,-37,2,-33,-1,-27,2,-30,-1,-30,-2,-37,-1,-33,3,-46,3,-34,1,-37,6,-34,1,-30,2,-36,0,-41,1,-33,1,-37,5,-39,-2,-38,3,-40,6,-37,0,0,0,0,0,0,-36,-7,-30,-5,-40,-8,-34,-7,-25,-8,-33,-7,-26,-6,-31,-9,-27,-4,-33,-11,-30,-11,-23,-9,-24,-9,-22,-10,-27,-8,-25,-7,-22,-8,-21,-7,-22,-7,-19,-7,-22,-6,-21,-6,-23,-9,-21,-10,-18,-8,-16,-9,-15,-8,-21,-7,-20,-6,-18,-7,-15,-8,-18,-8,-13,-8,-16,-8,-16,-8,-20,-13,-15,-12,-13,-11,-13,-12,-10,-11,-10,-11,-14,-12,-11,-13,-9,-10,-8,-11,-7,-12,-9,-13,-7,-14,-6,-20,-3,-14,-3,-13,0,-14,1,-12,0,-13,-1,-14,0,-11,2,-11,0,0,0,0,0,0,0,0,0,0]"""
